,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit
0,561987,1.0,1.0,04/25/17(Tue)16:10:54,Anonymous,Introduction and Guide,"Welcome to /3/ - 3DCG, 4chan&#039;s board dedicated to 3D imagery and modeling.
<br>
<br>
<a href=""http://freetexthost.com/nzjanyanw0"">readme.txt</a>
<br>
If you&#039;re reading this, you probably got this linked to you because you posted a question that has already been asked many many times. Read ahead, and find your answer.<br>
<br>
Scroll down for a useful FAQ and resource links",0,.png,1080,1920,140,250,1493151054774,1493151054,I07+XsG312qRKuFvgTKbQQ==,2403113,0,mod,introduction-and-guide,60,57,59.0,57.0,"[{'no': 562047, 'now': '04/25/17(Tue)16:22:37', 'name': 'Anonymous', 'com': '<a href=""https://boards.4chan.org/3/thread/561987"">Click here</a> to open this thread.', 'time': 1493151757, 'resto': 561987, 'capcode': 'mod'}]",1493151768,,
1,929419,,,12/12/22(Mon)05:27:31,Anonymous,,best guides for making N64 / PS1 style models?,1657319775925,.gif,527,377,250,178,1670840851678302,1670840851,abmWCxCZ1QP8proCdefa6w==,487170,0,,best-guides-for-making-n64-ps1-style-models,15,0,10.0,0.0,"[{'no': 929495, 'now': '12/12/22(Mon)20:53:47', 'name': 'Anonymous', 'com': 'download Milkshape3D and suffer', 'time': 1670896427, 'resto': 929419}, {'no': 929527, 'now': '12/13/22(Tue)01:31:09', 'name': 'Anonymous', 'com': 'We already have a thread on this faggot<br><span class=""quote"">&gt;<a href=""/3/thread/928757#p928757"" class=""quotelink"">&gt;&gt;928757</a></span>', 'time': 1670913069, 'resto': 929419}, {'no': 929532, 'now': '12/13/22(Tue)01:53:01', 'name': 'Anonymous', 'com': '<a href=""#p929419"" class=""quotelink"">&gt;&gt;929419</a><br>Legend 64 on youtube has some decent ones.', 'time': 1670914381, 'resto': 929419}, {'no': 929537, 'now': '12/13/22(Tue)03:49:12', 'name': 'Anonymous', 'com': 'Models must be under 1k. Textures must be in the power of 2 but MUST never pass 256 pixels; indexed colors. There&#039;s no specific style it&#039;s up to you.', 'time': 1670921352, 'resto': 929419}, {'no': 929543, 'now': '12/13/22(Tue)06:57:44', 'name': 'Anonymous', 'com': 'it&#039;s cool how some /3/tards are cool and helpful and others are negative faggots, just like the rest of 4chan. I might lurk here more', 'time': 1670932664, 'resto': 929419}]",1670932664,0.0,0.0
2,926268,,,11/17/22(Thu)07:04:44,Anonymous,,"/wip/ - Works in Progress Black Hole Edition<br><br>Post your work-in-progress projects, recently finished projects, or things you&#039;d like critiqued here.<br><br>Previous thread: <a href=""/3/thread/921875#p921875"" class=""quotelink"">&gt;&gt;921875</a><br><br>List of free resources: https://pastebin.com/cZLVnNtB<br>/3/ Discord for those interested: https://discord.gg/ujt5vtr4DE",wip nigga,.png,1024,1024,250,250,1668686684041965,1668686684,95g7xpJ4B9fgi750eUYJ8w==,2079524,0,,wip-works-in-progress-black-hole-edition,280,132,275.0,130.0,"[{'no': 929482, 'now': '12/12/22(Mon)19:15:32', 'name': 'Anonymous', 'com': '<a href=""#p929470"" class=""quotelink"">&gt;&gt;929470</a><br>10/10', 'time': 1670890532, 'resto': 926268}, {'no': 929484, 'now': '12/12/22(Mon)19:21:45', 'name': 'Anonymous', 'com': '<a href=""#p929481"" class=""quotelink"">&gt;&gt;929481</a><br>there are tons of free fighting animations', 'time': 1670890905, 'resto': 926268}, {'no': 929485, 'now': '12/12/22(Mon)19:26:42', 'name': 'Anonymous', 'com': '<a href=""#p929484"" class=""quotelink"">&gt;&gt;929484</a><br>that&#039;s true.. i guess i could look into that just to get some stuff worth playtesting with but i want all my characters to feel more unique<br>another chara also', 'filename': 'emme', 'ext': '.png', 'w': 800, 'h': 800, 'tn_w': 125, 'tn_h': 125, 'tim': 1670891202313482, 'time': 1670891202, 'md5': 'Rv00rVOhqViaAtAOjiY1vA==', 'fsize': 358826, 'resto': 926268}, {'no': 929514, 'now': '12/12/22(Mon)23:41:58', 'name': 'Anonymous', 'com': '<a href=""#p929471"" class=""quotelink"">&gt;&gt;929471</a><br>yeah thats the height map doing that. Luckily that shit doesnt matter for unity I just always like to put on everything I bake out in blender', 'time': 1670906518, 'resto': 926268}, {'no': 929542, 'now': '12/13/22(Tue)05:17:30', 'name': 'Anonymous', 'com': '<a href=""#p928834"" class=""quotelink"">&gt;&gt;928834</a><br>my very own air conditioner', 'filename': 'outdoor ac unit', 'ext': '.webm', 'w': 960, 'h': 768, 'tn_w': 125, 'tn_h': 100, 'tim': 1670926650970768, 'time': 1670926650, 'md5': '1+6s4pkFA75F1fmTYH1whA==', 'fsize': 1330174, 'resto': 926268}]",1670926650,0.0,0.0
3,924307,,,11/03/22(Thu)00:19:52,Anonymous,/QTDDTOTT/,"&quot;You mfs are too stupid to recognize bump limited thread&quot; edition<br><br>Previous thread: <span class=""deadlink"">&gt;&gt;915587</span>",1652786052394,.png,753,707,250,234,1667449192958457,1667449192,b8SgCZtGmJxH0yq/ZhsOEQ==,978226,0,,qtddtott,222,54,217.0,54.0,"[{'no': 929528, 'now': '12/13/22(Tue)01:33:45', 'name': 'Anonymous', 'com': '<a href=""#p929522"" class=""quotelink"">&gt;&gt;929522</a><br>If it&#039;s set to 1m and you type in only 1 it will move 1 meter, but you can also type in 1 mm or 1 cm or 1 in or 1 ft etc and it will automatically calculate how much that is based on your global 1 meter scale and move it by that amount. I think it&#039;s active by default.', 'time': 1670913225, 'resto': 924307}, {'no': 929529, 'now': '12/13/22(Tue)01:37:35', 'name': 'Anonymous', 'com': '<a href=""#p929526"" class=""quotelink"">&gt;&gt;929526</a><br>you have to press control when using many of the brushes<br>use z and c to relax and tweak<br>i mostly use poly pen, it&#039;s kinda like quaddraw from maya.', 'time': 1670913455, 'resto': 924307}, {'no': 929530, 'now': '12/13/22(Tue)01:40:26', 'name': 'Anonymous', 'com': '<a href=""#p929529"" class=""quotelink"">&gt;&gt;929529</a><br>Ah, thanks. Not sure why it didn&#039;t say this in the documentation.', 'time': 1670913626, 'resto': 924307}, {'no': 929531, 'now': '12/13/22(Tue)01:45:05', 'name': 'Anonymous', 'com': '<a href=""#p929528"" class=""quotelink"">&gt;&gt;929528</a><br>I want to work in mm, but I don&#039;t understand what unit scale is for', 'time': 1670913905, 'resto': 924307}, {'no': 929541, 'now': '12/13/22(Tue)04:44:29', 'name': 'Anonymous', 'com': '<a href=""#p929531"" class=""quotelink"">&gt;&gt;929531</a><br><span class=""quote"">&gt;It&#039;s just an arbitrary number</span><br>It&#039;s not arbitrary if you&#039;re doing physically based lighting or physics simulation.', 'time': 1670924669, 'resto': 924307}]",1670924669,0.0,0.0
4,928943,,,12/08/22(Thu)04:50:27,Anonymous,Piracy/Private Tracker General,"Post your requests for models/tutorials/software and hope than an Anon will help you out.<br><br>Before asking, check these sites:<br><br>Courses/Tutorials<br><span class=""quote"">&gt;https://online-courses.club/</span><br><span class=""quote"">&gt;rutracker.org - software</span><br><span class=""quote"">&gt;bilibili.com - courses (without project files)</span><br><br>Softwares &amp; Blender addons<br><span class=""quote"">&gt; https://www.vfxmed.com/</span><br><br>A little bit of verythong <br><span class=""quote"">&gt; https://cgpersia.com/</span><br><br><span class=""quote"">&gt;how2cgp</span><br>Either pass a test on IRC (dunno if they still offer it) or visit a tracker marketplace of your choice and buy an invite for 15$.<br><br>Last thread: <a href=""/3/thread/917092#p917092"" class=""quotelink"">&gt;&gt;917092</a>",1662577025792400,.jpg,200,200,200,200,1670493027891554,1670493027,CPwAZurlQ0kq1ACSLNp4nw==,2718,0,,piracyprivate-tracker-general,15,2,10.0,0.0,"[{'no': 929337, 'now': '12/11/22(Sun)13:14:49', 'name': 'Anonymous', 'com': '<a href=""#p928943"" class=""quotelink"">&gt;&gt;928943</a><br>Maya crack', 'time': 1670782489, 'resto': 928943}, {'no': 929445, 'now': '12/12/22(Mon)12:03:44', 'name': 'Anonymous', 'com': '<a href=""#p929337"" class=""quotelink"">&gt;&gt;929337</a><br>m0nkrus', 'time': 1670864624, 'resto': 928943}, {'no': 929513, 'now': '12/12/22(Mon)23:41:23', 'name': 'Anonymous', 'com': 'New CGP chad here. Just got in, took a look, and saw that almost everything on the front page marked as potentially malicious. The hell is up with that? Is it like a default tag before being verified by jannies or what?', 'time': 1670906483, 'resto': 928943}, {'no': 929516, 'now': '12/13/22(Tue)00:22:46', 'name': 'Anonymous', 'com': '<a href=""#p928943"" class=""quotelink"">&gt;&gt;928943</a><br>anon from the the the pic rel thread (sorry in advance) substance painter. maybe im retarded. setup everything right. m0nkrus doesnt work. the leddit one doesnt support substance. is it because im running it in a vm? I dont want a virus', 'filename': 'Screen_Shot_2022-12-12_at_9.42.10_PM', 'ext': '.png', 'w': 2880, 'h': 1800, 'tn_w': 125, 'tn_h': 78, 'tim': 1670908966995231, 'time': 1670908966, 'md5': 'MKpaXIGrpKfrnbi/mwEMSA==', 'fsize': 1774698, 'resto': 928943}, {'no': 929540, 'now': '12/13/22(Tue)04:35:41', 'name': 'Anonymous', 'com': 'Good 3d animation courses??', 'filename': '1611386163763', 'ext': '.png', 'w': 1739, 'h': 1446, 'tn_w': 124, 'tn_h': 103, 'tim': 1670924141319711, 'time': 1670924141, 'md5': 'dJb9gSOtbN3OKCUfTqpg4g==', 'fsize': 442547, 'resto': 928943}]",1670924141,0.0,0.0
5,929329,,,12/11/22(Sun)11:29:25,Anonymous,Where can I get my hands on Houdini,"Full version, for free, without malware? I had one half a year ago but it doesn&#039;t work anymore because I reinstalled my windows and lost the license in the process.<br>I would happly download aprentice version but you can&#039;t export anything in that version, atleast from what I know. And Karma or what is it called is fucking awful. <br>Please every legit pirate website I know of doesn&#039;t have Houdini in the list",Houdini3D_icon-1444916902,.png,520,520,250,250,1670776165687044,1670776165,4e5T+h9MVZN+hOv3KYWgSw==,20636,0,,where-can-i-get-my-hands-on-houdini,7,1,2.0,1.0,"[{'no': 929393, 'now': '12/11/22(Sun)20:54:13', 'name': 'Anonymous', 'com': 'if you&#039;re not smart enough to have a job, you wont get ANYWHERE with houdini', 'time': 1670810053, 'resto': 929329}, {'no': 929433, 'now': '12/12/22(Mon)08:44:11', 'name': 'Anonymous', 'com': '<a href=""#p929393"" class=""quotelink"">&gt;&gt;929393</a><br><a href=""#p929338"" class=""quotelink"">&gt;&gt;929338</a><br><a href=""#p929331"" class=""quotelink"">&gt;&gt;929331</a><br>Guys you porbably don&#039;t care, but I figured out why it isn&#039;t working. I fucking skipped the first server license every fucking time because I thought its just a description of my server or something.<br>FML', 'time': 1670852651, 'resto': 929329}, {'no': 929536, 'now': '12/13/22(Tue)03:08:51', 'name': 'Anonymous', 'com': '<a href=""#p929329"" class=""quotelink"">&gt;&gt;929329</a><br>there&#039;s always a piracy thread up, use the catalog ffs', 'time': 1670918931, 'resto': 929329}, {'no': 929538, 'now': '12/13/22(Tue)03:53:14', 'name': 'Anonymous', 'com': '<a href=""#p929329"" class=""quotelink"">&gt;&gt;929329</a><br>i think its free for non commercial uses innit?', 'time': 1670921594, 'resto': 929329}, {'no': 929539, 'now': '12/13/22(Tue)04:15:22', 'name': 'Anonymous', 'com': '<a href=""#p929538"" class=""quotelink"">&gt;&gt;929538</a><br>it has a few limitations on it (no third party renderers, no proper way to export geometry sequences)<br><br>the most annoying thing is that you have jump through a couple of hoops to port your non-commercial files to commercial versions.', 'time': 1670922922, 'resto': 929329}]",1670922922,0.0,0.0
6,929202,,,12/10/22(Sat)13:06:40,Anonymous,My opinion of Blender: Blender is lacking in quality.,"With much deliberation I have decided whether or not to post this. After all, Blender is free software, so what right do I have to complain? Plus with all these giant corporations hoarding and abusing copyright, it might be good that someone is fighting for less restrictive copyright artistry type of things. On the other hand, I can no longer accept how buggy and dysfunctional of a software that Blender is.<br><br>I was very ticked off at first, but I will try to say this in a more neutral tone of voice. Since blender is free. Had I paid for it I would be less polite about it. My complaints are as follows:<br><br>I try to edit a large mesh and random objects are not highlighting in edit mode, even though I selected all objects in object mode. So I try to say &quot;what the heck, maybe I will just join all objects hey?&quot; I join all objects and it destroys random parts of my mesh for no aparent reason.<br><br>I look online for hours. Feeling lost an overwhelmed, while the search engines are being vague, but eventually I find an article. Something about making sure objects are &quot;selectable&quot;, but the blender manual doesn&#039;t explain it well. I eventually figure out what to do, make sure the objects are selectable, yet it still fails on me utterly. Those are hours I will never get back.<br><br>During this time, Blender has crashed on me several times and I closed an app, which was an inconvenience, yet it still crashes. I ended up updating from 3.2 to 3.4, and no more crashes, yet Select All still fails utterly.<br><br>On to other things, such as the camera. The default cam is frustrating to use. I just want to use Walk cam without having to push a hotkey each time and clicking over and over. I don&#039;t know why there is a fly cam? When walk cam is just a fly cam but better. <br><br>I want to place polygons. Not dragging them around and putting in custom coordinates. There doesn&#039;t seem to be a way to do this, or at least not according to what search engines are telling me. <br><br>There&#039;s much more to discuss than this.",blender2,.png,474,370,250,195,1670695600023989,1670695600,zU2XxA6t98+CEajqj0DBsg==,6717,0,,my-opinion-of-blender-blender-is-lacking-in,40,3,35.0,2.0,"[{'no': 929422, 'now': '12/12/22(Mon)06:07:10', 'name': 'Anonymous', 'com': '<a href=""#p929202"" class=""quotelink"">&gt;&gt;929202</a><br>for motion graphics, should I learn after effects<br><br>or blender<br>https://mobile.twitter.com/KumoueYu<wbr>ku/status/1601582799735394306<br><br>?', 'filename': 'Cat Duality', 'ext': '.jpg', 'w': 960, 'h': 960, 'tn_w': 125, 'tn_h': 125, 'tim': 1670843230203785, 'time': 1670843230, 'md5': 'zzaV7jDAkeBbYgprMJfPhA==', 'fsize': 99073, 'resto': 929202}, {'no': 929428, 'now': '12/12/22(Mon)07:16:42', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;rule number one when using blender : press strg+s ..the more the better, it must become like a reflex!</span><br><span class=""quote"">&gt;rule number two when using blender : when your computer is to weak, avoid large amounts of vertices, to many boolean cuts, ... follow rule 1 when you are not sure if your machine can handle the following task! </span><br><span class=""quote"">&gt;rule number three when using blender : slap yourself in the face when you didnt followed rule 1 and 2!</span>', 'time': 1670847402, 'resto': 929202}, {'no': 929468, 'now': '12/12/22(Mon)16:59:34', 'name': 'Anonymous', 'com': '<a href=""#p929202"" class=""quotelink"">&gt;&gt;929202</a><br>3.0 ruined many things, it introduced the crashing, destruction of random parts of the mesh, and removed most of the manual explanations. But these issues were fixed in Blender Pro (I think that there is a cracked version of it floating around somewhere)', 'time': 1670882374, 'resto': 929202}, {'no': 929479, 'now': '12/12/22(Mon)18:26:18', 'name': 'Anonymous', 'com': '<a href=""#p929422"" class=""quotelink"">&gt;&gt;929422</a><br>Everyone who has try to make motion graphics in blender regretted, there is one guy who has been doing touhou bullet hell patterns to the letter. It&#039;s been 4 years and still not done.<br><br>Never ever use blender for motion graphics, this is your only warning.', 'time': 1670887578, 'resto': 929202}, {'no': 929535, 'now': '12/13/22(Tue)03:07:07', 'name': 'Anonymous', 'com': '<a href=""#p929468"" class=""quotelink"">&gt;&gt;929468</a><br>2.79 was the last usable version.', 'time': 1670918827, 'resto': 929202}]",1670918827,0.0,0.0
7,928757,,,12/06/22(Tue)15:50:38,Anonymous,/retro/,"Any 3D graphics from as far back as 1950 to early 2000s<br><br><span class=""quote"">&gt;3DS MAX 1.0: https://archive.org/details/3dsmax1<wbr></span>",0ec228a3,.jpg,1280,1024,250,200,1670359838958764,1670359838,woMFNbkJqNe4rMeNFOljKA==,262121,0,,retro,8,2,3.0,0.0,"[{'no': 928929, 'now': '12/07/22(Wed)22:03:30', 'name': 'Anonymous', 'com': 'love this shit', 'filename': '6247e7e704e01466c433d111f48f10b9', 'ext': '.png', 'w': 640, 'h': 453, 'tn_w': 125, 'tn_h': 88, 'tim': 1670468610981312, 'time': 1670468610, 'md5': 'nHyYc46aLFeI9Ghy8q2APw==', 'fsize': 503685, 'resto': 928757}, {'no': 929368, 'now': '12/11/22(Sun)17:14:33', 'name': 'Anonymous', 'com': '<a href=""#p928854"" class=""quotelink"">&gt;&gt;928854</a><br>Cope, anyone can make soulless generic modern renders, it takes true talent to even begin to match this vintage SOVL', 'time': 1670796873, 'resto': 928757}, {'no': 929436, 'now': '12/12/22(Mon)09:18:03', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;tfw missed the Octane boom several years ago</span><br>fuck', 'filename': '987456875965745965720186538', 'ext': '.jpg', 'w': 1024, 'h': 681, 'tn_w': 125, 'tn_h': 83, 'tim': 1670854683945744, 'time': 1670854683, 'md5': 'rVNSKdUQRoXX1jMhuCh2yQ==', 'fsize': 232398, 'resto': 928757}, {'no': 929533, 'now': '12/13/22(Tue)02:06:55', 'name': 'Anonymous', 'com': '<a href=""#p928757"" class=""quotelink"">&gt;&gt;928757</a><br>can&#039;t for the life of me get the link to work. any help?', 'time': 1670915215, 'resto': 928757}, {'no': 929534, 'now': '12/13/22(Tue)02:56:24', 'name': 'Anonymous', 'com': '<a href=""#p928757"" class=""quotelink"">&gt;&gt;928757</a><br>Here&#039;s some early 3D kino<br>https://www.youtube.com/watch?v=jwO<wbr>wRH4JpXc', 'time': 1670918184, 'resto': 928757}]",1670918184,0.0,0.0
8,928636,,,12/05/22(Mon)17:09:01,Anonymous,/DAZ/ 3D General - You&#039;re here forever edition,"Previous: <a href=""/3/thread/924985#p924985"" class=""quotelink"">&gt;&gt;924985</a><br><br>Daz youtuber&#039;s and general guides:<br>https://www.daz3d.com/help/help-daz<wbr>-3d-video-tutorials<br>Wpguru<br>Parmy<br>Travis Davids (Marvelous designer)<br>Thundornd<br>CgBytes<br>https://www.laylo3d.com/<br>https://thinkdrawart.com/<br>Kelvin Jin<br>https://www.youtube.com/playlist?li<wbr>st=PLCRjPVrS5AVchvyYVfKRsWjN0yRLTda<wbr>zy (Truebones)<br><br>Bridges: https://www.daz3d.com/daz-bridges<br>Suggested Blender Bridge: http://diffeomorphic.blogspot.com/<br><br>Similar programs:<br>Makehuman: http://www.makehumancommunity.org/<br>Vroid Anime Tool: https://vroid.com/en/studio<br>Xnalara: https://www.deviantart.com/xnalara<br>https://archive.org/details/NSidedQ<wbr>UIDAM3Studio3.52011Multilenguaje(QU<wbr>IDAM)<br>Metahuman creator: https://www.unrealengine.com/en-US/<wbr>digital-humans<br><br>Hair Creation: https://mega.nz/#F!uywlSQqS!GzZTEOG<wbr>cRhiEr8Ve5hwsfQ<br><br>News:<br>MORE nft shit. But with chimp watches. https://timex.daz3d.com/<br>https://www.daz3d.com/fisio-physics<wbr>-simulator",One more year in daz,.jpg,1638,2048,199,250,1670278141464890,1670278141,taQev+0Yyacx63qi4okMeQ==,1391009,0,,daz-3d-general-youre-here-forever-edition,127,41,122.0,41.0,"[{'no': 929520, 'now': '12/13/22(Tue)01:00:31', 'name': 'Anonymous', 'com': '<a href=""#p929501"" class=""quotelink"">&gt;&gt;929501</a><br>This is false because old GPU won&#039;t even start rendering your scene as Daz falls back on CPU-based rendering the moment it doesn&#039;t fit on vram (which it never does). <br>t. nearly 10 years GPU', 'time': 1670911231, 'resto': 928636}, {'no': 929521, 'now': '12/13/22(Tue)01:12:01', 'name': 'Anonymous', 'com': '<a href=""#p929520"" class=""quotelink"">&gt;&gt;929520</a><br>stop using 2700 8k textures. anything not on the character, i drop to 2k, and i literally can&#039;t fill 8gbs of ram, even with a whole scene.', 'time': 1670911921, 'resto': 928636}, {'no': 929523, 'now': '12/13/22(Tue)01:14:13', 'name': 'Anonymous', 'com': '<a href=""#p929521"" class=""quotelink"">&gt;&gt;929521</a><br>Could you post an example of a full scene rendered with your similarly ancient GPU?', 'time': 1670912053, 'resto': 928636}, {'no': 929524, 'now': '12/13/22(Tue)01:15:02', 'name': 'Anonymous', 'com': '<a href=""#p929523"" class=""quotelink"">&gt;&gt;929523</a><br>i don&#039;t have an ancient card anymore.', 'time': 1670912102, 'resto': 928636}, {'no': 929525, 'now': '12/13/22(Tue)01:17:35', 'name': 'Anonymous', 'com': '<a href=""#p929521"" class=""quotelink"">&gt;&gt;929521</a><br>10 years old GPUs won&#039;t have 8gbs. More like 2 or 4.', 'time': 1670912255, 'resto': 928636}]",1670912255,0.0,0.0
9,929492,,,12/12/22(Mon)20:09:33,Anonymous,,Almost got phished by some fake udemy email urging me to reset my password immediately soon after I bought arrimus&#039;s course. Let this be a word of warning - its phishing and fake.,1670669188749,.jpg,1335,865,250,161,1670893773717923,1670893773,glVmeIGs5FgQh0/pHDFPEg==,216268,0,,almost-got-phished-by-some-fake-udemy-email,1,0,,,"[{'no': 929518, 'now': '12/13/22(Tue)00:43:41', 'name': 'Anonymous', 'com': 'But anon, have you bowed down to jesus yet? Only then Arrimus will unlock the rest of the course.', 'time': 1670910221, 'resto': 929492}]",1670910221,0.0,0.0
