,no,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,trip
0,27900901,12/12/22(Mon)02:58:34,Anonymous,Ask the other gender anything /atoga/,On the shitter edition,tIZAbNgV_1,.jpg,1125,1272,221,250,1670831914238280,1670831914,Yb7WnXeYlfMN47bRNjXisQ==,411260,0,0,0,ask-the-other-gender-anything-atoga,295,27,290.0,27.0,"[{'no': 27901617, 'now': '12/12/22(Mon)07:14:15', 'name': 'Anonymous', 'com': '<a href=""#p27901609"" class=""quotelink"">&gt;&gt;27901609</a><br><span class=""quote"">&gt;she absolutely refused to let you cum on or in her?</span><br>cringe, dump', 'time': 1670847255, 'resto': 27900901}, {'no': 27901618, 'now': '12/12/22(Mon)07:14:31', 'name': 'Anonymous', 'com': '<a href=""#p27901601"" class=""quotelink"">&gt;&gt;27901601</a><br><span class=""quote"">&gt;keeping text messages as short as possible is the best way to get a response right?</span><br>As long as you&#039;re still communicating what you want them to do, yes.', 'time': 1670847271, 'resto': 27900901}, {'no': 27901619, 'now': '12/12/22(Mon)07:15:10', 'name': 'Anonymous', 'com': '<a href=""#p27901609"" class=""quotelink"">&gt;&gt;27901609</a><br>JH, if I ever started to date someone with your same complex I would likely break up early due to sexual incompatibility. Not being able to orgasm without peace of mind is too big of a deal for me.', 'time': 1670847310, 'resto': 27900901}, {'no': 27901620, 'now': '12/12/22(Mon)07:15:18', 'name': 'Anonymous', 'com': '<a href=""#p27901609"" class=""quotelink"">&gt;&gt;27901609</a><br><span class=""quote"">&gt;What if your gf loved you with all her heart, but she absolutely refused to let you cum in her?</span><br>Well then she doesn&#039;t love you with all her heart, does she? A good gf would have married you and given you babies by now.', 'time': 1670847318, 'resto': 27900901}, {'no': 27901621, 'now': '12/12/22(Mon)07:15:24', 'name': 'Anonymous', 'com': 'Girls what would you do if you found out your bf is into getting pussy?', 'time': 1670847324, 'resto': 27900901}]",1670847324,
1,27901215,12/12/22(Mon)05:14:26,Anonymous,Are all women like this?,"Or do I just keep running into the ones that are?<br><br><span class=""quote"">&gt;they are incredibly pretentious and say nice things when they don’t mean it</span><br><span class=""quote"">&gt;they pretend to be nice and caring but recoil at any signs of weakness </span><br><span class=""quote"">&gt;they are more interested in what you can do for them when they meet you rather than conversation itself </span><br><span class=""quote"">&gt;they change their emotions very quickly </span><br><span class=""quote"">&gt;they love validation and will do anything to gain it </span><br><span class=""quote"">&gt;They are very social and energetic </span><br><span class=""quote"">&gt;They act submissive and in love with you if they see you as an alpha male but once that image of you fades away they will look at you in disgust and horror.</span><br><span class=""quote"">&gt;They love the relationship itself more than the man </span><br><span class=""quote"">&gt;they are clones of each other in the way they act to different things </span><br><span class=""quote"">&gt;they respect you more if you demean them and act dominant than if you treat them as your equal and respect them</span><br><span class=""quote"">&gt;they struggle to make their own decisions and rely on you for it when you are together</span>",D2143216-9152-4003-BEF7-8D04D1581B66,.jpg,893,1200,186,250,1670840066942473,1670840066,7ShB2QURvRwLszILJ+HI1Q==,155575,0,0,0,are-all-women-like-this,14,0,9.0,0.0,"[{'no': 27901364, 'now': '12/12/22(Mon)06:05:15', 'name': 'Anonymous', 'com': 'It&#039;s a significant majority of them but not all.', 'time': 1670843115, 'resto': 27901215}, {'no': 27901371, 'now': '12/12/22(Mon)06:06:56', 'name': 'Anonymous', 'com': 'Depends from person to person. Some women are some of these things. A woman who meets all of these criteria is incredibly rare. There are also many who meet none of them.<br><br>Realistically, people have issues. For people in general, a major issue in current society is being corrupted by terrible values. You can blame society and parents for that one, by the way, not women themselves (men are shittier than ever as well).', 'time': 1670843216, 'resto': 27901215}, {'no': 27901377, 'now': '12/12/22(Mon)06:07:52', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;&gt;they struggle to make their own decisions and rely on you for it when you are together</span><br>this is the only common truth for all women. to the point of literally having a short circuit when told they can order whatever off a menu.', 'time': 1670843272, 'resto': 27901215}, {'no': 27901605, 'now': '12/12/22(Mon)07:09:51', 'name': 'Anonymous', 'com': '<a href=""#p27901325"" class=""quotelink"">&gt;&gt;27901325</a><br>Hes not a freak, thats exactly what the fuck happens. We see through your bs.', 'time': 1670846991, 'resto': 27901215}, {'no': 27901613, 'now': '12/12/22(Mon)07:12:56', 'name': 'Anonymous', 'com': '<a href=""#p27901343"" class=""quotelink"">&gt;&gt;27901343</a><br><a href=""#p27901605"" class=""quotelink"">&gt;&gt;27901605</a><br>We want chads, totally not a big asshole ugly homunculus incel freaks like you', 'time': 1670847176, 'resto': 27901215}]",1670847176,
2,27901204,12/12/22(Mon)05:11:51,Anonymous,,"I wish I could draw, but don&#039;t have the dedication or desire to actually learn. Can I somehow force myself to do it?",1670428194693799,.jpg,640,640,250,250,1670839911696948,1670839911,djhQnAMdK8EfCsd02OrV2A==,45677,0,0,0,i-wish-i-could-draw-but-dont-have-the-dedication,9,2,4.0,0.0,"[{'no': 27901315, 'now': '12/12/22(Mon)05:53:42', 'name': 'Anonymous', 'com': '<a href=""#p27901204"" class=""quotelink"">&gt;&gt;27901204</a><br>For starters I would just draw for fun. Don&#039;t focus on any fundamentals or learning anything in particular for a month, just draw what you think looks interesting or cool and see if you enjoy the process. If you don&#039;t and you hate it, don&#039;t waste your time with it. If you do like it, then you can start learning the fundamentals. I don&#039;t care if you like hot anime babes or giant robots. You&#039;ll figure out for yourself what you like and what you want to do.', 'filename': 'bottle_practice', 'ext': '.png', 'w': 864, 'h': 864, 'tn_w': 125, 'tn_h': 125, 'tim': 1670842422301709, 'time': 1670842422, 'md5': 'SkXLq2yB7P880jAnQgEb1g==', 'fsize': 239545, 'resto': 27901204}, {'no': 27901351, 'now': '12/12/22(Mon)06:02:45', 'name': 'Anonymous', 'com': 'I don&#039;t think he&#039;s saying that he doesn&#039;t like drawing, just that his willpower is weak.<br><br>There&#039;s no cure. You either bite down and start practicing, or wallow in despair forever.', 'time': 1670842965, 'resto': 27901204}, {'no': 27901538, 'now': '12/12/22(Mon)06:48:52', 'name': 'Anonymous', 'com': '<a href=""#p27901301"" class=""quotelink"">&gt;&gt;27901301</a><br>same <br>want to draw but don&#039;t want to go through the process of wiggling my hand to produce nothing', 'time': 1670845732, 'resto': 27901204}, {'no': 27901569, 'now': '12/12/22(Mon)06:56:44', 'name': 'Anonymous', 'com': '<a href=""#p27901204"" class=""quotelink"">&gt;&gt;27901204</a><br>You can but it took me 4 years to get to this mediocre level and I can&#039;t do anything related to anatomy so it&#039;s up to you if you really want that. I still refuse to study how to draw and it really sucks. Don&#039;t personally recommend', 'filename': 'IbarakiPortrait_20221212085436', 'ext': '.png', 'w': 2048, 'h': 2048, 'tn_w': 125, 'tn_h': 125, 'tim': 1670846204010083, 'time': 1670846204, 'md5': 'cDCOqle3V5hngRHylqSM4g==', 'fsize': 642689, 'resto': 27901204}, {'no': 27901612, 'now': '12/12/22(Mon)07:12:55', 'name': 'Anonymous', 'com': '<a href=""#p27901301"" class=""quotelink"">&gt;&gt;27901301</a><br><a href=""#p27901538"" class=""quotelink"">&gt;&gt;27901538</a><br>you want to be able to perfectly replicate your stupid daydreams and imagination in the physical world, but it sounds like you don&#039;t want to put in literally any work to develop the skills necessary to do this. you can&#039;t just teleport to the finish line. since the dawn of time, an incalculable number of hours have been spent by people practicing skills so that they can bring their visions to life in whatever medium they&#039;re working in. but alongside all those people that practiced long and hard to get where they wanted to be, there were an even greater number of weak-willed wannabes who never even properly started. for you, the only option is to pick up the pencil, start practicing and see if you can find enjoyment in the process and develop some discipline. but we all know that&#039;s not going to happen.', 'time': 1670847175, 'resto': 27901204}]",1670847175,
3,27900699,12/12/22(Mon)01:13:18,Anonymous,Relationship questions,"Hey guys,<br><br>I 19M, just want to ask if its normal to be interested in a girl, and think she is cute and pretty on the first impression, but then get totally turned off by her boring personality later on. <br><br>All of them seem to like instagram, the beach, parties, and &quot;chill?&quot; How do you get interested in apps we use to communicate, a basic geographical area, a human social gathering and just rest? <br><br>To put it in perspective, I am grateful for my body, and I box. I enjoy to read and workout. I am currently reading Man and His Symbols by Carl Jung, and want to read some philosophy.<br><br>I&#039;m unsure if this is normal.",112-1129579_cuman-warrior-wallpaper-from-kingdom-come-deliverance-warrior,.jpg,1680,1050,250,156,1670825598284235,1670825598,I7C4eJSoXFIGoO197SCy5A==,744300,0,0,0,relationship-questions,7,0,2.0,0.0,"[{'no': 27901490, 'now': '12/12/22(Mon)06:36:00', 'name': 'Anonymous', 'com': '<a href=""#p27900699"" class=""quotelink"">&gt;&gt;27900699</a><br>&quot;cute and pretty&quot; and &quot;boring&quot; often go together, with men as well as women.', 'time': 1670844960, 'resto': 27900699}, {'no': 27901503, 'now': '12/12/22(Mon)06:37:48', 'name': 'Anonymous', 'com': 'that is very common. its a damn shame, too. &quot;what a waste; this person is utter shit&quot;', 'time': 1670845068, 'resto': 27900699}, {'no': 27901589, 'now': '12/12/22(Mon)07:02:55', 'name': 'Anonymous', 'com': '<a href=""#p27900699"" class=""quotelink"">&gt;&gt;27900699</a><br>Sometimes - not always - &quot;pretty&quot; people of both sexes spend their youth getting by on their looks and never really have to develop the person inside. Non-pretty people learn early in life that they will need personality, character or brains to get by.', 'time': 1670846575, 'resto': 27900699}, {'no': 27901590, 'now': '12/12/22(Mon)07:04:27', 'name': 'Anonymous', 'com': '<a href=""#p27901589"" class=""quotelink"">&gt;&gt;27901589</a><br>absolutely seconded.', 'time': 1670846667, 'resto': 27900699}, {'no': 27901611, 'now': '12/12/22(Mon)07:12:38', 'name': 'Anonymous', 'com': '<a href=""#p27900727"" class=""quotelink"">&gt;&gt;27900727</a><br><span class=""quote"">&gt;2) The fact you are &quot;turned off&quot; by someone&#039;s personality means you bore yourself and look to others for stimulation which is a personal flaw. Other people are a mirror</span><br><br>What? A person can straight up be boring. I doubt it&#039;s OP. Would you rather hang with someone who has interests and hobbies, or is a couch potato?', 'time': 1670847158, 'resto': 27900699}]",1670847158,
4,27897134,12/11/22(Sun)15:10:46,Anonymous,,"Does anyone else hate the expression &#039;bear in mind&#039;? Every time I hear it I consider that the person might be thinking of a bear. It sucks. <br>Could we stop using this expression?<br>Also &#039;bare hands&#039;. Like dude, your hands are weak and soft, not bear-like at all.",bear-in-mind[1],.jpg,800,600,250,187,1670789446231287,1670789446,v/ga525IXjKfQOgAoeuQ9g==,81658,0,0,0,does-anyone-else-hate-the-expression-bear-in-mind,11,1,6.0,1.0,"[{'no': 27901534, 'now': '12/12/22(Mon)06:47:49', 'name': 'Anonymous', 'com': '<a href=""#p27901367"" class=""quotelink"">&gt;&gt;27901367</a><br>Really? Go pet one then', 'time': 1670845669, 'resto': 27897134}, {'no': 27901544, 'now': '12/12/22(Mon)06:50:16', 'name': 'Anonymous', 'com': '<a href=""#p27901534"" class=""quotelink"">&gt;&gt;27901534</a><br>I pet your mom. Does that count?', 'time': 1670845816, 'resto': 27897134}, {'no': 27901575, 'now': '12/12/22(Mon)06:57:41', 'name': 'Anonymous', 'com': 'gather your bearings op', 'time': 1670846261, 'resto': 27897134}, {'no': 27901579, 'now': '12/12/22(Mon)06:58:41', 'name': 'Anonymous', 'com': '<a href=""#p27901544"" class=""quotelink"">&gt;&gt;27901544</a><br>go pet a bear now', 'time': 1670846321, 'resto': 27897134}, {'no': 27901607, 'now': '12/12/22(Mon)07:10:31', 'name': 'Anonymous', 'com': '<a href=""#p27897134"" class=""quotelink"">&gt;&gt;27897134</a><br>I need a beer.', 'time': 1670847031, 'resto': 27897134}]",1670847031,
5,27898845,12/11/22(Sun)19:45:51,Ryan,poorass,how do I get my poorass rich without selling drugs or killing people?,FdslUR9WAAE27Kad,.png,2560,1440,250,140,1670805951110896,1670805951,H8ewbnLHORbYULtxohagOg==,3239402,0,0,0,poorass,9,0,4.0,0.0,"[{'no': 27900676, 'now': '12/12/22(Mon)01:03:51', 'name': 'Anonymous', 'com': '<a href=""#p27900616"" class=""quotelink"">&gt;&gt;27900616</a><br>Charity is a scam you retard.<br>OP don&#039;t listen to this commienigger.<br>What you need to do is enslave chinks and sell cheap products that will break in 4 months.', 'time': 1670825031, 'resto': 27898845}, {'no': 27900680, 'now': '12/12/22(Mon)01:07:19', 'name': 'Anonymous', 'com': 'Be a standout student in math and business and spend 8 years in college for finance. Then work 80 hours per week for a few years in New York City, and then work 60 hours per week for the next 10 years, etc', 'time': 1670825239, 'resto': 27898845}, {'no': 27900687, 'now': '12/12/22(Mon)01:09:49', 'name': 'Anonymous', 'com': '<a href=""#p27900676"" class=""quotelink"">&gt;&gt;27900676</a><br>Communists tend to be atheists who don&#039;t believe in G-d, or worse they make themselves into a god.', 'time': 1670825389, 'resto': 27898845}, {'no': 27901588, 'now': '12/12/22(Mon)07:02:53', 'name': 'Anonymous', 'com': '<a href=""#p27900580"" class=""quotelink"">&gt;&gt;27900580</a><br>I&#039;d hardly call opportunity meeting luck <br>linked in has proven that they can connect you to anyone through 3 people<br>3 people<br>thats literally it like if you can&#039;t make a few conversations to get someone to open up about a friend of a friend, you&#039;ve go bigger problems than bad luck', 'time': 1670846573, 'resto': 27898845}, {'no': 27901603, 'now': '12/12/22(Mon)07:09:09', 'name': 'Anonymous', 'com': '<a href=""#p27898845"" class=""quotelink"">&gt;&gt;27898845</a><br>Invent somwthing you can make for a penny and sell for a dollar, and needs constant replacement.<br><br>It worked with razor blades.', 'time': 1670846949, 'resto': 27898845}]",1670846949,!!sOCEVrMHawr
6,27901585,12/12/22(Mon)07:01:07,Anonymous,wat da long doin?,"Hey I&#039;m an absolute newfag at programming and I don&#039;t really understand what the variable &quot;long&quot; does in java. I&#039;ve already seen the definition, but I still don&#039;t get it. This is the example that was given to me in class:<br><br>long input;<br>long output;<br>input = 100000;<br>output = input * input;<br>println(output);<br><br>Help, please and thank you!",__izumi_konata_lucky_star_drawn_by_yuki53902__sample-43a30fa9566322e13538d344cba7fa9d,.jpg,850,1194,177,250,1670846467263352,1670846467,MNvk9QlgXYKzivnuUV1ZAA==,103518,0,0,0,wat-da-long-doin,2,1,,,"[{'no': 27901596, 'now': '12/12/22(Mon)07:05:28', 'name': 'Anonymous', 'com': '<a href=""#p27901585"" class=""quotelink"">&gt;&gt;27901585</a><br><span class=""quote"">&gt;I&#039;ve already seen the definition, but I still don&#039;t get it.</span><br><br>what. why.', 'time': 1670846728, 'resto': 27901585}, {'no': 27901598, 'now': '12/12/22(Mon)07:07:45', 'name': 'Anonymous', 'com': '<a href=""#p27901596"" class=""quotelink"">&gt;&gt;27901596</a><br>I don&#039;t understand what it does. Like what would I does it matter if i put int or long? I don&#039;t get it', 'filename': '__izumi_konata_lucky_star_drawn_by_gazacy_dai__sample-e123c14e36134a115c51deff56478d0e', 'ext': '.jpg', 'w': 850, 'h': 1344, 'tn_w': 79, 'tn_h': 125, 'tim': 1670846865198024, 'time': 1670846865, 'md5': 'PbqoteYLAQy32fiTUsa5Dg==', 'fsize': 122557, 'resto': 27901585}]",1670846865,
7,27900771,12/12/22(Mon)01:43:09,Anonymous,,"Anons I need some quick suggestions. I have been hoarding movies , video games and anime for a few months now. I&#039;ve collected around 6 tb. The thing is I don&#039;t want to spend more money on storage as I&#039;m already broke due to the situations around me. But I don&#039;t want to delete my collection either. At first I thought of only archiving old and obscure anime and movies but what if the ones which are moderately known now become old and obscure after a while ? <br><br>After a lot of research I learned about google team drives which I could generate for free and using telegram channels as a means to archive data but both aren&#039;t reliable. <br><br>What to do anons ?",o32cLv7,.jpg,560,800,175,250,1670827389579817,1670827389,uSUqCps1edXlmvTOPtBung==,176904,0,0,0,anons-i-need-some-quick-suggestions-i-have-been,9,1,4.0,1.0,"[{'no': 27901453, 'now': '12/12/22(Mon)06:26:58', 'name': 'Anonymous', 'com': 'I also hoard but only images and text. what are some common themes within your hoard?', 'time': 1670844418, 'resto': 27900771}, {'no': 27901479, 'now': '12/12/22(Mon)06:33:09', 'name': 'Anonymous', 'com': '<a href=""#p27900771"" class=""quotelink"">&gt;&gt;27900771</a><br>Fact: Anything you haven&#039;t watched in 3 months, you are never going to watch. Delete it.', 'time': 1670844789, 'resto': 27900771}, {'no': 27901500, 'now': '12/12/22(Mon)06:37:33', 'name': 'Anonymous', 'com': '<a href=""#p27901453"" class=""quotelink"">&gt;&gt;27901453</a><br>movies - consists of hollywood (including british &amp; aussie movies), old russian classics , a couple of french movies , japanese movies and some chinese movies <br><br>manga - lots of rare manga , I also try to get the highest quality scans / digital ones for the famous ones. <br><br>anime - Most of them are not rare , but 60% of the anime I have are pre-2005<br><br>videogames &amp; roms - They aren&#039;t particularly rare<br><br>digital books - I dont have much of these as I prefer the paperback books over the digital ones. <br><br><br>tv commercials from the 80s &amp; 90s<br>flac quality music (mainly rock but I also have some pop and hiphop)<br><br><br>NSFW : Rare japanese hentai games( flash and cgi )<br><br>documentaries - mainly british ones as I hate american documentaries. <br><a href=""#p27901479"" class=""quotelink"">&gt;&gt;27901479</a><br>What if some some anon here wants it ? Or maybe my kids (I don&#039;t have them as of now) ?', 'time': 1670845053, 'resto': 27900771}, {'no': 27901555, 'now': '12/12/22(Mon)06:52:37', 'name': 'Anonymous', 'com': '<a href=""#p27901500"" class=""quotelink"">&gt;&gt;27901500</a><br>ooh. any lily chou chou? /eternal ethereal Asian cinema/ reporting', 'time': 1670845957, 'resto': 27900771}, {'no': 27901591, 'now': '12/12/22(Mon)07:04:56', 'name': 'Anonymous', 'com': '<a href=""#p27901500"" class=""quotelink"">&gt;&gt;27901500</a><br>By the time your kids come around, there will be several generations of new technology, and the movies you&#039;ve saved will be as useful as 8-track tape cassettes.', 'time': 1670846696, 'resto': 27900771}]",1670846696,
8,27895637,12/11/22(Sun)09:38:44,Anonymous,GIOYC,Old thread died <br>.<br>.<br>.<br>Have you prayed today?,ADF3E2F7-8403-4E29-BB35-D3C6C28B8B9E,.jpg,828,697,250,210,1670769524028923,1670769524,g/YFcTxzg4DpqN1OVnTxqA==,425401,0,0,0,gioyc,245,27,240.0,26.0,"[{'no': 27901533, 'now': '12/12/22(Mon)06:47:42', 'name': 'Gary', 'com': '<a href=""#p27900578"" class=""quotelink"">&gt;&gt;27900578</a><br>I just hang out with my frens here. It beats facebook for sure.', 'time': 1670845662, 'resto': 27895637}, {'no': 27901537, 'now': '12/12/22(Mon)06:48:46', 'name': 'Gary', 'com': '<a href=""#p27901324"" class=""quotelink"">&gt;&gt;27901324</a><br>It’s happening!!!!', 'filename': '7D920E68-C321-49CA-8B61-AE737CA90219', 'ext': '.jpg', 'w': 512, 'h': 512, 'tn_w': 125, 'tn_h': 125, 'tim': 1670845726045858, 'time': 1670845726, 'md5': 'dh39G3h2FPzvlN+ooed6pg==', 'fsize': 39569, 'resto': 27895637}, {'no': 27901553, 'now': '12/12/22(Mon)06:51:51', 'name': 'Anonymous', 'com': 'There&#039;s a bang at the door', 'time': 1670845911, 'resto': 27895637}, {'no': 27901570, 'now': '12/12/22(Mon)06:57:01', 'name': 'Gary', 'com': 'It’s so cold out today. Laurissa, I’m coming to get you.....', 'time': 1670846221, 'resto': 27895637}, {'no': 27901587, 'now': '12/12/22(Mon)07:02:40', 'name': 'Anonymous', 'com': '<a href=""#p27901553"" class=""quotelink"">&gt;&gt;27901553</a><br>Unlock the fucking house I&#039;ve got to take a dump', 'time': 1670846560, 'resto': 27895637}]",1670846560,
9,27899174,12/11/22(Sun)20:27:29,Ryan,shock,How do I make myself more resistant to shock? I have reason to believe I will be physically violated by foes in due time and I have to be able to withstand it.,i(1),.jpg,1120,1120,250,250,1670808449453951,1670808449,KkLGjG8hRulMRTesB80PIw==,94096,0,0,0,shock,7,2,2.0,1.0,"[{'no': 27899213, 'now': '12/11/22(Sun)20:33:56', 'name': 'Anonymous', 'com': '<a href=""#p27899174"" class=""quotelink"">&gt;&gt;27899174</a><br>Pick fights and lose them. Also, take cold showers and hold ice cubes.', 'time': 1670808836, 'resto': 27899174}, {'no': 27900918, 'now': '12/12/22(Mon)03:05:50', 'name': 'Anonymous', 'com': '<a href=""#p27899174"" class=""quotelink"">&gt;&gt;27899174</a><br>Be a Nord in Morrowind or enchant clothes/jewelry with Resist Shock', 'time': 1670832350, 'resto': 27899174}, {'no': 27901358, 'now': '12/12/22(Mon)06:04:26', 'name': 'Anonymous', 'com': '<a href=""#p27899174"" class=""quotelink"">&gt;&gt;27899174</a><br>wear a rubber', 'filename': 'Screenshot_20221212_092859', 'ext': '.jpg', 'w': 1439, 'h': 1578, 'tn_w': 113, 'tn_h': 125, 'tim': 1670843066523019, 'time': 1670843066, 'md5': 'ExxSzxHIl2Xi999qqBRasg==', 'fsize': 591516, 'resto': 27899174}, {'no': 27901443, 'now': '12/12/22(Mon)06:25:06', 'name': 'Anonymous', 'com': '<a href=""#p27899174"" class=""quotelink"">&gt;&gt;27899174</a><br>Violators will be prosecuted.<br>Prostitutes will be violated.', 'time': 1670844306, 'resto': 27899174}, {'no': 27901583, 'now': '12/12/22(Mon)07:00:13', 'name': 'Anonymous', 'com': 'medical grade drugs', 'time': 1670846413, 'resto': 27899174}]",1670846413,!!sOCEVrMHawr
