,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies,trip
0,7196511,1.0,1.0,11/17/13(Sun)00:34,Anonymous,READ THIS BEFORE YOU POST A NEW THREAD,"/cgl/ is a board for the following:<br><br>• Cosplay<br>• Lolita<br>• J-fashion<br>• Conventions &amp; gatherings<br>• Sewing &amp; prop-making<br>• Craftsmanship tools/materials &amp; tutorials<br>• LARPing<br>• Discussing accessories such as wigs/circle lenses/prosthetics/makeup (These must be within the context of the board-related topics listed above; weight loss threads should be kept in /fit/, beauty and fashion generals should be kept in /fa/)<br><br>Our board rules are simple:<br><br>• Thread content must be related to one of the categories covered in the list above. Off-topic threads and replies will be deleted.<br>• Singling people out maliciously is not tolerated and will result in a ban. 4chan is not your personal army. The singling out rule applies to vendetta threads and replies being made to attack a specific person, as well as predatory behavior like doxing. Discussing an individual in general isn&#039;t against the rules as long as it&#039;s done within context of cosplay/lolita/j-fashion.<br>• Advertising and spamming are not allowed. <br>• This is a work-safe board.<br><br>If you encounter a post that is in violation of these rules, USE THE REPORT BUTTON! Please help us keep the board healthy and free of off-topic posts!<br><br>Helpful Links:<br><br>- Tutorial Database: http://cosplaytutorial.com/list.php<wbr><br>- /cgl/ general: http://pastebin.com/2E2BmDDc<br>- Taobao: http://pastebin.com/B2KSFQUM<br>- Lolibrary: http://lolibrary.org/<br>- Hello Lace: http://hellolace.net/<br>- Cosplay dot com: http://www.cosplay.com/",get out while you still can,.jpg,300,400,187,250,1384666459492,1384666459,sRYXfr0T6u4gbQrWEj/owA==,26593,0,mod,read-this-before-you-post-a-new-thread,0,0,1384666469,,,,,,
1,10798482,,,08/12/22(Fri)16:39:29,Anonymous,Sexualization at cons,"https://www.youtube.com/watch?v=F8h<wbr>Se1kKSKc<br><br>What did /cgl/ think of this video? Usually I think Venti is a bit of a lolcow, but I don&#039;t blame her here. She&#039;s absolutely right. Cons are insanely degenerate places these days: predatory stuff, promiscuous women, BPD freakouts, 14 year olds dressed up in Kill la Kill stuff, room parties with drugs and booze being passed around to young teens, trashy zoomer girls doing sexualized stuff for Tik Tok etc. <br><br>Note the girl in the video, who, when Brittany asks her: <br><span class=""quote"">&gt;&quot;How about for $100? Would you give a happy ending?&quot;</span><br>She answers<br><span class=""quote"">&gt;&quot;Sure&quot;</span><br><br>Imagine being that girl&#039;s father and watching that video. All of this sex-positive feminism stuff, and a lot of the older gulls here promoted this hard, and the zoomers almost uniformly support it, has really made the anime and wider weeb fandoms just awful. And I don&#039;t exclusively blame the men, I actually think (disagree with Brittany here) that the women are more to blame because they push sex posi feminism so hard.",Capture2,.png,1116,714,250,159,1660336769241748,1660336769,7KWxDWgAs1RKoH2uc2hzug==,1016336,0,,sexualization-at-cons,291,18,1670933735,0.0,0.0,286.0,16.0,"[{'no': 10820935, 'now': '11/28/22(Mon)00:54:30', 'name': 'Anonymous', 'com': '<a href=""#p10809201"" class=""quotelink"">&gt;&gt;10809201</a><br>Stupid (Atheist) Retard who thinks he’s smart<br>You project your sinful ways unto everything else to justify it to yourself because YOU KNOW it’s wrong.', 'time': 1669614870, 'resto': 10798482}, {'no': 10820965, 'now': '11/28/22(Mon)09:51:36', 'name': 'Anonymous', 'com': '<a href=""#p10820878"" class=""quotelink"">&gt;&gt;10820878</a><br>You&#039;re stupid. What you&#039;re describing is called &quot;Getting what you want.&quot; It&#039;s almost always depressing because that&#039;s how all desire works. It&#039;s an endless cycle. Adults either learn how to accept this fact of life or turn to a religious/philosophical crutch to help them cope.', 'time': 1669647096, 'resto': 10798482}, {'no': 10820966, 'now': '11/28/22(Mon)09:55:27', 'name': 'Anonymous', 'com': '<a href=""#p10820935"" class=""quotelink"">&gt;&gt;10820935</a><br>Seems like you&#039;re trying to enforce rules and sin in a world where they don&#039;t exist. I have nothing against your religion. Just don&#039;t expect me to participate actively in it.', 'time': 1669647327, 'resto': 10798482}, {'no': 10822091, 'now': '12/04/22(Sun)17:11:45', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;don&#039;t fap to me silly boys</span>', 'filename': 'j8uh5zuob7t91', 'ext': '.jpg', 'w': 718, 'h': 873, 'tn_w': 102, 'tn_h': 124, 'tim': 1670191905981143, 'time': 1670191905, 'md5': 'zF+5+PBEHNg5D8nVH1Ph5w==', 'fsize': 345730, 'resto': 10798482}, {'no': 10823383, 'now': '12/13/22(Tue)07:15:35', 'name': 'Anonymous', 'filename': 'bfnqa9nvalq91', 'ext': '.webm', 'w': 680, 'h': 382, 'tn_w': 125, 'tn_h': 70, 'tim': 1670933735568633, 'time': 1670933735, 'md5': 'ronDCFhwQVyA6Lox2qCZ8g==', 'fsize': 3125283, 'resto': 10798482}]",
2,10822031,,,12/04/22(Sun)11:59:47,Anonymous,Brit British England thread. Low energy Sunday evening edition,"Ok, this really is getting to the point where it doesn’t feel worth it anymore. But fuck it. It’s habitual.<br><br>Anime on UK 2023 <br>June 17-18, 2023 National Exhibition Centre<br>Birmingham, UK<br><br>Tokonatsu 2023 August 10-14, 2023 Boyd Memorial Camp Site and Activity Centre<br>Henlow, Bedfordshire, UK<br><br>I’m sure there will be Kitas, Ames, minami etc with dates somewhere as well as all the usual Expo MCM comic LFCC things and random local version.<br><br>Let’s all sit back and have some existential dread over a winter of blackouts, food / rent we can’t afford and prospects of everyone being made redundant or fired as the economy collapses from a series of conspiracy related reasons. <br><br>Drama optional.",45F23C38-8530-48B0-8C25-BB5D17ABD155,.jpg,1024,576,250,140,1670173187850628,1670173187,duNUG+TigvXibjETlBauZw==,92785,0,,brit-british-england-thread-low-energy-sunday,51,9,1670933387,0.0,0.0,46.0,8.0,"[{'no': 10823221, 'now': '12/12/22(Mon)05:58:52', 'name': 'Anonymous', 'com': '<a href=""#p10823219"" class=""quotelink"">&gt;&gt;10823219</a><br>Warwick, Keele and the Britannia. Famously the only 3 conference centers in the UK', 'time': 1670842732, 'resto': 10822031}, {'no': 10823271, 'now': '12/12/22(Mon)13:50:35', 'name': 'Anonymous', 'com': '<a href=""#p10823131"" class=""quotelink"">&gt;&gt;10823131</a><br>hahaha! For the record I’m laughing at you, not with you', 'time': 1670871035, 'resto': 10822031}, {'no': 10823379, 'now': '12/13/22(Tue)05:54:37', 'name': 'Anonymous', 'filename': '1670920392794263 567', 'ext': '.png', 'w': 680, 'h': 943, 'tn_w': 90, 'tn_h': 125, 'tim': 1670928877676089, 'time': 1670928877, 'md5': 'Cm7HzUf7KQdf4ZA/e/fNhQ==', 'fsize': 678613, 'resto': 10822031}, {'no': 10823381, 'now': '12/13/22(Tue)06:58:15', 'name': 'Anonymous', 'com': '<a href=""#p10822031"" class=""quotelink"">&gt;&gt;10822031</a><br>merry crhirstimas to all my good friends i made onm the dead discord watching icesnort vids and thinking of you especially kazoo who was right', 'time': 1670932695, 'resto': 10822031}, {'no': 10823382, 'now': '12/13/22(Tue)07:09:47', 'name': 'Anonymous', 'com': '<a href=""#p10823381"" class=""quotelink"">&gt;&gt;10823381</a><br>Actually, I was wrong all along', 'time': 1670933387, 'resto': 10822031}]",
3,10783996,,,07/05/22(Tue)23:17:38,Anonymous,Crossplay/Crossdress #19: Recycled picture edition,"I noticed nobody bothered to make another one of these since last one was archived. Here it is. <br><br>Keep it /cgl/-related! Cosplay or J-fashion like Lolita/Brolita, Aristocrat, Kimono, Nanchatte, etc.!<br><br>-----------------------------------<wbr>-----------------------------------<wbr><br><br>ITT you may post:<br>- Useful guides that can be applied to crossplaying/crossdressing<br>- Questions, help, sharing advice to improve your appearance to pass temporary as the opposite gender (Male -&gt; Female, Female -&gt; Male)<br>- pictures of crossplay/crossdressing coords, selfposts<br>- personal experience/stories regarding crossplay/crossdressing<br><br>NOT allowed:<br>- Anything in sexual context/fetish stuff<br>- Anything related to gender transition like hormones, operation etc.; <a href=""//boards.4channel.org/lgbt/"" class=""quotelink"">&gt;&gt;&gt;/lgbt/</a> might be the better place for this<br>- Casual crossdressing without any /cgl/-context<br>-----------------------------------<wbr>-----------------------------------<wbr><br><br>Link collection:<br>https://docs.google.com/spreadsheet<wbr>s/d/1K_dKpZOqzVkbN2MtmiU9yTn4LDIfxI<wbr>hLQAuc8L9xX1k/edit#gid=0<br><br>-----------------------------------<wbr>-----------------------------------<wbr><br><br>Contact for suggestions or contribution: crossplay.cgl@yahoo.com<br><br>-----------------------------------<wbr>-----------------------------------<wbr><br><br>Affiliated Discord server: https://discord.gg/eBnVEtQ<br><br>Previous thread: <span class=""deadlink"">&gt;&gt;10710799</span>",1592957044840,.jpg,900,1200,187,250,1657077458709,1657077458,F50obu4GmuFYtLlMrcZMMg==,182577,0,,crossplaycrossdress-19-recycled-picture-edition,308,60,1670931074,0.0,0.0,303.0,57.0,"[{'no': 10822982, 'now': '12/10/22(Sat)16:04:51', 'name': 'Anonymous', 'com': '<a href=""#p10822979"" class=""quotelink"">&gt;&gt;10822979</a><br>Do you have some mates who&#039;re into crossplaying as well so you can make a whole councilrys grunge group? I think that would be a pretty cool cosplay idea<br><br><span class=""quote"">&gt;tfw to stubby to cosplay as my oshi</span>', 'filename': '1668397011467', 'ext': '.jpg', 'w': 1132, 'h': 1079, 'tn_w': 124, 'tn_h': 119, 'tim': 1670706291622860, 'time': 1670706291, 'md5': '0IvIkypN9A7dDPQaN1mdrg==', 'fsize': 155560, 'resto': 10783996}, {'no': 10822993, 'now': '12/10/22(Sat)16:57:05', 'name': 'Anonymous', 'com': '<a href=""#p10822982"" class=""quotelink"">&gt;&gt;10822982</a><br>Yussss, I think my said she wanted to do a hololive cosplay with me but crosspaly sounds pretty fun ! I want in', 'filename': 'file', 'ext': '.png', 'w': 498, 'h': 280, 'tn_w': 125, 'tn_h': 70, 'tim': 1670709425551109, 'time': 1670709425, 'md5': 'dXXN9jt1cQHHHw3ZT4pByw==', 'fsize': 117952, 'resto': 10783996}, {'no': 10823070, 'now': '12/11/22(Sun)11:08:47', 'name': 'Anonymous', 'com': 'hi frens<br><br>older one, probably going to figure out some new ones this year', 'filename': '75472289_164974004893008_1890708954083287019_n', 'ext': '.jpg', 'w': 1080, 'h': 1080, 'tn_w': 125, 'tn_h': 125, 'tim': 1670774927353763, 'time': 1670774927, 'md5': '0fcdlhTNw+ef5vcXD4iBkw==', 'fsize': 149230, 'resto': 10783996}, {'no': 10823354, 'now': '12/12/22(Mon)23:04:02', 'name': 'Anonymous', 'com': 'in the past i&#039;ve managed to get away with crossdressing due to my small frame even when i&#039;m like 5&quot;8&#039;.<br><br>but last night my mom suddenly pointed out to me that it appears like my shoulders have gotten broader lately and i&#039;m devastated. i barely have interests to cosplay male characters and cosplay is legit my biannual serotonin dose. <br><br>i&#039;ve been thinking about what she said since yesterday and i&#039;m just so lost. is there any way to get away with broad shoulders in crossplay or am I just screwed?', 'time': 1670904242, 'resto': 10783996}, {'no': 10823380, 'now': '12/13/22(Tue)06:31:14', 'name': 'Anonymous', 'com': '<a href=""#p10823354"" class=""quotelink"">&gt;&gt;10823354</a><br>It&#039;s going to lessen your choices and change the way you proportion your body, but it shouldn&#039;t stop you from crossplaying. Not every girl has narrow shoulders- in general wider shoulders = wider hips = larger bust size. Welcome to the world of padding.', 'time': 1670931074, 'resto': 10783996}]",
4,10809295,,,09/25/22(Sun)21:19:04,Anonymous,"Makeup, Hair and Skin-care Thread","There hasn&#039;t been one in a while. Talk about skin-care, hair, and makeup.",img_cccaf7bc6d86efc09fccbae700797473945633,.jpg,1080,567,250,131,1664155144118406,1664155144,eit99N7/imjBNl5FRLZaGA==,94485,0,,makeup-hair-and-skincare-thread,127,17,1670927116,0.0,0.0,122.0,17.0,"[{'no': 10818954, 'now': '11/18/22(Fri)01:51:22', 'name': 'Anonymous', 'com': '<a href=""#p10818900"" class=""quotelink"">&gt;&gt;10818900</a><br>Sure Jan. You’re still wrong.', 'time': 1668754282, 'resto': 10809295}, {'no': 10818955, 'now': '11/18/22(Fri)01:57:54', 'name': 'Anonymous', 'com': '<a href=""#p10818897"" class=""quotelink"">&gt;&gt;10818897</a><br>The alcohol in it is to help the sunscreen absorb and work better on your skin. Just because you saw on tiktok that it is bad, doesn’t mean anything. Even parabans have a purpose in products. Japanese sunscreen is better than korean', 'time': 1668754674, 'resto': 10809295}, {'no': 10819163, 'now': '11/19/22(Sat)09:56:23', 'name': 'Anonymous', 'com': '<a href=""#p10809295"" class=""quotelink"">&gt;&gt;10809295</a><br>Where the fuck do I get setting powder?? I ran out and assumed I could just pick some more up, but literally not a single makeup store I&#039;ve been to has had any. <br>t. welsh', 'time': 1668869783, 'resto': 10809295}, {'no': 10823360, 'now': '12/12/22(Mon)23:28:57', 'name': 'Anonymous', 'com': '<a href=""#p10819163"" class=""quotelink"">&gt;&gt;10819163</a><br>order it online from a makeup store like sephora or ulta. I personally use airspun which is drugstore, but higher end is probably better quality. the makeup forever setting powder is good apparently', 'time': 1670905737, 'resto': 10809295}, {'no': 10823378, 'now': '12/13/22(Tue)05:25:16', 'name': 'Anonymous', 'com': '<a href=""#p10818955"" class=""quotelink"">&gt;&gt;10818955</a><br>Putting alcohol on your hands dries them out. What in fucks name do you think it does to your face if you apply it there? Summer truly never ends here.', 'time': 1670927116, 'resto': 10809295}]",
5,10821920,,,12/03/22(Sat)15:59:21,Anonymous,Ita thread: itas visiting japan edition,"Previous thread is auto saging<br><a href=""/cgl/thread/10818737#p10818737"" class=""quotelink"">&gt;&gt;10818737</a>",BFC9A82C-848E-47F6-A4C4-DAF54F7CA26E,.jpg,957,1280,186,250,1670101161119732,1670101161,IaykvsHgI0Kjf6Kgow19rw==,579673,0,,ita-thread-itas-visiting-japan-edition,229,59,1670926986,0.0,0.0,224.0,59.0,"[{'no': 10823356, 'now': '12/12/22(Mon)23:10:56', 'name': 'Anonymous', 'com': '<a href=""#p10823323"" class=""quotelink"">&gt;&gt;10823323</a><br>All she had ever done is copy people or old street snaps', 'time': 1670904656, 'resto': 10821920}, {'no': 10823370, 'now': '12/13/22(Tue)01:08:59', 'name': 'Anonymous', 'com': '<a href=""#p10823313"" class=""quotelink"">&gt;&gt;10823313</a><br>It still looks like ass you dense retard. How many times do you have to be told? If a whale ita had uneven bangs she’d be roasted.', 'time': 1670911739, 'resto': 10821920}, {'no': 10823372, 'now': '12/13/22(Tue)01:13:32', 'name': 'Anonymous', 'com': '<a href=""#p10823315"" class=""quotelink"">&gt;&gt;10823315</a><br><span class=""quote"">&gt;fruits/Kera style </span><br>Fuck off zoomer. Way to out yourself as not knowing what you’re talking about. It’s too easy to spot when you literal children are lying out of your ass.', 'time': 1670912012, 'resto': 10821920}, {'no': 10823373, 'now': '12/13/22(Tue)03:20:02', 'name': 'Anonymous', 'com': '<a href=""#p10823372"" class=""quotelink"">&gt;&gt;10823372</a><br>you don’t like “proto-lolita”, you don’t like “fruits style”, the fuck does your wrinkly ass want people to call those styles then? it’s obviously not lolita', 'time': 1670919602, 'resto': 10821920}, {'no': 10823377, 'now': '12/13/22(Tue)05:23:06', 'name': 'Anonymous', 'com': '<a href=""#p10823373"" class=""quotelink"">&gt;&gt;10823373</a><br>I want you to open an old Fruits magazine and look through it. And stop using zoomer labels if you want to be taken seriously. <br><br>If you’re too poor Lolibrary is a free option. Look up items from the late 90s and early aughts. <br><br>You know the fashion evolved over time right? The shit brands churned out during the early days is still considered lolita.', 'time': 1670926986, 'resto': 10821920}]",
6,10810026,,,09/29/22(Thu)04:18:21,Anonymous,,Suzupoii thread,955E0AC2-F0EF-44E2-AC30-6659E2AAB779,.jpg,1125,1407,199,250,1664439501786465,1664439501,7NbKWjHTGOXLd+mn/gjS9A==,262353,0,,suzupoii-thread,70,39,1670924201,0.0,0.0,65.0,37.0,"[{'no': 10822858, 'now': '12/09/22(Fri)19:35:12', 'name': 'Anonymous', 'com': '<a href=""#p10822674"" class=""quotelink"">&gt;&gt;10822674</a><br><a href=""#p10822671"" class=""quotelink"">&gt;&gt;10822671</a><br>nice', 'time': 1670632512, 'resto': 10810026}, {'no': 10823170, 'now': '12/11/22(Sun)21:57:07', 'name': 'Anonymous', 'com': '<a href=""#p10822838"" class=""quotelink"">&gt;&gt;10822838</a><br>Clock is running out tho. She&#039;s a drunkard and already has bags under eyes despite being only 25.', 'time': 1670813827, 'resto': 10810026}, {'no': 10823365, 'now': '12/13/22(Tue)00:10:23', 'name': 'Anonymous', 'com': '<a href=""#p10823170"" class=""quotelink"">&gt;&gt;10823170</a><br>It&#039;ll only make her hotter', 'time': 1670908223, 'resto': 10810026}, {'no': 10823375, 'now': '12/13/22(Tue)04:35:40', 'name': 'Anonymous', 'com': 'Posts this on may 8th after learning guys cum to her pics', 'filename': '770C4940-B3AB-4440-9960-7D3FCDC47976', 'ext': '.jpg', 'w': 499, 'h': 787, 'tn_w': 79, 'tn_h': 125, 'tim': 1670924140304285, 'time': 1670924140, 'md5': 'SihyuEVJLGwFiYTuWxcPmQ==', 'fsize': 350357, 'resto': 10810026}, {'no': 10823376, 'now': '12/13/22(Tue)04:36:41', 'name': 'Anonymous', 'com': 'Posts these next day lol she wants a coom tribute', 'filename': 'EAED1FA4-0A9B-4ED3-8F79-E60A48F027CE', 'ext': '.jpg', 'w': 1125, 'h': 1654, 'tn_w': 85, 'tn_h': 125, 'tim': 1670924201446567, 'time': 1670924201, 'md5': 'maqR6CygckP1XffHr2Fjlw==', 'fsize': 1316430, 'resto': 10810026}]",
7,10817921,,,11/13/22(Sun)14:52:43,Anonymous,/sew/,"Sewing Thread: post your sewing related questions here.<br><br>Sewing noob here. Pic related is an issue I&#039;m running into, the material is 4 way stretch nylon. When sewing the binding to the panel it keeps getting pulled right, throwing everything off and forcing me to either lift the foot multiple times to realign, or just ruining it and making me restart. What could be the issues here - am I using the wrong type of foot? Should I use lighter foot pressure? Thanks, all help is appreciated",IMG_3719,.jpg,3024,4032,187,250,1668369163977350,1668369163,GuDhHLEUchI/46XqoM0SCQ==,3850518,0,,sew,84,17,1670923567,0.0,0.0,79.0,16.0,"[{'no': 10823328, 'now': '12/12/22(Mon)19:26:54', 'name': 'Anonymous', 'com': '<a href=""#p10823327"" class=""quotelink"">&gt;&gt;10823327</a><br>Have you used a knit scallop trim before? If so, do you have any recommendations for good trim?', 'time': 1670891214, 'resto': 10817921}, {'no': 10823341, 'now': '12/12/22(Mon)20:37:16', 'name': 'Anonymous', 'com': '<a href=""#p10823262"" class=""quotelink"">&gt;&gt;10823262</a><br>ntayrt, but why didn&#039;t you just say that in your original comment instead of waiting for anon to reply and ask?', 'time': 1670895436, 'resto': 10817921}, {'no': 10823352, 'now': '12/12/22(Mon)22:15:04', 'name': 'Anonymous', 'com': '<a href=""#p10823262"" class=""quotelink"">&gt;&gt;10823262</a><br>That post was replying to someone asking if they could sew a blouse pattern with knit fabric…it doesn’t have anything to do with cardigans.', 'time': 1670901304, 'resto': 10817921}, {'no': 10823368, 'now': '12/13/22(Tue)00:40:09', 'name': 'Anonymous', 'com': '<a href=""#p10823352"" class=""quotelink"">&gt;&gt;10823352</a><br>no, it was a cutsew. anon probably responded to the wrong post.', 'time': 1670910009, 'resto': 10817921}, {'no': 10823374, 'now': '12/13/22(Tue)04:26:07', 'name': 'Anonymous', 'com': '<a href=""#p10822843"" class=""quotelink"">&gt;&gt;10822843</a><br>You’ll end up with a baggy cutsew with wobbly seams. Patterns for wovens have positive ease included whereas patterns for knits have zero or negative ease. Patterns for knits also have less curved armscyes and sleeve caps. Often the front and back armscyes in knit patterns are identical while in woven patterns they’re different. I’m not sure how to explain this (ESL) but with stretch fabrics it’s better to let the fabric do the shaping, whereas with wovens you have to make the seams curve properly around the body for the garment to fit. Patterns for knits don’t have darts for the same reason. It’s also more difficult to sew complex curves on a serger.<br>You can use an existing t-shirt as a pattern like the other anon suggested or look for a pattern designed for knits. ONS has several cutsew patterns with Peter Pan collars but I don’t think any of them have a front button closure, so you’d have to add that yourself. I’d recommend using special stretchy fusible interfacing for the button placket, neckline facing and maybe the cuffs.<br><br><a href=""#p10823328"" class=""quotelink"">&gt;&gt;10823328</a><br>Nayrt but I don’t think I’ve ever seen stretchy scallop trim of the kind you’re looking for anywhere, and I spend a lot of time looking at trims. You could use non-stretch trim and accept that whatever edge you sew it on is going to lose its stretch, or you can use the shell tuck hem. I have several (store-bought) knit tops and even a cardigan with the shell tuck hem and it looks really cute.', 'filename': 'F1EB203F-F54D-4FBA-BF96-79C5C62EE009', 'ext': '.jpg', 'w': 1684, 'h': 1125, 'tn_w': 125, 'tn_h': 83, 'tim': 1670923567746871, 'time': 1670923567, 'md5': 'Ji/MVcVx7A3AobevDizYeA==', 'fsize': 1451634, 'resto': 10817921}]",
8,10823257,,,12/12/22(Mon)12:03:38,Anonymous,Slow death of the Japanese second-hand market?,I&#039;ve noticed that the online Japanese second-hand market seems to be slowly dying over the past couple of years. This doesn&#039;t seem to be affecting just lolita fashion but also other weeb hobbies like merch collection.<br><br>Have you noticed this slow-down in your substyle or hobby? Do you agree or disagree? What do you think is happening?,tumblr_pbi393fqEk1r8awsbo1_1280,.jpg,1280,960,250,187,1670864618245148,1670864618,7PNkquQDlH4LOvD/7k2C1g==,423345,0,,slow-death-of-the-japanese-secondhand-market,8,0,1670911813,0.0,0.0,3.0,0.0,"[{'no': 10823307, 'now': '12/12/22(Mon)17:22:57', 'name': 'Anonymous', 'com': '<a href=""#p10823293"" class=""quotelink"">&gt;&gt;10823293</a><br>The Japanese are caring less and less about condition. They haven’t been as meticulous about posting damages either in the past five or so years. The secondhand goods I’ve bought lately have undisclosed issues that would be impossible to overlook. <br><br>Some sellers in Japan are now scamming and lying about the condition just like Western lolitas do.', 'time': 1670883777, 'resto': 10823257}, {'no': 10823311, 'now': '12/12/22(Mon)17:30:51', 'name': 'Anonymous', 'com': 'For me personally, the best time to buy japanese 2nd hand was from 2010-2013. There was an abundance of cheap classic on the market, which is basically non-existent today. By 2015 I noticed that it got less and by 2018 the market was more or less dead. Imo it has to do with brands closing/pushing out less frequent releases, and that most Japanese lolitas from the 2000s/early 2010s when it was very popular in Japan already graduated from the fashion. Nowadays lolita is very niche in Japan, it only makes sense that there is less of it on the market.', 'time': 1670884251, 'resto': 10823257}, {'no': 10823345, 'now': '12/12/22(Mon)20:57:58', 'name': 'Anonymous', 'com': '<a href=""#p10823257"" class=""quotelink"">&gt;&gt;10823257</a><br>yeah I&#039;ve noticed fewer new items each day. Even two years ago it wasn&#039;t this bad.', 'time': 1670896678, 'resto': 10823257}, {'no': 10823351, 'now': '12/12/22(Mon)22:10:44', 'name': 'Anonymous', 'com': 'Maybe they’re tired of seeing all their stuff get snapped up by scalpers', 'time': 1670901044, 'resto': 10823257}, {'no': 10823371, 'now': '12/13/22(Tue)01:10:13', 'name': 'Anonymous', 'com': 'It&#039;s about china and Korea now, Japan is old news', 'time': 1670911813, 'resto': 10823257}]",
9,10815307,,,10/30/22(Sun)17:37:38,Anonymous,J-Fashion Stupid Questions Thread,You know what to do,angleordebil,.jpg,1117,900,250,201,1667165858394219,1667165858,kbB5lrfVo71hf3U2ELtPyA==,183637,0,,jfashion-stupid-questions-thread,224,31,1670911400,0.0,0.0,219.0,30.0,"[{'no': 10823218, 'now': '12/12/22(Mon)04:53:03', 'name': 'Anonymous', 'com': '<a href=""#p10823045"" class=""quotelink"">&gt;&gt;10823045</a><br>Brand socks obviously are better quality but honestly there all just long cotton socks, it&#039;s kinda hard to screw that up', 'time': 1670838783, 'resto': 10815307}, {'no': 10823227, 'now': '12/12/22(Mon)07:30:43', 'name': 'Anonymous', 'com': '<a href=""#p10823211"" class=""quotelink"">&gt;&gt;10823211</a><br>I agree with that idea. I&#039;ve also bought some plain, comfortable high quality socks and attached lace to them. If the bottom of the socks wears out and the lace is still in good condition I can just undo the hand stitching and reuse the lace circle on a new pair of socks.<br>I bought 2 pairs of really high quality socks a few years ago on YesStyle. Both OTKs and UTKs.<br>Thick, soft cotton. They were not the cheapest because I still paid between 8 and 10$ per pair.<br><br><a href=""#p10823218"" class=""quotelink"">&gt;&gt;10823218</a><br>loads of cheap taobao or offbrand socks marketed towards lolitas are synthetic and thin. There are pros and cons to this though, some people claim these stretch way more and are more comfortable.<br>There are also thin cotton socks and they have a tendency to start dropping down your legs after a while.<br>If you&#039;re looking for solid color socks (no print) with lace then I think the cheapest and best route is to get some plain high quality cotton socks and attach lace yourself.', 'time': 1670848243, 'resto': 10815307}, {'no': 10823276, 'now': '12/12/22(Mon)14:50:18', 'name': 'Anonymous', 'com': '<a href=""#p10823209"" class=""quotelink"">&gt;&gt;10823209</a><br>Thank you for replying. I really want to talk to her, but I&#039;m scared she will explode because of it and make a fuss in a public place. Nobody in the comm trusts her anymore so I don&#039;t care if she lies about me. Maybe I&#039;ll gather strength with a few friends and we can talk to her in a group.<br><br>Thanks again, I really needed the advice.', 'time': 1670874618, 'resto': 10815307}, {'no': 10823350, 'now': '12/12/22(Mon)21:19:48', 'name': 'Anonymous', 'com': 'If anyone here owns/owned Suppurate System&#039;s apple jewelry, what is it made of? Are the apples hand sculpted out of something like clay, or are they repainted cheap artificial foam apples? I&#039;ve heard their quality was never great, so I&#039;m afraid it could be the latter, in which case I don&#039;t want to go spending big $ on one', 'filename': '46B38FE9-846F-4EFA-8022-4AB6D5D06E81', 'ext': '.jpg', 'w': 600, 'h': 450, 'tn_w': 125, 'tn_h': 93, 'tim': 1670897988010738, 'time': 1670897988, 'md5': 'nX0PNyJSQJa9RnMMKQZwkA==', 'fsize': 69253, 'resto': 10815307}, {'no': 10823369, 'now': '12/13/22(Tue)01:03:20', 'name': 'Anonymous', 'com': 'Would it work to buy black bloomers with white lace and dye the lace black. Having a hell of a time finding torchon lace black bloomers in a long length.', 'time': 1670911400, 'resto': 10815307}]",
