,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,18681485,12/10/22(Sat)18:32:36,Anonymous,"Ugly looking food that taste great; suck it, instagram.<br>*coff* .",USA04,.jpg,1024,768,250,187,1670715156586842,1670715156,ReDBliq7JEKM+yqAIRxtsA==,204696,0,0,0,ugly-looking-food-that-taste-great-suck-it,17,8,12.0,6.0,"[{'no': 18683402, 'now': '12/11/22(Sun)04:55:29', 'name': 'Anonymous', 'com': '<a href=""#p18683100"" class=""quotelink"">&gt;&gt;18683100</a><br>Funny. Schnitzel is always tender meat, but most unbreaded pork chops I ate were hard and stringy.', 'filename': 'sm_8549_schnitzelbroetchen', 'ext': '.jpg', 'w': 500, 'h': 322, 'tn_w': 125, 'tn_h': 80, 'tim': 1670752529046420, 'time': 1670752529, 'md5': 'rADXSXMrtP3CP7u54dnzwQ==', 'fsize': 20611, 'resto': 18681485}, {'no': 18683407, 'now': '12/11/22(Sun)04:57:57', 'name': 'Anonymous', 'com': '<a href=""#p18683402"" class=""quotelink"">&gt;&gt;18683402</a><br>That&#039;s because a schnitzel is tenderized and hammered flat, unlike most porkchops.', 'time': 1670752677, 'resto': 18681485}, {'no': 18683468, 'now': '12/11/22(Sun)05:43:37', 'name': 'Anonymous', 'com': '<a href=""#p18682882"" class=""quotelink"">&gt;&gt;18682882</a><br>Good morning sir', 'time': 1670755417, 'resto': 18681485}, {'no': 18683658, 'now': '12/11/22(Sun)07:10:38', 'name': 'Anonymous', 'com': 'Sloppa', 'filename': '20221211_130739', 'ext': '.jpg', 'w': 4000, 'h': 3000, 'tn_w': 125, 'tn_h': 93, 'tim': 1670760638459123, 'time': 1670760638, 'md5': 'CDuYt9ZDjEFHqNUjrx2+2Q==', 'fsize': 3361871, 'resto': 18681485}, {'no': 18683660, 'now': '12/11/22(Sun)07:11:50', 'name': 'Anonymous', 'com': '<a href=""#p18683658"" class=""quotelink"">&gt;&gt;18683658</a><br>Shit why does it put my pictures sideways ?', 'time': 1670760710, 'resto': 18681485}]",1670760710,,
1,18668359,12/07/22(Wed)11:01:41,Anonymous,"Post some classic British teatime treats.<br>There&#039;s nothing more welcoming than coming home from the tractor factory set in the cold and after a multiple mile walk.<br>Whether you like it or not - the British have adapted their cuisine to perfectly accentuate the climate that they live in. <br><br>As rain and darkness lashes upon their skin, the warmest and most wholesome foodstuffs warm the hearth within their heart.<br><br>The light draws dim and feeble - why haven&#039;t you tried a cuisine that was made for a dark and oppressing winter?",1668629767465657,.jpg,1072,1440,186,250,1670428901897650,1670428901,hKcuGNCS/D6fzzVcW/7IQg==,213832,0,0,0,comfy-british-winter-meals,141,47,136.0,43.0,"[{'no': 18683638, 'now': '12/11/22(Sun)07:03:25', 'name': 'Anonymous', 'filename': '1630182740022', 'ext': '.jpg', 'w': 1080, 'h': 1080, 'tn_w': 125, 'tn_h': 125, 'tim': 1670760205834135, 'time': 1670760205, 'md5': '8xMEjIw8Epr4gmbUgtAw3w==', 'fsize': 176893, 'resto': 18668359}, {'no': 18683641, 'now': '12/11/22(Sun)07:04:48', 'name': 'Anonymous', 'filename': '0_saveloy', 'ext': '.jpg', 'w': 1200, 'h': 630, 'tn_w': 125, 'tn_h': 65, 'tim': 1670760288456973, 'time': 1670760288, 'md5': 'c1NZbx2gw1gKsjxLlgmJ2w==', 'fsize': 83323, 'resto': 18668359}, {'no': 18683648, 'now': '12/11/22(Sun)07:07:01', 'name': 'Anonymous', 'filename': 'egg-pie-768x960', 'ext': '.jpg', 'w': 768, 'h': 960, 'tn_w': 100, 'tn_h': 125, 'tim': 1670760421558966, 'time': 1670760421, 'md5': 'zvNdsW+yC7vJ7TCWk/anKg==', 'fsize': 135423, 'resto': 18668359}, {'no': 18683652, 'now': '12/11/22(Sun)07:08:08', 'name': 'Anonymous', 'filename': 'fray-bentos-fray-bentos-pies-pies-supermarkets-weekly-shop-millennials-pie-tins-fray-bentos-pie-tins-tin-opener-baxters-1341385', 'ext': '.jpg', 'w': 590, 'h': 350, 'tn_w': 125, 'tn_h': 74, 'tim': 1670760488523687, 'time': 1670760488, 'md5': 'qdrjqSyRaXk5S9bivtOWgw==', 'fsize': 50671, 'resto': 18668359}, {'no': 18683659, 'now': '12/11/22(Sun)07:11:42', 'name': 'Anonymous', 'com': '<a href=""#p18668557"" class=""quotelink"">&gt;&gt;18668557</a><br>That&#039;s not real cheese, how do Americans eat that crap?', 'time': 1670760702, 'resto': 18668359}]",1670760702,Comfy British Winter Meals.,
2,18679497,12/10/22(Sat)07:57:40,Anonymous,"Just got back from Taian in Osaka. Its a michelin 3 star restaurant, first one I&#039;ve ever been to, so I thought it might be interesting to post about it here.",IMG_4460,.jpg,4032,3024,250,187,1670677060531092,1670677060,M4+yKGmmdc9EPw3zQ+bxaQ==,2291306,0,0,0,just-got-back-from-taian-in-osaka-its-a-michelin,76,16,71.0,15.0,"[{'no': 18683175, 'now': '12/11/22(Sun)03:13:01', 'name': 'Anonymous', 'com': '<a href=""#p18683138"" class=""quotelink"">&gt;&gt;18683138</a><br>Well when I first started visiting this board I assumed there would be talk of cooking instead of just fat ass Americans talking about goyslop and acting like it&#039;s fine cuisine', 'time': 1670746381, 'resto': 18679497}, {'no': 18683615, 'now': '12/11/22(Sun)06:54:03', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;le tire company judging food</span><br>Such a dumb fucking argument. <br><br>All of your favorite goyslop and other non-food related brands are owned by large multinational investment groups. What do investment groups know about food?', 'time': 1670759643, 'resto': 18679497}, {'no': 18683635, 'now': '12/11/22(Sun)07:02:13', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;$600 AUD for potatoe chips, sperm and canned pear juice all served on a heavily scratched red plate.</span><br><br>Eat it white pigu', 'filename': '1640281668662', 'ext': '.jpg', 'w': 436, 'h': 399, 'tn_w': 125, 'tn_h': 114, 'tim': 1670760133989116, 'time': 1670760133, 'md5': 'z8P11uK1V26ZX/fWxwYZmA==', 'fsize': 80971, 'resto': 18679497}, {'no': 18683654, 'now': '12/11/22(Sun)07:08:55', 'name': 'Anonymous', 'com': '<a href=""#p18679499"" class=""quotelink"">&gt;&gt;18679499</a><br>Nice pringles bro', 'time': 1670760535, 'resto': 18679497}, {'no': 18683657, 'now': '12/11/22(Sun)07:10:19', 'name': 'Anonymous', 'com': '<a href=""#p18679504"" class=""quotelink"">&gt;&gt;18679504</a><br>lol you ate cum, homo', 'time': 1670760619, 'resto': 18679497}]",1670760619,,
3,18683575,12/11/22(Sun)06:35:18,Anonymous,You know those shitty twin packs of garlic bread you buy from your local supermarket for a $2? How can I improve it without just slapping home made garlic butter on top?,Garlic-Bread_3-731x1024,.jpg,731,1024,178,250,1670758518953324,1670758518,onSKh5jiI4zJrS/Mw1jPcQ==,80887,0,0,0,you-know-those-shitty-twin-packs-of-garlic-bread,6,0,1.0,0.0,"[{'no': 18683614, 'now': '12/11/22(Sun)06:53:24', 'name': 'Anonymous', 'com': '<a href=""#p18683575"" class=""quotelink"">&gt;&gt;18683575</a><br>don&#039;t eat it alone it needs company', 'time': 1670759604, 'resto': 18683575}, {'no': 18683626, 'now': '12/11/22(Sun)06:58:13', 'name': 'Anonymous', 'com': '<a href=""#p18683575"" class=""quotelink"">&gt;&gt;18683575</a><br>onion powder.', 'time': 1670759893, 'resto': 18683575}, {'no': 18683634, 'now': '12/11/22(Sun)07:01:26', 'name': 'Anonymous', 'com': 'eat it with some tomato soup', 'time': 1670760086, 'resto': 18683575}, {'no': 18683653, 'now': '12/11/22(Sun)07:08:12', 'name': 'Anonymous', 'com': '<a href=""#p18683575"" class=""quotelink"">&gt;&gt;18683575</a><br>gazpatcho soup!..', 'time': 1670760492, 'resto': 18683575}, {'no': 18683656, 'now': '12/11/22(Sun)07:09:37', 'name': 'Anonymous', 'com': 'How can you make garlic bread better than putting garlic and butter on bread? What the hell are you talking about? What do you want it to be?', 'time': 1670760577, 'resto': 18683575}]",1670760577,,
4,18683632,12/11/22(Sun)06:59:34,Anonymous,"Does non non stick even exist? I just want a bare metal pan, why is that so hard?",charlie nazi,.gif,300,425,176,250,1670759974309827,1670759974,Rt9DLt9CVnLFdCPEyYljxw==,1968793,0,0,0,does-non-non-stick-even-exist-i-just-want-a-bare,3,2,,,"[{'no': 18683643, 'now': '12/11/22(Sun)07:05:37', 'name': 'Anonymous', 'com': '<a href=""#p18683632"" class=""quotelink"">&gt;&gt;18683632</a><br><span class=""quote"">&gt;just want a bare metal pan</span>', 'filename': 'Capture', 'ext': '.png', 'w': 1913, 'h': 982, 'tn_w': 125, 'tn_h': 64, 'tim': 1670760337166138, 'time': 1670760337, 'md5': 'lnbhLTysixRNobJMnD0HWA==', 'fsize': 1452537, 'resto': 18683632}, {'no': 18683644, 'now': '12/11/22(Sun)07:05:50', 'name': 'Anonymous', 'com': 'Here’s some bare metal cookware, bro', 'filename': 'FFA72B40-10CC-4262-87D3-6BC52ABFE053', 'ext': '.jpg', 'w': 525, 'h': 439, 'tn_w': 125, 'tn_h': 104, 'tim': 1670760350519002, 'time': 1670760350, 'md5': 'fsmmzTh0bABmv8s0hJ3Jgw==', 'fsize': 71427, 'resto': 18683632}, {'no': 18683655, 'now': '12/11/22(Sun)07:09:22', 'name': 'Anonymous', 'com': '<a href=""#p18683644"" class=""quotelink"">&gt;&gt;18683644</a><br>That&#039;s actually pretty clever', 'time': 1670760562, 'resto': 18683632}]",1670760562,,
5,18683384,12/11/22(Sun)04:44:04,Anonymous,Ramen is literally just shitty overrated weeaboo spaghetti. Extremely disappointing. And once you are done with the noodles and the rest you only have this watery shit left that doesn&#039;t taste like much. Also memo to Asians: Get with the times and use forks. I have to torture myself eating the stuff in slow motion just so they can pretend to be cultured by using these shitty sticks.,1662987088762961,.gif,140,140,140,140,1670751844655947,1670751844,+KfbXT0AHiTQG7a3HMag6w==,357004,0,0,0,ramen-is-literally-just-shitty-overrated-weeaboo,7,1,2.0,0.0,"[{'no': 18683546, 'now': '12/11/22(Sun)06:24:23', 'name': 'Anonymous', 'com': '<a href=""#p18683384"" class=""quotelink"">&gt;&gt;18683384</a><br>You fucking retard.<br>Spaghetti is literally weaboo noodles.', 'time': 1670757863, 'resto': 18683384}, {'no': 18683554, 'now': '12/11/22(Sun)06:26:18', 'name': 'Anonymous', 'com': '<a href=""#p18683384"" class=""quotelink"">&gt;&gt;18683384</a><br>You&#039;re doing it wrong.', 'filename': '2aaef2c3-1d37-43be-8c91-8d1541edc9f3_1.5500cf06b4f2ac562428fbb068c47b83', 'ext': '.jpg', 'w': 768, 'h': 768, 'tn_w': 125, 'tn_h': 125, 'tim': 1670757978135366, 'time': 1670757978, 'md5': 'uvn7/1Ie2MJ60766hcmmpg==', 'fsize': 99780, 'resto': 18683384}, {'no': 18683588, 'now': '12/11/22(Sun)06:40:37', 'name': 'Anonymous', 'com': '<a href=""#p18683384"" class=""quotelink"">&gt;&gt;18683384</a><br><span class=""quote"">&gt;noodle soup is just spaghetti</span><br>OK', 'time': 1670758837, 'resto': 18683384}, {'no': 18683646, 'now': '12/11/22(Sun)07:06:43', 'name': 'Anonymous', 'com': '<a href=""#p18683384"" class=""quotelink"">&gt;&gt;18683384</a><br><span class=""quote"">&gt;Ramen is literally just shitty overrated weeaboo spaghetti</span><br>and?', 'time': 1670760403, 'resto': 18683384}, {'no': 18683651, 'now': '12/11/22(Sun)07:07:56', 'name': 'Anonymous', 'com': 'Cook it with a can of soup as the base. Preferably something meaty. Cheap, filling, and delicious.<br>Horrible for you but if you&#039;re eating ramen you probably don&#039;t care about that.', 'time': 1670760476, 'resto': 18683384}]",1670760476,,
6,18683319,12/11/22(Sun)04:12:22,Anonymous,What&#039;s up with this pizza? Surely people don&#039;t really do this?,pittsburg pizza,.jpg,1566,881,250,140,1670749942202184,1670749942,bJul0myd28D/mnb8iTXx5A==,148111,0,0,0,weird-pizza-styles,6,1,1.0,0.0,"[{'no': 18683358, 'now': '12/11/22(Sun)04:35:08', 'name': 'Anonymous', 'com': 'pizza is like salad, are like burritos<br>anything goes. yes it hurts that there are no arbitrary rules or standards to hold people to, but that life on the internet. realizing rules and distinctions don&#039;t matter because every normie in the world has a phone and an opinion.', 'time': 1670751308, 'resto': 18683319}, {'no': 18683397, 'now': '12/11/22(Sun)04:49:02', 'name': 'Anonymous', 'com': '<a href=""#p18683319"" class=""quotelink"">&gt;&gt;18683319</a><br>whoa... weird pizza bro', 'time': 1670752142, 'resto': 18683319}, {'no': 18683637, 'now': '12/11/22(Sun)07:02:40', 'name': 'Anonymous', 'com': '<a href=""#p18683319"" class=""quotelink"">&gt;&gt;18683319</a><br><span class=""quote"">&gt;pizza</span>', 'time': 1670760160, 'resto': 18683319}, {'no': 18683639, 'now': '12/11/22(Sun)07:03:51', 'name': 'Anonymous', 'com': '<a href=""#p18683358"" class=""quotelink"">&gt;&gt;18683358</a><br><span class=""quote"">&gt;there are no arbitrary rules or standards to hold people to</span>', 'filename': 'canadian_pizza', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670760231555814, 'time': 1670760231, 'md5': '6qyRHiBFJ/iSI1JQsnyjLw==', 'fsize': 76537, 'resto': 18683319}, {'no': 18683650, 'now': '12/11/22(Sun)07:07:08', 'name': 'Anonymous', 'com': 'For some reason, it looks really good to me. My brain knows that it would be weird and probably not very good, but I still want it.', 'time': 1670760428, 'resto': 18683319}]",1670760428,weird pizza styles,
7,18682817,12/11/22(Sun)00:59:02,Anonymous,Daily reminder that EVO oil is the most important ingredient that completely changes the flavor of your dishes.,1C73E81B-0423-423E-8AAF-9E4EF7E9D2E7,.jpg,828,1087,190,250,1670738342651216,1670738342,T0KSYMymzi9V0Webvg5gyA==,466246,0,0,0,show-your-extra-virgin-olive-oil,36,1,31.0,1.0,"[{'no': 18683561, 'now': '12/11/22(Sun)06:28:27', 'name': 'Anonymous', 'com': '<a href=""#p18683552"" class=""quotelink"">&gt;&gt;18683552</a><br>spaghetti aglio e olio or most other italian dishes like pizza', 'time': 1670758107, 'resto': 18682817}, {'no': 18683562, 'now': '12/11/22(Sun)06:28:38', 'name': 'Anonymous', 'com': '<a href=""#p18683553"" class=""quotelink"">&gt;&gt;18683553</a><br>Aglio e olio, I think. It was a few years back.', 'time': 1670758118, 'resto': 18682817}, {'no': 18683566, 'now': '12/11/22(Sun)06:29:41', 'name': 'Anonymous', 'com': '<a href=""#p18683561"" class=""quotelink"">&gt;&gt;18683561</a><br>Aglio e olio is literally a hundred times better if you substitute the oil for butter, you fucking retard. Seriously, it&#039;s like no one on this board has ever even been near a kitchen.', 'time': 1670758181, 'resto': 18682817}, {'no': 18683621, 'now': '12/11/22(Sun)06:56:02', 'name': 'Anonymous', 'com': '<a href=""#p18683501"" class=""quotelink"">&gt;&gt;18683501</a><br>damn, imagine being such a tastelet.<br>cheap extra virgin olive oil either tastes like nothing or has unpleasant notes.<br>Quality EVOO can really boost the flavor of many plain dishes', 'time': 1670759762, 'resto': 18682817}, {'no': 18683649, 'now': '12/11/22(Sun)07:07:01', 'name': 'Anonymous', 'com': '<a href=""#p18683566"" class=""quotelink"">&gt;&gt;18683566</a><br>olive oil and butter have different tastes, one is not necessarily better than the other. You don&#039;t particularly like the taste of olive oil, that&#039;s fine, but don&#039;t pretend like it&#039;s an objective and universal truth. why do people have to be so manichean about everything...<br><a href=""#p18683552"" class=""quotelink"">&gt;&gt;18683552</a><br>do your season your salads with melted butter?', 'time': 1670760421, 'resto': 18682817}]",1670760421,Show your extra virgin olive oil,
8,18673985,12/08/22(Thu)18:57:03,Anonymous,What we smokin on bros?<br>Pic related + Newports for me. <br>Also cracked open a pack of Winston golds,128CB644-0F4F-4A91-B11F-5EF98268A4BC,.jpg,1280,853,250,166,1670543823254692,1670543823,DDn+oNQ23KPlneNL7ugvAQ==,195601,0,0,0,tobacco-general,63,17,58.0,17.0,"[{'no': 18682891, 'now': '12/11/22(Sun)01:26:37', 'name': 'Anonymous', 'com': 'Just switched to a pipe from cigarettes. Any tobacco recommendations? I used to smoke L&amp;M reds.', 'time': 1670739997, 'resto': 18673985}, {'no': 18683239, 'now': '12/11/22(Sun)03:38:43', 'name': 'Anonymous', 'com': '<a href=""#p18680842"" class=""quotelink"">&gt;&gt;18680842</a><br><span class=""quote"">&gt;which they apparently do not produce anymore </span><br>Nvm that, I&#039;m slightly tarded. It&#039;s just difficult to get a hold of, generally, since it&#039;s one of the most requested of their snuffs.', 'time': 1670747923, 'resto': 18673985}, {'no': 18683315, 'now': '12/11/22(Sun)04:10:35', 'name': 'Anonymous', 'com': '<a href=""#p18673985"" class=""quotelink"">&gt;&gt;18673985</a><br>Ive been smoked camel non filter but i think i should move to pipe now.', 'time': 1670749835, 'resto': 18673985}, {'no': 18683421, 'now': '12/11/22(Sun)05:04:38', 'name': 'Anonymous', 'com': '<a href=""#p18673985"" class=""quotelink"">&gt;&gt;18673985</a><br>tobacco is illegal in new zealand', 'time': 1670753078, 'resto': 18673985}, {'no': 18683647, 'now': '12/11/22(Sun)07:07:01', 'name': 'Anonymous', 'com': '<a href=""#p18682891"" class=""quotelink"">&gt;&gt;18682891</a><br>Pro tip: u can buy ciggarette tobacco from like american spirit or whoever and smoke it out of a pipe.', 'time': 1670760421, 'resto': 18673985}]",1670760421,Tobacco General,
9,18679751,12/10/22(Sat)10:06:20,Anonymous,what is the tastiest sashimi?,295-2955249_sashimi-salmon-fish-slice,.jpg,820,604,250,184,1670684780226909,1670684780,H40f/vkSgMhD4ZBy2JbPzQ==,197680,0,0,0,what-is-the-tastiest-sashimi,38,6,33.0,6.0,"[{'no': 18683361, 'now': '12/11/22(Sun)04:36:09', 'name': 'Anonymous', 'com': '<a href=""#p18679751"" class=""quotelink"">&gt;&gt;18679751</a><br>For me, its eel. granted I don&#039;t get a lot of sashimi in florida', 'time': 1670751369, 'resto': 18679751}, {'no': 18683379, 'now': '12/11/22(Sun)04:42:32', 'name': 'Anonymous', 'com': '<a href=""#p18683361"" class=""quotelink"">&gt;&gt;18683361</a><br>Is that because of the Corexit?', 'time': 1670751752, 'resto': 18679751}, {'no': 18683385, 'now': '12/11/22(Sun)04:44:07', 'name': 'Anonymous', 'com': '<a href=""#p18682649"" class=""quotelink"">&gt;&gt;18682649</a><br>Then use less. Also, I think the ginger is for cleaning one&#039;s palate.', 'time': 1670751847, 'resto': 18679751}, {'no': 18683405, 'now': '12/11/22(Sun)04:56:23', 'name': 'Anonymous', 'com': '<a href=""#p18679751"" class=""quotelink"">&gt;&gt;18679751</a><br>There&#039;s French place near where I live. They offered me to try raw salmon. Do French people eat raw salmon?', 'time': 1670752583, 'resto': 18679751}, {'no': 18683645, 'now': '12/11/22(Sun)07:06:13', 'name': 'Anonymous', 'com': '<a href=""#p18683346"" class=""quotelink"">&gt;&gt;18683346</a><br>Salmon sashimi is a recent concept introduced to Japan by the Norwegians', 'time': 1670760373, 'resto': 18679751}]",1670760373,,
