,no,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,omitted_posts,omitted_images,spoiler,trip
0,134459811,12/09/22(Fri)19:21:54,Anonymous,InUniverse conspiracy theories .,Today editions adults and juveniles Heroes who all together a lot Edition. <br> Pretend to be a citizen in a comic book universe ( please specify which universe) expressing conspiracy theories which might actually exists inside of that universe like a bunch of damned espalier conspiracy theory Bruce Wayne paste Batman to stop anyone from killing him or top 10 America&#039;s a series of robots controlled by the government.,Champions 003 (2021) (Digital) (Zone-Empire)-021,.jpg,1800,2767,162,250,1670631714554526,1670631714,7CtdO/8XGQIM3zglGkvKXQ==,895143,0,0,0,inuniverse-conspiracy-theories,5,3,0,"[{'no': 134460230, 'now': '12/09/22(Fri)19:59:17', 'name': 'Anonymous', 'com': 'j jonah jameson is in league with spider-man the whole thing is a ploy to sell more papers', 'time': 1670633957, 'resto': 134459811}, {'no': 134460714, 'now': '12/09/22(Fri)20:39:39', 'name': 'Anonymous', 'com': '<a href=""#p134460230"" class=""quotelink"">&gt;&gt;134460230</a><br>Did he Financially paid for a number of I want to kill Spider-Man villains and also if he was really behind Spider-Man to make money then why didn&#039;t he stop when he became mayor of New York City ?', 'time': 1670636379, 'resto': 134459811}, {'no': 134460814, 'now': '12/09/22(Fri)20:47:50', 'name': 'Anonymous', 'com': '<a href=""#p134460714"" class=""quotelink"">&gt;&gt;134460714</a><br>do you even know how much money he makes off of spider-man merch?', 'time': 1670636870, 'resto': 134459811}]",1670636870,,,,
1,134450170,12/09/22(Fri)03:21:29,Anonymous,Death Battle,"Death battle Thread <br><br><br>Can we just have a normal fucking DB thread for once?<br><br>Here. tanks everyone likes to talk about tanks. No metaphysics, no cosmic powers, Lets all just dial down for some at most street-level action for a while.",Russ Vs Abrams,.png,750,421,250,140,1670574089764195,1670574089,x06qpj9OTW/wPHPgUexSOA==,499604,0,0,0,death-battle,5,272,39,"[{'no': 134460661, 'now': '12/09/22(Fri)20:35:10', 'name': 'Anonymous', 'com': '<a href=""#p134460641"" class=""quotelink"">&gt;&gt;134460641</a><br>Do I have to do anything gay like go barefoot with my breast exposed and a rope around my neck for fuck all?', 'time': 1670636110, 'resto': 134450170}, {'no': 134460680, 'now': '12/09/22(Fri)20:37:14', 'name': 'Anonymous', 'com': '<a href=""#p134460661"" class=""quotelink"">&gt;&gt;134460661</a><br>Nah, $3. And then you too have access to nonsensical behind the scenes videos, ugly emotes, and access to the official Discord server to get groomed by Swan himself.', 'time': 1670636234, 'resto': 134450170}, {'no': 134460708, 'now': '12/09/22(Fri)20:39:18', 'name': 'Anonymous', 'com': 'Lenore vs Emily the Strange', 'time': 1670636358, 'resto': 134450170}, {'no': 134460749, 'now': '12/09/22(Fri)20:42:09', 'name': 'Anonymous', 'com': '<a href=""#p134460641"" class=""quotelink"">&gt;&gt;134460641</a><br><a href=""#p134460680"" class=""quotelink"">&gt;&gt;134460680</a><br>Still better than giving money to Rooster Teeth.', 'time': 1670636529, 'resto': 134450170}, {'no': 134460813, 'now': '12/09/22(Fri)20:47:27', 'name': 'Anonymous', 'com': '<a href=""#p134460749"" class=""quotelink"">&gt;&gt;134460749</a><br>I heard they lost all their animators. Is that true?', 'time': 1670636847, 'resto': 134450170}]",1670636847,267.0,39.0,,
2,134457157,12/09/22(Fri)15:53:49,Anonymous,,I can tell if someone is a misogynist based on their opinion of this character.,Diane,.jpg,640,360,250,140,1670619229508726,1670619229,D+xxJDEUGTTJ86Ou+vzACQ==,39865,0,0,0,i-can-tell-if-someone-is-a-misogynist-based-on,5,89,10,"[{'no': 134460768, 'now': '12/09/22(Fri)20:43:38', 'name': 'Anonymous', 'com': '<a href=""#p134460717"" class=""quotelink"">&gt;&gt;134460717</a><br>That&#039;s his imaginary family, he will never have sex to begin with', 'time': 1670636618, 'resto': 134457157}, {'no': 134460793, 'now': '12/09/22(Fri)20:45:47', 'name': 'Anonymous', 'com': '<a href=""#p134457157"" class=""quotelink"">&gt;&gt;134457157</a><br>i don&#039;t know what this character is, but fuck you and go back', 'time': 1670636747, 'resto': 134457157}, {'no': 134460800, 'now': '12/09/22(Fri)20:46:19', 'name': 'Anonymous', 'com': '<a href=""#p134460768"" class=""quotelink"">&gt;&gt;134460768</a><br>I’m totally sure you and the future US Navy Marine that you’re replying to would totally go inside your daughter’s room and she was fucking somebody and kill them using nothing but a pencil and your teeth because you guys are that bad ass I’m absolutely sure', 'filename': 'EE12BBD9-0885-4B76-A571-F113AE975F47', 'ext': '.jpg', 'w': 700, 'h': 1245, 'tn_w': 70, 'tn_h': 125, 'tim': 1670636779193275, 'time': 1670636779, 'md5': '9FZIjeE7EkR8mH6EpG++Lw==', 'fsize': 125228, 'resto': 134457157}, {'no': 134460801, 'now': '12/09/22(Fri)20:46:21', 'name': 'Anonymous', 'com': '<a href=""#p134460758"" class=""quotelink"">&gt;&gt;134460758</a><br>Why do you think it went over my head retard? It&#039;s literally what I described you would do and you just agreed. So if anything I understood perfectly, did I not?<br>And I&#039;m calling you a dickless fucking loser over it. Pretty simple. Maybe it&#039;s you who should try using his brain, retardo-kun.', 'time': 1670636781, 'resto': 134457157}, {'no': 134460812, 'now': '12/09/22(Fri)20:47:24', 'name': 'Anonymous', 'com': '<a href=""#p134460801"" class=""quotelink"">&gt;&gt;134460801</a><br>C<br><a href=""#p134460800"" class=""quotelink"">&gt;&gt;134460800</a><br>I’m sure you’re very brave and totally would do anything to stop it. That’s why you’re here posting on an Internet basket weaving form just like me.', 'time': 1670636844, 'resto': 134457157}]",1670636844,84.0,9.0,,
3,134438353,12/08/22(Thu)09:47:42,Anonymous,What the fuck’s her appeal?,"No, seriously, what the FUCK is her appeal? I feel like you guys are less attracted to her and more attracted to lewding her because she’s from a cartoon you guys hate. Like goddamn, I’ve seen WAY better MILFs, but they don’t even get a quarter of the attention here compared to her.",5A8C3E6F-E675-4005-A36F-B387C05BB740,.jpg,616,616,250,250,1670510862467727,1670510862,B94x8t3/srp+lgNvAK1YGw==,40100,0,0,0,what-the-fucks-her-appeal,5,337,143,"[{'no': 134460540, 'now': '12/09/22(Fri)20:25:54', 'name': 'Anonymous', 'filename': 'FjgLeu_XEAUh7bw', 'ext': '.jpg', 'w': 2701, 'h': 1520, 'tn_w': 124, 'tn_h': 70, 'tim': 1670635554331231, 'time': 1670635554, 'md5': 'nSy5Tp9J0+UbuwpltBYXaQ==', 'fsize': 198135, 'resto': 134438353}, {'no': 134460553, 'now': '12/09/22(Fri)20:26:40', 'name': 'Anonymous', 'com': '<a href=""#p134439016"" class=""quotelink"">&gt;&gt;134439016</a><br>lol, except for the eyes, this could be tara from kim possible.', 'time': 1670635600, 'resto': 134438353}, {'no': 134460772, 'now': '12/09/22(Fri)20:43:55', 'name': 'Anonymous', 'com': '<a href=""#p134460540"" class=""quotelink"">&gt;&gt;134460540</a><br>drop the catbox file', 'time': 1670636635, 'resto': 134438353}, {'no': 134460775, 'now': '12/09/22(Fri)20:44:24', 'name': 'Anonymous', 'com': '<a href=""#p134460540"" class=""quotelink"">&gt;&gt;134460540</a><br>Sauce?', 'time': 1670636664, 'resto': 134438353}, {'no': 134460811, 'now': '12/09/22(Fri)20:47:18', 'name': 'Anonymous', 'com': 'What word did Marcy censor out?', 'filename': 'Tumblr_l_1996782441846167', 'ext': '.png', 'w': 954, 'h': 100, 'tn_w': 125, 'tn_h': 13, 'tim': 1670636838169100, 'time': 1670636838, 'md5': '6vuOKdVxalt0ODtn+/TBcg==', 'fsize': 168850, 'resto': 134438353}]",1670636838,332.0,141.0,,
4,134460683,12/09/22(Fri)20:37:16,Anonymous,,Why was Flame Princess so gosh darn hot?,51b83d3889347da39ce90e7193b751b6,.png,700,627,250,223,1670636236030669,1670636236,+8lWvJzF9qYyoSyOoOZROA==,144327,0,0,0,why-was-flame-princess-so-gosh-darn-hot,5,7,2,"[{'no': 134460729, 'now': '12/09/22(Fri)20:40:37', 'name': 'Anonymous', 'com': 'She&#039;s literally a Fire Elemental. She&#039;s THE Fire Elemental.', 'time': 1670636437, 'resto': 134460683}, {'no': 134460740, 'now': '12/09/22(Fri)20:41:34', 'name': 'Anonymous', 'com': '<a href=""#p134460683"" class=""quotelink"">&gt;&gt;134460683</a><br>because she is made of fire', 'time': 1670636494, 'resto': 134460683}, {'no': 134460761, 'now': '12/09/22(Fri)20:42:37', 'name': 'Anonymous', 'filename': '20221014_134234', 'ext': '.jpg', 'w': 1934, 'h': 2000, 'tn_w': 120, 'tn_h': 125, 'tim': 1670636557559545, 'time': 1670636557, 'md5': 'dRbksUxHwk06t350nq8aww==', 'fsize': 198100, 'resto': 134460683}, {'no': 134460782, 'now': '12/09/22(Fri)20:44:49', 'name': 'Anonymous', 'com': '<a href=""#p134460716"" class=""quotelink"">&gt;&gt;134460716</a><br>kek', 'filename': '1653611778308', 'ext': '.jpg', 'w': 559, 'h': 556, 'tn_w': 125, 'tn_h': 124, 'tim': 1670636689276266, 'time': 1670636689, 'md5': '2G3r8WLloj2oWODRyaFiBA==', 'fsize': 17735, 'resto': 134460683}, {'no': 134460810, 'now': '12/09/22(Fri)20:47:14', 'name': 'Anonymous', 'com': '<a href=""#p134460716"" class=""quotelink"">&gt;&gt;134460716</a><br>spbp', 'time': 1670636834, 'resto': 134460683}]",1670636834,2.0,0.0,,
5,134459822,12/09/22(Fri)19:23:03,Anonymous,,look what just showed up in the mail bros,20221209_192219,.jpg,1960,3158,155,250,1670631783667129,1670631783,ujcC3btfiT4XJWr/86J0pA==,2995923,0,0,0,look-what-just-showed-up-in-the-mail-bros,5,4,0,"[{'no': 134459910, 'now': '12/09/22(Fri)19:30:41', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;literally the worst DC event ever</span>', 'time': 1670632241, 'resto': 134459822}, {'no': 134460218, 'now': '12/09/22(Fri)19:58:11', 'name': 'Anonymous', 'com': 'this ain&#039;t/v/', 'time': 1670633891, 'resto': 134459822}, {'no': 134460730, 'now': '12/09/22(Fri)20:40:41', 'name': 'Anonymous', 'com': '<a href=""#p134459910"" class=""quotelink"">&gt;&gt;134459910</a><br>Not even close.', 'time': 1670636441, 'resto': 134459822}, {'no': 134460809, 'now': '12/09/22(Fri)20:47:12', 'name': 'Anonymous', 'com': '<a href=""#p134460730"" class=""quotelink"">&gt;&gt;134460730</a><br>what do you consider the worst then', 'time': 1670636832, 'resto': 134459822}]",1670636832,,,,
6,134456426,12/09/22(Fri)14:58:51,Anonymous,,what if She-Ra was a boy?,1670228099687767,.png,680,460,250,169,1670615931776258,1670615931,wpG5m5cOsq4SR6DX818JSA==,474581,0,0,0,what-if-shera-was-a-boy,5,38,13,"[{'no': 134460245, 'now': '12/09/22(Fri)20:00:24', 'name': 'Anonymous', 'com': '<a href=""#p134456426"" class=""quotelink"">&gt;&gt;134456426</a><br>I would be sniffing the shit outta those balls', 'time': 1670634024, 'resto': 134456426}, {'no': 134460261, 'now': '12/09/22(Fri)20:02:05', 'name': 'Anonymous', 'com': '<a href=""#p134456426"" class=""quotelink"">&gt;&gt;134456426</a><br><span class=""quote"">&gt;what if She-Ra was a boy?</span><br><br>Thats exactly how it was drawn. Thats pretty much what happened.', 'time': 1670634125, 'resto': 134456426}, {'no': 134460511, 'now': '12/09/22(Fri)20:23:36', 'name': 'Anonymous', 'com': '<a href=""#p134460214"" class=""quotelink"">&gt;&gt;134460214</a><br>Is it really that impossible?', 'filename': '44705927', 'ext': '.png', 'w': 500, 'h': 312, 'tn_w': 125, 'tn_h': 78, 'tim': 1670635416265650, 'time': 1670635416, 'md5': '8IqabailAO7afqUokfWj2g==', 'fsize': 80099, 'resto': 134456426}, {'no': 134460663, 'now': '12/09/22(Fri)20:35:26', 'name': 'Anonymous', 'com': '<a href=""#p134457236"" class=""quotelink"">&gt;&gt;134457236</a><br>That&#039;s a dream<br>a cute girl but with a penis for maximum perversion', 'time': 1670636126, 'resto': 134456426}, {'no': 134460808, 'now': '12/09/22(Fri)20:47:09', 'name': 'Anonymous', 'filename': '6bf (1)', 'ext': '.png', 'w': 533, 'h': 481, 'tn_w': 125, 'tn_h': 112, 'tim': 1670636829800205, 'time': 1670636829, 'md5': '4xJ0A+ryZ7pW2Kw7+me//g==', 'fsize': 259707, 'resto': 134456426}]",1670636829,33.0,11.0,,
7,134456232,12/09/22(Fri)14:42:30,Anonymous,"Warner Bros Didn’t Cancel WONDER WOMAN 3, Patty Jenkins Quit the Projec","<span class=""quote"">&gt;Last week, Jenkins turned in her treatment for WONDER WOMAN 3 to the studio, according to the insiders. Warner Bros. Film Group Co-Chairpersons and CEOs Michael De Luca and Pamela Abdy didn’t think the treatment worked and decided not to move forward with the film in its current iteration. DC Studios co-CEOs James Gunn and Peter Safran, who had nothing to do with the decision, also agreed with De Luca and Abdy that the treatment didn’t work.</span><br><br><span class=""quote"">&gt;De Luca and Abdy spoke to Jenkins first and communicated that they didn’t get the treatment, didn’t think it was the right direction for the franchise and asked Jenkins if she would consider pitching something else for the IP in another direction.</span><br><br><span class=""quote"">&gt;According to one insider, Jenkins refused and let De Luca and Abdy “know that they were wrong, that they didn’t understand her, didn’t understand the character, didn’t understand character arcs and didn’t understand what Jenkins was trying to do.” To underscore her point, according to the insider, Jenkins sent an email to De Luca that ended with a link to the Wikipedia definition of “character arc.”</span><br><br><span class=""quote"">&gt;Jenkins was told that if she wanted to come back and pitch a different direction for Wonder Woman, the studio would hear it. She stood firm to her vision and responded that if they didn’t want to do her treatment, she wasn’t going to do a different one and would instead just move on to her next film.</span><br><br><span class=""quote"">&gt;Jenkins especially didn’t want to hear what Gunn and Safran had to say, even though they had nothing to do with decision to not move forward with her version of the project. “She just doesn’t want to allow them to have a seat at the table to have an opinion on something new that she might come up with,” the insider added.</span><br><br>https://www.thewrap.com/wonder-woma<wbr>n-3-patty-jenkins-what-really-happe<wbr>ned/",patty-jenkins-wonder-woman-3,.jpg,1280,720,250,140,1670614950976954,1670614950,SFMT7kcNn9fwOrhXsV0EyQ==,435200,0,0,0,warner-bros-didnt-cancel-wonder-woman-3-patty,5,29,6,"[{'no': 134459190, 'now': '12/09/22(Fri)18:29:59', 'name': 'Anonymous', 'com': '<a href=""#p134456232"" class=""quotelink"">&gt;&gt;134456232</a><br>Even if it was canned, isn&#039;t the horrible second film a good indicator that they should end it while it was still viewed as half positively?', 'time': 1670628599, 'resto': 134456232}, {'no': 134459420, 'now': '12/09/22(Fri)18:51:20', 'name': 'Anonymous', 'com': '<a href=""#p134459162"" class=""quotelink"">&gt;&gt;134459162</a><br>Still a better choice than the israeli skeleton.', 'time': 1670629880, 'resto': 134456232}, {'no': 134460647, 'now': '12/09/22(Fri)20:34:03', 'name': 'Anonymous', 'com': '<a href=""#p134457330"" class=""quotelink"">&gt;&gt;134457330</a><br><a href=""#p134457337"" class=""quotelink"">&gt;&gt;134457337</a><br>The alleged leaks about Jenkins&#039; pitch are<br><br><span class=""quote"">&gt;Set on present day and focuses on Wonder Woman’s legacy and impact on the world.</span><br><span class=""quote"">&gt;Further explores the lore of Themyscira and the Amazons.</span><br><span class=""quote"">&gt;Lynda Carter returns as Asteria.</span><br><span class=""quote"">&gt;Circe is the main villain.</span><br><span class=""quote"">&gt;Nubia is the co-lead set up to eventually become the new Wonder Woman.</span><br><span class=""quote"">&gt;An earlier version featured Wonder Woman teaming up with several female heroes such as Supergirl and Hawkgirl.</span><br><br>Gadot was reportedly considering quitting after the third movie, so it was written as a definitive ending for DCEU Diana.', 'filename': '1656982861048', 'ext': '.png', 'w': 1308, 'h': 725, 'tn_w': 125, 'tn_h': 69, 'tim': 1670636043435364, 'time': 1670636043, 'md5': 'POjyGXSBWZYku9CuqYQ1+g==', 'fsize': 1618946, 'resto': 134456232}, {'no': 134460767, 'now': '12/09/22(Fri)20:43:31', 'name': 'Anonymous', 'com': '<a href=""#p134460647"" class=""quotelink"">&gt;&gt;134460647</a><br>Why would you introduce supergirl in a wonder woman movie?', 'time': 1670636611, 'resto': 134456232}, {'no': 134460807, 'now': '12/09/22(Fri)20:46:46', 'name': 'Anonymous', 'com': '<a href=""#p134460767"" class=""quotelink"">&gt;&gt;134460767</a><br>You wouldn&#039;t. She is introduced in &quot;The Flash&quot;.', 'time': 1670636806, 'resto': 134456232}]",1670636806,24.0,5.0,,
8,134452945,12/09/22(Fri)10:19:50,Anonymous,Duck Comic Thread-The Life and Times of Scrooge McDuck-Part 2-Storytime,"The second book of The Life and Times of Scrooge McDuck by the brilliant Don Rosa. These stories were written and drawn in the period from 1987 to 2004. So this is a continuation of the first part, that is, it contains untold stories as far as The Life and Times of Scrooge McDuck is concerned. So enjoy. This covers from the time Scrooge was ten years old to the time he met his nephew Donald and Donald&#039;s nephews Huey, Dewey and Louie and his reunion with his sister Matilda. Enjoy! Music for it: https://www.youtube.com/watch?v=vTy<wbr>kcFxIESs<br><br>For those who haven&#039;t seen the first part, check out the previous thread here:<br><a href=""/co/thread/134405856#p134405856"" class=""quotelink"">&gt;&gt;134405856</a>",RCO001_1572578874,.jpg,1244,1600,194,250,1670599190090654,1670599190,FTAJzJuQnL3stOMBuJ82Lg==,720352,0,0,0,duck-comic-threadthe-life-and-times-of-scrooge,5,299,249,"[{'no': 134460668, 'now': '12/09/22(Fri)20:35:45', 'name': 'Anonymous', 'com': '<a href=""#p134455384"" class=""quotelink"">&gt;&gt;134455384</a><br><a href=""#p134455425"" class=""quotelink"">&gt;&gt;134455425</a><br>I&#039;m glad you like it!<br><a href=""#p134456057"" class=""quotelink"">&gt;&gt;134456057</a><br><a href=""#p134457615"" class=""quotelink"">&gt;&gt;134457615</a><br>Thank you!<br><a href=""#p134458265"" class=""quotelink"">&gt;&gt;134458265</a><br><a href=""#p134460411"" class=""quotelink"">&gt;&gt;134460411</a><br>You&#039;re welcome, anytime!', 'time': 1670636145, 'resto': 134452945}, {'no': 134460733, 'now': '12/09/22(Fri)20:40:53', 'name': 'Anonymous', 'com': '<a href=""#p134460579"" class=""quotelink"">&gt;&gt;134460579</a><br>Indeed. Did Don Rosa made a 75 years celebration drawing?<br>And i wonder if there is a collection of his Classic Barks story covers he did for Gladstone?', 'filename': 'A070CE26-4EA5-4E08-AE19-CEF0BDE97AAA', 'ext': '.jpg', 'w': 988, 'h': 1503, 'tn_w': 82, 'tn_h': 125, 'tim': 1670636453217708, 'time': 1670636453, 'md5': 'zGVp3c1P60khjHeokfZQBQ==', 'fsize': 865059, 'resto': 134452945}, {'no': 134460776, 'now': '12/09/22(Fri)20:44:26', 'name': 'Anonymous', 'com': '<a href=""#p134452945"" class=""quotelink"">&gt;&gt;134452945</a><br>Didn&#039;t Ducktales loosely adapt this story as apart of a flashback sequence?', 'time': 1670636666, 'resto': 134452945}, {'no': 134460779, 'now': '12/09/22(Fri)20:44:32', 'name': 'Anonymous', 'com': '<a href=""#p134460322"" class=""quotelink"">&gt;&gt;134460322</a><br>This, I think, represents the biggest emotional payoff Rosa&#039;s ever done.', 'time': 1670636672, 'resto': 134452945}, {'no': 134460806, 'now': '12/09/22(Fri)20:46:45', 'name': 'Anonymous', 'com': '<a href=""#p134458389"" class=""quotelink"">&gt;&gt;134458389</a><br>Lewd.', 'time': 1670636805, 'resto': 134452945}]",1670636805,294.0,248.0,,
9,134453890,12/09/22(Fri)11:54:46,Anonymous,Redheads,Did you know redheads are cute?,1641699638553,.png,342,345,247,250,1670604886946181,1670604886,88mr2QRZ3ufUu+Y6dqrthA==,59701,0,0,0,redheads,5,41,27,"[{'no': 134460236, 'now': '12/09/22(Fri)19:59:42', 'name': 'Anonymous', 'filename': '1603005248790', 'ext': '.png', 'w': 1066, 'h': 1021, 'tn_w': 125, 'tn_h': 119, 'tim': 1670633982273718, 'time': 1670633982, 'md5': 'vRpxEwqdD9arrm8SaSAKig==', 'fsize': 629409, 'resto': 134453890}, {'no': 134460330, 'now': '12/09/22(Fri)20:08:04', 'name': 'Anonymous', 'com': '<a href=""#p134453890"" class=""quotelink"">&gt;&gt;134453890</a><br><a href=""#p134459165"" class=""quotelink"">&gt;&gt;134459165</a><br>What a stupid meme, I thought it was a real character', 'time': 1670634484, 'resto': 134453890}, {'no': 134460356, 'now': '12/09/22(Fri)20:10:11', 'name': 'Anonymous', 'com': '<a href=""#p134460330"" class=""quotelink"">&gt;&gt;134460330</a><br><span class=""quote"">&gt;getting trolled like this</span><br>It is a real character. Kriszta Mezga from some dutch comic I think.', 'time': 1670634611, 'resto': 134453890}, {'no': 134460634, 'now': '12/09/22(Fri)20:33:02', 'name': 'Anonymous', 'filename': '1600704798024', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670635982746463, 'time': 1670635982, 'md5': 'QqsP1Sm+cqvPSIEFpV9uKg==', 'fsize': 645382, 'resto': 134453890}, {'no': 134460805, 'now': '12/09/22(Fri)20:46:42', 'name': 'Anonymous', 'com': '<a href=""#p134460356"" class=""quotelink"">&gt;&gt;134460356</a><br>Mezga Family is Hungarian, from Central Eastern Europe', 'time': 1670636802, 'resto': 134453890}]",1670636802,36.0,25.0,,
