,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,134509987,12/13/22(Tue)06:16:37,Anonymous,"<span class=""quote"">&gt;all the artists who formerly supported AI advancements because they think it would allow them to stop having to work in manual labour and finally live in a communist paradise where everyone can be an artist now protest heavily against the very thing they worshipped</span>",1639261249340,.png,400,386,250,241,1670930197849376,1670930197,6q7HmkUfUaIw//Qf71DOJw==,243708,0,0,0,all-the-artists-who-formerly-supported-ai,5,70,12,65.0,12.0,"[{'no': 134510296, 'now': '12/13/22(Tue)07:10:23', 'name': 'Birchyfunbags', 'com': '<a href=""#p134510274"" class=""quotelink"">&gt;&gt;134510274</a><br>Shes from Tokyo Pig (I can&#039;t be fucked to look up the Japanese name), she does not have a name from what I could find.', 'time': 1670933423, 'resto': 134509987}, {'no': 134510298, 'now': '12/13/22(Tue)07:11:18', 'name': 'Anonymous', 'com': '<a href=""#p134510134"" class=""quotelink"">&gt;&gt;134510134</a><br>OP is exaggerating, but there is definitely a grain of truth to what he says. A lot of people believed AIs would never be able to make any kind of art because human artistic talent isn’t replicable, and that AI would be principally used for self-driving trucks and McDonalds cashier booths. A lot of talk about job automation focused on blue collar work and on low skill jobs. As is, it looks like the opposite is happening. It’ll be a long time before we have a robot that can independently work as a plumber or a carpenter, but we’re only a couple years from AI making good paintings and music with no problems.', 'time': 1670933478, 'resto': 134509987}, {'no': 134510303, 'now': '12/13/22(Tue)07:12:00', 'name': 'Anonymous', 'com': '<a href=""#p134510281"" class=""quotelink"">&gt;&gt;134510281</a><br>Did you reply to the wrong post? Serious question', 'time': 1670933520, 'resto': 134509987}, {'no': 134510309, 'now': '12/13/22(Tue)07:13:08', 'name': 'Anonymous', 'com': '<a href=""#p134510275"" class=""quotelink"">&gt;&gt;134510275</a><br>yes. the difference bering the music industry had powerful aggressive lawyers that will take AI programmers to task if they find you&#039;re feeding their music into an algorithm without permission, and the same can&#039;t be said for the wealth of images that populate the internet.', 'time': 1670933588, 'resto': 134509987}, {'no': 134510316, 'now': '12/13/22(Tue)07:14:59', 'name': 'Anonymous', 'com': '<a href=""#p134510309"" class=""quotelink"">&gt;&gt;134510309</a><br>I see you&#039;re unfamiliar with Soundcloud', 'time': 1670933699, 'resto': 134509987}]",1670933699,,
1,134508634,12/13/22(Tue)02:14:03,Anonymous,"without retreading E;R&#039;s legend of whorra videos, and the shoddy quality of the show as a whole, how did bryan and mike write a show as fantastic as the last airbender, only for korra to devolve into tumblr appeasing garbage?<br><br>was it unfortunate timing occurring around the same time as gamergate/nerd culture getting subverted by politics?",legend-korra-netflix,.png,1600,1200,250,187,1670915643410670,1670915643,/LE1ZSX7vxht5DwcBnSgQQ==,1876656,0,0,0,why-did-bryke-go-broke-with-legend-of-korra,5,39,5,34.0,5.0,"[{'no': 134509455, 'now': '12/13/22(Tue)04:51:29', 'name': 'Anonymous', 'com': '<a href=""#p134508661"" class=""quotelink"">&gt;&gt;134508661</a><br>Nice blogpost.', 'time': 1670925089, 'resto': 134508634}, {'no': 134509472, 'now': '12/13/22(Tue)04:54:16', 'name': 'Anonymous', 'com': '<a href=""#p134508634"" class=""quotelink"">&gt;&gt;134508634</a><br>The fact that you brought up those shitty videos made by some faggot shows how retarded you are.', 'time': 1670925256, 'resto': 134508634}, {'no': 134509500, 'now': '12/13/22(Tue)04:59:37', 'name': 'Anonymous', 'com': '<a href=""#p134508661"" class=""quotelink"">&gt;&gt;134508661</a><br>I&#039;m trans btw, if that matters', 'time': 1670925577, 'resto': 134508634}, {'no': 134510287, 'now': '12/13/22(Tue)07:08:42', 'name': 'Anonymous', 'com': 'Is randomly turning characters lesbian in the literal last scene really enough to qualify as woke?', 'time': 1670933322, 'resto': 134508634}, {'no': 134510315, 'now': '12/13/22(Tue)07:14:54', 'name': 'Anonymous', 'com': '<a href=""#p134508634"" class=""quotelink"">&gt;&gt;134508634</a><br><span class=""quote"">&gt;how did bryan and mike write a show as fantastic as the last airbender</span><br>That&#039;s the thing. They didn&#039;t.<br>They had a LOT of help from a team of writers that handled a lot of the best episodes.', 'time': 1670933694, 'resto': 134508634}]",1670933694,why did bryke go broke with legend of korra,
2,134467041,12/10/22(Sat)10:09:26,Anonymous,How would you work around civilians giving you and your irken GF looks in public?,1670633479911753,.png,508,739,171,250,1670684966415866,1670684966,sjU13U84rxSEb0wHnvbXkw==,166444,0,0,0,invader-zim,5,268,106,263.0,104.0,"[{'no': 134509459, 'now': '12/13/22(Tue)04:52:01', 'name': 'Anonymous', 'com': '<a href=""#p134509361"" class=""quotelink"">&gt;&gt;134509361</a><br>I can fix him', 'filename': 'Z&amp;LMM', 'ext': '.jpg', 'w': 922, 'h': 432, 'tn_w': 125, 'tn_h': 58, 'tim': 1670925121210575, 'time': 1670925121, 'md5': '0cnYefhEtpEXQZYLHWSCaA==', 'fsize': 143407, 'resto': 134467041}, {'no': 134509586, 'now': '12/13/22(Tue)05:12:30', 'name': 'Anonymous', 'com': '<a href=""#p134474135"" class=""quotelink"">&gt;&gt;134474135</a><br>Post artist now.', 'time': 1670926350, 'resto': 134467041}, {'no': 134509831, 'now': '12/13/22(Tue)05:51:38', 'name': 'Anonymous', 'com': 'BUMP', 'time': 1670928698, 'resto': 134467041}, {'no': 134509999, 'now': '12/13/22(Tue)06:17:38', 'name': 'Anonymous', 'com': 'Lack of response after bot proves this board is filled with bots. Cringe.', 'time': 1670930258, 'resto': 134467041}, {'no': 134510313, 'now': '12/13/22(Tue)07:14:15', 'name': 'Anonymous', 'com': '<a href=""#p134509361"" class=""quotelink"">&gt;&gt;134509361</a><br><span class=""quote"">&gt;hints he&#039;s just really starved for affection.</span><br>Yeah it&#039;s more obvious in florpus and the comics but Zim just really wants to be loved.', 'filename': '1629231046811', 'ext': '.jpg', 'w': 583, 'h': 372, 'tn_w': 125, 'tn_h': 79, 'tim': 1670933655232691, 'time': 1670933655, 'md5': 'BwvcrJDamKE/k3kE9pL6sw==', 'fsize': 261531, 'resto': 134467041}]",1670933655,Invader Zim,
3,134509944,12/13/22(Tue)06:08:21,Anonymous,"I&#039;ve recently read some old interviews with the writer and illustrator of Asterix. At some point they mentioned that when they first created Asterix the market researchers were pointing out that cartoon/comics protagonists have to be young, handsome and talk about modern issues in order to be relatable to the young audience. <br><br>Who the fuck make these &quot;market researches&quot;? Do they actually make any research or they make up shit from their heads? Why are these &quot;researchers&quot; still obsessed with the idea that a movie/series protagonist has to be &quot;relatable&quot; in order to sell? Most popular media from the long past till now have anything but &quot;relatable&quot; protagonist: from ugly sailors till cartoonish anthropomorphic sponges.<br><br>Besides the young audience (especially little kids) don&#039;t actually give a shit about &quot;representation&quot;. They want to see kickass/funny/entertaining media. Nobody gives a shit about human characters in Trasformers media. Nobody gives a shit about little kids side characters at shows with older/adult protagonists. On the contrary most kids find these kind of &quot;relatable&quot; characters pointless and annoying and many of them have been quickly removed and never been used again.",asterix-books,.jpg,1360,997,250,183,1670929701131769,1670929701,JpAxQiV7ds/KGxvNfYMKkQ==,349385,0,0,0,ive-recently-read-some-old-interviews-with-the,5,10,1,5.0,0.0,"[{'no': 134510071, 'now': '12/13/22(Tue)06:28:38', 'name': 'Anonymous', 'com': '<a href=""#p134509982"" class=""quotelink"">&gt;&gt;134509982</a><br>Speaking for (((modern issues))), I fucking hate fetish/porn stories that try shoving (((modern issues))) to &quot;make it more realistic&quot; and because the writers want to use their stories to push their shitty agendas.', 'time': 1670930918, 'resto': 134509944}, {'no': 134510089, 'now': '12/13/22(Tue)06:30:51', 'name': 'Anonymous', 'com': 'In order for a material to sell, it has to make the reader/watcher/listener feel.<br>And as society is alien and segregated, who can feel what depends on their peers. As such demographics exist.<br><br>Young, handsome and modern is just a copout to avoid doing actual market research. <br>The most popular comic in Europe is still about a grown ass man working random dead end jobs, sometimes for his relatives, while taking care of his 3 newphews and trying to get his dating life in order. The layers it go trough allows it to bridge the gap trough generations, and its exactly the opposite of &quot;young, handsome and modern&quot; in many ways.<br><br><a href=""#p134510042"" class=""quotelink"">&gt;&gt;134510042</a><br>I know of a series that was pitched as &quot;X in High School&quot;...<br>Batman of the Future. But Terry could just have worked a dead end wagie job and it would still play out the same.<br>So the critique remains the same, and I agree.', 'filename': 'Duck_as_DonaldDuck', 'ext': '.jpg', 'w': 599, 'h': 680, 'tn_w': 110, 'tn_h': 125, 'tim': 1670931051943742, 'time': 1670931051, 'md5': 'Hy6rHmP04w70FrMO2nT5tQ==', 'fsize': 43656, 'resto': 134509944}, {'no': 134510106, 'now': '12/13/22(Tue)06:35:37', 'name': 'Anonymous', 'com': '<a href=""#p134510089"" class=""quotelink"">&gt;&gt;134510089</a><br><span class=""quote"">&gt;Young, handsome and modern is just a copout to avoid doing actual market research.</span><br><br>That explains everything. Lazy scumbags that just want to get their paychecks without doing their job they get paid for.', 'time': 1670931337, 'resto': 134509944}, {'no': 134510113, 'now': '12/13/22(Tue)06:36:42', 'name': 'Anonymous', 'com': '<a href=""#p134510089"" class=""quotelink"">&gt;&gt;134510089</a><br><span class=""quote"">&gt;The most popular comic in Europe is still about a grown ass man working random dead end jobs, sometimes for his relatives, while taking care of his 3 newphews and trying to get his dating life in order.</span><br>Are you talking about Donald Duck?', 'time': 1670931402, 'resto': 134509944}, {'no': 134510311, 'now': '12/13/22(Tue)07:13:41', 'name': 'Anonymous', 'com': '<a href=""#p134509944"" class=""quotelink"">&gt;&gt;134509944</a><br><span class=""quote"">&gt;Who the fuck make these &quot;market researches&quot;? Do they actually make any research or they make up shit from their heads? Why are these &quot;researchers&quot; still obsessed with the idea that a movie/series protagonist has to be &quot;relatable&quot; in order to sell? Most popular media from the long past till now have anything but &quot;relatable&quot; protagonist: from ugly sailors till cartoonish anthropomorphic sponges.</span><br><br>It&#039;s like this because it&#039;s the most safe and easiest basic bitch shit that is guaranteed to get readers/viewers no matter how often it backfires<br>The &quot;relatable&quot; part of a character is really just a backdrop for the really interesting parts of the character that people love about them. <br>Daffy Duck is relatable because he&#039;s a guy always trying to punch up but he&#039;s also spiteful, petty, arrogant, ignorant, shallow, and narcissistic and all of these other things about him are what people really enjoy from his character<br><br><a href=""#p134509971"" class=""quotelink"">&gt;&gt;134509971</a><br><span class=""quote"">&gt;&gt;Especially since, as you pointed out, the most popular kids characters are pretty much NEVER kids</span><br><br>Even popular kids characters that are kids tend to be written like adults occasionally like Charlie Brown or Calvin', 'time': 1670933621, 'resto': 134509944}]",1670933621,,
4,134510202,12/13/22(Tue)06:48:45,Anonymous,Anyone else livid that Nolan let this mook destroy mark? <br>For what purpose?,images (8),.jpg,361,849,106,249,1670932125013671,1670932125,d34isS6in02OSGayKg51vg==,61068,0,0,0,anyone-else-livid-that-nolan-let-this-mook,5,1,0,,,"[{'no': 134510307, 'now': '12/13/22(Tue)07:12:50', 'name': 'Anonymous', 'com': '<a href=""#p134510202"" class=""quotelink"">&gt;&gt;134510202</a><br><span class=""quote"">&gt;for what purpose</span><br>to show how inexperienced he is because it was viltrimite parenting.', 'time': 1670933570, 'resto': 134510202}]",1670933570,,
5,134505350,12/12/22(Mon)20:40:20,Anonymous,ITT We post things that awakened your fetish,girly rifle,.png,869,454,250,130,1670895620575006,1670895620,lipWPJHJtDZjxdSU2MbxOg==,422697,0,0,0,itt-we-post-things-that-awakened-your-fetish,5,165,74,160.0,72.0,"[{'no': 134510159, 'now': '12/13/22(Tue)06:42:37', 'name': 'Anonymous', 'filename': 'Ezgif-809225294', 'ext': '.gif', 'w': 640, 'h': 360, 'tn_w': 125, 'tn_h': 70, 'tim': 1670931757315517, 'time': 1670931757, 'md5': 'glpmCMbZicQ0h/hPkzpaeQ==', 'fsize': 3549561, 'resto': 134505350}, {'no': 134510263, 'now': '12/13/22(Tue)07:02:59', 'name': 'Anonymous', 'com': 'Who will be The Winner, for having the most confusing fetish of all?', 'filename': 'istockphoto-148772012-612x612', 'ext': '.jpg', 'w': 441, 'h': 612, 'tn_w': 90, 'tn_h': 125, 'tim': 1670932979395786, 'time': 1670932979, 'md5': 'jOr/h9usMS2Wg/fZQCUsWA==', 'fsize': 47734, 'resto': 134505350}, {'no': 134510273, 'now': '12/13/22(Tue)07:04:25', 'name': 'Anonymous', 'com': '<a href=""#p134506839"" class=""quotelink"">&gt;&gt;134506839</a><br>lung cancer fetish?', 'time': 1670933065, 'resto': 134505350}, {'no': 134510278, 'now': '12/13/22(Tue)07:06:18', 'name': 'Anonymous', 'com': '<a href=""#p134510273"" class=""quotelink"">&gt;&gt;134510273</a><br>Prolly asphyxiation. Yes, that&#039;s a fetish.', 'time': 1670933178, 'resto': 134505350}, {'no': 134510304, 'now': '12/13/22(Tue)07:12:23', 'name': 'Anonymous', 'com': 'How many of us got into fatties due to cartoons?', 'time': 1670933543, 'resto': 134505350}]",1670933543,,
6,134470720,12/10/22(Sat)15:34:59,Anonymous,Why did they leave her out in Korra?,BD3B3916-08EC-4A2B-9C8C-7779B411BD4D,.png,200,200,200,200,1670704499248661,1670704499,aSCdw0p/beLgNi9R8RUZQQ==,44566,0,0,0,why-did-they-leave-her-out-in-korra,5,156,18,151.0,18.0,"[{'no': 134508866, 'now': '12/13/22(Tue)02:53:23', 'name': 'Anonymous', 'com': '<a href=""#p134508262"" class=""quotelink"">&gt;&gt;134508262</a><br>toph x zuko is underrated', 'time': 1670918003, 'resto': 134470720}, {'no': 134509372, 'now': '12/13/22(Tue)04:33:14', 'name': 'Anonymous', 'com': '<a href=""#p134508863"" class=""quotelink"">&gt;&gt;134508863</a><br>bodyguard/concubine', 'time': 1670923994, 'resto': 134470720}, {'no': 134509909, 'now': '12/13/22(Tue)06:03:17', 'name': 'Anonymous', 'com': '<a href=""#p134506378"" class=""quotelink"">&gt;&gt;134506378</a><br>What&#039;s that', 'time': 1670929397, 'resto': 134470720}, {'no': 134510095, 'now': '12/13/22(Tue)06:33:15', 'name': 'Anonymous', 'com': '<a href=""#p134509909"" class=""quotelink"">&gt;&gt;134509909</a><br>sex positivity show aimed at zoomers watching netflix', 'time': 1670931195, 'resto': 134470720}, {'no': 134510302, 'now': '12/13/22(Tue)07:11:56', 'name': 'Anonymous', 'com': '<a href=""#p134510095"" class=""quotelink"">&gt;&gt;134510095</a><br>So Kaguya-sama but shit', 'time': 1670933516, 'resto': 134470720}]",1670933516,,
7,134469755,12/10/22(Sat)14:14:22,Anonymous,Your honest thoughts,103504952_p3,.jpg,1000,1297,192,249,1670699662929451,1670699662,0LDS4TiDERUoAx32MyPzSQ==,1272194,0,0,0,your-honest-thoughts,5,381,147,376.0,145.0,"[{'no': 134509196, 'now': '12/13/22(Tue)03:59:09', 'name': 'Anonymous', 'com': '<a href=""#p134509173"" class=""quotelink"">&gt;&gt;134509173</a><br>That&#039;s a bold statement.', 'filename': 'Tywebm', 'ext': '.webm', 'w': 1440, 'h': 1080, 'tn_w': 125, 'tn_h': 93, 'tim': 1670921949167029, 'time': 1670921949, 'md5': 'Ic/DGaRDrO2Bxux3wrlJUA==', 'fsize': 383296, 'resto': 134469755, 'spoiler': 1}, {'no': 134509207, 'now': '12/13/22(Tue)04:00:11', 'name': 'Anonymous', 'com': 'Have you decorated your christmas slug yet?', 'filename': '318494840_458612319781281_4920199061395862006_n', 'ext': '.jpg', 'w': 2048, 'h': 2022, 'tn_w': 125, 'tn_h': 123, 'tim': 1670922011037317, 'time': 1670922011, 'md5': 'ZBPit08h/HLY4+jn7t5VFA==', 'fsize': 258769, 'resto': 134469755}, {'no': 134510243, 'now': '12/13/22(Tue)06:58:15', 'name': 'Anonymous', 'com': '<a href=""#p134496400"" class=""quotelink"">&gt;&gt;134496400</a><br>Why bother drawing willow if you&#039;re just going to draw her skinny?', 'time': 1670932695, 'resto': 134469755}, {'no': 134510295, 'now': '12/13/22(Tue)07:10:08', 'name': 'Anonymous', 'com': '<a href=""#p134509207"" class=""quotelink"">&gt;&gt;134509207</a><br>Most of it.<br>The nativity scene is missing tho', 'time': 1670933408, 'resto': 134469755}, {'no': 134510300, 'now': '12/13/22(Tue)07:11:25', 'name': 'Anonymous', 'com': '<a href=""#p134509207"" class=""quotelink"">&gt;&gt;134509207</a><br>are the ornaments real or just a part of her', 'time': 1670933485, 'resto': 134469755}]",1670933485,,
8,134505958,12/12/22(Mon)21:32:12,Anonymous,"The Kang Dynasty<br><br><s>&gt;Kang attacks Earth-616 after having conquered several other universes.<br><span class=""quote"">&gt;The Avengers reassemble to fight him, with Captain America, Spider-Man, Doctor Strange, Black Panther, Captain Marvel, Shang-Chi and Ms. Marvel as the central characters.</span><br><span class=""quote"">&gt;Ms. Marvel’s bangles and Shang-Chi’s rings are relics of the original Multiverse war and the Avengers’ secret weapon against Kang.</span><br><span class=""quote"">&gt;Despite this, the Avengers are defeated, but Nathaniel Richards, Kang’s heroic variant, rescues them and prepares them to challenge Kang again.</span></s><br><br><br>Secret Wars<br><br><s>&gt;Nathaniel and the surviving Avengers recruit heroes from across the Multiverse – The Spider-Men, the X-Men, the Fantastic Four, Deadpool, etc. – to fight Kang and his armies.<br><span class=""quote"">&gt;The battle culminates with Nathaniel becoming He Who Remains in charge of protecting the Multiverse, and the Sacred Timeline rebooting and integrating heroes from other universes, such as Deadpool.</span></s><br><br>https://comicbookmovie.com/avengers<wbr>/avengers_the_kang_dynasty/avengers<wbr>-the-kang-dynasty-may-see-the-team-<wbr>gain-a-surprising-new-ally-possible<wbr>-spoilers-a198309",Kang,.png,825,730,250,221,1670898732986066,1670898732,r9NbXmHLfNQaVo5ZND760Q==,860312,0,0,0,kang-dynasty-secret-wars-rumored-leaks,5,42,6,37.0,5.0,"[{'no': 134510068, 'now': '12/13/22(Tue)06:28:25', 'name': 'Anonymous', 'com': '<a href=""#p134505958"" class=""quotelink"">&gt;&gt;134505958</a><br>I can&#039;t get over the fact that they blackwashed the guy named KANG', 'filename': 'heavy laughter', 'ext': '.jpg', 'w': 500, 'h': 500, 'tn_w': 125, 'tn_h': 125, 'tim': 1670930905786540, 'time': 1670930905, 'md5': 'Fkf9xdIo4iLyVaZfaUUm7w==', 'fsize': 33991, 'resto': 134505958}, {'no': 134510150, 'now': '12/13/22(Tue)06:41:17', 'name': 'Anonymous', 'com': '<a href=""#p134510068"" class=""quotelink"">&gt;&gt;134510068</a><br>It’s because it’s scientifically proven humans will all look like the black race in 2,000 years', 'time': 1670931677, 'resto': 134505958}, {'no': 134510178, 'now': '12/13/22(Tue)06:45:10', 'name': 'Anonymous', 'com': '<a href=""#p134505958"" class=""quotelink"">&gt;&gt;134505958</a><br>Fuck me I thought this was George Floyd from the thumbnail.', 'time': 1670931910, 'resto': 134505958}, {'no': 134510207, 'now': '12/13/22(Tue)06:49:47', 'name': 'Anonymous', 'com': '<a href=""#p134510178"" class=""quotelink"">&gt;&gt;134510178</a><br>The greatest Kang of them all...', 'time': 1670932187, 'resto': 134505958}, {'no': 134510299, 'now': '12/13/22(Tue)07:11:23', 'name': 'Anonymous', 'com': '<a href=""#p134510150"" class=""quotelink"">&gt;&gt;134510150</a><br>The 31st Century isn&#039;t that long away', 'time': 1670933483, 'resto': 134505958}]",1670933483,KANG DYNASTY / SECRET WARS Rumored Leaks,
9,134503592,12/12/22(Mon)18:27:00,Anonymous,Catwoman is a better character than all the other DC heroines.,0b01780f4a73a05455dbe2bef8e41072--catwoman,.jpg,598,900,166,250,1670887620907204,1670887620,QzrieO629lPwP24osxQ9/w==,140531,0,0,0,catwoman-is-a-better-character-than-all-the-other,5,56,38,51.0,34.0,"[{'no': 134509572, 'now': '12/13/22(Tue)05:10:53', 'name': 'Anonymous', 'com': '<a href=""#p134508495"" class=""quotelink"">&gt;&gt;134508495</a><br>Nice acquisition, anon.<br>Personally I&#039;m waiting for McFarlane&#039;s Knightfall Catwoman to release. It&#039;s the first figure of 90s Selina in a while so I&#039;m a bit hyped, but I know McFarlane has an iffy track record with their figs so I&#039;m apprehensive as well.', 'filename': 'DCM-Catwoman-Knightfall', 'ext': '.jpg', 'w': 1080, 'h': 1350, 'tn_w': 100, 'tn_h': 125, 'tim': 1670926253897148, 'time': 1670926253, 'md5': '+X+fGOyl6jp/xMBMfWYjcg==', 'fsize': 477211, 'resto': 134503592}, {'no': 134509639, 'now': '12/13/22(Tue)05:20:55', 'name': 'Anonymous', 'com': 'Ohnononon hahahaha', 'filename': 'catwalled', 'ext': '.jpg', 'w': 640, 'h': 367, 'tn_w': 125, 'tn_h': 71, 'tim': 1670926855939065, 'time': 1670926855, 'md5': 'F6T4tgRbOtj8OueiZGdwmg==', 'fsize': 63530, 'resto': 134503592}, {'no': 134510144, 'now': '12/13/22(Tue)06:40:25', 'name': 'Anonymous', 'com': '<a href=""#p134503592"" class=""quotelink"">&gt;&gt;134503592</a><br>DC heroines? Eh, I dunno.<br>Marvel heroines? Absolutely.', 'filename': 'Catwoman_0018.0.0', 'ext': '.jpg', 'w': 1200, 'h': 800, 'tn_w': 125, 'tn_h': 83, 'tim': 1670931625345906, 'time': 1670931625, 'md5': 'wWJPrGtjUgDEleghbDqAaQ==', 'fsize': 58002, 'resto': 134503592}, {'no': 134510224, 'now': '12/13/22(Tue)06:54:13', 'name': 'Anonymous', 'com': '<a href=""#p134509639"" class=""quotelink"">&gt;&gt;134509639</a><br>One possible future out of thousands, man.', 'filename': 'Catwoman_Kingdom_Come_01', 'ext': '.jpg', 'w': 381, 'h': 1015, 'tn_w': 46, 'tn_h': 125, 'tim': 1670932453821219, 'time': 1670932453, 'md5': 'r/gs+ZFFwCaN0y4ixVHZ7g==', 'fsize': 151548, 'resto': 134503592}, {'no': 134510297, 'now': '12/13/22(Tue)07:11:06', 'name': 'Anonymous', 'com': '<a href=""#p134509639"" class=""quotelink"">&gt;&gt;134509639</a><br>I&#039;d fuck her. <br>Batman still loving her was wholesome as fuck', 'time': 1670933466, 'resto': 134503592}]",1670933466,,
