,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,trip
0,670504,1.0,1.0,07/20/14(Sun)16:06:58,Anonymous,Makers gonna make!,"Welcome to /diy/, a place to:<br><br>Post and discuss /diy/ projects, ask questions regarding /diy/ topics and exchange ideas and techniques.<br><br>Please keep in mind:<br>- This is a SFW board. No fleshlights or other sex toys.<br>- No weapons. That goes to <a href=""https://boards.4chan.org/k/"">/k/ - Weapons</a>. The workmanship and techniques involved in creating objects which could be used as weapons or the portion of a weapons project that involves them (e.g., forging steel for a blade, machining for gunsmithing, what epoxy can I use to fix my bow) may be discussed in /diy/, but discussing weapon-specific techniques/designs or the actual use of weapons is disallowed. Things such as fixed blade knives or axes are considered tools, things such as swords, guns or explosives are considered weapons.<br>- No drugs or drug paraphernalia (See <a href=""http://www.4chan.org/rules#global"">Global Rule 1</a>). If you want to discuss something that could involve such things (e.g., carving a tobacco pipe from wood) that&#039;s fine, but make sure it&#039;s /diy/ related and doesn&#039;t involve drugs or it will result in deletion/ban.<br><br>Helpful links:<br><a href=""https://sites.google.com/site/diyelmo/"">https://sites.google.com/site/diyel<wbr>mo/</a><br><a href=""http://www.engineeringtoolbox.com/"">http://www.engineeringtoolbox.com/</a>",diy,.jpg,800,600,250,187,1405886818186,1405886818,xB5QGUR5hC0ePACCB1I1Yw==,672450,0,mod,makers-gonna-make,1,0,"[{'no': 670505, 'now': '07/20/14(Sun)16:07:27', 'name': 'Anonymous', 'com': 'Some friendly suggestions for posting:<br>- First ask Google, then ask /diy/. Your question will probably be better received if you do so.<br>- List available resources (tools, materials, budget, time, etc.)<br>- Try to use pictures and explain the goal, if possible<br>- Be patient, this is a slow board; your thread will be around for days.<br>- Share your results! /diy/ loves to see problems solved and projects completed!', 'time': 1405886847, 'resto': 670504, 'capcode': 'mod'}]",1405886855,,,,,
1,2516053,,,12/05/22(Mon)16:13:07,Anonymous,"/HAM/ Amateur, CB, Shortwave, Listening, Pirate Radio General","Breaker 19 edition<br><br>Old thread fried its finals <a href=""/diy/thread/2505593#p2505593"" class=""quotelink"">&gt;&gt;2505593</a><br><br>Eternal thread theme: https://www.youtube.com/watch?v=7gd<wbr>43b_ZcuU<br><br><span class=""quote"">&gt;New to /ham/? Read this shit!</span><br>http://www.arrl.org/what-is-ham-rad<wbr>io<br>https://www.fcc.gov/wireless/bureau<wbr>-divisions/mobility-division/amateu<wbr>r-radio-service<br><span class=""quote"">&gt;Your search engine of choice works well too!</span><br><br>The FAQ is now back:<br>https://wiki.cybsec.io/index.php/Ha<wbr>mFAQ<br><span class=""quote"">&gt;NEW FAQ is updated to preview 13</span><br>https://files.catbox.moe/3xr6gh.htm<wbr><br><span class=""quote"">&gt;The wiki is down but is archived: https://archive.is/PjR5s</span><br><span class=""quote"">&gt;Idiot&#039;s Guide to Coax Cable</span><br>https://www.pcs-electronics.com/gui<wbr>de_coax.php<br><span class=""quote"">&gt;Looking for frequencies to monitor near you?</span><br>http://www.radioreference.com<br><span class=""quote"">&gt;Basic Rx loop fundamentals</span><br>https://www.w8ji.com/magnetic_recei<wbr>ving_loops.htm<br><span class=""quote"">&gt;DIY SWL Mag. Loop</span><br>http://www.kr1st.com/swlloop.htm<br><span class=""quote"">&gt;Small Tx Loop</span><br>http://webclass.org/k5ijb/antennas/<wbr>Small-magnetic-loops.htm<br><span class=""quote"">&gt;In Depth Loop articles</span><br>http://www.kk5jy.net/magloop/<br><span class=""quote"">&gt;Homebrew RF Circuits</span><br>https://www.qsl.net/va3iul/Homebrew<wbr>_RF_Circuit_Design_Ideas/Homebrew_R<wbr>F_Circuit_Design_Ideas.htm<br><span class=""quote"">&gt;NEW Library</span><br>https://mega.nz/file/UCgEGAjb#rwNcn<wbr>MAQCUUbSp8supsFvn9QEHCWUW86eLcZa16Z<wbr>G4Y<br><br><span class=""quote"">&gt;Online Practice Tests:</span><br>http://aa9pw.com/<br>https://hamstudy.org/<br>https://hamexam.org/<br><span class=""quote"">&gt; Real-Time Propagation Data</span><br>http://prop.kc2g.com/<br><span class=""quote"">&gt;Space Weather</span><br>https://www.swpc.noaa.gov/communiti<wbr>es/radio-communications<br><span class=""quote"">&gt;WSJT-X 2.1 User Guide</span><br>https://physics.princeton.edu/pulsa<wbr>r/k1jt/wsjtx-doc/wsjtx-main-2.1.2.h<wbr>tml<br><span class=""quote"">&gt;Homosexual (ft8) guide</span><br>https://www.g4ifb.com/FT8_Hinson_ti<wbr>ps_for_HF_DXers.pdf<br><span class=""quote"">&gt;APRS</span><br>http://www.aprs.org/<br><span class=""quote"">&gt;how do I into Morse code in a good way?</span><br>https://pastebin.com/XwATbRrH",ham_meinnegr,.jpg,800,533,250,166,1670274787837785,1670274787,rSIPlNkXpP/gk+nqWECP7g==,63978,0,,ham-amateur-cb-shortwave-listening-pirate-radio,173,51,"[{'no': 2520837, 'now': '12/13/22(Tue)00:44:35', 'name': 'Anonymous', 'com': '<a href=""#p2520543"" class=""quotelink"">&gt;&gt;2520543</a><br>aced it lads, should be getting my callsign in a couple days. gonna get to work on my general ASAP', 'filename': 'awheezytoast', 'ext': '.png', 'w': 467, 'h': 348, 'tn_w': 125, 'tn_h': 93, 'tim': 1670910275875984, 'time': 1670910275, 'md5': '+SspBdFtkf/ICFU7WnqCTA==', 'fsize': 115366, 'resto': 2516053}, {'no': 2520844, 'now': '12/13/22(Tue)00:53:20', 'name': 'Anonymous', 'com': '<a href=""#p2520837"" class=""quotelink"">&gt;&gt;2520837</a><br>congrats, anon !', 'time': 1670910800, 'resto': 2516053}, {'no': 2520849, 'now': '12/13/22(Tue)01:09:08', 'name': 'Anonymous', 'com': 'You guys like my new yagi?', 'filename': 'Mosley mini', 'ext': '.jpg', 'w': 1600, 'h': 1200, 'tn_w': 125, 'tn_h': 93, 'tim': 1670911748097962, 'time': 1670911748, 'md5': '047RrdRpQXiQ1vUCKqtZ6g==', 'fsize': 281517, 'resto': 2516053}, {'no': 2520929, 'now': '12/13/22(Tue)07:09:23', 'name': 'Anonymous', 'com': '<a href=""#p2520837"" class=""quotelink"">&gt;&gt;2520837</a><br>Congratulations, now do General. I took my time and just took practice tests occasionally while learning off what I could do in Tech privileges and got it a month later.', 'time': 1670933363, 'resto': 2516053}, {'no': 2520931, 'now': '12/13/22(Tue)07:13:58', 'name': 'Anonymous', 'com': '<a href=""#p2520837"" class=""quotelink"">&gt;&gt;2520837</a><br><span class=""quote"">&gt;gonna get to work on my general ASAP</span><br>Congrats, and godspeed, anon. Do Extra next.', 'time': 1670933638, 'resto': 2516053}]",1670933638,0.0,0.0,168.0,49.0,
2,2515528,,,12/04/22(Sun)18:34:19,Anonymous,,"<span class=""quote"">&gt;fell for the trade school meme at 24</span><br><span class=""quote"">&gt;go electrical</span><br><span class=""quote"">&gt;80 percent of the class are 19 year olds coming out of their dads van who already have jobs on the field and finish every project on 10-15 minutes </span><br><span class=""quote"">&gt;I take the full hour and a half and sometimes I STILL don&#039;t get the wiring right and don&#039;t have a whole table of experienced guys babysitting me</span><br><span class=""quote"">&gt;have to spend so much time doing shit over that im wondering if its even worth the money</span><br>How do I cope with this feel?",1638381590900,.png,1020,1186,215,250,1670196859554117,1670196859,0uQc+EHB12IhN4V91NBrng==,75243,0,,fell-for-the-trade-school-meme-at-24,64,5,"[{'no': 2520753, 'now': '12/12/22(Mon)22:26:59', 'name': 'Anonymous', 'com': '<a href=""#p2520541"" class=""quotelink"">&gt;&gt;2520541</a><br>wrong minimum requirement is one year experience in electrical field', 'time': 1670902019, 'resto': 2515528}, {'no': 2520889, 'now': '12/13/22(Tue)04:01:52', 'name': 'Anonymous', 'com': '<a href=""#p2520753"" class=""quotelink"">&gt;&gt;2520753</a><br>I don&#039;t think you have the experience to be commenting.', 'time': 1670922112, 'resto': 2515528}, {'no': 2520905, 'now': '12/13/22(Tue)04:47:51', 'name': 'Anonymous', 'com': '<a href=""#p2520889"" class=""quotelink"">&gt;&gt;2520889</a><br>likewise', 'time': 1670924871, 'resto': 2515528}, {'no': 2520928, 'now': '12/13/22(Tue)07:09:01', 'name': 'Anonymous', 'com': '<a href=""#p2520905"" class=""quotelink"">&gt;&gt;2520905</a><br>You&#039;re not an Electrician, so you would not understand.', 'time': 1670933341, 'resto': 2515528}, {'no': 2520930, 'now': '12/13/22(Tue)07:12:04', 'name': 'Anonymous', 'com': 'i started by apprenticeship (carpentry) in province A and am trying to finish it in province B but the bureau of labour or whatever the fuck it is wont acknowledge the schooling ive already done and wont let me into the program where i left off a year ago<br>this dumb bitch is told me ill have to start from scratch and now im looking at a different career path<br>what do bros?', 'time': 1670933524, 'resto': 2515528}]",1670933524,0.0,0.0,59.0,5.0,
3,2516795,,,12/06/22(Tue)18:59:46,Anonymous,/mcg/ - Microcontroller General: Professional Devkit Edition,"Previous thread:<a href=""/diy/thread/2491169#p2491169"" class=""quotelink"">&gt;&gt;2491169</a><br><br>Here we discuss microcontrollers, SBCs and microcontroller accessories, such as Atmel mega and tiny AVRs (Arduinos), PICs, ARM boards such as blue/black pill STM32, ESP8266/32s, RP2040, Raspberry Pi, and others.<br><br>For general electronics questions (power supplies, level shifting, motor driving, etc.) please ask /ohm/.<br><br><span class=""quote"">&gt;where can I find verified quality microcontrollers and other electronic sensors or parts</span><br>digikey.com<br>mouser.com<br>arrow.com<br>newark.com<br><br><span class=""quote"">&gt;but that&#039;s too expensive</span><br>aliexpress.com (many parts here are fake, particularly specific parts out of stock in the above sites)<br>lcsc.com<br><br><span class=""quote"">&gt;I need a part that does X and Y, with Z specifications. How can I find it?</span><br>use digikey or mouser&#039;s parametric part search. Then purchase from one of the sellers listed above.<br><br><span class=""quote"">&gt;how do I get started with microcontrollers, where should I start?</span><br>There is no defined starting point, grab a book and start reading or buy an arduino off ebay/amazon and start messing around. There are a plethora of examples online to get started.<br><br><span class=""quote"">&gt;resources:</span><br>https://github.com/kitspace/awesome<wbr>-electronics",wtfduino,.png,1568,644,250,102,1670371186291043,1670371186,M8EFxpDlfmuzyY3rTmg3Gg==,1632861,0,,mcg-microcontroller-general-professional-devkit,90,10,"[{'no': 2520585, 'now': '12/12/22(Mon)17:08:31', 'name': 'Anonymous', 'com': '<a href=""#p2517107"" class=""quotelink"">&gt;&gt;2517107</a><br>It would have been appropriate on the old /cyb/ generals. Unfortunately, it as killed by mods, so any attempts of doing non consumerism tech to /g/ will be met with stern reactions.', 'time': 1670882911, 'resto': 2516795}, {'no': 2520743, 'now': '12/12/22(Mon)22:15:04', 'name': 'Anonymous', 'com': '<a href=""#p2520538"" class=""quotelink"">&gt;&gt;2520538</a><br>Yeah those pins are neat. Can be either set statically as a way of having two of the same sensor, or toggled dynamically to have any number of those sensors, so long as you&#039;ve got the room and pins for a 1-of-N decoder.<br><br><a href=""#p2520558"" class=""quotelink"">&gt;&gt;2520558</a><br>lol', 'time': 1670901304, 'resto': 2516795}, {'no': 2520853, 'now': '12/13/22(Tue)01:21:26', 'name': 'Anonymous', 'com': 'Hello, I&#039;m new to PIC. Trying to program that demo board for a start using the example assembler code of the demo board pdf.<br><span class=""quote"">&gt;Where can I get p16F887.inc?</span>', 'time': 1670912486, 'resto': 2516795}, {'no': 2520854, 'now': '12/13/22(Tue)01:23:29', 'name': 'Anonymous', 'com': '<a href=""#p2520853"" class=""quotelink"">&gt;&gt;2520853</a>', 'filename': 'file', 'ext': '.png', 'w': 840, 'h': 993, 'tn_w': 105, 'tn_h': 125, 'tim': 1670912609528395, 'time': 1670912609, 'md5': '+vq1q6nH8GsBuAHWUajyLg==', 'fsize': 191166, 'resto': 2516795}, {'no': 2520927, 'now': '12/13/22(Tue)07:01:38', 'name': 'Anonymous', 'com': '<a href=""#p2520854"" class=""quotelink"">&gt;&gt;2520854</a><br>angle brackets are only for system includes, try quotes around the filename instead<br>also you should start with a working example and chip it down to a minimum framework, then save that as your starter project to copy from, so you won&#039;t make dumb rookie mistakes like that<br><span class=""deadlink"">&gt;&gt;2520893</span><br><span class=""quote"">&gt;op-amp</span><br>ask in /ohm/', 'time': 1670932898, 'resto': 2516795}]",1670932898,0.0,0.0,85.0,9.0,
4,2519191,,,12/10/22(Sat)16:59:34,Anonymous,,"Why is the incandescent equivalent to these bulbs? <br><span class=""quote"">&gt;13w, 120v, 60hz, 200mA</span><br><span class=""quote"">&gt;CF13EL, MICRO, C, 865, 6500K</span>",F71ACBAF-A1C6-4626-BC57-D7AE040D3C26,.jpg,300,292,250,243,1670709574173726,1670709574,lWu/FGzNFbgHBIRNZ6G5yA==,4647,0,,why-is-the-incandescent-equivalent-to-these-bulbs,3,2,"[{'no': 2520356, 'now': '12/12/22(Mon)09:42:14', 'name': 'Anonymous', 'com': 'Something like picrel', 'filename': 'bulb', 'ext': '.jpg', 'w': 800, 'h': 800, 'tn_w': 125, 'tn_h': 125, 'tim': 1670856134899538, 'time': 1670856134, 'md5': 'DUyMPazO6xDFy19RZA8TaQ==', 'fsize': 37117, 'resto': 2519191}, {'no': 2520423, 'now': '12/12/22(Mon)11:48:15', 'name': 'Anonymous', 'com': 'Things that can be asked of google probably don&#039;t deserve their own thread.', 'filename': 'Capture', 'ext': '.jpg', 'w': 759, 'h': 375, 'tn_w': 125, 'tn_h': 61, 'tim': 1670863695708350, 'time': 1670863695, 'md5': 'qjFDunail4tjLgyV4xQE9A==', 'fsize': 36517, 'resto': 2519191}, {'no': 2520926, 'now': '12/13/22(Tue)06:51:53', 'name': 'Anonymous', 'com': '<a href=""#p2519191"" class=""quotelink"">&gt;&gt;2519191</a><br>Do you think anyone here actually has any clue what the fuck you&#039;re talking about. Even if you find an electrician here, they don&#039;t know lightbulb specs. Enjoy your autism OP.', 'time': 1670932313, 'resto': 2519191}]",1670932313,0.0,0.0,,,
5,2516898,,,12/06/22(Tue)21:12:30,Anonymous,New place,"I just got a new apartment, yea yea renting I know, but I’m all by myself and have no friends in this state so I have nobody to tell me if the way I’m decorating is nice so far. I haven’t put up any artwork yet but I’m going for a nice chill nature vibe. You guys have any suggestions ? I hope this is the right board for this post please don’t ban me.",8E2A0C3E-5FB7-4B9A-9901-C0A0BD9415C6,.jpg,4032,3024,250,187,1670379150262595,1670379150,GzDrcVC5XzJVT/C8FyL01A==,3152893,0,,new-place,23,4,"[{'no': 2519768, 'now': '12/11/22(Sun)12:36:43', 'name': 'Anonymous', 'com': '<a href=""#p2516898"" class=""quotelink"">&gt;&gt;2516898</a><br>surgically removed walls and pull all of the copper out and replace it with aluminum. sell appliances and replace with curb alert craigslist tier. remove every other stud and sell. repair with spackle, find new apartment, repeat.', 'time': 1670780203, 'resto': 2516898}, {'no': 2520233, 'now': '12/12/22(Mon)04:52:57', 'name': 'Anonymous', 'com': 'Get a girlfriend, she&#039;ll decorate', 'time': 1670838777, 'resto': 2516898}, {'no': 2520242, 'now': '12/12/22(Mon)05:17:46', 'name': 'Anonymous', 'com': '<a href=""#p2520233"" class=""quotelink"">&gt;&gt;2520233</a><br>I cannot recommend this enough.', 'time': 1670840266, 'resto': 2516898}, {'no': 2520896, 'now': '12/13/22(Tue)04:09:03', 'name': 'Anonymous', 'com': '<a href=""#p2520233"" class=""quotelink"">&gt;&gt;2520233</a><br><span class=""quote"">&gt;trusting a woman&#039;s taste</span><br>don&#039;t <br>get a gay boyfriend, he&#039;ll do a better job', 'time': 1670922543, 'resto': 2516898}, {'no': 2520925, 'now': '12/13/22(Tue)06:42:49', 'name': 'Anonymous', 'com': '<a href=""#p2516898"" class=""quotelink"">&gt;&gt;2516898</a><br>get a poster of Dominique Wilkins for above your media console', 'time': 1670931769, 'resto': 2516898}]",1670931769,0.0,0.0,18.0,4.0,
6,2518047,,,12/08/22(Thu)19:18:48,Anonymous,,How do I make a cell jammer??? Anybody point me in the right direction? (Not for use just research),Screenshot_20221208_162406,.jpg,720,878,205,250,1670545128937181,1670545128,oPTiCcu+A59odUkYp7OmTw==,132083,0,,how-do-i-make-a-cell-jammer-anybody-point-me-in,38,7,"[{'no': 2520602, 'now': '12/12/22(Mon)17:52:40', 'name': 'Anonymous', 'com': '<a href=""#p2520596"" class=""quotelink"">&gt;&gt;2520596</a><br>I know you are larping…<br>That’s all you had to say you enormous wind bag of ass', 'time': 1670885560, 'resto': 2518047}, {'no': 2520647, 'now': '12/12/22(Mon)19:28:47', 'name': 'Anonymous', 'com': '<a href=""#p2519679"" class=""quotelink"">&gt;&gt;2519679</a><br>Nice bait mate. Just IP ban them on your router.', 'time': 1670891327, 'resto': 2518047}, {'no': 2520885, 'now': '12/13/22(Tue)03:43:11', 'name': 'Anonymous', 'com': 'Destructive interference is prolly next gen but military grade. Would probably land you in trouble too.', 'time': 1670920991, 'resto': 2518047}, {'no': 2520923, 'now': '12/13/22(Tue)06:29:56', 'name': 'Anonymous', 'com': '<a href=""#p2519732"" class=""quotelink"">&gt;&gt;2519732</a><br><span class=""quote"">&gt;put it in your pocket</span><br>Enjoy frying your nutsack off.', 'time': 1670930996, 'resto': 2518047}, {'no': 2520924, 'now': '12/13/22(Tue)06:32:12', 'name': 'Anonymous', 'com': '<a href=""#p2518301"" class=""quotelink"">&gt;&gt;2518301</a><br><span class=""quote"">&gt;With an SDR you can make your own &quot;cell tower&quot; and nearby phones will connect to it, as it will have the strongest signal. This is how the Stingray (google it) works.</span><br>No, stingray actually lets you spoof a tower. You cant just pretend to be a cellphone tower without having credentials', 'time': 1670931132, 'resto': 2518047}]",1670931132,0.0,0.0,33.0,7.0,
7,2520829,,,12/13/22(Tue)00:32:51,Anonymous,,"<span class=""quote"">&gt;mfw other electricians make fun of me because I specialize in generators instead of wiring cookie-cutter retiree homes</span><br>Bitch not only do I know how to transport electricity, I know how to make it from scratch. Fuck off",Screen Shot 2022-12-06 at 8.22.40 PM,.png,550,542,250,246,1670909571283518,1670909571,xPyiza93DM/xZ2ZJxa8ZdA==,384790,0,,mfw-other-electricians-make-fun-of-me-because-i,4,1,"[{'no': 2520832, 'now': '12/13/22(Tue)00:35:47', 'name': 'Anonymous', 'filename': '1627241199531', 'ext': '.png', 'w': 501, 'h': 639, 'tn_w': 98, 'tn_h': 125, 'tim': 1670909747825107, 'time': 1670909747, 'md5': 'WI9oY9V+7/hOxsQ6SBARMA==', 'fsize': 259997, 'resto': 2520829}, {'no': 2520888, 'now': '12/13/22(Tue)04:00:45', 'name': 'Anonymous', 'com': 'Haha faggot', 'time': 1670922045, 'resto': 2520829}, {'no': 2520898, 'now': '12/13/22(Tue)04:12:17', 'name': 'Anonymous', 'com': '<a href=""#p2520829"" class=""quotelink"">&gt;&gt;2520829</a><br>bot/troll thread<br>but prove me wrong, tell me how they make fun of you for being more qualified and earning more money', 'time': 1670922737, 'resto': 2520829}, {'no': 2520922, 'now': '12/13/22(Tue)06:23:46', 'name': 'Anonymous', 'com': '<a href=""#p2520829"" class=""quotelink"">&gt;&gt;2520829</a><br>1pbtid', 'time': 1670930626, 'resto': 2520829}]",1670930626,0.0,0.0,,,
8,2509558,,,11/24/22(Thu)17:57:06,Anonymous,Abominations - Finnish shitting zoo edition,"Previous thread: <span class=""deadlink"">&gt;&gt;2472230</span>",201931834,.jpg,1600,1067,250,166,1669330626952240,1669330626,+l093WPFttcwffafj4N+SQ==,221578,0,,abominations-finnish-shitting-zoo-edition,85,20,"[{'no': 2519969, 'now': '12/11/22(Sun)18:06:01', 'name': 'Anonymous', 'com': '<a href=""#p2519967"" class=""quotelink"">&gt;&gt;2519967</a><br><span class=""quote"">&gt;He was a rude ass street shitting pajeet bitch</span><br>That explains it. Pajeets are basically jews -15 IQ that waddle in cow dung', 'time': 1670799961, 'resto': 2509558}, {'no': 2520701, 'now': '12/12/22(Mon)21:11:22', 'name': 'Anonymous', 'com': '<a href=""#p2517128"" class=""quotelink"">&gt;&gt;2517128</a><br>just threaten them with a good time', 'time': 1670897482, 'resto': 2509558}, {'no': 2520755, 'now': '12/12/22(Mon)22:28:30', 'name': 'Anonymous', 'com': '<a href=""#p2519967"" class=""quotelink"">&gt;&gt;2519967</a><br>Pakis and punjabs are the absolute fucking worst.', 'time': 1670902110, 'resto': 2509558}, {'no': 2520914, 'now': '12/13/22(Tue)05:32:18', 'name': 'Anonymous', 'com': '<a href=""#p2518768"" class=""quotelink"">&gt;&gt;2518768</a><br>this is gonna be great during zombie apocalypse', 'time': 1670927538, 'resto': 2509558}, {'no': 2520921, 'now': '12/13/22(Tue)06:15:24', 'name': 'Anonymous', 'com': '<a href=""#p2519869"" class=""quotelink"">&gt;&gt;2519869</a><br>that&#039;s how it works for apartment buildings.<br><br>we all live at the mercy of the first floor tenant<br><br>for water at least', 'time': 1670930124, 'resto': 2509558}]",1670930124,0.0,0.0,80.0,20.0,
9,2517594,,,12/08/22(Thu)00:14:56,Anonymous,,"Does diy know about electronics? <br>TV just made a loud POP and stopped working and I’d like to fix it myself and hopefully learn something in the process. <br>Any advice on how to diagnose a powerboard issue? <br><br><span class=""quote"">&gt;Samsung 55” LED </span><br><span class=""quote"">&gt;zero clue about electronics</span><br><span class=""quote"">&gt;excuse to buy more tools</span><br><span class=""quote"">&gt;prefer to fix individual component rather than simply replace powerboard</span>",CFBE55E3-7C54-4B67-9933-CC154B769CFE,.jpg,4032,3024,250,187,1670476496649712,1670476496,9aDlxPvuWiRtLk4YCauwBg==,2070453,0,,does-diy-know-about-electronics,13,1,"[{'no': 2517852, 'now': '12/08/22(Thu)13:35:24', 'name': 'Anonymous', 'com': '<a href=""#p2517775"" class=""quotelink"">&gt;&gt;2517775</a><br>capacitors blow up for a reason, just replacing it may not fix it.', 'time': 1670524524, 'resto': 2517594}, {'no': 2518798, 'now': '12/10/22(Sat)05:35:02', 'name': 'fixinga OP here', 'com': '<a href=""#p2517775"" class=""quotelink"">&gt;&gt;2517775</a><br>nice job anon, make sure u get the same type of cap and ratings...<br><br><br><a href=""#p2517799"" class=""quotelink"">&gt;&gt;2517799</a><br>for de-soldering, I would highly recommend using a solder sucker/pump like a goot GS-108 or TP-100 which will generally work much faster and stress the pads less from my experience especially for someone who never used solder wick b4.<br>also might want to watch these first before u start if u haven&#039;t soldered b4:<br>https://www.youtube.com/playlist?li<wbr>st=PL926EC0F1F93C1837<br><br>https://www.youtube.com/playlist?li<wbr>st=PLBXXuFXCtmtqlamIEfu3lSTzM5t1k2c<wbr>x_<br><br>https://www.youtube.com/watch?v=M0w<wbr>I-5YZQm4<br><br>https://www.youtube.com/watch?v=vpg<wbr>Mn88Qfjs<br><br>follow the steps and complete the primary check/repair, then you should go for a secondary diagnoses, which has 3 golden roles:<br><br>1. during this stage u will have to power up the board, the best way to power it is an isolation transformer, so the board is kept floating (galvanically isolated) this will reduce the risk of electrocution, also install a fast acting low current breaker or an incandescent lightbulb/heater or a fuse inline for added safety against short circuits accidental and otherwise, i personally use a 200w ceramic heater it if it glows i know there is a short and due to the PTC nature of the heater it limits the current enough to not cause catastrophic failure...<br>u could work on it on that state, but still i wouldn&#039;t recommend that for a beginner, so wear gloves and boots while working, and if u don&#039;t have access to an isolation transformer u have to use a GFCI/RDC outlet or breaker in line with circuit u are powering:<br>https://www.youtube.com/watch?v=olq<wbr>9wdeNS4c<br><br>2.make sure yk where ur hands are!! keep ur hands off the board and the board always powered down at all times except during the test!!!<br><br><br>3. thou shalt check voltages, start from the primary side, since the voltages there are known for the most part, if they are in the ball park (+10v or -10v) its ok, any thing higher u should investigate the primary components', 'time': 1670668502, 'resto': 2517594}, {'no': 2519142, 'now': '12/10/22(Sat)15:52:40', 'name': 'Anonymous', 'com': '<a href=""#p2517775"" class=""quotelink"">&gt;&gt;2517775</a><br>I am not sure what those two leads are right next to the cap, but they both probably need to be replaced', 'time': 1670705560, 'resto': 2517594}, {'no': 2520908, 'now': '12/13/22(Tue)05:09:53', 'name': 'Anonymous', 'com': '<a href=""#p2517594"" class=""quotelink"">&gt;&gt;2517594</a><br>find the board that has the burnt/blown component. get serial number of the board and replace.', 'time': 1670926193, 'resto': 2517594}, {'no': 2520920, 'now': '12/13/22(Tue)06:03:25', 'name': 'Anonymous', 'com': '<a href=""#p2517807"" class=""quotelink"">&gt;&gt;2517807</a><br><span class=""quote"">&gt;older boards</span><br>wait until you see the underneath of ops board', 'time': 1670929405, 'resto': 2517594}]",1670929405,0.0,0.0,8.0,1.0,
