,no,now,name,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,tag,replies,images,last_modified,sub,last_replies,com
0,3490477,12/12/22(Mon)05:47:37,Anonymous,xmas,.swf,550,400,0,0,1670842057180233,1670842057,v8w5KBCMTknOViXrSQgE9w==,2900254,0,0,0,4,Other,0,0,1670842057,,,
1,3490476,12/12/22(Mon)05:36:28,Anonymous,wrestling is not fake,.swf,1280,720,0,0,1670841388182710,1670841388,fNW25Tl6O900r53hhyA7Hg==,6898331,0,0,0,4,Other,0,0,1670841388,,,
2,3490475,12/12/22(Mon)05:28:21,Anonymous,Christmas Ultra Bounce,.swf,480,640,0,0,1670840901604868,1670840901,UjlgGtzcGhSQXHl+Tke0bA==,6260466,0,0,0,3,Game,0,0,1670840901,,,
3,3490474,12/12/22(Mon)04:15:56,Anonymous,Christmas with Yui (1),.swf,640,480,0,0,1670836556119222,1670836556,Jfiyjf6MjpO0W9AdsQIIYg==,3700569,0,0,0,4,Other,0,0,1670836556,,,
4,3490437,12/11/22(Sun)08:00:16,John Moses Browning,goin,.swf,960,520,0,0,1670763616998624,1670763616,bNmvtSdFl3xzzZJLAb2xjw==,99513,0,0,0,5how-is-it-goin-anon,Loop,4,0,1670830147,"How is it goin, anon?","[{'no': 3490448, 'now': '12/11/22(Sun)10:40:25', 'name': 'Anonymous', 'com': '<a href=""#p3490437"" class=""quotelink"">&gt;&gt;3490437</a><br>Oh hi Mark.', 'time': 1670773225, 'resto': 3490437}, {'no': 3490457, 'now': '12/11/22(Sun)15:41:03', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;have to write my Master Thesis with fucking Python</span><br><span class=""quote"">&gt;still need to grind a few years to get good at art</span><br><span class=""quote"">&gt;decent at Japanese but need to study ERP for vocabulary</span><br>Ok, I guess. A lot of boring stuff coming up.', 'time': 1670791263, 'resto': 3490437}, {'no': 3490462, 'now': '12/11/22(Sun)19:27:10', 'name': 'Anonymous', 'com': '<a href=""#p3490437"" class=""quotelink"">&gt;&gt;3490437</a><br>I&#039;ve dug myself in a pretty bad pit of lies that I see no way out of.', 'time': 1670804830, 'resto': 3490437}, {'no': 3490473, 'now': '12/12/22(Mon)02:29:07', 'name': 'Anonymous', 'com': 'I got tired of living with another family member so i moved to another country.', 'time': 1670830147, 'resto': 3490437}]",
5,3490431,12/11/22(Sun)04:26:22,Anonymous,Christmas Time in Essex,.swf,400,300,0,0,1670750782779189,1670750782,su6WcNv206mq+heqGUVYYw==,5182728,0,0,0,4,Other,3,0,1670821198,,"[{'no': 3490438, 'now': '12/11/22(Sun)09:25:16', 'name': 'Anonymous', 'com': 'this thing is not funny at all.', 'time': 1670768716, 'resto': 3490431}, {'no': 3490446, 'now': '12/11/22(Sun)10:37:37', 'name': 'Anonymous', 'com': '<a href=""#p3490438"" class=""quotelink"">&gt;&gt;3490438</a><br>it&#039;s flashtub after all', 'time': 1670773057, 'resto': 3490431}, {'no': 3490472, 'now': '12/11/22(Sun)23:59:58', 'name': 'Anonymous', 'com': 'meanwhile on the other side of the pond<br>https://m.youtube.com/watch?v=6oOb_<wbr>XU8NgA', 'time': 1670821198, 'resto': 3490431}]",
6,3490471,12/11/22(Sun)23:07:08,Anonymous,WHO&#039;S THAT POKEMON,.swf,800,600,0,0,1670818028203563,1670818028,xceSnL//Cl+z4BGBfSh7qQ==,1230809,0,0,0,4,Other,0,0,1670818028,,,
7,3490470,12/11/22(Sun)22:55:43,Anonymous,Asa Akira sex porn video,.swf,1085,591,0,0,1670817343462165,1670817343,tWCBN/qQfGGWpHJ3ufXamw==,10477470,0,0,0,6,Porn,0,0,1670817343,,,
8,3490469,12/11/22(Sun)22:45:35,Anonymous,Zone_-_Reiko,.swf,800,600,0,0,1670816735860482,1670816735,itVTN2Ib+u+bjBY82FmadA==,1497220,0,0,0,4,Other,0,0,1670816735,,,
9,3490468,12/11/22(Sun)22:38:30,Anonymous,Monday Approaches,.swf,550,400,0,0,1670816310118577,1670816310,PSCz38TZPP8f4dsoEu8KOA==,313772,0,0,0,4monday-approaches,Other,0,0,1670816310,Monday Approaches,,
10,3490467,12/11/22(Sun)22:31:46,Anonymous,DRAGONFORCEFUCKYEAR,.swf,800,600,0,0,1670815906725603,1670815906,mZKQTA/Lhh7T5iXoTIXl0g==,2820243,0,0,0,4,Other,0,0,1670815906,,,
