,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images
0,6226033,1.0,1.0,04/19/14(Sat)08:54,Anonymous,READ FIRST,"/gif/ is dedicated to NSFW gifs &amp;webm files. Please review the following rules to ensure your posts contribute to the overall board.<br><br>1. Do not request. All requests belong in <a href=""/r/"" class=""quotelink"">&gt;&gt;&gt;/r/</a><br>2. Contribute 2 or more additional related images when starting a thread (in addition to the OP).<br>3. Report rule-breaking posts and threads. Use the inline extension for easier access to this feature (Settings&gt;Recommended&gt;Report Button&gt;Save)<br>4. If you know the source of a given image, please provide it directly. Do not respond to sauce beggars.<br><br>The Global Rules apply as well. Provide good content and report infringing posts. You can hide this thread by clicking the &quot;[-]&quot; icon to the left.",balls,.gif,500,506,247,250,1397912081601,1397912081,BzMUz9nMH3lFzy8Sy0e9KA==,354787,0,mod,read-first,1,0,"[{'no': 6356233, 'now': '07/01/14(Tue)10:23:31', 'name': 'Anonymous', 'com': '<font size=""5"" color=""red"">Do NOT post threads / images about ""teens"", ""young girls"", ""jailbait"", ""questionable age"", or anything that could be construed as advocating pornography involving minors.</font><br><br>This includes questionable content from Omegle, Chatroulette, Gifyo, etc. This rule also applies to /b/. Don\'t take it there, don\'t even recommend that people post that shit there. We don\'t want it anywhere on this site.', 'time': 1404224611, 'resto': 6226033, 'capcode': 'mod'}]",1404224618,,,,
1,24111980,,,12/08/22(Thu)12:22:50,Anonymous,,BWC thread.,1669418517396001,.webm,406,720,140,250,1670520170071318,1670520170,NetOBPZ6PHDZ1cInALBe5Q==,2137510,0,,bwc-thread,80,32,"[{'no': 24141419, 'now': '12/12/22(Mon)21:19:13', 'name': 'Anonymous', 'com': '<a href=""#p24125297"" class=""quotelink"">&gt;&gt;24125297</a><br>I do not have any details unfortunately, I’ve seen it reposted on here multiple times', 'time': 1670897953, 'resto': 24111980}, {'no': 24142032, 'now': '12/12/22(Mon)23:13:48', 'name': 'Anonymous', 'com': 'I hope y’all like', 'filename': '6DE8CE1A-E19F-495C-93F0-A1B3071F3A4D', 'ext': '.gif', 'w': 386, 'h': 362, 'tn_w': 125, 'tn_h': 117, 'tim': 1670904828022150, 'time': 1670904828, 'md5': 'EM/FqqTSU8QWyYbyBDmmfw==', 'fsize': 1222205, 'resto': 24111980}, {'no': 24142656, 'now': '12/13/22(Tue)01:11:30', 'name': 'Anonymous', 'com': '<a href=""#p24123244"" class=""quotelink"">&gt;&gt;24123244</a><br>sauce??', 'time': 1670911890, 'resto': 24111980}, {'no': 24142788, 'now': '12/13/22(Tue)01:43:52', 'name': 'Anonymous', 'com': '<a href=""#p24140589"" class=""quotelink"">&gt;&gt;24140589</a><br>I pulled a chicks number one time in the military and I asked to chill and she said she was there from out of state hanging with another military guy. She asked me if I wanted to do a threesome, I was like nah, I&#039;ll hit you up later. I text back 15 min later like a fucking retard saying I am down. No reply. I text her the next day to chill and she responds, I am here for my friend, he makes me cum alot.<br><br>I have had so many humiliation cuck experiences. Like I mentioned my ex with the bwc, and I have the same fantasy. She makes me suck him off. Or I would love to see her compare our dicks and then he cums on me. She loves bringing that up too.', 'time': 1670913832, 'resto': 24111980}, {'no': 24143813, 'now': '12/13/22(Tue)07:15:35', 'name': 'Anonymous', 'filename': 'ElegantColdAmericanmarten', 'ext': '.webm', 'w': 358, 'h': 360, 'tn_w': 124, 'tn_h': 125, 'tim': 1670933735279138, 'time': 1670933735, 'md5': '9ybeaZrci16gYmjV+XFqSQ==', 'fsize': 4055931, 'resto': 24111980}]",1670933735,0.0,0.0,75.0,30.0
2,24129430,,,12/11/22(Sun)02:20:05,Anonymous,Shiny thread,"Shiny women, covered in oil/sweat etc.",1670457709400707,.webm,832,468,250,140,1670743205140369,1670743205,gLUxUFD1G52O/MRjt7J/9Q==,4003318,0,,shiny-thread,93,54,"[{'no': 24142708, 'now': '12/13/22(Tue)01:20:24', 'name': 'Anonymous', 'com': '<a href=""#p24130271"" class=""quotelink"">&gt;&gt;24130271</a><br><span class=""quote"">&gt;She&#039;s listening to Black Sabbath - Planet Caravan in the background. Fuck yeah</span><br>I don&#039;t give a fuck. Why do boomers care about this kind of thing? What difference does it make if a whore listens to the same ancient music you like?', 'time': 1670912424, 'resto': 24129430}, {'no': 24142912, 'now': '12/13/22(Tue)02:18:44', 'name': 'Anonymous', 'filename': 'lubed kylie page layla london', 'ext': '.webm', 'w': 640, 'h': 360, 'tn_w': 125, 'tn_h': 70, 'tim': 1670915924686463, 'time': 1670915924, 'md5': 'KDdVwvP2LX+Ir75HM2ATNw==', 'fsize': 2987736, 'resto': 24129430}, {'no': 24142928, 'now': '12/13/22(Tue)02:23:53', 'name': 'Anonymous', 'filename': 'pppd-836', 'ext': '.webm', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670916233797931, 'time': 1670916233, 'md5': 'HGdz/NLpKZ2jED1vnemv2g==', 'fsize': 2325159, 'resto': 24129430}, {'no': 24143042, 'now': '12/13/22(Tue)02:55:28', 'name': 'Anonymous', 'com': '<a href=""#p24142708"" class=""quotelink"">&gt;&gt;24142708</a><br>Grow up and find out on your own', 'time': 1670918128, 'resto': 24129430}, {'no': 24143812, 'now': '12/13/22(Tue)07:15:21', 'name': 'Anonymous', 'com': '<a href=""#p24134354"" class=""quotelink"">&gt;&gt;24134354</a><br>This anon does seem awful young.... MODs, can we get this faggot outta here?', 'time': 1670933721, 'resto': 24129430}]",1670933721,0.0,0.0,88.0,52.0
3,24133193,,,12/11/22(Sun)16:26:37,Anonymous,Dead Russians General,Post from any telegram,1670791915858879,.webm,352,640,137,250,1670793997629885,1670793997,w/W32z8phTcQfh46tYpXEg==,1801568,0,,dead-russians-general,158,39,"[{'no': 24143244, 'now': '12/13/22(Tue)03:59:29', 'name': 'Anonymous', 'com': 'I can&#039;t believe you guys are seriously buying into the &quot;Ukraine good&quot; narrative.', 'time': 1670921969, 'resto': 24133193}, {'no': 24143277, 'now': '12/13/22(Tue)04:08:28', 'name': 'Anonymous', 'com': 'Thought I would get joy out of seeing dead Russians but its all just a tremendous waste of life. Russians are both soulless and coward sheep which helps in feeling no sympathy when I see dead ones.', 'time': 1670922508, 'resto': 24133193}, {'no': 24143501, 'now': '12/13/22(Tue)05:22:26', 'name': 'Anonymous', 'com': 'Die Russians die!', 'time': 1670926946, 'resto': 24133193}, {'no': 24143675, 'now': '12/13/22(Tue)06:24:59', 'name': 'Anonymous', 'com': 'imagine being fucking faggot russian army, thinking that you are almighty and never beaten, stronger than ukraine, AND BECAUSE STRONGER THAN UKRAINE decide to attack them and capture their land . and when you attack you get butchered because ukraine isnt shithead fuckers like you. mustfeelgood', 'time': 1670930699, 'resto': 24133193}, {'no': 24143811, 'now': '12/13/22(Tue)07:15:13', 'name': 'Anonymous', 'com': '<a href=""#p24133248"" class=""quotelink"">&gt;&gt;24133248</a><br>Ave Satanas, Ivan!', 'time': 1670933713, 'resto': 24133193}]",1670933713,0.0,0.0,153.0,39.0
4,24134129,,,12/11/22(Sun)18:49:57,Anonymous,Fight or Flight,Post stuff that triggers your &quot;Fight or Flight&quot; response,1664285999854085,.webm,576,1024,140,250,1670802597226964,1670802597,rR7EbkxobBLnM2iSBLHCBg==,1578727,0,,fight-or-flight,202,36,"[{'no': 24143645, 'now': '12/13/22(Tue)06:17:25', 'name': 'Anonymous', 'com': '<a href=""#p24134135"" class=""quotelink"">&gt;&gt;24134135</a><br>Police nailed this fat fuck after he raped him mom and tried to run.', 'filename': '1646920693847', 'ext': '.webm', 'w': 400, 'h': 400, 'tn_w': 125, 'tn_h': 125, 'tim': 1670930245000671, 'time': 1670930245, 'md5': '8FdhIBufhIjbCLIxrrEXRA==', 'fsize': 212478, 'resto': 24134129}, {'no': 24143703, 'now': '12/13/22(Tue)06:36:29', 'name': 'Anonymous', 'com': '<a href=""#p24138088"" class=""quotelink"">&gt;&gt;24138088</a><br>You just know.', 'time': 1670931389, 'resto': 24134129}, {'no': 24143748, 'now': '12/13/22(Tue)06:51:47', 'name': 'Anonymous', 'com': '<a href=""#p24141803"" class=""quotelink"">&gt;&gt;24141803</a><br>I don&#039;t see the problem', 'time': 1670932307, 'resto': 24134129}, {'no': 24143783, 'now': '12/13/22(Tue)07:03:58', 'name': 'Anonymous', 'com': '<a href=""#p24138211"" class=""quotelink"">&gt;&gt;24138211</a><br>He told her she couldnt have a pringle', 'time': 1670933038, 'resto': 24134129}, {'no': 24143810, 'now': '12/13/22(Tue)07:14:22', 'name': 'Anonymous', 'com': '<a href=""#p24134129"" class=""quotelink"">&gt;&gt;24134129</a><br>I want that bitch to die in a live streamed fire.', 'time': 1670933662, 'resto': 24134129}]",1670933662,0.0,0.0,197.0,35.0
5,24117852,,,12/09/22(Fri)09:29:57,xXx_jOk3_b0Y_xXx,YLYL - GODLIKE,NO LIMIT<br>NO MERCY<br>NO RULES,SNEEDPAUL,.webm,380,676,140,250,1670596197004185,1670596197,QHs9WB+Rv1aYvZ3sB6OpCA==,3634220,0,,ylyl-godlike,233,91,"[{'no': 24143606, 'now': '12/13/22(Tue)06:05:07', 'name': 'Anonymous', 'com': '<a href=""#p24142563"" class=""quotelink"">&gt;&gt;24142563</a><br>nu-4chan is teeming with gen z, what the fuck did you expect to happen?', 'time': 1670929507, 'resto': 24117852}, {'no': 24143782, 'now': '12/13/22(Tue)07:03:47', 'name': 'Anonymous', 'com': '<a href=""#p24117866"" class=""quotelink"">&gt;&gt;24117866</a><br>I&#039;m never clicking on a webm with that thumbnail', 'time': 1670933027, 'resto': 24117852}, {'no': 24143788, 'now': '12/13/22(Tue)07:05:40', 'name': 'Anonymous', 'com': '<a href=""#p24138654"" class=""quotelink"">&gt;&gt;24138654</a><br>wtf', 'time': 1670933140, 'resto': 24117852}, {'no': 24143804, 'now': '12/13/22(Tue)07:10:57', 'name': 'Anonymous', 'com': '<a href=""#p24136168"" class=""quotelink"">&gt;&gt;24136168</a><br>Based', 'time': 1670933457, 'resto': 24117852}, {'no': 24143809, 'now': '12/13/22(Tue)07:13:32', 'name': 'Anonymous', 'com': '<a href=""#p24117978"" class=""quotelink"">&gt;&gt;24117978</a><br>I see this posted again and again, and it&#039;s supposed to be cringy with that seared bite line, but I don&#039;t get what&#039;s cringe about it. My guy is just having a burger.', 'time': 1670933612, 'resto': 24117852}]",1670933612,0.0,0.0,228.0,91.0
6,24139517,,,12/12/22(Mon)15:02:22,Slutboy,Gay Cream,A thread about boy butts getting goo&#039;d inside of. Can be any position as long as the top visibly cums and the bottom takes all the cream deep in the ass. Posting some OC first and then some of my collection.,TurquoiseAromaticChimpanzee-mobile (2)_compressed (1),.webm,720,404,250,140,1670875342770611,1670875342,8cQsaZrXbWXSvWXwQAGgeg==,4061476,0,,gay-cream,40,26,"[{'no': 24143405, 'now': '12/13/22(Tue)04:48:19', 'name': 'Anonymous', 'filename': 'e29c0ba60b8946f2f58fcba79ffbe61d511baf8c1ed0eebf760261b85afdbd08', 'ext': '.webm', 'w': 1080, 'h': 1080, 'tn_w': 125, 'tn_h': 125, 'tim': 1670924899963886, 'time': 1670924899, 'md5': '9c2l2LBFAk/53HbeW7AkKQ==', 'fsize': 3732744, 'resto': 24139517}, {'no': 24143407, 'now': '12/13/22(Tue)04:48:52', 'name': 'Anonymous', 'filename': '78e49b339eac2c52f6d9773e53a87bf6528f83d9d6356063c8be0ff1a9cff18a', 'ext': '.webm', 'w': 608, 'h': 1080, 'tn_w': 70, 'tn_h': 125, 'tim': 1670924932106915, 'time': 1670924932, 'md5': 'fPipTb+BahXZ4kK4gEN1hA==', 'fsize': 3652686, 'resto': 24139517}, {'no': 24143410, 'now': '12/13/22(Tue)04:49:25', 'name': 'Anonymous', 'filename': '778017130b8b4b65fcf2bb7026ca5ed15bba87ecf0d4cf183b6d895d571a69b1', 'ext': '.webm', 'w': 608, 'h': 1080, 'tn_w': 70, 'tn_h': 125, 'tim': 1670924965007112, 'time': 1670924965, 'md5': 'iaM+x+nf6bMPao6TDxVZSw==', 'fsize': 3745222, 'resto': 24139517}, {'no': 24143419, 'now': '12/13/22(Tue)04:52:00', 'name': 'Anonymous', 'filename': '7f7219683eb6defff399e56a5777b1f7cc2bc7fa18869b7005e993aed53952f5', 'ext': '.webm', 'w': 1080, 'h': 1080, 'tn_w': 125, 'tn_h': 125, 'tim': 1670925120285034, 'time': 1670925120, 'md5': 'f/Xr8uSrSEqlZVnolya2ag==', 'fsize': 3944214, 'resto': 24139517}, {'no': 24143808, 'now': '12/13/22(Tue)07:12:53', 'name': 'Anonymous', 'com': '<a href=""#p24143407"" class=""quotelink"">&gt;&gt;24143407</a><br>Classic. Anyone have sauce?', 'time': 1670933573, 'resto': 24139517}]",1670933573,0.0,0.0,35.0,22.0
7,24122346,,,12/09/22(Fri)22:19:25,Anonymous,Jewish women,Excessively large Khazarian milkers,1661216537379454,.webm,640,1138,140,250,1670642365272439,1670642365,ttGXdOflZ6ac6SebRsgnAA==,1945447,0,,jewish-women,196,62,"[{'no': 24143572, 'now': '12/13/22(Tue)05:50:49', 'name': 'Anonymous', 'com': 'I wish Jewish women were real', 'time': 1670928649, 'resto': 24122346}, {'no': 24143583, 'now': '12/13/22(Tue)05:56:06', 'name': 'Anonymous', 'com': 'dgg/ utxCb8hk', 'time': 1670928966, 'resto': 24122346}, {'no': 24143700, 'now': '12/13/22(Tue)06:36:16', 'name': 'Anonymous', 'com': '<a href=""#p24128014"" class=""quotelink"">&gt;&gt;24128014</a><br><a href=""#p24137327"" class=""quotelink"">&gt;&gt;24137327</a><br>Based brotha', 'time': 1670931376, 'resto': 24122346}, {'no': 24143733, 'now': '12/13/22(Tue)06:46:17', 'name': 'Anonymous', 'com': '<a href=""#p24129911"" class=""quotelink"">&gt;&gt;24129911</a><br>Never happening. She censored and leaked this herself.', 'time': 1670931977, 'resto': 24122346}, {'no': 24143807, 'now': '12/13/22(Tue)07:12:44', 'name': 'Anonymous', 'com': '<a href=""#p24141545"" class=""quotelink"">&gt;&gt;24141545</a><br><span class=""quote"">&gt; They are spectacular and I will never show them to you</span><br>They would be of equal disappointment like any other &#039;star&#039;s&#039; tits. Remember The Fappening? How fucking angry they all were? No for naked pictures that leaked, most of them showed some skin in the movies etc. But the veil of mystery was lifted and they are just like any other not bad looking girl that you pass on the street. That&#039;s why they were furious.', 'filename': 'hypno', 'ext': '.webm', 'w': 480, 'h': 854, 'tn_w': 70, 'tn_h': 125, 'tim': 1670933564083909, 'time': 1670933564, 'md5': '31zBPXPwqtk/dW711uFI+w==', 'fsize': 2763590, 'resto': 24122346}]",1670933564,0.0,0.0,191.0,61.0
8,24143718,,,12/13/22(Tue)06:43:08,Anonymous,Runway Models,Absolute Specimens,Luli Fama Fashion Show Miami Swim Week 2022 (3),.webm,720,790,227,250,1670931788922922,1670931788,k3jt8wVnjHTRc33QwQpHzA==,3873465,0,,runway-models,7,7,"[{'no': 24143728, 'now': '12/13/22(Tue)06:45:04', 'name': 'Anonymous', 'com': '<a href=""#p24143726"" class=""quotelink"">&gt;&gt;24143726</a>', 'filename': 'Luli Fama Fashion Show Miami Swim Week 2022 (2)', 'ext': '.webm', 'w': 720, 'h': 790, 'tn_w': 113, 'tn_h': 125, 'tim': 1670931904646248, 'time': 1670931904, 'md5': 'V3zQZFjanni4CW1Fvc4vQw==', 'fsize': 3855687, 'resto': 24143718}, {'no': 24143734, 'now': '12/13/22(Tue)06:46:45', 'name': 'Anonymous', 'com': '<a href=""#p24143728"" class=""quotelink"">&gt;&gt;24143728</a>', 'filename': '1663480828396384', 'ext': '.webm', 'w': 1014, 'h': 576, 'tn_w': 125, 'tn_h': 70, 'tim': 1670932005546491, 'time': 1670932005, 'md5': 'TcAFN24q8V9FGx8JZLm8vw==', 'fsize': 2747026, 'resto': 24143718}, {'no': 24143737, 'now': '12/13/22(Tue)06:47:22', 'name': 'Anonymous', 'com': '<a href=""#p24143734"" class=""quotelink"">&gt;&gt;24143734</a>', 'filename': '1670053408673270', 'ext': '.webm', 'w': 1138, 'h': 1068, 'tn_w': 125, 'tn_h': 117, 'tim': 1670932042677877, 'time': 1670932042, 'md5': '7S+3Q2dF4UTSPHPUKP7sUA==', 'fsize': 4183277, 'resto': 24143718}, {'no': 24143740, 'now': '12/13/22(Tue)06:48:39', 'name': 'Anonymous', 'com': '<a href=""#p24143737"" class=""quotelink"">&gt;&gt;24143737</a>', 'filename': '1670141098959036', 'ext': '.webm', 'w': 1364, 'h': 1420, 'tn_w': 120, 'tn_h': 124, 'tim': 1670932119864587, 'time': 1670932119, 'md5': 'VYZyQ4zh+YubwNkHsDmbPA==', 'fsize': 3858336, 'resto': 24143718}, {'no': 24143806, 'now': '12/13/22(Tue)07:12:41', 'name': 'Anonymous', 'com': '<a href=""#p24143740"" class=""quotelink"">&gt;&gt;24143740</a>', 'filename': 'Luli Fama Fashion Show Miami Swim Week 2022 (4)', 'ext': '.webm', 'w': 720, 'h': 790, 'tn_w': 113, 'tn_h': 125, 'tim': 1670933561701783, 'time': 1670933561, 'md5': 'ZG46Kcd5KYSglhYt6IqQbA==', 'fsize': 3858584, 'resto': 24143718}]",1670933561,0.0,0.0,2.0,2.0
9,24139511,,,12/12/22(Mon)15:01:33,Anonymous,passing traps,,1662560787509307,.webm,454,854,132,250,1670875293860369,1670875293,xEXUFHEYzhSTjdOWDK4plA==,2179631,0,,passing-traps,88,28,"[{'no': 24143548, 'now': '12/13/22(Tue)05:39:58', 'name': 'Anonymous', 'com': '<a href=""#p24139511"" class=""quotelink"">&gt;&gt;24139511</a><br><span class=""quote"">&gt;passing traps</span><br>No such thing. No man can ever pass, and no man will ever be a woman.', 'time': 1670927998, 'resto': 24139511}, {'no': 24143552, 'now': '12/13/22(Tue)05:42:23', 'name': 'Anonymous', 'com': '<a href=""#p24143326"" class=""quotelink"">&gt;&gt;24143326</a><br>yummy', 'time': 1670928143, 'resto': 24139511}, {'no': 24143553, 'now': '12/13/22(Tue)05:42:41', 'name': 'Anonymous', 'com': '<a href=""#p24143367"" class=""quotelink"">&gt;&gt;24143367</a><br>Out of completely unrelated curiosity, what school do you go to, then?', 'time': 1670928161, 'resto': 24139511}, {'no': 24143799, 'now': '12/13/22(Tue)07:09:45', 'name': 'Anonymous', 'com': '<a href=""#p24143232"" class=""quotelink"">&gt;&gt;24143232</a><br>Kind of sounds like you&#039;re angry about being unloveable. It&#039;s because of all the ways you are. Fix it maybe?', 'time': 1670933385, 'resto': 24139511}, {'no': 24143803, 'now': '12/13/22(Tue)07:10:51', 'name': 'Anonymous', 'com': '<a href=""#p24139545"" class=""quotelink"">&gt;&gt;24139545</a><br>YWNBAM', 'time': 1670933451, 'resto': 24139511}]",1670933451,0.0,0.0,83.0,28.0
