,no,sticky,closed,now,name,com,time,resto,capcode,semantic_url,replies,images,last_modified,filedeleted,sub,filename,ext,w,h,tn_w,tn_h,tim,md5,fsize,last_replies,bumplimit,imagelimit,omitted_posts,omitted_images,m_img
0,433747,1.0,1.0,08/12/13(Mon)14:47,Anonymous,"<font size=""4"">Requests for the source of an image, the name of a girl, or more images from a set go on /r/.<br><br><a href=""https://boards.4chan.org/r/"">>>>/r/</a><br><br>Failure to do so will result in bans.<br><br>OP must post at least 6 images of their own to start a thread, or else it will be deleted without warning.</font>",1376333253,0,mod,requests-for-the-source-of-an-image-the-name-of-a,0,0,1376335273,,,,,,,,,,,,,,,,,
1,243077,1.0,1.0,09/19/12(Wed)18:39,Anonymous,"sauce? <br><br><strong style=""color: red;"">(USER WAS BANNED FOR THIS POST)</strong>",1348094383,0,,sauce,0,0,1376335296,1.0,,,,,,,,,,,,,,,,
2,2143756,1.0,1.0,04/27/22(Wed)19:34:24,Anonymous," <br><br><strong style=""color: red;"">(USER WAS BANNED FOR THIS POST)</strong>",1651102464,0,,illinois-815-thread,1,0,1651124531,,Illinois 815 Thread,Illinois_NPA_2021-12,.png,616.0,1045.0,147.0,250.0,1651102464329.0,pEC8GBiTaMd8HtkaCLDivg==,122415.0,"[{'no': 2143923, 'now': '04/28/22(Thu)01:40:36', 'name': 'Anonymous', 'com': 'State threads, Area code threads, and all other posts requesting or providing Personal Information and where to obtain it, break the rules and will result in Bans', 'time': 1651124436, 'resto': 2143756, 'capcode': 'mod'}]",,,,,
3,2250453,,,12/08/22(Thu)06:50:24,Anonymous,,1670500224,0,,smiling-cumshots,17,17,1670674046,,Smiling Cumshots,19,.jpg,900.0,597.0,250.0,165.0,1670500224137028.0,pfE3A7jKUcYVIeMdVg032g==,90797.0,"[{'no': 2250972, 'now': '12/09/22(Fri)01:49:43', 'name': 'Anonymous', 'filename': 'pb13663-720p.mp4_snapshot_49.10_[2022.10.17_18.17.26]', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670568583670904, 'time': 1670568583, 'md5': 'cI2FFQdD+t+jHGWho+0gTw==', 'fsize': 480622, 'resto': 2250453, 'm_img': 1}, {'no': 2251054, 'now': '12/09/22(Fri)09:39:10', 'name': 'Anonymous', 'filename': 'img', 'ext': '.jpg', 'w': 500, 'h': 750, 'tn_w': 83, 'tn_h': 125, 'tim': 1670596750562112, 'time': 1670596750, 'md5': 'uvqX27yb1+RHRxFmp0LoGg==', 'fsize': 46347, 'resto': 2250453}, {'no': 2251056, 'now': '12/09/22(Fri)09:39:42', 'name': 'Anonymous', 'filename': 'img', 'ext': '.jpg', 'w': 1000, 'h': 1870, 'tn_w': 66, 'tn_h': 125, 'tim': 1670596782874316, 'time': 1670596782, 'md5': '8caeM+aY+RBnVuraXlEOjA==', 'fsize': 183698, 'resto': 2250453, 'm_img': 1}, {'no': 2251095, 'now': '12/09/22(Fri)11:47:48', 'name': 'Anonymous', 'filename': '7133p-final', 'ext': '.jpg', 'w': 1280, 'h': 925, 'tn_w': 125, 'tn_h': 90, 'tim': 1670604468896163, 'time': 1670604468, 'md5': 'ikXrY/tZ5tIW37wc3Wz9wQ==', 'fsize': 747640, 'resto': 2250453, 'm_img': 1}, {'no': 2251548, 'now': '12/10/22(Sat)07:07:26', 'name': 'Anonymous', 'filename': 'img', 'ext': '.jpg', 'w': 640, 'h': 960, 'tn_w': 83, 'tn_h': 125, 'tim': 1670674046928594, 'time': 1670674046, 'md5': 'lAsrlKuvLKPyJUq4wcetJA==', 'fsize': 37592, 'resto': 2250453}]",0.0,0.0,12.0,12.0,
4,2246659,,,11/30/22(Wed)15:53:13,Anonymous,Show your hottest amateur pictures,1669841593,0,,show-your-hottest-amateur-pictures,81,62,1670673231,,,00-42-23-1609256693137,.jpg,1000.0,563.0,250.0,140.0,1669841593477964.0,hpdALNdfqmC/aepPmwezoA==,79608.0,"[{'no': 2251393, 'now': '12/10/22(Sat)01:48:19', 'name': 'Anonymous', 'com': '<a href=""#p2248928"" class=""quotelink"">&gt;&gt;2248928</a><br><a href=""#p2248930"" class=""quotelink"">&gt;&gt;2248930</a><br>this bitch has amazing titties, is she a pro or she just does it for fun?', 'time': 1670654899, 'resto': 2246659}, {'no': 2251396, 'now': '12/10/22(Sat)02:10:06', 'name': 'Anonymous', 'filename': 'Screenshot_20221210-140658', 'ext': '.png', 'w': 1080, 'h': 2340, 'tn_w': 57, 'tn_h': 125, 'tim': 1670656206940177, 'time': 1670656206, 'md5': 'E1aBL32z0j3fqWxZsnQzRA==', 'fsize': 2814031, 'resto': 2246659, 'm_img': 1}, {'no': 2251425, 'now': '12/10/22(Sat)02:45:32', 'name': 'Anonymous', 'com': 'OC', 'filename': 'IMG_20221202_005045', 'ext': '.jpg', 'w': 1818, 'h': 1080, 'tn_w': 125, 'tn_h': 74, 'tim': 1670658332018552, 'time': 1670658332, 'md5': 'B0F2CO8cXa5/NNi7Sd2onA==', 'fsize': 341897, 'resto': 2246659, 'm_img': 1}, {'no': 2251545, 'now': '12/10/22(Sat)06:49:31', 'name': 'Anonymous', 'filename': '30', 'ext': '.jpg', 'w': 1145, 'h': 1053, 'tn_w': 125, 'tn_h': 114, 'tim': 1670672971995074, 'time': 1670672971, 'md5': 'WhTp1X3G5Y1HkRjwRyp9Xg==', 'fsize': 277934, 'resto': 2246659, 'm_img': 1}, {'no': 2251547, 'now': '12/10/22(Sat)06:53:51', 'name': 'Anonymous', 'filename': '1790921487', 'ext': '.jpg', 'w': 1044, 'h': 1250, 'tn_w': 104, 'tn_h': 125, 'tim': 1670673231395297, 'time': 1670673231, 'md5': 'kkeoLYFhWgohrYfynqYpyg==', 'fsize': 395633, 'resto': 2246659, 'm_img': 1}]",0.0,0.0,76.0,58.0,
5,2234747,,,11/03/22(Thu)02:47:46,Anonymous,share your pics and experiences,1667458066,0,,chastity-thread,153,78,1670673168,,chastity thread,304791754,.jpg,640.0,852.0,187.0,250.0,1667458066040721.0,HZGIMKkST5qTFKKtH3B5zg==,115174.0,"[{'no': 2251047, 'now': '12/09/22(Fri)09:08:52', 'name': 'Anonymous', 'com': '<a href=""#p2250990"" class=""quotelink"">&gt;&gt;2250990</a><br>yeah it doesn&#039;t make sense in a cellular level. dick is not a muscle it won&#039;t get smaller because you don&#039;t use it. you can lose erection quality because of various reasons but even then I don&#039;t believe conditioning yourself to become impotent like some sissies are into is possible.', 'time': 1670594932, 'resto': 2234747}, {'no': 2251197, 'now': '12/09/22(Fri)16:32:41', 'name': 'Anonymous', 'com': '<a href=""#p2250851"" class=""quotelink"">&gt;&gt;2250851</a><br><br><a href=""#p2251047"" class=""quotelink"">&gt;&gt;2251047</a><br>This. The penis is a sponge more than a muscle. If you take a sponge out of water, let it sit dry for a while somewhere and then put it back in water the sponge won&#039;t be damaged. It won&#039;t hold any less water just because it hasn&#039;t been wet in a while', 'time': 1670621561, 'resto': 2234747}, {'no': 2251295, 'now': '12/09/22(Fri)21:09:09', 'name': 'Anonymous', 'com': 'Been locked by my wife/Mistress for about 10 years now. (No, not the whole time, dumbass)<br><br>1. Chastity doesn&#039;t cause shrinkage or ED. Ignore anyone who says otherwise. It&#039;s vaguely possible you could get Peyronie&#039;s disease (a bend in your dick) but that&#039;s usually from trauma which doesn&#039;t happen when your cock is sealed up.<br>2. You&#039;re going to have to remove the cage to clean. Don&#039;t be fucking gross. If it&#039;s really important to you, make sure your keyholder is around while you shower. Personally I&#039;m allowed to edge as much as I want when I&#039;m not locked, but not allowed to cum. I don&#039;t do it that often because I&#039;m already horny enough and don&#039;t get to cum very often.<br>3. Permanent hair removal is the way to go. Mistress made me remove all of my body hair when she decided to feminize me, but even just doing your balls/pubes is so worth it. Less shaving, less stubble irritating your cage. Don&#039;t bother with professional treatments. I used a home IPL device from Braun and got honestly amazing results. Shave and laser your armpits too, holy shit it&#039;s great.<br>4. If you&#039;re into feminization, the #1 thing you can do is paint your nails. It&#039;s kind of embarrassing at first and makes you feel really submissive. And, open-toe heels look great with a cute pedicure. If you&#039;re going to wear heels, practice walking. They trick is to set the heel down first before the base of the shoe.', 'time': 1670638149, 'resto': 2234747}, {'no': 2251340, 'now': '12/09/22(Fri)22:54:27', 'name': 'Anonymous', 'filename': '1647027250307-2', 'ext': '.jpg', 'w': 3024, 'h': 4032, 'tn_w': 93, 'tn_h': 125, 'tim': 1670644467022052, 'time': 1670644467, 'md5': 'ozZ/IXr5nVus42VoSixD1A==', 'fsize': 1025178, 'resto': 2234747, 'm_img': 1}, {'no': 2251546, 'now': '12/10/22(Sat)06:52:48', 'name': 'Anonymous', 'com': '37 yo caged hubby', 'filename': '26b3f23f-b4f3-4c43-aec7-ef506847ac8a', 'ext': '.jpg', 'w': 768, 'h': 1024, 'tn_w': 93, 'tn_h': 125, 'tim': 1670673168839604, 'time': 1670673168, 'md5': 'S/BTA6+fxMUB+UGeGstK0Q==', 'fsize': 71281, 'resto': 2234747}]",0.0,0.0,148.0,76.0,
6,2247521,,,12/02/22(Fri)04:51:01,Anonymous,,1669974661,0,,present-your-gf,158,101,1670671978,,Present your GF,3578E1BD-272E-490C-9D64-D848BD4E94F1,.jpg,1206.0,2208.0,136.0,250.0,1669974661926167.0,6OUbwvfVhwpnJMLz3QSHxg==,1208442.0,"[{'no': 2251434, 'now': '12/10/22(Sat)02:49:02', 'name': 'Anonymous', 'com': 'Mine', 'filename': 'IMG_20221001_224214', 'ext': '.jpg', 'w': 2397, 'h': 2843, 'tn_w': 105, 'tn_h': 125, 'tim': 1670658542874600, 'time': 1670658542, 'md5': '6GaO+9Zvod1kv1j16LunEA==', 'fsize': 1903265, 'resto': 2247521, 'm_img': 1}, {'no': 2251520, 'now': '12/10/22(Sat)03:52:46', 'name': 'Anonymous', 'filename': '0BE1EFE4-DB81-40C2-BC83-6BDBE0D15807', 'ext': '.jpg', 'w': 734, 'h': 997, 'tn_w': 92, 'tn_h': 125, 'tim': 1670662366817506, 'time': 1670662366, 'md5': 'omZ1GU4H1mVHOjcT3GdkIQ==', 'fsize': 462350, 'resto': 2247521}, {'no': 2251528, 'now': '12/10/22(Sat)05:19:01', 'name': 'Anonymous', 'com': 'My 36 yo wife', 'filename': 'IMG-20210630-WA0005', 'ext': '.jpg', 'w': 1200, 'h': 1599, 'tn_w': 93, 'tn_h': 125, 'tim': 1670667541643828, 'time': 1670667541, 'md5': 'hnWD3UXc2CLAgayLlueX3w==', 'fsize': 132631, 'resto': 2247521, 'm_img': 1}, {'no': 2251538, 'now': '12/10/22(Sat)05:43:45', 'name': 'Anonymous', 'com': 'Gf after I came on her', 'filename': '20221203_131430', 'ext': '.jpg', 'w': 1810, 'h': 4188, 'tn_w': 54, 'tn_h': 125, 'tim': 1670669025341153, 'time': 1670669025, 'md5': 'ELNsrRzx1AuPGtIjIIrxdQ==', 'fsize': 2149759, 'resto': 2247521, 'm_img': 1}, {'no': 2251543, 'now': '12/10/22(Sat)06:32:58', 'name': 'Anonymous', 'com': '<a href=""#p2251528"" class=""quotelink"">&gt;&gt;2251528</a>', 'filename': 'IMG-20210502-WA0001', 'ext': '.jpg', 'w': 1200, 'h': 1599, 'tn_w': 93, 'tn_h': 125, 'tim': 1670671978975859, 'time': 1670671978, 'md5': '4jgomEw7Pi79xGqsey733w==', 'fsize': 153600, 'resto': 2247521, 'm_img': 1}]",0.0,0.0,153.0,96.0,1.0
7,2204318,,,08/21/22(Sun)10:22:50,Anonymous,"No porn, no actresses faking it. Just real women enjoying each other&#039;s bodies",1661091770,0,,only-real-girlgirl-action,177,111,1670671875,,ONLY REAL GIRL-GIRL ACTION,girlgirl6,.jpg,2000.0,1500.0,250.0,187.0,1661091770539077.0,nUfoachMJxmC+BU4aQ45Ag==,745567.0,"[{'no': 2250696, 'now': '12/08/22(Thu)17:40:42', 'name': 'Anonymous', 'com': '<a href=""#p2243851"" class=""quotelink"">&gt;&gt;2243851</a><br>Yum', 'time': 1670539242, 'resto': 2204318}, {'no': 2250718, 'now': '12/08/22(Thu)17:54:05', 'name': 'Anonymous', 'filename': '20140526_169487', 'ext': '.jpg', 'w': 1674, 'h': 1256, 'tn_w': 125, 'tn_h': 93, 'tim': 1670540045816888, 'time': 1670540045, 'md5': 'XGrf9Zj0rRKIMtNb6F3gwA==', 'fsize': 977541, 'resto': 2204318, 'm_img': 1}, {'no': 2250719, 'now': '12/08/22(Thu)17:54:58', 'name': 'Anonymous', 'filename': 'DSC1142', 'ext': '.jpg', 'w': 1600, 'h': 1067, 'tn_w': 125, 'tn_h': 83, 'tim': 1670540098818490, 'time': 1670540098, 'md5': 'dW6lJu7G7mUwbE7/zk70RQ==', 'fsize': 735004, 'resto': 2204318, 'm_img': 1}, {'no': 2250850, 'now': '12/08/22(Thu)21:15:26', 'name': 'Anonymous', 'filename': 'roommates16', 'ext': '.jpg', 'w': 600, 'h': 765, 'tn_w': 98, 'tn_h': 125, 'tim': 1670552126737066, 'time': 1670552126, 'md5': 'u5Pd8Ip5Pn0ASAnYgX+fKA==', 'fsize': 90429, 'resto': 2204318}, {'no': 2251542, 'now': '12/10/22(Sat)06:31:15', 'name': 'Anonymous', 'com': 'bump to keep this alive', 'time': 1670671875, 'resto': 2204318}]",0.0,0.0,172.0,108.0,1.0
8,2251185,,,12/09/22(Fri)16:02:31,Anonymous,,1670619751,0,,wrecked-holes,10,10,1670671650,,Wrecked Holes,crazywifeslut-minotraur4-4,.png,1500.0,840.0,250.0,140.0,1670619751331676.0,owfWf1Z4TPuqeAhzesQpTQ==,1059939.0,"[{'no': 2251193, 'now': '12/09/22(Fri)16:08:19', 'name': 'Anonymous', 'filename': 'StarryFawn-cuttlefishOfCthulu18', 'ext': '.png', 'w': 600, 'h': 1072, 'tn_w': 69, 'tn_h': 125, 'tim': 1670620099141410, 'time': 1670620099, 'md5': 'ApoSO5/jfBs4JjMC/UXasw==', 'fsize': 810232, 'resto': 2251185, 'm_img': 1}, {'no': 2251194, 'now': '12/09/22(Fri)16:08:52', 'name': 'Anonymous', 'filename': 'StarryFawn-cuttlefishOfCthulu13', 'ext': '.png', 'w': 601, 'h': 1073, 'tn_w': 70, 'tn_h': 125, 'tim': 1670620132304334, 'time': 1670620132, 'md5': 'alW+Y00KN9+rzIKdrH5VYg==', 'fsize': 632286, 'resto': 2251185, 'm_img': 1}, {'no': 2251256, 'now': '12/09/22(Fri)17:29:52', 'name': 'Anonymous', 'filename': 'StarryFawn-cuttlefishOfCthulu12', 'ext': '.png', 'w': 599, 'h': 1072, 'tn_w': 69, 'tn_h': 125, 'tim': 1670624992884870, 'time': 1670624992, 'md5': 'cfVH2bDHOoywwGn54yCd0Q==', 'fsize': 666188, 'resto': 2251185, 'm_img': 1}, {'no': 2251521, 'now': '12/10/22(Sat)03:54:18', 'name': 'Anonymous', 'filename': 'StarryFawn-cuttlefishOfCthulu7', 'ext': '.png', 'w': 600, 'h': 1071, 'tn_w': 70, 'tn_h': 125, 'tim': 1670662458546723, 'time': 1670662458, 'md5': 'KIh6cX+/SwnXz2bYi2adEw==', 'fsize': 785719, 'resto': 2251185, 'm_img': 1}, {'no': 2251541, 'now': '12/10/22(Sat)06:27:30', 'name': 'Anonymous', 'filename': 'StarryFawn-cuttlefishOfCthulu6', 'ext': '.png', 'w': 600, 'h': 1074, 'tn_w': 69, 'tn_h': 125, 'tim': 1670671650136253, 'time': 1670671650, 'md5': 'wjhT13KA9h5rCQugEY0ZsA==', 'fsize': 599234, 'resto': 2251185, 'm_img': 1}]",0.0,0.0,5.0,5.0,1.0
9,2249624,,,12/06/22(Tue)10:50:52,Anonymous,,1670341852,0,,blackedblackedraw-laundromat-edition,237,163,1670671507,,BLACKED&amp;BLACKEDRAW Laundromat edition,4D9E3D89-24B5-427D-83EA-305AA4E9AA0C,.jpg,1280.0,854.0,250.0,166.0,1670341852365237.0,bRvClejpTUj5ncYwXQqO/Q==,242202.0,"[{'no': 2251348, 'now': '12/09/22(Fri)23:16:06', 'name': 'Anonymous', 'com': '<a href=""#p2251298"" class=""quotelink"">&gt;&gt;2251298</a><br>Israeli', 'time': 1670645766, 'resto': 2249624}, {'no': 2251381, 'now': '12/10/22(Sat)00:05:48', 'name': 'Anonymous', 'com': '<a href=""#p2251281"" class=""quotelink"">&gt;&gt;2251281</a><br>Told you white boys can&#039;t fuck', 'time': 1670648748, 'resto': 2249624}, {'no': 2251384, 'now': '12/10/22(Sat)00:17:06', 'name': 'Anonymous', 'com': '<a href=""#p2251298"" class=""quotelink"">&gt;&gt;2251298</a><br>Swiss, Norwegian, Georgian', 'time': 1670649426, 'resto': 2249624}, {'no': 2251392, 'now': '12/10/22(Sat)01:40:45', 'name': 'Anonymous', 'com': '<a href=""#p2251335"" class=""quotelink"">&gt;&gt;2251335</a><br>More like two weeks, all to confirm that anon uses fake pics, asks weird questions, and has the most basic storytelling', 'filename': 'ebbb5529bf9443d45685a30cf0a85e08', 'ext': '.jpg', 'w': 1200, 'h': 800, 'tn_w': 125, 'tn_h': 83, 'tim': 1670654445535455, 'time': 1670654445, 'md5': 'j3SUkyC2bLLdD1fxS9ApdQ==', 'fsize': 97768, 'resto': 2249624, 'm_img': 1}, {'no': 2251540, 'now': '12/10/22(Sat)06:25:07', 'name': 'Anonymous', 'com': '<a href=""#p2250150"" class=""quotelink"">&gt;&gt;2250150</a><br><a href=""#p2250162"" class=""quotelink"">&gt;&gt;2250162</a><br><a href=""#p2250163"" class=""quotelink"">&gt;&gt;2250163</a><br>my gf&#039;s fav too, him and lex steele so we only watch older movies.<br><a href=""#p2251392"" class=""quotelink"">&gt;&gt;2251392</a><br>she looks exactly like the 2nd girl i had sex with in this scene lol', 'time': 1670671507, 'resto': 2249624}]",0.0,0.0,232.0,162.0,1.0
