,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies
0,27939,1.0,1.0,11/01/15(Sun)06:36:48,Anonymous,Welcome to /his/ - History &amp; Humanities,"This board is dedicated to the discussion of history and the other humanities such as philosophy, religion, law, classical artwork, archeology, anthropology, ancient languages, etc. Please use <a href=""https://boards.4chan.org/lit/"">/lit/</a> for discussions of literature. Threads should be about specific topics, and the creation of &quot;general&quot; threads is discouraged.<br><br>For the purpose of determining what is history, please do not start threads about events taking place less than 25 years ago. Historical discussions should be focused on past events, and not their contemporary consequences. Discussion of modern politics, current events, popular culture, or other non-historical topics should be posted elsewhere. General discussions about international culture should go on <a href=""https://boards.4chan.org/int/"">/int/</a>.<br><br><u>/his/ is not /pol/</u>, and <a href=""https://www.4chan.org/rules#global3"">Global Rule #3</a> is in effect. <b>Do not try to treat this board as /pol/ with dates</b>. Blatant racism and trolling will not be tolerated, and a high level of discourse is expected. History can be examined from many different conflicting viewpoints; please treat other posters with respect and address the content of their post instead of attacking their character.<br><br> When discussing history, <u>please reference credible source material</u>, and provide as much supporting information as possible in your posts.",Herodotus,.jpg,1739,2100,207,250,1446377808775,1446377808,HtQogJfjRTmuMmLHv2MfJw==,2708828,0,mod,welcome-to-his-history-humanities,0,0,1446377816,,,,,
1,14308853,,,12/10/22(Sat)17:20:00,Anonymous,Why do atheist seethe about sharia?,"Under sharia, death penalty is the punishment for apostasy from Islam.<br><br>Why do atheist care so much if they don&#039;t have objective morality on their side?",1,.jpg,1000,667,250,166,1670710800884717,1670710800,T6JGZHBanfaduZrH13AKww==,136765,0,,why-do-atheist-seethe-about-sharia,135,11,1670847242,0.0,0.0,130.0,10.0,"[{'no': 14315709, 'now': '12/12/22(Mon)05:51:53', 'name': 'Anonymous', 'com': '<a href=""#p14314566"" class=""quotelink"">&gt;&gt;14314566</a><br><span class=""quote"">&gt;There have been multiple interpretations of god, it doesn&#039;t mean that god doesn&#039;t exist.</span><br>Yet you haven&#039;t explained why islam is the correct interpretation.<br>Please, this is getting painful. Just respond to the question or leave the discussion.', 'time': 1670842313, 'resto': 14308853}, {'no': 14315732, 'now': '12/12/22(Mon)06:07:06', 'name': 'Anonymous', 'com': '<a href=""#p14314248"" class=""quotelink"">&gt;&gt;14314248</a><br>That’s more akin to moving out of your country.', 'time': 1670843226, 'resto': 14308853}, {'no': 14315741, 'now': '12/12/22(Mon)06:11:02', 'name': 'Anonymous', 'com': '<a href=""#p14309448"" class=""quotelink"">&gt;&gt;14309448</a><br>God is constantly punishing mudslimes for being mudslimes', 'filename': '619B814A-F04F-4790-902D-56215E06D9E8', 'ext': '.jpg', 'w': 1024, 'h': 677, 'tn_w': 125, 'tn_h': 82, 'tim': 1670843462437448, 'time': 1670843462, 'md5': 'ZY6obGSYj/VtAMScFrmF/A==', 'fsize': 78126, 'resto': 14308853}, {'no': 14315861, 'now': '12/12/22(Mon)07:09:01', 'name': 'Anonymous', 'com': '<a href=""#p14315741"" class=""quotelink"">&gt;&gt;14315741</a><br>Not a single Muslim would say that this earth is the final stage. Life here is a test and hardships will be rewarded if you deal with them well.', 'time': 1670846941, 'resto': 14308853}, {'no': 14315871, 'now': '12/12/22(Mon)07:14:02', 'name': 'Anonymous', 'com': '<a href=""#p14315302"" class=""quotelink"">&gt;&gt;14315302</a><br>Absolutes were developed by primitive savages. &quot;The sky is red&quot;, &quot;this exists&quot;, etc is language which cavemen were capable of.<br>People embracing enlightenment values tend to communicate more in terms of likelihood, systems, comparisons, etc; using more than 1 data point at a time.<br>&quot;Islam is highly unlikely to be the optimal way of living&quot; is a fair statement. &quot;But what if god exists!?&quot; is a deeply flawed comeback, which only makes sense to the primitive mind.<br>0.00000000000000000001% chances are absolutely irrelevant in the modern world. The great god, the Jews, the system, evolution, etc have used their infinite wisdom to design us in such a way. If we took every micro-chance to heart, there&#039;d be a systems collapse.', 'time': 1670847242, 'resto': 14308853}]"
2,14312430,,,12/11/22(Sun)12:01:04,Anonymous,,"<span class=""quote"">&gt;Just two more weeks!</span><br><span class=""quote"">&gt;&quot;OOOOOOOOH I&#039;M FOOSTING!&quot;</span><br>Kek do buddhists really?",fasting,.jpg,267,336,198,250,1670778064059318,1670778064,IIGzlVGp0t0uQfJj3Lv+7g==,36603,0,,just-two-more-weeks,10,2,1670847220,0.0,0.0,5.0,0.0,"[{'no': 14314857, 'now': '12/12/22(Mon)00:19:21', 'name': 'Anonymous', 'com': '<a href=""#p14312434"" class=""quotelink"">&gt;&gt;14312434</a><br>this lol', 'time': 1670822361, 'resto': 14312430}, {'no': 14314990, 'now': '12/12/22(Mon)00:53:15', 'name': 'Anonymous', 'com': '<a href=""#p14314857"" class=""quotelink"">&gt;&gt;14314857</a>', 'filename': '3', 'ext': '.jpg', 'w': 800, 'h': 1326, 'tn_w': 75, 'tn_h': 125, 'tim': 1670824395576205, 'time': 1670824395, 'md5': 'fsWzcXyj3CkTVV64UXwsVw==', 'fsize': 230731, 'resto': 14312430}, {'no': 14315172, 'now': '12/12/22(Mon)01:53:48', 'name': 'Anonymous', 'com': '<a href=""#p14313905"" class=""quotelink"">&gt;&gt;14313905</a><br><span class=""quote"">&gt;Muh hecking trannies</span><br>I hate crosscucks but you westiod buddhists are so insufferable', 'time': 1670828028, 'resto': 14312430}, {'no': 14315186, 'now': '12/12/22(Mon)01:56:11', 'name': 'Anonymous', 'com': '<a href=""#p14315172"" class=""quotelink"">&gt;&gt;14315172</a><br><span class=""quote"">&gt;check out my sweet Buddhist stache brah</span><br><span class=""quote"">&gt;all the little Buddhist sluts love it</span>', 'filename': '5', 'ext': '.jpg', 'w': 979, 'h': 1430, 'tn_w': 85, 'tn_h': 125, 'tim': 1670828171197818, 'time': 1670828171, 'md5': '6P5hmFa6LDlAYOetC1lzmw==', 'fsize': 170584, 'resto': 14312430}, {'no': 14315870, 'now': '12/12/22(Mon)07:13:40', 'name': 'Anonymous', 'com': '<a href=""#p14313905"" class=""quotelink"">&gt;&gt;14313905</a><br><span class=""quote"">&gt;crucifixion</span><br>le cringe<br><span class=""quote"">&gt;man practically starving himself through extreme fasting</span><br>OMG SO BADASS', 'time': 1670847220, 'resto': 14312430}]"
3,14311184,,,12/11/22(Sun)05:24:24,Anonymous,,"Should spanking be illegal? Numerous studies reveal it has the same effect on children as actual child abuse which are negative, maybe this is why humans are inherently violent some even claim. If it is made illegal what is the correct way to discipline a child?",ab05876-resize,.jpg,600,400,250,166,1670754264332734,1670754264,tV64+bg6Xu9ip5CXL4WhkA==,50131,0,,should-spanking-be-illegal-numerous-studies,33,3,1670847180,0.0,0.0,28.0,2.0,"[{'no': 14315767, 'now': '12/12/22(Mon)06:25:40', 'name': 'Anonymous', 'com': '<a href=""#p14311306"" class=""quotelink"">&gt;&gt;14311306</a><br>When did China try eugenics?', 'time': 1670844340, 'resto': 14311184}, {'no': 14315770, 'now': '12/12/22(Mon)06:28:57', 'name': 'Anonymous', 'com': '<a href=""#p14312546"" class=""quotelink"">&gt;&gt;14312546</a><br><br>I get what this verse is saying, but honestly I don&#039;t think you necessarily need an actual physical rod to enforce discipline. I&#039;ve got a son and a daughter aged 9 and 7 and I&#039;ve never hit either of them. I&#039;ve threatened it more than once and used other forms of punishment like taking away their privileges or making them do chores, but I&#039;ve never felt it necessary to actually hit them.', 'filename': 'dunkirk pepe', 'ext': '.png', 'w': 960, 'h': 665, 'tn_w': 125, 'tn_h': 86, 'tim': 1670844537677243, 'time': 1670844537, 'md5': 'uF0QEzAiflUpH95Ms8Ic0g==', 'fsize': 760537, 'resto': 14311184}, {'no': 14315798, 'now': '12/12/22(Mon)06:47:21', 'name': 'Anonymous', 'com': '<a href=""#p14311276"" class=""quotelink"">&gt;&gt;14311276</a><br>It&#039;s child abuse to NOT spank your child. Physical discipline is the only way to properly socialize your child and orient them in the world. The gentle parenting movement has produced a generation of children who are maladapted to a world which doesn&#039;t care about their feelings and well-being, especially if you&#039;re white and male. This has resulted in unprecedented levels of depression, anxiety, autism and suicide among youth today.', 'time': 1670845641, 'resto': 14311184}, {'no': 14315863, 'now': '12/12/22(Mon)07:09:37', 'name': 'Anonymous', 'com': '<a href=""#p14315798"" class=""quotelink"">&gt;&gt;14315798</a><br>Spanking is a specific kind of physical discipline, one that&#039;s especially painful, degrading, and potentially traumatizing. Slapping or pushing a kid&#039;s shoulder is another thing entirely. <br>The evidence isn&#039;t supportive of any link between peaceful parenting and mental illness in children.', 'time': 1670846977, 'resto': 14311184}, {'no': 14315869, 'now': '12/12/22(Mon)07:13:00', 'name': 'Anonymous', 'com': 'There was a part in Beyond Freedom &amp; Dignity by B.F. Skinner that talked about this but I&#039;m unsure what his position was', 'time': 1670847180, 'resto': 14311184}]"
4,14315755,,,12/12/22(Mon)06:21:23,Anonymous,,"<span class=""quote"">&gt;society would be better off with no religion</span><br><span class=""quote"">&gt;pays people to talk about his feelings</span>",Counselor_vs_Therapist_Hero_1170x712,.jpg,1170,712,250,152,1670844083546783,1670844083,/oRp/zqVsnqP44Upmma0UA==,481911,0,,society-would-be-better-off-with-no-religion,6,1,1670847167,0.0,0.0,1.0,0.0,"[{'no': 14315839, 'now': '12/12/22(Mon)07:02:27', 'name': 'Anonymous', 'com': 'Grug tier: God es real. Noah literally gathered 2 of all the critters and put them on a boat<br>Midwit tier: God is fake<br>Two-thirdswit tier: God is fake, but it&#039;s healthier for a functioning society to tolerate religion&#039;s existence<br>Fullwit tier: There is non. All humanity is retarded', 'time': 1670846547, 'resto': 14315755}, {'no': 14315850, 'now': '12/12/22(Mon)07:04:43', 'name': 'Anonymous', 'com': '<a href=""#p14315755"" class=""quotelink"">&gt;&gt;14315755</a><br><span class=""quote"">&gt;Implying people don&#039;t pay in religion</span><br>el mao', 'time': 1670846683, 'resto': 14315755}, {'no': 14315858, 'now': '12/12/22(Mon)07:08:30', 'name': 'Anonymous', 'com': '<a href=""#p14315850"" class=""quotelink"">&gt;&gt;14315850</a><br>If I don&#039;t put $10 in the collection tray that week, my priest doesn&#039;t stop talking to me', 'time': 1670846910, 'resto': 14315755}, {'no': 14315864, 'now': '12/12/22(Mon)07:09:37', 'name': 'Anonymous', 'com': '<a href=""#p14315755"" class=""quotelink"">&gt;&gt;14315755</a><br>Exact evidence for religion not being necessary. <br>I bet you niggers would say that society would collapse without the ruler appointed by divine right', 'time': 1670846977, 'resto': 14315755}, {'no': 14315868, 'now': '12/12/22(Mon)07:12:47', 'name': 'Anonymous', 'com': '<a href=""#p14315864"" class=""quotelink"">&gt;&gt;14315864</a><br><span class=""quote"">&gt;I bet you niggers would say that society would collapse without the ruler appointed by divine right</span><br>I mean yeah, just look around.', 'filename': '202001africa_somalia_wr', 'ext': '.jpg', 'w': 1200, 'h': 630, 'tn_w': 125, 'tn_h': 65, 'tim': 1670847167114551, 'time': 1670847167, 'md5': 'kcZ/GAOgAsDWP2xE0UCOTQ==', 'fsize': 167284, 'resto': 14315755}]"
5,14315150,,,12/12/22(Mon)01:46:53,Anonymous,,"<span class=""quote"">&gt;The universe is intelligently designed</span>",1669825383152884,.jpg,850,761,250,223,1670827613857066,1670827613,584gHXNOhfh3YcMNuH5wEg==,140613,0,,the-universe-is-intelligently-designed,26,2,1670847108,0.0,0.0,21.0,2.0,"[{'no': 14315626, 'now': '12/12/22(Mon)04:55:10', 'name': 'Anonymous', 'com': '<a href=""#p14315620"" class=""quotelink"">&gt;&gt;14315620</a><br>I have no source for the claim &quot;god couldn&#039;t have created a world with free will and without evil&quot;.', 'time': 1670838910, 'resto': 14315150}, {'no': 14315629, 'now': '12/12/22(Mon)04:56:34', 'name': 'Anonymous', 'com': '<a href=""#p14315626"" class=""quotelink"">&gt;&gt;14315626</a><br>Thank you for your honesty.<br>Very mature and much respect.', 'time': 1670838994, 'resto': 14315150}, {'no': 14315662, 'now': '12/12/22(Mon)05:18:31', 'name': 'Anonymous', 'com': '<a href=""#p14315152"" class=""quotelink"">&gt;&gt;14315152</a><br>All he’s doing is asking for a source?', 'time': 1670840311, 'resto': 14315150}, {'no': 14315733, 'now': '12/12/22(Mon)06:07:48', 'name': 'Anonymous', 'com': '<a href=""#p14315577"" class=""quotelink"">&gt;&gt;14315577</a><br>It is possible to construct such a configuration where people are capable of perpetrating either greater or lesser amounts of evil than in this universe. What makes the amount of free will that we have currently ideal?', 'time': 1670843268, 'resto': 14315150}, {'no': 14315867, 'now': '12/12/22(Mon)07:11:48', 'name': 'Anonymous', 'com': '<a href=""#p14315662"" class=""quotelink"">&gt;&gt;14315662</a><br>Never ask a woman how much she weighs.<br>Never ask a man how tall he is.<br>Never ask a christcuck for a source.', 'time': 1670847108, 'resto': 14315150}]"
6,14315701,,,12/12/22(Mon)05:46:03,Anonymous,,"Three thousand years ago, the BLACK race ruled the Earth. The BLACK KANGS were rich and AFRIKA was the most prosperous continent on Earth.<br><br>Then there was an evil man names YAKUB. He went to the caves in Europe to find wh*Te devils, primitive and uncivilised. He then took those devils and using the stolen BLACK MAN’s technology taught those wh*Te lactie demons to fight against the BLACK KANG. Wh*Toids came in millions to attack the KANGZDOMS of the world. Soon, YAKUB’s plans had succeeded.<br><br>But feat not, my BROTHERS, the day of judgement is nigh. Inshallah, HE (PBUH) will arrive on Earth one day as the prophecy says. He, the greatest of all, KARA BOGA (BLACK BVLL) will arrive on Earth and slay wh*Toids impregnating nubile wh*Te wombs left and right with te BLACK SEED with his BBC, removing the racist cracker wh*Te asses from this world.",1662569709696731,.jpg,1400,1400,250,250,1670841963056644,1670841963,EQ7eJGPRziOPwtthqRqD8g==,180239,0,,three-thousand-years-ago-the-black-race-ruled-the,2,0,1670847064,0.0,0.0,,,"[{'no': 14315719, 'now': '12/12/22(Mon)05:58:32', 'name': 'Anonymous', 'com': 'why&#039;d they label his balls', 'time': 1670842712, 'resto': 14315701}, {'no': 14315866, 'now': '12/12/22(Mon)07:11:04', 'name': 'Anonymous', 'com': '<a href=""#p14315719"" class=""quotelink"">&gt;&gt;14315719</a><br>Boy you God', 'time': 1670847064, 'resto': 14315701}]"
7,14314806,,,12/12/22(Mon)00:07:48,Anonymous,,"I&#039;m absolutely blown away by the fact that homo-sapiens were not the ones who invented tools and spears, but it was in fact other hominid species hundreds of thousands of years older than hours. First evidence of spears is more than 500,000 years ago by an unknown hominid species. First evidence of tool use and fire is 1-2 million years ago by Homo Erectus and Homo Habilis.<br><br>Is anyone else flabbergasted when they try to conceptualize this? I wish all these other hominid species didn&#039;t die out, it would be so cool if we weren&#039;t alone.",957,.png,339,291,250,214,1670821668945428,1670821668,Nc+BlwdPscqI9/fwy8M5Ug==,60752,0,,im-absolutely-blown-away-by-the-fact-that,20,1,1670847002,0.0,0.0,15.0,1.0,"[{'no': 14315039, 'now': '12/12/22(Mon)01:08:24', 'name': 'Anonymous', 'com': '<a href=""#p14315032"" class=""quotelink"">&gt;&gt;14315032</a><br>I don&#039;t get it, are you positing that &quot;white people&quot; are extant Neanderthals?', 'time': 1670825304, 'resto': 14314806}, {'no': 14315042, 'now': '12/12/22(Mon)01:09:25', 'name': 'Anonymous', 'com': '<a href=""#p14315039"" class=""quotelink"">&gt;&gt;14315039</a><br><span class=""quote"">&gt;Recent research from an Israeli archaeological dig has proven that modern humans and Neanderthals lived together in the Negev desert some 50,000 years ago.</span><br>https://greekreporter.com/2022/05/1<wbr>7/humans-neanderthals-lived-togethe<wbr>r-50000-years-ago/', 'time': 1670825365, 'resto': 14314806}, {'no': 14315046, 'now': '12/12/22(Mon)01:11:16', 'name': 'Anonymous', 'com': 'Western chimpanzees use primitive spears it isnt that big deal', 'time': 1670825476, 'resto': 14314806}, {'no': 14315049, 'now': '12/12/22(Mon)01:13:32', 'name': 'Anonymous', 'com': '<a href=""#p14315039"" class=""quotelink"">&gt;&gt;14315039</a><br><span class=""quote"">&gt;Proof of mixing between homo sapiens and neanderthals in Siberia </span><br>https://www.science.org/doi/10.1126<wbr>/science.343.6178.1417', 'time': 1670825612, 'resto': 14314806}, {'no': 14315865, 'now': '12/12/22(Mon)07:10:02', 'name': 'Anonymous', 'com': 'I mean you have Australian Aboriginals. Not sure what‘s so cool about them though.', 'time': 1670847002, 'resto': 14314806}]"
8,14315442,,,12/12/22(Mon)03:29:56,Anonymous,,that was a very sad story :(,usmap,.gif,1047,542,250,129,1670833796718120,1670833796,ul/pCK4wfs605f+bCAeW4A==,357155,0,,that-was-a-very-sad-story,7,1,1670846946,0.0,0.0,2.0,0.0,"[{'no': 14315654, 'now': '12/12/22(Mon)05:14:16', 'name': 'Anonymous', 'com': '<a href=""#p14315442"" class=""quotelink"">&gt;&gt;14315442</a><br>Inferior.', 'time': 1670840056, 'resto': 14315442}, {'no': 14315717, 'now': '12/12/22(Mon)05:58:00', 'name': 'Anonymous', 'com': '<a href=""#p14315442"" class=""quotelink"">&gt;&gt;14315442</a><br>the same will happen to whites if we&#039;re not careful<br>we should learn from the native americans and not let settlers into our lands', 'time': 1670842680, 'resto': 14315442}, {'no': 14315729, 'now': '12/12/22(Mon)06:05:48', 'name': 'Anonymous', 'com': '<a href=""#p14315442"" class=""quotelink"">&gt;&gt;14315442</a><br>Everything always comes down to &quot;might makes right&quot;, regardless of what flowery prose you try to paint around it', 'time': 1670843148, 'resto': 14315442}, {'no': 14315830, 'now': '12/12/22(Mon)06:58:54', 'com': '<a href=""#p14315442"" class=""quotelink"">&gt;&gt;14315442</a><br><span class=""quote"">&gt;Europeans in Europe 1945-2145.gif</span>', 'time': 1670846334, 'resto': 14315442, 'trip': '!!TzLQ70l126e'}, {'no': 14315862, 'now': '12/12/22(Mon)07:09:06', 'name': 'Anonymous', 'com': '<a href=""#p14315442"" class=""quotelink"">&gt;&gt;14315442</a><br>kino if I do say so myself', 'filename': 'settlement_of_the_united_states', 'ext': '.gif', 'w': 977, 'h': 596, 'tn_w': 125, 'tn_h': 76, 'tim': 1670846946307710, 'time': 1670846946, 'md5': '5UD58wRDYJ6DK9jIr1eEpQ==', 'fsize': 2364234, 'resto': 14315442}]"
9,14313175,,,12/11/22(Sun)15:15:13,Anonymous,,"It&#039;s over, starter pack:<br>https://www.ncbi.nlm.nih.gov/pmc/ar<wbr>ticles/PMC5441797/<br>https://pubmed.ncbi.nlm.nih.gov/291<wbr>74893/<br>https://www.science.org/doi/10.1126<wbr>/science.abm4247",1670789701065,.jpg,1019,1490,170,250,1670789713201511,1670789713,0y7/MxswsDkHGsy78cqCqg==,546087,0,,its-over-starter-pack,38,9,1670846929,0.0,0.0,33.0,8.0,"[{'no': 14315120, 'now': '12/12/22(Mon)01:37:02', 'name': 'Anonymous', 'com': 'threads on genes and phenotype are easily my favorite and most autistic threads on /his/, bar none', 'filename': 'Indo European (Yamnayan Aryans) admixture', 'ext': '.jpg', 'w': 2280, 'h': 907, 'tn_w': 125, 'tn_h': 49, 'tim': 1670827022428677, 'time': 1670827022, 'md5': '5SdL6LdhBGwHasdph4ib/w==', 'fsize': 148302, 'resto': 14313175}, {'no': 14315130, 'now': '12/12/22(Mon)01:41:00', 'name': 'Anonymous', 'com': '<a href=""#p14315120"" class=""quotelink"">&gt;&gt;14315120</a><br>Btw, what has been happening with them since 9 Dec? All these days there were 0-3 threads with &lt;10 posts.', 'time': 1670827260, 'resto': 14313175}, {'no': 14315257, 'now': '12/12/22(Mon)02:20:22', 'name': 'Anonymous', 'com': 'Bump', 'time': 1670829622, 'resto': 14313175}, {'no': 14315474, 'now': '12/12/22(Mon)03:42:51', 'name': 'Anonymous', 'com': 'bump', 'time': 1670834571, 'resto': 14313175}, {'no': 14315860, 'now': '12/12/22(Mon)07:08:49', 'name': 'Anonymous', 'com': '<a href=""#p14315257"" class=""quotelink"">&gt;&gt;14315257</a><br><a href=""#p14315474"" class=""quotelink"">&gt;&gt;14315474</a><br>Instead of posting &quot;bump&quot; reply to any of the posts in the fucking thread you stupid newfaggots<br><a href=""#p14313806"" class=""quotelink"">&gt;&gt;14313806</a><br>Post a link to those target percentages', 'time': 1670846929, 'resto': 14313175}]"
