,no,now,name,sub,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,com,trip
0,4510663,09/28/22(Wed)12:59:52,Anonymous,Aloy,HFW_0216549849846202055554,.png,1423,2133,166,250,1664384392094455,1664384392,DUMoAqMCF0nuBMTe27Ew2w==,4463092,0,0,0,aloy,213,101,208.0,100.0,"[{'no': 4556543, 'now': '12/10/22(Sat)14:22:01', 'name': 'Anonymous', 'com': '<span class=""deadlink"">&gt;&gt;4556518</span><br><span class=""quote"">&gt;Ragnarok was better in the technical aspects</span><br>No.<br>GoW would perhaps be better at story or whatever, but technically HFW is astronomically better, it being still playable on the ps4 and still be so fucking gorgeous is ashtonishing, HZD was already beautiful but HFW is on another and a massive upgrade technically impressive, GOWR still looks the same as it did with the 2018 game, technically it was the same game, but HFW was on another level.', 'filename': 'FjjEW0nXgAIabgs', 'ext': '.jpg', 'w': 1439, 'h': 2158, 'tn_w': 83, 'tn_h': 125, 'tim': 1670700121072381, 'time': 1670700121, 'md5': 'YvV9iev4nvKD1vpT3XMk2g==', 'fsize': 724531, 'resto': 4510663}, {'no': 4556729, 'now': '12/10/22(Sat)18:56:42', 'name': 'Anonymous', 'com': '<a href=""#p4556543"" class=""quotelink"">&gt;&gt;4556543</a><br><span class=""quote"">&gt;GoW would perhaps be better at story or whatever</span><br>It is definitely, 100%, better at story and character writing. It&#039;s not even close, actually. The average Ragnarok side quest is infinitely more interesting and engaging than any main mission in FW.<br><br><span class=""quote"">&gt;but technically HFW is astronomically better, it being still playable on the ps4 and still be so fucking gorgeous is ashtonishing</span><br>Ragnarok is also perfectly playable on the PS4, looking fucking gorgeous.<br><br><span class=""quote"">&gt;GOWR still looks the same as it did with the 2018 game, technically it was the same game, but HFW was on another level.</span><br>That applies even more to FW. There&#039;s absolutely nothing about FW, design-wise, that an Assassin&#039;s Creed game from 5 years ago wasn&#039;t already doing. Ragnarok didn&#039;t reinvent the wheel but it excels at what it proposes in a way that FW simply doesn&#039;t. Ragnarok revisits some locations from the 2018 game but they&#039;re not only a small portion of it, they always serve the storytelling, which is the focus of the game. Also, there&#039;s much more to a game&#039;s visuals than pretty colors and cool costumes. Ragnarok is beautifully designed too but it edges FW in how it technically implements its visual elements, like overall quality of character animations and fidelity of motion capture performances. It&#039;s why it swept the technical categories even while losing Game of the Year.', 'time': 1670716602, 'resto': 4510663}, {'no': 4556742, 'now': '12/10/22(Sat)19:09:13', 'name': 'Anonymous', 'com': '<a href=""#p4556493"" class=""quotelink"">&gt;&gt;4556493</a><br><a href=""#p4556543"" class=""quotelink"">&gt;&gt;4556543</a><br>she&#039;s so pretty', 'time': 1670717353, 'resto': 4510663}, {'no': 4557407, 'now': '12/12/22(Mon)07:39:41', 'name': 'Anonymous', 'com': '<a href=""#p4556729"" class=""quotelink"">&gt;&gt;4556729</a><br>nah', 'time': 1670848781, 'resto': 4510663}, {'no': 4558224, 'now': '12/13/22(Tue)07:05:43', 'name': 'Anonymous', 'com': '<a href=""#p4556729"" class=""quotelink"">&gt;&gt;4556729</a><br>You&#039;re just retarded.', 'time': 1670933143, 'resto': 4510663}]",1670933143,,
1,4535822,11/05/22(Sat)10:38:45,Anonymous,Isabela Moner/Merced,60c2f9a50eaa2b64e65d561a820c112e,.jpg,1187,1780,166,250,1667659125276385,1667659125,dbf5K5Ge+PaTbVXf8KQMxQ==,157784,0,0,0,isabela-monermerced,193,63,188.0,63.0,"[{'no': 4556396, 'now': '12/10/22(Sat)10:13:46', 'name': 'Let my people go, brother', 'com': '<a href=""#p4556318"" class=""quotelink"">&gt;&gt;4556318</a><br><span class=""quote"">&gt;&gt;I eat pieces of shit like you for breakfast.</span><br> You eat pieces of shit for breakfast?', 'time': 1670685226, 'resto': 4535822}, {'no': 4556398, 'now': '12/10/22(Sat)10:17:02', 'name': 'Anonymous', 'com': '<a href=""#p4552179"" class=""quotelink"">&gt;&gt;4552179</a><br>yes people (like her) have aliases so no need to cope', 'time': 1670685422, 'resto': 4535822}, {'no': 4556404, 'now': '12/10/22(Sat)10:30:57', 'name': 'Anonymous', 'com': '<span class=""deadlink"">&gt;&gt;4556297</span><br>You’d suck cock for a damn bowl of jello', 'time': 1670686257, 'resto': 4535822}, {'no': 4558135, 'now': '12/13/22(Tue)01:28:11', 'name': 'Anonymous', 'com': '<a href=""#p4556114"" class=""quotelink"">&gt;&gt;4556114</a><br>You have my vote', 'time': 1670912891, 'resto': 4535822}, {'no': 4558223, 'now': '12/13/22(Tue)06:45:54', 'name': 'Anonymous', 'com': '<a href=""#p4547566"" class=""quotelink"">&gt;&gt;4547566</a><br><a href=""#p4556114"" class=""quotelink"">&gt;&gt;4556114</a><br>Perfection', 'time': 1670931954, 'resto': 4535822}]",1670931954,Shorter hair and/or natural makeup preferred,
2,4539532,11/12/22(Sat)07:45:07,Anonymous,Hi-Res Celeb Fakes Vol. 7,reese w 001,.jpg,2048,2835,180,250,1668257107169866,1668257107,cHNpFCVvltkNrCkgcrwUQw==,356124,0,0,0,hires-celeb-fakes-vol-7,253,183,248.0,180.0,"[{'no': 4557040, 'now': '12/11/22(Sun)15:18:51', 'name': 'Anonymous', 'filename': 'olivia w 006', 'ext': '.jpg', 'w': 3003, 'h': 4000, 'tn_w': 93, 'tn_h': 125, 'tim': 1670789931397737, 'time': 1670789931, 'md5': 'xT67OfHHSJeX2jqmCzaYyg==', 'fsize': 2992028, 'resto': 4539532}, {'no': 4557767, 'now': '12/12/22(Mon)11:24:01', 'name': 'Anonymous', 'filename': 'c smulders 007', 'ext': '.jpg', 'w': 1182, 'h': 1500, 'tn_w': 98, 'tn_h': 125, 'tim': 1670862241112023, 'time': 1670862241, 'md5': '95chGSHrDp1R75ahOmAgLw==', 'fsize': 335830, 'resto': 4539532}, {'no': 4557994, 'now': '12/12/22(Mon)19:15:58', 'name': 'Anonymous', 'com': '<a href=""#p4553134"" class=""quotelink"">&gt;&gt;4553134</a><br>mmm', 'time': 1670890558, 'resto': 4539532}, {'no': 4558012, 'now': '12/12/22(Mon)20:37:45', 'name': 'Anonymous', 'com': 'Kate Beckinsale gallery?', 'time': 1670895465, 'resto': 4539532}, {'no': 4558222, 'now': '12/13/22(Tue)06:43:33', 'name': 'Anonymous', 'filename': 'jlaw 006', 'ext': '.jpg', 'w': 1376, 'h': 2070, 'tn_w': 83, 'tn_h': 125, 'tim': 1670931813114629, 'time': 1670931813, 'md5': 'ceT0P1vIZUvBciGl3aMoSw==', 'fsize': 1633344, 'resto': 4539532}]",1670931813,"Previous: <span class=""deadlink"">&gt;&gt;4529830</span> (t0h page, 10 pics till the limit atm)<br>Keeping this party going.",
3,4556350,12/10/22(Sat)09:04:53,Anonymous,Masha,AlJH4lUCMAMMzNi,.jpg,1067,1600,166,250,1670681093702866,1670681093,Py6jJ9VRJ8VcWve/CvDV6g==,96341,0,0,0,masha,30,21,25.0,19.0,"[{'no': 4557055, 'now': '12/11/22(Sun)16:23:03', 'name': 'Anonymous', 'com': '<a href=""#p4557028"" class=""quotelink"">&gt;&gt;4557028</a><br>I NEED IT OOOOO<br>I SEE IT YEAH<br>I NEED IT!!!!', 'time': 1670793783, 'resto': 4556350}, {'no': 4557131, 'now': '12/11/22(Sun)17:23:02', 'name': 'Anonymous', 'com': '<a href=""#p4557024"" class=""quotelink"">&gt;&gt;4557024</a><br>kek', 'time': 1670797382, 'resto': 4556350}, {'no': 4557356, 'now': '12/12/22(Mon)03:08:09', 'name': 'Anonymous', 'com': '<a href=""#p4556360"" class=""quotelink"">&gt;&gt;4556360</a><br>She is forever one of the most beautiful women I&#039;ve ever seen.', 'time': 1670832489, 'resto': 4556350}, {'no': 4558220, 'now': '12/13/22(Tue)06:20:17', 'name': 'Anonymous', 'filename': '(43)', 'ext': '.jpg', 'w': 1062, 'h': 1600, 'tn_w': 82, 'tn_h': 125, 'tim': 1670930417044372, 'time': 1670930417, 'md5': '0YsnPonmghTEpR68gaZvCQ==', 'fsize': 89849, 'resto': 4556350}, {'no': 4558221, 'now': '12/13/22(Tue)06:20:48', 'name': 'Anonymous', 'filename': '(34)', 'ext': '.jpg', 'w': 2666, 'h': 4000, 'tn_w': 83, 'tn_h': 125, 'tim': 1670930448904877, 'time': 1670930448, 'md5': '5gGq4qvPjBZHcjcZ5QVkhg==', 'fsize': 710285, 'resto': 4556350}]",1670930448,,
4,4529371,10/26/22(Wed)16:05:17,Anonymous,Ariel Rebel,ArielRebel-RexPhotography-1-lg,.jpg,2000,2500,200,250,1666814717040881,1666814717,FsTgyNWu6OqD+GEWtKprRg==,3052271,0,0,0,ariel-rebel,132,105,127.0,101.0,"[{'no': 4556485, 'now': '12/10/22(Sat)13:10:09', 'name': 'Anonymous', 'com': '<a href=""#p4556364"" class=""quotelink"">&gt;&gt;4556364</a><br>wonder if she ever made a private pooping video', 'time': 1670695809, 'resto': 4529371}, {'no': 4558214, 'now': '12/13/22(Tue)06:17:17', 'name': 'Anonymous', 'filename': 'XmasPromoBDS-12-lg', 'ext': '.jpg', 'w': 1667, 'h': 2500, 'tn_w': 83, 'tn_h': 125, 'tim': 1670930237469453, 'time': 1670930237, 'md5': 'bXcsBxk6BZ2BBYPj1t0DGQ==', 'fsize': 2429145, 'resto': 4529371}, {'no': 4558215, 'now': '12/13/22(Tue)06:17:52', 'name': 'Anonymous', 'filename': 'XmasPromoBDS-14-lg', 'ext': '.jpg', 'w': 1667, 'h': 2500, 'tn_w': 83, 'tn_h': 125, 'tim': 1670930272826194, 'time': 1670930272, 'md5': 'uDfkqMe/L3zTuehzmDy3OA==', 'fsize': 3323244, 'resto': 4529371}, {'no': 4558218, 'now': '12/13/22(Tue)06:18:37', 'name': 'Anonymous', 'filename': 'XmasPromoBDS-22-lg', 'ext': '.jpg', 'w': 1667, 'h': 2500, 'tn_w': 83, 'tn_h': 125, 'tim': 1670930317733063, 'time': 1670930317, 'md5': '4HIzG/qdWjNqQOJPK77hlg==', 'fsize': 2434097, 'resto': 4529371}, {'no': 4558219, 'now': '12/13/22(Tue)06:19:20', 'name': 'Anonymous', 'filename': 'XmasPromoBDS-48-lg', 'ext': '.jpg', 'w': 1667, 'h': 2500, 'tn_w': 83, 'tn_h': 125, 'tim': 1670930360078174, 'time': 1670930360, 'md5': 'Oj9qX02RQw1Xo6sBwujKGQ==', 'fsize': 2826524, 'resto': 4529371}]",1670930360,,
5,4558051,12/12/22(Mon)22:03:35,Anonymous,Beautiful Aryan Women,1602119963779,.jpg,1080,1237,218,250,1670900615041674,1670900615,HQ36TAxc7CuVe2CWAMmREw==,203992,0,0,0,beautiful-aryan-women,8,7,3.0,3.0,"[{'no': 4558063, 'now': '12/12/22(Mon)22:26:37', 'name': 'Anonymous', 'filename': 'DCC193A5-9B3C-439D-AC7B-C23C06D8D952', 'ext': '.jpg', 'w': 1080, 'h': 1350, 'tn_w': 100, 'tn_h': 125, 'tim': 1670901997818231, 'time': 1670901997, 'md5': 'ARrmd91v21r9O8e5GtnAYA==', 'fsize': 312330, 'resto': 4558051}, {'no': 4558168, 'now': '12/13/22(Tue)04:03:44', 'name': 'Anonymous', 'com': '<a href=""#p4558051"" class=""quotelink"">&gt;&gt;4558051</a><br>Natalya Krasavina is a slav, not a aryan.', 'filename': '1f7olfmd67791', 'ext': '.jpg', 'w': 1080, 'h': 1279, 'tn_w': 105, 'tn_h': 125, 'tim': 1670922224545763, 'time': 1670922224, 'md5': '8SDKsI1Rtomi0PmEKd9cuQ==', 'fsize': 136055, 'resto': 4558051}, {'no': 4558169, 'now': '12/13/22(Tue)04:05:58', 'name': 'Anonymous', 'filename': 'Alyson Michalka Zooey magazine shoot 016', 'ext': '.jpg', 'w': 2559, 'h': 1632, 'tn_w': 125, 'tn_h': 79, 'tim': 1670922358833399, 'time': 1670922358, 'md5': 'srmD/cK5atw7kL/MgRQ3Qg==', 'fsize': 393209, 'resto': 4558051}, {'no': 4558193, 'now': '12/13/22(Tue)05:05:38', 'name': 'Anonymous', 'com': '<a href=""#p4558168"" class=""quotelink"">&gt;&gt;4558168</a><br>this is why (((China))) wants to nuke Russia btw', 'time': 1670925938, 'resto': 4558051}, {'no': 4558217, 'now': '12/13/22(Tue)06:18:24', 'name': 'Anonymous', 'com': '110% pure aryan goddess', 'filename': '1658250292957682', 'ext': '.jpg', 'w': 3000, 'h': 2000, 'tn_w': 125, 'tn_h': 83, 'tim': 1670930304344928, 'time': 1670930304, 'md5': 'mwi1hNN2kNVknFCQb7H/BA==', 'fsize': 427057, 'resto': 4558051}]",1670930304,"Post pictures of gorgeous Aryan women.<br>Blue eyes, Green eyes, Grey eyes, Hazel eyes, Brown eyes.<br>Blonde hair, Brown hair, Red hair.<br>So long as they&#039;re Aryan.",
6,4512303,10/01/22(Sat)02:43:14,Anonymous,Gillian Jacobs,1530307067293,.jpg,2832,4256,166,250,1664606594355675,1664606594,dJczkEOmpI6PD76K4PVh/w==,524081,0,0,0,gillian-jacobs,214,170,209.0,169.0,"[{'no': 4556301, 'now': '12/10/22(Sat)04:43:23', 'name': 'Anonymous', 'com': 'if I were a producer I&#039;d put Gilly and April Bowlby together as sisters.', 'time': 1670665403, 'resto': 4512303}, {'no': 4556332, 'now': '12/10/22(Sat)07:27:00', 'name': 'Anonymous', 'com': '<a href=""#p4556301"" class=""quotelink"">&gt;&gt;4556301</a><br>and judy greer, too.', 'time': 1670675220, 'resto': 4512303}, {'no': 4556486, 'now': '12/10/22(Sat)13:11:09', 'name': 'Anonymous', 'com': '<a href=""#p4556332"" class=""quotelink"">&gt;&gt;4556332</a><br>best I can do is cousin', 'time': 1670695869, 'resto': 4512303}, {'no': 4556869, 'now': '12/11/22(Sun)08:00:16', 'name': 'Anonymous', 'com': '<a href=""#p4556486"" class=""quotelink"">&gt;&gt;4556486</a><br>That&#039;s pretty generous, the best you&#039;d get from me is mentally retarded step-sister.', 'time': 1670763616, 'resto': 4512303}, {'no': 4558216, 'now': '12/13/22(Tue)06:17:53', 'name': 'Anonymous', 'com': '<a href=""#p4556869"" class=""quotelink"">&gt;&gt;4556869</a><br>Hey! Greer is pretty fucking hot.', 'filename': 'Ms Jacobs', 'ext': '.jpg', 'w': 2048, 'h': 1365, 'tn_w': 125, 'tn_h': 83, 'tim': 1670930273982820, 'time': 1670930273, 'md5': 'zggo5MhCj+67wqZmk+yTpQ==', 'fsize': 1008141, 'resto': 4512303}]",1670930273,"The cutest, hottest and the prettiest woman ever.",
7,4528682,10/25/22(Tue)10:55:05,Anonymous,Inka Williams,7ebf20e5c02256ae82b15ffdb3d6c463,.jpg,1280,1920,166,250,1666709705987296,1666709705,ma+xZT4s3u9pBMs4tNw0CA==,339876,0,0,0,inka-williams,81,42,76.0,40.0,"[{'no': 4555331, 'now': '12/08/22(Thu)19:25:28', 'name': 'Anonymous', 'com': '<a href=""#p4555145"" class=""quotelink"">&gt;&gt;4555145</a><br>Native means to be born there you absolute fucking melt. Go read a book ffs', 'time': 1670545528, 'resto': 4528682}, {'no': 4556763, 'now': '12/10/22(Sat)20:44:45', 'name': 'Anonymous', 'com': 'She looks like she fucks men her dad&#039;s age and does /ddlg/ roleplay', 'time': 1670723085, 'resto': 4528682}, {'no': 4556822, 'now': '12/11/22(Sun)03:40:47', 'name': 'Anonymous', 'com': '<a href=""#p4548815"" class=""quotelink"">&gt;&gt;4548815</a><br><span class=""quote"">&gt;tl;dr: she&#039;s Balinese</span><br>It was just explained to you that she is not. She&#039;s half Australian half French.', 'time': 1670748047, 'resto': 4528682}, {'no': 4556864, 'now': '12/11/22(Sun)07:40:27', 'name': 'Anonymous', 'filename': 'inka981f1062-f3b7-41a4-98e4-860d7bb2f30b', 'ext': '.jpg', 'w': 1200, 'h': 1697, 'tn_w': 88, 'tn_h': 124, 'tim': 1670762427834715, 'time': 1670762427, 'md5': '1/uqPMfFoxAmVfOOIPmYIA==', 'fsize': 748624, 'resto': 4528682}, {'no': 4558213, 'now': '12/13/22(Tue)05:28:26', 'name': 'Anonymous', 'filename': 'inka-williams-social-media-photos-08-07-2020-0', 'ext': '.jpg', 'w': 1280, 'h': 2276, 'tn_w': 70, 'tn_h': 125, 'tim': 1670927306297346, 'time': 1670927306, 'md5': 'HC7wA5TyUF0PdgAQ6v6t0g==', 'fsize': 452980, 'resto': 4528682}]",1670927306,23 year old Balinese model,
8,4550647,12/01/22(Thu)00:31:59,Anonymous,Jenna Ortega,wallpapersden.com_actress-jenna-ortega-2020_1668x2224,.jpg,1668,2224,187,250,1669872719685294,1669872719,qJVZ0PGTWxGx7MZX6su+Hw==,1061364,0,0,0,jenna-ortega,125,47,120.0,46.0,"[{'no': 4558107, 'now': '12/12/22(Mon)23:51:22', 'name': 'Anonymous', 'com': '<a href=""#p4558105"" class=""quotelink"">&gt;&gt;4558105</a><br>would wake up next to and kiss on the nose/10', 'time': 1670907082, 'resto': 4550647}, {'no': 4558120, 'now': '12/13/22(Tue)00:39:29', 'name': 'Anonymous', 'com': '<a href=""#p4558105"" class=""quotelink"">&gt;&gt;4558105</a><br>Are you implying she looks bad there?', 'time': 1670909969, 'resto': 4550647}, {'no': 4558126, 'now': '12/13/22(Tue)01:07:17', 'name': 'Anonymous', 'com': '<a href=""#p4558105"" class=""quotelink"">&gt;&gt;4558105</a><br>cute!', 'time': 1670911637, 'resto': 4550647}, {'no': 4558127, 'now': '12/13/22(Tue)01:07:37', 'name': 'Anonymous', 'filename': 'jenna chair cuddles', 'ext': '.webm', 'w': 1078, 'h': 1080, 'tn_w': 124, 'tn_h': 125, 'tim': 1670911657668412, 'time': 1670911657, 'md5': 'hOiWVS4EJ1gBgv4DH5jWRw==', 'fsize': 1497454, 'resto': 4550647}, {'no': 4558212, 'now': '12/13/22(Tue)05:24:52', 'name': 'Anonymous', 'com': '<a href=""#p4558105"" class=""quotelink"">&gt;&gt;4558105</a><br>¡ay dios mio, Jesucristo ayudame!', 'time': 1670927092, 'resto': 4550647}]",1670927092,"in honor of wednesday, her new netflix special, lets get this ball rolling!",
9,4508498,09/25/22(Sun)17:13:34,Anonymous,KNewt,0923_MFW-Tod__5_,.jpg,3789,5683,166,250,1664140414728379,1664140414,nwH+4Kz/SIi7SB1Ki41qGQ==,1733582,0,0,0,knewt,226,191,221.0,189.0,"[{'no': 4556412, 'now': '12/10/22(Sat)10:50:05', 'name': 'Anonymous', 'filename': '318181542_124844537094537_3163853353553126084_n', 'ext': '.jpg', 'w': 1080, 'h': 1350, 'tn_w': 100, 'tn_h': 125, 'tim': 1670687405378819, 'time': 1670687405, 'md5': 'OMewTbKbQhmSkcxVDcphwA==', 'fsize': 155026, 'resto': 4508498}, {'no': 4557351, 'now': '12/12/22(Mon)01:33:30', 'name': 'Anonymous', 'filename': '318942703_873144790483209_1192495748053497414_n', 'ext': '.jpg', 'w': 1080, 'h': 1343, 'tn_w': 100, 'tn_h': 125, 'tim': 1670826810811209, 'time': 1670826810, 'md5': '7pW1NK1B0FPmC5QcM2ss/Q==', 'fsize': 170481, 'resto': 4508498}, {'no': 4558133, 'now': '12/13/22(Tue)01:23:58', 'name': 'Anonymous', 'com': '<a href=""#p4550521"" class=""quotelink"">&gt;&gt;4550521</a><br>That thoughts like these could even come to your mind - it&#039;s awful. Aren&#039;t you ashamed to be someone who couldn&#039;t possibly grace the doorstep of any dignified house? I wouldn&#039;t permit you to shake my father&#039;s hand, or even know the names of the women in my family, let alone come to our table. Doesn&#039;t that bother you? Wouldn&#039;t you rather have a pure heart and a clean mind? Wouldn&#039;t you rather be an instance of human greatness, rather than an example of something horrid?', 'time': 1670912638, 'resto': 4508498}, {'no': 4558136, 'now': '12/13/22(Tue)01:30:16', 'name': 'Anonymous', 'com': '<a href=""#p4525935"" class=""quotelink"">&gt;&gt;4525935</a><br>Don&#039;t post underage stuff!', 'time': 1670913016, 'resto': 4508498}, {'no': 4558211, 'now': '12/13/22(Tue)05:20:26', 'name': 'Anonymous', 'com': '<a href=""#p4558133"" class=""quotelink"">&gt;&gt;4558133</a><br><span class=""quote"">&gt;the human body is very bad when its natural </span><br><span class=""quote"">&gt;you should be guilted into delusion and vanity because we like to pretend we are human</span><br>&quot;.... and I&#039;m all out of bubblegum.&quot;', 'time': 1670926826, 'resto': 4508498}]",1670926826,,
