,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_modified,country,bumplimit,imagelimit,country_name,omitted_posts,omitted_images,last_replies,trip
0,153692319,1.0,1.0,10/19/21(Tue)17:11:17,Anonymous,Welcome to /int/,"Want to learn something new?<br>
<br>
The <a href=""http://4chanint.wikia.com"">/int/ Wiki</a> is a language learning guide created by /int/ users like you.<br>
<br>
Cultural resources:<br><a href=""https://guide.culturecrossing.net/"">Cross-cultural etiquette guide</a><br>
<a href=""https://www.cia.gov/the-world-factbook/references/flags-of-the-world/"">Flags of the world</a>",int,.png,580,359,249,154,1634677877503,1634677877,8f6vnAU3NLXG0QkhLa28Vw==,75021,0,mod,welcome-to-int,0,0,1663572395,,,,,,,,
1,174843689,,,12/10/22(Sat)06:20:35,Anonymous,/ita/-il filo,Edizione analbanese,TOTAL ANALBOZERGSHIT DESTRUCTIO,.jpg,844,670,250,198,1670671235499168,1670671235,iMik6n8X2oMgzFC4tg4kYA==,101642,0,,itail-filo,52,17,1670674416,IT,0.0,0.0,Italy,47.0,15.0,"[{'no': 174845128, 'now': '12/10/22(Sat)07:07:32', 'name': 'Anonymous', 'com': '<a href=""#p174843689"" class=""quotelink"">&gt;&gt;174843689</a><br>dai no già ci odiano tutti perché ora dobbiamo inimcarci anche gli albanesi', 'time': 1670674052, 'resto': 174843689, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174845172, 'now': '12/10/22(Sat)07:09:14', 'name': 'Anonymous', 'com': 'io ho il sentimento che la così detta &quot;filina numero 3&quot; soffra di disturbo bipolare', 'time': 1670674154, 'resto': 174843689, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174845249, 'now': '12/10/22(Sat)07:11:15', 'name': 'Anonymous', 'com': '<a href=""#p174844697"" class=""quotelink"">&gt;&gt;174844697</a><br>*resta in silenzio*', 'filename': '1670674260772', 'ext': '.jpg', 'w': 2122, 'h': 1500, 'tn_w': 125, 'tn_h': 88, 'tim': 1670674275647356, 'time': 1670674275, 'md5': 'uUDxMBLpCAq1V692A6i3fw==', 'fsize': 164490, 'resto': 174843689, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174845332, 'now': '12/10/22(Sat)07:13:21', 'name': 'Anonymous', 'com': 'Questa sono io.<br><br>Over 50, non vaccinata.<br>Ancora Libera e sana.<br><br>Un governo di bestie, tutti. Fottetevi!<br>Non mi avrete mai!<br><br>15 febbraio:<br>#GiornodellaVergogna', 'filename': '1647895583506', 'ext': '.jpg', 'w': 1260, 'h': 1407, 'tn_w': 111, 'tn_h': 125, 'tim': 1670674401791814, 'time': 1670674401, 'md5': 'HHA2MvGX0TLgm6QfxDfYWQ==', 'fsize': 195913, 'resto': 174843689, 'country': 'IT', 'country_name': 'Italy'}, {'no': 174845341, 'now': '12/10/22(Sat)07:13:36', 'name': 'Anonymous', 'com': '<a href=""#p174845249"" class=""quotelink"">&gt;&gt;174845249</a><br>il filino con più competenza sociale', 'time': 1670674416, 'resto': 174843689, 'country': 'IT', 'country_name': 'Italy'}]",
2,174845337,,,12/10/22(Sat)07:13:29,Anonymous,,Argie bros...,1670674222284228,.jpg,749,912,205,250,1670674409975999,1670674409,mvpoXAZqv3Kuc9ZoO9A1NQ==,461297,0,,argie-bros,0,0,1670674409,AU,0.0,0.0,Australia,,,,
3,174845147,,,12/10/22(Sat)07:08:21,Anonymous,/Neupreussen/ ehemals /deutsch/,,1625586128593,.jpg,701,755,232,250,1670674101872781,1670674101,y5ErAwSBS0Sft8Vr+bUZOw==,112484,0,,neupreussen-ehemals-deutsch,26,10,1670674410,DE,0.0,0.0,Germany,21.0,7.0,"[{'no': 174845304, 'now': '12/10/22(Sat)07:12:36', 'name': 'Anonymous', 'com': 'Wie siehts bei euch mit Weihnachtsgeschenken aus? Musste nur vier besorgen war dieses Jahr also leicht heh', 'filename': '1669132837293674', 'ext': '.jpg', 'w': 1370, 'h': 1800, 'tn_w': 95, 'tn_h': 125, 'tim': 1670674356068189, 'time': 1670674356, 'md5': 'FAJ3ezUUsSMILr2+8yqifQ==', 'fsize': 861746, 'resto': 174845147, 'country': 'CH', 'country_name': 'Switzerland'}, {'no': 174845305, 'now': '12/10/22(Sat)07:12:38', 'name': 'Anonymous', 'com': '<a href=""#p174845224"" class=""quotelink"">&gt;&gt;174845224</a><br>VER<br>PISS<br>DICH', 'filename': '9e1 - Kopie', 'ext': '.png', 'w': 656, 'h': 527, 'tn_w': 125, 'tn_h': 100, 'tim': 1670674358969574, 'time': 1670674358, 'md5': 'r4911SvCPf9PRYt9HK1QxQ==', 'fsize': 46125, 'resto': 174845147, 'country': 'DE', 'country_name': 'Germany'}, {'no': 174845306, 'now': '12/10/22(Sat)07:12:39', 'name': 'Anonymous', 'com': '<a href=""#p174845261"" class=""quotelink"">&gt;&gt;174845261</a><br>oge dangö', 'time': 1670674359, 'resto': 174845147, 'country': 'DE', 'country_name': 'Germany'}, {'no': 174845333, 'now': '12/10/22(Sat)07:13:22', 'name': 'Anonymous', 'com': '<a href=""#p174845282"" class=""quotelink"">&gt;&gt;174845282</a><br><a href=""#p174845287"" class=""quotelink"">&gt;&gt;174845287</a><br>Ihr verdient meine Fäden eh nicht<br>Diue sollt ihr auch gar nicht benutzen ihr endsmetten, utopischer, absolut gaskranken Ewige Jungfrauenspastiker', 'time': 1670674402, 'resto': 174845147, 'country': 'DE', 'country_name': 'Germany'}, {'no': 174845338, 'now': '12/10/22(Sat)07:13:30', 'name': 'Anonymous', 'com': '<a href=""#p174845305"" class=""quotelink"">&gt;&gt;174845305</a><br>Nein', 'filename': '56541135', 'ext': '.png', 'w': 414, 'h': 391, 'tn_w': 125, 'tn_h': 118, 'tim': 1670674410183164, 'time': 1670674410, 'md5': 'EeZa2RAMN5Ch3nDmXFmZVA==', 'fsize': 33207, 'resto': 174845147, 'country': 'DE', 'country_name': 'Germany'}]",
4,174815952,,,12/09/22(Fri)13:30:22,Anonymous,/rus/,"издaниe жocткoгo cэкca<br><a href=""/int/thread/174773210#p174773210"" class=""quotelink"">&gt;&gt;174773210</a>",1670610607508,.png,1200,1200,250,250,1670610622673947,1670610622,1yYKGHc1FpU4QUbGSIZK1g==,1430202,0,,rus,272,46,1670674408,RU,0.0,0.0,Russian Federation,267.0,46.0,"[{'no': 174844947, 'now': '12/10/22(Sat)07:02:12', 'name': 'Anonymous', 'com': '<a href=""#p174844853"" class=""quotelink"">&gt;&gt;174844853</a><br>eё пpoгнaли из тpeдa<br>oнa cкaзaлa чтo нe пpидeт бoльшe', 'time': 1670673732, 'resto': 174815952, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174844994, 'now': '12/10/22(Sat)07:03:34', 'name': 'Anonymous', 'com': '<a href=""#p174844947"" class=""quotelink"">&gt;&gt;174844947</a><br>лмao a этo ктo <a href=""#p174844897"" class=""quotelink"">&gt;&gt;174844897</a>', 'time': 1670673814, 'resto': 174815952, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174845074, 'now': '12/10/22(Sat)07:05:50', 'name': 'Anonymous', 'com': 'я дyмaю y лaйки cиcьки пoмeньшe чeм нa вeбм', 'time': 1670673950, 'resto': 174815952, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174845297, 'now': '12/10/22(Sat)07:12:15', 'name': 'Anonymous', 'com': 'Чтo пpaвдa тo пpaвдa', 'time': 1670674335, 'resto': 174815952, 'country': 'RU', 'country_name': 'Russian Federation'}, {'no': 174845336, 'now': '12/10/22(Sat)07:13:28', 'name': 'Anonymous', 'com': 'чтo нe тaк c этим мaлoлeтним шизикoм? зaчeм oн coздaeт cвoи гoвнoтpeды в кoтopых никтo нe cидит?<br><a href=""/int/thread/174844675#p174844675"" class=""quotelink"">&gt;&gt;174844675</a>', 'time': 1670674408, 'resto': 174815952, 'country': 'RU', 'country_name': 'Russian Federation'}]",
5,174843141,,,12/10/22(Sat)06:01:34,Anonymous,,"What type of milk is most popular in your country?<br>Personally, I&#039;m a fan of iced coffee flavour.",mm,.webm,1920,1080,250,140,1670670094979076,1670670094,TO2yPv9agtxyZpqVszWQIw==,2275414,0,,what-type-of-milk-is-most-popular-in-your-country,40,5,1670674407,AU,0.0,0.0,Australia,35.0,5.0,"[{'no': 174844722, 'now': '12/10/22(Sat)06:54:46', 'name': 'Anonymous', 'com': 'Seek help or ngmi', 'time': 1670673286, 'resto': 174843141, 'country': 'MY', 'country_name': 'Malaysia'}, {'no': 174844781, 'now': '12/10/22(Sat)06:56:30', 'name': 'Anonymous', 'com': '<a href=""#p174843141"" class=""quotelink"">&gt;&gt;174843141</a><br>damn, surprisingly nice breasts', 'time': 1670673390, 'resto': 174843141, 'country': 'HU', 'country_name': 'Hungary'}, {'no': 174845283, 'now': '12/10/22(Sat)07:11:58', 'name': 'Anonymous', 'com': '<a href=""#p174843246"" class=""quotelink"">&gt;&gt;174843246</a><br>Breast milk doesn&#039;t tast nice', 'time': 1670674318, 'resto': 174843141, 'country': 'GB', 'country_name': 'United Kingdom'}, {'no': 174845331, 'now': '12/10/22(Sat)07:13:16', 'name': 'Anonymous', 'com': '<a href=""#p174844008"" class=""quotelink"">&gt;&gt;174844008</a><br>incel chud<br><a href=""#p174844320"" class=""quotelink"">&gt;&gt;174844320</a><br>incel chud', 'time': 1670674396, 'resto': 174843141, 'country': 'BE', 'country_name': 'Belgium'}, {'no': 174845335, 'now': '12/10/22(Sat)07:13:27', 'name': 'Anonymous', 'com': '<a href=""#p174843970"" class=""quotelink"">&gt;&gt;174843970</a><br><span class=""quote"">&gt;eggs will make your heart explode because... cholesterol!</span><br>Here eggs are promoted against cholesterol.<br><span class=""quote"">&gt;raw eggs are dangerous because... salmonella! (even though it&#039;s beneficial bacteria)</span><br>Only for old people it&#039;s advised not to eat them raw. <br><span class=""quote"">&gt;you will die if you drink raw milk</span><br>Never heard that<br><span class=""quote"">&gt;Liver is dangerous because of vitamin A toxicity (another proven hoax)</span><br>I eat liver almost daily, never heard of it<br><span class=""quote"">&gt;red meat will give you cancer. </span><br>That&#039;s one we hear all the time.<br>Now we have warnings to not eat it raw if it&#039;s not fresh, as food poisoning happens more with raw red meat than with raw chicken.<br><span class=""quote"">&gt;there&#039;s mercury in fish</span><br>Mercury in tuna. Tuna is a bland fish anyway, just eat salmon or cod.', 'time': 1670674407, 'resto': 174843141, 'country': 'NL', 'country_name': 'Netherlands'}]",
6,174845204,,,12/10/22(Sat)07:10:14,Anonymous,,"<span class=""quote"">&gt;I wish I could have shitposted more on /int/</span>",anon,.png,462,260,250,140,1670674214882613,1670674214,I1fFrssMX6tr4SSdPLHBGQ==,125276,0,,i-wish-i-could-have-shitposted-more-on-int,2,0,1670674396,RS,0.0,0.0,Serbia,,,"[{'no': 174845293, 'now': '12/10/22(Sat)07:12:14', 'name': 'Anonymous', 'com': 'I have been here since mid 2013. Thousands and thousands of hours wasted.', 'time': 1670674334, 'resto': 174845204, 'country': 'US', 'country_name': 'United States'}, {'no': 174845330, 'now': '12/10/22(Sat)07:13:16', 'name': 'Anonymous', 'com': '<a href=""#p174845204"" class=""quotelink"">&gt;&gt;174845204</a><br>this but unironically', 'time': 1670674396, 'resto': 174845204, 'country': 'RS', 'country_name': 'Serbia'}]",
7,174836916,,,12/10/22(Sat)00:38:16,Anonymous,/nederdraad/,"Liefdevolle mensen editie<br>Welkom: mensen die het goede met andere mensen voor hebben<br>Niet welkom: racisjes, fascisjes, homofobie en transfobie",1654886604528,.jpg,734,518,249,176,1670650696832835,1670650696,/+oBUuBjYzF2KhiuCCIb2w==,70306,0,,nederdraad,158,28,1670674394,NL,0.0,0.0,Netherlands,153.0,28.0,"[{'no': 174845275, 'now': '12/10/22(Sat)07:11:53', 'name': 'Anonymous', 'com': '<a href=""#p174845251"" class=""quotelink"">&gt;&gt;174845251</a><br>de ME', 'time': 1670674313, 'resto': 174836916, 'country': 'TH', 'country_name': 'Thailand'}, {'no': 174845294, 'now': '12/10/22(Sat)07:12:14', 'name': 'Anonymous', 'com': '<a href=""#p174845251"" class=""quotelink"">&gt;&gt;174845251</a><br>als je maar van mijn Puch afblijft!', 'time': 1670674334, 'resto': 174836916, 'country': 'NL', 'country_name': 'Netherlands'}, {'no': 174845295, 'now': '12/10/22(Sat)07:12:14', 'name': 'Anonymous', 'com': '<a href=""#p174845262"" class=""quotelink"">&gt;&gt;174845262</a><br>jezus = charlatan jood op stokje', 'time': 1670674334, 'resto': 174836916, 'country': 'BE', 'country_name': 'Belgium'}, {'no': 174845298, 'now': '12/10/22(Sat)07:12:17', 'name': 'Anonymous', 'com': '<a href=""#p174845221"" class=""quotelink"">&gt;&gt;174845221</a><br>geen van beide (sugardaddy of escortcel) is incel...<br>achterlijke mongool', 'time': 1670674337, 'resto': 174836916, 'country': 'NL', 'country_name': 'Netherlands'}, {'no': 174845329, 'now': '12/10/22(Sat)07:13:14', 'name': 'Anonymous', 'com': '<a href=""#p174845295"" class=""quotelink"">&gt;&gt;174845295</a><br>https://www.youtube.com/watch?v=9ct<wbr>BTjPhv_w', 'time': 1670674394, 'resto': 174836916, 'country': 'NL', 'country_name': 'Netherlands'}]",
8,174844730,,,12/10/22(Sat)06:55:02,Anonymous,/brit/,Liverpool edition,liverpool,.jpg,2000,1500,250,187,1670673302073139,1670673302,8UxOcSePwldhYkCyHXE30w==,893539,0,,brit,21,3,1670674391,GB,0.0,0.0,United Kingdom,16.0,1.0,"[{'no': 174845258, 'now': '12/10/22(Sat)07:11:29', 'name': 'Anonymous', 'com': 'I feel asleep !!!', 'time': 1670674289, 'resto': 174844730, 'country': 'GB', 'country_name': 'United Kingdom'}, {'no': 174845281, 'now': '12/10/22(Sat)07:11:55', 'name': 'Anonymous', 'com': '<a href=""#p174845115"" class=""quotelink"">&gt;&gt;174845115</a><br>Irish city<br><span class=""quote"">&gt;my honey</span><br>Lmao', 'filename': 'irish-emigrant', 'ext': '.jpg', 'w': 542, 'h': 628, 'tn_w': 107, 'tn_h': 125, 'tim': 1670674315475864, 'time': 1670674315, 'md5': 'janJ29p9xPTr0joSMQICBA==', 'fsize': 181707, 'resto': 174844730, 'country': 'GB', 'country_name': 'United Kingdom'}, {'no': 174845307, 'now': '12/10/22(Sat)07:12:39', 'name': 'Anonymous', 'com': 'Any toil from homers inform me on what they use in terms of microphones and speakers for zoom meetings? Dadberg wears headphones for the microphone and I feel it&#039;s unprofessional so looking at buying him a microphone for Christmas.', 'time': 1670674359, 'resto': 174844730, 'country': 'AU', 'country_name': 'Australia'}, {'no': 174845309, 'now': '12/10/22(Sat)07:12:43', 'name': 'Anonymous', 'com': 'Most clubs are shit full of skinny white boys acting tough and putting on a fake deep voice and sluts that get fucked by 100 guys a month', 'time': 1670674363, 'resto': 174844730, 'country': 'GB', 'country_name': 'United Kingdom'}, {'no': 174845328, 'now': '12/10/22(Sat)07:13:11', 'name': 'Anonymous', 'filename': '2a34d8_d9c54a7a4e344d13a26a9178370268afmv2', 'ext': '.jpg', 'w': 600, 'h': 926, 'tn_w': 80, 'tn_h': 124, 'tim': 1670674391638503, 'time': 1670674391, 'md5': 'H6OaA6aA34k0BxTOqPV/0Q==', 'fsize': 601914, 'resto': 174844730, 'country': 'GB', 'country_name': 'United Kingdom'}]",
9,174845267,,,12/10/22(Sat)06:04:31,Anonymous,,I&#039;ll now buy your game,1629764264961,.jpg,656,960,170,250,1670670271229291,1670670271,zeatukjVADIOer1Bs+GmAA==,59243,0,,ill-now-buy-your-game,8,3,1670674390,XX,0.0,0.0,Unknown,3.0,0.0,"[{'no': 174845271, 'now': '12/10/22(Sat)06:59:06', 'name': 'Anonymous', 'com': '<a href=""#p174845267"" class=""quotelink"">&gt;&gt;174845267</a><br>tasty legs', 'filename': '1624754526088', 'ext': '.png', 'w': 2048, 'h': 2048, 'tn_w': 125, 'tn_h': 125, 'tim': 1670673546205314, 'time': 1670673546, 'md5': '0pmdXfJK1d0dT7o/dCZzpg==', 'fsize': 2646048, 'resto': 174845267, 'country': 'XX', 'country_name': 'Unknown'}, {'no': 174845272, 'now': '12/10/22(Sat)07:01:43', 'name': 'Anonymous', 'com': '<a href=""#p174845267"" class=""quotelink"">&gt;&gt;174845267</a><br>French mf&#039;ers be like<br><span class=""quote"">&gt;my legs are in pain</span>', 'time': 1670673703, 'resto': 174845267, 'country': 'XX', 'country_name': 'Unknown'}, {'no': 174845273, 'now': '12/10/22(Sat)07:04:37', 'name': 'Anonymous', 'com': '<a href=""#p174845267"" class=""quotelink"">&gt;&gt;174845267</a><br>Day 1 of Keto', 'time': 1670673877, 'resto': 174845267, 'country': 'XX', 'country_name': 'Unknown'}, {'no': 174845274, 'now': '12/10/22(Sat)07:10:10', 'name': 'Anonymous', 'com': 'Toasting in epic bread', 'filename': '1513689704678', 'ext': '.jpg', 'w': 861, 'h': 889, 'tn_w': 121, 'tn_h': 125, 'tim': 1670674210869172, 'time': 1670674210, 'md5': 'eB1YnqtZQRNd6UKerjRPeQ==', 'fsize': 292365, 'resto': 174845267, 'country': 'XX', 'country_name': 'Unknown'}, {'no': 174845327, 'now': '12/10/22(Sat)07:13:10', 'name': 'Anonymous', 'com': 'Hol up', 'filename': 'Screenshot_20221210-121245_Chrome', 'ext': '.jpg', 'w': 1065, 'h': 1781, 'tn_w': 74, 'tn_h': 125, 'tim': 1670674390356974, 'time': 1670674390, 'md5': '8wg1BSDdVRPsq9ljRHJ3FQ==', 'fsize': 561582, 'resto': 174845267, 'country': 'IE', 'country_name': 'Ireland'}]",
