,no,sticky,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,sticky_cap,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,21327588,1.0,12/08/22(Thu)22:42:21,Anonymous,ARMOED CORE VI: FIRES OF RUBICON,REAL,file,.png,893,496,250,138,1670557341405200,1670557341,tVhWuNcSAmK88PqF6NeV5Q==,565668,0,armoed-core-vi-fires-of-rubicon,1000.0,4,1000,127,999.0,127.0,"[{'no': 21332873, 'now': '12/10/22(Sat)06:42:10', 'name': 'Anonymous', 'com': '<a href=""#p21332810"" class=""quotelink"">&gt;&gt;21332810</a><br>They have to hammer that point home even in the Steam page of it<br><span class=""quote"">&gt;In ARMORED CORE VI FIRES OF RUBICON, players will assemble and pilot their own mech with 3D maneuverability to move freely through three dimensional fast-paced missions.</span>', 'time': 1670672530, 'resto': 21327588}]",1670672530,,,
1,21331128,,12/09/22(Fri)18:28:21,Anonymous,/acg/ - Armored Core General,"<s>WE&#039;RE BACK</s> edition.<br><br>AC6 IS COMING TO PC; SOMEONE PINCH ME I&#039;M DREAMING<br><br><span class=""quote"">&gt;Website</span><br>https://www.armoredcore.net/<br><span class=""quote"">&gt;Teaser Trailer :</span><br>https://www.youtube.com/watch?v=YRy<wbr>Rv0bwH2o<br><span class=""quote"">&gt;Steam Page:</span><br>https://store.steampowered.com/app/<wbr>1888160/ARMORED_CORE_VI_FIRES_OF_RU<wbr>BICON/<br><span class=""quote"">&gt;Development Team</span><br>Hidetaka Miyazaki will be involved as the Initial Game Director. Based on the initial development, Masaru Yamamura has taken over as Director. <br><br>Other News:<br><span class=""quote"">&gt;HLJ has stopped taking pre-orders for Kotobukya&#039;s &#039;DECOCTION MODELS Rayleonard 03-AALIYAH Supplice&#039;—get in elsewhere while you still can!</span><br>https://www.hlj.com/decoction-model<wbr>s-rayleonard-03-aaliyah-supplice-kb<wbr>ygg-001<br><span class=""quote"">&gt;Armored Core: Project Phantasma is appearing for the first time at a mainline GDQ event on January 9th, 2023. What&#039;s your best speedrun, Ravens?</span><br>https://twitter.com/pmcTRILOGY/stat<wbr>us/1600580079452569601",WEREBACK,.jpg,8000,4501,250,140,1670628501734521,1670628501,Gb93yLIf90t7+/+or5/+/Q==,2283839,0,acg-armored-core-general,,4,262,62,257.0,61.0,"[{'no': 21332889, 'now': '12/10/22(Sat)06:54:22', 'name': 'Anonymous', 'com': '<a href=""#p21332885"" class=""quotelink"">&gt;&gt;21332885</a><br>It&#039;s far better if they do something new than rehash tired ideas.', 'time': 1670673262, 'resto': 21331128}, {'no': 21332892, 'now': '12/10/22(Sat)06:57:26', 'name': 'Anonymous', 'com': 'I&#039;m having a lot of trouble finding one of the trailers for ACV, it was one where the AC activates the grind blade and looks sick as hell when the head morphs. Anyone known which one I&#039;m talking about? Can&#039;t find that scene in any of the ACV trailers', 'filename': '1667902032422', 'ext': '.png', 'w': 1023, 'h': 680, 'tn_w': 125, 'tn_h': 83, 'tim': 1670673446041755, 'time': 1670673446, 'md5': 'b7qgvJLxouW97nwL1oyPDQ==', 'fsize': 632293, 'resto': 21331128}, {'no': 21332893, 'now': '12/10/22(Sat)06:57:28', 'name': 'Anonymous', 'com': '<a href=""#p21332889"" class=""quotelink"">&gt;&gt;21332889</a><br>They&#039;ve already tried all rather archetypal mecha gameplay styles, there&#039;s simply nothing radically different left that would fit under AC label', 'time': 1670673448, 'resto': 21331128}, {'no': 21332902, 'now': '12/10/22(Sat)07:09:14', 'name': 'Anonymous', 'com': '<a href=""#p21332892"" class=""quotelink"">&gt;&gt;21332892</a><br>https://youtu.be/j_yaU_ZM-nA', 'time': 1670674154, 'resto': 21331128}, {'no': 21332904, 'now': '12/10/22(Sat)07:13:11', 'name': 'Anonymous', 'com': '<a href=""#p21332902"" class=""quotelink"">&gt;&gt;21332902</a><br>Thanks, that big toothy grin is the most badass thing ever. Does it actually do that ingame? Are there special &quot;morphing&quot; parts for Overed Weapons specifically? <br><br>A shame that trailer doesn&#039;t seem to exist in non-shit quality', 'time': 1670674391, 'resto': 21331128}]",1670674391,0.0,0.0,
2,21330480,,12/09/22(Fri)15:16:29,Anonymous,/ssg/ - Super Sentai General #1235,"Previous Thread: <a href=""/m/thread/21322378#p21322378"" class=""quotelink"">&gt;&gt;21322378</a><br><br><span class=""quote"">&gt;Torrent:</span><br>https://nyaa.si<br><br><span class=""quote"">&gt;Donbrothers DDL (H.265 converts by Sheena-chan):</span><br>https://mega.nz/folder/FK4T0IJB#UHb<wbr>FP84BGSiJ9zXaR4NURg<br><span class=""quote"">&gt;MEGA pastebin</span><br>https://pastebin.com/z1NinKvg<br><span class=""quote"">&gt;Sentai Viewer</span><br>https://drive.google.com/drive/u/0/<wbr>folders/13dNMczf5-p8CNxxR8Pu1W2Umt8<wbr>NwP6BP<br><br><span class=""quote"">&gt;List of subbed series:</span><br>http://tokusubs.wikia.com/wiki/Toku<wbr>subs_Wiki<br><br><span class=""quote"">&gt;Super Hero Time OSTs:</span><br>https://mega.co.nz/#F!fddkkZiK!fau0<wbr>lSCNv0MedCNpS_Ihew<br><br><span class=""quote"">&gt;Super Sentai Monster Designs:</span><br><span class=""quote"">&gt;Gorenger - Zyuohger</span><br>https://mega.nz/#F!Mp8hVQ7K!tm2cp0d<wbr>9_GZiZdGaXt1nXw<br><br><span class=""quote"">&gt;TTFC Mega (Run by Ei. Bother him for requests)</span><br>https://mega.nz/#F!6I0XBAZY!dplkOqe<wbr>Ae1dtLkMlO56ejQ<br><br><span class=""quote"">&gt;DO NOT MAKE NEW GENERALS WHEN IT IMMEDIATELY REACHES BUMP LIMIT. WAIT TILL IT GETS TO PAGE 6 TO MAKE A NEW GENERAL!!!! MOD RULES!</span>",1670439133027151,.jpg,2048,1536,250,187,1670616989721698,1670616989,QFvRGphEGJedefD7yOJCLA==,310298,0,ssg-super-sentai-general-1235,,4,53,13,48.0,12.0,"[{'no': 21332727, 'now': '12/10/22(Sat)04:41:05', 'name': 'Anonymous', 'com': '<a href=""#p21332630"" class=""quotelink"">&gt;&gt;21332630</a><br>The Sen-chan episodes are always bangers', 'time': 1670665265, 'resto': 21330480}, {'no': 21332868, 'now': '12/10/22(Sat)06:38:55', 'name': 'Anonymous', 'com': 'Netlab hasn&#039;t done a Sentai Villain poll yet right? Who will top amongst the nips by the way?', 'time': 1670672335, 'resto': 21330480}, {'no': 21332877, 'now': '12/10/22(Sat)06:44:16', 'name': 'Anonymous', 'com': 'Anons please shout out a Happy Birthday to the actor of one of the most based red in Sentai history', 'filename': 'E59CADE4B880E9838E', 'ext': '.jpg', 'w': 992, 'h': 560, 'tn_w': 125, 'tn_h': 70, 'tim': 1670672656158347, 'time': 1670672656, 'md5': '0SE7M2PiXToGXs5FHL5BZw==', 'fsize': 56329, 'resto': 21330480}, {'no': 21332878, 'now': '12/10/22(Sat)06:45:20', 'name': 'Anonymous', 'com': '<a href=""#p21332877"" class=""quotelink"">&gt;&gt;21332877</a><br>A very happy birthday to the grumpy gumshoe cop', 'time': 1670672720, 'resto': 21330480}, {'no': 21332896, 'now': '12/10/22(Sat)07:02:39', 'name': 'Anonymous', 'com': '<a href=""#p21331973"" class=""quotelink"">&gt;&gt;21331973</a><br>Then go to media that isn&#039;t episodic.<br><a href=""#p21332630"" class=""quotelink"">&gt;&gt;21332630</a><br><span class=""quote"">&gt;the good episodic ones</span><br>All of them are episodic though.', 'time': 1670673759, 'resto': 21330480}]",1670673759,0.0,0.0,
3,21325480,,12/07/22(Wed)21:20:21,Anonymous,/prg/- Power Rangers General #390,"Turbo Cockpit Edition<br><span class=""quote"">&gt;NEW: Dino Fury S2</span><br>On Netflix now (in USA, United Kingdom, Australia, New Zealand, or with VPN)<br><br>or here:<br>https://dexuploads.blogspot.com/202<wbr>2/03/the-tv-show-dino-fury-season-2<wbr>-episodes.html<br>https://twitter.com/KRSentai/status<wbr>/1575754606176763904<br><br><span class=""quote"">&gt;Dino Fury S1</span><br>https://mega.nz/folder/cbomzb6B#sO0<wbr>-2i4X8STxqskoKZg67w<br><br><span class=""quote"">&gt;Cosmic Fury officially revealed</span><br>https://twitter.com/HasbroPulse/sta<wbr>tus/1563768340174209024<br><br><span class=""quote"">&gt;Official YouTube Channels</span><br>https://www.youtube.com/c/PowerRang<wbr>ersOfficial/videos<br>https://www.youtube.com/channel/UCb<wbr>Im2iqwql8bFqkO2bHv7Mw/videos<br><br><span class=""quote"">&gt;Comics</span><br>https://www.mediafire.com/?w806xqsw<wbr>st6v8<br>https://drive.google.com/drive/fold<wbr>ers/0B-uXKBhNeSFJU0tHRWEtb2stUkk?us<wbr>p=sharing<br><br><span class=""quote"">&gt;Coming Soon:</span><br>Cosmic Fury in 2023<br>Original Suits<br>Walter Jones, David Yost, Catherine Sutherland, Karan Ashley, Steve Cardenas, and Johnny Yong Bosch will be returning<br>Kyuranger will be used for Zord scenes<br><br>Current comics being released/coming<br><span class=""quote"">&gt;MMPR</span><br><span class=""quote"">&gt;MMPR/TMNT 2</span><br><span class=""quote"">&gt;Ranger Academy</span><br><br><span class=""quote"">&gt;MMPR/TMNT 2 announced</span><br>https://www.boom-studios.com/archiv<wbr>es/mighty-morphin-power-rangers-tee<wbr>nage-mutant-ninja-turtles-ii-announ<wbr>cement/<br><br><span class=""quote"">&gt;Ranger Academy announced, preview on FCBD</span><br>https://www.boom-studios.com/archiv<wbr>es/ranger-academy-2023-fcbd-special<wbr>-announcement/<br><br>Mystic Force fully uploaded onto YouTube<br>https://www.youtube.com/playlist?li<wbr>st=PLbt09tWqepBSmLrNIPjhW4WMOo-Jmkc<wbr>_q<br><br>Operation Overdrive being uploaded on YouTube<br>https://www.youtube.com/playlist?li<wbr>st=PLbt09tWqepBQUocQ_QySWCPWDksOZjB<wbr>57<br><br>Jungle Fury 24/7 Stream<br>https://www.youtube.com/watch?v=P0o<wbr>lErpmjIQ<br><br>Previous<br><a href=""/m/thread/21311407#p21311407"" class=""quotelink"">&gt;&gt;21311407</a>",Sic Sic Ka-Chow,.jpg,1338,747,250,139,1670466021180498,1670466021,04Q7ViRIQoGA9NwaOKCnbg==,117860,0,prg-power-rangers-general-390,,4,112,18,107.0,18.0,"[{'no': 21332722, 'now': '12/10/22(Sat)04:34:07', 'name': 'Anonymous', 'com': '<a href=""#p21329146"" class=""quotelink"">&gt;&gt;21329146</a><br>Unfortunately no', 'time': 1670664847, 'resto': 21325480}, {'no': 21332850, 'now': '12/10/22(Sat)06:25:39', 'name': 'Anonymous', 'com': '<a href=""#p21327369"" class=""quotelink"">&gt;&gt;21327369</a><br>That thing eerily reminds me of Madaako. So most likely villain.<br><br>Somehow, I don&#039;t get why the Turbo cast is highly unpopular that besides the &quot;non-human&quot; Rangers, they don&#039;t have Lightning Collection figures. Eh, I know, because it was one of the first of the weaker seasons in the whole franchise.', 'time': 1670671539, 'resto': 21325480}, {'no': 21332856, 'now': '12/10/22(Sat)06:29:53', 'name': 'Anonymous', 'com': '<a href=""#p21332850"" class=""quotelink"">&gt;&gt;21332850</a><br>The worst thing is that Turbo gets slightly better once they switch cast. Yeah we still got the infamous pizza episode but simply because of that and it seems like the season is forever doomed.<br><br>Like imagine RPM is hated because they made fun of spandex.', 'time': 1670671793, 'resto': 21325480}, {'no': 21332884, 'now': '12/10/22(Sat)06:50:47', 'name': 'Anonymous', 'com': '<a href=""#p21332687"" class=""quotelink"">&gt;&gt;21332687</a><br>Another intergalactic police officer from the same station/base/whatever as Captain Chaku.', 'time': 1670673047, 'resto': 21325480}, {'no': 21332895, 'now': '12/10/22(Sat)07:00:35', 'name': 'Anonymous', 'com': '<a href=""#p21332856"" class=""quotelink"">&gt;&gt;21332856</a><br>The seasons legitimately hated were Overdrive, Super Megaforce, and the Ninja Steel duology. Every other season has its good points.', 'time': 1670673635, 'resto': 21325480}]",1670673635,0.0,0.0,
4,21329469,,12/09/22(Fri)07:43:26,Anonymous,Gunpla/Plamo General - /gpg/,"***READ THE GUIDE***<br><br>THE GUIDE: http://gunpla.buyfags.moe/<br><br>***READ THE GUIDE***<br><br>For those new to gunpla/plamo or even just new to this thread; please read the guide. Please read it before asking questions, as there is a chance it has already been answered there.<br><br>For those unfamiliar, &quot;plamo&quot; is a shortened form of &quot;plastic model&quot;. If it&#039;s made of plastic, someone can probably help you here!<br>If you&#039;re new, you&#039;re gonna fuck up. Don&#039;t worry! If you&#039;re experienced, don&#039;t make the new people worry!<br><br>And remember to report any shitposting and spam to keep the thread clean and civil.<br><br><span class=""quote"">&gt;Why won&#039;t anyone answer my question?</span><br>Try being specific, especially about your materials and process. Post images whenever possible; even if the kit/part looks bad, you are more likely to get help posting images.<br><br><span class=""quote"">&gt;Why are my pictures sideways?</span><br>4chan strips EXIF data from images when they&#039;re uploaded to the site from your phone, including the orientation display tag. To fix this, save your images separately, or use an app that will rotate and save the images for you.<br>One commonly used app that works well on Android:<br>https://play.google.com/store/apps/<wbr>details?id=com.simplemobilephotores<wbr>izer<br><br>Links:<br><span class=""quote"">&gt;A guide to other types of plamo:</span><br>http://www.mediafire.com/view/1vf1a<wbr>w7v91pz5pa/Airfix%20Model%20World%2<wbr>0Specia%20-By-Step<br><span class=""quote"">&gt;Kawaguchi gunpla tips:</span><br>https://www.youtube.com/playlist?li<wbr>st=PLJV1h9xQ7Hx-SoCOivVEHNDOl16VWLB<wbr>3A<br><span class=""quote"">&gt;Gundam lineart:</span><br>https://imgur.com/user/Gundaml1near<wbr>t/submitted<br><span class=""quote"">&gt;Funaka&#039;s gunpla guides:</span><br>Building Gunpla: https://files.catbox.moe/fj5azc.pdf<wbr><br>Scratchbuilding: https://files.catbox.moe/2d9ppa.pdf<wbr><br><span class=""quote"">&gt;Falldog&#039;s gunpla guide:</span><br>http://otakurevolution.com/content/<wbr>laymans-gunpla-guide<br><span class=""quote"">&gt;Saintism&#039;s gunpla photography guide:</span><br>https://www.saint-ism.com/category/<wbr>gunpla/photography/<br><br>Monthly restock:<br>(Temporarily discontinued by Bandai to discourage scalping)<br><br>Past Groupbuilds:<br>https://imgur.com/user/mechagroupbu<wbr>ild/posts<br><br>IRC:<br><span class=""quote"">&gt;Server/Channel</span><br>Rizon/#gunpla<br><br>Previous thread: <a href=""/m/thread/21322196#p21322196"" class=""quotelink"">&gt;&gt;21322196</a>",v2 slap chop grit complete,.png,1280,960,250,187,1670589806286802,1670589806,1epTLIVn2xmoR5Zxd5SHfQ==,1926885,0,gunplaplamo-general-gpg,,4,265,46,260.0,45.0,"[{'no': 21332870, 'now': '12/10/22(Sat)06:39:43', 'name': 'Anonymous', 'com': '<a href=""#p21332863"" class=""quotelink"">&gt;&gt;21332863</a><br>RGs explicitly don&#039;t care about accuracy to original design', 'time': 1670672383, 'resto': 21329469}, {'no': 21332871, 'now': '12/10/22(Sat)06:41:13', 'name': 'Anonymous', 'com': '<a href=""#p21332758"" class=""quotelink"">&gt;&gt;21332758</a><br>Or until you realise you&#039;re perfect just the way you are', 'filename': 'e59', 'ext': '.jpg', 'w': 1483, 'h': 1062, 'tn_w': 125, 'tn_h': 89, 'tim': 1670672473455263, 'time': 1670672473, 'md5': 'LRznZu0Gi9U62hLg7+Voww==', 'fsize': 126703, 'resto': 21329469}, {'no': 21332874, 'now': '12/10/22(Sat)06:43:24', 'name': 'Anonymous', 'com': '<a href=""#p21332870"" class=""quotelink"">&gt;&gt;21332870</a><br>as opposed to the HGUC which is even less accurate to it?', 'time': 1670672604, 'resto': 21329469}, {'no': 21332875, 'now': '12/10/22(Sat)06:44:02', 'name': 'Anonymous', 'com': '<a href=""#p21332838"" class=""quotelink"">&gt;&gt;21332838</a><br>any lacquer hobby paint', 'time': 1670672642, 'resto': 21329469}, {'no': 21332894, 'now': '12/10/22(Sat)06:59:41', 'name': 'Anonymous', 'com': '<a href=""#p21332838"" class=""quotelink"">&gt;&gt;21332838</a><br>What does it have ?', 'time': 1670673581, 'resto': 21329469}]",1670673581,0.0,0.0,
5,21246476,,10/30/22(Sun)04:21:51,Anonymous,,"Post favorite female robot, and female mecha, and mecha musume.",1666793103200,.jpg,765,600,250,196,1667118111832109,1667118111,r1BYp02jj/6e7uGaLKJbPA==,186013,0,post-favorite-female-robot-and-female-mecha-and,,4,152,130,147.0,125.0,"[{'no': 21328924, 'now': '12/09/22(Fri)02:45:28', 'name': 'Anonymous', 'filename': 'FeWu8tEUUAYdzy5', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670571928986157, 'time': 1670571928, 'md5': 'dH8lg9CB4AdTN8YUSVCgPg==', 'fsize': 187493, 'resto': 21246476}, {'no': 21329933, 'now': '12/09/22(Fri)11:39:02', 'name': 'Anonymous', 'filename': '1668943703811', 'ext': '.jpg', 'w': 444, 'h': 580, 'tn_w': 95, 'tn_h': 124, 'tim': 1670603942247215, 'time': 1670603942, 'md5': 'A94fPkufuUeWN/48ck77Yw==', 'fsize': 127004, 'resto': 21246476}, {'no': 21331870, 'now': '12/09/22(Fri)22:10:52', 'name': 'Anonymous', 'filename': 'zaku_ass', 'ext': '.png', 'w': 964, 'h': 800, 'tn_w': 125, 'tn_h': 103, 'tim': 1670641852418564, 'time': 1670641852, 'md5': 'dllYXoGUQ89EZ6a3ksaieg==', 'fsize': 1562754, 'resto': 21246476}, {'no': 21332887, 'now': '12/10/22(Sat)06:53:25', 'name': 'Anonymous', 'filename': '1624069713331', 'ext': '.jpg', 'w': 1080, 'h': 1414, 'tn_w': 95, 'tn_h': 125, 'tim': 1670673205426681, 'time': 1670673205, 'md5': 'CpI6TGsVUS/JrPXKv7YMFg==', 'fsize': 182812, 'resto': 21246476}, {'no': 21332890, 'now': '12/10/22(Sat)06:55:37', 'name': 'Anonymous', 'filename': '1666651546663353', 'ext': '.png', 'w': 1200, 'h': 1659, 'tn_w': 90, 'tn_h': 125, 'tim': 1670673337087174, 'time': 1670673337, 'md5': 'Vt9VYE1XaHIHoUZ9p9w0zQ==', 'fsize': 1812083, 'resto': 21246476}]",1670673337,0.0,0.0,
6,21318897,,12/04/22(Sun)13:19:48,Anonymous,Gundam Age,"Why the hate? I thought it is pretty good. Especially the generational theme, ike JoJo x Gundam.",Age,.jpg,1280,720,250,140,1670177988312324,1670177988,62zz8GDKNWPU/yPBsabAKw==,129381,0,gundam-age,,4,55,17,50.0,16.0,"[{'no': 21332594, 'now': '12/10/22(Sat)02:57:23', 'name': 'Anonymous', 'com': '<a href=""#p21318897"" class=""quotelink"">&gt;&gt;21318897</a><br>I am not aware of any specific reasons why people might hate the anime series &quot;Gundam Age.&quot; It is a highly popular series with a dedicated fan base, so it is likely that any negative opinions of the series are in the minority. However, in general, people may dislike a particular piece of media for a variety of reasons, such as its storyline, characters, or overall execution. It&#039;s important to remember that everyone has their own unique tastes and opinions, so it&#039;s normal for some people to dislike something that others might enjoy.', 'time': 1670659043, 'resto': 21318897}, {'no': 21332697, 'now': '12/10/22(Sat)04:13:34', 'name': 'Anonymous', 'com': '<a href=""#p21332439"" class=""quotelink"">&gt;&gt;21332439</a><br><span class=""quote"">&gt;no transformation animation whatsoever</span><br>also try showing animation of fight scenes LMAO', 'time': 1670663614, 'resto': 21318897}, {'no': 21332840, 'now': '12/10/22(Sat)06:19:50', 'name': 'Anonymous', 'com': '<a href=""#p21332265"" class=""quotelink"">&gt;&gt;21332265</a><br>holy kek I only now noticed the interface is from PSP AGE game when you&#039;re hold down the R button', 'time': 1670671190, 'resto': 21318897}, {'no': 21332845, 'now': '12/10/22(Sat)06:22:36', 'name': 'Anonymous', 'com': '<a href=""#p21332840"" class=""quotelink"">&gt;&gt;21332840</a><br>Almost perfectly similar to it, at least', 'time': 1670671356, 'resto': 21318897}, {'no': 21332888, 'now': '12/10/22(Sat)06:53:26', 'name': 'Anonymous', 'com': '<a href=""#p21332697"" class=""quotelink"">&gt;&gt;21332697</a><br>You are the first person I&#039;ve ever seen say AGE had bad animation during fights.', 'filename': '0b09d149751f947d4776adf6021cbe40', 'ext': '.webm', 'w': 854, 'h': 480, 'tn_w': 125, 'tn_h': 70, 'tim': 1670673206450267, 'time': 1670673206, 'md5': 'rc1AD7DXIa+ZjGXzzEKuGw==', 'fsize': 2675106, 'resto': 21318897}]",1670673206,0.0,0.0,
7,21332751,,12/10/22(Sat)05:01:06,Anonymous,Gundam Extreme VS 2 Overboost,Next version of EXVS2 was announced at the recent Premium Dogfight tournament.,EXVS2OB,.png,1920,1080,250,140,1670666466857724,1670666466,I/9rZRdK0Wo7ewV8+NFsog==,1521902,0,gundam-extreme-vs-2-overboost,,4,7,4,2.0,2.0,"[{'no': 21332761, 'now': '12/10/22(Sat)05:05:53', 'name': 'Anonymous', 'com': 'https://www.youtube.com/watch?v=tVF<wbr>6eYM8MgI<br>https://www.youtube.com/watch?v=Kg8<wbr>r9El0f5U', 'filename': '1670666486567531', 'ext': '.jpg', 'w': 635, 'h': 900, 'tn_w': 88, 'tn_h': 125, 'tim': 1670666753865880, 'time': 1670666753, 'md5': 'Mcczht0yc1/aVpMeH107zw==', 'fsize': 177728, 'resto': 21332751}, {'no': 21332762, 'now': '12/10/22(Sat)05:07:41', 'name': 'Anonymous', 'com': 'Next Extra G unit is Roux Zeta<br>https://www.youtube.com/watch?v=9Rr<wbr>PLk0OJ80', 'filename': 'Roux Zeta', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670666861586245, 'time': 1670666861, 'md5': 'I/fBDPDcwXMUVxyR6alXCw==', 'fsize': 3931011, 'resto': 21332751}, {'no': 21332819, 'now': '12/10/22(Sat)06:03:53', 'name': 'Anonymous', 'com': '<a href=""#p21332751"" class=""quotelink"">&gt;&gt;21332751</a><br>Hopefully they add the previous version to Steam but they roll these games out on console so slowly that I doubt it. Wish they&#039;d capitalize on the Steam Deck.', 'time': 1670670233, 'resto': 21332751}, {'no': 21332849, 'now': '12/10/22(Sat)06:24:57', 'name': 'Anonymous', 'com': 'Since console versions are typically 2-3 versions behind, that means we might get vanilla EXVS2 right? haha....', 'time': 1670671497, 'resto': 21332751}, {'no': 21332883, 'now': '12/10/22(Sat)06:50:47', 'name': 'Anonymous', 'com': '<a href=""#p21332819"" class=""quotelink"">&gt;&gt;21332819</a><br>I would love a version with crossplay and good netcode.', 'time': 1670673047, 'resto': 21332751}]",1670673047,0.0,0.0,
8,21227075,,10/22/22(Sat)23:48:09,Anonymous,Baund Doc master thread,,71BD3A9C-5D97-445A-AF2E-BC01D2F15F7A,.jpg,250,187,250,187,1666496889478595,1666496889,JO/Cv6MVHVnSmmtzrE3Uxw==,5591,0,baund-doc-master-thread,,4,95,65,90.0,62.0,"[{'no': 21323180, 'now': '12/06/22(Tue)17:34:17', 'name': 'Anonymous', 'com': 'Jerid was horrible piloting this, he did a much better job at piloting the byarlant', 'time': 1670366057, 'resto': 21227075}, {'no': 21323185, 'now': '12/06/22(Tue)17:35:53', 'name': 'Anonymous', 'com': '<a href=""#p21323180"" class=""quotelink"">&gt;&gt;21323180</a><br>He never got the time to truly hone a single suit.', 'time': 1670366153, 'resto': 21227075}, {'no': 21323239, 'now': '12/06/22(Tue)18:16:27', 'name': 'Anonymous', 'com': '<a href=""#p21232292"" class=""quotelink"">&gt;&gt;21232292</a><br>Zeta really had a thing for terrible transforming mobile suits. Every new suit they introduce just squats down into a square shape and the cast is like <br><span class=""quote"">&gt;mobire armoruuu???</span><br>Then it stands up and there is a big reveal with dramatic music. The psycho Gundam was my favorite. Its a levitating square with comically small stub wings.', 'filename': 'Mrx-009-mf', 'ext': '.jpg', 'w': 1325, 'h': 1494, 'tn_w': 110, 'tn_h': 125, 'tim': 1670368587206447, 'time': 1670368587, 'md5': 'f0cH0kvh+g9Jfo1J8goTtg==', 'fsize': 459208, 'resto': 21227075}, {'no': 21330446, 'now': '12/09/22(Fri)15:06:50', 'name': 'Anonymous', 'filename': '1497554048437[1]', 'ext': '.jpg', 'w': 1778, 'h': 2689, 'tn_w': 82, 'tn_h': 125, 'tim': 1670616410625472, 'time': 1670616410, 'md5': 'wp/vA3dDCI26sIWbkDoNxg==', 'fsize': 1358756, 'resto': 21227075}, {'no': 21332880, 'now': '12/10/22(Sat)06:47:46', 'name': 'Anonymous', 'com': 'Just preordered this resin kit, very excited', 'filename': 'IMG_20221210_224607', 'ext': '.jpg', 'w': 1078, 'h': 1280, 'tn_w': 105, 'tn_h': 125, 'tim': 1670672866135058, 'time': 1670672866, 'md5': 'pZzdGXEgvZpgxB7JWYjopA==', 'fsize': 584064, 'resto': 21227075}]",1670672866,0.0,0.0,
9,21330838,,12/09/22(Fri)16:54:21,Anonymous,Quess Paraya (CCA),"She&#039;s great. She has daddy issues &amp; is just looking for some meaningful guidance. Pretty simple right? So why is she so hated &amp; misunderstood by everyone else who views cca? The main takeaways for her are always <br>A) She&#039;s annoying <br>B) i&#039;m glad she&#039;s dead now <br>Wow i vaguely remember fans decades ago used to find asuka annoying too, but it seems everyone has wise up &amp; learn to empathize with her. <br>I know having a sad back story really helps ppl understand a character more but i don&#039;t think its necessary for every character with a obnoxious personality to have one to be fully understood.",2816187-quess 12,.png,660,356,250,134,1670622861435712,1670622861,CYVTppWB0FaFsHofqfmFYQ==,414909,0,quess-paraya-cca,,4,45,11,40.0,11.0,"[{'no': 21332386, 'now': '12/10/22(Sat)00:59:53', 'name': 'Anonymous', 'com': '<a href=""#p21330838"" class=""quotelink"">&gt;&gt;21330838</a><br>I didnt find quess or asuka to be annoying. I think her character being made to be a bit like early zeta kamille made her work for me.', 'time': 1670651993, 'resto': 21330838}, {'no': 21332477, 'now': '12/10/22(Sat)01:57:02', 'name': 'Anonymous', 'com': '<a href=""#p21332386"" class=""quotelink"">&gt;&gt;21332386</a><br>Huh never made the connection before but yeah your right. They should have given her a guy&#039;s name to make the thing go full circle.', 'time': 1670655422, 'resto': 21330838}, {'no': 21332486, 'now': '12/10/22(Sat)02:01:09', 'name': 'Anonymous', 'com': '<a href=""#p21332103"" class=""quotelink"">&gt;&gt;21332103</a><br><span class=""quote"">&gt;you see yourself in her, don&#039;t you?</span><br>I can see part of me in her lololololol', 'time': 1670655669, 'resto': 21330838}, {'no': 21332489, 'now': '12/10/22(Sat)02:01:58', 'name': 'Anonymous', 'com': '<a href=""#p21332477"" class=""quotelink"">&gt;&gt;21332477</a><br>https://www.babynamemeaningz.com/Qu<wbr>ess-meaning-310361', 'time': 1670655718, 'resto': 21330838}, {'no': 21332867, 'now': '12/10/22(Sat)06:38:30', 'name': 'Anonymous', 'com': '<a href=""#p21332489"" class=""quotelink"">&gt;&gt;21332489</a><br><span class=""quote"">&gt;https://www.babynamemeaningz.com/Q<wbr>uess-meaning-310361</span><br>Huh, well I&#039;ll be darn, we just needed someone to say the reverse of the infamous line.', 'time': 1670672310, 'resto': 21330838}]",1670672310,0.0,0.0,
