,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,21335770,12/11/22(Sun)03:42:04,Anonymous,https://www.youtube.com/watch?v=9_Z<wbr>ZnrjESxA,maxresdefault,.jpg,1280,720,250,140,1670748124901331,1670748124,TM2fv7c0AKOpz9LIJdU+xg==,123055,0,0,0,,4,58,11,53.0,10.0,"[{'no': 21336082, 'now': '12/11/22(Sun)07:04:22', 'name': 'Anonymous', 'com': '<a href=""#p21336050"" class=""quotelink"">&gt;&gt;21336050</a><br>Too late, they&#039;re already up.', 'time': 1670760262, 'resto': 21335770}, {'no': 21336084, 'now': '12/11/22(Sun)07:05:35', 'name': 'Anonymous', 'filename': '[SubsPlease] Mobile Suit Gundam - The Witch from Mercury - 10 (1080p) [27C4E35F].mkv_snapshot_04.14_[2022.12.11_22.00.36]', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670760335353678, 'time': 1670760335, 'md5': 'TMCsuOKNvyQD5PBN8KDyew==', 'fsize': 226091, 'resto': 21335770}, {'no': 21336085, 'now': '12/11/22(Sun)07:06:31', 'name': 'Anonymous', 'com': '<a href=""#p21336080"" class=""quotelink"">&gt;&gt;21336080</a><br>This episode was based for shutting up the yurifags. If you don&#039;t like the show you don&#039;t have to force yourself to watch it', 'time': 1670760391, 'resto': 21335770}, {'no': 21336091, 'now': '12/11/22(Sun)07:08:36', 'name': 'Anonymous', 'com': '<a href=""#p21336085"" class=""quotelink"">&gt;&gt;21336085</a><br><span class=""quote"">&gt;shutting up the yurifags</span><br>Are you dense? They pulled the classic romcom drama. Miorinne doesn&#039;t realize how much she means to Suletta and tries to distance herself from her because she doesn&#039;t want to rely on her too much and use her for her own means, which Suletta interprets as Miroinne not caring about her. They are building a conflict between them which will lead to both sides realizing how important they are to each other and an epic confession-like scene at the end of it. I liked the show for developing their relationship in such a natural, non-contrived, drama-free way. Now that&#039;s completely out of the window and we entered extreme cliche territory', 'time': 1670760516, 'resto': 21335770}, {'no': 21336097, 'now': '12/11/22(Sun)07:13:19', 'name': 'Anonymous', 'com': '<a href=""#p21336091"" class=""quotelink"">&gt;&gt;21336091</a><br>&quot;Yeah, I don&#039;t care if you date that clear rapist&quot; is pretty big', 'time': 1670760799, 'resto': 21335770}]",1670760799,,
1,21330162,12/09/22(Fri)13:39:35,Anonymous,"Fuck Char, Gym best Gundam antagonist",1550140391066,.jpg,1440,1080,250,187,1670611175905116,1670611175,7scXs6AaZv0mAfbLGf9BfQ==,807495,0,0,0,fuck-char-gym-best-gundam-antagonist,4,23,8,18.0,6.0,"[{'no': 21334968, 'now': '12/10/22(Sat)22:11:58', 'name': 'Anonymous', 'com': '<a href=""#p21334757"" class=""quotelink"">&gt;&gt;21334757</a><br>It wasn&#039;t the actual shining finger, it was a weapon that had a similar presentation.<br>Gym is actually stupid, he&#039;s a guy who watched anime and thought real war was like that.', 'time': 1670728318, 'resto': 21330162}, {'no': 21335064, 'now': '12/10/22(Sat)22:46:05', 'name': 'Anonymous', 'com': '<a href=""#p21334968"" class=""quotelink"">&gt;&gt;21334968</a><br>I wish they would&#039;ve gone off the deep end with Gym and just had him be a Gundam reference/meme dispenser. And it would be a progressive turn too, like the more he engages in combat and feels the thrill, the more he starts to incorporate bullshit into his dialogue and tactics, like calling Loran &quot;Amuro&quot; and reenacting and reciting scenes from the previous shows and impersonating Master Asia or some shit. He&#039;d start trying to manipulate Turn X into doing something it isn&#039;t really capable of and have it backfire or something.<br><br>Sounds retarded as fuck I know, but that&#039;s kind of the point of his character anyway. Too bad the last quarter was pretty rushed and he didn&#039;t really get the spotlight he needed.', 'filename': 'gingHAnam', 'ext': '.jpg', 'w': 1440, 'h': 1080, 'tn_w': 125, 'tn_h': 93, 'tim': 1670730365337891, 'time': 1670730365, 'md5': '2nafblMZL5oiPMH4JrSuHQ==', 'fsize': 155909, 'resto': 21330162}, {'no': 21335181, 'now': '12/10/22(Sat)23:37:39', 'name': 'Anonymous', 'com': '<a href=""#p21330171"" class=""quotelink"">&gt;&gt;21330171</a><br>He&#039;s like those people who keep wanting for war in G-Witch', 'time': 1670733459, 'resto': 21330162}, {'no': 21335590, 'now': '12/11/22(Sun)02:20:15', 'name': 'Anonymous', 'com': '<a href=""#p21330162"" class=""quotelink"">&gt;&gt;21330162</a><br>That&#039;s where you&#039;re wrong<br><br>Ali was a goddamn legend.', 'filename': 'file', 'ext': '.png', 'w': 800, 'h': 450, 'tn_w': 125, 'tn_h': 70, 'tim': 1670743215876551, 'time': 1670743215, 'md5': '3Voq8CbYmEpuUWILgw36jA==', 'fsize': 307036, 'resto': 21330162}, {'no': 21336096, 'now': '12/11/22(Sun)07:12:10', 'name': 'Anonymous', 'com': '<a href=""#p21330162"" class=""quotelink"">&gt;&gt;21330162</a><br>I agree but 00 is the only Gundam I&#039;ve seen', 'time': 1670760730, 'resto': 21330162}]",1670760730,,
2,21335208,12/10/22(Sat)23:49:31,Anonymous,https://nyaa.si/view/1612520,1670654865442389,.jpg,1200,800,250,166,1670734171505460,1670734171,cz4StdmmmzfsE8bTCuHNQg==,448504,0,0,0,kamen-rider-geats-14,4,142,55,137.0,54.0,"[{'no': 21336058, 'now': '12/11/22(Sun)06:42:50', 'name': 'Anonymous', 'com': '<a href=""#p21336030"" class=""quotelink"">&gt;&gt;21336030</a><br>it was the fucking smooth criminal michael jackson pose', 'time': 1670758970, 'resto': 21335208}, {'no': 21336072, 'now': '12/11/22(Sun)06:53:04', 'name': 'Anonymous', 'com': '<a href=""#p21336058"" class=""quotelink"">&gt;&gt;21336058</a><br>I know what it was. It felt like they let them have some fun with it', 'time': 1670759584, 'resto': 21335208}, {'no': 21336081, 'now': '12/11/22(Sun)07:03:16', 'name': 'Anonymous', 'com': '<a href=""#p21336037"" class=""quotelink"">&gt;&gt;21336037</a><br>More like they get to be Glare’s lackeys', 'time': 1670760196, 'resto': 21335208}, {'no': 21336086, 'now': '12/11/22(Sun)07:06:49', 'name': 'Anonymous', 'com': '<a href=""#p21335277"" class=""quotelink"">&gt;&gt;21335277</a><br>I wonder why the Vision Driver exists if it’s not supposed to be used in-game then? To fend off some greater enemy?', 'time': 1670760409, 'resto': 21335208}, {'no': 21336095, 'now': '12/11/22(Sun)07:11:39', 'name': 'Anonymous', 'com': 'What do you think of Ace&#039;s outfit this episode?', 'filename': 'Episode 14 outfit', 'ext': '.png', 'w': 407, 'h': 946, 'tn_w': 53, 'tn_h': 125, 'tim': 1670760699721670, 'time': 1670760699, 'md5': '2Pq7ea1u5USJU0taT7UWXw==', 'fsize': 597761, 'resto': 21335208}]",1670760699,Kamen Rider Geats 14,
3,21288434,11/20/22(Sun)06:03:18,Anonymous,Why isn&#039;t mecha that much popular like in the 70s/80s/90s anymore?,1648873869014,.png,1920,1080,250,140,1668942198596449,1668942198,QghZlPG5D5znsFE7eKC+CQ==,3830677,0,0,0,why-isnt-mecha-that-much-popular-like-in-the,4,238,36,233.0,34.0,"[{'no': 21335823, 'now': '12/11/22(Sun)04:10:27', 'name': 'Anonymous', 'com': '<a href=""#p21335706"" class=""quotelink"">&gt;&gt;21335706</a><br><span class=""quote"">&gt;They determined the Gundams to be too much of a threat because Och Earth kept the development despite everyone telling them to stop</span><br>Which is the equivalent of being an anti-gundam taskforce<br><a href=""#p21335689"" class=""quotelink"">&gt;&gt;21335689</a><br><span class=""quote"">&gt;doesn&#039;t even exist by G Witch&#039;s time period</span><br>Both Cathedra and the Mobile Suit Development council are subsidiaries of the Benerit group and still exist.<br>The plot is terrible, and no incomplete english wiki will save apologists from that fact.', 'time': 1670749827, 'resto': 21288434}, {'no': 21335834, 'now': '12/11/22(Sun)04:17:44', 'name': 'Anonymous', 'com': '<a href=""#p21335823"" class=""quotelink"">&gt;&gt;21335823</a><br><span class=""quote"">&gt;Which is the equivalent of being an anti-gundam taskforce</span><br>That&#039;s not even how the english language works, they can be told to go after someone specific, that does not mean their entire purpose is that. <br><span class=""quote"">&gt;Both Cathedra and the Mobile Suit Development council are subsidiaries of the Benerit group and still exist</span><br>This wouldn&#039;t make sense, because the corporations was under the Development Council, including Delling himself, the benerit group effectively took over. <br><br>Anyways your complaint is a little retarded considering they did exactly what you wanted and took Aerial as soon as it dueled. Only it was the front management company, who likely is the one who handles these things now.', 'filename': 'file', 'ext': '.png', 'w': 1851, 'h': 1026, 'tn_w': 125, 'tn_h': 69, 'tim': 1670750264140829, 'time': 1670750264, 'md5': 'Vl9aL3V7axw7OQMoGeTurQ==', 'fsize': 2021962, 'resto': 21288434}, {'no': 21335844, 'now': '12/11/22(Sun)04:25:24', 'name': 'Anonymous', 'com': '<a href=""#p21335823"" class=""quotelink"">&gt;&gt;21335823</a><br>Also, I never said Cathedra doesn&#039;t exist anymore. But it also was just Delling&#039;s group to begin with, they obviously do exist.', 'time': 1670750724, 'resto': 21288434}, {'no': 21335916, 'now': '12/11/22(Sun)05:07:24', 'name': 'Anonymous', 'com': '<a href=""#p21335296"" class=""quotelink"">&gt;&gt;21335296</a><br>The Yazan already show up in this episode.', 'filename': 'EvilWitch', 'ext': '.jpg', 'w': 867, 'h': 720, 'tn_w': 125, 'tn_h': 103, 'tim': 1670753244952165, 'time': 1670753244, 'md5': '62xWEZoX4K7hYNo3s9L6iQ==', 'fsize': 111487, 'resto': 21288434}, {'no': 21336094, 'now': '12/11/22(Sun)07:11:34', 'name': 'Anonymous', 'com': '<a href=""#p21335916"" class=""quotelink"">&gt;&gt;21335916</a><br>Will she violate?', 'time': 1670760694, 'resto': 21288434}]",1670760694,,
4,21333889,12/10/22(Sat)17:14:38,Anonymous,"Muv-Luv Anime is OK-ish again edition<br>Total Eclipse is out on Steam<br>https://store.steampowered.com/app/<wbr>787510/MuvLuv_Alternative_Total_Ecl<wbr>ipse_Remastered/<br><br><span class=""quote"">&gt;Muv-Luv Extra/Unlimited</span><br>Steam: https://store.steampowered.com/app/<wbr>802880/MuvLuv/<br>Torrent: https://sukebei.nyaa.si/view/299678<wbr>2 (Disk 5)<br>MEGA: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw/folder/GM5WTLBI<wbr><br><span class=""quote"">&gt;Muv-Luv Alternative</span><br>Steam: https://store.steampowered.com/app/<wbr>802890/MuvLuv_Alternative/<br>Torrent: https://sukebei.nyaa.si/view/299678<wbr>2 (Disk 6)<br>MEGA: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw/folder/HdhkVZjA<wbr><br><span class=""quote"">&gt;Muv-Luv photonflowers*</span><br>Steam: https://store.steampowered.com/app/<wbr>889700/MuvLuv_photonflowers/<br>MEGA: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw/file/nBoDiKCL<br><span class=""quote"">&gt;Muv-Luv photonmelodies</span><br>Steam: https://store.steampowered.com/app/<wbr>889710/MuvLuv_photonmelodies/<br>MEGA: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw/file/fMoHVSiB<br><span class=""quote"">&gt;Muv-Luv Unlimited: THE DAY AFTER</span><br>Steam: https://store.steampowered.com/bund<wbr>le/18646/MuvLuv_Unlimited__The_Day_<wbr>After_ULTIMATE_COLLECTION/<br>MEGA: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw/folder/SF4mDT6b<wbr><br><br><span class=""quote"">&gt;Muv-Luv Alternative Manga</span><br>Steam 1-4: https://store.steampowered.com/app/<wbr>1501130/MuvLuv_Alternative_Manga_Su<wbr>per_Bundle_1/<br>Steam 5-8: https://store.steampowered.com/app/<wbr>1616080/MuvLuv_Alternative_Manga_Su<wbr>per_Bundle_2/<br>Steam 9-12: https://store.steampowered.com/app/<wbr>1811020/MuvLuv_Alternative_Manga_Su<wbr>per_Bundle_3/<br>All: https://desuarchive.org/m/thread/20<wbr>911206/#20938263<br><br><span class=""quote"">&gt;Other Downloads</span><br>Archive: https://mega.nz/folder/fIhTUKSA#nTR<wbr>rKtXDoekouDG03HJQIw<br>20th Anniversary Box (Ryuugames): https://drive.google.com/drive/fold<wbr>ers/1rLi8H6aA-7NpeZxHVACGOGS59P2upN<wbr>sw",tadaima,.jpg,455,500,227,250,1670710478968493,1670710478,q82GMXOVbC2SQd2WUzjTTQ==,191065,0,0,0,mlg-muvluv-general,4,10,4,5.0,1.0,"[{'no': 21335989, 'now': '12/11/22(Sun)05:55:43', 'name': 'Anonymous', 'com': '<a href=""#p21334096"" class=""quotelink"">&gt;&gt;21334096</a><br><a href=""#p21334126"" class=""quotelink"">&gt;&gt;21334126</a><br>*takeru chooses literally a different girl*<br><span class=""quote"">&gt;YEP HE GOT KEKED SO HARD</span><br>seek help', 'time': 1670756143, 'resto': 21333889}, {'no': 21336087, 'now': '12/11/22(Sun)07:07:24', 'name': 'Anonymous', 'com': 'They should have made an entire anime around Sayoko instead. She&#039;s so hot.', 'filename': 'b40296553ef8fc14683198943f0644ef', 'ext': '.jpg', 'w': 896, 'h': 1200, 'tn_w': 93, 'tn_h': 125, 'tim': 1670760444969626, 'time': 1670760444, 'md5': 'tAKWVT74/BRoMZiUPwZE7w==', 'fsize': 286554, 'resto': 21333889}, {'no': 21336090, 'now': '12/11/22(Sun)07:08:26', 'name': 'Anonymous', 'com': '<a href=""/m/thread/21298917#p21330688"" class=""quotelink"">&gt;&gt;21330688</a><br>Cute design.', 'time': 1670760506, 'resto': 21333889}, {'no': 21336092, 'now': '12/11/22(Sun)07:09:03', 'name': 'Anonymous', 'com': '<a href=""/m/thread/21298917#p21320752"" class=""quotelink"">&gt;&gt;21320752</a><br>Probably some burger space mission. Apollo?<br><br><a href=""/m/thread/21298917#p21323941"" class=""quotelink"">&gt;&gt;21323941</a><br>DO WHAT I WANT<br>DO WHAT I NEED<br><br><a href=""/m/thread/21298917#p21323958"" class=""quotelink"">&gt;&gt;21323958</a><br>Needs some Kouki cope tweets too and the release timeline having zero updates about Integrate and Resonative.<br><br><a href=""/m/thread/21298917#p21325295"" class=""quotelink"">&gt;&gt;21325295</a><br>The anime has one of the highest viewer retention rate out of everything airing this season. That shows that the only people who watch it are hardcore fans. There is no such thing as an anime only anymore since they all dropped it early in season 1.<br><br><a href=""/m/thread/21298917#p21325559"" class=""quotelink"">&gt;&gt;21325559</a><br>Humans fighting each other and all the political scheming is what makes Muv-Luv great. Even when the world is about to end the US is more focused on developing anti-TSF weapons. It&#039;s what makes Muv-Luv stand out from a lot of other sci-fi.', 'filename': '1662434767738', 'ext': '.png', 'w': 840, 'h': 584, 'tn_w': 125, 'tn_h': 86, 'tim': 1670760543795100, 'time': 1670760543, 'md5': 'L5oE3EMoSOkCFt3jneIRQQ==', 'fsize': 784730, 'resto': 21333889}, {'no': 21336093, 'now': '12/11/22(Sun)07:10:05', 'name': 'Anonymous', 'com': '<a href=""#p21334022"" class=""quotelink"">&gt;&gt;21334022</a><br>Yuuhi is a wonderful woman who needs to be lovingly cared for just like Lise!', 'filename': '1654721143998', 'ext': '.png', 'w': 798, 'h': 596, 'tn_w': 125, 'tn_h': 93, 'tim': 1670760605761803, 'time': 1670760605, 'md5': 'hgubeVk24QMX0T+U/Y+v5g==', 'fsize': 316084, 'resto': 21333889}]",1670760605,/mlg/ - Muv-Luv General,
5,21335310,12/11/22(Sun)00:23:32,Anonymous,What&#039;s their best work in the genre?,gainax_trigger,.png,612,390,250,159,1670736212041551,1670736212,/6Qv+UdGXxDWgGKXaHewkA==,250271,0,0,0,whats-their-best-work-in-the-genre,4,7,0,2.0,0.0,"[{'no': 21335329, 'now': '12/11/22(Sun)00:33:59', 'name': 'Anonymous', 'com': 'G: Evangelion<br>T: Edgerunners', 'time': 1670736839, 'resto': 21335310}, {'no': 21335405, 'now': '12/11/22(Sun)01:02:26', 'name': 'Anonymous', 'com': 'G: Eva<br>T: IDK or care lol', 'time': 1670738546, 'resto': 21335310}, {'no': 21335701, 'now': '12/11/22(Sun)03:03:00', 'name': 'Anonymous', 'com': 'Melody of Oblivion<br>.', 'time': 1670745780, 'resto': 21335310}, {'no': 21336083, 'now': '12/11/22(Sun)07:04:39', 'name': 'Anonymous', 'com': '<a href=""#p21335310"" class=""quotelink"">&gt;&gt;21335310</a><br>G: The Transformers episode of Panty and Stocking<br>T: Dynazenon', 'time': 1670760279, 'resto': 21335310}, {'no': 21336089, 'now': '12/11/22(Sun)07:07:59', 'name': 'Anonymous', 'com': 'Gunbuster<br>I&#039;ve only seen Franxx from them', 'time': 1670760479, 'resto': 21335310}]",1670760479,,
6,21325480,12/07/22(Wed)21:20:21,Anonymous,"Turbo Cockpit Edition<br><span class=""quote"">&gt;NEW: Dino Fury S2</span><br>On Netflix now (in USA, United Kingdom, Australia, New Zealand, or with VPN)<br><br>or here:<br>https://dexuploads.blogspot.com/202<wbr>2/03/the-tv-show-dino-fury-season-2<wbr>-episodes.html<br>https://twitter.com/KRSentai/status<wbr>/1575754606176763904<br><br><span class=""quote"">&gt;Dino Fury S1</span><br>https://mega.nz/folder/cbomzb6B#sO0<wbr>-2i4X8STxqskoKZg67w<br><br><span class=""quote"">&gt;Cosmic Fury officially revealed</span><br>https://twitter.com/HasbroPulse/sta<wbr>tus/1563768340174209024<br><br><span class=""quote"">&gt;Official YouTube Channels</span><br>https://www.youtube.com/c/PowerRang<wbr>ersOfficial/videos<br>https://www.youtube.com/channel/UCb<wbr>Im2iqwql8bFqkO2bHv7Mw/videos<br><br><span class=""quote"">&gt;Comics</span><br>https://www.mediafire.com/?w806xqsw<wbr>st6v8<br>https://drive.google.com/drive/fold<wbr>ers/0B-uXKBhNeSFJU0tHRWEtb2stUkk?us<wbr>p=sharing<br><br><span class=""quote"">&gt;Coming Soon:</span><br>Cosmic Fury in 2023<br>Original Suits<br>Walter Jones, David Yost, Catherine Sutherland, Karan Ashley, Steve Cardenas, and Johnny Yong Bosch will be returning<br>Kyuranger will be used for Zord scenes<br><br>Current comics being released/coming<br><span class=""quote"">&gt;MMPR</span><br><span class=""quote"">&gt;MMPR/TMNT 2</span><br><span class=""quote"">&gt;Ranger Academy</span><br><br><span class=""quote"">&gt;MMPR/TMNT 2 announced</span><br>https://www.boom-studios.com/archiv<wbr>es/mighty-morphin-power-rangers-tee<wbr>nage-mutant-ninja-turtles-ii-announ<wbr>cement/<br><br><span class=""quote"">&gt;Ranger Academy announced, preview on FCBD</span><br>https://www.boom-studios.com/archiv<wbr>es/ranger-academy-2023-fcbd-special<wbr>-announcement/<br><br>Mystic Force fully uploaded onto YouTube<br>https://www.youtube.com/playlist?li<wbr>st=PLbt09tWqepBSmLrNIPjhW4WMOo-Jmkc<wbr>_q<br><br>Operation Overdrive being uploaded on YouTube<br>https://www.youtube.com/playlist?li<wbr>st=PLbt09tWqepBQUocQ_QySWCPWDksOZjB<wbr>57<br><br>Jungle Fury 24/7 Stream<br>https://www.youtube.com/watch?v=P0o<wbr>lErpmjIQ<br><br>Previous<br><a href=""/m/thread/21311407#p21311407"" class=""quotelink"">&gt;&gt;21311407</a>",Sic Sic Ka-Chow,.jpg,1338,747,250,139,1670466021180498,1670466021,04Q7ViRIQoGA9NwaOKCnbg==,117860,0,0,0,prg-power-rangers-general-390,4,141,22,136.0,21.0,"[{'no': 21335876, 'now': '12/11/22(Sun)04:47:17', 'name': 'Anonymous', 'com': '<a href=""#p21335870"" class=""quotelink"">&gt;&gt;21335870</a><br>Only if you&#039;re deadset on watching them on Netflix. Otherwise every season&#039;s available for streaming, though they won&#039;t all be in great quality.', 'time': 1670752037, 'resto': 21325480}, {'no': 21335883, 'now': '12/11/22(Sun)04:51:46', 'name': 'Anonymous', 'com': '<a href=""#p21335876"" class=""quotelink"">&gt;&gt;21335876</a><br>&quot;officially&quot; I mean', 'time': 1670752306, 'resto': 21325480}, {'no': 21335891, 'now': '12/11/22(Sun)04:57:00', 'name': 'Anonymous', 'com': '<a href=""#p21335870"" class=""quotelink"">&gt;&gt;21335870</a><br>Every episode of every season is either on YouTube or will be on YouTube eventually.', 'time': 1670752620, 'resto': 21325480}, {'no': 21335982, 'now': '12/11/22(Sun)05:51:53', 'name': 'Anonymous', 'com': '<a href=""#p21332850"" class=""quotelink"">&gt;&gt;21332850</a><br><span class=""quote"">&gt;That thing eerily reminds me of Madaako</span><br>Can&#039;t see the resemblance. Though they&#039;re purple and surrounded by eery oiiking things so likely.', 'filename': '0221211_104831737~2', 'ext': '.jpg', 'w': 3333, 'h': 2278, 'tn_w': 125, 'tn_h': 85, 'tim': 1670755913591799, 'time': 1670755913, 'md5': 'kq4iuRb/Wg4ltLQweXXg0w==', 'fsize': 665522, 'resto': 21325480}, {'no': 21336076, 'now': '12/11/22(Sun)06:55:42', 'name': 'Anonymous', 'com': '<a href=""#p21335709"" class=""quotelink"">&gt;&gt;21335709</a><br>That seems expected, but somehow surprising at the same time.', 'time': 1670759742, 'resto': 21325480}]",1670759742,/prg/- Power Rangers General #390,
7,21326571,12/08/22(Thu)11:58:37,Anonymous,What the FUCK happened here?<br>The lineart looks like absolute ass. ESPECIALLY the head.<br>The HG 0 Gundam probably has my favorite Gundam head design of all time. But the lineart looks like it&#039;s straight out of the 80s.,what the fuck,.png,1140,802,250,175,1670518717348628,1670518717,Jgb2m5DLPzpL8Y+m0LDakA==,691903,0,0,0,what-the-fuck-happened-here,4,25,8,20.0,7.0,"[{'no': 21335542, 'now': '12/11/22(Sun)02:01:39', 'name': 'Anonymous', 'com': '<a href=""#p21326571"" class=""quotelink"">&gt;&gt;21326571</a><br>Okawara sucks at digital art', 'time': 1670742099, 'resto': 21326571}, {'no': 21335683, 'now': '12/11/22(Sun)02:56:53', 'name': 'Anonymous', 'com': '<a href=""#p21326571"" class=""quotelink"">&gt;&gt;21326571</a><br>Okawara has never been able to do proportions.<br><br>Though speaking of 00, the HG Aheads are a big improvement over the on screen versions too.', 'filename': 'NEODAI-30592[1]', 'ext': '.jpg', 'w': 500, 'h': 500, 'tn_w': 125, 'tn_h': 125, 'tim': 1670745413088697, 'time': 1670745413, 'md5': 'u3GabiSgIqIKVEObSpHB5w==', 'fsize': 38090, 'resto': 21326571}, {'no': 21335700, 'now': '12/11/22(Sun)03:02:56', 'name': 'Anonymous', 'com': '<a href=""#p21326609"" class=""quotelink"">&gt;&gt;21326609</a><br><span class=""quote"">&gt;Forums are awful with power tripping mods and namefagging</span><br>They were the same in the 2000s as well', 'time': 1670745776, 'resto': 21326571}, {'no': 21335799, 'now': '12/11/22(Sun)03:50:29', 'name': 'Anonymous', 'com': '<a href=""#p21326571"" class=""quotelink"">&gt;&gt;21326571</a><br>I&#039;m actually hoping for MG but we all know it&#039;s gonna be p-bandai. God, I fucking hate bandai.', 'time': 1670748629, 'resto': 21326571}, {'no': 21336071, 'now': '12/11/22(Sun)06:50:05', 'name': 'Anonymous', 'com': '<a href=""#p21326571"" class=""quotelink"">&gt;&gt;21326571</a><br>Great hg btw. Solid as a rock.', 'time': 1670759405, 'resto': 21326571}]",1670759405,,
8,21317578,12/03/22(Sat)22:41:38,Anonymous,This is shadiqs main squeeze??,317627646_875652620147862_7454061324913452951_n,.jpg,1638,2048,199,250,1670125298848878,1670125298,LbhDrIRGRnDgRnIlto1rFA==,115602,0,0,0,this-is-shadiqs-main-squeeze,4,53,11,48.0,10.0,"[{'no': 21327311, 'now': '12/08/22(Thu)19:57:33', 'name': 'Anonymous', 'com': '<a href=""#p21319285"" class=""quotelink"">&gt;&gt;21319285</a>', 'filename': 'victory', 'ext': '.png', 'w': 3257, 'h': 2400, 'tn_w': 125, 'tn_h': 92, 'tim': 1670547453550814, 'time': 1670547453, 'md5': '+T86Ins60zCD4zYy0u4gTw==', 'fsize': 3118583, 'resto': 21317578}, {'no': 21333653, 'now': '12/10/22(Sat)14:58:46', 'name': 'Anonymous', 'com': '<a href=""#p21317578"" class=""quotelink"">&gt;&gt;21317578</a><br>Yes.', 'time': 1670702326, 'resto': 21317578}, {'no': 21335567, 'now': '12/11/22(Sun)02:12:02', 'name': 'Anonymous', 'com': '<a href=""#p21327311"" class=""quotelink"">&gt;&gt;21327311</a><br>Is this official art?', 'time': 1670742722, 'resto': 21317578}, {'no': 21336012, 'now': '12/11/22(Sun)06:11:26', 'name': 'Anonymous', 'com': '<a href=""#p21335567"" class=""quotelink"">&gt;&gt;21335567</a><br>why would you think that.', 'time': 1670757086, 'resto': 21317578}, {'no': 21336069, 'now': '12/11/22(Sun)06:48:43', 'name': 'Anonymous', 'com': '<a href=""#p21335567"" class=""quotelink"">&gt;&gt;21335567</a><br>sure, tomino drew it himself', 'time': 1670759323, 'resto': 21317578}]",1670759323,,
9,21335402,12/11/22(Sun)01:01:09,Anonymous,The GiNN line was robbed of everything. the CE Zeonic clones were stupid and should have not existed.<br>This was the biggest fuck-up Fukuda did for the setting. Imagine if they continued past the GuAIZ for Destiny and never used the UC derivatives.,3fff2c57d54d741bf1835e48c7a5b3bf,.jpg,1024,1024,250,250,1670738469273814,1670738469,Gm91nPHLmq2vXifVwMWgow==,235551,0,0,0,the-ginn-line-was-robbed-of-everything-the-ce,4,15,5,10.0,3.0,"[{'no': 21335646, 'now': '12/11/22(Sun)02:44:31', 'name': 'Anonymous', 'com': '<a href=""#p21335632"" class=""quotelink"">&gt;&gt;21335632</a><br>It was originally just a SEED MSV design, but it did show up briefly in the compilation movies.', 'filename': 'Middle_1270986922', 'ext': '.jpg', 'w': 1000, 'h': 563, 'tn_w': 125, 'tn_h': 70, 'tim': 1670744671194017, 'time': 1670744671, 'md5': '2Ve+NO8K4hQqQ4PFSfs8HQ==', 'fsize': 119441, 'resto': 21335402}, {'no': 21335649, 'now': '12/11/22(Sun)02:45:45', 'name': 'Anonymous', 'com': 'With Durandal out, I wish ZAFT suits in the Clyne era were more like what they had before Gilbert. <br><br>I hope in the eventual movie, they revert back to the GiNN line.', 'time': 1670744745, 'resto': 21335402}, {'no': 21335979, 'now': '12/11/22(Sun)05:49:32', 'name': 'Anonymous', 'com': '<a href=""#p21335649"" class=""quotelink"">&gt;&gt;21335649</a><br><span class=""quote"">&gt;I hope in the eventual movie, they revert back to the GiNN line.</span><br>That minor infodump from a couple of months ago basically said &quot;nope we will never go back&quot; and doubled down by implying that they would introduce a gyan for the movie', 'time': 1670755772, 'resto': 21335402}, {'no': 21336005, 'now': '12/11/22(Sun)06:07:19', 'name': 'Anonymous', 'com': '<a href=""#p21335402"" class=""quotelink"">&gt;&gt;21335402</a><br>Yeah, DESTINY UC clones were trash compared to the og mecha in SEED.', 'filename': 'pg', 'ext': '.jpg', 'w': 1500, 'h': 917, 'tn_w': 125, 'tn_h': 76, 'tim': 1670756839730500, 'time': 1670756839, 'md5': 'lD+wkmVlr86YB0DA6OIeYQ==', 'fsize': 312294, 'resto': 21335402}, {'no': 21336066, 'now': '12/11/22(Sun)06:46:13', 'name': 'Anonymous', 'com': '<a href=""#p21335979"" class=""quotelink"">&gt;&gt;21335979</a><br><span class=""quote"">&gt;gyan</span><br>you mean the Guardian Yggdrasil Anti Nuetron-Jammer-Canceller MS.', 'time': 1670759173, 'resto': 21335402}]",1670759173,,
