,no,sticky,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,21339168,1.0,12/12/22(Mon)00:53:17,Anonymous,Mizuki Ichirou,R.I.P. Aniki<br>https://www.nikkansports.com/entert<wbr>ainment/news/202212120000531.html,1670823589210,.jpg,799,533,250,166,1670824397122707,1670824397,M37rGFfHGdGwnsHBnPNubg==,111186,0,mizuki-ichirou,4,349,62,348.0,62.0,"[{'no': 21340218, 'now': '12/12/22(Mon)07:11:57', 'name': 'Anonymous', 'com': 'I know <br><span class=""quote"">&gt;twitter</span><br>but I&#039;m glad that the entire anison industry and community has united to share their memories of Aniki and their condolences <br>search for アニキ', 'time': 1670847117, 'resto': 21339168}]",1670847117,,,
1,21337826,,12/11/22(Sun)18:05:22,Anonymous,/ssg/ - Super Sentai General #1236,"Previous Thread: <a href=""/m/thread/21330480#p21330480"" class=""quotelink"">&gt;&gt;21330480</a><br><br><span class=""quote"">&gt;Torrent:</span><br>https://nyaa.si<br><br><span class=""quote"">&gt;Donbrothers DDL (H.265 converts by Sheena-chan):</span><br>https://mega.nz/folder/FK4T0IJB#UHb<wbr>FP84BGSiJ9zXaR4NURg<br><span class=""quote"">&gt;MEGA pastebin</span><br>https://pastebin.com/z1NinKvg<br><span class=""quote"">&gt;Sentai Viewer</span><br>https://drive.google.com/drive/u/0/<wbr>folders/13dNMczf5-p8CNxxR8Pu1W2Umt8<wbr>NwP6BP<br><br><span class=""quote"">&gt;List of subbed series:</span><br>http://tokusubs.wikia.com/wiki/Toku<wbr>subs_Wiki<br><br><span class=""quote"">&gt;Super Hero Time OSTs:</span><br>https://mega.co.nz/#F!fddkkZiK!fau0<wbr>lSCNv0MedCNpS_Ihew<br><br><span class=""quote"">&gt;Super Sentai Monster Designs:</span><br><span class=""quote"">&gt;Gorenger - Zyuohger</span><br>https://mega.nz/#F!Mp8hVQ7K!tm2cp0d<wbr>9_GZiZdGaXt1nXw<br><br><span class=""quote"">&gt;TTFC Mega (Run by Ei. Bother him for requests)</span><br>https://mega.nz/#F!6I0XBAZY!dplkOqe<wbr>Ae1dtLkMlO56ejQ<br><br><span class=""quote"">&gt;DO NOT MAKE NEW GENERALS WHEN IT IMMEDIATELY REACHES BUMP LIMIT. WAIT TILL IT GETS TO PAGE 6 TO MAKE A NEW GENERAL!!!! MOD RULES!</span>",FjrQEyGaMAAxKn7,.jpg,1776,2048,216,250,1670799922695060,1670799922,cDvz2bM4eONF4nsIGpCbnQ==,1236961,0,ssg-super-sentai-general-1236,4,71,24,66.0,23.0,"[{'no': 21340140, 'now': '12/12/22(Mon)06:39:47', 'name': 'Anonymous', 'com': '<a href=""#p21339181"" class=""quotelink"">&gt;&gt;21339181</a><br><span class=""quote"">&gt;On April 25, 2021, it was announced Mizuki is suffering from partial vocal cord paralysis and will focus on recovering from it. In July 2022, Mizuki&#039;s management revealed he had been diagnosed with lung cancer that had spread to his lymph nodes and brain. He said he had surgery in June and is undergoing physical therapy and speech therapy. He said he is planning to hold a belated celebration of his 50 years in the music industry, and does not plan to retire.</span><br>Bad news but sadly not unexpected.', 'time': 1670845187, 'resto': 21337826}, {'no': 21340144, 'now': '12/12/22(Mon)06:41:08', 'name': 'Anonymous', 'com': '<a href=""#p21339702"" class=""quotelink"">&gt;&gt;21339702</a><br>The Virgin Abaranger vs. Gigachad AbareKiller', 'time': 1670845268, 'resto': 21337826}, {'no': 21340158, 'now': '12/12/22(Mon)06:48:11', 'name': 'Anonymous', 'com': '<a href=""#p21339702"" class=""quotelink"">&gt;&gt;21339702</a><br>Just further proof that he&#039;s the best character in all of Super Sentai', 'filename': 'hqdefault', 'ext': '.jpg', 'w': 480, 'h': 360, 'tn_w': 125, 'tn_h': 93, 'tim': 1670845691270945, 'time': 1670845691, 'md5': 'LcqoflCpGxgri8vF9g7OVQ==', 'fsize': 15073, 'resto': 21337826}, {'no': 21340173, 'now': '12/12/22(Mon)06:53:38', 'name': 'Anonymous', 'com': '<a href=""#p21339080"" class=""quotelink"">&gt;&gt;21339080</a><br><a href=""#p21338843"" class=""quotelink"">&gt;&gt;21338843</a><br>Holy shit you’re a fucking idiot', 'time': 1670846018, 'resto': 21337826}, {'no': 21340221, 'now': '12/12/22(Mon)07:14:54', 'name': 'Anonymous', 'com': 'Wonder what style of opening King-Ohger will get? Bombastic/triumphant like Ryusoulger/Kiramager/Zenkaiger or something more alternative like Donbrothers?', 'time': 1670847294, 'resto': 21337826}]",1670847294,0.0,0.0,
2,21323633,,12/06/22(Tue)21:59:27,Anonymous,Where&#039;s the fucking movie?!,"I&#039;ve been waiting almost 20 years to finally end this stupid shitshow, but they refuse to release and sub the last movie.",Eureka-Seven-Hi-Evolution-3-1200x720,.jpg,1200,720,250,150,1670381967488867,1670381967,ZkUDyNh23ynYexe/jT5lpA==,79831,0,wheres-the-fucking-movie,4,50,6,45.0,6.0,"[{'no': 21337734, 'now': '12/11/22(Sun)17:37:51', 'name': 'Anonymous', 'com': 'Dewey was merely removing an invasive species. Earth was so polluted most people had never even seen real nature and he was just cleaning it up. Environmentalism does not mean licking alien boot.', 'time': 1670798271, 'resto': 21323633}, {'no': 21338673, 'now': '12/11/22(Sun)22:30:39', 'name': 'Anonymous', 'com': '<a href=""#p21337518"" class=""quotelink"">&gt;&gt;21337518</a><br>Hell to the fuck no that was a mess', 'time': 1670815839, 'resto': 21323633}, {'no': 21338680, 'now': '12/11/22(Sun)22:31:37', 'name': 'Anonymous', 'com': '<a href=""#p21337674"" class=""quotelink"">&gt;&gt;21337674</a><br>Nirvash becoming sentiment and taking half of the scrub coral with it to another universe just so Renton and Eureka can have their happy ending.', 'time': 1670815897, 'resto': 21323633}, {'no': 21338714, 'now': '12/11/22(Sun)22:37:50', 'name': 'Anonymous', 'com': '<a href=""#p21323639"" class=""quotelink"">&gt;&gt;21323639</a><br>ah thats the trick. dont let scummy authors/creators/etc fool you into consuming something that not yet finished. thats how they kek you.', 'time': 1670816270, 'resto': 21323633}, {'no': 21340220, 'now': '12/12/22(Mon)07:14:35', 'name': 'Anonymous', 'com': '<a href=""#p21338680"" class=""quotelink"">&gt;&gt;21338680</a><br><span class=""quote"">&gt;Nirvash becoming sentiment</span><br>It moved on its own and refused to let Eureka pilot it beforehand.<br><br><span class=""quote"">&gt;taking half of the scrub coral with it to another universe just so Renton and Eureka can have their happy ending.</span><br>Its an abrupt &amp; convenient solution, but I&#039;m not sure what it clashes with.', 'time': 1670847275, 'resto': 21323633}]",1670847275,0.0,0.0,
3,21340131,,12/12/22(Mon)06:35:34,Anonymous,,"<span class=""quote"">&gt;Lol newtypes do not exist and are just a random genetic mutation.</span><br>Was D.O.M.E an asspull they made due to the show being cut short?",D O M E,.png,966,717,250,185,1670844934537701,1670844934,mXZbMC9xEacTkGmgbigO/g==,1267862,0,lol-newtypes-do-not-exist-and-are-just-a-random,4,7,0,2.0,0.0,"[{'no': 21340152, 'now': '12/12/22(Mon)06:44:13', 'name': 'Anonymous', 'com': '<a href=""#p21340131"" class=""quotelink"">&gt;&gt;21340131</a><br>Not really, I think DOME was always meant to be the endgame for X no matter the episode count.<br>I think this anon <a href=""#p21340135"" class=""quotelink"">&gt;&gt;21340135</a> is correct, X has one of the least indirect messages in the franchise', 'time': 1670845453, 'resto': 21340131}, {'no': 21340155, 'now': '12/12/22(Mon)06:45:45', 'name': 'Anonymous', 'com': '<a href=""#p21340135"" class=""quotelink"">&gt;&gt;21340135</a><br>kills me how most &quot;modern&quot; UC show forgot this and keep using newtype magic', 'time': 1670845545, 'resto': 21340131}, {'no': 21340194, 'now': '12/12/22(Mon)06:59:34', 'name': 'Anonymous', 'com': '<a href=""#p21340155"" class=""quotelink"">&gt;&gt;21340155</a><br>eh, yes and no. Narrative is as blatantly clear as possible that no, newtypes aren&#039;t going to save you. The entire plot is based on newtype powers being used the wrong way and people trying to exploit them.', 'time': 1670846374, 'resto': 21340131}, {'no': 21340198, 'now': '12/12/22(Mon)07:00:36', 'name': 'Anonymous', 'com': '<a href=""#p21340152"" class=""quotelink"">&gt;&gt;21340152</a><br><span class=""quote"">&gt;I think this anon <a href=""#p21340135"" class=""quotelink"">&gt;&gt;21340135</a> is correct, X has one of the least indirect messages in the franchise</span><br>He&#039;s pretty obviously correct. It doesn&#039;t even come out of nowhere if you&#039;re not a retard like OP and actually pay even the slightest bit of attention to what you watch. The entire conflict with the space faction was about them thinking spacenoids are newtypes in the sense of being the next stage of human evolution and then getting butthurt that a newtype in the sense of a person with psychic powers has emerged on earth.', 'time': 1670846436, 'resto': 21340131}, {'no': 21340213, 'now': '12/12/22(Mon)07:08:42', 'name': 'Anonymous', 'com': '<a href=""#p21340131"" class=""quotelink"">&gt;&gt;21340131</a><br>this is the case in UC as well', 'time': 1670846922, 'resto': 21340131}]",1670846922,0.0,0.0,
4,21339015,,12/12/22(Mon)00:03:14,Anonymous,Gunpla/Plamo General - /gpg/,"***READ THE GUIDE***<br><br>THE GUIDE: http://gunpla.buyfags.moe/<br><br>***READ THE GUIDE***<br><br>For those new to gunpla/plamo or even just new to this thread; please read the guide. Please read it before asking questions, as there is a chance it has already been answered there.<br><br>For those unfamiliar, &quot;plamo&quot; is a shortened form of &quot;plastic model&quot;. If it&#039;s made of plastic, someone can probably help you here!<br>If you&#039;re new, you&#039;re gonna fuck up. Don&#039;t worry! If you&#039;re experienced, don&#039;t make the new people worry!<br><br>And remember to report any shitposting and spam to keep the thread clean and civil.<br><br><span class=""quote"">&gt;Why won&#039;t anyone answer my question?</span><br>Try being specific, especially about your materials and process. Post images whenever possible; even if the kit/part looks bad, you are more likely to get help posting images.<br><br><span class=""quote"">&gt;Why are my pictures sideways?</span><br>4chan strips EXIF data from images when they&#039;re uploaded to the site from your phone, including the orientation display tag. To fix this, save your images separately, or use an app that will rotate and save the images for you.<br>One commonly used app that works well on Android:<br>https://play.google.com/store/apps/<wbr>details?id=com.simplemobilephotores<wbr>izer<br><br>Links:<br><span class=""quote"">&gt;A guide to other types of plamo:</span><br>http://www.mediafire.com/view/1vf1a<wbr>w7v91pz5pa/Airfix%20Model%20World%2<wbr>0Specia%20-By-Step<br><span class=""quote"">&gt;Kawaguchi gunpla tips:</span><br>https://www.youtube.com/playlist?li<wbr>st=PLJV1h9xQ7Hx-SoCOivVEHNDOl16VWLB<wbr>3A<br><span class=""quote"">&gt;Gundam lineart:</span><br>https://imgur.com/user/Gundaml1near<wbr>t/submitted<br><span class=""quote"">&gt;Funaka&#039;s gunpla guides:</span><br>Building Gunpla: https://files.catbox.moe/fj5azc.pdf<wbr><br>Scratchbuilding: https://files.catbox.moe/2d9ppa.pdf<wbr><br><span class=""quote"">&gt;Falldog&#039;s gunpla guide:</span><br>http://otakurevolution.com/content/<wbr>laymans-gunpla-guide<br><span class=""quote"">&gt;Saintism&#039;s gunpla photography guide:</span><br>https://www.saint-ism.com/category/<wbr>gunpla/photography/<br><br>Monthly restock:<br>(Temporarily discontinued by Bandai to discourage scalping)<br><br>Past Groupbuilds:<br>https://imgur.com/user/mechagroupbu<wbr>ild/posts<br><br>IRC:<br><span class=""quote"">&gt;Server/Channel</span><br>Rizon/#gunpla<br><br>Previous thread: <a href=""/m/thread/21329469#p21329469"" class=""quotelink"">&gt;&gt;21329469</a>",crimson shading,.jpg,3676,1464,250,99,1670821394895812,1670821394,3Id2ApatSxc5J5/nv2C4Rw==,2711829,0,gunplaplamo-general-gpg,4,75,21,70.0,20.0,"[{'no': 21340178, 'now': '12/12/22(Mon)06:55:18', 'name': 'Anonymous', 'com': '<a href=""#p21340170"" class=""quotelink"">&gt;&gt;21340170</a><br>then snort it', 'time': 1670846118, 'resto': 21339015}, {'no': 21340183, 'now': '12/12/22(Mon)06:56:43', 'name': 'Anonymous', 'com': '<a href=""#p21340178"" class=""quotelink"">&gt;&gt;21340178</a><br>twist it', 'time': 1670846203, 'resto': 21339015}, {'no': 21340186, 'now': '12/12/22(Mon)06:57:08', 'name': 'Anonymous', 'com': '<a href=""#p21340183"" class=""quotelink"">&gt;&gt;21340183</a><br>bop it', 'time': 1670846228, 'resto': 21339015}, {'no': 21340203, 'now': '12/12/22(Mon)07:03:25', 'name': 'Anonymous', 'com': '<a href=""#p21339210"" class=""quotelink"">&gt;&gt;21339210</a><br>that&#039;s my pics and i have no fucking idea, i asked the same thing last thread <a href=""/m/thread/21329469#p21336554"" class=""quotelink"">&gt;&gt;21336554</a><br>it literally doesn&#039;t make sense with the design. the official explanation doesn&#039;t work, the spike can&#039;t even retract because there&#039;s bullets/charges in the way. whatever retard designed this guy just slapped something together that looked cool and didn&#039;t actually think about how it would work', 'time': 1670846605, 'resto': 21339015}, {'no': 21340210, 'now': '12/12/22(Mon)07:05:51', 'name': 'Anonymous', 'com': '<a href=""#p21339658"" class=""quotelink"">&gt;&gt;21339658</a><br><span class=""quote"">&gt;MAR 2023 Pre order THE WITCH FROM MERCURY NEW ITEM A (Tentative)</span><br>It&#039;s priced the same as the Lfrith Ur, Daribalde, Pharact, ie the most expensive MS kits from WFM and more than the Aerial and the prologue kits.<br>So it&#039;s probably not a new Aerial but it&#039;s definitely an important MS with lots of gimmicks or a large frame if it&#039;s max price and being kept under wraps for the final episodes.', 'filename': 'wfm', 'ext': '.png', 'w': 1593, 'h': 1761, 'tn_w': 113, 'tn_h': 125, 'tim': 1670846751093396, 'time': 1670846751, 'md5': '6Ku8+tWOzymx6slyLN/sCQ==', 'fsize': 2231331, 'resto': 21339015}]",1670846751,0.0,0.0,
5,21293073,,11/21/22(Mon)18:46:19,Anonymous,Mecha TCGs,"Let&#039;s have another one of these, cool stuff always pops up.<br><br>Picrel, Gothicmade at home",1642299960133,.png,744,1039,179,250,1669074379803821,1669074379,l1+dfWOsaJc3RTS/1wLtyw==,1146309,0,mecha-tcgs,4,118,48,113.0,46.0,"[{'no': 21338250, 'now': '12/11/22(Sun)20:37:54', 'name': 'Anonymous', 'com': '<a href=""#p21303586"" class=""quotelink"">&gt;&gt;21303586</a><br>I too remember dead tcgs. <br>Too bad the deck isnt good and easily circumvented.', 'filename': 'file', 'ext': '.png', 'w': 600, 'h': 768, 'tn_w': 97, 'tn_h': 125, 'tim': 1670809074708078, 'time': 1670809074, 'md5': 'QH4uAApzTjAtW2vqxeHO4A==', 'fsize': 1149481, 'resto': 21293073}, {'no': 21338463, 'now': '12/11/22(Sun)21:43:35', 'name': 'Anonymous', 'com': '<a href=""#p21293073"" class=""quotelink"">&gt;&gt;21293073</a><br>is online ccg and not tcg but this shit is basically exodia', 'filename': 'MECHAZ0R', 'ext': '.gif', 'w': 80, 'h': 80, 'tn_w': 80, 'tn_h': 80, 'tim': 1670813015790917, 'time': 1670813015, 'md5': 'fZlF0wH6D/ChTLsbE6eYyg==', 'fsize': 5280, 'resto': 21293073}, {'no': 21339068, 'now': '12/12/22(Mon)00:21:36', 'name': 'Anonymous', 'com': '<a href=""#p21298516"" class=""quotelink"">&gt;&gt;21298516</a><br>Yes', 'time': 1670822496, 'resto': 21293073}, {'no': 21340141, 'now': '12/12/22(Mon)06:40:36', 'name': 'Anonymous', 'com': '<a href=""#p21338119"" class=""quotelink"">&gt;&gt;21338119</a><br><span class=""quote"">&gt;Scars block</span><br><span class=""quote"">&gt;low point</span><br>Thems fighting words', 'time': 1670845236, 'resto': 21293073}, {'no': 21340205, 'now': '12/12/22(Mon)07:03:58', 'name': 'Anonymous', 'com': '<a href=""#p21338463"" class=""quotelink"">&gt;&gt;21338463</a><br>Didn&#039;t that game die ages ago?', 'time': 1670846638, 'resto': 21293073}]",1670846638,0.0,0.0,
6,21335728,,12/11/22(Sun)03:22:11,Anonymous,,"This thing is filtering me in the exact same way the original did.<br><span class=""quote"">&gt;fights take shitload of time because of slow animations and huge maps</span><br><span class=""quote"">&gt;map models don&#039;t show equipped weapons so you constantly have to recheck which enemy uses what</span><br><span class=""quote"">&gt;everything misses half of the time, if it&#039;s not SMG</span><br><span class=""quote"">&gt;SMGs also miss half of the time anyway</span><br><span class=""quote"">&gt;shop menu is pain in the ass, as you can only fiddle with the stuff you own in separate menu</span><br>Like I didn&#039;t expect to be completely new game, but at least to have quality of life improvements FM3 had, like good shop menu, and faster combat.<br>And yes I&#039;m playing Modern Mode, and it&#039;s still too slow for my ADHD.<br>I guess SRW eroded my brain and I&#039;m completely incapable of playing -hardcore- TRPGs.<br>Also I can&#039;t find model viewer to artistically turn around and adore my mechs up cloes, did they not make it?",frontmission1stremake-button-1644454671817,.jpg,1000,1000,250,250,1670746931049202,1670746931,WO1+7jKpJeN1gaaW7kLfBA==,179686,0,this-thing-is-filtering-me-in-the-exact-same-way,4,29,1,24.0,1.0,"[{'no': 21338764, 'now': '12/11/22(Sun)22:52:08', 'name': 'Anonymous', 'com': 'Oh good a Front Mission 1st thread, I&#039;ve been looking for this one secret weapon in Mission 27 at the docks and even with this guide from the early 2010s I just can&#039;t seem to find the proper magic square where its hiding at. Any have any luck with that? No skin off my nose if you can&#039;t I&#039;m over it and just went on and now on New Game+<br><a href=""#p21336647"" class=""quotelink"">&gt;&gt;21336647</a><br><a href=""#p21336652"" class=""quotelink"">&gt;&gt;21336652</a><br>Wait hold on, Burst Fire&#039;s shit in this game? I thought they were pretty good actually, ESPECIALLY if you get Speed skills.<br>The final gatling gun you get plus Speed 3 just mulches bad guys.', 'time': 1670817128, 'resto': 21335728}, {'no': 21338988, 'now': '12/11/22(Sun)23:54:51', 'name': 'Anonymous', 'com': '<a href=""#p21338764"" class=""quotelink"">&gt;&gt;21338764</a><br>Nah, supposedly SMGs with more but weaker bullets per attack just shred everything.', 'time': 1670820891, 'resto': 21335728}, {'no': 21339056, 'now': '12/12/22(Mon)00:16:11', 'name': 'Anonymous', 'com': 'I&#039;ve been reading up on this remake and it seems kinda.. lacking? Would i be better off just setting up the original and playing that and just forget about the remake?', 'time': 1670822171, 'resto': 21335728}, {'no': 21339288, 'now': '12/12/22(Mon)01:23:45', 'name': 'Anonymous', 'com': '<a href=""#p21338988"" class=""quotelink"">&gt;&gt;21338988</a><br>Only at very high, nearly capped levels. Nothing wrong with carrying a 5 shot along with a 3/4 shot until then.<br><a href=""#p21339056"" class=""quotelink"">&gt;&gt;21339056</a><br>Play the DS version.', 'time': 1670826225, 'resto': 21335728}, {'no': 21340197, 'now': '12/12/22(Mon)07:00:29', 'name': 'Anonymous', 'com': '<a href=""#p21339056"" class=""quotelink"">&gt;&gt;21339056</a><br>If by original you mean the PS1 or DS versions, they&#039;re kinda sorta interchangeable other than 1stRe having a Modern mode that tweaks some of the presentation, such as Wanzers skating any distance greater than 2 tiles rather than just marching to their destination. <br><br>It&#039;s very HD Remaster, if that makes sense.', 'time': 1670846429, 'resto': 21335728}]",1670846429,0.0,0.0,
7,21308762,,11/29/22(Tue)05:45:58,Anonymous,favorite grunt mobile suit variant,me like battle damaged ones,1648584255387,.gif,500,375,250,187,1669718758331999,1669718758,ESvdEtG5oKpMO8CTMXNKsQ==,1003971,0,favorite-grunt-mobile-suit-variant,4,20,13,15.0,10.0,"[{'no': 21325161, 'now': '12/07/22(Wed)17:22:02', 'name': 'Anonymous', 'com': '<a href=""#p21308762"" class=""quotelink"">&gt;&gt;21308762</a><br><span class=""quote"">&gt;Ram into you at mach 4</span><br><span class=""quote"">&gt;Proceed to burn you to death</span><br>nothing personal', 'filename': 'Daughtresshm-BCPCtTS', 'ext': '.png', 'w': 1440, 'h': 1080, 'tn_w': 125, 'tn_h': 93, 'tim': 1670451722374635, 'time': 1670451722, 'md5': 'g0jsLKdUKVc0lPtvS6ZJDw==', 'fsize': 1335418, 'resto': 21308762}, {'no': 21325460, 'now': '12/07/22(Wed)20:58:16', 'name': 'Anonymous', 'com': '<a href=""#p21325161"" class=""quotelink"">&gt;&gt;21325161</a><br><br>The Daughtress is such a fun &#039;Evil GM&#039; design', 'time': 1670464696, 'resto': 21308762}, {'no': 21332811, 'now': '12/10/22(Sat)06:00:19', 'name': 'Anonymous', 'filename': '7ac0f7d77bc74e0e4fbea165a3cf936a', 'ext': '.jpg', 'w': 1000, 'h': 667, 'tn_w': 125, 'tn_h': 83, 'tim': 1670670019108431, 'time': 1670670019, 'md5': 'esD313vHTg5PvqFlo8+Tag==', 'fsize': 156200, 'resto': 21308762}, {'no': 21332814, 'now': '12/10/22(Sat)06:01:57', 'name': 'Anonymous', 'com': '<a href=""#p21324439"" class=""quotelink"">&gt;&gt;21324439</a><br>It&#039;s just the way they translated &quot;Kai&quot;.', 'time': 1670670117, 'resto': 21308762}, {'no': 21340196, 'now': '12/12/22(Mon)07:00:21', 'name': 'Anonymous', 'filename': '1468436443674[1]', 'ext': '.jpg', 'w': 2655, 'h': 744, 'tn_w': 125, 'tn_h': 35, 'tim': 1670846421812799, 'time': 1670846421, 'md5': 'XgpUlYfi7nalmdXmqj7nNA==', 'fsize': 1145976, 'resto': 21308762}]",1670846421,0.0,0.0,
8,21284124,,11/18/22(Fri)12:32:55,Anonymous,,Mechs with big cannons are pure sex,Cannons,.jpg,2322,1324,250,142,1668792775581512,1668792775,h5fXp5rlxzgISdwAyCE7pA==,594430,0,mechs-with-big-cannons-are-pure-sex,4,52,39,47.0,34.0,"[{'no': 21323030, 'now': '12/06/22(Tue)15:50:53', 'name': 'Anonymous', 'filename': '1259', 'ext': '.jpg', 'w': 717, 'h': 956, 'tn_w': 93, 'tn_h': 125, 'tim': 1670359853364531, 'time': 1670359853, 'md5': 'AWSFUULgzoTA40pfLL3yMQ==', 'fsize': 82630, 'resto': 21284124}, {'no': 21323979, 'now': '12/07/22(Wed)01:02:17', 'name': 'Anonymous', 'filename': 'Assault-buster-Victory_48', 'ext': '.jpg', 'w': 1199, 'h': 1219, 'tn_w': 122, 'tn_h': 125, 'tim': 1670392937230056, 'time': 1670392937, 'md5': '82VkY5JKScTka4wCuPR9GQ==', 'fsize': 293316, 'resto': 21284124}, {'no': 21324020, 'now': '12/07/22(Wed)01:27:01', 'name': 'Anonymous', 'filename': '09_by_eagle_lw-d865ktv', 'ext': '.png', 'w': 2458, 'h': 1258, 'tn_w': 125, 'tn_h': 63, 'tim': 1670394421462312, 'time': 1670394421, 'md5': 'G2yYHxesRL1xeLegVF33ag==', 'fsize': 3019191, 'resto': 21284124}, {'no': 21332808, 'now': '12/10/22(Sat)05:57:43', 'name': 'Anonymous', 'filename': '1bf77226773bd2e6a4457a0d55790c6e', 'ext': '.jpg', 'w': 933, 'h': 1320, 'tn_w': 88, 'tn_h': 125, 'tim': 1670669863141627, 'time': 1670669863, 'md5': 'hb0T738OZHg6xyMC0EuA6g==', 'fsize': 168769, 'resto': 21284124}, {'no': 21340190, 'now': '12/12/22(Mon)06:57:41', 'name': 'Anonymous', 'filename': '1406345860915[1]', 'ext': '.webm', 'w': 704, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670846261207556, 'time': 1670846261, 'md5': '1Cze8Lv7gVXDeDb0blsIBQ==', 'fsize': 2156886, 'resto': 21284124}]",1670846261,0.0,0.0,
9,21338129,,12/11/22(Sun)19:52:15,Anonymous,[Over-Time] Avataro Sentai Donbrothers - 40,https://nyaa.si/view/1612943,pZROfNs,.jpg,960,540,250,140,1670806335551682,1670806335,iPo3tmNiHrNH2DDGcZ+V6w==,250629,0,overtime-avataro-sentai-donbrothers-40,4,36,9,31.0,8.0,"[{'no': 21339710, 'now': '12/12/22(Mon)03:15:52', 'name': 'Anonymous', 'com': '<a href=""#p21339683"" class=""quotelink"">&gt;&gt;21339683</a><br>Oh, he’s Gamel from OOO, that’s cool to know. He was the funniest villain in that season so it checks out', 'filename': '26DFC2F7-25C3-45F7-AC84-D6E637C31386', 'ext': '.png', 'w': 828, 'h': 1792, 'tn_w': 57, 'tn_h': 125, 'tim': 1670832952186957, 'time': 1670832952, 'md5': 'uh6yac5UXdsGSrmwARvWhQ==', 'fsize': 2507876, 'resto': 21338129}, {'no': 21339895, 'now': '12/12/22(Mon)04:18:13', 'name': 'Anonymous', 'com': '<a href=""#p21339051"" class=""quotelink"">&gt;&gt;21339051</a><br>Perfect thighs', 'time': 1670836693, 'resto': 21338129}, {'no': 21340150, 'now': '12/12/22(Mon)06:43:35', 'name': 'Anonymous', 'com': '<a href=""#p21339644"" class=""quotelink"">&gt;&gt;21339644</a><br>The KR side of the group hasn&#039;t wanted to sub KR for a couple years. As of now it&#039;s basically a Sentai subbing group as the Sentai side is still kicking.', 'time': 1670845415, 'resto': 21338129}, {'no': 21340161, 'now': '12/12/22(Mon)06:48:40', 'name': 'Anonymous', 'com': 'Sooo, Tsubasa trying to kill Miho will be the trigger for Tsuyoshi&#039;s third Hitotsuki, right?', 'time': 1670845720, 'resto': 21338129}, {'no': 21340185, 'now': '12/12/22(Mon)06:57:04', 'name': 'Anonymous', 'com': '<a href=""#p21340161"" class=""quotelink"">&gt;&gt;21340161</a><br><span class=""quote"">&gt;trying to</span><br>You don’t think this development will cause and endless cycle of spite and revenge killing?<br>I guess not since it’s still a kids show…', 'time': 1670846224, 'resto': 21338129}]",1670846224,0.0,0.0,
