,no,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,trip
0,1872728,12/01/22(Thu)21:20:17,Anonymous,/BQG/ bike questions general,"RIP David Rebellin<br>See you in Roadie Valhalla, Kang<br><br>parktool: https://www.youtube.com/@parktool<br>based mustache man: https://www.youtube.com/@RJTheBikeG<wbr>uy",BQG RIP KANG edition,.jpg,620,426,249,171,1669947617712018,1669947617,2AsrZzhvHEVLqgvDB8Tx3g==,116887,0,0,0,bqg-bike-questions-general,188,30,183.0,29.0,"[{'no': 1874539, 'now': '12/10/22(Sat)04:01:27', 'name': 'Anonymous', 'com': 'How hard would it be to convert from 2 to a triple ring? I feel like it makes more sense to have 30 in front than in the back, however I also feel it would demand a new fd and sti, right?', 'filename': 'shi_ult_cranktriple_10_m', 'ext': '.jpg', 'w': 360, 'h': 323, 'tn_w': 125, 'tn_h': 112, 'tim': 1670662887771584, 'time': 1670662887, 'md5': 'zvGyHhEUSBOSMR5Fx1J80w==', 'fsize': 24083, 'resto': 1872728}, {'no': 1874542, 'now': '12/10/22(Sat)04:46:49', 'name': 'Anonymous', 'com': '<a href=""#p1874539"" class=""quotelink"">&gt;&gt;1874539</a><br><span class=""quote"">&gt;it would demand a new fd and sti, right?</span><br>yes', 'time': 1670665609, 'resto': 1872728}, {'no': 1874547, 'now': '12/10/22(Sat)05:23:30', 'name': 'Anonymous', 'com': '<a href=""#p1874539"" class=""quotelink"">&gt;&gt;1874539</a><br>it really depends. post your bike', 'time': 1670667810, 'resto': 1872728}, {'no': 1874559, 'now': '12/10/22(Sat)07:09:56', 'name': 'Anonymous', 'com': '<a href=""#p1874539"" class=""quotelink"">&gt;&gt;1874539</a><br><span class=""quote"">&gt;switching to triple just because you don&#039;t want a cassette with a 30t cog</span><br>wtf', 'time': 1670674196, 'resto': 1872728}, {'no': 1874560, 'now': '12/10/22(Sat)07:12:26', 'name': 'Anonymous', 'com': '<a href=""#p1874559"" class=""quotelink"">&gt;&gt;1874559</a><br>tight cassette + triple can be based if you have campy or a friction front shifter.', 'time': 1670674346, 'resto': 1872728}]",1670674346,
1,1870894,11/24/22(Thu)00:08:20,Anonymous,,Why are underground metros much more common than elevated solutions like monorails?,1658992163352,.jpg,736,568,250,192,1669266500964895,1669266500,Rrd1jFD/5M4220neReNZgg==,100088,0,0,0,why-are-underground-metros-much-more-common-than,48,13,43.0,10.0,"[{'no': 1872384, 'now': '11/30/22(Wed)01:17:35', 'name': 'Anonymous', 'com': '<a href=""#p1870894"" class=""quotelink"">&gt;&gt;1870894</a><br><br>Most of my local metro actually runs above ground. It&#039;s mainly the Downtown Oakland, Berkeley, and North/Downtown San Francisco sections that run underground. The rest is either elevated track or even at ground level. The entirety of the new eBART and Oakland Airport Connector lines run above ground.', 'filename': 'BART Oakland Airport', 'ext': '.jpg', 'w': 1280, 'h': 960, 'tn_w': 125, 'tn_h': 93, 'tim': 1669789055474350, 'time': 1669789055, 'md5': '6dEa7Ok5ugsvp5gnP8MzFg==', 'fsize': 162056, 'resto': 1870894}, {'no': 1872407, 'now': '11/30/22(Wed)04:36:44', 'name': 'Anonymous', 'com': '<a href=""#p1870894"" class=""quotelink"">&gt;&gt;1870894</a><br><span class=""quote"">&gt;Why are underground metros much more common than elevated solutions like monorails?</span><br><span class=""quote"">&gt;visually intrusive</span><br><span class=""quote"">&gt;probably not particularly cheaper to maintain than tunnels</span><br><span class=""quote"">&gt;requires costly above ground space, especially stations</span><br><span class=""quote"">&gt;especially monorails are fairly expensive</span><br><span class=""quote"">&gt;not all metros even run primarily underground, many systems run to a significant amount above ground, especially outside of the downtown areas</span><br><a href=""#p1870936"" class=""quotelink"">&gt;&gt;1870936</a><br><span class=""quote"">&gt;You still see Metros being built elevated precisely to save costs, often outside the inner cities.</span><br>Elevated in which way? Just running overground like the Berlin or Hamburg S-Bahn or outright elevated on viaducts?<br><a href=""#p1872277"" class=""quotelink"">&gt;&gt;1872277</a><br>Varies drastically by city and the size of it.<br>It can be generally there is at least in the bigger cities somewhat of a push to reduce the amount of cars and improve public transit and cycling infrastructure, how effective these measures are tough is completely different question.<br>Also, at least here in Germany, even though there still remains a lot to be done, I feel the amount of grey- and griminess has generally gone down a bit.', 'time': 1669801004, 'resto': 1870894}, {'no': 1872470, 'now': '11/30/22(Wed)14:32:15', 'name': 'Anonymous', 'com': '<a href=""#p1870894"" class=""quotelink"">&gt;&gt;1870894</a><br><span class=""quote"">&gt;City has to spend a bunch of money on aquiring land in expensive urban cores</span><br><span class=""quote"">&gt;Has to be maintained frequently to deal with the effects of weather</span><br><span class=""quote"">&gt;Creates shady overpasses where trash and homeless people accumulate</span><br><span class=""quote"">&gt;Noisy</span><br><span class=""quote"">&gt;More prone vandalism than underground tunnels</span><br><span class=""quote"">&gt;Ruins people&#039;s views of the city</span><br>There are situations where elevated trains are better than monorails, but most of the time building underground is better.', 'time': 1669836735, 'resto': 1870894}, {'no': 1872476, 'now': '11/30/22(Wed)15:24:55', 'name': 'Anonymous', 'com': '<a href=""#p1871492"" class=""quotelink"">&gt;&gt;1871492</a><br>it&#039;s peak fin de siècle industrial art ,flying trains from the era of silent movies are of course silent <br>https://www.youtube.com/watch?v=EQs<wbr>5VxNPhzk&amp;t=0s', 'filename': 'kaiserwagen_03', 'ext': '.jpg', 'w': 3592, 'h': 2575, 'tn_w': 125, 'tn_h': 89, 'tim': 1669839895539904, 'time': 1669839895, 'md5': 'HGp3ic7cCuwz+3uqDwWUlg==', 'fsize': 1395283, 'resto': 1870894}, {'no': 1874558, 'now': '12/10/22(Sat)06:54:27', 'name': 'Anonymous', 'com': 'In Warsaw there was a proposal to put metro in the suburbs on elevated track but was rejected one of the reason give was that train wagons dont have proper heating. Everything is in either deep or shallow tunnel.<br>pic related is a metro station in warsaw in the middle of single family suburb', 'filename': 'm_zacisze', 'ext': '.png', 'w': 2479, 'h': 3504, 'tn_w': 88, 'tn_h': 125, 'tim': 1670673267159180, 'time': 1670673267, 'md5': 'xGdCEhm0vJiOV3Vnuwt4wg==', 'fsize': 1048976, 'resto': 1870894}]",1670673267,
2,1874341,12/09/22(Fri)00:51:51,Anonymous,,"Am I the asshole for not following these posh unenforceable SUGGESTIONS? I like to commute to work on my bike. Unfortunately, my fat bike was stolen so I only got a 27.5 x 2.6 to use for snow. To be frank, I don&#039;t really care if I leave ruts and ruin some boomer skier&#039;s trail experience. Goofy gangly limbed bastards act like they&#039;re the king of the trail.",fat-bike-tire-pressure,.jpg,727,960,189,250,1670565111532753,1670565111,s83nPcgz62J0cL2vrjuxRw==,129673,0,0,0,am-i-the-asshole-for-not-following-these-posh,21,1,16.0,0.0,"[{'no': 1874536, 'now': '12/10/22(Sat)02:29:07', 'name': 'Anonymous', 'com': '<a href=""#p1874534"" class=""quotelink"">&gt;&gt;1874534</a><br>If the trail is getting tread upon BEFORE grooming happens then those are not the “snow trails” that fat bikes are necessary on (and I agree shouldn’t be locked into a tire width, but there are REAL snow trails that are fatbike-rideable when clean, but completely unrideable when sloppy, modest and reasonable regulation is a good thing). I’m not exaggerating when I say that fatbike-ideal conditions will stop a mtb tire dead in its tracks<br>You ever seen a well-used snowshoeing trail? Or even XC ski trails are completely different than a used multi-use path on winter', 'time': 1670657347, 'resto': 1874341}, {'no': 1874538, 'now': '12/10/22(Sat)02:53:02', 'name': 'Anonymous', 'com': '<a href=""#p1874536"" class=""quotelink"">&gt;&gt;1874536</a><br><span class=""quote"">&gt; I’m not exaggerating when I say that fatbike ideal conditions will stop a mtb tire</span><br><br>I mean this isn&#039;t doubted (by me at least). It&#039;s the reason I owned a fatbike.', 'time': 1670658782, 'resto': 1874341}, {'no': 1874544, 'now': '12/10/22(Sat)05:03:11', 'name': 'Anonymous', 'com': '<a href=""#p1874536"" class=""quotelink"">&gt;&gt;1874536</a><br><a href=""#p1874538"" class=""quotelink"">&gt;&gt;1874538</a><br><span class=""quote"">&gt;I’m not exaggerating when I say that fatbike-ideal conditions will stop a mtb tire dead in its tracks</span><br>It&#039;s very much doubted by me. I absolutely think you&#039;re exaggerating.<br><br>Just the other day I cut across the meadows after a pretty decent snowfall. That was pretty much on the limit of what me and my fatbike could do. A regular mtb would not have been able to do it and I did manage it without setting a foot down, but it&#039;s only a few hundred meters and I was exhausted when I made it across. Not feasible do ride for any significant distance. And I lost time compared to if I had just gone around on the trodden footpath.<br>IDEAL fatbike conditions are negotiable by a regular mtb.', 'time': 1670666591, 'resto': 1874341}, {'no': 1874549, 'now': '12/10/22(Sat)05:48:00', 'name': 'Anonymous', 'com': '<a href=""#p1874544"" class=""quotelink"">&gt;&gt;1874544</a><br>If it’s manageable on a mountain bike then it’s not ideal for a fatbike. Fatbikes are bad at everything, the only thing they’re “ideal” in is when they’re the only option', 'filename': '511F0A6B-54A3-41F0-9290-72289C9238E4', 'ext': '.jpg', 'w': 1280, 'h': 1280, 'tn_w': 125, 'tn_h': 125, 'tim': 1670669280564834, 'time': 1670669280, 'md5': 'c77LGs6+8ngdgdb+UN9i+w==', 'fsize': 602769, 'resto': 1874341}, {'no': 1874557, 'now': '12/10/22(Sat)06:41:25', 'name': 'Anonymous', 'com': '<a href=""#p1874549"" class=""quotelink"">&gt;&gt;1874549</a><br>That&#039;s bullshot. There&#039;s a small margin of conditions that&#039;s doable on a regular mtb but better on a fatbike. You pic looks like a good example of that. When you&#039;re into territory that will stop an mtb dead in its tracks you&#039;re already past ideal fatbike conditions and are probably better off walking.', 'time': 1670672485, 'resto': 1874341}]",1670672485,
3,1865286,11/04/22(Fri)07:27:42,Anonymous,Boomer fragility,"Imagine being such a fragile snowflake that you get triggered by pic related.<br>I mean you can argue whether blocking traffic is a viable form of raising awareness for climate change or whether it hurts the movement more than it helps.<br>But the fact remains boomers are absolutely foaming from their mouths over this. It&#039;s friggin hilarious. They literally feel their entire worldview and way of life being threatened by a bunch of zoomers causing a minor traffic inconvenience. People are already calling them terrorists in my country and demand years-long prison sentences, it&#039;s unreal. <br>Never again let a boomer tell you how you kids are so fragile and sensitive and shit. Just show them pic related and watch them sperg out like crazy. Like, how can you flip your shit so hard over such a non-issue? Literal &quot;stare rape&quot; levels of fragility. &gt;nnnoooo I&#039;ll be late for work this is literal terrorism I&#039;m so sorry Mr Shekelstein<br>Great fun.",1667551180530961,.jpg,1024,683,250,166,1667561262150229,1667561262,BTVgGcsGi9i1R5JR7uNoDQ==,133458,0,0,0,boomer-fragility,246,21,241.0,21.0,"[{'no': 1873312, 'now': '12/04/22(Sun)12:42:31', 'name': 'Anonymous', 'com': '<a href=""#p1873272"" class=""quotelink"">&gt;&gt;1873272</a><br>Its probably the type of uncaring person that is naturally drawn to cages.', 'time': 1670175751, 'resto': 1865286}, {'no': 1873320, 'now': '12/04/22(Sun)13:10:11', 'name': 'Anonymous', 'com': '<a href=""#p1873279"" class=""quotelink"">&gt;&gt;1873279</a><br><span class=""quote"">&gt;as long as you&#039;re cool with violence against you for touching other people with your cage</span><br>It&#039;s already illegal for me to hit you with my car your fucking retard.', 'time': 1670177411, 'resto': 1865286}, {'no': 1873323, 'now': '12/04/22(Sun)13:14:03', 'name': 'Anonymous', 'com': '<a href=""#p1873296"" class=""quotelink"">&gt;&gt;1873296</a><br><span class=""quote"">&gt;Because all I ever see you saying is &quot;the driver is the real victim here&quot; after a news piece about some idiot who ran down a bunch of people and killed them</span><br>What the fuck are you talking about?<br>Who the fuck says &quot;the driver is the real victim&quot; after a reckless driver kills people?<br><br>Are you talking about people who want to use their cars to run you over when you hold them hostage by blocking them in with your bodies? Do you genuinely not see how that&#039;s different from a car randomly plowing through pedestrians at a crosswalk?', 'time': 1670177643, 'resto': 1865286}, {'no': 1873324, 'now': '12/04/22(Sun)13:14:57', 'name': 'Anonymous', 'com': '<a href=""#p1873299"" class=""quotelink"">&gt;&gt;1873299</a><br>Get out of the way. Why is that so hard? I don&#039;t even have a car. I think they&#039;re fucking gay. But don&#039;t get in someone&#039;s way.', 'time': 1670177697, 'resto': 1865286}, {'no': 1874556, 'now': '12/10/22(Sat)06:40:30', 'name': 'Anonymous', 'com': '<a href=""#p1872840"" class=""quotelink"">&gt;&gt;1872840</a><br>So they&#039;re correct?', 'time': 1670672430, 'resto': 1865286}]",1670672430,
4,1874441,12/09/22(Fri)11:20:32,Anonymous,,Did any of you ever fly in a 747? What was it like? Did you get to check out the upstairs lounge or was that long gone?,file,.png,1000,655,250,163,1670602832376614,1670602832,nW29cEXG0IcZHde7QJxi1g==,606250,0,0,0,did-any-of-you-ever-fly-in-a-747-what-was-it-like,12,5,7.0,2.0,"[{'no': 1874509, 'now': '12/09/22(Fri)20:39:05', 'name': 'Anonymous', 'com': 'I can&#039;t fly they will sabotage any plane I go on so it would crash they want me dead', 'time': 1670636345, 'resto': 1874441}, {'no': 1874520, 'now': '12/09/22(Fri)22:23:08', 'name': 'Anonymous', 'com': 'For a minute I worked at Baltimore-Washington International airport as a cabin cleaner. One of the planes we had come in was a Jumbo from Atlas. It was for transporting troops. I quit because the other workers made fun of me and I couldn&#039;t clean fast enough.', 'filename': 'image (1)', 'ext': '.jpg', 'w': 1600, 'h': 900, 'tn_w': 125, 'tn_h': 70, 'tim': 1670642588311192, 'time': 1670642588, 'md5': 'tGT0hujUVV9yWmmu5fO57A==', 'fsize': 163728, 'resto': 1874441}, {'no': 1874521, 'now': '12/09/22(Fri)22:25:39', 'name': 'Anonymous', 'com': '<a href=""#p1874520"" class=""quotelink"">&gt;&gt;1874520</a><br>I can&#039;t find any of my pictures from the google photos from my old phone. They didn&#039;t back up, I guess.', 'filename': 'maxresdefault (7)', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670642739880933, 'time': 1670642739, 'md5': 'RpjsN1SFEQYJa9mSjCXFug==', 'fsize': 52850, 'resto': 1874441}, {'no': 1874543, 'now': '12/10/22(Sat)05:02:16', 'name': 'Anonymous', 'com': '<a href=""#p1874465"" class=""quotelink"">&gt;&gt;1874465</a><br>Have you ever been in a Turkish prison?', 'filename': 'maxresdefault', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670666536403522, 'time': 1670666536, 'md5': 'RKV6CjbEv0AwLFoyIIXclA==', 'fsize': 116929, 'resto': 1874441}, {'no': 1874555, 'now': '12/10/22(Sat)06:31:53', 'name': 'Anonymous', 'com': '<a href=""#p1874543"" class=""quotelink"">&gt;&gt;1874543</a><br>Not by that time, no.', 'time': 1670671913, 'resto': 1874441}]",1670671913,
5,1873488,12/05/22(Mon)06:52:32,Anonymous,Elevator lift thread,,these_elevator_butto,.jpg,1816,4032,112,250,1670241152635017,1670241152,4UrN40mk4H768wbcVI/F0Q==,542075,0,0,0,elevator-lift-thread,34,13,29.0,12.0,"[{'no': 1873941, 'now': '12/07/22(Wed)11:10:27', 'name': 'Anonymous', 'filename': 'lift', 'ext': '.webm', 'w': 360, 'h': 640, 'tn_w': 70, 'tn_h': 125, 'tim': 1670429427507838, 'time': 1670429427, 'md5': 'qo0gRfksr7T0wCU7UsskOA==', 'fsize': 2886109, 'resto': 1873488}, {'no': 1873949, 'now': '12/07/22(Wed)11:37:02', 'name': 'Anonymous', 'com': '<a href=""#p1873939"" class=""quotelink"">&gt;&gt;1873939</a><br>It would be extremely painful.', 'time': 1670431022, 'resto': 1873488}, {'no': 1873969, 'now': '12/07/22(Wed)13:14:58', 'name': 'Anonymous', 'com': '<a href=""#p1873939"" class=""quotelink"">&gt;&gt;1873939</a><br>then natural selection kicks in', 'time': 1670436898, 'resto': 1873488}, {'no': 1874033, 'now': '12/07/22(Wed)15:41:28', 'name': 'Anonymous', 'com': '<a href=""#p1873810"" class=""quotelink"">&gt;&gt;1873810</a><br><a href=""#p1873934"" class=""quotelink"">&gt;&gt;1873934</a><br>Used to ride those around at the local hospital as a kid.', 'time': 1670445688, 'resto': 1873488}, {'no': 1874554, 'now': '12/10/22(Sat)06:25:13', 'name': 'Anonymous', 'com': '<a href=""#p1873949"" class=""quotelink"">&gt;&gt;1873949</a><br>You&#039;re a big guy', 'time': 1670671513, 'resto': 1873488}]",1670671513,
6,1874553,12/10/22(Sat)06:21:31,Anonymous,Strategic steam reserve,Does it make sense? The idea is that steam locos only need water and coal or wood to keep running so they would be the best for WW3 in spite of electricity and oil shortages,2560px-Грузовой_паровоз_ЛВ18-002_(ОР18-002)_(4),.jpg,2560,1707,250,166,1670671291815391,1670671291,TAcqkV11V/uWa1gykHOsOg==,984839,0,0,0,strategic-steam-reserve,0,0,,,,1670671291,
7,1794894,04/30/22(Sat)16:02:12,Anonymous,Trams General,Post and talk about trams and similar light rail.<br>Starting with a pic the neat Tatra KT4DCs of Potsdam.,5A9A541C-652A-4E1A-9FD7-D754A35F2C95,.jpg,4095,3071,250,187,1651348932051,1651348932,XPp0GvxrtB23RaPkkvqltg==,4023219,0,0,0,trams-general,216,86,211.0,83.0,"[{'no': 1869422, 'now': '11/18/22(Fri)02:25:21', 'name': 'Anonymous', 'com': 'Is the MTR Light Rail a Tram network?', 'filename': 'lrt507a', 'ext': '.jpg', 'w': 800, 'h': 600, 'tn_w': 125, 'tn_h': 93, 'tim': 1668756321546522, 'time': 1668756321, 'md5': 'r2Xsvhk20VZ85Enam8MPFw==', 'fsize': 289152, 'resto': 1794894}, {'no': 1871852, 'now': '11/28/22(Mon)02:45:43', 'name': 'Anonymous', 'com': '<a href=""#p1869422"" class=""quotelink"">&gt;&gt;1869422</a><br>Not quite, looks closer to what we Germans would call a Stadtbahn with those high floor vehicles.', 'time': 1669621543, 'resto': 1794894}, {'no': 1872169, 'now': '11/29/22(Tue)01:15:25', 'name': 'Anonymous', 'com': '<a href=""#p1794894"" class=""quotelink"">&gt;&gt;1794894</a><br>I believe in ground-level power supply supremacy', 'filename': '17C4C342-7428-4693-BE53-F1AC9A74DE1F', 'ext': '.jpg', 'w': 1024, 'h': 684, 'tn_w': 125, 'tn_h': 83, 'tim': 1669702525935469, 'time': 1669702525, 'md5': 'QgApLo/q+cwj+4vudFXWZA==', 'fsize': 149758, 'resto': 1794894}, {'no': 1872401, 'now': '11/30/22(Wed)03:51:24', 'name': 'Anonymous', 'com': 'Progress on a tram bridge they&#039;re building here, or I suppose it would be a light rail. The new line is supposed to be operational in 2026<br><br><a href=""#p1872169"" class=""quotelink"">&gt;&gt;1872169</a><br>I don&#039;t think this would really work somewhere where it snows. Plus I kinda like having wires hanging above the street in some way', 'filename': 'mpv-shot0001', 'ext': '.jpg', 'w': 1640, 'h': 1232, 'tn_w': 125, 'tn_h': 93, 'tim': 1669798284016144, 'time': 1669798284, 'md5': 'ABElVUFAGMUh4bEMVvHGEg==', 'fsize': 265963, 'resto': 1794894}, {'no': 1874552, 'now': '12/10/22(Sat)06:20:34', 'name': 'Anonymous', 'com': '<a href=""#p1872401"" class=""quotelink"">&gt;&gt;1872401</a><br>Where are you (roughly) from, anon? Pic looks very european.', 'time': 1670671234, 'resto': 1794894}]",1670671234,
8,1871213,11/25/22(Fri)15:25:35,Anonymous,,Are all bicycles rear wheel drive?,1_d3beb6e0-6278-4a0e-b489-0fea1f70a203,.jpg,800,800,250,250,1669407935086855,1669407935,NpNkAGor3T2O0l/4P6ZceA==,179318,0,0,0,are-all-bicycles-rear-wheel-drive,44,12,39.0,11.0,"[{'no': 1872030, 'now': '11/28/22(Mon)17:01:44', 'name': 'Anonymous', 'com': '<a href=""#p1871624"" class=""quotelink"">&gt;&gt;1871624</a><br>1x1<br>the most based drivetrain', 'time': 1669672904, 'resto': 1871213}, {'no': 1872637, 'now': '12/01/22(Thu)07:22:53', 'name': 'Anonymous', 'com': '<a href=""#p1872027"" class=""quotelink"">&gt;&gt;1872027</a><br>never seen such a heterosexual recumbent before', 'time': 1669897373, 'resto': 1871213}, {'no': 1874513, 'now': '12/09/22(Fri)21:24:14', 'name': 'Anonymous', 'com': '<a href=""#p1871287"" class=""quotelink"">&gt;&gt;1871287</a><br>Nah it&#039;s the lycra itself', 'time': 1670639054, 'resto': 1871213}, {'no': 1874532, 'now': '12/10/22(Sat)01:26:31', 'name': 'Anonymous', 'com': 'you don&#039;t really notice other men&#039;s leg hair if you aren&#039;t highly self-conscious and insecure about it. like some women will pick apart minute details of another woman&#039;s hair and nails and such which most men wouldn&#039;t give a flying fuck about. if an older man has gorilla arm, leg, chest and back hair you might notice it but it&#039;s not something to be jealous of. teenagers and young adults generally have thinner body hair, weak beard growth and so on. some fully grown men look hairless from a distance because their hair is thin or not a contrasting color against their skin.', 'filename': 'Mechanics-work-on-Red-Bull-RB18-planetF1', 'ext': '.jpg', 'w': 1200, 'h': 768, 'tn_w': 125, 'tn_h': 80, 'tim': 1670653591572466, 'time': 1670653591, 'md5': 'ENIvYBr8iFzxOPSRMqmxyw==', 'fsize': 185115, 'resto': 1871213}, {'no': 1874551, 'now': '12/10/22(Sat)06:18:06', 'name': 'Anonymous', 'com': 'Is there some german company that makes overengineering bicycles? I&#039;m sure there is', 'time': 1670671086, 'resto': 1871213}]",1670671086,
9,1873395,12/04/22(Sun)18:15:02,Anonymous,,Is too many lines and connectivity a bad thing?<br>Serious answers. I don&#039;t want of course it is retard,tokyo-metro-map,.png,950,671,250,176,1670195702442443,1670195702,Lc9BDxoVi59lZC8k9HPe1Q==,697012,0,0,0,is-too-many-lines-and-connectivity-a-bad-thing,10,1,5.0,1.0,"[{'no': 1873476, 'now': '12/05/22(Mon)06:19:02', 'name': 'Anonymous', 'com': 'There is a counterintuitive idea in road systems where a shortcut slows down the whole system, as any one car has no incentive to go a longer route, but if the shortcut is closed most peoples travel time will be decreased.<br>The same is probably true of transit systems, but is probably harder to observe, predict and model. The slowdowns are probably in transfers being slowed down by congested hallways ect.<br>Also when do you have too many lines? When you don&#039;t have the money to run them at good frequencies. Could you close a line and increase the frequency on other lines?<br>This is the logic of many small city bus systems, where there are too many bus routes, but non of them are frequent enough to be useful. Spending the same money on fewer routes would bring better service to the whole system and possibly make it self-sufficient.', 'time': 1670239142, 'resto': 1873395}, {'no': 1873482, 'now': '12/05/22(Mon)06:38:43', 'name': 'Anonymous', 'com': '<a href=""#p1873476"" class=""quotelink"">&gt;&gt;1873476</a><br>Also too much connectivity might exist in too many stops, slowing down the whole line.', 'time': 1670240323, 'resto': 1873395}, {'no': 1873502, 'now': '12/05/22(Mon)07:47:01', 'name': 'Anonymous', 'com': '<a href=""#p1873395"" class=""quotelink"">&gt;&gt;1873395</a><br>why are you posting a rail diagram when only a map would show the system shortcomings', 'time': 1670244421, 'resto': 1873395}, {'no': 1873547, 'now': '12/05/22(Mon)11:37:34', 'name': 'Anonymous', 'com': '<a href=""#p1873476"" class=""quotelink"">&gt;&gt;1873476</a><br><a href=""#p1873482"" class=""quotelink"">&gt;&gt;1873482</a><br>I agree. If you&#039;re a commuter, you don&#039;t want to turn a journey into a bunch of train changes and connections.', 'time': 1670258254, 'resto': 1873395}, {'no': 1874550, 'now': '12/10/22(Sat)06:00:26', 'name': 'Anonymous', 'com': '<a href=""#p1873395"" class=""quotelink"">&gt;&gt;1873395</a><br>Try going from Minami Asagaya to Ikebukuro without them.', 'time': 1670670026, 'resto': 1873395}]",1670670026,
