,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,1875196,12/12/22(Mon)17:18:16,Anonymous,I left my phone at London Victoria station and they won&#039;t give my lost property back without paying a fee. Isn&#039;t this theft?,lostproperty,.jpg,796,546,250,171,1670883496243200,1670883496,YvvkYsW6xx1Kd+5GWK/8dw==,196391,0,0,0,i-left-my-phone-at-london-victoria-station-and,22,2,17.0,2.0,"[{'no': 1875338, 'now': '12/13/22(Tue)06:31:04', 'name': 'Anonymous', 'com': '<a href=""#p1875254"" class=""quotelink"">&gt;&gt;1875254</a><br>who said anything about a capitalist society?', 'time': 1670931064, 'resto': 1875196}, {'no': 1875339, 'now': '12/13/22(Tue)06:32:32', 'name': 'Anonymous', 'com': '<a href=""#p1875268"" class=""quotelink"">&gt;&gt;1875268</a><br><span class=""quote"">&gt;forget to take your £1000 macbook with you like a retard at starbucks</span><br><span class=""quote"">&gt;someone finds it and holds it for you</span><br><span class=""quote"">&gt;you come back, the person and your computer are there</span><br><span class=""quote"">&gt;the person won&#039;t give it back unless you pay him $25</span><br><span class=""quote"">&gt;OMG THAT&#039;S TOTALLY FINE</span><br>peak cuckold', 'time': 1670931152, 'resto': 1875196}, {'no': 1875340, 'now': '12/13/22(Tue)06:35:12', 'name': 'Anonymous', 'com': '<a href=""#p1875338"" class=""quotelink"">&gt;&gt;1875338</a><br>uhhh what do you think would happen exactly if you minimized the role of government now?', 'time': 1670931312, 'resto': 1875196}, {'no': 1875341, 'now': '12/13/22(Tue)06:45:42', 'name': 'Anonymous', 'com': '<a href=""#p1875340"" class=""quotelink"">&gt;&gt;1875340</a><br>anarchy of course<br>a capitalist society is precisely what a maximized government sustains', 'time': 1670931942, 'resto': 1875196}, {'no': 1875342, 'now': '12/13/22(Tue)06:48:44', 'name': 'Anonymous', 'com': '<a href=""#p1875341"" class=""quotelink"">&gt;&gt;1875341</a><br>oh ok so you have more of an abstract fantasy than real political position', 'time': 1670932124, 'resto': 1875196}]",1670932124,,
1,1863165,10/28/22(Fri)20:07:02,Anonymous,Why don&#039;t you ride an electric unicycle? Don&#039;t you want to effortlessly zoom around at 30mph/50kph with no hands?,20221023_162202s,.jpg,4032,3024,250,187,1667002022507140,1667002022,8eWnDO9ycfCoGDrV0qQWmQ==,3054221,0,0,0,why-dont-you-ride-an-electric-unicycle-dont-you,223,38,218.0,37.0,"[{'no': 1875104, 'now': '12/12/22(Mon)10:48:43', 'name': 'Anonymous', 'com': '<a href=""#p1873121"" class=""quotelink"">&gt;&gt;1873121</a>', 'filename': 'snowy_London', 'ext': '.webm', 'w': 720, 'h': 1280, 'tn_w': 70, 'tn_h': 125, 'tim': 1670860123450868, 'time': 1670860123, 'md5': 'k0W5Eh90l3Dmzr0PirBuFw==', 'fsize': 2574079, 'resto': 1863165}, {'no': 1875109, 'now': '12/12/22(Mon)11:16:09', 'name': 'Anonymous', 'com': '<a href=""#p1863704"" class=""quotelink"">&gt;&gt;1863704</a><br><span class=""quote"">&gt;There&#039;s no real risk associated with dropping down to &lt;15mph and responding to the group on an empty sidewalk or non-motorized path</span><br>You could also just not do it.', 'time': 1670861769, 'resto': 1863165}, {'no': 1875306, 'now': '12/13/22(Tue)00:48:52', 'name': 'Anonymous', 'com': '<a href=""#p1875109"" class=""quotelink"">&gt;&gt;1875109</a><br>or you could', 'time': 1670910532, 'resto': 1863165}, {'no': 1875336, 'now': '12/13/22(Tue)06:21:15', 'name': 'Anonymous', 'com': '<a href=""#p1873094"" class=""quotelink"">&gt;&gt;1873094</a><br>omg look at that INSANE trail this guy is RIPPING DOWN AT WARP SPEED', 'time': 1670930475, 'resto': 1863165}, {'no': 1875337, 'now': '12/13/22(Tue)06:30:12', 'name': 'Anonymous', 'com': '<a href=""#p1863165"" class=""quotelink"">&gt;&gt;1863165</a><br>fun toy but actually using one of these things for personal transport is almost as gay as electric scooters<br>just ride a bicycle or drive a car if you need to go further', 'time': 1670931012, 'resto': 1863165}]",1670931012,,
2,1875125,12/12/22(Mon)12:29:57,Anonymous,"Assume you&#039;re ATC, what do you tell me?<br><br>Please answer ASAP",Plane error,.jpg,728,463,250,158,1670866197988199,1670866197,RtZo/Wc1xzUabTkeqK7NlA==,19835,0,0,0,assume-youre-atc-what-do-you-tell-me,9,2,4.0,1.0,"[{'no': 1875197, 'now': '12/12/22(Mon)17:20:19', 'name': 'Anonymous', 'com': 'Could you please let you co-pilot back in from the toilet and stop rejecting his entry access? It&#039;s not funny.', 'time': 1670883619, 'resto': 1875125}, {'no': 1875305, 'now': '12/13/22(Tue)00:32:37', 'name': 'Anonymous', 'com': '<a href=""#p1875125"" class=""quotelink"">&gt;&gt;1875125</a><br>If you’re in France I tell you to go full nose up to escape that stall then lol about it later.', 'time': 1670909557, 'resto': 1875125}, {'no': 1875312, 'now': '12/13/22(Tue)01:58:30', 'name': 'Anonymous', 'com': '<a href=""#p1875125"" class=""quotelink"">&gt;&gt;1875125</a><br>we have a problem!', 'filename': 'CONDUCTOR', 'ext': '.jpg', 'w': 638, 'h': 352, 'tn_w': 125, 'tn_h': 68, 'tim': 1670914710251300, 'time': 1670914710, 'md5': 'KwXb2sfv6Gi97w7yw5IxIQ==', 'fsize': 14872, 'resto': 1875125}, {'no': 1875330, 'now': '12/13/22(Tue)06:05:18', 'name': 'Anonymous', 'com': '<a href=""#p1875125"" class=""quotelink"">&gt;&gt;1875125</a><br>cleared via CHUCK, SNEED maintain flight level eleven thousand five hundred', 'time': 1670929518, 'resto': 1875125}, {'no': 1875334, 'now': '12/13/22(Tue)06:19:02', 'name': 'Anonymous', 'com': 'ATC to BOZOFLIGHT 6969, pull up to 510 and nosedive into a goverment building over.', 'time': 1670930342, 'resto': 1875125}]",1670930342,,
3,1842539,08/21/22(Sun)15:02:35,Anonymous,Where do you live?<br>What do you ride?<br>How much do you make every day?,Uber-Eats,.jpg,1600,1001,250,156,1661108555459379,1661108555,g6/EQ4Y3kRJNhvPr5S4QRQ==,228793,0,0,0,deliverymaxxing-general,180,27,175.0,27.0,"[{'no': 1875074, 'now': '12/12/22(Mon)09:18:35', 'name': 'Anonymous', 'com': '<a href=""#p1871509"" class=""quotelink"">&gt;&gt;1871509</a><br>that sounds like based as fuck taste to me', 'time': 1670854715, 'resto': 1842539}, {'no': 1875077, 'now': '12/12/22(Mon)09:31:50', 'name': 'Anonymous', 'com': '<a href=""#p1867650"" class=""quotelink"">&gt;&gt;1867650</a><br>for sure', 'time': 1670855510, 'resto': 1842539}, {'no': 1875078, 'now': '12/12/22(Mon)09:37:57', 'name': 'Anonymous', 'com': '<a href=""#p1859460"" class=""quotelink"">&gt;&gt;1859460</a><br>im living in clapham rn its fucking awful', 'time': 1670855877, 'resto': 1842539}, {'no': 1875326, 'now': '12/13/22(Tue)05:50:06', 'name': 'Anonymous', 'com': '<a href=""#p1875040"" class=""quotelink"">&gt;&gt;1875040</a><br>There is no reason to be a car based delivery driver for food when escooters, bikes, and ebikes make just as much for going half or less of the average delivery distance for cars in most areas. From what I&#039;ve seen in my area, car based delivery drivers make almost half of what I do per hour because the delivery distances are so short on bikes and PEVs compared to how far they drive in cars. They seem to give you a lot of short distance deliveries on 2 wheel transportation. Uber&#039;s base fare for travel is pretty shit so tips make up more than half of what you make. Getting shorter trips makes much more overall than 6-8+ mile ones with mediocre tips. Most car drivers here end up making around just as much as those Mcdonalds workers are that they&#039;re picking up the orders from. Not to mention you don&#039;t have to worry about finding parking which takes up a lot of time.', 'time': 1670928606, 'resto': 1842539}, {'no': 1875333, 'now': '12/13/22(Tue)06:18:30', 'name': 'Anonymous', 'com': '<a href=""#p1875326"" class=""quotelink"">&gt;&gt;1875326</a><br>do you worry about bike theft at all, do you ride a shitty bike and lock it up wherever? finding a place to lock up your bike seems like it would be a hassle in some places. with a car you can just lock it and no one will mess with it. i think keeping at least one extra bike to use as a spare if you lose your bike is a given if you&#039;re a bike autist? i don&#039;t think people would try to steal a moped where i live but with bicycles you don&#039;t know in areas populated by certain people', 'time': 1670930310, 'resto': 1842539}]",1670930310,Deliverymaxxing general,
4,1874708,12/11/22(Sun)00:50:42,Anonymous,"https://www.youtube.com/watch?v=0C4<wbr>lUoW26qg<br><span class=""quote"">&gt;cycling through america</span><br><span class=""quote"">&gt;on the interstate shoulder because it&#039;s the only paved road in a hundred miles</span><br><span class=""quote"">&gt;road surface is basically gravel</span><br><span class=""quote"">&gt;walk 50 feet down a short grassy hill to a side road to get away from the semis</span><br><span class=""quote"">&gt;now have flats in 8 out of 9 tires on two bikes+trailer+wheelchair</span><br><span class=""quote"">&gt;take rest break in the middle of the desert under an interstate overpass next to some suspicious garbage bags</span><br><span class=""quote"">&gt;randomly pass some illegal mexicans walking on the highway in the middle of nowhere</span><br><span class=""quote"">&gt;celebrate finishing your ride at a mcdonalds</span><br>OH SAY CAN YOU SHAARRRTTT",Francis Cade - 2 Bikes 1 Wheelchair 3000 Miles Across The USA - Day 31 (720p).mp4_snapshot_11.23.057,.jpg,1280,720,250,140,1670737842700109,1670737842,6fT/8OH31Vaf93xnYG14mg==,100685,0,0,0,cycling-through-america,26,2,21.0,2.0,"[{'no': 1875314, 'now': '12/13/22(Tue)02:20:53', 'name': 'Anonymous', 'com': '<a href=""#p1874708"" class=""quotelink"">&gt;&gt;1874708</a><br><span class=""quote"">&gt;ahhhhh america bad you bad country!</span><br>Ok Chang', 'time': 1670916053, 'resto': 1874708}, {'no': 1875315, 'now': '12/13/22(Tue)02:51:58', 'name': 'Anonymous', 'com': '<a href=""#p1875036"" class=""quotelink"">&gt;&gt;1875036</a><br>He estalked them to get efamous.', 'time': 1670917918, 'resto': 1874708}, {'no': 1875322, 'now': '12/13/22(Tue)04:22:17', 'name': 'Anonymous', 'com': '<span class=""deadlink"">&gt;&gt;1875317</span><br>kys. and go back to containment board', 'time': 1670923337, 'resto': 1874708}, {'no': 1875327, 'now': '12/13/22(Tue)05:57:13', 'name': 'Anonymous', 'com': '<a href=""#p1874708"" class=""quotelink"">&gt;&gt;1874708</a><br>That was pretty neat, thanks op :-)', 'time': 1670929033, 'resto': 1874708}, {'no': 1875332, 'now': '12/13/22(Tue)06:09:37', 'name': 'Anonymous', 'com': '<span class=""deadlink"">&gt;&gt;1875317</span><br>Symbiotic relationship. Cyclists can be totally retarded as evidenced here. However, the driver is a fucking retard for not anticipating a retard on a bike and not slowing down a bit and swerving to the right. He&#039;s probably one of those smooth brains with a license who looks up the road 10 yrds because that&#039;s all his brain is able to compute.', 'time': 1670929777, 'resto': 1874708}]",1670932318,,
5,1865847,11/05/22(Sat)22:19:50,Anonymous,"It&#039;s that time of year again. Post rides, rigs, gear, and questions. What are you riding this winter?",20221105_184957,.jpg,4032,3024,250,187,1667701190437130,1667701190,yNzj3Au5odQ3pGUmyx3/7g==,3361870,0,0,0,wcg-winter-cycling-general,79,22,74.0,22.0,"[{'no': 1875299, 'now': '12/12/22(Mon)23:34:23', 'name': 'Anonymous', 'com': '<a href=""#p1875270"" class=""quotelink"">&gt;&gt;1875270</a><br>Hard tails fucking suck lol just save for a full suspension.', 'time': 1670906063, 'resto': 1865847}, {'no': 1875319, 'now': '12/13/22(Tue)03:36:46', 'name': 'Anonymous', 'com': '<a href=""#p1875270"" class=""quotelink"">&gt;&gt;1875270</a><br><span class=""quote"">&gt;dont care</span><br>Probably why you&#039;re poor in the first place.', 'time': 1670920606, 'resto': 1865847}, {'no': 1875320, 'now': '12/13/22(Tue)03:46:40', 'name': 'Anonymous', 'com': '<a href=""#p1875270"" class=""quotelink"">&gt;&gt;1875270</a><br>They’re the most specialised and least versatile bike you can buy, retard', 'time': 1670921200, 'resto': 1865847}, {'no': 1875321, 'now': '12/13/22(Tue)04:21:07', 'name': 'Anonymous', 'com': '<a href=""#p1875319"" class=""quotelink"">&gt;&gt;1875319</a><br><span class=""quote"">&gt;le poor</span><br>fuck off cunt', 'time': 1670923267, 'resto': 1865847}, {'no': 1875329, 'now': '12/13/22(Tue)05:59:43', 'name': 'Anonymous', 'com': '<a href=""#p1865847"" class=""quotelink"">&gt;&gt;1865847</a><br>New set of tyres for winter: wtb riddler 45c caliper says 42 but thats already more than the slim 32. Also bonus points for brown sidewalls hope Cycling girls will note me... Dont ask how they ride, ill try them today', 'time': 1670929183, 'resto': 1865847}]",1670929183,/wcg/ Winter Cycling General,
6,1864326,11/01/22(Tue)18:13:00,Anonymous,"Space transportation general since spaceflight is increasing exponentially, since we are up to at least a launch per week and since we are about a month away from a industry revolutionizing fully reusable <br> super heavy lift launch vehicle. <br><br>Upcoming launches:<br><br>Nov 2<br><span class=""quote"">&gt;Soyuz 2.1b/Fregat-M | Tundra n°6L 3:30 AM EDT </span><br><span class=""quote"">&gt;Falcon 9 Block 5 | Hotbird 13G 11:26 PM EDT</span><br><br>Nov 6<br><span class=""quote"">&gt;Antares 230+ | CRS NG-18 5:50 AM EST</span><br><br>Nov 8<br><span class=""quote"">&gt;Atlas V 401 | JPSS-2 4:25 AM EST</span><br><br>Nov 11<br><span class=""quote"">&gt;Long March 7 | Tianzhou 5</span><br>7 10:00 PM EST<br><br>Nov 14<br><span class=""quote"">&gt;SLS Block 1 | Artemis I 12:07 AM EST</span><br><span class=""quote"">&gt;RS1 | DEMO-1 (Test Launch) 5:00 PM EST</span><br><br>Nov 20<br><span class=""quote"">&gt;Falcon 9 Block 5 | CRS SpX-26 4:40 PM EST</span><br><br>Nov 22<br><span class=""quote"">&gt;Falcon 9 Block 5 | HAKUTO-R Mission 1</span><br><br>Nov 23<br><span class=""quote"">&gt; Vega C | Pléïades-Néo 5 &amp; 6</span><br><br>Nov 26<br><span class=""quote"">&gt;Long March 2F/G | Shenzhou 15</span><br><br>NET Nov<br><span class=""quote"">&gt;PSLV-CA | EOS-06 &amp; BhutanSat</span><br><span class=""quote"">&gt;LauncherOne | STP-S28B</span><br><span class=""quote"">&gt;Jielong-1 | Yizheng 03 &amp; 04</span><br><span class=""quote"">&gt;Kuaizhou 11 | JSBT, Xiangrikui &amp; Others</span><br><span class=""quote"">&gt;Terran 1 | Good Luck, Have Fun</span><br><span class=""quote"">&gt;Firefly Alpha | VCLS Demo-2FB (ELaNa 43)</span><br><span class=""quote"">&gt;LauncherOne | Prometheus 2 &amp; Others</span><br><span class=""quote"">&gt;Falcon 9 Block 5 | Starlink Group 4-37</span><br><span class=""quote"">&gt;Falcon 9 Block 5 | Eutelsat 10B</span><br><span class=""quote"">&gt;Falcon 9 Block 5 | Starlink Group 2-4</span><br><br>DECEMBER (just a few highlights not full dec schedule)<br><span class=""quote"">&gt;ZhuQue-2 | Demo Flight</span><br><span class=""quote"">&gt;weekly Falcon 9 flights</span><br><span class=""quote"">&gt;Ariane 5 ECA | Galaxy 35 &amp; 36, MTG-I1</span><br><span class=""quote"">&gt;GSLV Mk II | IRNSS-1J</span><br><span class=""quote"">&gt;SSLV | BlackSky Global</span><br>And last but not least we finally have <br><span class=""quote"">&gt;THE SPACEX STARSHIP SUPERHEAVY ORBITAL TEST FLIGHT</span>",20221101_180227,.jpg,2880,2880,250,250,1667340780664524,1667340780,pr74O/8/LRuWMFmu1jR4Lg==,853280,0,0,0,stg-space-transportation-general-heavy-season,147,78,142.0,76.0,"[{'no': 1874895, 'now': '12/11/22(Sun)19:53:38', 'name': 'Anonymous', 'com': 'Better picture of erf', 'filename': '1670776683547526', 'ext': '.jpg', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670806418193409, 'time': 1670806418, 'md5': 'p/dqfFxPOdzoDi3xGvxrbg==', 'fsize': 262640, 'resto': 1864326}, {'no': 1874904, 'now': '12/11/22(Sun)21:50:09', 'name': 'Anonymous', 'com': '<a href=""#p1874886"" class=""quotelink"">&gt;&gt;1874886</a><br>What is this, a convention for city construction workers?', 'time': 1670813409, 'resto': 1864326}, {'no': 1874920, 'now': '12/12/22(Mon)00:07:01', 'name': 'Anonymous', 'com': '<a href=""#p1864441"" class=""quotelink"">&gt;&gt;1864441</a><br>Humans will never live on Mars young man', 'time': 1670821621, 'resto': 1864326}, {'no': 1874931, 'now': '12/12/22(Mon)03:08:41', 'name': 'Anonymous', 'com': '<a href=""#p1874920"" class=""quotelink"">&gt;&gt;1874920</a><br>wanna bet?', 'time': 1670832521, 'resto': 1864326}, {'no': 1875328, 'now': '12/13/22(Tue)05:57:39', 'name': 'Anonymous', 'com': 'Launch of the first Third Generation Metosat (MTG-1) planned for 21:30 CET (15:30 Eastern Time, US) on an Ariane-5 (VA259). Flight will also deploy Galaxy 35 and Galaxy 36. <br>View live: https://www.esa.int/ESA_Multimedia/<wbr>ESA_Web_TV<br>Press: https://www.eumetsat.int/media-invi<wbr>tation-meteosat-third-generation-im<wbr>ager-1-launch<br>Wiki: https://en.wikipedia.org/wiki/Meteo<wbr>sat#Third_Generation_(%22MTG%22)<br>https://en.wikipedia.org/wiki/Galax<wbr>y_(satellite)', 'filename': 'MTG-I1_on_Ariane_5_pillars', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670929059311633, 'time': 1670929059, 'md5': 'CZfejAgv8ngK7HIzlCxPRQ==', 'fsize': 637020, 'resto': 1864326}]",1670929059,/stg/ Space Transportation General: Heavy season edition,
7,1860863,10/20/22(Thu)21:35:15,Anonymous,Will we ever get good inter-city transit? Will any of our cities ever get subways that run fast and efficiently?,159828081084,.jpg,677,569,250,210,1666316115659724,1666316115,cvYaINJpWB9CcwPUXhUH9g==,40317,0,0,0,will-we-ever-get-good-intercity-transit-will-any,67,10,62.0,10.0,"[{'no': 1875280, 'now': '12/12/22(Mon)21:50:39', 'name': 'Anonymous', 'com': '<a href=""#p1875258"" class=""quotelink"">&gt;&gt;1875258</a><br>The Sheppard Subway is only 4 stations, and has more ridership per-day than the Orange, Green, Pink Lines. Yonge-University alone carries more passengers than the entire Chicago L Network. Montreal also dominates Chicago and also has a smaller track footprint.', 'time': 1670899839, 'resto': 1860863}, {'no': 1875281, 'now': '12/12/22(Mon)21:55:03', 'name': 'Anonymous', 'com': '<a href=""#p1875269"" class=""quotelink"">&gt;&gt;1875269</a><br><a href=""#p1875280"" class=""quotelink"">&gt;&gt;1875280</a><br>sheeeiit. convince not to become a leaf.', 'time': 1670900103, 'resto': 1860863}, {'no': 1875292, 'now': '12/12/22(Mon)23:09:08', 'name': 'Anonymous', 'com': '<a href=""#p1875281"" class=""quotelink"">&gt;&gt;1875281</a><br>Canadian public transit doesn&#039;t have the fights the New York Subway and Chicago L have. Rich people use it too.', 'time': 1670904548, 'resto': 1860863}, {'no': 1875304, 'now': '12/13/22(Tue)00:23:38', 'name': 'Anonymous', 'com': '<a href=""#p1875244"" class=""quotelink"">&gt;&gt;1875244</a><br>i don&#039;t care about trains I just like riding my bicycle through the quebec countryside, eating a lot of pastry', 'time': 1670909018, 'resto': 1860863}, {'no': 1875325, 'now': '12/13/22(Tue)05:42:49', 'name': 'Anonymous', 'com': '<a href=""#p1875304"" class=""quotelink"">&gt;&gt;1875304</a><br>After riding Via&#039;s Atlantic train to Halifax last year, I positive I need to go cycle touring through Bas-St-Laurent and perhaps Matapédia valley (terrain is beautiful but might be rough). Just hop off the train, spend two or three days in the area, then hop back on the train to the next small city.<br>Just need to do my French reps, because small towns.', 'time': 1670928169, 'resto': 1860863}]",1670928169,,
8,1874188,12/08/22(Thu)12:39:03,Anonymous,"i know normally this would be more /xs/ but i want to discuss these as a form of trasport as oppose to an extreme sport<br>i recently moved to london and absolutely hate driving here<br>takes me 2 hours to go 15 miles and costs me a fortune<br>i cycled almost daily when i lived in the countryside and really wish i could here its clearly a better way to get around but it looks terrifying<br>i simply cant bring myself to take my bike out here, before i would cycle on the pavements to stay out of the way of cars but theres too many people here for that<br>ive seen a surprising amount of inline skaters though<br>the sport seems to be having a small resurgence here and it seems people are using it as a way to get around rather than to do tricks<br>they are about as fast as bicycles but are vastly more manueverable and can easily use the pavements<br>i roller and iceskated as a kid and really enjoyed it<br>after doing some research i found these skates with 3 big wheels (110mm) are becomig very popular as they roll very efficiently over rough stuff and these decathlon ones are apparently really good for their price<br>one other advantage i see is not having to worry about bike theft thats the other reason i havnt taken my bike out<br>should i do it?<br>what do you think could skates be the future at least till we get a proper cycle path network or remove the car infestation?",Adult-Hardboot-Freeskate-Skates-MF900-Khaki,.jpg,2000,2000,250,250,1670521143898164,1670521143,b0x0Zmddoi+taaBYo73dSQ==,311086,0,0,0,inline-skating-as-urban-transport,45,2,40.0,2.0,"[{'no': 1875170, 'now': '12/12/22(Mon)16:13:06', 'name': 'Anonymous', 'com': '<a href=""#p1874953"" class=""quotelink"">&gt;&gt;1874953</a><br>You need a good amount of lateral space on smooth pavement to keep up with a bike and even then it would have to have a pretty lackadaisical rider on it. They roll on rough ground if you have the muscle but it slows them significantly. Grass almost always forces you to walking speed.', 'time': 1670879586, 'resto': 1874188}, {'no': 1875174, 'now': '12/12/22(Mon)16:18:38', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;what you mean by dangerous as a scooter?</span><br><br>kickscooters have really tiny wheels. <br>So small gap, crack or trash can potentially trow you out of balance while riding.', 'time': 1670879918, 'resto': 1874188}, {'no': 1875275, 'now': '12/12/22(Mon)21:35:14', 'name': 'Anonymous', 'com': '<a href=""#p1875170"" class=""quotelink"">&gt;&gt;1875170</a><br>ok but theres no grass in the city<br><a href=""#p1875174"" class=""quotelink"">&gt;&gt;1875174</a><br>yeah but these arent a scooter yu can just step over stuff', 'time': 1670898914, 'resto': 1874188}, {'no': 1875294, 'now': '12/12/22(Mon)23:13:23', 'name': 'Anonymous', 'com': '<a href=""#p1874953"" class=""quotelink"">&gt;&gt;1874953</a><br>Bikes can go on the side walk too ding dong. <br>I think you think bicycles are slower due to &quot;traffic&quot; but youre just not used to riding bicycles.', 'time': 1670904803, 'resto': 1874188}, {'no': 1875324, 'now': '12/13/22(Tue)05:15:38', 'name': 'Anonymous', 'com': '<a href=""#p1875275"" class=""quotelink"">&gt;&gt;1875275</a><br>Yeah, skates are a hell of a good time in the city. All I&#039;m saying is that if you&#039;re looking for the best way to get from point A to point B without carfagging then it will always be the bike. If you want to be faster, taller, and more omnidirectionally agile than everyone else on foot then you need wheels on your feet but you will not get anywhere before the cyclists do.', 'time': 1670926538, 'resto': 1874188}]",1670926538,inline skating as urban transport,
9,1874081,12/07/22(Wed)19:20:37,Anonymous,"Thread for all OTR related discussions<br><br><span class=""quote"">&gt;what do you drive?</span><br><span class=""quote"">&gt;owner op or company?</span><br><span class=""quote"">&gt;how long have you been in the game?</span><br><span class=""quote"">&gt;what do you hate, what do you love?</span><br><span class=""quote"">&gt;any good stories?</span><br><br>Non industry autists welcome as well",sleeper,.jpg,1920,1200,250,156,1670458837516919,1670458837,UB2/eobnA8t1y8PVucf+mQ==,838815,0,0,0,trucking-thread,30,8,25.0,7.0,"[{'no': 1874852, 'now': '12/11/22(Sun)17:02:18', 'name': 'Anonymous', 'com': '<a href=""#p1874770"" class=""quotelink"">&gt;&gt;1874770</a><br>Shouldn&#039;t it be located behind the door?', 'time': 1670796138, 'resto': 1874081}, {'no': 1874909, 'now': '12/11/22(Sun)23:00:32', 'name': 'Anonymous', 'com': '<a href=""#p1874852"" class=""quotelink"">&gt;&gt;1874852</a><br>What? no its for the engine', 'time': 1670817632, 'resto': 1874081}, {'no': 1875283, 'now': '12/12/22(Mon)22:08:57', 'name': 'Anonymous', 'com': '<a href=""#p1874827"" class=""quotelink"">&gt;&gt;1874827</a><br>make the thread you desire anon', 'time': 1670900937, 'resto': 1874081}, {'no': 1875316, 'now': '12/13/22(Tue)03:14:54', 'name': 'Anonymous', 'com': '<a href=""#p1875283"" class=""quotelink"">&gt;&gt;1875283</a><br>No tractor thread: pissed on my boot edition', 'filename': 'AB90A356-488B-4FCA-A947-3B83778F7AD2', 'ext': '.jpg', 'w': 960, 'h': 1280, 'tn_w': 93, 'tn_h': 125, 'tim': 1670919294995484, 'time': 1670919294, 'md5': '0Dy4Q61kixm57d2XYvX1eg==', 'fsize': 425339, 'resto': 1874081}, {'no': 1875318, 'now': '12/13/22(Tue)03:33:57', 'name': 'Anonymous', 'com': '<a href=""#p1874909"" class=""quotelink"">&gt;&gt;1874909</a><br>So are the pipes behind the doors. And the air in those is what really needs cleaning.', 'time': 1670920437, 'resto': 1874081}]",1670920437,Trucking Thread,
