,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit
0,22251386,1.0,1.0,04/19/20(Sun)02:21:24,Anonymous,"Need advice on buying a good, cheap, used car? Look here!","If you live in the US, this chart is your best place to start looking. International posters outside the US may have region specific options not shown here!",CCCUFD_Master,.jpg,3842,3592,250,233,1587277284312,1587277284,DVgUWQk2vW0jxMBxGjPIyQ==,3681128,0,need-advice-on-buying-a-good-cheap-used-car-look,7,3,6.0,3.0,"[{'no': 23526957, 'now': '02/03/21(Wed)22:36:28', 'name': 'Anonymous', 'com': 'Need a VIN checked? Search the catalog (<a href=""https://boards.4chan.org/o/catalog"" target=""_blank"">https://boards.4chan.org/o/catalog</a>) for an existing VIN check thread before making your own.', 'time': 1612409788, 'resto': 22251386}]",1612409788,,
1,26158182,,,12/12/22(Mon)03:22:41,Anonymous,Are Steam trains /o/?,Post cool steam trains. <br>https://www.youtube.com/watch?v=fpz<wbr>kAZmJ77I,Bayer-Garratt 6029,.png,1200,628,250,130,1670833361335376,1670833361,3bsRxf5q8ycphZlceNCZOQ==,440729,0,are-steam-trains-o,14,11,9.0,7.0,"[{'no': 26158339, 'now': '12/12/22(Mon)05:42:28', 'name': 'Anonymous', 'com': '<a href=""#p26158329"" class=""quotelink"">&gt;&gt;26158329</a><br><span class=""quote"">&gt;Urban Planning Psycho&#039;s</span><br>Good band name<br><a href=""#p26158330"" class=""quotelink"">&gt;&gt;26158330</a><br>I&#039;m sure as hell not going to stop you', 'filename': '517f6c51f906cfedd58b24106737ccee', 'ext': '.jpg', 'w': 550, 'h': 295, 'tn_w': 125, 'tn_h': 67, 'tim': 1670841748352396, 'time': 1670841748, 'md5': 'bNorl+5qV+vf4XU0iVdnwQ==', 'fsize': 25382, 'resto': 26158182}, {'no': 26158355, 'now': '12/12/22(Mon)05:50:28', 'name': 'Anonymous', 'com': '<a href=""#p26158339"" class=""quotelink"">&gt;&gt;26158339</a><br>Glad we are in agreement.<br>https://www.youtube.com/watch?v=b3s<wbr>JTC8GHtE', 'filename': 'Legendary 3801', 'ext': '.jpg', 'w': 3226, 'h': 2420, 'tn_w': 125, 'tn_h': 93, 'tim': 1670842228121116, 'time': 1670842228, 'md5': 'xkUDUBMLjqFOJV583y/n7w==', 'fsize': 2925600, 'resto': 26158182}, {'no': 26158433, 'now': '12/12/22(Mon)07:06:47', 'name': 'Anonymous', 'com': 'While the entire purpose of a Garrat is function over form, I sure do wish they&#039;d look a bit better.', 'time': 1670846807, 'resto': 26158182}, {'no': 26158437, 'now': '12/12/22(Mon)07:08:10', 'name': 'Anonymous', 'filename': 'DRGW_3801_GrandJunctionJune18_1944OttoCPerry', 'ext': '.jpg', 'w': 1440, 'h': 829, 'tn_w': 125, 'tn_h': 71, 'tim': 1670846890979451, 'time': 1670846890, 'md5': 'GHZYF/9jMwWQGl4peHKijg==', 'fsize': 104050, 'resto': 26158182}, {'no': 26158445, 'now': '12/12/22(Mon)07:15:40', 'name': 'Anonymous', 'filename': 'ATSF_3505_TulsaNovember1932', 'ext': '.jpg', 'w': 1440, 'h': 851, 'tn_w': 125, 'tn_h': 73, 'tim': 1670847340223953, 'time': 1670847340, 'md5': '5SLMNIK+omSEOxZ0MIbkAw==', 'fsize': 129850, 'resto': 26158182}]",1670847340,0.0,0.0
2,26158184,,,12/12/22(Mon)03:23:07,Anonymous,/dbt/ - Daily Bike Thread,"grandpas 160cc honda with cool swoopy exhaust edition!<br><br><span class=""quote"">&gt;motorcycle storage solutions</span><br><span class=""quote"">&gt;motorcycle anime girls</span><br><span class=""quote"">&gt;motorcycle pics, webbys, and streamabos. </span><br><span class=""quote"">&gt;motorcycle benchracing</span><br><span class=""quote"">&gt;motorcycle comparison using SAE metrics</span><br><span class=""quote"">&gt;motorcycle maintenance</span><br><span class=""quote"">&gt;gear (or lack thereof) discussion</span><br><span class=""quote"">&gt;survival reaction outsourcing with ABS</span><br><span class=""quote"">&gt;remembering gaymoo and gs5000</span><br><span class=""quote"">&gt;posting with text in the name field is not allowed</span><br><span class=""quote"">&gt;fuck niggers dude (cant be stressed enough)</span><br><br><br>Crucial links (must watch before posting):<br>https://www.motocap.com.au/<br>https://crash.org.au/ratings.pp<br>http://a2bikes.co.uk<br>https://cycle-ergo.com<br>https://sharp.dft.gov.uk/helmets<br><br>Twist of the Wrist II by Keith Code: https://youtu.be/DK9AoAAy7uM<br><br>Street Smarts Motorcycle Safety Video: https://www.youtube.com/watch?v=AtG<wbr>6MRIVtZg<br><br>FAQ: https://pastebin.com/xu560p4q <br><br>You can report the janny here: <a href=""https://www.4channel.org/feedback"" target=""_blank"">https://www.4channel.org/feedback</a><br><br>STICKY: <a href=""/o/thread/22251386#p23526953"" class=""quotelink"">&gt;&gt;23526953</a> <br><br>Previous: <a href=""/o/thread/26156045#p26156045"" class=""quotelink"">&gt;&gt;26156045</a>",1670798913395673,.jpg,4000,3000,250,187,1670833387375522,1670833387,Ox4skRyvG8CDYr1Hja/biA==,1700422,0,dbt-daily-bike-thread,62,23,57.0,22.0,"[{'no': 26158415, 'now': '12/12/22(Mon)06:53:47', 'name': 'Anonymous', 'com': '<a href=""#p26158406"" class=""quotelink"">&gt;&gt;26158406</a><br>how fast should i be riding on roads like this to feel the joy of life again anon? <br>At this point i am pretty sure i am just gonna end up SEF or a cripple.', 'filename': 'roads', 'ext': '.jpg', 'w': 1914, 'h': 881, 'tn_w': 125, 'tn_h': 57, 'tim': 1670846027616827, 'time': 1670846027, 'md5': 'rvXz4RIZR75h5MXxQklL6Q==', 'fsize': 274467, 'resto': 26158184}, {'no': 26158417, 'now': '12/12/22(Mon)06:54:36', 'name': 'Anonymous', 'com': '<a href=""#p26158393"" class=""quotelink"">&gt;&gt;26158393</a><br><span class=""quote"">&gt;not having dedicated boots for every situation </span><br>Scrub', 'time': 1670846076, 'resto': 26158184}, {'no': 26158420, 'now': '12/12/22(Mon)06:55:56', 'name': 'Anonymous', 'com': '<a href=""#p26158415"" class=""quotelink"">&gt;&gt;26158415</a><br><span class=""quote"">&gt;how fast should i be riding on roads like this to feel the joy of life again anon?</span><br>Try taking it nice and slow and enjoy the vista. Speed will come back by itself.', 'time': 1670846156, 'resto': 26158184}, {'no': 26158422, 'now': '12/12/22(Mon)06:56:54', 'name': 'Anonymous', 'com': '<a href=""#p26158393"" class=""quotelink"">&gt;&gt;26158393</a><br><span class=""quote"">&gt;What do you guys use as your everyday boot?</span><br>My Work/riding/walking steel toes that I use for basically everything. Once you build up the calluses in the right places you can wear anything', 'time': 1670846214, 'resto': 26158184}, {'no': 26158444, 'now': '12/12/22(Mon)07:15:23', 'name': 'Anonymous', 'com': '<a href=""#p26158415"" class=""quotelink"">&gt;&gt;26158415</a><br>Get up to FUKKIN QUEENSLAND YA DOG CUNT', 'time': 1670847323, 'resto': 26158184}]",1670847323,0.0,0.0
3,26157920,,,12/12/22(Mon)00:32:51,Anonymous,Why are cd9a/ce9a evos so cheap?,"Are these a trap? I consistently see them for $10000 to $15000 on import sites and even marketplace and craigslist.<br><br>How can they be so low when the second and third generation cars are two to three times as much? Are they more prone to crank walk? Rust? Is the handling that much worse without AYC? Fakes made from other Lancers? Insurance????<br><br>Please tell me. I want one super bad, but I don&#039;t want to buy one and instantly get fucked over by some weird factor I couldn&#039;t find in a buyers guide or old forum and end up with 1240kg pile of old kamikaze parts melted into the shape of a turbo sedan that I can&#039;t drive.",a trap probably,.jpg,820,546,250,166,1670823171951760,1670823171,f5anKO6kqnDA84rYpeWJlA==,63516,0,why-are-cd9ace9a-evos-so-cheap,5,1,,,"[{'no': 26157952, 'now': '12/12/22(Mon)00:46:41', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Are they a trap</span><br><br>Yes, the transmissions are NLA (think gears/synchros) and they have chronic roof rust on all of them where the roofs rust where the skin is epoxied onto the supports. Also really bad floor pan rust. <br><br>https://www.par-engineering.com/pro<wbr>duct/5m33ss-set-lancer-evolution-13<wbr>-1st4th-synchromesh-engagement-gear<wbr>set/<br><br>Evo 1-3 transmissions are way weaker than Evo 4-9<br><br><span class=""quote"">&gt;Are they prone to crankwalk</span><br><br>No, that&#039;s a 1996 Mitsubishi problem (Evo 4 and DSM). Bigger concern is finding good core blocks/cranks (has to be a 7-Bolt 1995 and older). A 7 Bolt Mitsu Oil Pump is $350. <br><br><span class=""quote"">&gt;Is the handling that much worse</span><br><br>AYC is a meme, the bigger problem is their lack of ability to fit larger tire sizing than 215s, 4x114.3 lug pattern, and lack of decent suspension options vs Evos 4-9. <br><br>A cheap Evo is the most expensive Evo and this will turn you into a expert mechanic after a year (or as soon as your engine shits itself....figure 350-370~ whp is the limit which is easy to reach on a stock turbo) <br><br>Its cheap because the hype for 1992-1995 cars is dying down and everyone wants Evo 4s and soon Evos 5-6. Plus the market for sports cars is going down and you can still get a LHD 8/9 for $25-30k. A Evo 2/3 is just a really nice DSM in comparison. I predict Evo 5/6 to sell for $28-40k when legal. <br><br>Look up Evo 123 owners club on Facebook or evo123.net for info. Evos are painfully expensive and a &quot;cheap&quot; one is still gonna be a restoration project of a 25 y/o sports car that wasn&#039;t meant to last more than 10 years. On the plus side lots of parts from Malaysia because they love Evo 1-3s due to commonality with Protons.', 'time': 1670824001, 'resto': 26157920}, {'no': 26158423, 'now': '12/12/22(Mon)06:57:09', 'name': 'Anonymous', 'com': '<a href=""#p26157952"" class=""quotelink"">&gt;&gt;26157952</a><br><span class=""quote"">&gt;transmissions are NLA</span><br><br>Never heard any issues about them before will have to read up<br><br><span class=""quote"">&gt;roof rust</span><br><br>Have never seen a case of this get so severe that it&#039;s unfixable.<br><br><span class=""quote"">&gt;350-370 hp limit</span><br><br>what if I leave the power alone and focus on handling? will it still &quot;make me an expert&quot; and suck up all my time and cash? <br><br>I&#039;m not doubting anything you say, I&#039;m just curious.', 'time': 1670846229, 'resto': 26157920}, {'no': 26158436, 'now': '12/12/22(Mon)07:07:58', 'name': 'Anonymous', 'com': 'If you are into early 90&#039;s rally cars, why not get a Legacy? they are way cheaper than an Evo and parts are probably easier to find in North America.', 'filename': 'SubaruLegacyRS-museum', 'ext': '.jpg', 'w': 870, 'h': 580, 'tn_w': 124, 'tn_h': 83, 'tim': 1670846878860460, 'time': 1670846878, 'md5': 'lDUf3CggcckuzM1T2ba7ug==', 'fsize': 80130, 'resto': 26157920}, {'no': 26158442, 'now': '12/12/22(Mon)07:11:24', 'name': 'Anonymous', 'com': '<a href=""#p26158436"" class=""quotelink"">&gt;&gt;26158436</a><br>All the ones I find are full of rust or are auto. I&#039;ve genuinely only ever come across one manual first gen legacy and I was broke at the time.', 'time': 1670847084, 'resto': 26157920}, {'no': 26158443, 'now': '12/12/22(Mon)07:13:56', 'name': 'Anonymous', 'com': '<a href=""#p26158442"" class=""quotelink"">&gt;&gt;26158442</a><br>but it&#039;s a 90&#039;s subaru, surely any fucking manual trans will botl in, they all use the same EJ engine don&#039;t they?', 'time': 1670847236, 'resto': 26157920}]",1670847236,0.0,0.0
4,26152838,,,12/10/22(Sat)10:09:40,Anonymous,/ovg/ - need for speed unwanted edition,"Welcome to the Auto Vidya General. Join the series.<br><br>Previous thread <a href=""/o/thread/26139375#p26139375"" class=""quotelink"">&gt;&gt;26139375</a><br><span class=""quote"">&gt;Wiki</span><br>https://get-good.net<br><br><span class=""quote"">&gt;Mumble</span><br>IP: mumble.get-good.net<br>Port: 64738<br>Password: 4ch<br><br><span class=""quote"">&gt;Chat</span><br>https://chat.get-good.net<br><br><span class=""quote"">&gt;Equipment Guide</span><br>https://docs.google.com/spreadsheet<wbr>s/d/1uLKMbKwweUZ3QvFeNs8UeycZbDyo0M<wbr>cxGj7T6uTaTNo<br><br><span class=""quote"">&gt;We&#039;re playing ACTC in Assetto Corsa, RBR and Amogus VR. Check the doc for more info:</span><br>https://docs.google.com/spreadsheet<wbr>s/d/1vlVjNh8r6o_KYUFHf7Hcp8ZaYS5lsE<wbr>ZwFvTeu_K_c1Q",punt-o,.webm,640,360,250,140,1670684980105076,1670684980,QxVao1te7WdAP3eVHXPDYA==,2709128,0,ovg-need-for-speed-unwanted-edition,94,30,89.0,28.0,"[{'no': 26158207, 'now': '12/12/22(Mon)03:32:07', 'name': 'Anonymous', 'com': '<a href=""#p26157643"" class=""quotelink"">&gt;&gt;26157643</a><br>redgov retard', 'time': 1670833927, 'resto': 26152838}, {'no': 26158418, 'now': '12/12/22(Mon)06:55:19', 'name': 'Anonymous', 'com': 'To whom it may concern, that asap rockys MB is not an original evo. Speedhunters article came out about it. It did have the 16v Cosworth engine originally but its less of a tragedy this way.', 'filename': 'file', 'ext': '.png', 'w': 1046, 'h': 744, 'tn_w': 125, 'tn_h': 88, 'tim': 1670846119970919, 'time': 1670846119, 'md5': 'uN/eVzVu2pAQUQ0dpCcmng==', 'fsize': 1362033, 'resto': 26152838}, {'no': 26158429, 'now': '12/12/22(Mon)07:02:06', 'name': 'Anonymous', 'com': '<a href=""#p26158418"" class=""quotelink"">&gt;&gt;26158418</a><br>THANK FUCK', 'time': 1670846526, 'resto': 26152838}, {'no': 26158438, 'now': '12/12/22(Mon)07:08:36', 'name': 'Anonymous', 'com': 'Thanks for showing up to this weeks rbretard rally, the slow, twisty and rugged gravel stages of the Acropolis Rally is up next. I&#039;ll hopefully be able to get some okayish pacenotes for you to use but I&#039;ve lost everything with my hdd dying so I can&#039;t promise anything,<br><br>Anyway, the results are already in the doc.<br>https://docs.google.com/spreadsheet<wbr>s/d/1vlVjNh8r6o_KYUFHf7Hcp8ZaYS5lsE<wbr>ZwFvTeu_K_c1Q/edit#gid=143822816', 'filename': 'Fjr605cWQAEo3i4', 'ext': '.jpg', 'w': 1080, 'h': 638, 'tn_w': 125, 'tn_h': 73, 'tim': 1670846916700590, 'time': 1670846916, 'md5': '5kUpUgds4th9krIu7Ij9ag==', 'fsize': 116296, 'resto': 26152838}, {'no': 26158441, 'now': '12/12/22(Mon)07:10:49', 'name': 'Anonymous', 'com': '<a href=""#p26158438"" class=""quotelink"">&gt;&gt;26158438</a><br>and we&#039;ll stick with reduced damage due to popular demand', 'time': 1670847049, 'resto': 26152838}]",1670847049,0.0,0.0
5,26155194,,,12/11/22(Sun)04:23:58,Anonymous,/ccg/ classic car general,"Classic car general<br><br>Real classics edition<br><br><span class=""quote"">&gt;For Classics made from 1980 or older, although exceptions are made for cars with a body style that started after 1990</span><br><span class=""quote"">&gt;Everybody has their own taste, but some tastes are wrong. If you aren&#039;t sure if your car is classic or not, it&#039;s not.</span><br><span class=""quote"">&gt;Your Honda Miata doesn&#039;t belong here.</span><br><span class=""quote"">&gt;US, Euro, Jap, or whatever.</span><br><span class=""quote"">&gt;Post your classic, your work on it, your hackery, and get advice.</span><br><span class=""quote"">&gt;Any and all discussion about classics welcome, but may not necessarily generate responses; don&#039;t get butthurt.</span><br><span class=""quote"">&gt;Period correct performance &gt; cosmetics.</span><br><span class=""quote"">&gt;Metal &gt; plastic.</span><br><span class=""quote"">&gt;Classic shitbox &gt; modern shitbox.</span><br><span class=""quote"">&gt;JBweld and RTV can fix anything</span><br><span class=""quote"">&gt;If you see rust there is more.</span><br><span class=""quote"">&gt;Rust and bodywork are the most difficult thing to repair.</span><br><span class=""quote"">&gt;Electrical work is difficult until you stop reading forum posts and buy a multimeter.</span><br><span class=""quote"">&gt;Low oil pressure? Worn mains and rod bearings. Use lucas and 15W40 until you afford a rebuild.</span><br><span class=""quote"">&gt;Do NOT buy a classic and plan to pay someone to work on it. You need to be able to do 90% or more of the work or you will go broke.</span><br><span class=""quote"">&gt;You will spend twice your budget, unless you have years of experience. If the salty old hands agree, it&#039;s true.</span><br><span class=""quote"">&gt;No one cares about your MPG</span><br><span class=""quote"">&gt;No one cares about your fake ptsd either</span><br><span class=""quote"">&gt;If you can&#039;t tune a carb you might literally be retarded</span><br><span class=""quote"">&gt;Nothing is as easy as it seems</span><br><span class=""quote"">&gt;Don&#039;t use your car as a bathroom</span><br><span class=""quote"">&gt;Post car or gtfo</span>",1642480631715,.jpg,950,713,250,187,1670750638766522,1670750638,CYM0wouUdLQmmtRL8wGUow==,130838,0,ccg-classic-car-general,105,19,100.0,18.0,"[{'no': 26158214, 'now': '12/12/22(Mon)03:38:05', 'name': 'Dracula', 'com': '<a href=""#p26158211"" class=""quotelink"">&gt;&gt;26158211</a><br>If it had it from the factory; yes.', 'time': 1670834285, 'resto': 26155194, 'trip': '!!f9RhbhdCD5U'}, {'no': 26158227, 'now': '12/12/22(Mon)03:48:10', 'name': 'Anonymous', 'com': '<a href=""#p26158214"" class=""quotelink"">&gt;&gt;26158214</a><br>Fuck. alright, maybe I can bribe them.', 'time': 1670834890, 'resto': 26155194}, {'no': 26158233, 'now': '12/12/22(Mon)03:51:41', 'name': 'Anonymous', 'com': '<a href=""#p26158017"" class=""quotelink"">&gt;&gt;26158017</a><br>Just like your mother', 'time': 1670835101, 'resto': 26155194}, {'no': 26158306, 'now': '12/12/22(Mon)05:13:03', 'name': 'Anonymous', 'com': '<a href=""#p26158211"" class=""quotelink"">&gt;&gt;26158211</a><br>You can drive with hand signals. Caution retarded fucks won’t know what it means. Every state is different. If you have to have a safety inspection it will fail. Also you will probably be charged for causing the accident because of failure to signal', 'filename': 'F1DA3D39-2D3D-454A-A7CB-16C2F3B2A462', 'ext': '.jpg', 'w': 4032, 'h': 3024, 'tn_w': 125, 'tn_h': 93, 'tim': 1670839983930337, 'time': 1670839983, 'md5': 'A2dqWLMyI6cBCcgaP9KNfg==', 'fsize': 2101842, 'resto': 26155194}, {'no': 26158440, 'now': '12/12/22(Mon)07:10:45', 'name': 'Anonymous', 'com': '<a href=""#p26158233"" class=""quotelink"">&gt;&gt;26158233</a><br>checked and rekt', 'time': 1670847045, 'resto': 26155194}]",1670847045,0.0,0.0
6,26154210,,,12/10/22(Sat)20:27:31,Anonymous,Hot shit I found one,At a walmart of all places,20221210_182526,.jpg,4032,2268,250,140,1670722051249830,1670722051,j8YI/2FDOHB9DOI1LU9w0Q==,1288627,0,hot-shit-i-found-one,7,1,2.0,1.0,"[{'no': 26155605, 'now': '12/11/22(Sun)09:32:14', 'name': 'Anonymous', 'com': '<a href=""#p26154210"" class=""quotelink"">&gt;&gt;26154210</a><br><span class=""quote"">&gt;shopping at walshart</span><br>Not going to make it. Become a costco chad', 'time': 1670769134, 'resto': 26154210}, {'no': 26155608, 'now': '12/11/22(Sun)09:33:16', 'name': 'Anonymous', 'com': 'My last doordash had one.', 'time': 1670769196, 'resto': 26154210}, {'no': 26155671, 'now': '12/11/22(Sun)10:08:46', 'name': 'Anonymous', 'com': '<a href=""#p26154215"" class=""quotelink"">&gt;&gt;26154215</a><br>This, I see Mavericks in Indianapolis all the time. There is even a couple Rivians floating around. They don&#039;t actually don&#039;t look too bad (the Rivian), but where the fuck can you buy one?', 'time': 1670771326, 'resto': 26154210}, {'no': 26155989, 'now': '12/11/22(Sun)12:42:48', 'name': 'Anonymous', 'com': 'Some old lady was driving one behind me the other day. I stopped short at a light to let someone turn and she starts flashing the gay little high beams at me and honking.', 'time': 1670780568, 'resto': 26154210}, {'no': 26158439, 'now': '12/12/22(Mon)07:09:13', 'name': 'Anonymous', 'com': 'Are Mavericks really so scarce there?<br>I live in a country where the Lariat Maverick costs almost 50k USD and the average income is 300 USD/month and I see them quite a lot', 'time': 1670846953, 'resto': 26154210}]",1670846953,0.0,0.0
7,26157292,,,12/11/22(Sun)19:46:13,Anonymous,,why do boomers in antique cars have such a lust for blood?,69 chevelle,.webm,270,480,140,250,1670805973229062,1670805973,EaSL/1rew2UCCL8WPi78Xg==,2598523,0,why-do-boomers-in-antique-cars-have-such-a-lust,40,2,35.0,2.0,"[{'no': 26157951, 'now': '12/12/22(Mon)00:45:43', 'name': 'Anonymous', 'com': '<a href=""#p26157934"" class=""quotelink"">&gt;&gt;26157934</a><br>It&#039;s a minivan.', 'time': 1670823943, 'resto': 26157292}, {'no': 26157957, 'now': '12/12/22(Mon)00:48:03', 'name': 'Anonymous', 'com': '<a href=""#p26157917"" class=""quotelink"">&gt;&gt;26157917</a><br>Tl;DR: roll off the throttle when youre giving it goose', 'time': 1670824083, 'resto': 26157292}, {'no': 26157962, 'now': '12/12/22(Mon)00:51:20', 'name': 'Anonymous', 'com': '<a href=""#p26157957"" class=""quotelink"">&gt;&gt;26157957</a><br>Or just be alert with your wheelwork if your frying doubles, especially at speed. There&#039;s no need to back off unless you feel you&#039;re stepping out beyond the range of your steering lock.', 'time': 1670824280, 'resto': 26157292}, {'no': 26158409, 'now': '12/12/22(Mon)06:45:27', 'name': 'Anonymous', 'com': '<a href=""#p26157292"" class=""quotelink"">&gt;&gt;26157292</a><br>Idk they&#039;re prolly the few remaining boomers with high test? Maybe that dude had a lot of vril too', 'time': 1670845527, 'resto': 26157292}, {'no': 26158435, 'now': '12/12/22(Mon)07:07:32', 'name': 'Anonymous', 'com': '<a href=""#p26157292"" class=""quotelink"">&gt;&gt;26157292</a><br>It&#039;s funny how the SUV does 15 rollovers like its in a Michael Bay movie while the chadvelle gracefully slides to the side of the road', 'time': 1670846852, 'resto': 26157292}]",1670846852,0.0,0.0
8,26158413,,,12/12/22(Mon)06:51:21,Anonymous,Pushrods are better than DOHC,Pushrods are better that DOHC bc you get these funny metal things :),31J8Du-w-nL._AC_SY580_,.jpg,315,212,250,168,1670845881265551,1670845881,p0GVYa4HgwJU7clW3h2HMQ==,13429,0,pushrods-are-better-than-dohc,2,2,,,"[{'no': 26158424, 'now': '12/12/22(Mon)06:57:27', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;his OHC engine doesn&#039;t have pushrods</span>', 'filename': 'Opel_cih_engine_without_valve_cover[1]', 'ext': '.jpg', 'w': 1037, 'h': 778, 'tn_w': 125, 'tn_h': 93, 'tim': 1670846247689855, 'time': 1670846247, 'md5': 'cYipiHn+GwqAF0ftrUM+9Q==', 'fsize': 191962, 'resto': 26158413}, {'no': 26158434, 'now': '12/12/22(Mon)07:07:07', 'name': 'Anonymous', 'com': '<a href=""#p26158413"" class=""quotelink"">&gt;&gt;26158413</a><br>Lol<br>Lmao', 'filename': '1670846821718', 'ext': '.jpg', 'w': 506, 'h': 900, 'tn_w': 70, 'tn_h': 125, 'tim': 1670846827540558, 'time': 1670846827, 'md5': 'XNGuvxZ+8dnphay8vMQsjg==', 'fsize': 67780, 'resto': 26158413}]",1670846827,0.0,0.0
9,26153297,,,12/10/22(Sat)14:15:48,Anonymous,,"What is a proper AWD system, and how do i find out if a car has a real one?",Asuka sip,.png,522,502,250,240,1670699748286260,1670699748,9oR/KJP5W90CH4kKy7g5CA==,568070,0,what-is-a-proper-awd-system-and-how-do-i-find-out,75,21,70.0,20.0,"[{'no': 26157926, 'now': '12/12/22(Mon)00:35:21', 'name': 'Anonymous', 'com': '<a href=""#p26154190"" class=""quotelink"">&gt;&gt;26154190</a><br>yes im serious rwd is superior<br>who goes straight to talking about the track when it comes to awd<br>nobody', 'time': 1670823321, 'resto': 26153297}, {'no': 26158112, 'now': '12/12/22(Mon)02:32:28', 'name': 'Anonymous', 'com': '<a href=""#p26153297"" class=""quotelink"">&gt;&gt;26153297</a><br>your car has real AWD if the engine is longitudinal <br>rear biased. between 2-98 front rear to 50-50 absolute limit', 'time': 1670830348, 'resto': 26153297}, {'no': 26158280, 'now': '12/12/22(Mon)04:35:01', 'name': 'Anonymous', 'com': 'The older Mitsubishi Montero has a locking centre diff that provides 50:50 power on demand', 'time': 1670837701, 'resto': 26153297}, {'no': 26158421, 'now': '12/12/22(Mon)06:56:08', 'name': 'Anonymous', 'com': '<a href=""#p26157926"" class=""quotelink"">&gt;&gt;26157926</a><br>Uh if your talking about bench racing alot of AWD cars have some absolutely incredible track times so let&#039;s skip to the part where I call you a dumb nigger', 'time': 1670846168, 'resto': 26153297}, {'no': 26158432, 'now': '12/12/22(Mon)07:05:01', 'name': 'Anonymous', 'com': '<a href=""#p26155555"" class=""quotelink"">&gt;&gt;26155555</a><br>Audi and Subaru use center diffs, they just put them inside the transmission casing.', 'filename': 'Audi-automatic-transmission-with-Torsen-center-differential-[1]', 'ext': '.jpg', 'w': 754, 'h': 500, 'tn_w': 125, 'tn_h': 82, 'tim': 1670846701113840, 'time': 1670846701, 'md5': 'PSwCzQt+KB2ipkfomGPUVA==', 'fsize': 81134, 'resto': 26153297}]",1670846701,0.0,0.0
