,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,filedeleted,trip
0,38571,1.0,1.0,03/21/13(Thu)22:55,Anonymous,Welcome to /out/!,"We encourage you to have a look around the catalog first to see what we’re all about before posting your first thread. Topics typically posted here include:<br><span class=""quote"">&gt;Outdoor recreational activities (Hiking, trail running, bushwhacking, camping, spelunking, geocaching, orienteering, expeditions, urban exploration, backpacking, etc.)</span><br><span class=""quote"">&gt;Gardening, farming and related activities</span><br><span class=""quote"">&gt;Hunting and fishing, and other activities involving the stalking or taking of game (including bird-watching)</span><br><span class=""quote"">&gt;Outdoor survival, bushcraft, foraging, self-sustenance in nature, train-hopping, hoboism, etc.</span><br><span class=""quote"">&gt;Outdoor destinations and exploration (specific trails, parks, regions, etc.)</span><br><span class=""quote"">&gt;Water-related activities (boats, diving, etc.)</span><br><span class=""quote"">&gt;Outdoor philosophy (conservation, Leave No Trace, protectionism, etc.)</span><br><span class=""quote"">&gt;Outdoor building and living (cabins, huts, treehouses, etc.)</span><br><span class=""quote"">&gt;Outdoor social activities and organizations (meet-ups, Scouts, NOLS, etc.)</span><br><span class=""quote"">&gt;Gear related to any of the above topics</span><br><br>Most topics related to the outdoors are fine. Write properly, behave politely, encourage a respectful community, and most importantly, GO OUTSIDE!!",out1,.jpg,746.0,514.0,250.0,172.0,1363920914821.0,1363920914,/lDkVbj+h0ONGCPzPr1gtA==,75118.0,0,mod,welcome-to-out,2,1,1.0,1.0,"[{'no': 2400529, 'now': '06/23/22(Thu)15:36:09', 'name': 'Anonymous', 'com': 'Just a friendly reminder that threads about weapons which do not pertain to their use in outdoor activities should be posted on /k/ instead. Thanks.', 'time': 1656012969, 'resto': 38571, 'capcode': 'mod'}]",1656012969,,,,
1,2508727,,,12/12/22(Mon)07:15:03,Anonymous,Kerosene,"So, a few years ago, I purchased a shitty pressure stove to run kerosene through in case of a power outage so I could run both my heaters and cook off of the same fluid to reduce the types of fuel purchased. Unfortunately, I bought a POS stove that I had to repair immediately upon purchase as it came assembled incorrectly. I broke it out recently to use it, only to discover that the pressure pump seals had degraded to the point it&#039;s definitely time to replace it.<br><br>Kerosene stoves and options for them? &quot;Just use butane, lol.&quot; kys",PXL_20201127_184445403,.jpg,4032.0,3024.0,250.0,187.0,1670847303159237.0,1670847303,B5iNi0D4OCbB6/ik+IFu8w==,2197958.0,0,,kerosene,0,0,,,,1670847303,0.0,0.0,,
2,2503829,,,12/01/22(Thu)05:46:37,Anonymous,,"UK /out/ists, I have managed to get passive income/work from home, so no longer need to live in an urban hellhole. I am considering buying a plot of land in the Scottish Highlands and would prefer to live on the land full time/most of the time<br>Can I just buy something like picrel (small cabin/big shed), put it up on the plot, and live in it? What are the rules/regulations in the UK(scotland in particular) about living off grid like this?",R (3),.jpg,1024.0,1024.0,250.0,250.0,1669891597074431.0,1669891597,ovxZ5BdSP0wmmyPGgP1R3w==,332914.0,0,,uk-outists-i-have-managed-to-get-passive,13,2,8.0,2.0,"[{'no': 2507083, 'now': '12/09/22(Fri)00:23:59', 'name': 'Anonymous', 'com': '<a href=""#p2505650"" class=""quotelink"">&gt;&gt;2505650</a><br>12 of the 14 kidnappers were feds. Piss up a rope.', 'time': 1670563439, 'resto': 2503829}, {'no': 2507395, 'now': '12/09/22(Fri)14:23:26', 'name': 'Anonymous', 'com': 'Please share what you did to earn money', 'time': 1670613806, 'resto': 2503829}, {'no': 2507977, 'now': '12/10/22(Sat)15:25:37', 'name': 'Anonymous', 'com': 'You&#039;re only the 10 millionth Englishman to have had this idea, fuck off we&#039;re full. (Also land here is expensive for that reason, and you&#039;ll get kicked off it by the council+police if you do that, thank fuck).', 'time': 1670703937, 'resto': 2503829}, {'no': 2508602, 'now': '12/11/22(Sun)21:48:24', 'name': 'Anonymous', 'com': '<a href=""#p2503829"" class=""quotelink"">&gt;&gt;2503829</a><br>Check out the FB group Diggers and Dreamers. Erecting tinyhomes in defiance of British council restrictions is their main topic of conversation.', 'time': 1670813304, 'resto': 2503829}, {'no': 2508726, 'now': '12/12/22(Mon)07:08:54', 'name': 'Anonymous', 'com': 'In theory, you can&#039;t live in a &#039;temporary&#039; structure like this in Scotland unless it adheres to the same rules any &#039;permanent&#039; building has to meet (planning permission, irrigation standards, etc.). If you buy land and do nothing with it (i.e., don&#039;t apply for planning or commercial permits) the government will be suspicious and send people to check. In practice, you could almost certainly get away with it if there was already a compliant, permanent structure on the land, because they&#039;d never suspect someone would own such a place and choose to live in a temporary alternative. As such you wouldn&#039;t appear on their &quot;watch lists&quot;. That might not be realistic for you but, basically, if you find a site with a small, crap house that&#039;s up to code, you can get away with doing what you want after that.', 'time': 1670846934, 'resto': 2503829}]",1670846934,0.0,0.0,,
3,2508703,,,12/12/22(Mon)06:20:31,Anonymous,Keeping warm while winter camping,"How do you guys keep yourself warm during the night when winter camping? <br><br>Some of my friends and myself will build a self-feeding fire outside of our tents, sometimes using the &#039;log-jenga method&#039;, and sometimes using the method where large logs fall down a frame as the logs at the bottom turn to ash. <br><br>Whereas other friends I have will have a fire in the evening, but will then rely solely on their clothing and sleeping bag to keep them warm, but still keeping tinder, kindling, and processed logs in their tent if they get too cold and need to build a fire quickly in the night if it gets too cold. <br><br><br>How do you do it? What clothes do you wear in your sleeping bag? What other measures do you take to keep yourself warm during the night and what do you do to prepare in case the night is colder than you&#039;re expecting and have to warm yourself up quickly? <br><br>I&#039;d be very interested to know.",winter-camping-hand-holding-cup-in-tent-snow-in-pine-forest,.jpg,900.0,600.0,250.0,166.0,1670844031819194.0,1670844031,6Ct0du/CX4Pui3aR3B2BoQ==,106834.0,0,,keeping-warm-while-winter-camping,6,0,1.0,0.0,"[{'no': 2508717, 'now': '12/12/22(Mon)06:41:35', 'name': 'Anonymous', 'com': '<a href=""#p2508711"" class=""quotelink"">&gt;&gt;2508711</a><br><br>Be careful with the candle method. It can burn a hole through these modern material tents real fast if positioned poorly.', 'time': 1670845295, 'resto': 2508703}, {'no': 2508718, 'now': '12/12/22(Mon)06:41:48', 'name': 'Anonymous', 'com': '<a href=""#p2508711"" class=""quotelink"">&gt;&gt;2508711</a><br>This is fantastic advice. I&#039;ve seen friends complain that they&#039;re freezing and they don&#039;t understand why because they have down sleeping bags, fleece coveralls, and all of these thermal underlayers, but then they just have a standard foam mat to sleep on instead of having an appropriate mat. <br><br>I&#039;ve never heard of someone using a candle for warmth. That&#039;s actually really interesting.', 'time': 1670845308, 'resto': 2508703}, {'no': 2508723, 'now': '12/12/22(Mon)06:51:32', 'name': 'Anonymous', 'com': '<a href=""#p2508718"" class=""quotelink"">&gt;&gt;2508718</a><br>It&#039;s a very effective, convenient method for warming a small space but like <a href=""#p2508717"" class=""quotelink"">&gt;&gt;2508717</a><br>said, you&#039;ve got to be careful doing it. You could easily burn your tent down. I&#039;ve heard some people will cover themselves and the candle with a blanket - or similar - creating a kind of teepee inside the tent with your head acting as the pole. That &#039;inner tent&#039; becomes much warmer, much quicker and the heat is then trapped at the top of the blanket (which is easier for you to monitor) rather than risking burning synthetics in the tent roof. You have to be aware of CO poisoning of course.', 'time': 1670845892, 'resto': 2508703}, {'no': 2508724, 'now': '12/12/22(Mon)06:53:17', 'name': 'Anonymous', 'com': '<a href=""#p2508718"" class=""quotelink"">&gt;&gt;2508718</a><br><br>Hurricane lanterns work well too and are generally safer if you keep the flame blue and short. Alternatively, get some self trimming wick and some crisco....', 'time': 1670845997, 'resto': 2508703}, {'no': 2508725, 'now': '12/12/22(Mon)06:57:46', 'name': 'Anonymous', 'com': '<a href=""#p2508723"" class=""quotelink"">&gt;&gt;2508723</a><br><a href=""#p2508724"" class=""quotelink"">&gt;&gt;2508724</a><br><br>I haven&#039;t tried this and forgot to post it in above post. A dietz lantern and mylar reflector on the non laying side of the tent, not covering the vents might work too? I&#039;m going to be experimenting this January.', 'time': 1670846266, 'resto': 2508703}]",1670846266,0.0,0.0,,
4,2508516,,,12/11/22(Sun)19:30:21,Anonymous,,which headlamp / torch do you use?,124789225613,.jpg,800.0,800.0,250.0,250.0,1670805021001708.0,1670805021,CCaL6tr/asLiPYz3XpDFdQ==,57641.0,0,,which-headlamp-torch-do-you-use,21,3,16.0,3.0,"[{'no': 2508675, 'now': '12/12/22(Mon)02:40:59', 'name': 'Anonymous', 'com': '<a href=""#p2508648"" class=""quotelink"">&gt;&gt;2508648</a><br>average bong', 'time': 1670830859, 'resto': 2508516}, {'no': 2508688, 'now': '12/12/22(Mon)04:17:52', 'name': 'Anonymous', 'com': '<a href=""#p2508516"" class=""quotelink"">&gt;&gt;2508516</a><br>I actually use the one in pic, got it last christmas, its not as powerful as the headlight I already have but being able to charge it off a powerbank makes me take it out more.', 'time': 1670836672, 'resto': 2508516}, {'no': 2508692, 'now': '12/12/22(Mon)04:54:02', 'name': 'Anonymous', 'com': 'Everbeam H6 Pro<br><br>still works even after i dropped into a camp fire.', 'time': 1670838842, 'resto': 2508516}, {'no': 2508699, 'now': '12/12/22(Mon)05:49:42', 'name': 'Anonymous', 'com': '<a href=""#p2508516"" class=""quotelink"">&gt;&gt;2508516</a><br>90&#039;s petzl I converted to LED and two parallel 18650s. Can leave it on for over three days.', 'time': 1670842182, 'resto': 2508516}, {'no': 2508722, 'now': '12/12/22(Mon)06:49:42', 'name': 'Anonymous', 'com': '<a href=""#p2508527"" class=""quotelink"">&gt;&gt;2508527</a><br>i got the new 450 lumens version.', 'time': 1670845782, 'resto': 2508516}]",1670845782,0.0,0.0,,
5,2508674,,,12/12/22(Mon)02:28:27,Anonymous,,"<span class=""quote"">&gt;get into hiking to meet cute girls and have sex</span><br><span class=""quote"">&gt;all hiking groups are filled with middle aged women</span><br><br>Anyone noticed this? It&#039;s always middle aged women. Where are all the cute college girls?",3BE54952-8B5D-4B03-BC4C-B1D98DB56AF1,.jpg,1198.0,1063.0,250.0,221.0,1670830107419925.0,1670830107,2rxX7uHaLYy/QzVoppztmw==,596137.0,0,,get-into-hiking-to-meet-cute-girls-and-have-sex,4,0,,,"[{'no': 2508678, 'now': '12/12/22(Mon)02:49:05', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Where are all the cute college girls?</span><br>Just go do easy hikes that are famous for your area.<br><br>Example: the Manitou incline, hot bitches everywhere', 'time': 1670831345, 'resto': 2508674}, {'no': 2508704, 'now': '12/12/22(Mon)06:24:59', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Get into hiking to meet cute girls </span><br>Bad plan, brother. Hiking is best alone. If you want to enjoy an outdoorsy activity and meet sexy girls, try bouldering. I swear I&#039;ve never been to a bouldering gym where there wasn&#039;t at least 3-4 beautiful, fit women.', 'time': 1670844299, 'resto': 2508674}, {'no': 2508715, 'now': '12/12/22(Mon)06:38:59', 'name': 'Anonymous', 'com': '<a href=""#p2508674"" class=""quotelink"">&gt;&gt;2508674</a><br><span class=""quote"">&gt;be terminal coomer</span><br><span class=""quote"">&gt;disappointed with life</span><br>such many cases', 'time': 1670845139, 'resto': 2508674}, {'no': 2508721, 'now': '12/12/22(Mon)06:46:57', 'name': 'Anonymous', 'com': '<a href=""#p2508674"" class=""quotelink"">&gt;&gt;2508674</a><br>You say middle aged women like its a bad thing. They are less likely to only show you their tattoo like a 23&gt; year old.', 'time': 1670845617, 'resto': 2508674}]",1670845617,0.0,0.0,,
6,2492125,,,11/05/22(Sat)14:59:13,Anonymous,/patch/ thread,"<span class=""quote"">&gt;Winter Edition</span><br>Post yer patches, discuss yer patches, design yer patches.",snow-embroidered-ptatch,.jpg,656.0,652.0,250.0,248.0,1667674753949808.0,1667674753,Gc5UMDRYrBLaHazLbyXXlA==,77613.0,0,,patch-thread,102,23,97.0,23.0,"[{'no': 2508545, 'now': '12/11/22(Sun)20:06:02', 'name': 'Anonymous', 'com': '<a href=""#p2502292"" class=""quotelink"">&gt;&gt;2502292</a><br>The fact that that patch was probably made by some /in/cel goblin who watched one too many episodes of The Terror and thought it was a documentary, makes it even more embarrassing. It&#039;s the same type of person who&#039;s posting the running away from home threads that I referenced in my first post. It would be a lot more meaningful if any of you actually did any of the things you post about. But I guess that&#039;s also an unrealistic expectation at this point.', 'time': 1670807162, 'resto': 2492125}, {'no': 2508588, 'now': '12/11/22(Sun)21:23:13', 'name': 'Anonymous', 'com': '<a href=""#p2508545"" class=""quotelink"">&gt;&gt;2508545</a><br>How many times you going to reply to me?', 'time': 1670811793, 'resto': 2492125}, {'no': 2508710, 'now': '12/12/22(Mon)06:37:44', 'name': 'Anonymous', 'com': '<a href=""#p2508545"" class=""quotelink"">&gt;&gt;2508545</a><br><span class=""quote"">&gt;the fact that</span><br>Yeah no...<br>You&#039;re looking at a piece of art and saying &quot;buh the painter was a bad guy&quot;<br>You are legitimately worse than the smooth brained n/out/ retards who have ruined this board.<br>The idea that the content of the art is not what inspires the meaning, but rather the context, is brainwashed liberal arts thinking. Fuck yourself.', 'time': 1670845064, 'resto': 2492125}, {'no': 2508719, 'now': '12/12/22(Mon)06:44:38', 'name': 'Anonymous', 'com': '<a href=""#p2508710"" class=""quotelink"">&gt;&gt;2508710</a><br><span class=""quote"">&gt;You are legitimately worse than the smooth brained n/out/ retards who have ruined this board</span><br>You mean like you?', 'time': 1670845478, 'resto': 2492125}, {'no': 2508720, 'now': '12/12/22(Mon)06:44:49', 'name': 'Anonymous', 'com': '<a href=""#p2508719"" class=""quotelink"">&gt;&gt;2508719</a><br>Yeah', 'time': 1670845489, 'resto': 2492125}]",1670845489,0.0,0.0,,
7,2498596,,,11/19/22(Sat)22:27:30,Anonymous,Out on motorcycles,Anybody like to moto camp,2A236673-CC5C-4DEF-8C1B-CFC7D4630C6D,.jpg,4032.0,3024.0,250.0,187.0,1668914850369750.0,1668914850,rbyUsyNrmf37+COg9qcQCw==,5189430.0,0,,out-on-motorcycles,61,29,56.0,26.0,"[{'no': 2508567, 'now': '12/11/22(Sun)20:43:23', 'name': 'Anonymous', 'com': 'thoughts?', 'filename': 'PA3XLZBJ3FC7VDBL2JHPO2QGGI[1]', 'ext': '.jpg', 'w': 2000, 'h': 1500, 'tn_w': 125, 'tn_h': 93, 'tim': 1670809403116722, 'time': 1670809403, 'md5': 'eHn662xWgQGLdJx/g4KMUw==', 'fsize': 320629, 'resto': 2498596}, {'no': 2508569, 'now': '12/11/22(Sun)20:46:02', 'name': 'Anonymous', 'com': '<a href=""#p2508567"" class=""quotelink"">&gt;&gt;2508567</a><br><br>thanks for the parcel, mate.', 'time': 1670809562, 'resto': 2498596}, {'no': 2508584, 'now': '12/11/22(Sun)21:13:54', 'name': 'Anonymous', 'com': '<a href=""#p2508260"" class=""quotelink"">&gt;&gt;2508260</a><br>I have a 250 and take it on the highways a lot, it&#039;s doable but you have to pay attention to other drivers. Basically treat them all like they are retards that are trying to actively kill you and you&#039;ll be fine.', 'filename': 'Rice Burner ', 'ext': '.jpg', 'w': 4032, 'h': 3024, 'tn_w': 125, 'tn_h': 93, 'tim': 1670811234241233, 'time': 1670811234, 'md5': 'XYKdrzhzms0QopB4qXzbqA==', 'fsize': 4429699, 'resto': 2498596}, {'no': 2508707, 'now': '12/12/22(Mon)06:33:35', 'name': 'Anonymous', 'com': '<a href=""#p2508584"" class=""quotelink"">&gt;&gt;2508584</a><br><br>But I mean like, they actively try to kill me when I&#039;m in a car too. I almost got rear ended by some kid going 120 in a 50 the other day. Fucking Mexicants throw their construction trash out of the back of their trucks onto the highway, and suddenly everything is 2x4s with nails.<br><br>Guess avoiding the highway at all costs is fine, if slow.', 'time': 1670844815, 'resto': 2498596}, {'no': 2508716, 'now': '12/12/22(Mon)06:40:36', 'name': 'Anonymous', 'com': '<a href=""#p2508379"" class=""quotelink"">&gt;&gt;2508379</a><br>Queensland and Scotland once', 'filename': '1580687789562', 'ext': '.jpg', 'w': 661, 'h': 259, 'tn_w': 124, 'tn_h': 48, 'tim': 1670845236798239, 'time': 1670845236, 'md5': '91BEvRKsaKBTEjpCgY8IdA==', 'fsize': 25906, 'resto': 2498596}]",1670845236,0.0,0.0,,
8,2499906,,,11/22/22(Tue)19:55:16,Anonymous,Firewood,"Why do people carry a hatchet or large knife to process wood when hiking in? I always just collect deadfall, and leave anything that’s too big for me to break up by propping one end on a rock and stomping or jumping on it",66419F05-E600-4A1E-A7A0-7D2ADD53B250,.jpg,800.0,533.0,250.0,166.0,1669164916053006.0,1669164916,ZAPo86HZh/gmRUhOEdDE/A==,143269.0,0,,firewood,53,3,48.0,3.0,"[{'no': 2506566, 'now': '12/07/22(Wed)23:05:48', 'name': 'Anonymous', 'com': '<a href=""#p2503707"" class=""quotelink"">&gt;&gt;2503707</a><br>I&#039;d like to concentrate my sap content in your knots IYKWIM', 'time': 1670472348, 'resto': 2499906}, {'no': 2506571, 'now': '12/07/22(Wed)23:14:52', 'name': 'Anonymous', 'com': '<a href=""#p2506566"" class=""quotelink"">&gt;&gt;2506566</a><br>God danmn you leaf.', 'time': 1670472892, 'resto': 2499906}, {'no': 2507144, 'now': '12/09/22(Fri)02:19:05', 'name': 'Anonymous', 'com': '<a href=""#p2499906"" class=""quotelink"">&gt;&gt;2499906</a><br>i just like chopping wood :)', 'time': 1670570345, 'resto': 2499906}, {'no': 2508269, 'now': '12/11/22(Sun)07:21:39', 'name': 'Anonymous', 'com': '<a href=""#p2505827"" class=""quotelink"">&gt;&gt;2505827</a><br>I have this and have used it extensively for 2 years now. Awesome tool. I hike, hunt, and camp in the White Mountains, NH.', 'time': 1670761299, 'resto': 2499906}, {'no': 2508714, 'now': '12/12/22(Mon)06:38:55', 'name': 'Anonymous', 'com': '<a href=""#p2499906"" class=""quotelink"">&gt;&gt;2499906</a><br>I will usually have a folding saw and hatchet to process wood, but sometimes I&#039;ll use a BRKT Canadian Camp 2 as my only knife and use that to process wood, but I&#039;ve only done that a couple of times. <br><br><br>The reason is that a lot of people love in wetter climates, and especially during the winter, dead fall won&#039;t burn because it&#039;s too wet. But if you split it, you get to the drier wood inside.', 'time': 1670845135, 'resto': 2499906}]",1670845135,0.0,0.0,,
9,2504419,,,12/02/22(Fri)17:23:58,Anonymous,,How do we encourage women to go /out/side more and enjoy nature?,1670017951931432,.jpg,2048.0,1536.0,250.0,187.0,1670019838414844.0,1670019838,seyQUvU190jJZc0LUawaUg==,485371.0,0,,how-do-we-encourage-women-to-go-outside-more-and,75,16,70.0,13.0,"[{'no': 2508418, 'now': '12/11/22(Sun)15:34:15', 'name': 'Anonymous', 'com': '<a href=""#p2508372"" class=""quotelink"">&gt;&gt;2508372</a><br>This is a 92y/o woman who wore sun screen on her face but not neck her whole life. The sun is horrible for you and you can get vitamin from salmon', 'filename': 'BE2551E2-4BD9-4BB3-868E-9B65D2A7CCE8', 'ext': '.jpg', 'w': 425, 'h': 425, 'tn_w': 125, 'tn_h': 125, 'tim': 1670790855759551, 'time': 1670790855, 'md5': 'yioBM7He3Z7I59DM3CmIdw==', 'fsize': 54970, 'resto': 2504419}, {'no': 2508419, 'now': '12/11/22(Sun)15:36:15', 'name': 'Anonymous', 'com': '<a href=""#p2508372"" class=""quotelink"">&gt;&gt;2508372</a><br><a href=""#p2508418"" class=""quotelink"">&gt;&gt;2508418</a><br>This is a truck driver whose half face was exposed to the sun his whole career. People from Northern Europe are not meant to have USA sun, were across from Africa', 'filename': '80273506-E693-474C-8500-8C1E17694C9B', 'ext': '.jpg', 'w': 959, 'h': 959, 'tn_w': 125, 'tn_h': 125, 'tim': 1670790975565513, 'time': 1670790975, 'md5': 'msMdkJtFNgAZ3n9JbEk9OQ==', 'fsize': 108475, 'resto': 2504419}, {'no': 2508544, 'now': '12/11/22(Sun)20:05:23', 'name': 'Anonymous', 'com': '<a href=""#p2508372"" class=""quotelink"">&gt;&gt;2508372</a><br>I take a Vitamin D supplement and do the recommended dose of sunlight anyway. Blood tests always come back fine and I’m very pale.<br>When I go out I wear sunscreen and a proper outdoors hat. I need to get a better hat tho.<br><br><span class=""quote"">&gt;For some people, spending 15–30 minutes in the sun around midday 3–4 times a week is enough to maintain healthy levels of vitamin D</span>', 'filename': 'jessika unrau', 'ext': '.jpg', 'w': 1062, 'h': 1200, 'tn_w': 110, 'tn_h': 125, 'tim': 1670807123091238, 'time': 1670807123, 'md5': 'FykaDtbdJljcpJ3UgEhbNg==', 'fsize': 309187, 'resto': 2504419}, {'no': 2508546, 'now': '12/11/22(Sun)20:07:03', 'name': 'Anonymous', 'com': '<a href=""#p2508544"" class=""quotelink"">&gt;&gt;2508544</a><br>Why does her hair look so ratty and unwashed? Why do women do that?', 'time': 1670807223, 'resto': 2504419}, {'no': 2508713, 'now': '12/12/22(Mon)06:38:47', 'name': 'Anonymous', 'com': '<a href=""#p2508401"" class=""quotelink"">&gt;&gt;2508401</a><br><br>I guess? No ass going numb for sure. But it&#039;s the digging a hole before doing your business that gets me. Modern plumbing is great. I&#039;d rather a Japanese toilet than poop outside. It&#039;s the privacy and ease of disposal. I&#039;ve been attacked in bathrooms before, so being out in the open makes me paranoid and afraid. Peeing isn&#039;t so bad, but stomach issues means I will be pooping for some time.', 'time': 1670845127, 'resto': 2504419}]",1670845127,0.0,0.0,,
