,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip,filedeleted
0,38571,1.0,1.0,03/21/13(Thu)22:55,Anonymous,Welcome to /out/!,"We encourage you to have a look around the catalog first to see what we’re all about before posting your first thread. Topics typically posted here include:<br><span class=""quote"">&gt;Outdoor recreational activities (Hiking, trail running, bushwhacking, camping, spelunking, geocaching, orienteering, expeditions, urban exploration, backpacking, etc.)</span><br><span class=""quote"">&gt;Gardening, farming and related activities</span><br><span class=""quote"">&gt;Hunting and fishing, and other activities involving the stalking or taking of game (including bird-watching)</span><br><span class=""quote"">&gt;Outdoor survival, bushcraft, foraging, self-sustenance in nature, train-hopping, hoboism, etc.</span><br><span class=""quote"">&gt;Outdoor destinations and exploration (specific trails, parks, regions, etc.)</span><br><span class=""quote"">&gt;Water-related activities (boats, diving, etc.)</span><br><span class=""quote"">&gt;Outdoor philosophy (conservation, Leave No Trace, protectionism, etc.)</span><br><span class=""quote"">&gt;Outdoor building and living (cabins, huts, treehouses, etc.)</span><br><span class=""quote"">&gt;Outdoor social activities and organizations (meet-ups, Scouts, NOLS, etc.)</span><br><span class=""quote"">&gt;Gear related to any of the above topics</span><br><br>Most topics related to the outdoors are fine. Write properly, behave politely, encourage a respectful community, and most importantly, GO OUTSIDE!!",out1,.jpg,746.0,514.0,250.0,172.0,1363920914821.0,1363920914,/lDkVbj+h0ONGCPzPr1gtA==,75118.0,0,mod,welcome-to-out,2,1,1.0,1.0,"[{'no': 2400529, 'now': '06/23/22(Thu)15:36:09', 'name': 'Anonymous', 'com': 'Just a friendly reminder that threads about weapons which do not pertain to their use in outdoor activities should be posted on /k/ instead. Thanks.', 'time': 1656012969, 'resto': 38571, 'capcode': 'mod'}]",1656012969,,,,
1,2508085,,,12/10/22(Sat)19:41:33,Anonymous,,Have you ever got turnt around and lost your way? How did you get back?,feature-image-child-crying-alone-2,.jpg,1200.0,675.0,250.0,140.0,1670719293698376.0,1670719293,FuhcVfCGuA36OGMRB8IRbQ==,254563.0,0,,have-you-ever-got-turnt-around-and-lost-your-way,22,0,17.0,0.0,"[{'no': 2509159, 'now': '12/13/22(Tue)01:35:10', 'name': 'Anonymous', 'com': '<a href=""#p2508960"" class=""quotelink"">&gt;&gt;2508960</a><br><span class=""quote"">&gt;Rivers don&#039;t move over time! </span><br><span class=""quote"">&gt;I don&#039;t need to check my position with distant points </span><br><span class=""quote"">&gt;fuck using a compass </span><br><span class=""quote"">&gt;I couldn&#039;t find a road 50&#039; away</span><br>...I think I see a pattern here.', 'time': 1670913310, 'resto': 2508085}, {'no': 2509170, 'now': '12/13/22(Tue)02:34:43', 'name': 'Anonymous', 'com': 'BACK IN THE 90s:<br><span class=""quote"">&gt;be hiking in outback Queensland</span><br><span class=""quote"">&gt;friend leading the trail</span><br><span class=""quote"">&gt;Trail seems to be getting rough </span><br><span class=""quote"">&gt;Friend is pressing ahead confidently so. cool we must be good.</span><br><span class=""quote"">&gt;Eventually deadends, </span><br><span class=""quote"">&gt;Friend goes &quot;Oh yeah i wasn&#039;t sure about this trail like ages ago&quot;</span><br><span class=""quote"">&gt;He brought a map of the area but no compass</span><br><span class=""quote"">&gt;Figured it would just be trails</span><br><span class=""quote"">&gt;All my boy scout useless facts kick in</span><br><span class=""quote"">&gt;Holy shit i can make a compass one second.</span><br><span class=""quote"">&gt;sewing kit for needle</span><br><span class=""quote"">&gt;clip on sunglasses for magnet</span><br><span class=""quote"">&gt;leaf to float it in a cup of water.</span><br><span class=""quote"">&gt;Compare nearby mountains on map</span><br><span class=""quote"">&gt;Find rough location and get a heading</span><br><span class=""quote"">&gt;Find river we were meant to be near</span><br><span class=""quote"">&gt;Find much better, well marked path.</span><br><br>THESE DAYS:<br><span class=""quote"">&gt;Have smartphone, </span><br><span class=""quote"">&gt;Screenshot any hiking trails or maps in the area</span><br><span class=""quote"">&gt;Bring spare batteries </span><br><span class=""quote"">&gt;Don&#039;t assume friend knows what he&#039;s doing</span>', 'time': 1670916883, 'resto': 2508085}, {'no': 2509184, 'now': '12/13/22(Tue)05:09:36', 'name': 'Anonymous', 'com': '<a href=""#p2509159"" class=""quotelink"">&gt;&gt;2509159</a><br>Yeah, that guy should feel bad for being a braindead retarded', 'time': 1670926176, 'resto': 2508085}, {'no': 2509186, 'now': '12/13/22(Tue)05:20:32', 'name': 'Anonymous', 'com': '<a href=""#p2508085"" class=""quotelink"">&gt;&gt;2508085</a><br>i got lost in athens once. very confusing city', 'time': 1670926832, 'resto': 2508085}, {'no': 2509204, 'now': '12/13/22(Tue)07:15:10', 'name': 'Anonymous', 'com': '<a href=""#p2509150"" class=""quotelink"">&gt;&gt;2509150</a><br>I’m 41, and no, I did t assume that. It’s fucking insane to me that I can say we were using two paper maps and one guy had AllTrails on the group trip, while I had a paper map when I was solo years before, and everyone defers their argument to electronic devices and apps.', 'time': 1670933710, 'resto': 2508085}]",1670933710,0.0,0.0,,
2,2497610,,,11/17/22(Thu)22:16:05,Anonymous,Residential squirrel hunting,I’m trying to do some squirrel hunting to get in to the fall mood and practice being self-sufficient. The problem is my new apartment is above a detached garage and located in a mostly rural neighborhood. It’s out far enough in the country in a red county that as long as I’m not killing deer and not blasting 30 rounds back to back. Anyone have any tips or suggestions. See attached pic for layout,4F747BF6-C715-44CA-90C5-1BA438D2BB63,.jpg,2929.0,1768.0,250.0,150.0,1668741365066182.0,1668741365,oZta0ggny0b5KPpKeLpdLA==,1956811.0,0,,residential-squirrel-hunting,35,4,30.0,1.0,"[{'no': 2508673, 'now': '12/12/22(Mon)02:25:25', 'name': 'Anonymous', 'com': 'Holy balls, boys. <br>He did say &quot;practice&quot;', 'time': 1670829925, 'resto': 2497610}, {'no': 2508785, 'now': '12/12/22(Mon)10:39:46', 'name': 'Anonymous', 'com': 'Yesterday&#039;s harvest', 'filename': '594D49FF-3AA9-4118-8831-78EC7A780C3F', 'ext': '.jpg', 'w': 960, 'h': 1280, 'tn_w': 93, 'tn_h': 125, 'tim': 1670859586531407, 'time': 1670859586, 'md5': 'yaeQ6aSgCxt/HawwZtSJMA==', 'fsize': 780109, 'resto': 2497610}, {'no': 2508818, 'now': '12/12/22(Mon)11:49:47', 'name': 'Anonymous', 'com': '<a href=""#p2499763"" class=""quotelink"">&gt;&gt;2499763</a><br>I have this shit and it rocks. Mine is a .22, incredibly light and handy, pinpoint accurate, extremely silent with the included suppressor. I&#039;ve even taken largeish rabbits with it. You need a hand pump for it with is kinda expensive ($150) but I think the investment is worth it. Buy good pellets too, JSB Hades are excellent for hunting but expensive to practice with, the Crossmans are fine for that.', 'filename': '076ba4b951cd8127ad0874859d7836c6b5fc54c3e832c040a554e07171ea598e', 'ext': '.jpg', 'w': 1280, 'h': 960, 'tn_w': 125, 'tn_h': 93, 'tim': 1670863787464203, 'time': 1670863787, 'md5': 'T5ATLvFgd3Et/n6PuE54Pg==', 'fsize': 618014, 'resto': 2497610}, {'no': 2509130, 'now': '12/12/22(Mon)23:55:46', 'name': 'Anonymous', 'com': 'Air rifle, suppressed 22, bow with thumper tips or snares/traps. <br><br>Snares and traps are awesome once you get the hang of it, but be carful you don&#039;t accidentally catch someone&#039;s cat or dog.', 'filename': 'Screenshot_20221212-214315', 'ext': '.jpg', 'w': 1389, 'h': 915, 'tn_w': 125, 'tn_h': 82, 'tim': 1670907346813618, 'time': 1670907346, 'md5': 'HsXqlpFZCMuaOTQLPJXqNQ==', 'fsize': 323517, 'resto': 2497610}, {'no': 2509203, 'now': '12/13/22(Tue)06:58:28', 'name': 'Anonymous', 'com': '<a href=""#p2497755"" class=""quotelink"">&gt;&gt;2497755</a><br>He literally asked this garbage over there and we came to the same conclusion', 'time': 1670932708, 'resto': 2497610}]",1670932708,0.0,0.0,,
3,2509182,,,12/13/22(Tue)04:38:42,Anonymous,What are some of the most dangerous wildlife you might come across while /out/ in North America?,,1024px-Moose_superior,.jpg,1023.0,958.0,250.0,234.0,1670924322999497.0,1670924322,Ro4/2B7cW65Xxlsq8exgRw==,326518.0,0,,what-are-some-of-the-most-dangerous-wildlife-you,4,0,,,"[{'no': 2509183, 'now': '12/13/22(Tue)04:48:27', 'name': 'Anonymous', 'com': 'niggers', 'time': 1670924907, 'resto': 2509182}, {'no': 2509195, 'now': '12/13/22(Tue)06:06:24', 'name': 'Anonymous', 'com': 'ME', 'time': 1670929584, 'resto': 2509182}, {'no': 2509197, 'now': '12/13/22(Tue)06:36:40', 'name': 'Anonymous', 'com': 'hillbilly', 'time': 1670931400, 'resto': 2509182}, {'no': 2509202, 'now': '12/13/22(Tue)06:56:16', 'name': 'Anonymous', 'com': '<a href=""#p2509195"" class=""quotelink"">&gt;&gt;2509195</a><br>This guy.', 'time': 1670932576, 'resto': 2509182}]",1670932576,0.0,0.0,,
4,2494184,,,11/09/22(Wed)19:42:45,Anonymous,Starter knife,"What&#039;s the best starting knife for outdoor stuff and bushcraft?<br>A good one that&#039;s not extrentl expensive, buy once cry once, no cheap shit.",20221027_032240,.jpg,4032.0,2268.0,250.0,140.0,1668040965127000.0,1668040965,YZzgpLjzKMvZfN3hykRlmA==,2443208.0,0,,starter-knife,179,54,174.0,52.0,"[{'no': 2508708, 'now': '12/12/22(Mon)06:34:31', 'name': 'Anonymous', 'com': '<a href=""#p2494184"" class=""quotelink"">&gt;&gt;2494184</a><br>It really depends on what you want your knife to do. <br><br>I will always have a folding saw and hatchet with me when doing a proper camp, so I don&#039;t have to have a knife that can be used to baton and shit. <br><br>For a starting knife, Mora knives are ALWAYS a good choice. They&#039;re well-made, easy-to-use, and cheap. There are lots of different options, but I like their Kansbol, Classic 2, 2000, Garberg. <br><br>Another great choice is to buy a Casström no.10 blade blank and fit the handle scales yourself, and even making a sheath yourself. You can do it for half the price of the pre-made ones, and it&#039;s one of my most-used knives. <br><br><br>If you&#039;re wanting to buy a knife that can both be used alongside a folding saw and hatchet, AND be able to be the only tool you carry for processing firewood, then you&#039;re going to need to buy a larger, full-tang knife. I think that the Ka-Bar Becker BK7 is a good choice for this. They&#039;re easy-to-sharpen because they&#039;re made out of 1095, and they work pretty well. They can be used for chopping (especially if you put a lanyard on it and hold it by the end), and for smaller stuff. <br><br>But I think the best knives for the money are from Varusteleka- particularly their Jakarripuukko and their Terava Skrama knives. They&#039;re fantastic. The Skrama is a great all-around camp knife, and their puukkos are great even if it&#039;s the only knife you carry. They&#039;re 10/10, IMO, in terms of value.', 'time': 1670844871, 'resto': 2494184}, {'no': 2509055, 'now': '12/12/22(Mon)20:15:31', 'name': 'Anonymous', 'com': 'I bought this cos it was recommended by joe x, the maniac who breaks everything. Haven&#039;t had a chance to chop with it yet as all knives are sold blunt as shit in the UK and I&#039;m still getting to grips with sharpening.', 'filename': 'sp10', 'ext': '.jpg', 'w': 1500, 'h': 962, 'tn_w': 125, 'tn_h': 80, 'tim': 1670894131202441, 'time': 1670894131, 'md5': 'LRH1r4KPy0v7QVd3uk5ARw==', 'fsize': 490259, 'resto': 2494184}, {'no': 2509061, 'now': '12/12/22(Mon)20:30:25', 'name': 'Anonymous', 'com': '<a href=""#p2508345"" class=""quotelink"">&gt;&gt;2508345</a><br>Did somebody say &quot;sign of actual use&quot;?', 'filename': '20220908_153831', 'ext': '.jpg', 'w': 3625, 'h': 1683, 'tn_w': 125, 'tn_h': 58, 'tim': 1670895025010703, 'time': 1670895025, 'md5': 'TJ3PiiroeVXCXC+D0jBQXg==', 'fsize': 1714755, 'resto': 2494184}, {'no': 2509081, 'now': '12/12/22(Mon)21:17:19', 'name': 'Anonymous', 'com': '<a href=""#p2509055"" class=""quotelink"">&gt;&gt;2509055</a><br><span class=""quote"">&gt;some autistic youtuber shill recommended this trash</span><br>holy fuck man', 'time': 1670897839, 'resto': 2494184}, {'no': 2509201, 'now': '12/13/22(Tue)06:47:47', 'name': 'Anonymous', 'com': '<a href=""#p2509081"" class=""quotelink"">&gt;&gt;2509081</a><br>yeah he breaks stuff. I wanted something abusable', 'time': 1670932067, 'resto': 2494184}]",1670932067,0.0,0.0,,
5,2502449,,,11/27/22(Sun)21:19:01,Anonymous,,"Would the east coast be as based as the west if it had similar population density, proportional wilderness areas, and significantly more old growth forest?",30516186_10156084617705977_3217790726523846656_n,.jpg,960.0,720.0,250.0,187.0,1669601941851000.0,1669601941,XRIj4N/SR+3TE0trjHci5w==,159945.0,0,,would-the-east-coast-be-as-based-as-the-west-if,38,8,33.0,6.0,"[{'no': 2509072, 'now': '12/12/22(Mon)20:52:09', 'name': 'Anonymous', 'com': '<a href=""#p2508378"" class=""quotelink"">&gt;&gt;2508378</a><br>lol<br><span class=""quote"">&gt;I have never left my Moms basement: the post</span><br>lmao', 'time': 1670896329, 'resto': 2502449}, {'no': 2509078, 'now': '12/12/22(Mon)21:12:20', 'name': 'Anonymous', 'com': '<a href=""#p2509072"" class=""quotelink"">&gt;&gt;2509072</a><br>One of these has more SOVL than the other', 'filename': 'difference', 'ext': '.png', 'w': 723, 'h': 544, 'tn_w': 125, 'tn_h': 94, 'tim': 1670897540713652, 'time': 1670897540, 'md5': 'XPOUSQMPGMgbm9i5rXQ+1Q==', 'fsize': 662108, 'resto': 2502449}, {'no': 2509135, 'now': '12/13/22(Tue)00:13:45', 'name': 'Anonymous', 'com': '<a href=""#p2509078"" class=""quotelink"">&gt;&gt;2509078</a><br><span class=""quote"">&gt;Rocky Mountains</span><br><span class=""quote"">&gt;West</span><br>OK, sure, I&#039;m not actually sure what your point is and I don&#039;t care enough to look your hipster acronym. You do realize some of the oldest trees in the world are found in Washington state and elevation gain from sea-level to mountain top is absird on the west coast. The ski to sea race is just a mega dab on east coast lawl.', 'filename': '78-poi-image-2 (1)', 'ext': '.jpg', 'w': 640, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670908425567729, 'time': 1670908425, 'md5': '4fYvqQ2p+5jJx5U1QrER5A==', 'fsize': 609022, 'resto': 2502449}, {'no': 2509192, 'now': '12/13/22(Tue)05:44:08', 'name': 'Anonymous', 'com': '<a href=""#p2507706"" class=""quotelink"">&gt;&gt;2507706</a><br><span class=""quote"">&gt;baron of people</span>', 'time': 1670928248, 'resto': 2502449}, {'no': 2509200, 'now': '12/13/22(Tue)06:43:10', 'name': 'Anonymous', 'com': '<a href=""#p2509135"" class=""quotelink"">&gt;&gt;2509135</a><br>Do west coasters even explore their own mountains and forests in any depth? Or do you simply rush up and down your trails as fast as possible in a sovlless, superficial, NPC manner? All you seem to care about is races and Strava times and muh elevation gains. Sad.', 'time': 1670931790, 'resto': 2502449}]",1670931790,0.0,0.0,,
6,2496432,,,11/14/22(Mon)20:52:33,Anonymous,PLEASE move to California!,"It has the BEST mountains in the world! They are so big and huge and beautiful and wonderful! The real estate prices aren&#039;t actually that bad if you are willing to live outside a major city, and it has the most scenic national parks in the WORLD!<br>Again, I highly suggest anyone interested in mountains and the outdoors to consider moving to California. As an alternate suggestion, I hear Colorado is pretty great too!",3026223167344,.jpg,1330.0,1575.0,211.0,250.0,1668477153844499.0,1668477153,dOQZvUcZ0XQeylZEzl5bKg==,621404.0,0,,please-move-to-california,106,29,101.0,27.0,"[{'no': 2508561, 'now': '12/11/22(Sun)20:32:17', 'name': 'Anonymous', 'com': '<a href=""#p2496432"" class=""quotelink"">&gt;&gt;2496432</a><br>could you imagine if all these retards moved here? directly compete with the mexibros for work..', 'filename': 'DFGF654', 'ext': '.jpg', 'w': 2048, 'h': 1536, 'tn_w': 125, 'tn_h': 93, 'tim': 1670808737727038, 'time': 1670808737, 'md5': 'qpuXmqGveEBwyki29oMh1w==', 'fsize': 318024, 'resto': 2496432}, {'no': 2508595, 'now': '12/11/22(Sun)21:35:25', 'name': 'Anonymous', 'com': '<a href=""#p2496439"" class=""quotelink"">&gt;&gt;2496439</a><br>I lived in LA for 2 years and there were probably 3-4 different instances of smoke-cloaked sky and raining ash from fires', 'time': 1670812525, 'resto': 2496432}, {'no': 2508910, 'now': '12/12/22(Mon)14:47:10', 'name': 'Anonymous', 'com': 'The eastern sierra , very nice <br>I’m thinking I’m living somewhere in the region', 'time': 1670874430, 'resto': 2496432}, {'no': 2509126, 'now': '12/12/22(Mon)23:35:23', 'name': 'Anonymous', 'com': 'Oceanside here. I came here for what I thought would be 2 months. It&#039;s been 10 months now. Califags are intentionally hiding the goods. Hell, I surfed last week. Can get to the Sierras in 4 - 6 hours. San Diego is pretty sweet. The women are hot, everyone is fairly friendly. Idk what to do though because I don&#039;t want to pay taxes here, convert my texas ID, or register my car here. I&#039;m just gonna ride it out and see how long I can get away with it.', 'time': 1670906123, 'resto': 2496432}, {'no': 2509199, 'now': '12/13/22(Tue)06:41:13', 'name': 'Anonymous', 'com': '<a href=""#p2509126"" class=""quotelink"">&gt;&gt;2509126</a><br>The anti-Cal backlash has been the best thing for Californians in years. Can you even imagine doing the reverse move, from CA to TX? Fucking unfathomable, yet thousands are doing it. Kek.', 'filename': '1668020458797099', 'ext': '.gif', 'w': 378, 'h': 310, 'tn_w': 125, 'tn_h': 102, 'tim': 1670931673637569, 'time': 1670931673, 'md5': 'm4w6CN6Ia/66f1Tx3UDnvQ==', 'fsize': 3886496, 'resto': 2496432}]",1670931673,0.0,0.0,,
7,2500600,,,11/24/22(Thu)10:43:24,Anonymous,,New /out/ State rankings just dropped now we can get rid of the old troll one.,1669304517835,.png,1728.0,1080.0,250.0,156.0,1669304604548857.0,1669304604,eUdFxVeWXSX+Y6cJTJ1Lqg==,685270.0,0,,new-out-state-rankings-just-dropped-now-we-can,189,18,184.0,18.0,"[{'no': 2508991, 'now': '12/12/22(Mon)17:03:07', 'name': 'Anonymous', 'com': '<a href=""#p2508980"" class=""quotelink"">&gt;&gt;2508980</a><br>Maybe for cycling and stormchasing. That&#039;s about it. The Great Lakes blow the Great Plains out of the water if you&#039;re looking to compare the midwest subregions.', 'time': 1670882587, 'resto': 2500600}, {'no': 2509000, 'now': '12/12/22(Mon)17:31:07', 'name': 'Anonymous', 'com': '<a href=""#p2508991"" class=""quotelink"">&gt;&gt;2508991</a><br><span class=""quote"">&gt;Maybe for cycling and stormchasing</span><br>dont forget hunting and fishing', 'time': 1670884267, 'resto': 2500600}, {'no': 2509013, 'now': '12/12/22(Mon)17:58:34', 'name': 'Anonymous', 'com': '<a href=""#p2508625"" class=""quotelink"">&gt;&gt;2508625</a><br>Arkansas has the best off-roading trails in the midwest.', 'time': 1670885914, 'resto': 2500600}, {'no': 2509196, 'now': '12/13/22(Tue)06:22:04', 'name': 'Anonymous', 'com': 'Can someone please say something nice about Ohio?', 'time': 1670930524, 'resto': 2500600}, {'no': 2509198, 'now': '12/13/22(Tue)06:37:30', 'name': 'Anonymous', 'com': '<a href=""#p2509013"" class=""quotelink"">&gt;&gt;2509013</a><br>Arkansas isn&#039;t in the midwest, lol. It&#039;s a southern state.<br><br>As a general rule, Missouri is the northern-most southern state, the eastern-most western state, the western-most eastern state, and the southern-most northern state. It&#039;s the perfect region divider.', 'time': 1670931450, 'resto': 2500600}]",1670931450,0.0,0.0,,
8,2504419,,,12/02/22(Fri)17:23:58,Anonymous,,How do we encourage women to go /out/side more and enjoy nature?,1670017951931432,.jpg,2048.0,1536.0,250.0,187.0,1670019838414844.0,1670019838,seyQUvU190jJZc0LUawaUg==,485371.0,0,,how-do-we-encourage-women-to-go-outside-more-and,79,17,74.0,16.0,"[{'no': 2508740, 'now': '12/12/22(Mon)08:30:27', 'name': 'Anonymous', 'com': '<a href=""#p2504424"" class=""quotelink"">&gt;&gt;2504424</a><br>You can just say nonwhites. Before all of that, women had their fanciful interests that were stupid for the time but they still had a function and place in society. Modernity has been catastrophic for women, doubly so since feminism happened at the same time which had led to nothing but misery for women and misfortune for society as a whole. There really is no reversing it unless we strip women of rights and limit internet use for all people, and even then women are never naturally going to be inclined to like the outdoor. Your best bet is to find a girl who is just into going out on her own, but even then that usually means she has a screw loose in some other aspect, so be warned. In general there is no reason to encourage more people to go out, the general demeanor of normies is that of trash, ease stop trying to include them in things', 'time': 1670851827, 'resto': 2504419}, {'no': 2508779, 'now': '12/12/22(Mon)10:31:44', 'name': 'Anonymous', 'com': '<a href=""#p2508544"" class=""quotelink"">&gt;&gt;2508544</a><br>I have those exact same slippers<br><a href=""#p2508546"" class=""quotelink"">&gt;&gt;2508546</a><br>Some people like stinky girls, also if she&#039;s out camping or just driving from campsite to campsite there&#039;s no opportunity to shower every day.', 'time': 1670859104, 'resto': 2504419}, {'no': 2508781, 'now': '12/12/22(Mon)10:33:14', 'name': 'Anonymous', 'com': '<a href=""#p2508779"" class=""quotelink"">&gt;&gt;2508779</a><br><span class=""quote"">&gt;Some people like stinky girls</span><br>Virgins maybe. No one likes going down on a grilled cheese.', 'time': 1670859194, 'resto': 2504419}, {'no': 2508971, 'now': '12/12/22(Mon)16:27:03', 'name': 'Anonymous', 'com': '<a href=""#p2508781"" class=""quotelink"">&gt;&gt;2508781</a><br>Washed or unwashed, vagina still smells like a fish market. If you&#039;re telling me you willingly pit that shit in your mouth, you&#039;ve got bigger balls than me.', 'time': 1670880423, 'resto': 2504419}, {'no': 2509194, 'now': '12/13/22(Tue)05:53:18', 'name': 'Anonymous', 'com': '<a href=""#p2508544"" class=""quotelink"">&gt;&gt;2508544</a><br>I’m going to get me something like this but will only use it while outdoors.', 'filename': 'Nikelab ACG 3-in-1 Cap', 'ext': '.jpg', 'w': 1860, 'h': 1860, 'tn_w': 124, 'tn_h': 124, 'tim': 1670928798668392, 'time': 1670928798, 'md5': 'tkZr/vxj9ezrudMSXS2uUA==', 'fsize': 483407, 'resto': 2504419}]",1670928798,0.0,0.0,,
9,2509029,,,12/12/22(Mon)18:47:57,Anonymous,,"hey /out/ this i my cat rupert, pictured here outside<br><br>i was wondering does anyone have experience with taking a cat whilst going hiking? he likes to go outside and is fine with a harness on but i dont know if he would enjoy it or if there&#039;s some cool tips you can share with me if you tried it.",1664800482728,.jpg,871.0,845.0,249.0,242.0,1670888877051652.0,1670888877,hl3hMNthBixepnijg/eN9A==,241008.0,0,,hey-out-this-i-my-cat-rupert-pictured-here,16,5,11.0,3.0,"[{'no': 2509169, 'now': '12/13/22(Tue)02:28:12', 'name': 'Anonymous', 'com': '<a href=""#p2509040"" class=""quotelink"">&gt;&gt;2509040</a><br>rude<br><br><a href=""#p2509041"" class=""quotelink"">&gt;&gt;2509041</a><br>hmm yeah that is an issue I&#039;ll have to test things he is okay with being carried in beforehand<br><br><a href=""#p2509100"" class=""quotelink"">&gt;&gt;2509100</a><br>very cute cat<br><br><a href=""#p2509063"" class=""quotelink"">&gt;&gt;2509063</a><br>he has the standard cat vaccinations', 'filename': '1642192366027', 'ext': '.jpg', 'w': 693, 'h': 920, 'tn_w': 94, 'tn_h': 125, 'tim': 1670916492382134, 'time': 1670916492, 'md5': 'OryhH0nnQHAeN5P5mCYiwg==', 'fsize': 112769, 'resto': 2509029}, {'no': 2509171, 'now': '12/13/22(Tue)02:37:33', 'name': 'Anonymous', 'com': 'Hi admin! Please stay safe out there, make sure to keep rupert near you at all times. He will keep the skinwalcucks at bay.', 'time': 1670917053, 'resto': 2509029}, {'no': 2509172, 'now': '12/13/22(Tue)02:45:44', 'name': 'Anonymous', 'com': '<a href=""#p2509100"" class=""quotelink"">&gt;&gt;2509100</a><br>OMG get this for ruper OP and chronicle your adventures together!!! it would be so ansolutely ebip', 'time': 1670917544, 'resto': 2509029}, {'no': 2509189, 'now': '12/13/22(Tue)05:35:23', 'name': 'Anonymous', 'com': '<a href=""#p2509169"" class=""quotelink"">&gt;&gt;2509169</a><br>post more ruper please, he seems to be a good boy', 'time': 1670927723, 'resto': 2509029}, {'no': 2509193, 'now': '12/13/22(Tue)05:52:28', 'name': 'Anonymous', 'com': '<a href=""#p2509189"" class=""quotelink"">&gt;&gt;2509189</a><br>here you go<br><br><a href=""#p2509172"" class=""quotelink"">&gt;&gt;2509172</a><br>yeah if he likes it i could try that', 'filename': '1660673035111', 'ext': '.png', 'w': 1041, 'h': 1382, 'tn_w': 94, 'tn_h': 125, 'tim': 1670928748432090, 'time': 1670928748, 'md5': '09aySC1tVNL0+yEwwu5R0Q==', 'fsize': 2515991, 'resto': 2509029}]",1670928748,0.0,0.0,,
