,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,570368,1.0,1.0,12/31/18(Mon)17:05:48,Anonymous,Welcome to /po/!,"Welcome to /po/! We specialize in origami, papercraft, and everything that’s relevant to paper engineering. This board is also an great library of relevant PDF books and instructions, one of the best resource of its kind on the internet.<br><br>Questions and discussions of papercraft and origami are welcome. Threads for topics covered by paper engineering in general are also welcome, such as kirigami, bookbinding, printing technology, sticker making, gift boxes, greeting cards, and more.<br><br>Requesting is permitted, even encouraged if it’s a good request; fulfilled requests strengthens this board’s role as a repository of books and instructions. However do try to keep requests in relevant threads, if you can.<br><br>/po/ is a slow board! Do not needlessly bump threads.",yotsuba_folding,.png,530,449,250,211,1546293948883,1546293948,uZUeZeB14FVR+Mc2ScHvVA==,516657,0,mod,welcome-to-po,2,2,1.0,1.0,"[{'no': 570371, 'now': '12/31/18(Mon)17:21:29', 'name': 'Anonymous', 'com': '<b>FAQs about origami</b><br>\n<br>\n<i>Where do I begin with origami and how can I find easy models?</i><br>\n<br>\nTry browsing the board for guides, or other online resources listed below, for models you like and practice folding them.<br>\n<br>\nA great way to begin at origami is to participate in the Let’s Fold Together threads <a href=""https://boards.4channel.org/po/catalog#s=lft""><a href=""//boards.4channel.org/po/catalog#s=lft"" class=""quotelink"">&gt;&gt;&gt;/po/lft</a></a> - open up the PDF file and find a model you like, work on it, and discuss or post results.<br>\n<br>\n<a href=""http://en.origami-club.com"">http://en.origami-club.com</a><br>\n<a href=""https://origami.me/diagrams/"">https://origami.me/diagrams/</a><br>\n<a href=""https://www.origami-resource-center.com/free-origami-instructions.html"">https://www.origami-resource-center<wbr>.com/free-origami-instructions.html<wbr></a><br>\n<a href=""http://www.paperfolding.com/diagrams/"">http://www.paperfolding.com/diagram<wbr>s/</a><br>\n<br>\n<i>What paper should I use?</i><br>\n<br>\nIt depends on the model; for smaller models which involved 25 steps or fewer, 15 by 15 cm origami paper from a local craft store will be suitable. For larger models you will need larger or thinner paper, possibly from online shops. Boxpleated models require thin paper, such as sketching paper. Wet folded models require thicker paper, such as elephant hide.<br>\n<br>\n<a href=""https://www.origami-shop.com/en/"">https://www.origami-shop.com/en/</a><br>\n<br>\n<i>Hints and tips?</i><br>\n<br>\nFor folding, The best advice is to always fold as cleanly as possible, and take your time. Everything else comes with experience.<br>\n<br>\n<a href=""https://origami.me/beginners-guide/"">https://origami.me/beginners-guide/<wbr></a><br>\n<a href=""https://origamiusa.org/glossary"">https://origamiusa.org/glossary</a><br>\n<br>\n<i>What are ‘CPs’?</i><br>\n<br>\nCrease patterns are a structural representations of origami models, shown as a schematic of lines; they are essentially origami models unfolded and laid flat. Lines on a crease pattern may be indicated by ‘mountain’ or ‘valley’ folds to show how the folds alternate. If you’re particularly skilled at origami, they become useful instructions for building models. A common base fold is usually discernable, all the intermediate details can be worked on from there.<br>\n<br>\n<a href=""https://blog.giladnaor.com/2008/08/folding-from-crease-patterns.html"">https://blog.giladnaor.com/2008/08/<wbr>folding-from-crease-patterns.html</a><br>\n<a href=""http://www.origamiaustria.at/articles.php?lang=2#a4"">http://www.origamiaustria.at/articl<wbr>es.php?lang=2#a4</a><br>', 'filename': 'origami faq', 'ext': '.jpg', 'w': 762, 'h': 762, 'tn_w': 125, 'tn_h': 125, 'tim': 1546294889019, 'time': 1546294889, 'md5': 'vKWr7+oITdUBu7bUaypuCw==', 'fsize': 163110, 'resto': 570368, 'capcode': 'mod'}]",1546294897,,,
1,609414,,,12/12/22(Mon)07:03:27,Anonymous,Curly cardboard bust,"I got some curly plastic strips from envelopes at work and want to turn them into curly hair for a bust I illustrated in pic related or similar.<br>I want it to look plain white with very minimal details for the modern artsy look.<br><br>A dodecahedron net would be easy to make from some thin white cardboard, and it is somewhat spherical like a head which would make the hair look better.<br>Plus a rectangular or trapezoidal prism for the base and a right angle triangular prism for the nose attached with glue.<br><br>I was planning on using glue for attaching the plastic strips but they may not stick well as they are designed to be easy to peel of the envelope glue, plus I imagine they would fall off over time.<br>Perhaps a stronger type of glue will make it an non issue, but I am looking for alternatives I could use like staples or tape.<br><br>Any advice or design critique? How would you make it?<br>My previous papercraft experience is limited to paper airplanes and chatterboxes so I am not very skilled at it.",face,.jpg,1837,610,250,83,1670846607690339,1670846607,0lTXm45tKoH7Gny1FGoonA==,163395,0,,curly-cardboard-bust,0,0,,,,1670846607,0.0,0.0,
2,597408,,,09/04/21(Sat)08:35:11,Anonymous,,Hove you ever fapped to an origami?,20210904_153214,.jpg,3024,2756,250,227,1630758911954,1630758911,JUe8qZD1SO8w7W8xM8rlsQ==,1338921,0,,hove-you-ever-fapped-to-an-origami,202,70,197.0,68.0,"[{'no': 608670, 'now': '11/05/22(Sat)15:30:37', 'name': 'Anonymous', 'com': 'Put me in the screencap frens.', 'time': 1667676637, 'resto': 597408}, {'no': 609271, 'now': '12/05/22(Mon)06:57:20', 'name': 'Anonymous', 'com': '<a href=""#p602640"" class=""quotelink"">&gt;&gt;602640</a><br><span class=""quote"">&gt;Furigami</span>', 'time': 1670241440, 'resto': 597408}, {'no': 609399, 'now': '12/11/22(Sun)11:00:27', 'name': 'Anonymous', 'com': 'huh?', 'filename': '-t7NnJQdi_U', 'ext': '.jpg', 'w': 622, 'h': 709, 'tn_w': 109, 'tn_h': 125, 'tim': 1670774427149760, 'time': 1670774427, 'md5': '23Hl8Xq/OgPd8WmDh9JQuA==', 'fsize': 77787, 'resto': 597408}, {'no': 609412, 'now': '12/12/22(Mon)00:38:55', 'name': 'Anonymous', 'com': '<a href=""#p606732"" class=""quotelink"">&gt;&gt;606732</a><br>EXCUSE ME?', 'time': 1670823535, 'resto': 597408}, {'no': 609413, 'now': '12/12/22(Mon)02:02:53', 'name': 'Anonymous', 'com': '<a href=""#p600803"" class=""quotelink"">&gt;&gt;600803</a>', 'filename': 'FC9C280F-EFDF-4878-881D-82D6F4FB304B', 'ext': '.jpg', 'w': 459, 'h': 484, 'tn_w': 118, 'tn_h': 124, 'tim': 1670828573718554, 'time': 1670828573, 'md5': 'x69OEbsN1Iie3vA1T2eOaQ==', 'fsize': 42567, 'resto': 597408}]",1670828573,0.0,0.0,
3,608740,,,11/09/22(Wed)17:35:33,Anonymous,,New origami sharing thread because the other one died a long time ago<br><br>Anyone got fukui hisao&#039;s real origami: dinosaurs and ancient creatures?,images,.jpg,489,628,194,250,1668033333338348,1668033333,jyjXKw4SEJLMs9bhyK38Rg==,42933,0,,new-origami-sharing-thread-because-the-other-one,148,29,143.0,29.0,"[{'no': 609393, 'now': '12/11/22(Sun)02:44:23', 'name': 'Anonymous', 'com': '<a href=""#p609392"" class=""quotelink"">&gt;&gt;609392</a><br>https://wunderkiddy.com/category/na<wbr>ture', 'time': 1670744663, 'resto': 608740}, {'no': 609397, 'now': '12/11/22(Sun)08:58:43', 'name': 'Anonymous', 'com': '<a href=""#p609387"" class=""quotelink"">&gt;&gt;609387</a><br>https://kupdf.net/download/pajarita<wbr>-2011_58cd5262dc0d604520c34651_pdf', 'time': 1670767123, 'resto': 608740}, {'no': 609404, 'now': '12/11/22(Sun)12:57:38', 'name': 'Anonymous', 'com': '<a href=""#p609389"" class=""quotelink"">&gt;&gt;609389</a>, gracias!!!! es muy buena', 'time': 1670781458, 'resto': 608740}, {'no': 609407, 'now': '12/11/22(Sun)16:13:36', 'name': 'Anonymous', 'com': 'necesito pajarita extra 2014, 2015', 'time': 1670793216, 'resto': 608740}, {'no': 609410, 'now': '12/11/22(Sun)19:03:49', 'name': 'Anonymous', 'com': '<a href=""#p609407"" class=""quotelink"">&gt;&gt;609407</a><br>I&#039;m not posting any more of those, sorry.', 'time': 1670803429, 'resto': 608740}]",1670803429,0.0,0.0,
4,608789,,,11/11/22(Fri)19:58:38,Anonymous,Origami Tandeidan Convention Book 27,Looks like the new Tandeidan Convention book just dropped: <br>http://www.origamihouse.jp/book/ori<wbr>ginal/orizusyu27/orizusyu_27.html,orizusyu_27_h,.jpg,283,400,176,250,1668214718032034,1668214718,nWAM8oV+BJDwisp5ZMWcTQ==,42185,0,,origami-tandeidan-convention-book-27,39,6,34.0,5.0,"[{'no': 609268, 'now': '12/05/22(Mon)05:30:54', 'name': 'Anonymous', 'com': '<a href=""#p609264"" class=""quotelink"">&gt;&gt;609264</a><br><a href=""#p609245"" class=""quotelink"">&gt;&gt;609245</a>', 'time': 1670236254, 'resto': 608789}, {'no': 609278, 'now': '12/06/22(Tue)06:48:48', 'name': 'Anonymous', 'com': 'He doesn&#039;t have it , he could easily post an article to prove it', 'time': 1670327328, 'resto': 608789}, {'no': 609368, 'now': '12/09/22(Fri)23:33:04', 'name': 'Anonymous', 'com': '/\\', 'time': 1670646784, 'resto': 608789}, {'no': 609408, 'now': '12/11/22(Sun)18:19:13', 'name': 'Anonymous', 'com': '<a href=""#p609157"" class=""quotelink"">&gt;&gt;609157</a><br>I can give the book &quot;Comic Origami by Syn&quot; in exchange for &quot;Tanteidan convention 27&quot;', 'filename': '1-134fd6ced8', 'ext': '.jpg', 'w': 801, 'h': 1073, 'tn_w': 93, 'tn_h': 125, 'tim': 1670800753217658, 'time': 1670800753, 'md5': '9WG4FA1SGi5brdws+ndpcQ==', 'fsize': 65554, 'resto': 608789}, {'no': 609409, 'now': '12/11/22(Sun)19:01:43', 'name': 'Anonymous', 'com': '<a href=""#p609408"" class=""quotelink"">&gt;&gt;609408</a><br>You&#039;re a little late, the book has already been shared here <a href=""/po/thread/609072#p609398"" class=""quotelink"">&gt;&gt;609398</a>.', 'time': 1670803303, 'resto': 608789}]",1670803303,0.0,0.0,
5,609072,,,11/27/22(Sun)11:50:12,Anonymous,Looking 4 Pajarita 153,Looking 4 old numeber of Pajarita magazione: n° 153<br>Can someone pls share it?<br>Tnx a lot,BO_Pajarita_Mag_153,.jpg,400,569,175,250,1669567812636420,1669567812,MmSHD+NISiOMN3VUpoWp3A==,98742,0,,looking-4-pajarita-153,49,10,44.0,10.0,"[{'no': 609401, 'now': '12/11/22(Sun)11:30:25', 'name': 'Anonymous', 'com': '<a href=""#p609395"" class=""quotelink"">&gt;&gt;609395</a><br>De CDO tengo muy poca cosa, pero la de 2004 no la tengo, lo siento. Tengo alguna convención del 2009, 2010 y algunas de los años 80.', 'time': 1670776225, 'resto': 609072}, {'no': 609402, 'now': '12/11/22(Sun)11:53:09', 'name': 'Anonymous', 'com': '<a href=""#p609400"" class=""quotelink"">&gt;&gt;609400</a><br>Porque son ustedes sudacos de esta forma? acaban de compartir un libro y de imediato pides seis mas.', 'time': 1670777589, 'resto': 609072}, {'no': 609403, 'now': '12/11/22(Sun)12:54:14', 'name': 'Anonymous', 'com': '<a href=""#p609400"" class=""quotelink"">&gt;&gt;609400</a><br>Yes, it is asking too much.', 'time': 1670781254, 'resto': 609072}, {'no': 609405, 'now': '12/11/22(Sun)13:43:24', 'name': 'Anonymous', 'com': 'No hay ninguna prisa. Solo lo pongo por mencionar mi lista de deseos. Onions de España, pero eso no importa. Gracias.', 'time': 1670784204, 'resto': 609072}, {'no': 609406, 'now': '12/11/22(Sun)13:45:36', 'name': 'Anonymous', 'com': 'No pasa nada, muchas gracias igualmente.', 'time': 1670784336, 'resto': 609072}]",1670784336,0.0,0.0,
6,547093,,,11/04/16(Fri)13:30:47,Anonymous,Does anyone have a template for these?,I&#039;ve looked everywhere and can&#039;t find anything the artist is called Ingrid Siliakus she does some cool stuff but wondering if she had any templates or does she keep this stuff secret?,Screen Shot 2016-11-04 at 17.29.10,.png,486,339,250,174,1478280647282,1478280647,dw7X5qZj810ysG3zlFg7gw==,187456,0,,does-anyone-have-a-template-for-these,164,60,159.0,60.0,"[{'no': 606690, 'now': '08/13/22(Sat)17:56:39', 'name': 'Anonymous', 'com': '<a href=""#p559609"" class=""quotelink"">&gt;&gt;559609</a><br>You need finer cutting tools. <br>OLFA 9148US ABB-10B 9mm is what I&#039;ve used to avoid the rough edges you have on your work.', 'time': 1660427799, 'resto': 547093}, {'no': 606693, 'now': '08/14/22(Sun)09:37:23', 'name': 'Anonymous', 'com': '<a href=""#p606690"" class=""quotelink"">&gt;&gt;606690</a><br>Nothing says /po/ more than responding to a 4 year old reply.', 'time': 1660484243, 'resto': 547093}, {'no': 607927, 'now': '09/26/22(Mon)13:52:05', 'name': 'Anonymous', 'com': '<a href=""#p547997"" class=""quotelink"">&gt;&gt;547997</a><br>I made something similar for my mom when I was 11, didn&#039;t know it was kirigami', 'time': 1664214725, 'resto': 547093}, {'no': 607949, 'now': '09/27/22(Tue)09:32:46', 'name': 'Anonymous', 'com': '<a href=""#p606693"" class=""quotelink"">&gt;&gt;606693</a><br>There is something so serene about this board. Very Zen. I think I&#039;m going to get I to papercraft because of it.', 'time': 1664285566, 'resto': 547093}, {'no': 609390, 'now': '12/11/22(Sun)00:38:25', 'name': 'Anonymous', 'com': '<a href=""#p607949"" class=""quotelink"">&gt;&gt;607949</a><br>Same, I might get back into bookbinding and stickermaking because of this board', 'time': 1670737105, 'resto': 547093}]",1670758096,0.0,0.0,
7,603852,,,04/12/22(Tue)02:59:53,Paper people 2,Paper doll makers,Continued tread of paper women,1598318241558,.jpg,1536,2048,187,250,1649746793653,1649746793,u3bagneGiD7T416Je6zYIA==,671601,0,,paper-doll-makers,193,49,188.0,46.0,"[{'no': 609120, 'now': '11/29/22(Tue)12:17:29', 'name': 'Anonymous', 'com': '<a href=""#p609112"" class=""quotelink"">&gt;&gt;609112</a><br>Don&#039;t be ridiculous, anon. Who in their right mind would kiss paper doll on the lips, haha!', 'time': 1669742249, 'resto': 603852}, {'no': 609298, 'now': '12/07/22(Wed)00:49:10', 'name': 'Anonymous', 'com': 'Seem that asymetry in parts layout have turned into asymetry in shape.', 'filename': '16703920820281690651598202388541', 'ext': '.jpg', 'w': 2736, 'h': 4864, 'tn_w': 70, 'tn_h': 124, 'tim': 1670392150155890, 'time': 1670392150, 'md5': 'hCOqT5/nsRHIVWcL2bb6ow==', 'fsize': 4168058, 'resto': 603852}, {'no': 609299, 'now': '12/07/22(Wed)00:54:57', 'name': 'Anonymous', 'com': 'And right side. Gonna have to redo unfold. As it is those might as well be two different faces.', 'filename': '16703922886086161711968060152782', 'ext': '.jpg', 'w': 2736, 'h': 4864, 'tn_w': 70, 'tn_h': 124, 'tim': 1670392497322788, 'time': 1670392497, 'md5': '2UTm2PJoZurlI7v+AM2k6g==', 'fsize': 4015588, 'resto': 603852}, {'no': 609304, 'now': '12/07/22(Wed)06:06:29', 'name': 'Anonymous', 'com': '<a href=""#p609298"" class=""quotelink"">&gt;&gt;609298</a><br><a href=""#p609299"" class=""quotelink"">&gt;&gt;609299</a><br>I don’t see any asymmetry, looks fine to me', 'time': 1670411189, 'resto': 603852}, {'no': 609382, 'now': '12/10/22(Sat)18:42:24', 'name': 'Anonymous', 'com': '<a href=""#p609304"" class=""quotelink"">&gt;&gt;609304</a><br>Not sure if it&#039;s gonna be aparent on this mugshot.', 'filename': '16707156621803842066630639732715', 'ext': '.jpg', 'w': 2736, 'h': 4864, 'tn_w': 70, 'tn_h': 124, 'tim': 1670715744279172, 'time': 1670715744, 'md5': 'hGVCCTFC1cqhr44xB4Ggjw==', 'fsize': 4399955, 'resto': 603852}]",1670715744,0.0,0.0,
8,609363,,,12/09/22(Fri)19:56:57,Piggy,Majoras mask project,"So i was looking and couldnt really find many that werent dead links, so I&#039;ve started trying to recreate all the masks in Pepakura, so far I have the 4 bosses, Zora, and Goron masks i made myself getting the models from model-resource.<br><br><br>Figured since this was a slow board I could just post the ones i have done here and if anyone makes them, wants to give feedback, that&#039;d be cool.<br><br>Otherwise just enjoy the files. I&#039;m still working on a google drive with all of them to include the PDO<br><br>This is my first time making something on my own on pepakura and separating the pieces myself.",goronmask,.pdf,1,1,176,250,1670633817464484,1670633817,nSsyhqYxBbz6nFyazqKslg==,1138721,0,,majoras-mask-project,5,2,,,"[{'no': 609364, 'now': '12/09/22(Fri)20:02:43', 'name': 'Piggy', 'filename': 'zoramask', 'ext': '.pdf', 'w': 1, 'h': 1, 'tn_w': 88, 'tn_h': 125, 'tim': 1670634163672903, 'time': 1670634163, 'md5': 'LcGgRlgpjd82iHhlkSilLQ==', 'fsize': 2653885, 'resto': 609363}, {'no': 609365, 'now': '12/09/22(Fri)20:03:59', 'name': 'Piggy', 'com': 'apologies if the PDFS are a little blurry ive scaled the masks up to be semi-wearable', 'time': 1670634239, 'resto': 609363}, {'no': 609372, 'now': '12/10/22(Sat)03:45:31', 'name': 'Piggy', 'com': 'Goht', 'time': 1670661931, 'resto': 609363}, {'no': 609373, 'now': '12/10/22(Sat)03:47:17', 'name': 'Piggy', 'com': '<a href=""#p609372"" class=""quotelink"">&gt;&gt;609372</a><br>oh jk gohts is too big i guess', 'time': 1670662037, 'resto': 609363}, {'no': 609380, 'now': '12/10/22(Sat)16:32:14', 'name': 'Piggy', 'com': 'Odalwa', 'filename': 'OdalwaRemains', 'ext': '.pdf', 'w': 1, 'h': 1, 'tn_w': 88, 'tn_h': 125, 'tim': 1670707934838445, 'time': 1670707934, 'md5': 'bxKzjXFkTeTYnYQTlXO6Cw==', 'fsize': 1985080, 'resto': 609363}]",1670707934,0.0,0.0,
9,609287,,,12/06/22(Tue)13:00:18,Anonymous,fate youlingke,"Hi, I&#039;m looking for this model. Does anyone have it? or if you want to exchange with another model",photo_2022-12-06_12-56-13,.jpg,1000,696,250,174,1670349618953916,1670349618,ns4W9Yl97+bna1NZHKW0Nw==,119886,0,,fate-youlingke,12,0,7.0,0.0,"[{'no': 609334, 'now': '12/08/22(Thu)12:10:47', 'name': 'Anonymous', 'com': '<a href=""#p609333"" class=""quotelink"">&gt;&gt;609333</a><br><br>what models are you looking for?', 'time': 1670519447, 'resto': 609287}, {'no': 609335, 'now': '12/08/22(Thu)12:24:49', 'name': 'Anonymous', 'com': '<a href=""#p609333"" class=""quotelink"">&gt;&gt;609333</a><br>Okay', 'time': 1670520289, 'resto': 609287}, {'no': 609359, 'now': '12/09/22(Fri)16:19:11', 'name': 'Anonymous', 'com': '<a href=""#p609333"" class=""quotelink"">&gt;&gt;609333</a><br>send me a message of what you want<br>lucaspeet2222@gmail.com', 'time': 1670620751, 'resto': 609287}, {'no': 609366, 'now': '12/09/22(Fri)20:21:26', 'name': 'Piggy', 'com': '<a href=""#p609359"" class=""quotelink"">&gt;&gt;609359</a><br>Would you sell the scans instead of trading? I just have nothing to trade', 'time': 1670635286, 'resto': 609287}, {'no': 609379, 'now': '12/10/22(Sat)14:43:39', 'name': 'Anonymous', 'com': '<a href=""#p609366"" class=""quotelink"">&gt;&gt;609366</a><br>Send me a message', 'time': 1670701419, 'resto': 609287}]",1670701419,0.0,0.0,
