,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,8224464,12/11/22(Sun)22:45:48,Anonymous,Jamie Noble had his final match tonight!<br>https://twitter.com/WrestlingNewsCo<wbr>/status/1602128785998221312<br>https://www.youtube.com/watch?v=G5N<wbr>AnvSj3m8,Fjvgp_jXoAI1TL7,.jpg,802,1200,167,250,1670816748653903,1670816748,thNJH8VH7LbR91TgH41Sfw==,104244,0,0,0,jamie-noble-had-his-final-match-tonight,16,2,11.0,2.0,"[{'no': 8224967, 'now': '12/11/22(Sun)23:54:42', 'name': 'Anonymous', 'com': '<a href=""#p8224601"" class=""quotelink"">&gt;&gt;8224601</a><br>the fuck?', 'time': 1670820882, 'resto': 8224464}, {'no': 8225135, 'now': '12/12/22(Mon)00:19:27', 'name': 'Anonymous', 'com': '<a href=""#p8224480"" class=""quotelink"">&gt;&gt;8224480</a><br><span class=""quote"">&gt;my imaginary strawman would be doing what I am doing right now</span><br>seek help', 'time': 1670822367, 'resto': 8224464}, {'no': 8225193, 'now': '12/12/22(Mon)00:32:28', 'name': 'Anonymous', 'com': 'james gibson vs black tiger @ roh manhattan mayhem 2005 was sweet', 'time': 1670823148, 'resto': 8224464}, {'no': 8225503, 'now': '12/12/22(Mon)01:53:59', 'name': 'Anonymous', 'com': '<a href=""#p8224464"" class=""quotelink"">&gt;&gt;8224464</a><br>i was watching 05 roh and kek he looks zoinked out of his mind in every match. based as fuck.', 'time': 1670828039, 'resto': 8224464}, {'no': 8226360, 'now': '12/12/22(Mon)07:15:57', 'name': 'Anonymous', 'com': '<a href=""#p8224493"" class=""quotelink"">&gt;&gt;8224493</a><br>two midgets fighting on a C show<br>that&#039;s how it was supposed to be', 'time': 1670847357, 'resto': 8224464}]",1670847357,,
1,8226214,12/12/22(Mon)06:27:14,Anonymous,Now your day is ruined<br>Fuck you,Tony-Khan-All-Out-0002,.jpg,1500,1038,250,173,1670844434155872,1670844434,i2+W9wUkwc/o3JFVjGhubw==,339847,0,0,0,hey-look-edrone-its-tony-khan,11,1,6.0,0.0,"[{'no': 8226245, 'now': '12/12/22(Mon)06:42:45', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;wake up</span><br><span class=""quote"">&gt;first thing he thinks of is edrones</span><br>the mind of a smark ladies and gentlemen', 'filename': '1663193265550631', 'ext': '.jpg', 'w': 1200, 'h': 900, 'tn_w': 125, 'tn_h': 93, 'tim': 1670845365954117, 'time': 1670845365, 'md5': 'HEsCO8Enpnu6Byg28InCNA==', 'fsize': 1334416, 'resto': 8226214}, {'no': 8226247, 'now': '12/12/22(Mon)06:43:18', 'name': 'Anonymous', 'com': 'kek based<br><br><a href=""#p8226245"" class=""quotelink"">&gt;&gt;8226245</a><br>e-drones have been seething over AEW before it even started running shows', 'time': 1670845398, 'resto': 8226214}, {'no': 8226248, 'now': '12/12/22(Mon)06:43:22', 'name': 'Anonymous', 'com': 'join the honorkwab<br><br>honorkwab.com', 'time': 1670845402, 'resto': 8226214}, {'no': 8226328, 'now': '12/12/22(Mon)07:08:47', 'name': 'Anonymous', 'com': '<a href=""#p8226214"" class=""quotelink"">&gt;&gt;8226214</a><br>Tony Khan is a terrible wresling booker and AEW will never be able to overtake WWE because they lack the talent, the resources, and the competency to compete with the biggest wrestling promotion in the world. Tony Khan is a clueless BUFFOON who does not care about the future of the business and is just in it to ride on the coat tails of WWE. Anyonw who defends AEW and Tony Khan is just as clueless and needs to wake up and see the reality. WWE is the greatest wrestling promotion in the world and will always be superior to AEW.', 'time': 1670846927, 'resto': 8226214}, {'no': 8226359, 'now': '12/12/22(Mon)07:15:49', 'name': 'Anonymous', 'com': '<a href=""#p8226214"" class=""quotelink"">&gt;&gt;8226214</a><br>kek. Fucking based', 'time': 1670847349, 'resto': 8226214}]",1670847349,"Hey look e-drone, it&#039;s Tony Khan",
2,8222450,12/11/22(Sun)18:22:50,Anonymous,"Next show<br>December 16th, &quot;NEW BLOOD 6&quot;, Shinjuku Sumitomo Hall, Tokyo, 6:30PM JST<br><span class=""quote"">&gt;Future of Stardom Championship Match: Ami Sourei (God&#039;s Eye) vs Ruaka (Oedo Tai)</span><br><span class=""quote"">&gt;Starlight Kid (Oedo Tai) &amp; KARMA vs Mai Sakurai &amp; Thekla (Donna del Mondo)</span><br><span class=""quote"">&gt;Tam Nakano &amp; Waka Tsukiyama (COSMIC ANGELS) vs Ram Kaichow (Dark Pro Wrestling Organization 666) &amp; Imoka Ozaki</span><br><span class=""quote"">&gt;Sanae Takebayashi (Best Body Japan Pro Wrestling) vs Rina (Oedo Tai)</span><br><span class=""quote"">&gt;Miran (Diana) vs Miyu Amasaki (Queen&#039;s Quest)</span><br><span class=""quote"">&gt;Lady C (Queen&#039;s Quest) vs Nanae Takahashi</span><br><span class=""quote"">&gt;MIRAI &amp; Tomoka Inaba (God&#039;s Eye) &amp; Nanami vs Hanan &amp; Saya Iida &amp; Momo Kohgo (STARS)</span><br><br>Previous <a href=""/pw/thread/8218741#p8218741"" class=""quotelink"">&gt;&gt;8218741</a>",20221210_042242,.jpg,1600,1067,250,166,1670800970483763,1670800970,/Ja7OBW5wIxt/uP/XFrYYw==,331921,0,0,0,stardom-general,267,83,262.0,80.0,"[{'no': 8226172, 'now': '12/12/22(Mon)06:12:30', 'name': 'Anonymous', 'com': '<a href=""#p8226063"" class=""quotelink"">&gt;&gt;8226063</a><br>back at you brother', 'filename': 'FjQhHrHakAANVKQ', 'ext': '.jpg', 'w': 2048, 'h': 1365, 'tn_w': 125, 'tn_h': 83, 'tim': 1670843550913077, 'time': 1670843550, 'md5': 'XGAe9F8Jbz+BUWrkzcqdOA==', 'fsize': 344261, 'resto': 8222450}, {'no': 8226192, 'now': '12/12/22(Mon)06:20:18', 'name': 'Anonymous', 'com': 'shoutout to the bimbro anon for the ava white vids a couple threads back, she&#039;s a good promo', 'time': 1670844018, 'resto': 8222450}, {'no': 8226304, 'now': '12/12/22(Mon)07:00:49', 'name': 'Anonymous', 'filename': 'Fjxd2kHUcAAhCAl', 'ext': '.jpg', 'w': 2048, 'h': 1536, 'tn_w': 125, 'tn_h': 93, 'tim': 1670846449361999, 'time': 1670846449, 'md5': '7VOVJj+oq1UU9t2h9sUBYw==', 'fsize': 432291, 'resto': 8222450}, {'no': 8226348, 'now': '12/12/22(Mon)07:12:48', 'name': 'Anonymous', 'filename': 'FjxmxYhaUAEq5ee', 'ext': '.jpg', 'w': 2048, 'h': 1354, 'tn_w': 125, 'tn_h': 82, 'tim': 1670847168366946, 'time': 1670847168, 'md5': '0vVkrcWKyAVQhSKFtwHIKw==', 'fsize': 518149, 'resto': 8222450}, {'no': 8226358, 'now': '12/12/22(Mon)07:15:34', 'name': 'Anonymous', 'com': '<a href=""#p8226304"" class=""quotelink"">&gt;&gt;8226304</a><br>the most feared heel in professional wrestling', 'time': 1670847334, 'resto': 8222450}]",1670847334,/Stardom/ General,
3,8226308,12/12/22(Mon)07:01:54,Anonymous,"<span class=""quote"">&gt;Financial results for previous years:</span><br><span class=""quote"">&gt;2021: -284 million yen</span><br><span class=""quote"">&gt;2020: -100 million yen</span><br><span class=""quote"">&gt;2019: -85 million yen</span><br><span class=""quote"">&gt;2018: -40 million yen</span><br>Will they drop wrestling",CyberFight_Logo.svg,.png,1200,860,250,179,1670846514340030,1670846514,4Z/AJ9xboePAGfkcVNzFTA==,70925,0,0,0,cyberfight-announced-a-net-loss-of-682-million,9,1,4.0,1.0,"[{'no': 8226332, 'now': '12/12/22(Mon)07:10:37', 'name': 'Anonymous', 'com': '<a href=""#p8226308"" class=""quotelink"">&gt;&gt;8226308</a><br>AEW partnership working out great', 'time': 1670847037, 'resto': 8226308}, {'no': 8226343, 'now': '12/12/22(Mon)07:12:18', 'name': 'Anonymous', 'com': '<a href=""#p8226308"" class=""quotelink"">&gt;&gt;8226308</a><br>KWAB and this isn&#039;t even factoring in the amount they paid for WC', 'time': 1670847138, 'resto': 8226308}, {'no': 8226345, 'now': '12/12/22(Mon)07:12:19', 'name': 'Anonymous', 'com': '<a href=""#p8226308"" class=""quotelink"">&gt;&gt;8226308</a><br>BTW 2018 and 2019 is the DDT group (DDT, TJPW, Ganbare, formerly BASARA) on its own. Taking on NOAH as well as obviously dented them extra', 'time': 1670847139, 'resto': 8226308}, {'no': 8226356, 'now': '12/12/22(Mon)07:15:12', 'name': 'Anonymous', 'com': '<a href=""#p8226308"" class=""quotelink"">&gt;&gt;8226308</a><br>The Tony Khan effect', 'time': 1670847312, 'resto': 8226308}, {'no': 8226357, 'now': '12/12/22(Mon)07:15:18', 'name': 'Anonymous', 'com': '<a href=""#p8226308"" class=""quotelink"">&gt;&gt;8226308</a><br>Damn, Jamal have infected DDT and NOAH with its ice cold virus.', 'time': 1670847318, 'resto': 8226308}]",1670847318,CyberFight announced a net loss of 682 million yen for the fiscal year 2022 (ending September),
4,8226276,12/12/22(Mon)06:52:51,Anonymous,Bros.<br>I mean seriously<br>Bros.,1670672609855375,.jpg,1440,1440,250,250,1670845971001281,1670845971,62Xs8kEKfuh3+08yjTTWlw==,1151654,0,0,0,bros,12,5,7.0,5.0,"[{'no': 8226317, 'now': '12/12/22(Mon)07:04:10', 'name': 'Anonymous', 'com': '<a href=""#p8226307"" class=""quotelink"">&gt;&gt;8226307</a><br>Trashy', 'time': 1670846650, 'resto': 8226276}, {'no': 8226329, 'now': '12/12/22(Mon)07:09:05', 'name': 'Anonymous', 'com': '<a href=""#p8226307"" class=""quotelink"">&gt;&gt;8226307</a><br>this feels like something a tag-partner for ODB would wear back when TNA was still good.', 'time': 1670846945, 'resto': 8226276}, {'no': 8226339, 'now': '12/12/22(Mon)07:11:19', 'name': 'Anonymous', 'com': '<a href=""#p8226276"" class=""quotelink"">&gt;&gt;8226276</a><br>You just know she got passed around', 'time': 1670847079, 'resto': 8226276}, {'no': 8226354, 'now': '12/12/22(Mon)07:14:35', 'name': 'Anonymous', 'com': 'What a skank. Her hillbilly father must be proud.', 'time': 1670847275, 'resto': 8226276}, {'no': 8226355, 'now': '12/12/22(Mon)07:14:56', 'name': 'Anonymous', 'com': '<a href=""/pw/thread/8221404#p8221404"" class=""quotelink"">&gt;&gt;8221404</a><br><br>MOMMY', 'time': 1670847296, 'resto': 8226276}]",1670847296,,
5,8225043,12/12/22(Mon)00:06:32,Anonymous,"Toxic Attraction is The Attraction<br>previous: <a href=""/pw/thread/8205296#p8205296"" class=""quotelink"">&gt;&gt;8205296</a><br><br>https://streamable.com/lzvqsn<br><br>◆Goldilogs<br>https://imgur.com/a/nMcO7Mc<br><br>◆Art<br>https://imgur.com/a/pyOvwVT<br>https://imgur.com/a/bGy9Y6I<br><br>◆Social Media<br>https://twitter.com/WWE_MandyRose<br>https://www.instagram.com/mandysacs<wbr>/<br>https://www.instagram.com/damandyz/<wbr><br>https://www.tiktok.com/@mandyrose_w<wbr>we<br>https://twitter.com/gigidolin_wwe<br>https://www.instagram.com/gigidolin<wbr>_wwe/<br>https://twitter.com/jacyjaynewwe<br>https://www.instagram.com/jacyjayne<wbr>wwe/<br><br>◆Pics and gifs<br>https://imgur.com/a/rTnhj<br>https://www.wikifeet.com/Amanda_Sac<wbr>comanno<br>https://www.wikifeet.com/Priscilla_<wbr>Kelly<br>https://www.wikifeet.com/Taylor_Gra<wbr>do<br><br>◆Videos<br>https://imgur.com/a/YMK227J<br>https://streamable.com/ckqxb9<br>https://streamable.com/ngx21<br>https://streamable.com/ld2wh7<br><br>◆/asp/ and /pw/ Cameo shoutouts from Mandy and Gigi<br>https://www.youtube.com/watch?v=9PB<wbr>1VRK2qQk<br>https://www.youtube.com/watch?v=Beu<wbr>YEJsyuXQ",1670814516095520,.jpg,1170,2080,140,250,1670821592162988,1670821592,CT3E5VeXb6v/2kqazJ8mPQ==,126166,0,0,0,bloomcoom-official-mandy-rose-toxic-attraction,75,28,70.0,27.0,"[{'no': 8226222, 'now': '12/12/22(Mon)06:31:10', 'name': 'Anonymous', 'com': '<a href=""#p8226212"" class=""quotelink"">&gt;&gt;8226212</a><br>Based, my next coom will be my 3rd since this thread started.', 'time': 1670844670, 'resto': 8225043}, {'no': 8226238, 'now': '12/12/22(Mon)06:39:32', 'name': 'Anonymous', 'com': 'Was Mandy at Deadline or was it just Gigi and Jacy?', 'time': 1670845172, 'resto': 8225043}, {'no': 8226337, 'now': '12/12/22(Mon)07:10:59', 'name': 'Anonymous', 'com': 'Bruh there’s people on Twitter with a fraction of the content we have CHARGING for it lmao I can’t believe this shit', 'filename': '235C17B5-A5F8-4179-BF7D-C141C4B24350', 'ext': '.jpg', 'w': 750, 'h': 983, 'tn_w': 95, 'tn_h': 125, 'tim': 1670847059014106, 'time': 1670847059, 'md5': 'TrR01Y1oSwtMFnLxRsNpbw==', 'fsize': 225234, 'resto': 8225043}, {'no': 8226342, 'now': '12/12/22(Mon)07:12:00', 'name': 'Anonymous', 'com': '<a href=""#p8226238"" class=""quotelink"">&gt;&gt;8226238</a><br>The three', 'time': 1670847120, 'resto': 8225043}, {'no': 8226353, 'now': '12/12/22(Mon)07:14:20', 'name': 'Anonymous', 'com': '<a href=""#p8226342"" class=""quotelink"">&gt;&gt;8226342</a><br>What segment was Mandy in? I didn&#039;t watch Deadline since Mandy didn&#039;t have a match but I&#039;ve got time to make some webms but I skimmed through it and don&#039;t see her anywhere, just that segment with Gigi/Jacy and the two midgets.', 'time': 1670847260, 'resto': 8225043}]",1670847260,|| /Bloomcoom/ || Official Mandy Rose &amp; Toxic Attraction General,
6,8225438,12/12/22(Mon)01:34:38,Anonymous,Who was the face of this dimeless era where WWE actually lost money?,wwe_ruthless_aggression_logo_vetor_by_rpouncy14_deyuw1e-fullview,.jpg,1280,990,250,193,1670826878177353,1670826878,Wu0KFOkxPB8bqmTAgquDZQ==,96122,0,0,0,who-was-the-face-of-this-dimeless-era-where-wwe,5,0,,,"[{'no': 8225459, 'now': '12/12/22(Mon)01:41:29', 'name': 'Anonymous', 'com': 'me', 'time': 1670827289, 'resto': 8225438}, {'no': 8225840, 'now': '12/12/22(Mon)04:10:28', 'name': 'Anonymous', 'com': '<a href=""#p8225438"" class=""quotelink"">&gt;&gt;8225438</a><br>No idea, I couldn&#039;t see him', 'time': 1670836228, 'resto': 8225438}, {'no': 8225843, 'now': '12/12/22(Mon)04:11:11', 'name': 'Anonymous', 'com': '<a href=""#p8225438"" class=""quotelink"">&gt;&gt;8225438</a><br>According to the intro it was Paul Cuckvesque', 'time': 1670836271, 'resto': 8225438}, {'no': 8226347, 'now': '12/12/22(Mon)07:12:40', 'name': 'Anonymous', 'com': '<a href=""#p8225438"" class=""quotelink"">&gt;&gt;8225438</a><br>Eric Bischoff<br><br>https://www.youtube.com/watch?v=Kf8<wbr>yQAYlxXg', 'time': 1670847160, 'resto': 8225438}, {'no': 8226352, 'now': '12/12/22(Mon)07:14:10', 'name': 'Anonymous', 'com': '<a href=""#p8225438"" class=""quotelink"">&gt;&gt;8225438</a><br>edge and eddie<br>its really no wonder it bombed trying to replace the rock and austin with those 2<br>and then the cena reign of terror put the final nail in the coffin', 'time': 1670847250, 'resto': 8225438}]",1670847250,,
7,8221899,12/11/22(Sun)17:16:02,Anonymous,WE DEM BOYS,21CFB4A6-1CB3-4A52-B409-72E64481386F,.jpg,2048,1363,250,166,1670796962596344,1670796962,SNnKDWYrCZvwgnZNW5uYUQ==,597046,0,0,0,we-dem-boys,44,5,39.0,4.0,"[{'no': 8226286, 'now': '12/12/22(Mon)06:55:23', 'name': 'Anonymous', 'com': 'Any must see matches from these guys? The crackhead hillbilly aesthetic is over with me', 'time': 1670846123, 'resto': 8221899}, {'no': 8226290, 'now': '12/12/22(Mon)06:56:19', 'name': 'Anonymous', 'com': '<a href=""#p8226286"" class=""quotelink"">&gt;&gt;8226286</a><br>their last one against bald pedo and generic white dude double dog collar was good', 'time': 1670846179, 'resto': 8221899}, {'no': 8226324, 'now': '12/12/22(Mon)07:07:34', 'name': 'Anonymous', 'com': '<a href=""#p8222969"" class=""quotelink"">&gt;&gt;8222969</a><br>This kind of attitude is why everyone hates you.', 'time': 1670846854, 'resto': 8221899}, {'no': 8226338, 'now': '12/12/22(Mon)07:11:00', 'name': 'Anonymous', 'com': '<a href=""#p8225765"" class=""quotelink"">&gt;&gt;8225765</a><br>This. Fags stuff things up each other&#039;s assholes until there&#039;s blood and shit everywhere, then they&#039;re like &quot;Why are all our friends dying?&quot;', 'time': 1670847060, 'resto': 8221899}, {'no': 8226351, 'now': '12/12/22(Mon)07:13:50', 'name': 'Anonymous', 'com': '<a href=""#p8226152"" class=""quotelink"">&gt;&gt;8226152</a><br>It&#039;s not ok for you to exist, faggot', 'filename': 'E69C7AB4-F1F5-49A5-9EB8-04282FCD21DE', 'ext': '.jpg', 'w': 630, 'h': 494, 'tn_w': 125, 'tn_h': 98, 'tim': 1670847230487946, 'time': 1670847230, 'md5': 'QSM+BqfvGukBru5rAz3yVw==', 'fsize': 71482, 'resto': 8221899}]",1670847230,,
8,8221404,12/11/22(Sun)16:04:45,Anonymous,Socials:<br>https://twitter.com/LaceyEvansWWE<br>https://www.instagram.com/laceyevan<wbr>swwe/<br><br>Promos:<br>https://www.youtube.com/watch?v=To9<wbr>2R01TYi4<br>https://www.youtube.com/watch?v=sIj<wbr>qKNuOjqE<br>https://www.youtube.com/watch?v=sA3<wbr>27sy1Qn4,Lacey Evans white,.webm,640,1136,140,250,1670792685276708,1670792685,ikTdoUIdU168tvYhiXRnXA==,3140794,0,0,0,le-lacey-evans-32,39,20,34.0,20.0,"[{'no': 8223044, 'now': '12/11/22(Sun)19:34:51', 'name': 'Anonymous', 'com': '<a href=""#p8221404"" class=""quotelink"">&gt;&gt;8221404</a><br>mommy', 'time': 1670805291, 'resto': 8221404}, {'no': 8223674, 'now': '12/11/22(Sun)20:52:22', 'name': 'Anonymous', 'com': '<a href=""#p8221426"" class=""quotelink"">&gt;&gt;8221426</a><br>she is moving faster to the nudes than Mandy', 'time': 1670809942, 'resto': 8221404}, {'no': 8224038, 'now': '12/11/22(Sun)21:43:29', 'name': 'Anonymous', 'com': '<a href=""#p8221405"" class=""quotelink"">&gt;&gt;8221405</a><br>Very pretty girl', 'time': 1670813009, 'resto': 8221404}, {'no': 8225263, 'now': '12/12/22(Mon)00:47:05', 'name': 'Anonymous', 'com': '<a href=""#p8221404"" class=""quotelink"">&gt;&gt;8221404</a><br><span class=""quote"">&gt;your modern average conservative mother is a mega whore</span><br>holy shit i hate republicucks so much', 'time': 1670824025, 'resto': 8221404}, {'no': 8226350, 'now': '12/12/22(Mon)07:13:40', 'name': 'Anonymous', 'com': '<a href=""/pw/thread/8226276#p8226276"" class=""quotelink"">&gt;&gt;8226276</a><br><br>what does he mean by this?', 'time': 1670847220, 'resto': 8221404}]",1670847220,//LE// Lacey Evans (32),
9,8211932,12/10/22(Sat)17:50:41,Anonymous,"<span class=""quote"">&gt;”Bet my life is better than yours.” - Kevin Nash to Dave Meltzer</span>",17A1F5F7-F89C-4BB0-90A3-C0C01435AC80,.jpg,640,360,250,140,1670712641305476,1670712641,cni1C8xz2Sc9RGl6yE5Kkg==,15652,0,0,0,bet-my-life-is-better-than-yours-kevin-nash-to,88,10,83.0,9.0,"[{'no': 8226042, 'now': '12/12/22(Mon)05:34:40', 'name': 'Anonymous', 'com': '<a href=""#p8215892"" class=""quotelink"">&gt;&gt;8215892</a><br>good heavens!', 'time': 1670841280, 'resto': 8211932}, {'no': 8226072, 'now': '12/12/22(Mon)05:43:35', 'name': 'Anonymous', 'com': '<a href=""#p8211932"" class=""quotelink"">&gt;&gt;8211932</a><br>Maybe. Dave never exploited his dead kid for subs though. Meltzer is a fucking dork, but Nash is an absolute scumbag.', 'time': 1670841815, 'resto': 8211932}, {'no': 8226292, 'now': '12/12/22(Mon)06:57:10', 'name': 'Anonymous', 'com': 'Oh don&#039;t you dare run back<br>Just take this BBC<br>There&#039;s no holding back<br>I said SHUT UP AND RAPE KEVVY<br><br>His bussy is my destiny<br>Kevin said NO NO NO<br>SHUT UP AND RAPE KEVVY<br><br>He was my victim of the night<br>The chemicals subdued his will to fight<br>Helpless in the steaming sizzling Summer night<br>Oh, we all pounded him together<br>Pounded him together<br>I took his arse<br>He won&#039;t know how it happened<br>We took to the curb and said<br><br>Oh don&#039;t you dare run back<br>Just take this BBC<br>There&#039;s no holding back<br>I said SHUT UP AND RAPE KEVVY<br><br>His bussy is my destiny<br>Kevin said NO NO NO<br>SHUT UP AND RAPE KEVVY', 'time': 1670846230, 'resto': 8211932}, {'no': 8226318, 'now': '12/12/22(Mon)07:04:21', 'name': 'Anonymous', 'com': '<a href=""#p8211932"" class=""quotelink"">&gt;&gt;8211932</a><br>imagine preferring meltzer to nash<br>this place really got infested by /wooo/ at some point', 'time': 1670846661, 'resto': 8211932}, {'no': 8226349, 'now': '12/12/22(Mon)07:13:10', 'name': 'Anonymous', 'com': '<a href=""#p8226318"" class=""quotelink"">&gt;&gt;8226318</a><br>both got done dirty the same year', 'filename': 'meltzer held hostage against his will', 'ext': '.jpg', 'w': 1080, 'h': 1322, 'tn_w': 102, 'tn_h': 124, 'tim': 1670847190570540, 'time': 1670847190, 'md5': 'SmIr389X259LVqiJBeYB1w==', 'fsize': 228613, 'resto': 8211932}]",1670847190,,
