,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images
0,23675577,1.0,1.0,10/24/15(Sat)16:57:43,Anonymous,Welcome to /r9k/,"/r9k/ is an imageboard where there are no exact reposts.<br><br>

1. If you attempt to post something unoriginal, it is not posted, and you are muted temporarily.<br>
2. The time with which you are muted for doubles with each transgression.<br>
3. Each mute time is 2^n in seconds where n is the number of times you have transgressed. So, 
your mute time doubles each time you fuck up.<br>
4. Backlinks, eg <span class=""deadlink"">&gt;&gt;1</span>, are not viewed by the robot. So &quot;lolwut&quot; and &quot;<span class=""deadlink"">&gt;&gt;2</span> lolwut&quot; are the same post, in the 
eyes of the robot.<br>
5. Gibberish at the end of a post to force originality may result in mod intervention (no BLOX posts please).<br>
6. Images are <b>NOT</b> included in the filter, only text. <br>
7. Your mute count slowly decreases over time.<br>
8. You cannot post a picture without text.<br>
9. Unicode is blocked. Sorry, too many exploits (Cyrillic letters, etc).<br>
10. Posts require a certain minimum amount of original content in order to be posted.<br>
11. Post sane, real content, well thought out replies, and mutes are unlikely.<br>
12. The original algorithm was designed by XKCD:<br>
<a href=""http://blag.xkcd.com/2008/01/14/robot9000-and-xkcd-signal-attacking-noise-in-chat/"">http://blag.xkcd.com/2008/01/14/rob<wbr>ot9000-and-xkcd-signal-attacking-no<wbr>ise-in-chat/</a>",robot overlord,.png,1024,1265,202,250,1445720263676,1445720263,E7i9zSWi9necbU0oXhs9eA==,1295348,0,mod,welcome-to-r9k,0,1,0,"[{'no': 50136909, 'now': '12/30/18(Sun)10:56:52', 'name': 'Anonymous', 'com': '/r9k/ has no topic, but unlike /b/ <a href=""https://www.4chan.org/rules#global3"">Global Rule #3</a> is in effect. In addition, advice threads and camwhoring/hookup/&quot;rate me&quot; threads should go on <a href=""https://boards.4chan.org/adv/"">/adv/ - Advice</a> and <a href=""https://boards.4chan.org/soc/"">/soc/ - Cams &amp; Meetups</a> respectively. <b>This includes Discord server threads!</b>', 'time': 1546185412, 'resto': 23675577, 'capcode': 'mod'}]",1546185419,,,,
1,37842102,1.0,1.0,06/20/17(Tue)09:17:43,Anonymous,,"<span style=""font-size:20px;font-weight:600;line-height:120%;"">Do not post pictures of yourself on /r9k/.<br>Do not post threads asking for pictures of other users.<br>
<br>
All &quot;rate me&quot; and camwhoring threads belong on /soc/.<br>
<br>
<a href=""https://boards.4chan.org/soc/""><a href=""/soc/"" class=""quotelink"">&gt;&gt;&gt;/soc/</a></a></span>",1125px-No_selfies.svg[1],.png,1125,1024,250,227,1497964663055,1497964663,2ioEPaxeq+G12hmNCLVvxQ==,65729,0,mod,do-not-post-pictures-of-yourself-on-r9k,0,0,0,,1497964670,,,,
2,71351651,,,12/11/22(Sun)07:10:00,Anonymous,JAPANESE WOMEN TO WHITE TOURISTS &quot;JAPANESE MEN SMALL DICK&quot;,https://streamable.com/hxs69<br><br>https://streamable.com/64j6fv,f399b73c2d9dca7-822x617,.jpg,822,617,250,187,1670760600577865,1670760600,mnVqfqEc7u2ZdIvZpw854A==,75919,0,,japanese-women-to-white-tourists-japanese-men,0,1,0,"[{'no': 71351682, 'now': '12/11/22(Sun)07:13:54', 'name': 'Anonymous', 'com': 'Who is this streamer?', 'time': 1670760834, 'resto': 71351651}]",1670760834,0.0,0.0,,
3,71348181,,,12/10/22(Sat)23:47:53,Anonymous,,"<span class=""quote"">&gt;entire thread of calling this guy a &quot;based chad&quot; and encouraging him to e date confused young autistic fem-bots</span><br><span class=""quote"">&gt;nobody calling it degenerate, nobody saying he needs to grow up, nobody calling out the hookup culture, nobody calling out the racemixing, nobody calling it the fall of the west</span><br>Why?<br><a href=""/r9k/thread/71345107#p71345107"" class=""quotelink"">&gt;&gt;71345107</a>",1669467422586846,.png,2000,1552,250,194,1670734073612549,1670734073,ngcdNa65tyvfRZ9qvebwgw==,3468409,0,,entire-thread-of-calling-this-guy-a-based-chad,0,305,48,"[{'no': 71351625, 'now': '12/11/22(Sun)07:07:08', 'name': 'MNRCH', 'com': '<a href=""#p71351527"" class=""quotelink"">&gt;&gt;71351527</a><br>Fine actually she seems alright.<br>She&#039;s still a roastie whore though and she should kill herself immediately<br>Praise be', 'time': 1670760428, 'resto': 71348181}, {'no': 71351659, 'now': '12/11/22(Sun)07:11:01', 'name': 'Anonymous', 'com': '<a href=""#p71351625"" class=""quotelink"">&gt;&gt;71351625</a><br><span class=""quote"">&gt;she</span><br><br>imagine falling for that tranny. holy fuck you are all retarded.', 'time': 1670760661, 'resto': 71348181}, {'no': 71351668, 'now': '12/11/22(Sun)07:11:50', 'name': 'Anonymous', 'com': '<a href=""#p71349320"" class=""quotelink"">&gt;&gt;71349320</a><br>Nice photoshop nigger nice try', 'time': 1670760710, 'resto': 71348181}, {'no': 71351671, 'now': '12/11/22(Sun)07:12:06', 'name': 'Anonymous', 'com': '<a href=""#p71351470"" class=""quotelink"">&gt;&gt;71351470</a><br><span class=""quote"">&gt;Why does everyone act like r9k was ever different?</span><br>It&#039;s just election tourist incels who think they&#039;re oldfags.<br>They have the most fragile egos of all.', 'time': 1670760726, 'resto': 71348181}, {'no': 71351681, 'now': '12/11/22(Sun)07:13:49', 'name': 'Anonymous', 'com': '<a href=""#p71351522"" class=""quotelink"">&gt;&gt;71351522</a><br>Being Indian has nothing to do with being black.<br>Indians are discount blacks, meaning subpar dick (think Mediterranean size).', 'time': 1670760829, 'resto': 71348181}]",1670760829,0.0,0.0,300.0,48.0
4,71348462,,,12/11/22(Sun)00:15:30,Anonymous,Why haven&#039;t you guys transitioned yet what&#039;s stopping you?,It really is great being a woman.,6eglzl,.jpg,500,500,250,250,1670735730052889,1670735730,3047o/q/xHMUzt8llry5+Q==,94153,0,,why-havent-you-guys-transitioned-yet-whats,0,83,4,"[{'no': 71351599, 'now': '12/11/22(Sun)07:03:06', 'name': 'Anonymous', 'com': '<a href=""#p71351582"" class=""quotelink"">&gt;&gt;71351582</a><br>Genuine MTFs mog incels by being authentic and true to themselves', 'time': 1670760186, 'resto': 71348462}, {'no': 71351636, 'now': '12/11/22(Sun)07:08:30', 'name': 'Anonymous', 'com': '<a href=""#p71351582"" class=""quotelink"">&gt;&gt;71351582</a><br>maybe in bumpkin country', 'time': 1670760510, 'resto': 71348462}, {'no': 71351650, 'now': '12/11/22(Sun)07:09:38', 'name': 'Anonymous', 'com': '<a href=""#p71351516"" class=""quotelink"">&gt;&gt;71351516</a><br>i don&#039;t pretend i&#039;m a cis woman, you just pretend i&#039;m a crossdressing man, which isn&#039;t remotely how the biology of a trans woman works. i&#039;m not interested in playing sports with cis women, as your bones are one of the few things that calcify irreversibly past puberty, but it&#039;s just as stupid to play pretend that i&#039;m male and treat me like one<br>call me a tranny if you want to spit at me accurately, but if you call me male, you&#039;re just being intellectually dishonest', 'time': 1670760578, 'resto': 71348462}, {'no': 71351672, 'now': '12/11/22(Sun)07:12:32', 'name': 'Anonymous', 'com': '<a href=""#p71351581"" class=""quotelink"">&gt;&gt;71351581</a><br><span class=""quote"">&gt;to feel at home in their birth gender isn&#039;t pretending</span><br>All those concepts does not make any sense unless you already believe in transgenderism. How you feel, positive or negative, about what you are does not change at all what you are. An obese person who feels thin and healthy does not cease being obese. I think people can wear whatever they want and look however they want. I only disagree with the identity part of it.', 'time': 1670760752, 'resto': 71348462}, {'no': 71351680, 'now': '12/11/22(Sun)07:13:33', 'name': 'Anonymous', 'com': '<a href=""#p71351650"" class=""quotelink"">&gt;&gt;71351650</a><br>You are male, that&#039;s your biology. You can take all estrogen in the world, nothing will change about that.', 'time': 1670760813, 'resto': 71348462}]",1670760813,0.0,0.0,78.0,4.0
5,71351679,,,12/11/22(Sun)07:13:27,Anonymous,,I just got rejected for the first time in my life<br>how do I cope<br>Please respond,3e5,.jpg,800,450,250,140,1670760807915133,1670760807,xiefWDYUpqViPHvkDS3Ang==,66347,0,,i-just-got-rejected-for-the-first-time-in-my-life,0,0,0,,1670760807,0.0,0.0,,
6,71350456,,,12/11/22(Sun)03:59:16,Anonymous,post your rooms,"<span class=""quote"">&gt;why yes that is a particle wood floor that is permanently uncleanable</span>",room 1,.jpg,3264,2448,250,187,1670749156476161,1670749156,oDXB+ADWFx7oWmSPNPGFuA==,1189972,0,,post-your-rooms,0,26,7,"[{'no': 71351205, 'now': '12/11/22(Sun)06:05:07', 'name': 'Anonymous', 'com': 'here&#039;s my room anons! if you have any tips or comments i&#039;d love to hear them ^^ (pic 1/2)', 'filename': 'room 1', 'ext': '.jpg', 'w': 4032, 'h': 2268, 'tn_w': 125, 'tn_h': 70, 'tim': 1670756707440247, 'time': 1670756707, 'md5': 'mbBZ+Z+SvPmTBiRpLGm4aQ==', 'fsize': 1688097, 'resto': 71350456}, {'no': 71351213, 'now': '12/11/22(Sun)06:05:54', 'name': 'Anonymous', 'com': '<a href=""#p71351205"" class=""quotelink"">&gt;&gt;71351205</a><br>here&#039;s part 2/2 !', 'filename': 'room 2', 'ext': '.jpg', 'w': 4032, 'h': 2268, 'tn_w': 125, 'tn_h': 70, 'tim': 1670756754616494, 'time': 1670756754, 'md5': 'ZQdlE6tRtB1dox4yrvDqVw==', 'fsize': 2111958, 'resto': 71350456}, {'no': 71351231, 'now': '12/11/22(Sun)06:09:42', 'name': 'Anonymous', 'com': '<a href=""#p71351205"" class=""quotelink"">&gt;&gt;71351205</a><br><a href=""#p71351213"" class=""quotelink"">&gt;&gt;71351213</a><br>looks incredibly clean. how do you keep all that stuff from getting dusty? my house makes like a bucket full of dust per day out of seemingly nowhere', 'time': 1670756982, 'resto': 71350456}, {'no': 71351321, 'now': '12/11/22(Sun)06:25:08', 'name': 'Anonymous', 'com': '<a href=""#p71351231"" class=""quotelink"">&gt;&gt;71351231</a><br>awesome :o thanks anon! uugghhh don&#039;t get me started on the dust haha, it&#039;s a pain to deal with. i vacuum once a week. in a span of a month i&#039;ll have dusted all the spaceships. once every 3 months i&#039;ll dust the display sections. that&#039;s pretty much the process, hope that helps ^-^', 'time': 1670757908, 'resto': 71350456}, {'no': 71351678, 'now': '12/11/22(Sun)07:13:21', 'name': 'Anonymous', 'com': '<a href=""#p71350456"" class=""quotelink"">&gt;&gt;71350456</a><br>Sweet setup ngl.', 'filename': '1406271907445', 'ext': '.jpg', 'w': 556, 'h': 525, 'tn_w': 125, 'tn_h': 118, 'tim': 1670760801726049, 'time': 1670760801, 'md5': 'juu5xyiLBVyoXxOMwAC9lg==', 'fsize': 83735, 'resto': 71350456}]",1670760801,0.0,0.0,21.0,4.0
7,71351472,,,12/11/22(Sun)06:47:10,Anonymous,,Why dont you guys just install tinder and lose your virginity? Pretty fucking easy,AF626D9A-1513-4A14-B90D-3A2C03A0E6C7,.png,1242,2208,140,250,1670759230733989,1670759230,nzUVTJzqs/LrsY7s2xT/MQ==,411653,0,,why-dont-you-guys-just-install-tinder-and-lose,0,21,2,"[{'no': 71351648, 'now': '12/11/22(Sun)07:09:27', 'name': 'Anonymous', 'com': '<a href=""#p71351629"" class=""quotelink"">&gt;&gt;71351629</a><br>i mean asl fat retard', 'time': 1670760567, 'resto': 71351472}, {'no': 71351649, 'now': '12/11/22(Sun)07:09:29', 'name': 'Anonymous', 'com': 'Only 5% of male tinder users get matches so yes you are chad fuck off', 'time': 1670760569, 'resto': 71351472}, {'no': 71351666, 'now': '12/11/22(Sun)07:11:37', 'name': 'Anonymous', 'com': '<a href=""#p71351610"" class=""quotelink"">&gt;&gt;71351610</a><br>What are you trying to say? That most people here are trannies and women?', 'time': 1670760697, 'resto': 71351472}, {'no': 71351676, 'now': '12/11/22(Sun)07:12:57', 'name': 'Anonymous', 'com': '<a href=""#p71351540"" class=""quotelink"">&gt;&gt;71351540</a><br><span class=""quote"">&gt; Im not even a chad</span><br>Then you&#039;re an upper tier normie, close to chad.<br><br>Let me guess, you&#039;re white, above six feet in height, blue eyes.', 'time': 1670760777, 'resto': 71351472}, {'no': 71351677, 'now': '12/11/22(Sun)07:13:14', 'name': 'Anonymous', 'com': '<a href=""#p71351472"" class=""quotelink"">&gt;&gt;71351472</a><br>I would only have sex with a woman if she did anal', 'time': 1670760794, 'resto': 71351472}]",1670760794,0.0,0.0,16.0,2.0
8,71350661,,,12/11/22(Sun)04:31:07,Anonymous,,"<span class=""quote"">&gt;Go Into Your Room</span><br><span class=""quote"">&gt;See This Femboy Naked Ass</span><br>What Do?",gonna-become-an-e-thot-or-a-fe,.jpg,711,400,250,140,1670751067413333,1670751067,x5+ZYm7yFmTFwy9PR5D1ig==,39612,0,,go-into-your-room,0,8,1,"[{'no': 71350675, 'now': '12/11/22(Sun)04:33:07', 'name': 'Anonymous', 'com': '<a href=""#p71350661"" class=""quotelink"">&gt;&gt;71350661</a><br>I lay behind him and start touching his penis as i kiss him, with tongue inside mouth', 'time': 1670751187, 'resto': 71350661}, {'no': 71350676, 'now': '12/11/22(Sun)04:33:33', 'name': 'Anonymous', 'com': 'i would probably fuck it. and play with his dick. not gay but i am interested in playing with someone elses dick i just think it would be fun', 'time': 1670751213, 'resto': 71350661}, {'no': 71350847, 'now': '12/11/22(Sun)05:00:38', 'name': 'Anonymous', 'com': '<a href=""#p71350661"" class=""quotelink"">&gt;&gt;71350661</a><br>Bear his balls into a bloody mush pudding. He doesn&#039;t deserve to hang thr sacred jewelry', 'time': 1670752838, 'resto': 71350661}, {'no': 71350967, 'now': '12/11/22(Sun)05:21:21', 'name': 'Anonymous', 'com': '<a href=""#p71350661"" class=""quotelink"">&gt;&gt;71350661</a><br>tie him up and do this', 'filename': '1571637995949', 'ext': '.webm', 'w': 480, 'h': 852, 'tn_w': 70, 'tn_h': 125, 'tim': 1670754081007275, 'time': 1670754081, 'md5': 'fGuZ4vnZt9nDL2iT85hA7w==', 'fsize': 2044120, 'resto': 71350661}, {'no': 71351675, 'now': '12/11/22(Sun)07:12:47', 'name': 'Anonymous', 'com': '<a href=""#p71350661"" class=""quotelink"">&gt;&gt;71350661</a><br>Fill him up. Make him see God.', 'time': 1670760767, 'resto': 71350661}]",1670760767,0.0,0.0,3.0,0.0
9,71349829,,,12/11/22(Sun)02:43:43,Anonymous,,Would you settle with a relationship like this?,1595759367993,.png,586,586,250,250,1670744623155398,1670744623,hVCc0Qw3JzBeoBmjfRC8Bw==,659853,0,,would-you-settle-with-a-relationship-like-this,0,43,6,"[{'no': 71351081, 'now': '12/11/22(Sun)05:45:25', 'name': 'Anonymous', 'com': '<a href=""#p71351024"" class=""quotelink"">&gt;&gt;71351024</a><br>this but also she pegs me', 'time': 1670755525, 'resto': 71349829}, {'no': 71351104, 'now': '12/11/22(Sun)05:48:50', 'name': 'Anonymous', 'com': '<a href=""#p71351081"" class=""quotelink"">&gt;&gt;71351081</a><br>That kind of goes without saying.<br>If you&#039;re not caged, (reverse) amazon position is good too.', 'time': 1670755730, 'resto': 71349829}, {'no': 71351177, 'now': '12/11/22(Sun)06:02:15', 'name': 'Anonymous', 'com': '<a href=""#p71349829"" class=""quotelink"">&gt;&gt;71349829</a><br>I hate women however I think role reversal pictures are funny so sure why not', 'time': 1670756535, 'resto': 71349829}, {'no': 71351476, 'now': '12/11/22(Sun)06:47:25', 'name': 'Anonymous', 'com': '<a href=""#p71349829"" class=""quotelink"">&gt;&gt;71349829</a><br>reminder that matriarchy does not work<br>also you gay nigga<br><br>P.S. get off porn', 'filename': 'tesla blackpill', 'ext': '.jpg', 'w': 1024, 'h': 686, 'tn_w': 125, 'tn_h': 83, 'tim': 1670759245408485, 'time': 1670759245, 'md5': 'jJ1WoEmJonX2NKkhiYl6nA==', 'fsize': 208980, 'resto': 71349829}, {'no': 71351674, 'now': '12/11/22(Sun)07:12:45', 'name': 'Anonymous', 'com': '<a href=""#p71349829"" class=""quotelink"">&gt;&gt;71349829</a><br>no manicure = red flag', 'time': 1670760765, 'resto': 71349829}]",1670760765,0.0,0.0,38.0,5.0
