,no,sticky,closed,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,sub,filedeleted,bumplimit,imagelimit,omitted_posts,omitted_images,trip
0,12370429,1.0,1.0,09/02/11(Fri)05:14,Anonymous,"<div align=""center""><br><h1><blink><font color=""red"">/s/ is NOT for /r/EQUESTS</font></blink></h1><br><h1><font color=""red"">Please&#44; do not start a thread if you don't have at least 6 related pictures to post in it.</font></h1><br><br></div><br>Some basic things for /s/&#44; in addition to the rules: http://www.4chan.org/rules#s. Please read them before posting.<br><br>If you start a thread&#44; you post the pictures! Contributions by others are optional and nothing that can be demanded. Contribute at least 6 related pics if you start a thread.<br><br>Don't make threads for the sole purpose of a request. Do not answer request threads (you're encouraging rule violations).<br><br>Typical requests start with: ""[insert random topic/theme]&#44; GO!""&#44; ""Let's start a [insert random topic/theme] thread""&#44; ""More of this.""&#44; ""What's her name?""&#44; ""Moar""&#44; ""Who is this?""&#44; ""Where can I find more?""&#44; ""Post more!""&#44; ""Need more.""&#44; ""Let's have a [insert random topic/theme] thread.""&#44; ""[insert random topic/theme] thread plz"" and so on&#44; while not posting pics (except the first).",Untitled,.png,1.0,2.0,1.0,2.0,1314954891019.0,1314954891,WihkUhdTIs4PX9RB3EyoVw==,122.0,0,mod,,1,0,"[{'no': 16446563, 'now': '01/21/16(Thu)21:36:54', 'name': 'Anonymous', 'com': 'Don&#039;t post fakes, x-rays, bubble pics. Don&#039;t post captioned pictures/wincest pictures. Don&#039;t post fap roulette pics/threads. All this belongs in /b/ and nowhere else.<br><br>To find more pictures use Google image search and Tineye first. Then go to /r/. Don&#039;t expect to get an immediate answer. Don&#039;t post the request in /s/ just because nobody in /r/ knew.<br><br>Facebook threads are known to be &quot;stalker threads.&quot; Posting personal information (social network links, FB collage pics with names, addresses and names of amateurs, real names of models who work with an alias for a reason) is not allowed.', 'time': 1453430214, 'resto': 12370429, 'capcode': 'mod'}]",1453430219,,,,,,,
1,9112225,1.0,1.0,05/13/10(Thu)00:18,Anonymous,"amidoinitrite? <br><br><b style=""color:red;"">(USER WAS BANNED FOR THIS POST)</b>",,,,,,,,1273724304,,,0,,questionable-age,1,0,"[{'no': 9240138, 'now': '05/23/10(Sun)01:10', 'name': 'Anonymous', 'com': '<p>In case it isn\'t completely evident&#44; we\'ll spell it out for you:</p><p style=""font-weight: bold; font-size: 12pt; color: red;"">Do NOT post threads / images about ""teens""&#44; ""young girls""&#44; ""jailbait""&#44; ""questionable age""&#44; or anything that could be construed as advocating pornography involving minors.</p><p>This rule also applies to /b/. Don\'t take it there&#44; don\'t even recommend that people post that shit there. We don\'t want it anywhere on this site.</p><p>Additionally&#44; per board rules&#44; we\'d like to remind you that <b style=""color:red;"">posting of hardcore images is not allowed</b>. The basic rule of thumb is: if the picture has a penis in it&#44; it doesn\'t go here.</p><p>Thank you!</p>', 'time': 1274591453, 'resto': 9112225, 'capcode': 'mod'}]",1798779601,questionable age?,1.0,,,,,
2,21456504,,,11/27/22(Sun)20:46:27,Anonymous,Really anything that exposes the midriff and legs,8F350CB1-076C-4018-9CA0-7D51922CBDC9,.jpg,1170.0,1461.0,200.0,250.0,1669599987667052.0,1669599987,aL2HkGV4d1+it3dq9+59ew==,1093192.0,0,,asians-wearing-bikinis-lingerie-underwear-or-just,140,104,"[{'no': 21473708, 'now': '12/12/22(Mon)19:55:25', 'name': 'Anonymous', 'com': '<a href=""#p21473707"" class=""quotelink"">&gt;&gt;21473707</a>', 'filename': 'zv2sw9ufqq051', 'ext': '.jpg', 'w': 1080, 'h': 1445, 'tn_w': 93, 'tn_h': 124, 'tim': 1670892925954117, 'time': 1670892925, 'md5': 'b8jdEjTV6qMK+Q6rVSnizQ==', 'fsize': 555321, 'resto': 21456504}, {'no': 21473710, 'now': '12/12/22(Mon)19:56:16', 'name': 'Anonymous', 'com': '<a href=""#p21473708"" class=""quotelink"">&gt;&gt;21473708</a>', 'filename': 'he57j8cmw3351', 'ext': '.jpg', 'w': 1077, 'h': 1439, 'tn_w': 93, 'tn_h': 125, 'tim': 1670892976164035, 'time': 1670892976, 'md5': '5imrz2aLPRgJASlCCEuLMw==', 'fsize': 636999, 'resto': 21456504}, {'no': 21473736, 'now': '12/12/22(Mon)20:40:03', 'name': 'Anonymous', 'com': '<a href=""#p21457530"" class=""quotelink"">&gt;&gt;21457530</a><br><a href=""#p21457546"" class=""quotelink"">&gt;&gt;21457546</a><br>very intrigued', 'time': 1670895603, 'resto': 21456504}, {'no': 21473792, 'now': '12/12/22(Mon)22:38:01', 'name': 'Anonymous', 'com': '<a href=""#p21456872"" class=""quotelink"">&gt;&gt;21456872</a><br>sauce?', 'time': 1670902681, 'resto': 21456504}, {'no': 21474103, 'now': '12/13/22(Tue)07:13:52', 'name': 'Anonymous', 'com': '<a href=""#p21472443"" class=""quotelink"">&gt;&gt;21472443</a><br><a href=""#p21473697"" class=""quotelink"">&gt;&gt;21473697</a><br>You faggots are truly useless first result in reverse image search is Vyxia', 'time': 1670933632, 'resto': 21456504}]",1670933632,"Asians wearing bikinis, lingerie, underwear or just gym wear",,0.0,0.0,135.0,102.0,
3,21459302,,,11/30/22(Wed)03:54:11,Anonymous,"Continued from <a href=""/s/thread/21441984#p21441984"" class=""quotelink"">&gt;&gt;21441984</a>",fuckpiece,.jpg,1080.0,1920.0,140.0,250.0,1669798451888106.0,1669798451,RVYSK6O27N5rz0w5+ijp5g==,196815.0,0,,indian-brown-desi-women,95,61,"[{'no': 21474091, 'now': '12/13/22(Tue)07:02:54', 'name': 'Anonymous', 'com': '<a href=""#p21474087"" class=""quotelink"">&gt;&gt;21474087</a><br><a href=""#p21474088"" class=""quotelink"">&gt;&gt;21474088</a><br>Moar', 'time': 1670932974, 'resto': 21459302}, {'no': 21474092, 'now': '12/13/22(Tue)07:04:00', 'name': 'Anonymous', 'filename': 'VID_20170624dfdghgfhjg_124657', 'ext': '.jpg', 'w': 2160, 'h': 2772, 'tn_w': 97, 'tn_h': 125, 'tim': 1670933040447794, 'time': 1670933040, 'md5': 'T0ItQME73xyq5R3SnPDZIA==', 'fsize': 352827, 'resto': 21459302}, {'no': 21474093, 'now': '12/13/22(Tue)07:05:18', 'name': 'Anonymous', 'filename': 'Screenshot 2022-11-03 140202', 'ext': '.jpg', 'w': 730, 'h': 960, 'tn_w': 95, 'tn_h': 125, 'tim': 1670933118916813, 'time': 1670933118, 'md5': 'cA+itfH/l2qxxlGRuEpPyw==', 'fsize': 97542, 'resto': 21459302}, {'no': 21474096, 'now': '12/13/22(Tue)07:06:37', 'name': 'Anonymous', 'filename': 'IMG-20220511-WA0050', 'ext': '.jpg', 'w': 541, 'h': 999, 'tn_w': 67, 'tn_h': 125, 'tim': 1670933197186086, 'time': 1670933197, 'md5': 'GD2kcDCjpUXMJNV/pR+tKA==', 'fsize': 33111, 'resto': 21459302}, {'no': 21474102, 'now': '12/13/22(Tue)07:11:10', 'name': 'Anonymous', 'filename': 'd87a7318d67e1e921afe074ea5a46160dd3a9d7cecb8cd84a0b1ddd5474689c7', 'ext': '.jpg', 'w': 649, 'h': 846, 'tn_w': 95, 'tn_h': 124, 'tim': 1670933470241794, 'time': 1670933470, 'md5': 'm8C5OCXTrVA4z7sGI2ZBOw==', 'fsize': 151065, 'resto': 21459302}]",1670933470,Indian - Brown - Desi Women,,0.0,0.0,90.0,57.0,
4,21446488,,,11/18/22(Fri)20:55:58,Anonymous,,1604283798599,.jpg,1449.0,2576.0,140.0,250.0,1668822958714704.0,1668822958,F/TeyQbS3IV9pwH7fIxzpQ==,383439.0,0,,fat-veiny-tits,197,117,"[{'no': 21474082, 'now': '12/13/22(Tue)06:55:44', 'name': 'Anonymous', 'com': '<a href=""#p21473394"" class=""quotelink"">&gt;&gt;21473394</a><br>Yeah she is weird about exposing them both freely. Her content is quite boring.', 'filename': 'IMG_8580', 'ext': '.jpg', 'w': 1170, 'h': 1538, 'tn_w': 95, 'tn_h': 124, 'tim': 1670932544889964, 'time': 1670932544, 'md5': 'um1XiACg9oZk/sc2Sz0cgg==', 'fsize': 1735779, 'resto': 21446488}, {'no': 21474085, 'now': '12/13/22(Tue)06:58:50', 'name': 'Anonymous', 'com': '<a href=""#p21474061"" class=""quotelink"">&gt;&gt;21474061</a><br><br>One more... don&#039;t have much of her unfortunately.', 'filename': 'IMAG0126', 'ext': '.jpg', 'w': 1728, 'h': 2592, 'tn_w': 83, 'tn_h': 125, 'tim': 1670932730921086, 'time': 1670932730, 'md5': '23p6m/O/MEKhg7Ig78Fi/A==', 'fsize': 1140027, 'resto': 21446488}, {'no': 21474094, 'now': '12/13/22(Tue)07:05:58', 'name': 'Anonymous', 'com': '<a href=""#p21474068"" class=""quotelink"">&gt;&gt;21474068</a><br> <br>What do you want to know? <br><br>I have hundreds of pics and a ton of full length HD sextapes. Obviously can&#039;t post the XXX in /s/', 'filename': 'PHOTO-2019-03-30-22-05-24', 'ext': '.jpg', 'w': 900, 'h': 1600, 'tn_w': 70, 'tn_h': 125, 'tim': 1670933158015228, 'time': 1670933158, 'md5': 'wYbHMez5hP8MMat1Qoln3g==', 'fsize': 113199, 'resto': 21446488}, {'no': 21474098, 'now': '12/13/22(Tue)07:08:32', 'name': 'Anonymous', 'com': '<a href=""#p21474094"" class=""quotelink"">&gt;&gt;21474094</a><br>More full body', 'time': 1670933312, 'resto': 21446488}, {'no': 21474101, 'now': '12/13/22(Tue)07:10:05', 'name': 'Anonymous', 'com': '<a href=""#p21474094"" class=""quotelink"">&gt;&gt;21474094</a><br>how do you meet with her? how many years of sex-friendness? do you have a partner even while you have friend-sex? did someone propose a serious relationship? are you the only sex friend she has?<br><br>about the pic... fucking perfection, post what can be posted.', 'time': 1670933405, 'resto': 21446488}]",1670933405,fat veiny tits,,0.0,0.0,192.0,114.0,
5,21474049,,,12/13/22(Tue)05:05:11,Anonymous,"I need her video with alenas.caprice, there is a lesbian porn out there. Any hero that has nudes of annagutallesgut?",2999x3999_e7ed5ff257f63256b9e52ff562f61d0c,.jpg,2999.0,3999.0,187.0,250.0,1670925911816982.0,1670925911,lQzzQUcnMcas8MzbgG3m6Q==,1380138.0,0,,annagutallesgut-onlyfans,1,0,"[{'no': 21474100, 'now': '12/13/22(Tue)07:09:46', 'name': 'Anonymous', 'com': 'This is not /r/ asshole<br><br>Read the rules', 'time': 1670933386, 'resto': 21474049}]",1670933386,Annagutallesgut- onlyfans,,0.0,0.0,,,
6,21473141,,,12/12/22(Mon)07:43:01,Anonymous,Pix of Girls with a mirror-reflection. The mirror must be have a frame. Girl and mirror must be visible. No mirror-selfies please...,1517663838794,.jpg,1303.0,2000.0,162.0,250.0,1670848981232898.0,1670848981,vhdqiSAk7iH7Gb5qEmqrig==,174441.0,0,,mirrorpix,14,12,"[{'no': 21473168, 'now': '12/12/22(Mon)08:35:01', 'name': 'Anonymous', 'filename': '5685CA5A-BA20-4E99-8B82-686076FC6AE3', 'ext': '.jpg', 'w': 806, 'h': 1079, 'tn_w': 93, 'tn_h': 125, 'tim': 1670852101197345, 'time': 1670852101, 'md5': 'a98YcccsltqWMGdN2DtmRA==', 'fsize': 114569, 'resto': 21473141}, {'no': 21473172, 'now': '12/12/22(Mon)08:38:01', 'name': 'Anonymous', 'filename': '3EB70665-3F9B-4C1D-978A-18F919791E2F', 'ext': '.jpg', 'w': 1000, 'h': 1306, 'tn_w': 95, 'tn_h': 125, 'tim': 1670852281726235, 'time': 1670852281, 'md5': 'czGowRsNnNNgOLBBxfbGCA==', 'fsize': 209458, 'resto': 21473141}, {'no': 21473970, 'now': '12/13/22(Tue)02:47:14', 'name': 'Anonymous', 'filename': 'erwqd333', 'ext': '.jpg', 'w': 1280, 'h': 1920, 'tn_w': 83, 'tn_h': 125, 'tim': 1670917634543589, 'time': 1670917634, 'md5': '31RCqIGHPHVzODvMUqo5Xw==', 'fsize': 425412, 'resto': 21473141}, {'no': 21473973, 'now': '12/13/22(Tue)02:48:54', 'name': 'Anonymous', 'filename': 'img', 'ext': '.jpg', 'w': 1200, 'h': 800, 'tn_w': 125, 'tn_h': 83, 'tim': 1670917734503357, 'time': 1670917734, 'md5': 'eE2JnnceZqT5U+VSVDHO/A==', 'fsize': 167698, 'resto': 21473141}, {'no': 21474099, 'now': '12/13/22(Tue)07:08:58', 'name': 'Anonymous', 'filename': '1525643061181', 'ext': '.jpg', 'w': 720, 'h': 960, 'tn_w': 93, 'tn_h': 125, 'tim': 1670933338107024, 'time': 1670933338, 'md5': 'Zt0llJo4mw1NwpMZR1w/KA==', 'fsize': 54174, 'resto': 21473141}]",1670933338,mirror-pix,,0.0,0.0,9.0,7.0,
7,21426519,,,10/31/22(Mon)23:00:03,Anonymous,Post Asian chicks with big ole booties,1667229198082663,.jpg,1080.0,1350.0,200.0,250.0,1667271603193143.0,1667271603,AvOtA1Pe6r4AaErgVagKQw==,80781.0,0,,paag-phat-ass-asian-girls,221,130,"[{'no': 21473171, 'now': '12/12/22(Mon)08:37:56', 'name': 'Anonymous', 'com': '<a href=""#p21473069"" class=""quotelink"">&gt;&gt;21473069</a><br>Fucking insane. Just wish it was a GIF tho', 'time': 1670852276, 'resto': 21426519}, {'no': 21473642, 'now': '12/12/22(Mon)18:55:52', 'name': 'Anonymous', 'com': '<a href=""#p21473069"" class=""quotelink"">&gt;&gt;21473069</a><br>Holy fuck I wish she was my girlfriend:(', 'time': 1670889352, 'resto': 21426519}, {'no': 21473700, 'now': '12/12/22(Mon)19:49:39', 'name': 'Anonymous', 'com': '<a href=""#p21464324"" class=""quotelink"">&gt;&gt;21464324</a><br>nnnnekochan, Due_Return_719', 'time': 1670892579, 'resto': 21426519}, {'no': 21473719, 'now': '12/12/22(Mon)20:07:41', 'name': 'Anonymous', 'com': '<a href=""#p21428050"" class=""quotelink"">&gt;&gt;21428050</a><br>Absolutely gorgeous', 'time': 1670893661, 'resto': 21426519}, {'no': 21474097, 'now': '12/13/22(Tue)07:07:40', 'name': 'Anonymous', 'com': '<a href=""#p21463888"" class=""quotelink"">&gt;&gt;21463888</a><br>Why don’t you record screen and trim the file? Better quality, and some even have sound.', 'time': 1670933260, 'resto': 21426519}]",1670933260,PAAG: Phat Ass Asian Girls,,0.0,0.0,216.0,130.0,
8,21469732,,,12/09/22(Fri)04:51:48,Anonymous,Post girls that make YouTube content <br>Doesn’t have to be nude,44C4298F-2FAB-4039-82CD-4E6A414B0C14,.jpg,1187.0,2048.0,144.0,250.0,1670579508358842.0,1670579508,bb5OnYM3srlJoNcNFFkxQQ==,251368.0,0,,youtubers,99,84,"[{'no': 21473999, 'now': '12/13/22(Tue)03:15:30', 'name': 'Anonymous', 'com': '<a href=""#p21473997"" class=""quotelink"">&gt;&gt;21473997</a>', 'filename': 'shoe0nhead_nudes_leaked-IKDVMO', 'ext': '.jpg', 'w': 751, 'h': 1334, 'tn_w': 70, 'tn_h': 124, 'tim': 1670919330386857, 'time': 1670919330, 'md5': 'yJOD9flUMZcEp6R71vAWDQ==', 'fsize': 106671, 'resto': 21469732}, {'no': 21474000, 'now': '12/13/22(Tue)03:16:33', 'name': 'Anonymous', 'com': '<a href=""#p21473999"" class=""quotelink"">&gt;&gt;21473999</a>', 'filename': 'shoe0nhead_nudes_leaked-XOEPVD', 'ext': '.jpg', 'w': 751, 'h': 1334, 'tn_w': 70, 'tn_h': 124, 'tim': 1670919393366915, 'time': 1670919393, 'md5': 'gOPMKsyQrLS+06vvgtfqRg==', 'fsize': 104362, 'resto': 21469732}, {'no': 21474004, 'now': '12/13/22(Tue)03:23:20', 'name': 'Anonymous', 'com': '<a href=""#p21474000"" class=""quotelink"">&gt;&gt;21474000</a>', 'filename': 'shoe0nhead', 'ext': '.webm', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670919800976165, 'time': 1670919800, 'md5': 'cAnmQFFXSaqe28oXK5O6TA==', 'fsize': 1641417, 'resto': 21469732}, {'no': 21474006, 'now': '12/13/22(Tue)03:25:09', 'name': 'Anonymous', 'com': '<a href=""#p21474004"" class=""quotelink"">&gt;&gt;21474004</a>', 'filename': 'EAC15B66AB1C4D019A46ADBF1FE03CF2', 'ext': '.jpg', 'w': 750, 'h': 1334, 'tn_w': 70, 'tn_h': 124, 'tim': 1670919909471246, 'time': 1670919909, 'md5': 'I05gW2jAoa+4faiu8EF2Ww==', 'fsize': 74022, 'resto': 21469732}, {'no': 21474090, 'now': '12/13/22(Tue)07:02:49', 'name': 'Anonymous', 'com': '<a href=""#p21474006"" class=""quotelink"">&gt;&gt;21474006</a><br>now that is some good tasty titty', 'time': 1670932969, 'resto': 21469732}]",1670932969,YouTubers,,0.0,0.0,94.0,80.0,
9,21469759,,,12/09/22(Fri)05:08:20,OFGF,THREAD girls feet in POV or close up mode<br><br>/1,FOOT TEEN POV onlyfeetgirlfriend_dfjq8zc-pre,.jpg,725.0,1102.0,164.0,250.0,1670580500499678.0,1670580500,e2d4084mkXUyPKhJOEi9Sg==,76032.0,0,,foot-pov-dition,122,107,"[{'no': 21473795, 'now': '12/12/22(Mon)22:40:44', 'name': 'Anonymous', 'com': 'STates Cord W3HgbJsF', 'time': 1670902844, 'resto': 21469759}, {'no': 21473816, 'now': '12/12/22(Mon)23:23:36', 'name': 'Anonymous', 'filename': '16644319533281', 'ext': '.jpg', 'w': 1440, 'h': 1795, 'tn_w': 100, 'tn_h': 125, 'tim': 1670905416334145, 'time': 1670905416, 'md5': 'dNYieFFJjSlYS6Lr2089nA==', 'fsize': 947010, 'resto': 21469759}, {'no': 21473877, 'now': '12/13/22(Tue)00:32:51', 'name': 'Anonymous', 'filename': '16630907439973', 'ext': '.jpg', 'w': 2048, 'h': 1536, 'tn_w': 125, 'tn_h': 93, 'tim': 1670909571556044, 'time': 1670909571, 'md5': 'n51CA2jXK+wczyjJnDvaFQ==', 'fsize': 1086332, 'resto': 21469759}, {'no': 21474083, 'now': '12/13/22(Tue)06:56:17', 'name': 'Anonymous', 'filename': '43185482', 'ext': '.jpg', 'w': 2752, 'h': 3560, 'tn_w': 96, 'tn_h': 125, 'tim': 1670932577626692, 'time': 1670932577, 'md5': 'KWpkuUb33cdIfcn136pM+Q==', 'fsize': 1796609, 'resto': 21469759}, {'no': 21474086, 'now': '12/13/22(Tue)06:59:19', 'name': 'Anonymous', 'filename': '1461171991565', 'ext': '.jpg', 'w': 2848, 'h': 2136, 'tn_w': 125, 'tn_h': 93, 'tim': 1670932759626090, 'time': 1670932759, 'md5': 'cY8u4jZ/4JkHpxC+wheNlg==', 'fsize': 648651, 'resto': 21469759}]",1670932759,FOOT POV Édition,,0.0,0.0,117.0,103.0,
