,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,last_replies,last_modified,omitted_posts,omitted_images,sub,since4pass
0,10507036,12/09/22(Fri)20:29:26,Anonymous,"vrrooooooooooom!!!<span class=""fortune"" style=""color:#0893e1""><br><br><b>Your fortune: You will meet a dark handsome stranger</b></span>",1658005887718,.gif,621,555,250,223,1670635766998312,1670635766,CVbq0nrusYbD8AyCMCHLcw==,454845,0,0,0,vrrooooooooooom,6,1,0,"[{'no': 10507074, 'now': '12/09/22(Fri)20:47:59', 'name': 'Yuji Sakai', 'com': 'Pretty good but can she do this<br><br>https://youtu.be/xBewGDbuZ2Q', 'time': 1670636879, 'resto': 10507036}]",1670636879,,,,
1,10506704,12/09/22(Fri)17:27:13,Yuji Sakai,what&#039;s Katie Peach gonna do?,20221209_172458,.jpg,1731,1562,250,225,1670624833853824,1670624833,2NMNutfNWyzhsfGbEkg4+g==,666997,0,0,0,whats-katie-peach-gonna-do,6,8,4,"[{'no': 10506717, 'now': '12/09/22(Fri)17:32:13', 'name': 'Yuji Sakai', 'com': '<a href=""#p10506710"" class=""quotelink"">&gt;&gt;10506710</a><br>Yes', 'filename': '1487087050121', 'ext': '.jpg', 'w': 1023, 'h': 703, 'tn_w': 125, 'tn_h': 85, 'tim': 1670625133574744, 'time': 1670625133, 'md5': 'FE7VI3ppuwXZXjfmus5Rtg==', 'fsize': 86598, 'resto': 10506704}, {'no': 10507038, 'now': '12/09/22(Fri)20:30:29', 'name': 'Yuji Sakai', 'com': 'the doll beat me', 'filename': '20221209_202849', 'ext': '.jpg', 'w': 1637, 'h': 1392, 'tn_w': 124, 'tn_h': 106, 'tim': 1670635829373545, 'time': 1670635829, 'md5': 'YOG6KTGRsj0tdYLlsf6irA==', 'fsize': 661734, 'resto': 10506704}, {'no': 10507041, 'now': '12/09/22(Fri)20:31:59', 'name': 'Anonymous', 'com': '<a href=""#p10506704"" class=""quotelink"">&gt;&gt;10506704</a><br>This looks very to be intriguing game OP, can you explain me to the rules?', 'time': 1670635919, 'resto': 10506704}, {'no': 10507069, 'now': '12/09/22(Fri)20:43:57', 'name': 'Yuji Sakai', 'com': '<a href=""#p10507041"" class=""quotelink"">&gt;&gt;10507041</a><br>Wizards do battle with chess pieces<br><br>You draw cards to deal damage and collect mana, and when your pieces die, they also become mana<br><br>you need to spend 1 mana of the suit to cast a magic spell along with its cost<br><br>Queens give extra moves, 3s and Ks are worth 3 mana<br><br>If you are on offense and you lose, you can spend mana equal to the difference to tie and kill both pieces<br><br>If you draw an ace, you always win<br><br>Each piece had a different + modifier. Knights are the best with +3', 'time': 1670636637, 'resto': 10506704}, {'no': 10507073, 'now': '12/09/22(Fri)20:47:53', 'name': 'Yuji Sakai', 'com': '<a href=""#p10507069"" class=""quotelink"">&gt;&gt;10507069</a>', 'filename': '1537038412755', 'ext': '.jpg', 'w': 1058, 'h': 727, 'tn_w': 125, 'tn_h': 85, 'tim': 1670636873832511, 'time': 1670636873, 'md5': 'HwmipIGYh2hzr/NjK3paOg==', 'fsize': 150071, 'resto': 10506704}]",1670636873,3.0,1.0,,
2,10506991,12/09/22(Fri)20:05:57,Garlic Salt,You have two options:<br><br>1. Receive a swimming pool full of gold doubloons <br>2. Gain access to the goat tower for 2 hours<br><br>Choose wisely,FairviewGoatTower,.jpg,922,1382,166,250,1670634357837700,1670634357,tKUjeiE9ftgsHStSpy8d/g==,212908,0,0,0,you-have-two-options,6,4,1,"[{'no': 10506992, 'now': '12/09/22(Fri)20:06:40', 'name': 'Anonymous', 'com': 'AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAA', 'time': 1670634400, 'resto': 10506991}, {'no': 10506994, 'now': '12/09/22(Fri)20:06:58', 'name': 'Anonymous', 'com': 'if i choose 2 then how do i go around goats lollle', 'time': 1670634418, 'resto': 10506991}, {'no': 10507050, 'now': '12/09/22(Fri)20:34:13', 'name': 'Anonymous', 'com': '<a href=""#p10506991"" class=""quotelink"">&gt;&gt;10506991</a><br>how do you receive a swimming pool, exactly?<span class=""fortune"" style=""color:#d302a7""><br><br><b>Your fortune: Godly Luck</b></span>', 'time': 1670636053, 'resto': 10506991}, {'no': 10507072, 'now': '12/09/22(Fri)20:46:12', 'name': 'Garlic Salt', 'com': '<a href=""#p10507050"" class=""quotelink"">&gt;&gt;10507050</a><br>couple cranes and a flatbed', 'filename': 'istockphoto-534824219-1024x1024', 'ext': '.jpg', 'w': 817, 'h': 1024, 'tn_w': 99, 'tn_h': 125, 'tim': 1670636772262343, 'time': 1670636772, 'md5': 'WTCSeNZ01h6sGKMB7KKqGQ==', 'fsize': 196479, 'resto': 10506991}]",1670636772,,,,
3,10507067,12/09/22(Fri)20:41:38,Garlic Salt,"Yooooooooooo! Fam!!! Check this shit! <br><br>Was in Walmart earlier and lookie what your boy Garlic Salt stumbled across: an entire pumpkin pie for $2.87. You fucking kidding me dude??<br><br>How many of these you think your boy Garlic Salt walked out of Walmart with tonight? Let me know in the comments down below and dont forget to like, share and subscribe.<span class=""fortune"" style=""color:#0893e1""><br><br><b>Your fortune: You will meet a dark handsome stranger</b></span>",20221209_203445-3,.jpg,3072,4096,187,250,1670636498166045,1670636498,uiOLoxV6hTSaw4iAsC60FQ==,1185652,0,0,0,yooooooooooo-fam-check-this-shit,6,3,0,"[{'no': 10507068, 'now': '12/09/22(Fri)20:42:09', 'name': 'Anonymous', 'com': 'all three', 'time': 1670636529, 'resto': 10507067}, {'no': 10507070, 'now': '12/09/22(Fri)20:45:52', 'name': 'Anonymous', 'com': 'Six Pies', 'time': 1670636752, 'resto': 10507067}, {'no': 10507071, 'now': '12/09/22(Fri)20:46:03', 'name': 'Anonymous', 'com': 'best by end of the day, which is just enough time for all fiveteen of them', 'time': 1670636763, 'resto': 10507067}]",1670636763,,,,
4,10505944,12/09/22(Fri)07:59:32,Anonymous,"I love this cute Finnish femboy. If I ever met him, what things do you think we would do together? What do Finns typically do together?",IMG_20221208_122442,.jpg,97,250,97,250,1670590772042590,1670590772,Lx5lo2JjkJtPn9clu9HIIg==,11979,0,0,0,i-love-this-cute-finnish-femboy-if-i-ever-met-him,6,6,0,"[{'no': 10505951, 'now': '12/09/22(Fri)08:09:05', 'name': 'Anonymous', 'com': '<a href=""#p10505944"" class=""quotelink"">&gt;&gt;10505944</a><br>finns get pantsdrunk together. that means that they sit alone in their underwear and drink a lot of alcohol until they fall asleep', 'time': 1670591345, 'resto': 10505944}, {'no': 10505958, 'now': '12/09/22(Fri)08:12:16', 'name': 'Anonymous', 'com': '<a href=""#p10505944"" class=""quotelink"">&gt;&gt;10505944</a><br>death metal perkele dragon tattoo uhhhhhhhhhhhh mongolian dna', 'time': 1670591536, 'resto': 10505944}, {'no': 10506012, 'now': '12/09/22(Fri)09:03:11', 'name': 'Anonymous', 'com': 'He looks like an upper class French woman who does nothing but walk poodles and eat croissants under the Eiffel Tower all day.', 'time': 1670594591, 'resto': 10505944}, {'no': 10506952, 'now': '12/09/22(Fri)19:42:50', 'name': 'Anonymous', 'com': '<a href=""#p10505944"" class=""quotelink"">&gt;&gt;10505944</a><br>they definitely sauna and swim in icy lakes and go to nice prison and stare at walls', 'time': 1670632970, 'resto': 10505944}, {'no': 10507066, 'now': '12/09/22(Fri)20:40:19', 'name': 'Anonymous', 'com': '<a href=""#p10505944"" class=""quotelink"">&gt;&gt;10505944</a><br>watch moomins', 'time': 1670636419, 'resto': 10505944}]",1670636419,1.0,0.0,,
5,10507047,12/09/22(Fri)20:33:18,Anonymous,"GUESS WHO?!?<span class=""fortune"" style=""color:#2a56fb""><br><br><b>Your fortune: Better not tell you now</b></span>",1676ab228c5029b9eb8e22c27a84481e,.jpg,600,567,250,236,1670635998312996,1670635998,OpSgSiHBPOyVVtQApLnYSA==,40607,0,0,0,guess-who,6,2,0,"[{'no': 10507049, 'now': '12/09/22(Fri)20:34:04', 'name': 'Anonymous', 'com': 'this is what jews took from me', 'time': 1670636044, 'resto': 10507047}, {'no': 10507062, 'now': '12/09/22(Fri)20:38:17', 'name': 'Anonymous', 'com': '<a href=""#p10507047"" class=""quotelink"">&gt;&gt;10507047</a><br>your foreskin has to be AT LEAST this wide to get a gf in 2022', 'time': 1670636297, 'resto': 10507047}]",1670636297,,,,
6,10506524,12/09/22(Fri)15:44:13,Anonymous,MY MOM&#039;s GONE TODAY EVEYBODY COME OVER AND LETS PARTAAAYYYY!!!!!,1000,.jpg,1000,757,250,189,1670618653686527,1670618653,DUdGEA0lFlepx2eOyovhxw==,136968,0,0,0,my-moms-gone-today-eveybody-come-over-and-lets,6,9,2,"[{'no': 10506539, 'now': '12/09/22(Fri)15:54:24', 'name': 'Anonymous', 'com': '<a href=""#p10506535"" class=""quotelink"">&gt;&gt;10506535</a><br>O I don&#039;t drink moutnain dew cause of all the chemicals I&#039;m down for the other stuff tho! :D', 'time': 1670619264, 'resto': 10506524}, {'no': 10506546, 'now': '12/09/22(Fri)15:56:51', 'name': 'Anonymous', 'com': '<a href=""#p10506528"" class=""quotelink"">&gt;&gt;10506528</a><br><a href=""#p10506538"" class=""quotelink"">&gt;&gt;10506538</a><br>hell no! no birds! they&#039;re not invited because they&#039;re not that important!!', 'time': 1670619411, 'resto': 10506524}, {'no': 10506566, 'now': '12/09/22(Fri)16:10:34', 'name': 'Anonymous', 'com': '<a href=""#p10506546"" class=""quotelink"">&gt;&gt;10506546</a><br>I&#039;m invited them 2 me tehy r verty imporbant :)', 'filename': 'S8nH', 'ext': '.gif', 'w': 300, 'h': 160, 'tn_w': 125, 'tn_h': 66, 'tim': 1670620234824315, 'time': 1670620234, 'md5': 'DnxzrUMAHcXLv1lzCHO7ZA==', 'fsize': 231909, 'resto': 10506524}, {'no': 10506965, 'now': '12/09/22(Fri)19:49:16', 'name': 'Anonymous', 'com': 'party time', 'time': 1670633356, 'resto': 10506524}, {'no': 10507061, 'now': '12/09/22(Fri)20:38:05', 'name': 'Anonymous', 'com': '<a href=""#p10506536"" class=""quotelink"">&gt;&gt;10506536</a><br>YES, AND THEN SMOKE SOME CRACK AND JUMP OUT OF A WINDOW', 'time': 1670636285, 'resto': 10506524}]",1670636285,4.0,1.0,,
7,10505759,12/09/22(Fri)02:47:22,Anonymous,.,sodablank,.jpg,517,537,240,250,1670572042682507,1670572042,F5nboYYsHFiTwNujJh0+Ng==,17559,0,0,0,,6,25,1,"[{'no': 10507040, 'now': '12/09/22(Fri)20:31:43', 'name': 'Anonymous', 'com': 'damn, literally nothing wrong with jazz', 'time': 1670635903, 'resto': 10505759}, {'no': 10507043, 'now': '12/09/22(Fri)20:32:45', 'name': 'Anonymous', 'com': 'I think jazz haters need a banana or a juice or something tasteful instead of mankeating plants', 'time': 1670635965, 'resto': 10505759}, {'no': 10507054, 'now': '12/09/22(Fri)20:34:53', 'name': 'Anonymous', 'com': 'btw why the board speed increased significantly, havent been using s4s for a while but its extremely fast compared to a few months ago', 'time': 1670636093, 'resto': 10505759}, {'no': 10507056, 'now': '12/09/22(Fri)20:36:00', 'name': 'Yuji Sakai', 'com': '<a href=""#p10507054"" class=""quotelink"">&gt;&gt;10507054</a><br>i tuned the turbo engine', 'time': 1670636160, 'resto': 10505759}, {'no': 10507059, 'now': '12/09/22(Fri)20:37:06', 'name': 'Anonymous', 'com': 'i am following it breathless, knowing this mankey gonna pass away at a very young age', 'time': 1670636226, 'resto': 10505759}]",1670636226,20.0,1.0,,
8,10506834,12/09/22(Fri)18:31:57,Anonymous,turns out you guys never had a problem with my posts nor me but just the fact i was a nameposter<br>ever since i turned off my name years ago my posts have been doing very well,overrated_anime underrated_image,.jpg,800,450,250,140,1670628717248604,1670628717,Lhf3O09bJ9mh2PM6iye8yw==,68051,0,0,0,turns-out-you-guys-never-had-a-problem-with-my,6,16,1,"[{'no': 10506918, 'now': '12/09/22(Fri)19:13:08', 'name': 'Anonymous', 'com': '<a href=""#p10506834"" class=""quotelink"">&gt;&gt;10506834</a><br>Turn your name back on or sully another board you satanic squirrel.', 'time': 1670631188, 'resto': 10506834}, {'no': 10506932, 'now': '12/09/22(Fri)19:23:57', 'name': 'Anonymous', 'com': 'my threads are doing iron man numbers<span class=""fortune"" style=""color:#e7890c""><br><br><b>Your fortune: Good Luck</b></span>', 'time': 1670631837, 'resto': 10506834}, {'no': 10506936, 'now': '12/09/22(Fri)19:24:46', 'name': 'Anonymous', 'com': '<a href=""#p10506896"" class=""quotelink"">&gt;&gt;10506896</a><br>i don&#039;t know what else to say<br><a href=""#p10506900"" class=""quotelink"">&gt;&gt;10506900</a><br>nice dubs', 'filename': 'Friendly_Reminder', 'ext': '.jpg', 'w': 1200, 'h': 1200, 'tn_w': 125, 'tn_h': 125, 'tim': 1670631886376579, 'time': 1670631886, 'md5': '9USy+7CdEhpPWWmWqXYo6g==', 'fsize': 302174, 'resto': 10506834}, {'no': 10506950, 'now': '12/09/22(Fri)19:38:38', 'name': 'Garlic Salt', 'com': '<a href=""#p10506932"" class=""quotelink"">&gt;&gt;10506932</a><br>you need to pay less attention to soulseek', 'time': 1670632718, 'resto': 10506834}, {'no': 10507057, 'now': '12/09/22(Fri)20:36:35', 'name': 'Anonymous', 'com': '<a href=""#p10506834"" class=""quotelink"">&gt;&gt;10506834</a><br>Shut up chaotic, we still hate you', 'time': 1670636195, 'resto': 10506834}]",1670636195,11.0,0.0,,
9,10505824,12/09/22(Fri)04:26:10,Anonymous,Nothing beats the smooth taste of Marlboro Red. Where were you when you figured out that nicotine cures autism?,malbrorojpg,.jpg,1280,1706,187,250,1670577970082932,1670577970,lroN9FBj0v/rik9zGqwYVw==,346471,0,0,0,nothing-beats-the-smooth-taste-of-marlboro-red,6,9,2,"[{'no': 10505955, 'now': '12/09/22(Fri)08:10:41', 'name': 'Anonymous', 'com': 'guys PLEASE stay on topic', 'time': 1670591441, 'resto': 10505824}, {'no': 10505961, 'now': '12/09/22(Fri)08:15:28', 'name': 'Anonymous', 'com': '<a href=""#p10505855"" class=""quotelink"">&gt;&gt;10505855</a><br><a href=""#p10505955"" class=""quotelink"">&gt;&gt;10505955</a><br>two same numbers!', 'time': 1670591728, 'resto': 10505824}, {'no': 10506036, 'now': '12/09/22(Fri)09:20:37', 'name': 'Garlic Salt', 'com': '<a href=""#p10505955"" class=""quotelink"">&gt;&gt;10505955</a><br>That&#039;s not even a pack of marlboro reds tho', 'time': 1670595637, 'resto': 10505824}, {'no': 10506037, 'now': '12/09/22(Fri)09:24:10', 'name': 'seuss', 'com': '<a href=""#p10505824"" class=""quotelink"">&gt;&gt;10505824</a><br>crack addicts can only be male!<span class=""fortune"" style=""color:#00cbb0""><br><br><b>Your fortune: ｷﾀ━━━━━━(ﾟ∀ﾟ)━━━━━━ !!!!</b></span>', 'filename': '176', 'ext': '.jpg', 'w': 473, 'h': 476, 'tn_w': 124, 'tn_h': 125, 'tim': 1670595850544581, 'time': 1670595850, 'md5': 'nSVDgMixBs0h3tFgQzxPJQ==', 'fsize': 18276, 'resto': 10505824}, {'no': 10507055, 'now': '12/09/22(Fri)20:34:56', 'name': 'Anonymous', 'com': '<a href=""#p10505941"" class=""quotelink"">&gt;&gt;10505941</a><br>i smoke both, now what', 'time': 1670636096, 'resto': 10505824}]",1670636096,4.0,1.0,,
