,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,country,bumplimit,imagelimit,semantic_url,country_name,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub
0,127092092,12/12/22(Mon)18:47:26,Anonymous,What did your local Blockbuster become?,36013B07-2D53-4C3D-8C04-B990F42339C1,.jpg,2981,1964,250,164,1670888846692669,1670888846,ftJYh054ViLmVkLbURJSAg==,1300395,0,GB,0,0,what-did-your-local-blockbuster-become,United Kingdom,120,11,115.0,11.0,"[{'no': 127109274, 'now': '12/13/22(Tue)07:09:47', 'name': 'Anonymous', 'com': '<a href=""#p127092361"" class=""quotelink"">&gt;&gt;127092361</a><br>but I thought it was Chuck&#039;s', 'time': 1670933387, 'resto': 127092092, 'country': 'BR', 'country_name': 'Brazil'}, {'no': 127109349, 'now': '12/13/22(Tue)07:13:01', 'name': 'Anonymous', 'com': 'Ex blockbuster employee here. AMA.', 'time': 1670933581, 'resto': 127092092, 'country': 'AU', 'country_name': 'Australia'}, {'no': 127109375, 'now': '12/13/22(Tue)07:14:30', 'name': 'Anonymous', 'com': '<a href=""#p127092144"" class=""quotelink"">&gt;&gt;127092144</a><br>same', 'time': 1670933670, 'resto': 127092092, 'country': 'BR', 'country_name': 'Brazil'}, {'no': 127109394, 'now': '12/13/22(Tue)07:15:14', 'name': 'Anonymous', 'com': '<a href=""#p127104470"" class=""quotelink"">&gt;&gt;127104470</a><br>Selling halal meat to other pakis and getting government grants.<br><br>Now, if it&#039;s a newsagents then that&#039;s ok, they&#039;ve done alright with them', 'time': 1670933714, 'resto': 127092092, 'country': 'IE', 'country_name': 'Ireland'}, {'no': 127109402, 'now': '12/13/22(Tue)07:15:42', 'name': 'Anonymous', 'com': '<a href=""#p127097962"" class=""quotelink"">&gt;&gt;127097962</a><br>Blockbuster had a sports section. Also, Air Bud.', 'time': 1670933742, 'resto': 127092092, 'country': 'BR', 'country_name': 'Brazil'}]",1670933742,
1,127104873,12/13/22(Tue)03:04:00,Anonymous,"<span class=""quote"">&gt;Lap:</span><br>#5487<br><br><span class=""quote"">&gt;Countdown to pre-season testing:</span><br>https://f1exposure.com<br><br><span class=""quote"">&gt;Previous thread:</span><br><a href=""/sp/thread/127090397#p127090397"" class=""quotelink"">&gt;&gt;127090397</a><br><br><span class=""quote"">&gt;/f1/ Essentials:</span><br>https://pastebin.com/Ufpi7Xpx<br><br><span class=""quote"">&gt;Final 2022 WDC Standings:</span><br>VER: 454<br>LEC: 308<br>PER: 305<br>RUS: 275<br>SAI: 246<br><br><span class=""quote"">&gt;Final 2022 WCC Standings:</span><br>Red Bull: 759<br>Ferrari: 554<br>Mercedes: 515<br>Alpine: 173<br>McLaren: 159<br><br><span class=""quote"">&gt;Final 2022 WEC Standings:</span><br>RIC: 1234.58<br>HAM: 1212.17<br>LAT: 1017.79<br><br><span class=""quote"">&gt;News:</span><br>Williams part ways with Team Principal Capito and Technical Director Demaison ahead of 2023 season<br>Sainz says F1 ‘got it right’ with 2022 rule changes and expects championship to become ‘more and more interesting’<br>Honda registers with FIA for 2026 F1 engine rules",79846,.jpg,597,597,250,250,1670918640844708,1670918640,qSEAYEQ+2u5jGQumLfnuew==,45436,0,EE,0,0,f1-relentless-formula-1-general-yellow-man,Estonia,348,95,343.0,93.0,"[{'no': 127109304, 'now': '12/13/22(Tue)07:10:59', 'name': 'Anonymous', 'com': '<a href=""#p127109280"" class=""quotelink"">&gt;&gt;127109280</a><br>yeah, I mean look at his poles vs wins', 'time': 1670933459, 'resto': 127104873, 'country': 'BE', 'country_name': 'Belgium'}, {'no': 127109319, 'now': '12/13/22(Tue)07:11:32', 'name': 'Anonymous', 'com': 'https://it.motorsport.com/f1/news/f<wbr>1-ferrari-i-punti-cardine-della-str<wbr>ategia-di-vasseur/10410941/<br><span class=""quote"">&gt;Vasseur will have less power than Binotto had</span><br><span class=""quote"">&gt;Vigna will be more invested in the GES</span><br><span class=""quote"">&gt;Mekies stays</span><br><span class=""quote"">&gt;Jain will have more responsibility in the strategy department</span><br><span class=""quote"">&gt;Cardile &amp; Gualtieri will share technical lead</span><br><span class=""quote"">&gt;Resta probably back for the 2024 car</span>', 'time': 1670933492, 'resto': 127104873, 'country': 'IT', 'country_name': 'Italy'}, {'no': 127109344, 'now': '12/13/22(Tue)07:12:50', 'name': 'Anonymous', 'com': '<a href=""#p127109303"" class=""quotelink"">&gt;&gt;127109303</a><br><span class=""quote"">&gt;i can say harder fr poor teams no cap.</span>', 'time': 1670933570, 'resto': 127104873, 'country': 'BE', 'country_name': 'Belgium'}, {'no': 127109376, 'now': '12/13/22(Tue)07:14:34', 'name': 'Anonymous', 'com': '<a href=""#p127109319"" class=""quotelink"">&gt;&gt;127109319</a><br>jesus, they went all in with the rebuild<br><span class=""quote"">&gt;a pajeet is now in charge of ferrari strategy</span><br>surely he cant be worse than the spanish guy, right', 'filename': 'C2038A2D-8192-40BB-BDCE-7EE847A5DC12', 'ext': '.jpg', 'w': 900, 'h': 600, 'tn_w': 125, 'tn_h': 83, 'tim': 1670933674599047, 'time': 1670933674, 'md5': 'mazsu0JYr8O51uT3ZHNLfQ==', 'fsize': 81440, 'resto': 127104873, 'country': 'FI', 'country_name': 'Finland'}, {'no': 127109401, 'now': '12/13/22(Tue)07:15:37', 'name': 'Anonymous', 'filename': '1648816362177', 'ext': '.jpg', 'w': 897, 'h': 1121, 'tn_w': 100, 'tn_h': 125, 'tim': 1670933737405726, 'time': 1670933737, 'md5': 'vK9qTVZRYFqKPLLAHgKhzQ==', 'fsize': 198311, 'resto': 127104873, 'country': 'LT', 'country_name': 'Lithuania'}]",1670933737,/f1/ - Relentless Formula 1 General - Yellow Man Edition
2,127105867,12/13/22(Tue)04:16:53,Anonymous,post your favorite Ronaldo pics,5B543CC5-C7EC-4E65-9CF2-E0610E072EBA,.jpg,450,253,250,140,1670923013292514,1670923013,nns6NGbvR6Lkea3rV/p+5g==,27279,0,JP,0,0,post-your-favorite-ronaldo-pics,Japan,34,23,29.0,19.0,"[{'no': 127109143, 'now': '12/13/22(Tue)07:03:42', 'name': 'Anonymous', 'filename': '1616442341071', 'ext': '.jpg', 'w': 2172, 'h': 1780, 'tn_w': 125, 'tn_h': 102, 'tim': 1670933022141876, 'time': 1670933022, 'md5': 'U5g1+xQxtPMrr3/cHe1Sqg==', 'fsize': 1214915, 'resto': 127105867, 'country': 'XE', 'country_name': 'England'}, {'no': 127109219, 'now': '12/13/22(Tue)07:07:15', 'name': 'Anonymous', 'com': '<a href=""#p127105892"" class=""quotelink"">&gt;&gt;127105892</a><br><span class=""quote"">&gt;君は誰のために生きているの</span><br><br>(笑)', 'filename': 'Z Date', 'ext': '.jpg', 'w': 660, 'h': 365, 'tn_w': 125, 'tn_h': 69, 'tim': 1670933235037269, 'time': 1670933235, 'md5': 'pJIPcnEUST+rGARc6wNOuw==', 'fsize': 195929, 'resto': 127105867, 'country': 'DE', 'country_name': 'Germany'}, {'no': 127109249, 'now': '12/13/22(Tue)07:08:39', 'name': 'Anonymous', 'com': '<a href=""#p127107879"" class=""quotelink"">&gt;&gt;127107879</a><br>war criminal<br>This is how sinful worms live.', 'time': 1670933319, 'resto': 127105867, 'country': 'JP', 'country_name': 'Japan'}, {'no': 127109273, 'now': '12/13/22(Tue)07:09:45', 'name': 'Anonymous', 'filename': 'download', 'ext': '.jpg', 'w': 900, 'h': 600, 'tn_w': 125, 'tn_h': 83, 'tim': 1670933385431092, 'time': 1670933385, 'md5': 'qtTnMWuPTaz828xi+jAIZg==', 'fsize': 131328, 'resto': 127105867, 'country': 'MY', 'country_name': 'Malaysia'}, {'no': 127109400, 'now': '12/13/22(Tue)07:15:35', 'name': 'Anonymous', 'com': '<a href=""#p127107654"" class=""quotelink"">&gt;&gt;127107654</a>', 'filename': '14ED480C-794F-421E-9865-8F0E91C977D8', 'ext': '.gif', 'w': 585, 'h': 328, 'tn_w': 125, 'tn_h': 70, 'tim': 1670933735781428, 'time': 1670933735, 'md5': 'w3SR4M01HGB9WZJZaJzjZA==', 'fsize': 2405186, 'resto': 127105867, 'country': 'JP', 'country_name': 'Japan'}]",1670933735,
3,127109252,12/13/22(Tue)07:08:52,Anonymous,She&#039;s right.,file,.png,657,220,250,83,1670933332750126,1670933332,si2E8fh8VaICqXZxVLicug==,34373,0,XE,0,0,shes-right,England,6,0,1.0,0.0,"[{'no': 127109300, 'now': '12/13/22(Tue)07:10:55', 'name': 'Anonymous', 'com': '<a href=""#p127109252"" class=""quotelink"">&gt;&gt;127109252</a><br>Messi is autistic and has no personality.', 'time': 1670933455, 'resto': 127109252, 'country': 'FI', 'country_name': 'Finland'}, {'no': 127109320, 'now': '12/13/22(Tue)07:11:33', 'name': 'Anonymous', 'com': '<a href=""#p127109300"" class=""quotelink"">&gt;&gt;127109300</a><br>Same with Federer, they’re both inoffensive', 'time': 1670933493, 'resto': 127109252, 'country': 'XE', 'country_name': 'England'}, {'no': 127109366, 'now': '12/13/22(Tue)07:14:01', 'name': 'Anonymous', 'com': '<a href=""#p127109252"" class=""quotelink"">&gt;&gt;127109252</a><br>Messoy has basically no personality 90% of the time and when he does, it&#039;s roidrage.', 'time': 1670933641, 'resto': 127109252, 'country': 'CO', 'country_name': 'Colombia'}, {'no': 127109370, 'now': '12/13/22(Tue)07:14:05', 'name': 'Anonymous', 'com': 'fede-what?', 'time': 1670933645, 'resto': 127109252, 'country': 'AR', 'country_name': 'Argentina'}, {'no': 127109399, 'now': '12/13/22(Tue)07:15:34', 'name': 'Anonymous', 'com': '<a href=""#p127109320"" class=""quotelink"">&gt;&gt;127109320</a><br>No, not at all. I&#039;ve never watched tennis but Federer has also presented himself as a suave and refined man. Messi has never been either', 'time': 1670933734, 'resto': 127109252, 'country': 'NZ', 'country_name': 'New Zealand'}]",1670933734,
4,127108691,12/13/22(Tue)06:42:50,Anonymous,Das rite Timmy,1668536171652761,.webm,576,1024,140,250,1670931770518728,1670931770,AigE/gzpEdjiAoUREllr7w==,1559093,0,DE,0,0,das-rite-timmy,Germany,69,10,64.0,10.0,"[{'no': 127109351, 'now': '12/13/22(Tue)07:13:08', 'name': 'Anonymous', 'com': '<a href=""#p127109331"" class=""quotelink"">&gt;&gt;127109331</a><br>Show statistics proving that?', 'time': 1670933588, 'resto': 127108691, 'country': 'SI', 'country_name': 'Slovenia'}, {'no': 127109357, 'now': '12/13/22(Tue)07:13:46', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;&quot;Concerning Amrita and its applications, it is our opinion that the Negroid sperm has some animalistic magical potency inherent in it which cannot be baulked; thus we see the subconscious longing of white virginal European women lusting after the African male. Hermetic union of opposites, the unification of the bestial and the pure Elements that man is constituted of – body and spirit – black and white, respectively. Of this perfect medicine, it is said that a single dew-drop suffices – and this may be true. Yet it is humbly and with all deference and worship our opinion that every drop generated (so far as may be possible) should be consumed as a sacrament. In the same fashion, the Greeks talked of the minotaur, which is a mythological creature half bull and half man. The aim of the priests of that cult seems principally to have been the production of a temporary incarnation of this beast by sending select women of the community every year into the jungle or forest, to mingle with all bestial creatures imaginable; thus to produce a miraculous birth upon returning to the community.&quot;</span>', 'time': 1670933626, 'resto': 127108691, 'country': 'IN', 'country_name': 'India'}, {'no': 127109368, 'now': '12/13/22(Tue)07:14:03', 'name': 'Anonymous', 'com': '<a href=""#p127108691"" class=""quotelink"">&gt;&gt;127108691</a><br><a href=""//boards.4channel.org/fit/thread/69242937#p69242937"" class=""quotelink"">&gt;&gt;&gt;/fit/69242937</a>', 'time': 1670933643, 'resto': 127108691, 'country': 'AU', 'country_name': 'Australia'}, {'no': 127109380, 'now': '12/13/22(Tue)07:14:38', 'name': 'Anonymous', 'com': '<a href=""#p127109351"" class=""quotelink"">&gt;&gt;127109351</a><br>Google it retard', 'time': 1670933678, 'resto': 127108691, 'country': 'SI', 'country_name': 'Slovenia'}, {'no': 127109398, 'now': '12/13/22(Tue)07:15:31', 'name': 'Anonymous', 'com': '<a href=""#p127108812"" class=""quotelink"">&gt;&gt;127108812</a><br>EL ESPANANO', 'time': 1670933731, 'resto': 127108691, 'country': 'NL', 'country_name': 'Netherlands'}]",1670933731,
5,127079678,12/12/22(Mon)13:01:00,Anonymous,What would their /sp/ posts be like,afrika,.jpg,554,554,249,249,1670868060265697,1670868060,Ssxazaoq1c5D3LZDlSO0pg==,52944,0,BR,0,0,what-would-their-sp-posts-be-like,Brazil,349,38,344.0,37.0,"[{'no': 127109340, 'now': '12/13/22(Tue)07:12:31', 'name': 'Anonymous', 'com': '<a href=""#p127109277"" class=""quotelink"">&gt;&gt;127109277</a><br>Horn of Africa has some sexy elven looking niggie chicks ngl. Italians have good taste in women honestly, even in their colonial ventures they chose right.<br>I envy you smart bastards.<br>I would trade every west african sheboon in Paris for east african sexo elves in a heartbeat.', 'time': 1670933551, 'resto': 127079678, 'country': 'FR', 'country_name': 'France'}, {'no': 127109345, 'now': '12/13/22(Tue)07:12:51', 'name': 'Anonymous', 'com': '<a href=""#p127109208"" class=""quotelink"">&gt;&gt;127109208</a><br>I&#039;ll go back when you go back to [s]France[/s] <br>[s]Norway[/s] [s]Sweden[/s], you Anglo-Saxon Norman Viking rapebaby. You have no heritage, and your Royal Family are foreigners', 'time': 1670933571, 'resto': 127079678, 'country': 'XE', 'country_name': 'England'}, {'no': 127109365, 'now': '12/13/22(Tue)07:14:01', 'name': 'Anonymous', 'com': '<a href=""#p127109245"" class=""quotelink"">&gt;&gt;127109245</a><br>I see, thanks. I guess i was just going off assumption about how some Kenyans had that &quot;nilotic&quot; phenotype (which is very spread in S.Sudan and in a great part also in Uganda)', 'time': 1670933641, 'resto': 127079678, 'country': 'IT', 'country_name': 'Italy'}, {'no': 127109392, 'now': '12/13/22(Tue)07:15:11', 'name': 'Anonymous', 'com': '<a href=""#p127109345"" class=""quotelink"">&gt;&gt;127109345</a><br>I FUCKED IT UP<br>My attempt at bants failed I&#039;m going to kms', 'filename': 'walter-white-falling-walter-white', 'ext': '.gif', 'w': 640, 'h': 410, 'tn_w': 125, 'tn_h': 80, 'tim': 1670933711382277, 'time': 1670933711, 'md5': 'fSLygCfRmaaddvoODKE6nA==', 'fsize': 2855349, 'resto': 127079678, 'country': 'XE', 'country_name': 'England'}, {'no': 127109397, 'now': '12/13/22(Tue)07:15:27', 'name': 'Anonymous', 'com': '<a href=""#p127109345"" class=""quotelink"">&gt;&gt;127109345</a><br><a href=""#p127109208"" class=""quotelink"">&gt;&gt;127109208</a><br>In all fairness, a few hundreds thousands of migrants wouldn&#039;t be damaging to a country, on the contrary.<br>It&#039;s the millions of useless single digit IQ nafris or pajeets that have to go back.<br>I&#039;m not against some multiculturalism, but it has to remain marginal.<br>You&#039;re wrong about the brits btw, their ethnogenesis is very tardive by european standards but it&#039;s still several centuries old.', 'time': 1670933727, 'resto': 127079678, 'country': 'FR', 'country_name': 'France'}]",1670933727,
6,127102461,12/13/22(Tue)00:10:02,Anonymous,"heemvious: <a href=""/sp/thread/127096645#p127096645"" class=""quotelink"">&gt;&gt;127096645</a><br><br>Upcoming:<br>12/16 - CFFC 116 - 7pm ET - Fight Pass<br>12/17 - KSW 77 - 12pm ET<br>12/17 - UFC Fight Night - Cannonier vs Strickland - 4pm ET - ESPN+<br>12/17 - Unified MMA 49 - 10pm ET - Fight Pass<br>12/18 - Fury FC 72 - 7:30pm ET - Fight Pass<br>12/21 - Octagon 38 - 6am ET - YouTube<br>12/31 - Cage Warriors 148 - 4pm ET - Fight Pass<br>12/31 - Bellator vs Rizin - 8pm ET - Showtime<br>01/06 - LFA 149 - 10pm ET - Fight Pass<br>01/14 - UFC Fight Night: Gastelum vs. Imavov - 6pm ET <br><br>Monday Podcasts:<br>The MMA Hour - https://www.youtube.com/watch?v=_rT<wbr>dV4PmI20<br>Morning Kombat - https://www.youtube.com/watch?v=0sg<wbr>Bz0XPEu8",king krause,.jpg,645,905,178,250,1670908202012732,1670908202,QUflGMcJd+hzDUenfxd+2g==,53441,0,US,0,0,heem,United States,397,141,392.0,139.0,"[{'no': 127109158, 'now': '12/13/22(Tue)07:04:18', 'name': 'Anonymous', 'com': 'schaub don&#039;t gotta be reminded of our bullshit ,b just lkie we on oru own tracks ytafeelme. never owned a farm but i sure do know where to smell the cowshit roun&#039; here', 'time': 1670933058, 'resto': 127102461, 'country': 'XE', 'country_name': 'England'}, {'no': 127109212, 'now': '12/13/22(Tue)07:07:01', 'name': 'Anonymous', 'com': 'meng snaps bruv&#039;s shinbone', 'filename': 'rogan toilet', 'ext': '.png', 'w': 571, 'h': 826, 'tn_w': 86, 'tn_h': 125, 'tim': 1670933221061915, 'time': 1670933221, 'md5': 'DZxOvm+Hc3t8CtJI8BQqbQ==', 'fsize': 910773, 'resto': 127102461, 'country': 'XE', 'country_name': 'England'}, {'no': 127109330, 'now': '12/13/22(Tue)07:12:01', 'name': 'Anonymous', 'com': 'Paddy just hit the wall, he never had it all<br>One big mac a day, his best friend is gay<br>His dreams went out the door when he turned 24<br>Only ever beaten cans, zero title plans', 'time': 1670933521, 'resto': 127102461, 'country': 'US', 'country_name': 'United States'}, {'no': 127109355, 'now': '12/13/22(Tue)07:13:20', 'name': 'Anonymous', 'com': '<a href=""#p127108977"" class=""quotelink"">&gt;&gt;127108977</a><br>how can pets even be real<br>open all your doors and windows and whats left inside your home is a pet. There is nothing left', 'time': 1670933600, 'resto': 127102461, 'country': 'US', 'country_name': 'United States'}, {'no': 127109396, 'now': '12/13/22(Tue)07:15:20', 'name': 'Anonymous', 'com': '<a href=""#p127109355"" class=""quotelink"">&gt;&gt;127109355</a>', 'filename': '1652031757439', 'ext': '.jpg', 'w': 396, 'h': 478, 'tn_w': 103, 'tn_h': 125, 'tim': 1670933720617211, 'time': 1670933720, 'md5': 'A/r21lOK8cD0UNMhj580YQ==', 'fsize': 19990, 'resto': 127102461, 'country': 'XW', 'country_name': 'Wales'}]",1670933720,/heem/
7,127106970,12/13/22(Tue)05:24:41,Anonymous,"It really baffles me, it&#039;s no different to you buying a Ferrari then some cnt comes along and tells you that Malcolm down the road is taking it away to drive for a fortnight. <br><br>With the money involved with players these days can&#039;t believe owners are not kicking up stink",file,.png,665,276,250,103,1670927081467554,1670927081,jZu4e4+tlZD8id8L9D+PwQ==,35350,0,XE,0,0,richarlison-injured,England,23,1,18.0,0.0,"[{'no': 127109094, 'now': '12/13/22(Tue)07:00:59', 'name': 'Anonymous', 'com': '<a href=""#p127108881"" class=""quotelink"">&gt;&gt;127108881</a><br>That would be unironically kino. But no one would come and buy the tickets to see such a shitshow.', 'time': 1670932859, 'resto': 127106970, 'country': 'IT', 'country_name': 'Italy'}, {'no': 127109117, 'now': '12/13/22(Tue)07:02:04', 'name': 'Anonymous', 'com': 'Injuries are part of the game no matter what. Your opinion on international football is just dumb and wrong. Plus the winter window is just around the corner so the clubs will be fine. Lo Celso got injured in club season and still wanted to play the World Cup and is most likely cursing Spurs for not allowing it, so it goes both ways.', 'time': 1670932924, 'resto': 127106970, 'country': 'RO', 'country_name': 'Romania'}, {'no': 127109236, 'now': '12/13/22(Tue)07:07:56', 'name': 'Anonymous', 'com': '<a href=""#p127106970"" class=""quotelink"">&gt;&gt;127106970</a><br><br>the guy is a drinks holder for Kane and Son anyway, no big loss', 'time': 1670933276, 'resto': 127106970, 'country': 'ES', 'country_name': 'Spain'}, {'no': 127109309, 'now': '12/13/22(Tue)07:11:15', 'name': 'Anonymous', 'com': '<a href=""#p127106970"" class=""quotelink"">&gt;&gt;127106970</a><br>Oh no! How will Spuds manage without all of the contributions he&#039;s made this season!?<br>Might as well be Bryan Gil that&#039;s injured.', 'time': 1670933475, 'resto': 127106970, 'country': 'XE', 'country_name': 'England'}, {'no': 127109395, 'now': '12/13/22(Tue)07:15:16', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;It&#039;s about time we all grew up and ruined the world cup</span>', 'filename': '35493v', 'ext': '.png', 'w': 298, 'h': 486, 'tn_w': 76, 'tn_h': 125, 'tim': 1670933716067289, 'time': 1670933716, 'md5': 'ja40eQkdXbKXHYHwCQvAdw==', 'fsize': 37386, 'resto': 127106970, 'country': 'US', 'country_name': 'United States'}]",1670933716,Richarlison injured
8,127109180,12/13/22(Tue)07:05:22,Anonymous,"<span class=""quote"">&gt;morocco wins</span><br><span class=""quote"">&gt;brussels &amp; paris see some minor riots but that&#039;s about it</span><br><br><span class=""quote"">&gt;morocco loses</span><br><span class=""quote"">&gt;brussels and paris burnt to the ground</span><br><br>World cup is not worth having a beautiful and clean city like paris turn into a warzone",1610022908927,.png,736,675,250,229,1670933122734845,1670933122,Hv/rZCjSVt7/Ogr7Ci+l2w==,142439,0,BH,0,0,should-france-deliberately-lose-to-morocco,Bahrain,11,1,6.0,0.0,"[{'no': 127109295, 'now': '12/13/22(Tue)07:10:39', 'name': 'Anonymous', 'com': 'If they lose tomorrow, they will go to bed after the game<br><br>You don&#039;t know them apparently', 'time': 1670933439, 'resto': 127109180, 'country': 'FR', 'country_name': 'France'}, {'no': 127109321, 'now': '12/13/22(Tue)07:11:33', 'name': 'Anonymous', 'com': '<a href=""#p127109180"" class=""quotelink"">&gt;&gt;127109180</a><br>Brussel burning to the ground is a very good thing though', 'time': 1670933493, 'resto': 127109180, 'country': 'NL', 'country_name': 'Netherlands'}, {'no': 127109371, 'now': '12/13/22(Tue)07:14:05', 'name': 'Anonymous', 'com': '<a href=""#p127109180"" class=""quotelink"">&gt;&gt;127109180</a><br>I want chaos in France. And an excuse to call the BAC on arabs.', 'time': 1670933645, 'resto': 127109180, 'country': 'FR', 'country_name': 'France'}, {'no': 127109391, 'now': '12/13/22(Tue)07:15:07', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;beautiful and clean city like paris</span>', 'filename': 'xa4390', 'ext': '.jpg', 'w': 399, 'h': 385, 'tn_w': 125, 'tn_h': 120, 'tim': 1670933707488318, 'time': 1670933707, 'md5': 'baBX2GH9x0BEBn0aLFr8oA==', 'fsize': 30053, 'resto': 127109180, 'country': 'XE', 'country_name': 'England'}, {'no': 127109393, 'now': '12/13/22(Tue)07:15:13', 'name': 'Anonymous', 'com': '<a href=""#p127109180"" class=""quotelink"">&gt;&gt;127109180</a><br>I want maximum damage done to Paris<br>fuck these faggots', 'time': 1670933713, 'resto': 127109180, 'country': 'FR', 'country_name': 'France'}]",1670933713,Should france deliberately lose to Morocco?
9,127107325,12/13/22(Tue)05:41:58,Anonymous,,Screen Shot 2022-12-13 at 11.41.18,.png,409,494,206,250,1670928118537259,1670928118,Qg8U8c06xTsIsxjSasA9aw==,49689,0,HR,0,0,fuck-em,Croatia,9,0,4.0,0.0,"[{'no': 127108536, 'now': '12/13/22(Tue)06:35:30', 'name': 'Anonymous', 'com': 'i understand argentina but why do you hate some meme romanian tennis player?', 'time': 1670931330, 'resto': 127107325, 'country': 'US', 'country_name': 'United States'}, {'no': 127108578, 'now': '12/13/22(Tue)06:37:04', 'name': 'Anonymous', 'com': 'like, I literally won two rigged World Cups it&#039;s a joke', 'time': 1670931424, 'resto': 127107325, 'country': 'NL', 'country_name': 'Netherlands'}, {'no': 127108631, 'now': '12/13/22(Tue)06:39:36', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;People hate england because england</span><br><span class=""quote"">&gt;People hate italy because trolls</span><br><span class=""quote"">&gt;People hate france because immigrants</span><br><span class=""quote"">&gt;People hate brazil because cocky</span><br>why do people hate argentina again?', 'time': 1670931576, 'resto': 127107325, 'country': 'US', 'country_name': 'United States'}, {'no': 127108648, 'now': '12/13/22(Tue)06:40:39', 'name': 'Anonymous', 'com': '<a href=""#p127108631"" class=""quotelink"">&gt;&gt;127108631</a><br>Just for being annoying on /sp/ the last few weeks.', 'time': 1670931639, 'resto': 127107325, 'country': 'US', 'country_name': 'United States'}, {'no': 127109390, 'now': '12/13/22(Tue)07:15:05', 'name': 'Anonymous', 'com': '<a href=""#p127108631"" class=""quotelink"">&gt;&gt;127108631</a><br>falklands', 'time': 1670933705, 'resto': 127107325, 'country': 'XE', 'country_name': 'England'}]",1670933705,Fuck em
