,no,sticky,closed,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies,sub,trip
0,1178,1.0,1.0,11/07/15(Sat)09:00:17,Anonymous,"Welcome to /trash/

Your thread ended up here because it didn&#039;t belong on the board where you posted it. Don&#039;t complain if your thread got moved, instead <a href=""https://www.4chan.org/rules"">read the rules</a> to prevent this from happening in the future!
<br><br>
Not all off-topic threads end up here. Most are just going to get deleted as normal, and you may get banned as a consequence. 
<br><br>
You can still post normally on /trash/ just like any other board. Global rules <a href=""https://www.4chan.org/rules#global1"">1</a>, <a href=""https://www.4chan.org/rules#global2"">2</a>, <a href=""https://www.4chan.org/rules#global4"">4</a>, <a href=""https://www.4chan.org/rules#global7"">7</a>, <a href=""https://www.4chan.org/rules#global9"">9</a>, <a href=""https://www.4chan.org/rules#global10"">10</a>, <a href=""https://www.4chan.org/rules#global11"">11</a>, <a href=""https://www.4chan.org/rules#global12"">12</a> and <a href=""https://www.4chan.org/rules#global14"">14</a> are enforced. <b>The posting of loli or shota pornography is not permitted.</b>",trash sticky,.png,680,740,229,250,1446904817577,1446904817,KvVImUOKVMMhFU/w29IZ/w==,215435,0,welcome-to-trash,0,0,1446911647,,,,,,,
1,52909157,,,12/09/22(Fri)02:27:16,Anonymous,kpureg,1670535988200051,.jpg,1000,1500,166,250,1670570836323356,1670570836,jQMkb0PTLRqtKdXtm9MRsw==,1216155,0,kpureg,210,61,1670636889,0.0,0.0,205.0,59.0,"[{'no': 52925708, 'now': '12/09/22(Fri)20:39:46', 'name': 'Anonymous', 'com': '<a href=""#p52925555"" class=""quotelink"">&gt;&gt;52925555</a><br>stuffing her stockings', 'time': 1670636386, 'resto': 52909157}, {'no': 52925749, 'now': '12/09/22(Fri)20:41:19', 'name': 'Anonymous', 'filename': 'Fji3GhWaYAM4B_U', 'ext': '.jpg', 'w': 684, 'h': 910, 'tn_w': 93, 'tn_h': 125, 'tim': 1670636479714193, 'time': 1670636479, 'md5': 'Bv0GYIhjK4AOTqitO1Gdhg==', 'fsize': 127795, 'resto': 52909157}, {'no': 52925795, 'now': '12/09/22(Fri)20:43:14', 'name': 'Anonymous', 'com': '<a href=""#p52925749"" class=""quotelink"">&gt;&gt;52925749</a><br>flashing aespa+rv from across the street', 'time': 1670636594, 'resto': 52909157}, {'no': 52925874, 'now': '12/09/22(Fri)20:47:13', 'name': 'Anonymous', 'com': '<a href=""#p52925555"" class=""quotelink"">&gt;&gt;52925555</a><br>What cute stockings. Does anyone know where it&#039;s from? I&#039;m getting it for christmas.', 'filename': '725C6A25-A1AE-4A2C-BE9D-8B564386CA16', 'ext': '.jpg', 'w': 1118, 'h': 1800, 'tn_w': 77, 'tn_h': 125, 'tim': 1670636833025209, 'time': 1670636833, 'md5': 'XzUOtu97cfQqlwXREhtoUg==', 'fsize': 144570, 'resto': 52909157}, {'no': 52925895, 'now': '12/09/22(Fri)20:48:09', 'name': 'Anonymous', 'com': '<a href=""#p52924992"" class=""quotelink"">&gt;&gt;52924992</a><br>el peruaNO', 'time': 1670636889, 'resto': 52909157}]",,
2,52910742,,,12/09/22(Fri)04:53:52,Anonymous,"blobs Edition<br><br>Previous thread: https://desuarchive.org/trash/threa<wbr>d/52862652<br><br>Spillover of horny, blogposting, tea parties, and AH refugees from /omog/<br><br>Picrew<br>https://picrew.me/image_maker/16897<wbr>27 (RW)<br>https://picrew.me/image_maker/12031<wbr>87 (DW)<br><br>https://rentry.org/homogtemplate22 (Thread Template)",QmxvYiBjbGVhbmluZw,.jpg,2983,1862,250,156,1670579632613084,1670579632,jc5/RKwUHgYCGzrsar8iag==,456690,0,homog-omori-trash-thread,96,28,1670636888,0.0,0.0,91.0,27.0,"[{'no': 52925161, 'now': '12/09/22(Fri)20:18:00', 'name': 'Anonymous', 'com': '<a href=""#p52925085"" class=""quotelink"">&gt;&gt;52925085</a><br>Beddie. Don&#039;t fuck with your sleel schedule.', 'time': 1670635080, 'resto': 52910742}, {'no': 52925226, 'now': '12/09/22(Fri)20:20:16', 'name': 'Anonymous', 'com': '<a href=""#p52925161"" class=""quotelink"">&gt;&gt;52925161</a><br>my sleep schedule is already fucking dead and I am in bed though.<br>at least I need to talk to people first', 'time': 1670635216, 'resto': 52910742}, {'no': 52925702, 'now': '12/09/22(Fri)20:39:24', 'name': 'Anonymous', 'com': 'I think I need professional help', 'filename': '173839', 'ext': '.png', 'w': 1630, 'h': 45, 'tn_w': 125, 'tn_h': 3, 'tim': 1670636364225401, 'time': 1670636364, 'md5': 'uONQBvqpygxrGmt6/twK6Q==', 'fsize': 16654, 'resto': 52910742}, {'no': 52925747, 'now': '12/09/22(Fri)20:41:16', 'name': 'Anonymous', 'com': '<a href=""#p52924291"" class=""quotelink"">&gt;&gt;52924291</a><br>It&#039;s just /v/tubers for 3rd class normies<br><a href=""#p52925702"" class=""quotelink"">&gt;&gt;52925702</a><br>I need that organization', 'time': 1670636476, 'resto': 52910742}, {'no': 52925894, 'now': '12/09/22(Fri)20:48:08', 'name': 'Anonymous', 'com': '<a href=""#p52925702"" class=""quotelink"">&gt;&gt;52925702</a><br><span class=""quote"">&gt;letting you NAME groups of tabs</span><br>Honestly I blame the UX designer for enabling this kind of behavior more than I do you for engaging in it', 'time': 1670636888, 'resto': 52910742}]",/homog/ - Omori Trash Thread,
3,52877069,,,12/07/22(Wed)15:29:36,Anonymous,"Official /xiverp/ Discord @ https://discord.gg/6HqW4CY<br><br><span class=""quote"">&gt;Previous Thread</span><br><span class=""deadlink"">&gt;&gt;52818640</span><br><br><span class=""quote"">&gt;What is this thread?</span><br>A thread to set up ERP/JOI, flirt with anons, discuss fetishes, or talk about/post lewd shit that would otherwise get you hammered on /aco/<br><br><span class=""quote"">&gt;Lewd Modding Resources, Guides, and Discords</span><br>https://rentry.org/xiverp<br><br><span class=""quote"">&gt;NPC Mods</span><br>https://mega.nz/folder/HscEWLrS#hSf<wbr>gyTvEkVBXmGrMxhnfpQ<br><span class=""quote"">&gt;Lala Mods</span><br>https://drive.google.com/drive/fold<wbr>ers/1BmXZWwYKU_tKaBdBzer6wnez8fH9KB<wbr>nu<br>https://drive.google.com/drive/fold<wbr>ers/19siBLw7VfDdFrszlr8dPtryVNoTfZT<wbr>Kf<br><span class=""quote"">&gt;Diaper Mods</span><br>https://pastebin.com/EQwLqwtd<br><br><span class=""quote"">&gt;/xiverp/ Album(s)</span><br>https://rentry.org/lewds",ss (2022-11-08 at 15.01.02),.jpg,1920,1080,250,140,1670444976866692,1670444976,tv9BTkEEY5H3sI55uzU0dw==,733849,0,xiverp-final-fantasy-xiv-erp-general-950,286,77,1670636888,0.0,0.0,281.0,74.0,"[{'no': 52925044, 'now': '12/09/22(Fri)20:13:27', 'name': 'Anonymous', 'com': '<a href=""#p52924348"" class=""quotelink"">&gt;&gt;52924348</a><br><br>Mostly for variety&#039;s sake.', 'filename': '02', 'ext': '.png', 'w': 1308, 'h': 1013, 'tn_w': 125, 'tn_h': 96, 'tim': 1670634807987559, 'time': 1670634807, 'md5': 'llAsChmJQmmrZJfUTsA/Nw==', 'fsize': 2133537, 'resto': 52877069}, {'no': 52925083, 'now': '12/09/22(Fri)20:15:01', 'name': 'Anonymous', 'com': '<a href=""#p52925044"" class=""quotelink"">&gt;&gt;52925044</a><br>Can you show the holes in those bloomers?', 'time': 1670634901, 'resto': 52877069}, {'no': 52925674, 'now': '12/09/22(Fri)20:38:16', 'name': 'Anonymous', 'com': '<a href=""#p52925083"" class=""quotelink"">&gt;&gt;52925083</a><br><br>Front or back?', 'filename': '07', 'ext': '.png', 'w': 735, 'h': 1033, 'tn_w': 88, 'tn_h': 125, 'tim': 1670636296161021, 'time': 1670636296, 'md5': '3v8bE5baO/cGK7Wm39Kl4g==', 'fsize': 1395303, 'resto': 52877069}, {'no': 52925696, 'now': '12/09/22(Fri)20:39:06', 'name': 'Anonymous', 'com': '<a href=""#p52925674"" class=""quotelink"">&gt;&gt;52925674</a><br>Both', 'time': 1670636346, 'resto': 52877069}, {'no': 52925893, 'now': '12/09/22(Fri)20:48:08', 'name': 'Anonymous', 'com': '<a href=""#p52925696"" class=""quotelink"">&gt;&gt;52925696</a>', 'filename': '09', 'ext': '.png', 'w': 725, 'h': 1016, 'tn_w': 89, 'tn_h': 125, 'tim': 1670636888134661, 'time': 1670636888, 'md5': '/ckRJOonvV3e5aA36U0vrg==', 'fsize': 1489168, 'resto': 52877069}]",/xiverp/ - Final Fantasy XIV: ERP General #950,
4,52911118,,,12/09/22(Fri)05:34:04,Anonymous,MLP/EQG Bimbo Thread<br><br>Solar Eclipse Edition<br><br>Previous thread- https://desuarchive.org/trash/threa<wbr>d/52741133 <br>Bimbo Timeline: https://docs.google.com/spreadsheet<wbr>s/d/1_WC5SKBrHsI1LtwQuquJOsz19qtTjZ<wbr>wB8uYth1ATtiI/edit?usp=sharing<br><br>Alternate source for above stories:<br>https://mega.nz/folder/5cMmnbZY#2Gi<wbr>BIHHAjBWKZAS_Wg_m1w<br><br>Download archive of every pre-pastebin purge story: u.smutty.horse/lypxarkwhqy.rar<br><br>New Stories not in archive:https://ponepaste.org/4124<br><br>Snakebit&#039;s stories:https://archiveofourown.org<wbr>/users/snakebit1995/pseuds/snakebit<wbr>1995<br><br>Pastebin:https://pastebin.com/mhdk6<wbr>3Pn<br><br>https://pastebin.com/u/BimboPonyAno<wbr>n<br><br>Current (updated) green pastebin: Strip Magician:https://pastebin.com/y7Mke<wbr>uMJ<br><br>Trixie Writer&#039;s Story List:https://pastebin.com/8Yfj3rLy<br><br>MLP Bimbo Mirrorverse Story Lists-https://pastebin.com/2yXYWtaT<wbr><br><br>Fantasy (DnD) AU Story List-https://pastebin.com/VuFRJPpU<br><br>Gyaru CYOA-https://pastebin.com/CE88iFfD<br><br>Bimbo Luna CYOA:https://u.smutty.horse/mbmntwz<wbr>bqtv.txt<br><br>AI Voices:https://pastebin.com/XLmtYPk<wbr>T<br><br>Bimbo song parodies:<br><br>Bimbo Just Like Me:https://pastebin.com/dzHZqjKk,3003268,.png,768,1024,187,250,1670582044887205,1670582044,ke1mSN5sC+0JpFUpvvQ0FQ==,609864,0,mlpeqg-bimbo-thread,62,32,1670636883,0.0,0.0,57.0,28.0,"[{'no': 52925805, 'now': '12/09/22(Fri)20:43:39', 'name': 'Anonymous', 'com': '<a href=""#p52924896"" class=""quotelink"">&gt;&gt;52924896</a><br>I do love a good timberjack', 'filename': '09B06D80-8881-4C4B-88FB-01A8D6DFC688', 'ext': '.png', 'w': 800, 'h': 600, 'tn_w': 125, 'tn_h': 93, 'tim': 1670636619910107, 'time': 1670636619, 'md5': 'Dg451/UwXWQBk11BUwb45A==', 'fsize': 430059, 'resto': 52911118}, {'no': 52925837, 'now': '12/09/22(Fri)20:45:50', 'name': 'Anonymous', 'com': '<a href=""#p52925805"" class=""quotelink"">&gt;&gt;52925805</a><br>Timberjack vs flutterbat who would win?', 'filename': '7B3D1C67-1149-456B-B2E0-AEC5E99C550C', 'ext': '.jpg', 'w': 726, 'h': 600, 'tn_w': 125, 'tn_h': 103, 'tim': 1670636750062124, 'time': 1670636750, 'md5': 'R/aOrXC8L6l7orGn/APySw==', 'fsize': 87713, 'resto': 52911118}, {'no': 52925855, 'now': '12/09/22(Fri)20:46:15', 'name': 'snakebit', 'com': '<a href=""#p52925772"" class=""quotelink"">&gt;&gt;52925772</a><br>Yeah it&#039;s like that<br><br>Could also work in some of the full moon stuff like if you get bit you transform but you have until the next full moon to cure they lycanthropy or be cursed with it forever<br><br><a href=""#p52925805"" class=""quotelink"">&gt;&gt;52925805</a><br>under rated look for her', 'time': 1670636775, 'resto': 52911118}, {'no': 52925857, 'now': '12/09/22(Fri)20:46:22', 'name': 'Anonymous', 'com': '<a href=""#p52925837"" class=""quotelink"">&gt;&gt;52925837</a>', 'filename': '81B2D6DD-C57B-4A54-94C2-B1D374082276', 'ext': '.jpg', 'w': 800, 'h': 491, 'tn_w': 125, 'tn_h': 76, 'tim': 1670636782723801, 'time': 1670636782, 'md5': 'gaL82po6/ryeQLH3xF2mNg==', 'fsize': 420966, 'resto': 52911118}, {'no': 52925892, 'now': '12/09/22(Fri)20:48:03', 'name': 'Anonymous', 'com': 'Just got this pic. Sort girl with titty monster leverl of breast. Who in mlp can be like that?', 'filename': 'FjkhwwrXgAEYz4r', 'ext': '.jpg', 'w': 1646, 'h': 1600, 'tn_w': 125, 'tn_h': 121, 'tim': 1670636883079112, 'time': 1670636883, 'md5': 'LQSSN/KFymrv2xYYIgmk0Q==', 'fsize': 229390, 'resto': 52911118}]",,
5,52924905,,,12/09/22(Fri)20:07:45,Anonymous,"Flu season edition <br><br>Previous thread - https://desuarchive.org/trash/threa<wbr>d/52778819<br><br>Pokecuck dex tool - https://yeetskeetthrowaway.itch.io/<wbr>nsfw-pokecuck-image-generator<br>Pokecuck dex - https://imgchest.com/p/pg73pmozyrn<br>Pokecuck caps - https://imgchest.com/p/na7kr9kky8d<br><br>Trainers<br><span class=""quote"">&gt;Whos your star pokemon?</span><br><span class=""quote"">&gt;Why is she betraying you?</span><br><span class=""quote"">&gt;Admit you love it.</span><br><span class=""quote"">&gt;Post pics and videos of your favorites for others to save and steal</span><br><br>Snatchers<br><span class=""quote"">&gt;What pokemon are you looking to steal?</span><br><span class=""quote"">&gt;If a trainer posts one that catches your eye, steal her with no hesitation!</span><br><span class=""quote"">&gt;Tell and show the trainers what you&#039;re doing to them!</span><br><br>Pokestuds<br><span class=""quote"">&gt;Destroy any pokesluts hole so that humans can never use it again</span><br><span class=""quote"">&gt;Live, Love, Breed</span><br><br>Pokesluts<br><span class=""quote"">&gt;Have fun with people besides your trainer!</span><br><span class=""quote"">&gt;Tell us just how much you need a good fucking!</span><br><br>Topic of the thread, best excuse for hiding an affair?",sample_da9be47bd8921bc08da64f2e21f3ba99,.jpg,850,1134,187,250,1670634465750630,1670634465,TOlAmIOXt1MpY2P0G6nrVQ==,104705,0,pokecucking-general-pcg,11,9,1670636882,0.0,0.0,6.0,5.0,"[{'no': 52925135, 'now': '12/09/22(Fri)20:17:10', 'name': 'Anonymous', 'filename': 'sample_56310a189caef8a316af9fbc180ec021f2836d8b', 'ext': '.jpg', 'w': 850, 'h': 981, 'tn_w': 108, 'tn_h': 124, 'tim': 1670635030341691, 'time': 1670635030, 'md5': 'kcFVVpScbbdcA6VtPKcZdQ==', 'fsize': 124688, 'resto': 52924905}, {'no': 52925257, 'now': '12/09/22(Fri)20:21:27', 'name': 'Anonymous', 'com': '<a href=""#p52925086"" class=""quotelink"">&gt;&gt;52925086</a><br>She&#039;s cute and she knows it! It&#039;s why she&#039;s so lewd with everyone, besides you that is~', 'filename': 'sample_27643902fd3a4d8d3ae4b4e6688f94d7', 'ext': '.jpg', 'w': 850, 'h': 1133, 'tn_w': 93, 'tn_h': 125, 'tim': 1670635287682515, 'time': 1670635287, 'md5': 'ebwRNvpKlE1dhC96zMwdzA==', 'fsize': 114662, 'resto': 52924905}, {'no': 52925664, 'now': '12/09/22(Fri)20:37:48', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;looks at beloved trainer with intense cucking intent</span>', 'filename': 'sample_ab63d65d9320a65c80958caa249558ca4bf7bd7a', 'ext': '.jpg', 'w': 850, 'h': 1016, 'tn_w': 104, 'tn_h': 125, 'tim': 1670636268367398, 'time': 1670636268, 'md5': 'dw9nqNsAG56cUkaXZV1d6g==', 'fsize': 49399, 'resto': 52924905}, {'no': 52925848, 'now': '12/09/22(Fri)20:46:03', 'name': 'Anonymous', 'com': '<a href=""#p52925087"" class=""quotelink"">&gt;&gt;52925087</a><br>Only takes a minute to break her resistance', 'time': 1670636763, 'resto': 52924905}, {'no': 52925891, 'now': '12/09/22(Fri)20:48:02', 'name': 'Anonymous', 'com': '<a href=""#p52925848"" class=""quotelink"">&gt;&gt;52925848</a><br>&#039;Owner&#039; must not have been all that satisfying to her', 'filename': 'sample_62526a6e84a95017ce38311e434f6a4962ab67e1', 'ext': '.jpg', 'w': 850, 'h': 671, 'tn_w': 125, 'tn_h': 98, 'tim': 1670636882480191, 'time': 1670636882, 'md5': 'H+MlL4BmLZ+lwYnOFLnffg==', 'fsize': 74308, 'resto': 52924905}]",Pokecucking general - /pcg/,
6,52921293,,,12/09/22(Fri)17:31:00,Anonymous,"/pfg/ - Pussyfree General<br><br>A thread for weeby eternal virgins, pussyfree losers, and those who have no hopes of ever fucking real women! If you&#039;ve given up on ever getting pussy or just prefer being a porn-addicted handfucker from now on then this is the thread for you!<br><br>Booty clapping edition<br><br><span class=""quote"">&gt;Previous thread:</span><br>https://desuarchive.org/trash/threa<wbr>d/52892750/<br><span class=""quote"">&gt;More material:</span><br>https://hgoon.booru.org/<br>https://censored.booru.org/<br><span class=""quote"">&gt;Resources:</span><br>https://rentry.org/pfg<br><span class=""quote"">&gt;Tagmap:</span><br>https://tagmap.io/tag/pfg",e0b70a50b8d38a5c1f6b10409983b04f,.webm,720,808,222,250,1670625060532738,1670625060,QDKyGZj1iDAmfO54wohHLw==,336596,0,pfg-pussyfree-general,49,23,1670636878,0.0,0.0,44.0,22.0,"[{'no': 52925687, 'now': '12/09/22(Fri)20:38:54', 'name': 'Anonymous', 'com': '<a href=""#p52925250"" class=""quotelink"">&gt;&gt;52925250</a><br>What about it?', 'time': 1670636334, 'resto': 52921293}, {'no': 52925790, 'now': '12/09/22(Fri)20:43:06', 'name': 'Anonymous', 'com': 'good pussyfree boys only put their cocks in blown out shit-pipes!~', 'filename': 'ed79886bf03096f89f5d76f9075bfecc', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670636586616438, 'time': 1670636586, 'md5': 'xvCEyflAc4/qhYcVsZaABA==', 'fsize': 258226, 'resto': 52921293}, {'no': 52925876, 'now': '12/09/22(Fri)20:47:22', 'name': 'Anonymous', 'com': '<a href=""#p52925367"" class=""quotelink"">&gt;&gt;52925367</a><br>Being a little girl is my dream...', 'time': 1670636842, 'resto': 52921293}, {'no': 52925885, 'now': '12/09/22(Fri)20:47:42', 'name': 'Anonymous', 'com': '<a href=""#p52924942"" class=""quotelink"">&gt;&gt;52924942</a><br>what&#039;s your request, anon? &lt;3', 'time': 1670636862, 'resto': 52921293}, {'no': 52925890, 'now': '12/09/22(Fri)20:47:58', 'name': 'Anonymous', 'com': '<a href=""#p52925790"" class=""quotelink"">&gt;&gt;52925790</a><br>delicious looking hole', 'time': 1670636878, 'resto': 52921293}]",,
7,52908241,,,12/09/22(Fri)01:32:32,Anonymous,HG - Hunger Games<br><br>The lake house.,281137317988015301918646542801817279180,.jpg,1920,1080,250,140,1670567552581852,1670567552,bew2BIQVa/6zoCj4uFTbDg==,339505,0,hg-hunger-games,239,192,1670636877,0.0,0.0,234.0,187.0,"[{'no': 52925769, 'now': '12/09/22(Fri)20:41:59', 'name': 'Anonymous', 'com': '<a href=""#p52925308"" class=""quotelink"">&gt;&gt;52925308</a><br>Kureji Ollie', 'filename': 'sample_889f635ba52f5885faadeb4af058e0b7', 'ext': '.jpg', 'w': 850, 'h': 850, 'tn_w': 125, 'tn_h': 125, 'tim': 1670636519118815, 'time': 1670636519, 'md5': 'Zm5ml0WZ6d30XuDAGref1Q==', 'fsize': 702212, 'resto': 52908241}, {'no': 52925838, 'now': '12/09/22(Fri)20:45:53', 'name': 'Anonymous', 'com': '<a href=""#p52925308"" class=""quotelink"">&gt;&gt;52925308</a><br>Keanu', 'filename': '480', 'ext': '.png', 'w': 960, 'h': 939, 'tn_w': 125, 'tn_h': 122, 'tim': 1670636753464853, 'time': 1670636753, 'md5': 'XHcFOxrajx4qKbJZZCJBaA==', 'fsize': 852731, 'resto': 52908241}, {'no': 52925853, 'now': '12/09/22(Fri)20:46:08', 'name': 'Anonymous', 'com': '<a href=""#p52925308"" class=""quotelink"">&gt;&gt;52925308</a><br>Banished Knight Oleg', 'filename': '7c7066e13db61d5dd5c82ccee9c63a5d', 'ext': '.jpg', 'w': 2347, 'h': 3038, 'tn_w': 96, 'tn_h': 125, 'tim': 1670636768828412, 'time': 1670636768, 'md5': 'IMfw1o9vtjJRLugBf4F4Rg==', 'fsize': 1756573, 'resto': 52908241}, {'no': 52925886, 'now': '12/09/22(Fri)20:47:42', 'name': 'Anonymous', 'com': '<a href=""#p52925308"" class=""quotelink"">&gt;&gt;52925308</a><br>Flora Mook', 'filename': 'Flora Mook', 'ext': '.png', 'w': 44, 'h': 64, 'tn_w': 44, 'tn_h': 64, 'tim': 1670636862213150, 'time': 1670636862, 'md5': 'eJ6mhhCRWpeRmmDEffP5Pg==', 'fsize': 1570, 'resto': 52908241}, {'no': 52925889, 'now': '12/09/22(Fri)20:47:57', 'name': 'Anonymous', 'com': '<a href=""#p52925308"" class=""quotelink"">&gt;&gt;52925308</a><br>Mori Jung', 'filename': 'Mori', 'ext': '.jpg', 'w': 736, 'h': 764, 'tn_w': 120, 'tn_h': 125, 'tim': 1670636877017973, 'time': 1670636877, 'md5': 'CRt8KeFegsFIB1pVYsCEjQ==', 'fsize': 74256, 'resto': 52908241}]",,
8,52924744,,,12/09/22(Fri)20:00:39,Anonymous,Marketable Plushie Edition<br>All discussion of Demon Dice/Karen/Deemo/Desdemona goes here<br>https://www.twitch.tv/demondiceoffi<wbr>cial,oh no dont turn me into a,.jpg,2048,1759,250,214,1670634039575418,1670634039,9/33NMDELimu5UhsTPBNYw==,341505,0,demondice-thread,163,12,1670636876,0.0,0.0,158.0,12.0,"[{'no': 52925873, 'now': '12/09/22(Fri)20:47:10', 'name': 'Anonymous', 'com': 'looks like she got too much of her daily dose', 'time': 1670636830, 'resto': 52924744}, {'no': 52925882, 'now': '12/09/22(Fri)20:47:37', 'name': 'Anonymous', 'com': '<a href=""#p52925850"" class=""quotelink"">&gt;&gt;52925850</a><br>I find it cute that Kiara obviously took that picture and she made such a cute pose.', 'time': 1670636857, 'resto': 52924744}, {'no': 52925883, 'now': '12/09/22(Fri)20:47:38', 'name': 'Anonymous', 'com': '<a href=""#p52925873"" class=""quotelink"">&gt;&gt;52925873</a><br>She&#039;s literally always been jittery, dude', 'time': 1670636858, 'resto': 52924744}, {'no': 52925887, 'now': '12/09/22(Fri)20:47:48', 'name': 'Anonymous', 'com': '<a href=""#p52925873"" class=""quotelink"">&gt;&gt;52925873</a><br>Shes tapping her leg. She&#039;s literally done that forever.', 'time': 1670636868, 'resto': 52924744}, {'no': 52925888, 'now': '12/09/22(Fri)20:47:56', 'name': 'Anonymous', 'com': '<a href=""#p52925852"" class=""quotelink"">&gt;&gt;52925852</a><br><span class=""quote"">&gt;twice a week</span><br>Wanna timestamp me on that?<br>Because god dammit', 'time': 1670636876, 'resto': 52924744}]",Demondice Thread,
9,52925758,,,12/09/22(Fri)20:41:35,Anonymous,frosty the snowman edition,GF builds a snowman,.jpg,981,736,249,187,1670636495636608,1670636495,Cbrb4glAq1yfHHzSFJ6aBg==,74559,0,funkg-trash-thread,13,6,1670636861,0.0,0.0,8.0,5.0,"[{'no': 52925839, 'now': '12/09/22(Fri)20:45:54', 'name': 'Anonymous', 'com': '<a href=""#p52925827"" class=""quotelink"">&gt;&gt;52925827</a><br>spirit&#039;s possessing him', 'time': 1670636754, 'resto': 52925758}, {'no': 52925847, 'now': '12/09/22(Fri)20:46:02', 'name': 'Anonymous', 'com': '<a href=""#p52925813"" class=""quotelink"">&gt;&gt;52925813</a><br>https://twitter.com/CaPPerTrope/sta<wbr>tus/1596944516132802560', 'time': 1670636762, 'resto': 52925758}, {'no': 52925856, 'now': '12/09/22(Fri)20:46:18', 'name': 'Anonymous', 'com': '<a href=""#p52925791"" class=""quotelink"">&gt;&gt;52925791</a><br>I just realized isn&#039;t he sort of similar to Spirit<br>Guy unwillingly trapped in vidya game', 'time': 1670636778, 'resto': 52925758}, {'no': 52925880, 'now': '12/09/22(Fri)20:47:31', 'name': 'Anonymous', 'com': 'Cassandra X Pico', 'filename': '7B269787-0C75-42E9-A5B0-52ECB174FBB7', 'ext': '.png', 'w': 394, 'h': 485, 'tn_w': 101, 'tn_h': 124, 'tim': 1670636851989060, 'time': 1670636851, 'md5': 'CGyLZMharNQFB/FFAh/XAw==', 'fsize': 13171, 'resto': 52925758}, {'no': 52925884, 'now': '12/09/22(Fri)20:47:41', 'name': 'Anonymous', 'com': '<a href=""#p52925847"" class=""quotelink"">&gt;&gt;52925847</a><br><span class=""quote"">&gt;guy looks like if I rubbed the Gameboy he&#039;s come out and give me three wishes</span><br><span class=""quote"">&gt;it&#039;s a game genie</span><br>actually got a chuckle out of me, also thanks anon', 'time': 1670636861, 'resto': 52925758}]",/funkg/ trash thread,
