,no,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,trip
0,177805194,12/12/22(Mon)05:31:29,Anonymous,"<span class=""quote"">&gt;the thread...what thread is that then ted? oh right THE thread? oh erm yes uh i started one before but i don&#039;t know what happened to it i think father jack was posting about girls in it maybe</span>",maxdougaldefault,.jpg,1280,720,250,140,1670841089592362,1670841089,YCwJJnGWGX4LDMDJjaumMg==,76232,0,0,0,the-threadwhat-thread-is-that-then-ted-oh-right,5,10,6,5.0,4.0,"[{'no': 177806789, 'now': '12/12/22(Mon)07:04:39', 'name': 'Anonymous', 'com': 'AGGGHH MOTHER FUCKING COCKSUCKER TED YOU BASTARD YOU TRICKED ME. I&#039;LL CUT YOUR FUCKING EYES OUT TED YOU SHIT AAAARRRRGGGHHH GODDD', 'filename': 'R-8', 'ext': '.jpg', 'w': 422, 'h': 339, 'tn_w': 125, 'tn_h': 100, 'tim': 1670846679210810, 'time': 1670846679, 'md5': '2a0K8AvCa+v31lhsxYiA2w==', 'fsize': 12251, 'resto': 177805194}, {'no': 177806821, 'now': '12/12/22(Mon)07:06:38', 'name': 'Anonymous', 'com': '<a href=""#p177805867"" class=""quotelink"">&gt;&gt;177805867</a><br>fucking hell!', 'time': 1670846798, 'resto': 177805194}, {'no': 177806844, 'now': '12/12/22(Mon)07:08:30', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;small</span><br><span class=""quote"">&gt;faaaar awayyýyy</span>', 'time': 1670846910, 'resto': 177805194}, {'no': 177806879, 'now': '12/12/22(Mon)07:10:33', 'name': 'Anonymous', 'com': 'that german fella was pretty based on taskmaster', 'time': 1670847033, 'resto': 177805194}, {'no': 177806957, 'now': '12/12/22(Mon)07:15:51', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Dougal, have you been posting Sneed in a comfy Simpsons thread again? I explicity told you not to after that incident with the nuns from Windy Island, good grief I&#039;ll never forget the Mother Superior&#039;s screeches of &quot;it was a very subtle and wicked joke&quot;</span><br><span class=""quote"">&gt;What&#039;s that now Ted? Sneed in a comfy Simpsons thread? Now why would I do something like that Ted, ruin a good Simpsons thread? That there Mr Burns, he&#039;s hilarious Ted. &quot;Cowabunga&quot;, haha.</span><br><span class=""quote"">&gt;Dougal, I loaded up the thread on your laptop, it was full of (you)s.</span><br><span class=""quote"">&gt;Oh right now yes I did Ted, that was me</span><br><span class=""quote"">&gt;Dougal...</span>', 'filename': '1587070358154', 'ext': '.jpg', 'w': 474, 'h': 316, 'tn_w': 125, 'tn_h': 83, 'tim': 1670847351147069, 'time': 1670847351, 'md5': 'gz4b7EWpL1T0TDMjH+c4Bg==', 'fsize': 15588, 'resto': 177805194}]",1670847351,,
1,177805452,12/12/22(Mon)05:45:31,Anonymous,Bro what the hell now,Fi554SRXoAIu_yL,.jpg,929,1160,200,249,1670841931493230,1670841931,rb1fpM5Dd4Whf6iUOAD/hg==,251127,0,0,0,peach-poster,5,9,1,4.0,0.0,"[{'no': 177805502, 'now': '12/12/22(Mon)05:47:47', 'name': 'Anonymous', 'com': 'She cute', 'filename': 'AE63723B-81F3-4667-808C-142A10EB7A52', 'ext': '.jpg', 'w': 746, 'h': 680, 'tn_w': 125, 'tn_h': 113, 'tim': 1670842067647691, 'time': 1670842067, 'md5': 'BWS/54jJ1bIoPalvkCRAgA==', 'fsize': 78387, 'resto': 177805452}, {'no': 177806202, 'now': '12/12/22(Mon)06:27:19', 'name': 'Anonymous', 'com': '<a href=""#p177805452"" class=""quotelink"">&gt;&gt;177805452</a><br>It was actually Peach&#039;s idea that she&#039;d be moved to another castle so Mario wouldn&#039;t rescue her so quickly.', 'time': 1670844439, 'resto': 177805452}, {'no': 177806407, 'now': '12/12/22(Mon)06:41:33', 'name': 'Anonymous', 'com': '<a href=""#p177805452"" class=""quotelink"">&gt;&gt;177805452</a><br>Why is her eye makeup dripping?', 'time': 1670845293, 'resto': 177805452}, {'no': 177806748, 'now': '12/12/22(Mon)07:02:36', 'name': 'Anonymous', 'com': '<a href=""#p177806407"" class=""quotelink"">&gt;&gt;177806407</a><br>Heat from bowser', 'time': 1670846556, 'resto': 177805452}, {'no': 177806956, 'now': '12/12/22(Mon)07:15:50', 'name': 'Anonymous', 'com': '<a href=""#p177805452"" class=""quotelink"">&gt;&gt;177805452</a><br>What is she doing guys? Why is she crying? :(', 'time': 1670847350, 'resto': 177805452}]",1670847350,Peach poster,
2,177806241,12/12/22(Mon)06:29:30,Anonymous,Are EFAP the villains of media?,3DED6EF0-A8F8-4750-850D-C8E7FBFDB7CF,.jpg,1460,828,250,141,1670844570632887,1670844570,o1qIogyjwEPu1tzl65E55A==,293747,0,0,0,are-efap-the-villains-of-media,5,24,0,19.0,0.0,"[{'no': 177806919, 'now': '12/12/22(Mon)07:14:01', 'name': 'Anonymous', 'com': '<a href=""#p177806901"" class=""quotelink"">&gt;&gt;177806901</a><br>at least its not (yet) as cringy as them shilling bly manor. biggest terror of that shitty series was amount of coloreds occupying cool english house', 'time': 1670847241, 'resto': 177806241}, {'no': 177806929, 'now': '12/12/22(Mon)07:14:36', 'name': 'Anonymous', 'com': '<a href=""#p177806241"" class=""quotelink"">&gt;&gt;177806241</a><br>Isn&#039;t that the guy with down-syndrome who lives with his mom?', 'time': 1670847276, 'resto': 177806241}, {'no': 177806946, 'now': '12/12/22(Mon)07:15:37', 'name': 'Anonymous', 'com': '<a href=""#p177806929"" class=""quotelink"">&gt;&gt;177806929</a><br>which one?', 'time': 1670847337, 'resto': 177806241}, {'no': 177806954, 'now': '12/12/22(Mon)07:15:48', 'name': 'Anonymous', 'com': '<a href=""#p177806241"" class=""quotelink"">&gt;&gt;177806241</a><br><span class=""quote"">&gt;pause whatever they&#039;re watching every five fucking seconds</span><br><span class=""quote"">&gt;spend the next fifteen minutes discussing whatever the fuck problem they have with what just occurred</span><br><span class=""quote"">&gt;finally resume playback</span><br><span class=""quote"">&gt;their complaints are actually addressed almost immediately, rendering nearly everything they just complained about moot</span><br>Their fucking streams wouldn&#039;t be six hours long if they actually watched whatever they&#039;re complaining about it, in full, BEFORE doing the stupid ass fucking stream', 'time': 1670847348, 'resto': 177806241}, {'no': 177806955, 'now': '12/12/22(Mon)07:15:49', 'name': 'Anonymous', 'com': '<a href=""#p177806241"" class=""quotelink"">&gt;&gt;177806241</a><br>whats even the point of those chatlogs? they autoscroll way too fast for anyone to possibly be following them. and even then its like 99% nonsensical zoomer drivel and emojis', 'time': 1670847349, 'resto': 177806241}]",1670847349,,
3,177806591,12/12/22(Mon)06:53:12,Anonymous,,Screenshot_20221212-035126_Gallery,.jpg,1080,1348,200,250,1670845992397024,1670845992,kTpTHd6YiWC93BeerCVawQ==,215348,0,0,0,breaking-bad-canada,5,18,0,13.0,0.0,"[{'no': 177806736, 'now': '12/12/22(Mon)07:01:34', 'name': 'Anonymous', 'com': '<a href=""#p177806686"" class=""quotelink"">&gt;&gt;177806686</a><br>I think it&#039;s a decent idea, but it should always be something people ask for themselves (or possibly a vegetable relative), not something you&#039;re offered in place of other assistance.', 'time': 1670846494, 'resto': 177806591}, {'no': 177806772, 'now': '12/12/22(Mon)07:03:51', 'name': 'Anonymous', 'com': '<a href=""#p177806591"" class=""quotelink"">&gt;&gt;177806591</a><br>Need those precious tax dollars for new arrivals, sorry chuddy', 'time': 1670846631, 'resto': 177806591}, {'no': 177806777, 'now': '12/12/22(Mon)07:04:03', 'name': 'Anonymous', 'com': '<a href=""#p177806633"" class=""quotelink"">&gt;&gt;177806633</a><br>Canada&#039;a healthcare system is in total collapse to the point doctors suggest people in wheelchairs kill themselves rather than provide home ramps to save a few bucks, the OP image is a humorous inversion of an old meme that originally poked fun at America&#039;s healthcare which, while it had some issues which have mostly been resolved since it was first posted over a decade ago, never reached the dystopian cstastrophe that is Canadian healthcare circa 2022.', 'time': 1670846643, 'resto': 177806591}, {'no': 177806791, 'now': '12/12/22(Mon)07:04:40', 'name': 'Anonymous', 'com': '<a href=""#p177806633"" class=""quotelink"">&gt;&gt;177806633</a><br><a href=""https://i.4cdn.org/wsg/1669666684586706.webm"" target=""_blank"">https://i.4cdn.org/wsg/166966668458<wbr>6706.webm</a><br><span class=""quote"">&gt;suddenly no diversity to be seen</span>', 'time': 1670846680, 'resto': 177806591}, {'no': 177806953, 'now': '12/12/22(Mon)07:15:46', 'name': 'Anonymous', 'com': '<a href=""#p177806791"" class=""quotelink"">&gt;&gt;177806791</a><br>I didn&#039;t want to live to see society become Children of Men but here we are.', 'time': 1670847346, 'resto': 177806591}]",1670847346,Breaking Bad Canada,
4,177806951,12/12/22(Mon)07:15:44,Anonymous,"Do you enjoy taking your family to dad movies, anon?",1437565234,.jpg,641,255,250,99,1670847344214629,1670847344,WBaLR3J6NoRs2FJh+aOW0Q==,74844,0,0,0,do-you-enjoy-taking-your-family-to-dad-movies,5,0,0,,,,1670847344,,
5,177768388,12/11/22(Sun)07:30:07,Anonymous,"Thread for classic and arthouse cinema<br><br>Keeping /film/ alive edition<br><br><span class=""quote"">&gt;/film/ literature</span><br>https://mega.nz/folder/OVIDlQTJ#7L4<wbr>e8TGqNnbJEFqQzaf8lw<br><span class=""quote"">&gt;/film/ charts</span><br>https://mega.nz/folder/87xyiJjZ#3B2<wbr>eXe2lmN2KbFNNEagggQ<br><span class=""quote"">&gt;/film/ directors directory</span><br>https://docs.google.com/spreadsheet<wbr>s/d/1qgdYsMPAaFWrAa_7EHLpXqpOHLaDLm<wbr>ytM9wJ5nhGtqs<br><span class=""quote"">&gt;FAQ</span><br>https://pastebin.com/W1ja9dwp<br><span class=""quote"">&gt;but anon, how do I make webms with MPV?</span><br>https://github.com/ekisu/mpv-webm<br><br>Previous: <a href=""/tv/thread/177735559#p177735559"" class=""quotelink"">&gt;&gt;177735559</a>",Il Gattopardo (1963)(2),.jpg,1868,1500,250,200,1670761807830913,1670761807,WVjuoWkEUGtsccy2r80gnw==,1495322,0,0,0,film,5,284,39,279.0,39.0,"[{'no': 177806356, 'now': '12/12/22(Mon)06:37:47', 'name': 'Anonymous', 'com': '<a href=""#p177805125"" class=""quotelink"">&gt;&gt;177805125</a><br><span class=""quote"">&gt;All the esoterically ballsy fags are dead. Now it is all glitter without grit or grime. We got fully castrated somewhere down the track.</span><br>Fags used to be so based, don&#039;t know what happened to these poor bastards', 'time': 1670845067, 'resto': 177768388}, {'no': 177806453, 'now': '12/12/22(Mon)06:44:21', 'name': 'Anonymous', 'com': '<a href=""#p177806251"" class=""quotelink"">&gt;&gt;177806251</a><br>No need to get your titties in a twist, my enward friend.', 'time': 1670845461, 'resto': 177768388}, {'no': 177806801, 'now': '12/12/22(Mon)07:05:25', 'name': 'Anonymous', 'com': '<a href=""#p177806453"" class=""quotelink"">&gt;&gt;177806453</a><br>Then at least let me suck your dick you absolute faggot subhuman', 'time': 1670846725, 'resto': 177768388}, {'no': 177806876, 'now': '12/12/22(Mon)07:10:19', 'name': 'Anonymous', 'com': '<a href=""#p177777380"" class=""quotelink"">&gt;&gt;177777380</a><br>While I disagree with the posters assessment that tsai is &quot;undiscovered&quot;, he is definitely more obscure than any of those and is less well known even among &#039;cinephiles&#039;<br>We&#039;re not just talking about /film/ posters here', 'time': 1670847019, 'resto': 177768388}, {'no': 177806950, 'now': '12/12/22(Mon)07:15:44', 'name': 'Anonymous', 'com': '<a href=""#p177786062"" class=""quotelink"">&gt;&gt;177786062</a><br>The road movie <br>Let the corpses tan<br>Bullet ballet<br>Dromosphere<br>Rendezvous', 'time': 1670847344, 'resto': 177768388}]",1670847344,/film/,
6,177806829,12/12/22(Mon)07:07:01,Anonymous,"<span class=""quote"">&gt;achieves nothing</span>",A4374EE4-5887-4585-A51C-FE254713C539,.jpg,190,239,190,239,1670846821878300,1670846821,F88N9SEgN7W4XGhk62CyWg==,19148,0,0,0,achieves-nothing,5,13,1,8.0,0.0,"[{'no': 177806928, 'now': '12/12/22(Mon)07:14:33', 'name': 'Anonymous', 'com': '<a href=""#p177806897"" class=""quotelink"">&gt;&gt;177806897</a><br>this, theyre a bunch of spineless faggots and kike bootlicker.<br>theyre not conserving anything but instead surrendering themselves to kike domination', 'time': 1670847273, 'resto': 177806829}, {'no': 177806931, 'now': '12/12/22(Mon)07:14:46', 'name': 'Anonymous', 'com': '<a href=""#p177806870"" class=""quotelink"">&gt;&gt;177806870</a><br>Uhm..', 'filename': '305E3F69-106C-4688-BF5A-D6F3FCDB02B3', 'ext': '.jpg', 'w': 942, 'h': 697, 'tn_w': 125, 'tn_h': 92, 'tim': 1670847286500004, 'time': 1670847286, 'md5': 'zOTMkyQ/ylG7dPpo+vOrEw==', 'fsize': 46861, 'resto': 177806829}, {'no': 177806940, 'now': '12/12/22(Mon)07:15:25', 'name': 'Anonymous', 'com': '<a href=""#p177806829"" class=""quotelink"">&gt;&gt;177806829</a><br>That&#039;s its point. Anything that fundamentally challenges the establishment will never be this visible', 'time': 1670847325, 'resto': 177806829}, {'no': 177806949, 'now': '12/12/22(Mon)07:15:42', 'name': 'Anonymous', 'com': '<a href=""#p177806915"" class=""quotelink"">&gt;&gt;177806915</a><br>ywnbaw', 'time': 1670847342, 'resto': 177806829}, {'no': 177806952, 'now': '12/12/22(Mon)07:15:44', 'name': 'Anonymous', 'com': '<a href=""#p177806931"" class=""quotelink"">&gt;&gt;177806931</a><br>sex at birth is different then gender. gender is a societal creation', 'time': 1670847344, 'resto': 177806829}]",1670847344,,
7,177806869,12/12/22(Mon)07:10:09,Anonymous,It&#039;s a bit sad that 2022 tv peaked way back in February,p21271543_b_h8_ab,.jpg,3840,2160,250,140,1670847009077893,1670847009,ndcCsWNSep+0T9lTnBI5Jw==,1775677,0,0,0,its-a-bit-sad-that-2022-tv-peaked-way-back-in,5,3,1,,,"[{'no': 177806904, 'now': '12/12/22(Mon)07:12:41', 'name': 'Anonymous', 'com': '<a href=""#p177806869"" class=""quotelink"">&gt;&gt;177806869</a><br>Hey man, it&#039;s pretty unusual we get any TV kino at all these days, the only other good show this year was The Devil&#039;s Hour.', 'filename': '1640202033111', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670847161447995, 'time': 1670847161, 'md5': 'EkbE0nVJq4jD6TE7dS0oEQ==', 'fsize': 848194, 'resto': 177806869}, {'no': 177806948, 'now': '12/12/22(Mon)07:15:39', 'name': 'Anonymous', 'com': '<a href=""#p177806904"" class=""quotelink"">&gt;&gt;177806904</a><br>Thanks bro. I&#039;ll check this out.', 'time': 1670847339, 'resto': 177806869}, {'no': 177806958, 'now': '12/12/22(Mon)07:15:51', 'name': 'Anonymous', 'com': '<a href=""#p177806904"" class=""quotelink"">&gt;&gt;177806904</a><br>Never heard of this. I will try it tonight. This better be good my dude.', 'time': 1670847351, 'resto': 177806869}]",1670847351,,
8,177805804,12/12/22(Mon)06:03:04,Anonymous,"<span class=""quote"">&gt;4 days until the release of Avatar: The Way of Water</span>",.8qP21a,.jpg,780,760,250,243,1670842984577878,1670842984,mj0+P/V+6hoKme/41JmoPA==,103284,0,0,0,4-days-until-the-release-of-avatar-the-way-of,5,42,13,37.0,11.0,"[{'no': 177806889, 'now': '12/12/22(Mon)07:11:22', 'name': 'Anonymous', 'com': 'Based and robust.<br>For me, it&#039;s the premium seat on opening day in 3D in exactly 49 hours and 18 minutes. A bottle of water and a banana split cornetto in the break.', 'filename': 'comfyseat', 'ext': '.jpg', 'w': 920, 'h': 718, 'tn_w': 125, 'tn_h': 97, 'tim': 1670847082678763, 'time': 1670847082, 'md5': 'CWMPXnUOZBr82bRZwRMuFA==', 'fsize': 391378, 'resto': 177805804}, {'no': 177806909, 'now': '12/12/22(Mon)07:13:07', 'name': 'Anonymous', 'com': '<a href=""#p177806889"" class=""quotelink"">&gt;&gt;177806889</a><br>what a strange theater layout', 'time': 1670847187, 'resto': 177805804}, {'no': 177806926, 'now': '12/12/22(Mon)07:14:33', 'name': 'Anonymous', 'com': 'Avatarchads... our lives are about to change forever this weekend.....', 'time': 1670847273, 'resto': 177805804}, {'no': 177806942, 'now': '12/12/22(Mon)07:15:30', 'name': 'Anonymous', 'com': '<a href=""#p177805804"" class=""quotelink"">&gt;&gt;177805804</a><br>based<br>robust<br>robased', 'time': 1670847330, 'resto': 177805804}, {'no': 177806947, 'now': '12/12/22(Mon)07:15:38', 'name': 'Anonymous', 'com': '<a href=""#p177805804"" class=""quotelink"">&gt;&gt;177805804</a>', 'filename': 'AVATAR fan', 'ext': '.jpg', 'w': 683, 'h': 768, 'tn_w': 111, 'tn_h': 125, 'tim': 1670847338150858, 'time': 1670847338, 'md5': 'ZLaDBcnz26iVFTkJoi3Qjg==', 'fsize': 108557, 'resto': 177805804}]",1670847338,,
9,177784207,12/11/22(Sun)16:54:30,Anonymous,"<span class=""quote"">&gt;Remains unsurpassed</span>",dragon ball z,.jpg,970,545,249,140,1670795670010863,1670795670,Oyk5cKhHKWMIsGT0CMGfHQ==,201542,0,0,0,remains-unsurpassed,5,241,41,236.0,40.0,"[{'no': 177805603, 'now': '12/12/22(Mon)05:53:04', 'name': 'Anonymous', 'com': '<a href=""#p177784207"" class=""quotelink"">&gt;&gt;177784207</a><br>hi there Pablo,how many tacos do you eat while watching an episode of it?', 'time': 1670842384, 'resto': 177784207}, {'no': 177806673, 'now': '12/12/22(Mon)06:58:21', 'name': 'Anonymous', 'com': 'There still is no better ryona scene than Videl vs Spopovich', 'filename': '1526693107008', 'ext': '.jpg', 'w': 1280, 'h': 1200, 'tn_w': 125, 'tn_h': 117, 'tim': 1670846301140502, 'time': 1670846301, 'md5': 'K+D6SaQR2BAt4s0IdIUbzg==', 'fsize': 1531125, 'resto': 177784207}, {'no': 177806755, 'now': '12/12/22(Mon)07:02:52', 'name': 'Anonymous', 'com': '<a href=""#p177805552"" class=""quotelink"">&gt;&gt;177805552</a><br><span class=""quote"">&gt;Everything and I mean everything after Frieza is terrible.</span><br>Nah, there were some great risks taken after Freiza. I always give a creator props when they&#039;re willing to kill off their main characters - even if its done in an alternate dimension. That shows a lot of confidence in the material.', 'time': 1670846572, 'resto': 177784207}, {'no': 177806827, 'now': '12/12/22(Mon)07:06:58', 'name': 'Anonymous', 'com': '<a href=""#p177788766"" class=""quotelink"">&gt;&gt;177788766</a><br><a href=""#p177797180"" class=""quotelink"">&gt;&gt;177797180</a><br>You&#039;ve outted yourselves as newfags.', 'time': 1670846818, 'resto': 177784207}, {'no': 177806945, 'now': '12/12/22(Mon)07:15:37', 'name': 'Anonymous', 'com': '<a href=""#p177797960"" class=""quotelink"">&gt;&gt;177797960</a><br>It was horrible to start but it became decent during the Cell arc and unironically good during the Buu arc.', 'time': 1670847337, 'resto': 177784207}]",1670847337,,
