,no,sticky,closed,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,bumplimit,imagelimit
0,3145651,1.0,1.0,05/03/20(Sun)22:28:08,Anonymous,"/u/ is for discussions about the yuri genre of manga, anime, and other related media. Threads requesting images or series recommendations are discouraged (try <a href=""/r/"" class=""quotelink""><a href=""//boards.4chan.org/r/"" class=""quotelink"">&gt;&gt;&gt;/r/</a></a> instead). When starting an image dump thread, please contribute at least 4-5 relevant images yourself.<br><br>Where to read manga:<br><a href=""https://dynasty-scans.com/"" target=""_blank"">https://dynasty-scans.com/</a><br><br>Some notable scanlators:<br><a href=""http://www.lililicious.net/"" target=""_blank"">http://www.lililicious.net/</a><br><br><a href=""https://yuri-ism.com/"" target=""_blank"">https://yuri-ism.com/</a><br><br><a href=""https://yuri-project.net/"" target=""_blank"">https://yuri-project.net/</a><br><br>Just getting into the yuri genre, or just looking for recommendations? Click [Reply] for /u/ guides to manga, anime, and live action.",op,.jpg,1500,844,250,140,1588559288379,1588559288,fqR0mdYXDm/dA57nIMu1Tw==,208686,0,mod,u-is-for-discussions-about-the-yuri-genre-of,0,4,3,3.0,3.0,"[{'no': 3145655, 'now': '05/03/20(Sun)22:28:58', 'name': 'Anonymous', 'com': 'Before starting a new thread, please check the catalog for existing threads.<br><a href=""//boards.4chan.org/u/catalog"" class=""quotelink"">&gt;&gt;&gt;/u/catalog</a>', 'time': 1588559338, 'resto': 3145651, 'capcode': 'mod'}]",1588559338,,,
1,3839095,,,12/07/22(Wed)19:25:15,Anonymous,"This thread is for:<br>*Screenshots, pages, and discussion about general series, current or old, not covered by an existing thread, be it yuri, fanservice, subtext or goggles. Canon and non-canon both welcome.<br>*News reports about things relevant to our interest<br>*Original content that doesn&#039;t fit any specific thread topics<br>*Pretty much anything that doesn&#039;t have or need its own thread<br>Previous:<a href=""/u/thread/3834068#p3834068"" class=""quotelink"">&gt;&gt;3834068</a>",1670401146094310,.jpg,1920,1080,250,140,1670459115905500,1670459115,poZxLBEKnsRRvfCDg05Ipg==,411354,0,,general-yuri-discussion-thread,0,172,27,167.0,27.0,"[{'no': 3841462, 'now': '12/11/22(Sun)06:22:10', 'name': 'Anonymous', 'com': '<a href=""#p3841461"" class=""quotelink"">&gt;&gt;3841461</a><br>No big tiddy black haired oneesan.', 'time': 1670757730, 'resto': 3839095}, {'no': 3841477, 'now': '12/11/22(Sun)06:35:31', 'name': 'Anonymous', 'com': '<a href=""#p3841401"" class=""quotelink"">&gt;&gt;3841401</a><br>In settings with less males, this wouldn&#039;t have been a detriment. But alas.', 'time': 1670758531, 'resto': 3839095}, {'no': 3841478, 'now': '12/11/22(Sun)06:36:27', 'name': 'Anonymous', 'com': '<a href=""#p3841477"" class=""quotelink"">&gt;&gt;3841477</a><br>Not all Yuri series exist in a world where men mysteriously went extinct.', 'time': 1670758587, 'resto': 3839095}, {'no': 3841485, 'now': '12/11/22(Sun)06:57:00', 'name': 'Anonymous', 'com': '<a href=""#p3841478"" class=""quotelink"">&gt;&gt;3841478</a><br>Most yuri series don&#039;t have male characters actively trying to become romantic interests for the girls.', 'time': 1670759820, 'resto': 3839095}, {'no': 3841488, 'now': '12/11/22(Sun)07:07:42', 'name': 'Anonymous', 'com': '<a href=""#p3840582"" class=""quotelink"">&gt;&gt;3840582</a><br><span class=""quote"">&gt;A lot of yaoi/fujoshi fans are bisexuals in general</span><br>fixed', 'time': 1670760462, 'resto': 3839095}]",1670760462,General Yuri Discussion Thread,0.0,0.0
2,3676584,,,03/30/22(Wed)17:45:55,Anonymous,MahoMiho wincest is best couple,__nishizumi_miho_and_nishizumi_maho_girls_und_panzer_drawn_by_hareta__756c2a84fa5800eda1799e19a42a5cd2,.jpg,504,546,230,250,1648676755112,1648676755,LZTInW49Q4NATsYm/+EGwQ==,215186,0,,girls-und-panzergup,0,268,245,263.0,240.0,"[{'no': 3837112, 'now': '12/04/22(Sun)14:48:25', 'name': 'Anonymous', 'com': '<a href=""#p3837111"" class=""quotelink"">&gt;&gt;3837111</a>', 'filename': '1501807644065', 'ext': '.png', 'w': 990, 'h': 1320, 'tn_w': 93, 'tn_h': 125, 'tim': 1670183305337825, 'time': 1670183305, 'md5': '3BgtafNDVNfUtAr8V/aUeg==', 'fsize': 666195, 'resto': 3676584}, {'no': 3838473, 'now': '12/06/22(Tue)15:51:11', 'name': 'Anonymous', 'filename': '__orange_pekoe_and_rosehip_girls_und_panzer_drawn_by_inou_takashi__a813b5b10cfcd9db9b0b2d4743251d49', 'ext': '.jpg', 'w': 1654, 'h': 1654, 'tn_w': 125, 'tn_h': 125, 'tim': 1670359871658208, 'time': 1670359871, 'md5': 'qBO1sQz82dubCy1HQyUdSQ==', 'fsize': 2103488, 'resto': 3676584}, {'no': 3840535, 'now': '12/09/22(Fri)23:07:00', 'name': 'Anonymous', 'filename': '__shimada_arisu_and_shimada_chiyo_girls_und_panzer_drawn_by_akashio_loli_ace__sample-2c8375b225d522d74c33e8b1853d0db5', 'ext': '.jpg', 'w': 850, 'h': 1182, 'tn_w': 89, 'tn_h': 125, 'tim': 1670645220626385, 'time': 1670645220, 'md5': 'JTtWmNVenKEtxekqpveTvQ==', 'fsize': 172427, 'resto': 3676584}, {'no': 3841166, 'now': '12/10/22(Sat)22:54:38', 'name': 'Anonymous', 'filename': '54800767_p0', 'ext': '.jpg', 'w': 850, 'h': 1204, 'tn_w': 88, 'tn_h': 125, 'tim': 1670730878843857, 'time': 1670730878, 'md5': '0oemDJmujApFCi73H6pOMw==', 'fsize': 319579, 'resto': 3676584}, {'no': 3841487, 'now': '12/11/22(Sun)07:04:01', 'name': 'Anonymous', 'filename': 'C78B923F-F231-46B3-9E68-0BEA501200B1', 'ext': '.png', 'w': 1000, 'h': 1000, 'tn_w': 125, 'tn_h': 125, 'tim': 1670760241171401, 'time': 1670760241, 'md5': 'WbWi/UxELg4D/asyMIo3LA==', 'fsize': 786949, 'resto': 3676584}]",1670760241,Girls und Panzer/GuP,0.0,0.0
3,3811928,,,10/28/22(Fri)16:33:14,Anonymous,Cosplayers being hella gay.,FaSD0ylaUAEgcNg,.jpg,2731,4096,166,250,1666989194126650,1666989194,bkEk8qTuRI+MYgJscnH/9A==,628962,0,,cosplay-thread,0,78,52,73.0,50.0,"[{'no': 3840580, 'now': '12/10/22(Sat)00:51:29', 'name': 'Anonymous', 'com': '<a href=""#p3840569"" class=""quotelink"">&gt;&gt;3840569</a><br>Raiden https://twitter.com/saiwestwood<br>Yae https://twitter.com/shirogane__sama<wbr>', 'filename': '396609', 'ext': '.jpg', 'w': 900, 'h': 506, 'tn_w': 125, 'tn_h': 70, 'tim': 1670651489025536, 'time': 1670651489, 'md5': 'gy+Z+JKLWW2tc1DxrkTSdA==', 'fsize': 278283, 'resto': 3811928}, {'no': 3840581, 'now': '12/10/22(Sat)00:54:22', 'name': 'Anonymous', 'com': '<a href=""#p3840580"" class=""quotelink"">&gt;&gt;3840580</a><br>Thanks and are they a cosplay couple too?', 'time': 1670651662, 'resto': 3811928}, {'no': 3841464, 'now': '12/11/22(Sun)06:24:41', 'name': 'Anonymous', 'com': '<a href=""#p3840581"" class=""quotelink"">&gt;&gt;3840581</a><br>dont think so', 'filename': 'resize_37', 'ext': '.jpg', 'w': 1280, 'h': 1920, 'tn_w': 83, 'tn_h': 125, 'tim': 1670757881910883, 'time': 1670757881, 'md5': 'CgKuuD8J1XcDDIIQxgUGZA==', 'fsize': 382231, 'resto': 3811928}, {'no': 3841481, 'now': '12/11/22(Sun)06:40:55', 'name': 'Anonymous', 'com': '<a href=""#p3841464"" class=""quotelink"">&gt;&gt;3841464</a><br>Not with those nails, yeah.', 'time': 1670758855, 'resto': 3811928}, {'no': 3841484, 'now': '12/11/22(Sun)06:53:44', 'name': 'Anonymous', 'com': '<a href=""#p3841464"" class=""quotelink"">&gt;&gt;3841464</a><br>You sure?<br><br><a href=""#p3841481"" class=""quotelink"">&gt;&gt;3841481</a><br>I agree.', 'time': 1670759624, 'resto': 3811928}]",1670759624,Cosplay Thread,0.0,0.0
4,3841028,,,12/10/22(Sat)19:38:58,Anonymous,"aka<br><span class=""quote"">&gt;The Magical Revolution of the Reincarnated Princess and the Genius Young Lady</span><br><br>No thread?<br><br>Apparently first episode has been preaired.<br>Some /a/nons capped it<br><span class=""quote"">&gt;https://files.catbox.moe/9al8ng.we<wbr>bm</span><br><span class=""quote"">&gt;mega[dot]nz/folder/5xR2jIgA#ca_CZt<wbr>oU9XA1KQl0cavBAw</span>",I&#039;ll be taking my lesbian and leaving,.jpg,1329,1050,250,197,1670719138022432,1670719138,NXURiDJZLdHw18ylUbS98g==,241971,0,,tensei-oujo-to-tensai-reijou-no-mahou-kakumei,0,9,5,4.0,4.0,"[{'no': 3841050, 'now': '12/10/22(Sat)20:21:59', 'name': 'Anonymous', 'com': 'It was a stacked first episode, I liked a lot.', 'time': 1670721719, 'resto': 3841028}, {'no': 3841282, 'now': '12/11/22(Sun)01:09:53', 'name': 'Anonymous', 'com': 'Stacked you say?', 'filename': '1660317674152427', 'ext': '.jpg', 'w': 1500, 'h': 1064, 'tn_w': 125, 'tn_h': 88, 'tim': 1670738993352088, 'time': 1670738993, 'md5': 'tKKco55rda+w/QbQL5Jtng==', 'fsize': 196295, 'resto': 3841028}, {'no': 3841364, 'now': '12/11/22(Sun)04:35:46', 'name': 'Anonymous', 'com': '<a href=""#p3841046"" class=""quotelink"">&gt;&gt;3841046</a><br>If I remember the novels do briefly mention they knew each other in the past but after Euphie’s betrothal they never got a chance to talk', 'time': 1670751346, 'resto': 3841028}, {'no': 3841452, 'now': '12/11/22(Sun)06:00:29', 'name': 'Anonymous', 'com': '<a href=""#p3841028"" class=""quotelink"">&gt;&gt;3841028</a><br>Muslim Euphy', 'time': 1670756429, 'resto': 3841028}, {'no': 3841482, 'now': '12/11/22(Sun)06:44:48', 'name': 'Anonymous', 'com': 'Anis really is basically Chisato, if Chisato actually had any narrative drive or desire to do anything at all.', 'time': 1670759088, 'resto': 3841028}]",1670759088,Tensei Oujo to Tensai Reijou no Mahou Kakumei,0.0,0.0
5,3757285,,,08/03/22(Wed)12:57:44,Anonymous,"Previous thread (<span class=""deadlink"">&gt;&gt;3755986</span>) got deleted because the original poster was banned so here&#039;s a new one<br>S2 is done, your hopes for next chapter?",file,.png,3169,2343,250,184,1659545864534124,1659545864,/Q2wBaLo+FdbCmzM8jVing==,2432217,0,,machikado-mazoku,0,199,121,194.0,117.0,"[{'no': 3832891, 'now': '11/28/22(Mon)05:13:39', 'name': 'Anonymous', 'com': '<a href=""#p3832853"" class=""quotelink"">&gt;&gt;3832853</a><br>I think it has to do with power. Lilith has a lot of confidence in herself, she really thinks she could take over the world if she were freed, so she really must be powerful.<br>If Joshua only had 2 tips on his tail and managed to give Sakura-san several points, imagine what Lilith could give... I think her points might even be behind the creation of the magical girls.<br>I wish I could see more succubus demons, I want to know if they&#039;re all that powerful or if it&#039;s just Shamiko&#039;s family. I mean, the magical girls cared enough to seal away their powers and yet Joshua still managed to be strong... They must be from a very important demon bloodline.', 'time': 1669630419, 'resto': 3757285}, {'no': 3833959, 'now': '11/29/22(Tue)23:23:55', 'name': 'Anonymous', 'filename': '47150632_3971469_2', 'ext': '.png', 'w': 3000, 'h': 3000, 'tn_w': 125, 'tn_h': 125, 'tim': 1669782235435394, 'time': 1669782235, 'md5': '53M0qqmmhLc2F5zyqemnHQ==', 'fsize': 2678014, 'resto': 3757285}, {'no': 3834754, 'now': '12/01/22(Thu)09:29:28', 'name': 'Anonymous', 'filename': '7EC98D0C-F92A-4030-A8D3-0A994284EE95', 'ext': '.png', 'w': 1440, 'h': 1742, 'tn_w': 103, 'tn_h': 124, 'tim': 1669904968553102, 'time': 1669904968, 'md5': '0Ha5NCTYqtJtMz2jWV3NeA==', 'fsize': 3460453, 'resto': 3757285}, {'no': 3837503, 'now': '12/05/22(Mon)05:46:00', 'name': 'Anonymous', 'filename': '1648361876143', 'ext': '.jpg', 'w': 1700, 'h': 2400, 'tn_w': 88, 'tn_h': 125, 'tim': 1670237160941967, 'time': 1670237160, 'md5': 'cHsVb1APs9euqzX2Y1yJZw==', 'fsize': 2373025, 'resto': 3757285}, {'no': 3841475, 'now': '12/11/22(Sun)06:34:58', 'name': 'Anonymous', 'filename': 'E4u2oqhVgAAJIPG', 'ext': '.jpg', 'w': 915, 'h': 900, 'tn_w': 125, 'tn_h': 122, 'tim': 1670758498040756, 'time': 1670758498, 'md5': 'D+zNEIrvYAK5jT1WRYQQMg==', 'fsize': 408819, 'resto': 3757285}]",1670758498,Machikado Mazoku,0.0,0.0
6,3838730,,,12/07/22(Wed)04:04:07,Anonymous,Old thread hit bump limit<br>BoKita probably the most popular ship in this one,1670313365269676,.jpg,1850,1452,250,196,1670403847844292,1670403847,SGn1R+9417I/Vth4cYXu6Q==,348310,0,,bocchi-the-rock,0,79,67,74.0,62.0,"[{'no': 3841162, 'now': '12/10/22(Sat)22:52:20', 'name': 'Anonymous', 'filename': '__gotou_hitori_and_kita_ikuyo_bocchi_the_rock_drawn_by_torikoboshi__7103346bb09e9ed9b820b6ee6ac10aea', 'ext': '.jpg', 'w': 1662, 'h': 2048, 'tn_w': 101, 'tn_h': 125, 'tim': 1670730740032139, 'time': 1670730740, 'md5': 'HKx9/hIJIuWr9p/PlzTnrA==', 'fsize': 459689, 'resto': 3838730}, {'no': 3841163, 'now': '12/10/22(Sat)22:52:53', 'name': 'Anonymous', 'filename': '__ijichi_nijika_and_yamada_ryou_bocchi_the_rock_drawn_by_melodyguru__f902c4681448124c8e7f3083963c5afb', 'ext': '.jpg', 'w': 1251, 'h': 3947, 'tn_w': 39, 'tn_h': 124, 'tim': 1670730773899529, 'time': 1670730773, 'md5': 'Q9c0YKKQ4FBdWJ+u21poSw==', 'fsize': 385087, 'resto': 3838730}, {'no': 3841255, 'now': '12/10/22(Sat)23:58:50', 'name': 'Anonymous', 'filename': '20221207_195932', 'ext': '.jpg', 'w': 1448, 'h': 2048, 'tn_w': 88, 'tn_h': 125, 'tim': 1670734730903229, 'time': 1670734730, 'md5': '0k3ErxLV1GDxTZvd743LHg==', 'fsize': 223681, 'resto': 3838730}, {'no': 3841256, 'now': '12/10/22(Sat)23:59:40', 'name': 'Anonymous', 'filename': '20221207_023328', 'ext': '.png', 'w': 1577, 'h': 1036, 'tn_w': 125, 'tn_h': 82, 'tim': 1670734780894006, 'time': 1670734780, 'md5': '7xacJg3Yb1eLGGWDeAPrXw==', 'fsize': 490508, 'resto': 3838730}, {'no': 3841471, 'now': '12/11/22(Sun)06:30:13', 'name': 'Anonymous', 'filename': '20221211_082646', 'ext': '.jpg', 'w': 1448, 'h': 2048, 'tn_w': 88, 'tn_h': 125, 'tim': 1670758213127983, 'time': 1670758213, 'md5': 'VhUOsZkolB5VyDRUwqBaeA==', 'fsize': 652652, 'resto': 3838730}]",1670758213,Bocchi the Rock!,0.0,0.0
7,3838716,,,12/07/22(Wed)03:58:17,Anonymous,"Previous: <a href=""/u/thread/3788010#p3788010"" class=""quotelink"">&gt;&gt;3788010</a>",kaguyamokou15,.jpg,2048,2732,187,250,1670403497248799,1670403497,sFTUSIM7Ii3Hopu9HLC6oQ==,466955,0,,touhou-thread,0,40,37,35.0,33.0,"[{'no': 3841154, 'now': '12/10/22(Sat)22:48:41', 'name': 'Anonymous', 'filename': '__hijiri_byakuren_and_toutetsu_yuuma_touhou_drawn_by_ruri_rarako__4a98ba53a6359db32eb494f4275f68cc', 'ext': '.jpg', 'w': 1085, 'h': 1500, 'tn_w': 90, 'tn_h': 125, 'tim': 1670730521217906, 'time': 1670730521, 'md5': 'vGjJT2RR4V8a7DoyjOmktg==', 'fsize': 326807, 'resto': 3838716}, {'no': 3841231, 'now': '12/10/22(Sat)23:44:10', 'name': 'Anonymous', 'filename': 'ezgif-1-50d53d40df (1)', 'ext': '.webm', 'w': 1900, 'h': 1824, 'tn_w': 125, 'tn_h': 120, 'tim': 1670733850513434, 'time': 1670733850, 'md5': '+3hasRn5VcQw2EjqUBPFOA==', 'fsize': 1110624, 'resto': 3838716}, {'no': 3841305, 'now': '12/11/22(Sun)03:02:59', 'name': 'Anonymous', 'filename': '574b779ae302b6ef463da1b6879c2bebc51991e699195f4316b296622ecdf571', 'ext': '.jpg', 'w': 900, 'h': 1080, 'tn_w': 104, 'tn_h': 125, 'tim': 1670745779087981, 'time': 1670745779, 'md5': 'X0qDhxmRHPLpS97amWTeiw==', 'fsize': 790111, 'resto': 3838716}, {'no': 3841427, 'now': '12/11/22(Sun)05:29:18', 'name': 'Anonymous', 'com': '<a href=""#p3840518"" class=""quotelink"">&gt;&gt;3840518</a><br>Watch Theism and then White fox has yet to slumber<br>https://youtu.be/2MWraPSDCMQ<br>https://youtu.be/PKfKYe8Q-Pc', 'time': 1670754558, 'resto': 3838716}, {'no': 3841467, 'now': '12/11/22(Sun)06:26:33', 'name': 'Anonymous', 'filename': 'FjiwhtxacAIXlwx', 'ext': '.jpg', 'w': 700, 'h': 700, 'tn_w': 125, 'tn_h': 125, 'tim': 1670757993199664, 'time': 1670757993, 'md5': 'fhuD2oNiAnZDz+X0r+fueA==', 'fsize': 64542, 'resto': 3838716}]",1670757993,Touhou thread,0.0,0.0
8,3820264,,,11/09/22(Wed)15:14:11,Anonymous,"Previous Thread <span class=""deadlink"">&gt;&gt;3783507</span><br><br>Upcoming Releases<br><br>HikkiVamp 3: 12/13<br>MagiRevo 3: 12/13<br>YuriTama 2: 1/17/23<br>Adashima 10: 1/17/23<br>VTuber Legend 3: 01/23/23<br>Majo no Tabitabi 9: 3/21/23<br>Watanare 1: 5/9/23<br>Omaegotoki 5: 1/2/79<br><br><br>Recently Released<br>HikkiVamp 2<br>Majo no Tabitabi 9<br>YuriTama 1<br>VTuber Legend 2<br>Slime Taoshite 13<br>Shokei Shoujo 5",Cover,.jpg,1400,1997,175,250,1668024851851546,1668024851,ArNktVsfj87RThanhAU/TQ==,1643143,0,,yuri-light-novels-and-webnovels,0,88,16,83.0,15.0,"[{'no': 3841025, 'now': '12/10/22(Sat)19:25:17', 'name': 'Anonymous', 'com': 'Adashima is ending with volume 12?', 'time': 1670718317, 'resto': 3820264}, {'no': 3841032, 'now': '12/10/22(Sat)19:47:54', 'name': 'Anonymous', 'filename': 'Fjm-6I-agAMk_kr', 'ext': '.jpg', 'w': 2048, 'h': 1598, 'tn_w': 125, 'tn_h': 97, 'tim': 1670719674148744, 'time': 1670719674, 'md5': 'YDwAyrZqZQg63KU3QZAk8w==', 'fsize': 608815, 'resto': 3820264}, {'no': 3841056, 'now': '12/10/22(Sat)20:36:14', 'name': 'Anonymous', 'com': '<a href=""#p3841025"" class=""quotelink"">&gt;&gt;3841025</a><br>Apparently in the afterward of volume 11 Iruma says 12 will be the last volume, but not the last of them we&#039;ll see. Whatever that might mean.', 'time': 1670722574, 'resto': 3820264}, {'no': 3841148, 'now': '12/10/22(Sat)22:45:32', 'name': 'Anonymous', 'com': '<a href=""#p3841056"" class=""quotelink"">&gt;&gt;3841056</a><br>Probably cameos in other novels.', 'time': 1670730332, 'resto': 3820264}, {'no': 3841455, 'now': '12/11/22(Sun)06:02:14', 'name': 'Anonymous', 'com': '<a href=""#p3841148"" class=""quotelink"">&gt;&gt;3841148</a><br>Some time ago he mentioned the possibility of putting an extra volume out on his blog, also containing the stories included in the anime BD bonus.', 'time': 1670756534, 'resto': 3820264}]",1670756534,Yuri Light Novels and Webnovels,0.0,0.0
9,3806055,,,10/18/22(Tue)23:04:39,Goggled Anon,"Continued from <span class=""deadlink"">&gt;&gt;3761871</span><br>TL Archive (last updated Oct 19): https://0bin.zertrin.org/paste/Vf-o<wbr>Byzn#BEel08zFOe+YwlFjifmVLf6sCLXCk0<wbr>iA0D4wOCDhGmg<br><br>/u/&#039;s scanlations: http://dynasty-scans.com/scanlators<wbr>/u_scanlations<br>Raw ripping service (outdated): https://mega.nz/#F!LOJz2SpL!3o_LhDg<wbr>UuqKM8k35iDAubQ<br>RSS: https://rawanon.github.io/rss/feed<br>Manga downloader: Search &quot;red squirrel manga downloader&quot; or &quot;hakuneko&quot;<br><br>Tips for learning Japanese: https://djtguide.neocities.org/<br>KanjiTomo (kanji reader tool): http://kanjitomo.net/<br>SFX reference guide: http://thejadednetwork.com/sfx/<br>Typesetting guides:<br>http://www.ruinevil.com/rawr/editgu<wbr>ide/<br>http://www.insidescanlation.com/etc<wbr>/Forever-Mores-Scanlation-Guide/tut<wbr>orial/home.html<br>http://scanlationnn.tumblr.com/post<wbr>/21185155487/i-heard-you-like-resou<wbr>rces<br>https://mangadex.org/title/08e1f85a<wbr>-bb12-4fe4-aec5-0d7a80b3a261/anonbl<wbr>ack-s-typesetting-guide<br><br>Pic related: Sasakoi",whispering9,.png,758,714,250,235,1666148679888430,1666148679,0keai7WXGS44GBtVsVqaCA==,473860,0,,translation-thread,0,267,15,262.0,15.0,"[{'no': 3840913, 'now': '12/10/22(Sat)15:05:23', 'name': 'Goggled Anon', 'com': '<a href=""#p3840844"" class=""quotelink"">&gt;&gt;3840844</a><br>p1<br>ラララ~<br>Lalala~<br><br>p2<br><span class=""quote"">&gt;さあ さあ </span><br>Go on! Go on!<br><br>p3<br><span class=""quote"">&gt;ラ~ラ~ラ~</span><br>La~ la~ la~<br><br>p4<br><span class=""quote"">&gt;it&#039;s enough...</span><br>this is enough...<br><br>p5<br><span class=""quote"">&gt;You wanna end it end?</span><br>You wanna end it here?<br><br><span class=""quote"">&gt;The other pears</span><br>pairs<br><br>p7<br><span class=""quote"">&gt;the funnier it&#039;ll be the moment it breaks</span><br>the funnier the moment it breaks will be', 'time': 1670702723, 'resto': 3806055}, {'no': 3840960, 'now': '12/10/22(Sat)16:32:21', 'name': 'Anonymous', 'com': 'Constable Sakuma and Constable Hanaoka Started Dating ch6<br>https://mega.nz/folder/dHZG3ZQZ#3ue<wbr>-otssepk9leE6lSBhcA', 'time': 1670707941, 'resto': 3806055}, {'no': 3840979, 'now': '12/10/22(Sat)17:25:28', 'name': 'Goggled Anon', 'com': '<a href=""#p3840960"" class=""quotelink"">&gt;&gt;3840960</a><br>p5<br><span class=""quote"">&gt;the girl who was supposed to hear</span><br>supposed to be here<br><br><span class=""quote"">&gt;panel 3</span><br>recenter speech dialogue<br><br>p7<br><span class=""quote"">&gt;I know girls coming over to my room happens all the time</span><br>Girls come over to each other&#039;s rooms all the time<br><br>p16<br><span class=""quote"">&gt;Missing line</span><br>This kinda thing isn&#039;t too bad either...', 'time': 1670711128, 'resto': 3806055}, {'no': 3841359, 'now': '12/11/22(Sun)04:31:52', 'name': 'Anonymous', 'com': '<a href=""#p3835043"" class=""quotelink"">&gt;&gt;3835043</a><br>Take Responsibility for My Stomach! Vol 1 Extra<br>To anyone who&#039;s always doing the upload for /u/, please upload this to Mangadex and Dynasty if there&#039;s no problem with it.<br>https://mega.nz/folder/DNgnUb6K#Sd9<wbr>39Cr6kZtgALYnoxNmVw', 'time': 1670751112, 'resto': 3806055}, {'no': 3841450, 'now': '12/11/22(Sun)05:58:48', 'name': 'Anonymous', 'com': '<a href=""#p3841359"" class=""quotelink"">&gt;&gt;3841359</a><br>And Volume 2.<br>Take Responsibility for My Stomach! Vol 2 Extra<br>https://mega.nz/folder/2IoHlAYL#f_Q<wbr>YiL3ST0OGzPQ-Pmwykg', 'time': 1670756328, 'resto': 3806055}]",1670756328,Translation Thread,0.0,0.0
