,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,custom_spoiler,replies,images,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,last_replies
0,1,1.0,1.0,08/07/20(Fri)06:50:24,Anonymous,Welcome to /vmg/ - Vidya/Mobile Games,"/vmg/ is a place to discuss all types of mobile games, including both Android and iOS, phones and tablets. Please note that Nintendo and Sony handhelds are considered consoles, and that threads pertaining to those platforms and their gaming titles should be posted elsewhere.<br>
<br>
Does this mean discussion of mobile games is banned on other video game boards? <span style=""font-size:15px;font-weight:bold;"">No!</span> /vmg/ is just a separate board specifically focused on mobile games where discussions about your favorite games can thrive.<br>
<br>
Please familiarize yourself with <a href=""https://www.4channel.org/rules#vmg"">the rules</a> and remember to <a href=""https://www.4channel.org/faq#spoiler"">use the spoiler function where appropriate</a>!<br>

<p style=""font-size:15px;font-weight:bold;"">Please note that, like /v/, &quot;Generals&quot;—long-term, one-after-the-other, recurring threads about a specific game are not permitted on /vmg/. Such threads belong on <a href=""https://boards.4channel.org/vg/""><a href=""//boards.4channel.org/vg/"" class=""quotelink"">&gt;&gt;&gt;/vg/</a></a></p>",vmg,.png,240,240,240,240,1596797424824,1596797424,+709htKZ6L+VTp9xFjODSg==,116949,0,mod,welcome-to-vmg-vidyamobile-games,3,0,0,1596797432,,,,,
1,1013870,,,10/06/22(Thu)17:42:45,Anonymous,,Ruler&#039;s Law patch notes for Oct 8:<br>https://dislyte.farlightgames.com/d<wbr>etail.html?6332c8e82b56122ed2063311<wbr>,file,.png,1281,535,250,104,1665092565045782,1665092565,XdashXs4mwYXz35kthkEZA==,831177,0,,rulers-law-patch-notes-for-oct-8,3,440,54,1670760788,0.0,0.0,435.0,54.0,"[{'no': 1068242, 'now': '12/10/22(Sat)16:32:49', 'name': 'Anonymous', 'com': '<a href=""#p1068142"" class=""quotelink"">&gt;&gt;1068142</a><br>Same why Sanders is a controller, Daylon has a slight debuff focus along with dispelling enemy buffs, and debuffs which sucks a bit, so he&#039;s a support in Dislyte&#039;s eyes.', 'time': 1670707969, 'resto': 1013870}, {'no': 1068595, 'now': '12/11/22(Sun)04:39:03', 'name': 'Anonymous', 'com': 'I&#039;d post the cute wolf girl with fluffy hair, fat tits and thick thighs that got datamined but retards would just end up posting it on official social media, so you can find Hati yourself', 'time': 1670751543, 'resto': 1013870}, {'no': 1068597, 'now': '12/11/22(Sun)04:41:20', 'name': 'Anonymous', 'com': '<a href=""#p1068595"" class=""quotelink"">&gt;&gt;1068595</a><br>description made me zzzz', 'time': 1670751680, 'resto': 1013870}, {'no': 1068630, 'now': '12/11/22(Sun)06:27:57', 'name': 'Anonymous', 'com': 'How many of you are day 1 players and how many started later on?', 'time': 1670758077, 'resto': 1013870}, {'no': 1068638, 'now': '12/11/22(Sun)07:13:08', 'name': 'Anonymous', 'com': 'If you still don&#039;t have Gabrielle (and Lucas), best to grab her now.<br><span class=""quote"">&gt;Lynn is now gonna be replaced by Red Twin/Xie Chuyi in the Path to Mastery bonus quest.</span><br><span class=""quote"">&gt;Dhalia is leaving the Ripple Dimension drop and is instead obtaiend through Echo or the Divine Sequencer Shop.</span><br><span class=""quote"">&gt;Meredith leaves the Echo summon pool and instead is a Ripple Dimension drop.</span><br><span class=""quote"">&gt;Fabrice and Gabrielle are leaving the Esper Fusion. Fabrice can only be obtained through the Club Shop while Gabrielle can be obtained through Echo.</span><br><span class=""quote"">&gt;Melanie is leaving the Club Shop and instead can be obtained through Echo.</span><br><span class=""quote"">&gt;Lucas can no longer be obtained from clearing Spatial Tower.</span><br><span class=""quote"">&gt;Sally now is the reward for clearing Spatial Tower.</span><br><span class=""quote"">&gt;White Twin/Xie Yuzhi can only be ontained from Cube Shop. No more Echo summon.</span><br><span class=""quote"">&gt;Donar can only be obtained through Tournament Shop. No more Echo summon.</span><br><span class=""quote"">&gt;Asenath can also be purchased in the Divine Sequencer Shop.</span>', 'time': 1670760788, 'resto': 1013870}]"
2,1042905,,,11/05/22(Sat)15:25:43,Anonymous,Live a Hero:,Literally who,1667621262583945,.jpg,2048,1536,250,187,1667676343547503,1667676343,J6iK9rVqrG7OrpOTdWFwvQ==,584562,0,,live-a-hero,3,139,20,1670760678,0.0,0.0,134.0,19.0,"[{'no': 1066849, 'now': '12/08/22(Thu)08:06:05', 'name': 'Anonymous', 'com': '<a href=""#p1066828"" class=""quotelink"">&gt;&gt;1066828</a><br>Mob events, or boss rush events, are used to give players some free time between events. There might not be a christmas event, but there sure will be one closer to new years. Melody Meteorite didn&#039;t start until the 29th last year.', 'time': 1670504765, 'resto': 1042905}, {'no': 1066852, 'now': '12/08/22(Thu)08:13:24', 'name': 'Anonymous', 'com': '<a href=""#p1066849"" class=""quotelink"">&gt;&gt;1066849</a><br>well that&#039;s lame, I was hoping on a second christmas', 'time': 1670505204, 'resto': 1042905}, {'no': 1066880, 'now': '12/08/22(Thu)09:41:26', 'name': 'Anonymous', 'com': '<a href=""#p1066852"" class=""quotelink"">&gt;&gt;1066852</a><br>they&#039;ll probably run it close to the end of housamo christmas', 'time': 1670510486, 'resto': 1042905}, {'no': 1067385, 'now': '12/09/22(Fri)05:30:48', 'name': 'Anonymous', 'com': '<a href=""#p1063612"" class=""quotelink"">&gt;&gt;1063612</a><br><a href=""#p1064899"" class=""quotelink"">&gt;&gt;1064899</a><br>Here, made it kinda winter themed too. Combines a lot of my autistic fetishes together and tries to mash the elements what I like from Vulpecula, Pubraseer, Sadayoshi, Ryekie and Roiker together. Ended up creating a mess that mildly puts me off because it&#039;s like trying to bake a cake with all your favorite foods.<br><br><s>Also with a bulge that would probably get me into trouble with Japanese Law.</s>', 'filename': 'GayAssNinjaHero', 'ext': '.png', 'w': 1020, 'h': 1200, 'tn_w': 106, 'tn_h': 125, 'tim': 1670581848087950, 'time': 1670581848, 'md5': 'q6IAG4oIKK8yV+GGF1QXFQ==', 'fsize': 1101558, 'resto': 1042905}, {'no': 1068636, 'now': '12/11/22(Sun)07:11:18', 'name': 'Anonymous', 'com': 'Dang I really killed this thread with that post didn&#039;t I, well that and the lack of content', 'time': 1670760678, 'resto': 1042905}]"
3,1068541,,,12/11/22(Sun)01:27:20,Anonymous,MementoMori,"Chapter 19 and 20 is out. No worries, it&#039;s a whale territory. Came to play the most predatory AFKRPG with the only good thing came from it is the banger music.<br>https://www.youtube.com/watch?v=dKS<wbr>Nz3GGr9U",file,.png,1428,805,249,140,1670740040515785,1670740040,+ft9lgYi4Sr30b8u350KHQ==,1833526,0,,mementomori,3,1,0,1670760155,0.0,0.0,,,"[{'no': 1068635, 'now': '12/11/22(Sun)07:02:35', 'name': 'Anonymous', 'com': '<a href=""#p1068541"" class=""quotelink"">&gt;&gt;1068541</a><br>this is legit the worst gacha game i ever played in my life. i can only suggest anyone to not bother getting invested in it', 'time': 1670760155, 'resto': 1068541}]"
4,1040736,,,11/03/22(Thu)15:44:51,Anonymous,The Battle Cats!,"from siluman<br>[v11.10 MEGATHREAD]<br>========<br>New Unit:<br>1. [Special] Golden Statue Cat. 10th anniversary unit. 100% chance to KB vs traited. Has 600 range and 0 speed (yes, zero speed). Immune vs Boss Arrival.<br>2. [Super Rare] Brainwashed Dragon Cat. It&#039;s an exact copy of regular dragon.<br>3. [Uber Rare] Xmas Terun. Strong/KB vs Black/Alien. Colossus Slayer, Immune vs Slow.<br>4. New Uber Rare. It&#039;s Elite unit from Colossus Busters banner. Strong vs Traited, Immune vs all stats debuff, LD Attack, Colossus Slayer<br>========<br>New True Form:<br>1. Almighty Lucifer. 1 Epic Seed &amp; 3 Aku Fruit. Gain 100% Surge and more HP.<br>========<br>New Talent Upgrade:<br>1. Immortal Kaihime. Weaken ATK, Immune vs Curse, Cost Down, HP/ATK Up<br>========<br>New Stage:<br>1. 2 new Xmas stages<br>2. 1 Anniversary stage (the cake stage)<br>3. 2 new unknown stages (detail will be added later)<br>========<br>New UL Stage:<br>1. No new subchapter<br>2. Star 2 available for &quot;Rose-Colored Road&quot; &amp; &quot;Behemoth&#039;s Peak&quot;<br>3. Star 3 available for &quot;Nasi-Go-Round&quot; &amp; &quot;DNA Plantation&quot;<br>4. Star 4 available for &quot;In the Sleeping Forest&quot;, &quot;Laboratory Island&quot;, &amp; &quot;Forgotten Graves&quot;<br>========<br>New User Rank Reward:<br>1. 13,0001 for +60 Superfeline",battle cats,.jpg,1280,720,250,140,1667504691472990,1667504691,MM9vpKcIO77S+WqhJ78ubg==,139501,0,,the-battle-cats,3,411,83,1670758602,0.0,0.0,406.0,82.0,"[{'no': 1068360, 'now': '12/10/22(Sat)20:33:16', 'name': 'Anonymous', 'com': 'Does track-swapping through repeats work when I pull singles? Doesn&#039;t seem like it would if you think about it, but I&#039;ve found a post about how you can switch tracks even if you pull on two different banners as long as it ends up being the same two rares, so I dunno. It was a pretty old post.', 'time': 1670722396, 'resto': 1040736}, {'no': 1068368, 'now': '12/10/22(Sat)20:58:14', 'name': 'Anonymous', 'com': '<a href=""#p1068360"" class=""quotelink"">&gt;&gt;1068360</a><br>I confirmed that it does, so now I have another question - are Brainwashed units any good? Other than to spam four different versions of the same unit?', 'time': 1670723894, 'resto': 1040736}, {'no': 1068433, 'now': '12/10/22(Sat)22:30:31', 'name': 'Anonymous', 'com': '<a href=""#p1068368"" class=""quotelink"">&gt;&gt;1068368</a><br>Some of them are great, and some not so much. Brainwashed Cat, Gross, Bird, and Fish are great units. Meanwhile, Tank, Axe, and Cow are just horrendous. Lizard is debatable since it&#039;s literally just a slightly stronger version of King Dragon Cat', 'time': 1670729431, 'resto': 1040736}, {'no': 1068626, 'now': '12/11/22(Sun)06:25:33', 'name': 'Anonymous', 'com': 'My first Legend Rare...', 'filename': 'legend', 'ext': '.png', 'w': 2520, 'h': 1080, 'tn_w': 125, 'tn_h': 53, 'tim': 1670757933353618, 'time': 1670757933, 'md5': 'FCJhKuM/wJCdXC1V3//42Q==', 'fsize': 940710, 'resto': 1040736}, {'no': 1068633, 'now': '12/11/22(Sun)06:36:42', 'name': 'Anonymous', 'com': '<a href=""#p1068433"" class=""quotelink"">&gt;&gt;1068433</a><br><span class=""quote"">&gt;4 great units </span><br><span class=""quote"">&gt;3 shit units</span><br><span class=""quote"">&gt;1 unit that is just another dragon</span><br>Oh no, please, don’t do my boy titan cat dirty like that, we don’t need equilibrium there', 'time': 1670758602, 'resto': 1040736}]"
5,1063386,,,12/02/22(Fri)22:38:03,Anonymous,Blue Archive,Thread for the Japanese version of Blue Archive<br><br>The new Millenium story volume is out and a continuation to it will be released soon. What are your thoughts on this new story volume? Do you like where they are taking the story with it?,1655887877509,.jpg,1575,886,250,140,1670038683042710,1670038683,8TwJl3bkiPRq8e6iN+ETQQ==,230219,0,,blue-archive,3,118,37,1670758587,0.0,0.0,113.0,36.0,"[{'no': 1068523, 'now': '12/11/22(Sun)00:50:48', 'name': 'Anonymous', 'com': 'I should have read the sweets event when it came out, it would have convinced me to roll for Kazusa and I wouldn&#039;t be missing her for all yellow content ever.<br><br>Can&#039;t believe I missed out on CATH PALUG, the monstrous cat of terror that silences raid bosses and yellow enemies with one look.', 'filename': '1653446236497', 'ext': '.png', 'w': 1282, 'h': 680, 'tn_w': 125, 'tn_h': 66, 'tim': 1670737848493212, 'time': 1670737848, 'md5': '2X8/QEvhNgawS9kWxxC/Mw==', 'fsize': 387988, 'resto': 1063386}, {'no': 1068535, 'now': '12/11/22(Sun)01:08:52', 'name': 'Anonymous', 'com': 'https://youtu.be/i6pmxynf20Q<br>bros you&#039;re able to 1T ins chesed right?', 'time': 1670738932, 'resto': 1063386}, {'no': 1068549, 'now': '12/11/22(Sun)02:18:22', 'name': 'Anonymous', 'com': '<a href=""#p1068535"" class=""quotelink"">&gt;&gt;1068535</a><br>Nah, I got 25.2m but 2T.', 'time': 1670743102, 'resto': 1063386}, {'no': 1068572, 'now': '12/11/22(Sun)03:16:57', 'name': 'Anonymous', 'com': '<a href=""#p1068535"" class=""quotelink"">&gt;&gt;1068535</a><br>huh guess i&#039;ll try it later', 'time': 1670746617, 'resto': 1063386}, {'no': 1068632, 'now': '12/11/22(Sun)06:36:27', 'name': 'Anonymous', 'com': 'https://bluearchive.wiki/m/8PU<br>Everyone already know about the Christmas event so its kinda late but here&#039;s the event page for it<br>Any missing info (like Santa Serina and Hanae) or changes will be updated when the event goes live', 'time': 1670758587, 'resto': 1063386}]"
6,900795,,,06/28/22(Tue)17:17:50,Anonymous,Dragon Ball Legends,"Friend Code: k2f3dd3e<br>/dbg/ guild: h7ygsygw<br><br>It’s the 4th anniversary, what are you waiting for? MUI and SS3 are still up, but we may be getting a surprise Ultra this month.",Legends 4th Anniversary,.webm,404,720,140,250,1656451070130,1656451070,+7IOllltdcWP65WbT5ruZg==,2752179,0,,dragon-ball-legends,3,435,160,1670757637,0.0,0.0,430.0,159.0,"[{'no': 1066328, 'now': '12/07/22(Wed)13:10:43', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;gibblet and shallot fusion</span><br>i guess the datamined stuff was for that', 'time': 1670436643, 'resto': 900795}, {'no': 1066822, 'now': '12/08/22(Thu)07:21:52', 'name': 'Anonymous', 'com': '<a href=""#p1066182"" class=""quotelink"">&gt;&gt;1066182</a><br>LF SS4 was pretty great and baby was ridiculous. It seemed the devs had learned their lesson, alas. <br>Rose feels like he was supposed to come out with ul Broly and be his battery but the devs got too chickenshit scared people would just not pull for broly so delayed it.', 'time': 1670502112, 'resto': 900795}, {'no': 1067566, 'now': '12/09/22(Fri)11:44:56', 'name': 'Anonymous', 'com': 'I&#039;d love see some statistics about how many new players they got during the previous legends fest compared to other celebrations<br>I&#039;m convinced they made legends fest last year that good, because they saw the player base dwindling and they did everything they could to reverse that. And now that they lured in a bunch of new people, they went full kike this entire year', 'time': 1670604296, 'resto': 900795}, {'no': 1068051, 'now': '12/10/22(Sat)09:01:58', 'name': 'Anonymous', 'com': 'Many such cases', 'filename': 'Screenshot_20221210_145606_DB LEGENDS', 'ext': '.jpg', 'w': 1080, 'h': 2400, 'tn_w': 56, 'tn_h': 125, 'tim': 1670680918606563, 'time': 1670680918, 'md5': 'ZeTwXf1msVr4k2ZIDlihew==', 'fsize': 768359, 'resto': 900795}, {'no': 1068622, 'now': '12/11/22(Sun)06:20:37', 'name': 'Anonymous', 'com': 'Toshi should have been a summonable character in a special banner. But he comes with only 1HP and whoever picks him is always forced to lose.', 'time': 1670757637, 'resto': 900795}]"
7,1025795,,,10/20/22(Thu)17:41:59,Anonymous,Code Geass Gacha,"Genesic Re;Code - Halloween Kallen and Kaguya<br>Main story Chapter 7 soon<br><br>Lost Stories - Halloween event with Jeremiah, Lelouch, Villetta and Kewell<br>Unidentified KMF raid soon",1665516593795215,.jpg,1000,563,250,140,1666302119382156,1666302119,Bp2N+NaFaRuXqBOH4gUDJA==,156743,0,,code-geass-gacha,3,183,35,1670757568,0.0,0.0,178.0,34.0,"[{'no': 1067829, 'now': '12/09/22(Fri)21:36:15', 'name': 'Anonymous', 'com': 'Now that we have a Protagonist unit, when are we getting a Britannian Military version to go with his Britannian KMF?', 'time': 1670639775, 'resto': 1025795}, {'no': 1067851, 'now': '12/09/22(Fri)22:07:02', 'name': 'Anonymous', 'com': '<a href=""#p1067829"" class=""quotelink"">&gt;&gt;1067829</a><br>Who knows what their plan is with MC pilots. They could be released for special occasions like the anniversary, chapter mission reward, or just straight up gacha.', 'time': 1670641622, 'resto': 1025795}, {'no': 1068604, 'now': '12/11/22(Sun)05:04:21', 'name': 'Anonymous', 'com': 'okay so i&#039;ve played mega casually for about 3 weeks and have come to like the game more than i thought i would despite not being the biggest code geass fan ever. wondering what to work on from here on out? been kinda just winging it by applying the same strats that i did in <s>arknights</s> as a noob. i put out gilbert and jeremiah first and then andreas kills mostly everything with palomides it&#039;s been working so far but i&#039;m sure it&#039;s going to fall off hard at some point. pretty sure i got most if not all the 2* pilots so i left some of them out of the pic.', 'filename': 'skldfslskdjf', 'ext': '.jpg', 'w': 1201, 'h': 543, 'tn_w': 124, 'tn_h': 56, 'tim': 1670753061029907, 'time': 1670753061, 'md5': '6txVj0/yfrwqr+FvEVDELQ==', 'fsize': 552063, 'resto': 1025795}, {'no': 1068615, 'now': '12/11/22(Sun)05:53:11', 'name': 'Anonymous', 'com': '<a href=""#p1068604"" class=""quotelink"">&gt;&gt;1068604</a><br>You might wanna invest on some melee queens because Guilford is pretty weak in my experience and Jeremiah&#039;s main use is to deploy and retreat immediately instead of staying to fight. <br>The MC is a good choice even if you don&#039;t have their personal mechs yet. C.C. works as a subtank because she can block up to 3 enemies with the Lancelot. Her defense is not as good as actual tanks though so keep an eye on her.<br>I see the 1*s in your team are leveled and I sure hope you didn&#039;t use your exp chips for that. Invest on Milly to replace Inoue because she gives an ATK boost and reduces the cost for Ashford pilots (Lelouch, Suzaku, MC, Kallen, and herself). Work on Kewell if you have him because he and Viletta will be your standard AA pilots.<br>Oh, and if you have some double drop radars, you might wanna use them on the weekends because the drops from the exp chip missions are doubled and then do the hardest mission if you can.', 'time': 1670755991, 'resto': 1025795}, {'no': 1068621, 'now': '12/11/22(Sun)06:19:28', 'name': 'Anonymous', 'com': '<a href=""#p1068615"" class=""quotelink"">&gt;&gt;1068615</a><br>Now here&#039;s some pilots I suggest you work on once you&#039;re done with the above.<br><span class=""quote"">&gt;4* Kallen</span><br>Kallen does what Jeremiah does while also filling half of your units&#039; skill gauge on deployment.<br><span class=""quote"">&gt;3* SUZAK</span><br>Tank that hits a bit harder than Tohdoh and can block up to 6 enemies in Lancelot (he&#039;ll die while doing this). You&#039;ll eventually want more tanks as the map gets wider and you have more routes to block.<br><span class=""quote"">&gt;2* Diethard</span><br>The only guy in the game (other than limited halloween Lelouch) that gives Stealth to your units. Faggots with rifles and bazookas who stops just outside your unit&#039;s LOS to shoot them will be forced to come closer.<br><span class=""quote"">&gt;3* Lelouch</span><br>Stuns everyone in his LOS for a few seconds. Really good, but I&#039;m too smoothbrain to use Kings and I managed to finish the main story without him.<br>Some quick recommendations because I&#039;m running out of space. These guys are lower <br>priority.<br><span class=""quote"">&gt;3* Shirley</span><br><span class=""quote"">&gt;4* Suzaku</span><br><span class=""quote"">&gt;4* Lloyd</span><br><span class=""quote"">&gt;3* Kirihara (old man)</span><br><span class=""quote"">&gt;4* Rakshata</span><br><span class=""quote"">&gt;2* Senba (bald JLF dude)</span>', 'time': 1670757568, 'resto': 1025795}]"
8,1058200,,,11/27/22(Sun)23:31:27,Anonymous,D4DJ Groovy Mix,Hayate is truly the biggest dork in DJs.<br>HayaKoko cards doko?,FifqQ0yUoAARbEP,.jpg,1300,1300,250,250,1669609887851460,1669609887,4SUYsoui0cs00MzIcAbreQ==,75649,0,,d4dj-groovy-mix,3,258,58,1670757436,0.0,0.0,253.0,58.0,"[{'no': 1068583, 'now': '12/11/22(Sun)03:31:24', 'name': 'Anonymous', 'com': '<a href=""#p1068563"" class=""quotelink"">&gt;&gt;1068563</a><br><span class=""quote"">&gt;Muni confirmed toxic for Rinku</span><br><span class=""quote"">&gt;Ibuki is dead</span><br><span class=""quote"">&gt;Peaky P-key is now a loser unit</span><br><span class=""quote"">&gt;Michiru now has a unit but is overshadowed by the vtuber and a lesbian couple</span><br><span class=""quote"">&gt;new edgelord unit in town</span><br><span class=""quote"">&gt;Saori is going to jail for having a relationship with her mistress who is a minor</span><br><span class=""quote"">&gt;Aoi is a female again</span><br><span class=""quote"">&gt;Lilies are the new protagonists</span>', 'time': 1670747484, 'resto': 1058200}, {'no': 1068611, 'now': '12/11/22(Sun)05:41:16', 'name': 'Anonymous', 'com': 'Since we&#039;re getting the story questions out of the way, how come EN is missing so many non collab stories? What about the cards from those stories? I know EN was supposed to be same server as JP but after that was scrapped did they just not care to fill everything in?', 'time': 1670755276, 'resto': 1058200}, {'no': 1068613, 'now': '12/11/22(Sun)05:48:21', 'name': 'Anonymous', 'com': '<a href=""#p1068611"" class=""quotelink"">&gt;&gt;1068611</a><br>Aside from all the events of the JP&#039;s first half year, they just prioritized Rondo stories when playing catch-up.', 'time': 1670755701, 'resto': 1058200}, {'no': 1068614, 'now': '12/11/22(Sun)05:52:30', 'name': 'Anonymous', 'com': '<a href=""#p1068573"" class=""quotelink"">&gt;&gt;1068573</a><br>I bought them all and am still waiting on new packs. I rotate the hit effects every few events.', 'time': 1670755950, 'resto': 1058200}, {'no': 1068620, 'now': '12/11/22(Sun)06:17:16', 'name': 'Anonymous', 'com': '<a href=""#p1068573"" class=""quotelink"">&gt;&gt;1068573</a><br>I bought and am using Gekichumai packs', 'time': 1670757436, 'resto': 1058200}]"
9,838511,,,05/02/22(Mon)13:11:02,Anonymous,Buriedbornes,"<span class=""quote"">&gt;lose the whole run cuz of a shitty prayer</span><br>Pain. Had an amazing run until I got some ability, the name slips me, which changed a random permanent ability each time I leveled up. Lost my max limit break and went from dealing max damage to 9999 and lost to the F100 boss. Great game though kek.<br>Any other fun jobs to try out?",Screenshot_20220502_134937,.jpg,1080,1734,155,250,1651511462457,1651511462,PdtrRkZjQ1/Ca2LdzXTo+w==,238558,0,,buriedbornes,3,299,43,1670756437,0.0,0.0,294.0,41.0,"[{'no': 1068503, 'now': '12/11/22(Sun)00:18:18', 'name': 'Anonymous', 'com': '<a href=""#p1068343"" class=""quotelink"">&gt;&gt;1068343</a><br>Any? Bringing as amulet Influence would help getting your hands in more legendary items. If you are to bring another amulet, then Gambling pieces alongside 1 Alchemy piece at least. The problem with Gambling is they don&#039;t help that much in harder level dungeons, so it&#039;s common to roll Influence before completing your Eternal Dark overkill build.<br><br>Basically, you will be hitting for 9,999,999 damage 30 times per skill use and pooping hundreds of barriers as you do that. Since you&#039;re killing everything in a single turn, then Alert. Since you don&#039;t want to get petrified by your multihits and have so many barriers (if you are not equipping Vitality), then Blood Armor. Mirror would help not kys against reflect in PvP, but then you can play as Fairy or use Fairy Wings and relax. You may also consider Willpower instead of Limit Break (as rolling Umbilical Cord is a common thing). And consider not equipping Eternal Dark, but rolling it twice with Influence alone, depending on your job.', 'time': 1670735898, 'resto': 838511}, {'no': 1068537, 'now': '12/11/22(Sun)01:11:46', 'name': 'Anonymous', 'com': 'Goodnight, sweet prince.', 'filename': 'doubledeadgod', 'ext': '.jpg', 'w': 1080, 'h': 2160, 'tn_w': 62, 'tn_h': 125, 'tim': 1670739106240275, 'time': 1670739106, 'md5': 'rt5vDruPvDlQAqnxtaagBg==', 'fsize': 548681, 'resto': 838511}, {'no': 1068546, 'now': '12/11/22(Sun)02:02:39', 'name': 'Anonymous', 'com': '<a href=""#p1068503"" class=""quotelink"">&gt;&gt;1068503</a><br>Thank you anon', 'time': 1670742159, 'resto': 838511}, {'no': 1068576, 'now': '12/11/22(Sun)03:25:23', 'name': 'Anonymous', 'com': '<a href=""#p1068343"" class=""quotelink"">&gt;&gt;1068343</a><br>Eternal Dark *is* the build lol<br><br>Dissolve or Black Hole are decent amulets to take, I prefer Dissolve since you will probably encounter every &quot;stat = HP&quot; thing and/or Almighty. Anything is good because you&#039;ll get pretty much every good Legendary trait at some point. Just bring safety parts/contracts or movement parts/contracts, or you could even go Party Time, stick it on Dog, and have an all in one farming machine. I&#039;ve done that a couple times and that&#039;s how I farmed all of the Disaster modifiers like One Rope or Transparent while also farming 100k Fragments of Death. You definitely want Gamblings, though, and Scavenger is probably one of the better classes to stick it on if you aren&#039;t using Dog or something else to specifically farm stuff. Scavenger is a good &quot;let&#039;s explore Eternal Dark&quot; class', 'time': 1670747123, 'resto': 838511}, {'no': 1068616, 'now': '12/11/22(Sun)06:00:37', 'name': 'Anonymous', 'com': '<a href=""#p1068576"" class=""quotelink"">&gt;&gt;1068576</a><br>I&#039;ll definitely try it with scavenger and dog, thank you anon', 'filename': '1663923153523', 'ext': '.jpg', 'w': 720, 'h': 720, 'tn_w': 125, 'tn_h': 125, 'tim': 1670756437166834, 'time': 1670756437, 'md5': 'QTNdp0gewl5QTlUSeJsaQA==', 'fsize': 340970, 'resto': 838511}]"
