,no,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,bumplimit,imagelimit,semantic_url,custom_spoiler,replies,images,omitted_posts,omitted_images,last_replies,last_modified,trip
0,52589829,12/10/22(Sat)17:14:11,Anonymous,"/rheg/ ROM Hacking, Pokémon Essentials and Fan Game Development General","Bringing back the forgotten edition!<br><br>Notable Games:<br><span class=""quote"">&gt;https://pastebin.com/DTmcKFDe</span><br><br>ROM Hacking:<br><span class=""quote"">&gt;Making a GBA ROM hack: https://pastebin.com/bvSkBkev</span><br><span class=""quote"">&gt;Gen 4-7 tools: https://pastebin.com/WvTzcdPR</span><br><span class=""quote"">&gt;Disassemblies/Decompilations: https://github.com/pret/</span><br><span class=""quote"">&gt;US Platinum source: https://github.com/gainax3/retsam_0<wbr>0jupc</span><br><br>Pokémon Essentials<br><span class=""quote"">&gt;Download (v20.1): https://www.mediafire.com/file/nbpd<wbr>2yhgtp32883</span><br><span class=""quote"">&gt;V20.1 Hotfixes: https://reliccastle.com/resources/9<wbr>68/</span><br><span class=""quote"">&gt;Changelog: https://essentialsdocs.fandom.com/w<wbr>iki/Change_log</span><br><span class=""quote"">&gt;Wiki: https://essentialsdocs.fandom.com/w<wbr>iki/Essentials_Docs_Wiki</span><br><br>Assets:<br><span class=""quote"">&gt;Tilesets: https://www.mediafire.com/download/<wbr>sd99pug37y4v4se/Ziddy%27s+DS+Style+<wbr>Tilesets+RMXP+.rar</span><br><span class=""quote"">&gt;Archived asset library: https://rheg.booru.org/</span><br><span class=""quote"">&gt;WIP Gen 5 tiles: https://imgur.com/a/CiudS</span><br><span class=""quote"">&gt;FireRed in RPG Maker: https://reliccastle.com/resources/1<wbr>93/</span><br><br>Notable fan game communities:<br><span class=""quote"">&gt;https://www.pokecommunity.com/foru<wbr>mdisplay.php?f=289</span><br><span class=""quote"">&gt;https://reliccastle.com/</span><br><span class=""quote"">&gt;https://www.romhacking.net/</span>",Screencap,.png,641,481,250,187,1670710451815724,1670710451,zMqamN8hk/MD4zrxDWlABA==,71370,0,0,0,rheg-rom-hacking-pokmon-essentials-and-fan-game,1,25,5,20.0,5.0,"[{'no': 52597080, 'now': '12/11/22(Sun)05:23:26', 'name': 'Anonymous', 'com': '<a href=""#p52596622"" class=""quotelink"">&gt;&gt;52596622</a><br>From what I know of Pokémon Fangames? Try either Snakewood or Insurgence.', 'time': 1670754206, 'resto': 52589829}, {'no': 52597102, 'now': '12/11/22(Sun)05:26:19', 'name': 'Anonymous', 'com': '<a href=""#p52596928"" class=""quotelink"">&gt;&gt;52596928</a><br>it&#039;s pretty much Kanto (and Johto) with some minor changes (new areas, somewhat different story)<br>the fusions definitely make up for the setting though', 'time': 1670754379, 'resto': 52589829}, {'no': 52597462, 'now': '12/11/22(Sun)06:48:49', 'name': 'Anonymous', 'com': 'Someone should make a rom hack where pokemon have six or eight move slots instead of four', 'time': 1670759329, 'resto': 52589829}, {'no': 52597487, 'now': '12/11/22(Sun)06:56:03', 'name': 'Anonymous', 'com': '<a href=""#p52597462"" class=""quotelink"">&gt;&gt;52597462</a><br>Be the change you want to see.', 'time': 1670759763, 'resto': 52589829}, {'no': 52597577, 'now': '12/11/22(Sun)07:14:02', 'name': 'Anonymous', 'com': 'romhacking is dead', 'time': 1670760842, 'resto': 52589829}]",1670760842,
1,52594987,12/11/22(Sun)00:34:06,Anonymous,/padt/ - Pokémon Anime Discussion Thread,"Infamous Autism Trio running away from Level 10 Spearows Edition<br><br><span class=""quote"">&gt;Livestream link (Fridays @ 9:55 AM UTC):</span><br>https://mov3.co/tvtokyo<br>https://www.twitch.tv/pokekalos<br><br><span class=""quote"">&gt;Latest episode:</span><br>https://nyaa.si/view/1611893 (1080p)<br>https://nyaa.si/view/1611892 (720p)<br><br>Next episode:<br><span class=""quote"">&gt;PM2019 136 - Satoshi and Go! Embark on a New Journey!! (December 16th)</span><br>https://www.tv-tokyo.co.jp/anime/po<wbr>cketmonster/episodes/<br><br>Future episodes:<br><span class=""quote"">&gt;TBA</span><br><br><span class=""quote"">&gt;Summaries, voice cast, etc.:</span><br>https://pastebin.com/pRWCDSsU<br><br><span class=""quote"">&gt;Previous episodes:</span><br>https://pastebin.com/CGSd907r<br><br><span class=""quote"">&gt;Pokémon Twilight Wings, PokéToons, Pokémon Evolutions, and Hisuian Snow subs:</span><br>https://pastebin.com/gkJSXkbL<br><br><span class=""quote"">&gt;Movies:</span><br>https://pastebin.com/aftNceDW<br><br><span class=""quote"">&gt;M23: Coco</span><br>https://nyaa.si/view/1418317 (1080p)<br>https://nyaa.si/view/1418316 (720p)<br><br><span class=""quote"">&gt;Specials and Audio Dramas:</span><br>https://pastebin.com/BM8SC2zU<br><br><span class=""quote"">&gt;Music, manga, and more:</span><br>https://pastebin.com/gXfZtrrJ<br><br>Previous: <a href=""/vp/thread/52591749#p52591749"" class=""quotelink"">&gt;&gt;52591749</a>",Fjhz0OhaMAAo4vp,.jpg,1920,1080,250,140,1670736846236424,1670736846,LTANiqT6t7RSyYKm9l8jPQ==,963335,0,0,0,padt-pokmon-anime-discussion-thread,1,163,37,158.0,35.0,"[{'no': 52597542, 'now': '12/11/22(Sun)07:06:14', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;Chinese leakers already watched 136</span><br><span class=""quote"">&gt;No leaks</span>', 'filename': '1467003703454', 'ext': '.png', 'w': 234, 'h': 200, 'tn_w': 125, 'tn_h': 106, 'tim': 1670760374156943, 'time': 1670760374, 'md5': '2apMZUjsntCWQstXp8Bqdw==', 'fsize': 22051, 'resto': 52594987}, {'no': 52597543, 'now': '12/11/22(Sun)07:06:41', 'name': 'Anonymous', 'com': '<a href=""#p52597529"" class=""quotelink"">&gt;&gt;52597529</a><br>Of course the SM character gets the bigger focus. OF COURSE.<br>And look at how badly they drew Serena.<br>The SM staff are a bunch of vengeful idiots.', 'time': 1670760401, 'resto': 52594987}, {'no': 52597554, 'now': '12/11/22(Sun)07:09:20', 'name': 'Anonymous', 'com': '<a href=""#p52597529"" class=""quotelink"">&gt;&gt;52597529</a><br>I&#039;m just glad we got to see Regina one last time.', 'filename': '[Some-Stuffs]_Pocket_Monsters_(2019)_087_(1080p)_[E3513A15].mkv_snapshot_19.01.224', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670760560152996, 'time': 1670760560, 'md5': 'PQBjy8BIJens02ulCUlVbQ==', 'fsize': 157165, 'resto': 52594987}, {'no': 52597558, 'now': '12/11/22(Sun)07:10:22', 'name': 'Anonymous', 'com': '<a href=""#p52597554"" class=""quotelink"">&gt;&gt;52597554</a><br>Built for Goh.', 'time': 1670760622, 'resto': 52594987}, {'no': 52597576, 'now': '12/11/22(Sun)07:13:35', 'name': 'Anonymous', 'com': '^Sounds very good.<br><br>Serena should quit before Nemo-chan finds out. Nemo does not share.', 'time': 1670760815, 'resto': 52594987}]",1670760815,
2,52592508,12/10/22(Sat)20:54:18,Anonymous,,"Genwunners are the biggest losers in the pokemon franchise, I wish they would just shut up.",77a,.png,952,1782,133,250,1670723658791585,1670723658,pUkYpHR4GVyIBjgKR2CxIQ==,246532,0,0,0,genwunners-are-the-biggest-losers-in-the-pokemon,1,43,5,38.0,5.0,"[{'no': 52596575, 'now': '12/11/22(Sun)03:39:06', 'name': 'Anonymous', 'com': '<a href=""#p52592692"" class=""quotelink"">&gt;&gt;52592692</a><br><span class=""quote"">&gt;The corocoro reveals had me hyped back in the summer of 06</span><br>i miss those days so much…', 'time': 1670747946, 'resto': 52592508}, {'no': 52597465, 'now': '12/11/22(Sun)06:49:48', 'name': 'Anonymous', 'com': '<a href=""#p52594842"" class=""quotelink"">&gt;&gt;52594842</a><br>Maybe it would&#039;ve pass out better if it was a Diancie-Carbink Stituation? (Also Phione and Manaphy should&#039;ve been like that in the first place.)', 'time': 1670759388, 'resto': 52592508}, {'no': 52597517, 'now': '12/11/22(Sun)07:02:43', 'name': 'Anonymous', 'com': '<a href=""#p52592508"" class=""quotelink"">&gt;&gt;52592508</a><br><span class=""quote"">&gt;Alright, ladies. Strip.</span><br><span class=""quote"">&gt;hitmonchan</span><br><s>based</s>', 'time': 1670760163, 'resto': 52592508}, {'no': 52597551, 'now': '12/11/22(Sun)07:08:14', 'name': 'Anonymous', 'com': '<a href=""#p52592517"" class=""quotelink"">&gt;&gt;52592517</a><br>Kys genwunner you dont run anything<br>Go outside and get laid like we juniors do', 'time': 1670760494, 'resto': 52592508}, {'no': 52597575, 'now': '12/11/22(Sun)07:13:31', 'name': 'Anonymous', 'com': '<a href=""#p52592508"" class=""quotelink"">&gt;&gt;52592508</a><br>You forgot the golden rule : always discard the opinion of a pokemon fan about pokemon.', 'time': 1670760811, 'resto': 52592508}]",1670760811,
3,52586112,12/10/22(Sat)11:28:27,Anonymous,/shw/ Shiny Hunt Weekend,"<span class=""quote"">&gt;What are you currently hunting?</span><br><br><span class=""quote"">&gt;How are you hunting it?</span><br><br><span class=""quote"">&gt;Previous successes?</span><br><br><span class=""quote"">&gt;Did you clone your Apricorn balls?</span><br><br><span class=""quote"">&gt;Any shiny fails you&#039;d like to discuss?</span><br><br>Useful Links<br><br><span class=""quote"">&gt;Encounter Calculator (Up to Gen 7)</span><br>https://github.com/AngefloSH/Pokemo<wbr>nEncCalc/releases<br><br><span class=""quote"">&gt;Catch Rate Calculator</span><br>https://www.dragonflycave.com/calcu<wbr>lators/gen-iii-iv-catch-rate<br><br><span class=""quote"">&gt;Encounter Trackers</span><br><br><span class=""quote"">&gt;IOS &amp; Google Play - Pokétch: Shiny Counter</span><br>https://apps.apple.com/us/app/pok%C<wbr>3%A9tch-shiny-counter/id1438600685<br>https://play.google.com/store/apps/<wbr>details?id=com.poketch.app&amp;hl=en_US<wbr>&amp;gl=US<br><span class=""quote"">&gt;Browser Based Shiny Tracker</span><br>https://shinytrack.night.coffee/<br><br><span class=""quote"">&gt;Gen 2 Shiny Breeding Guide</span><br>http://noseclub.bluwiikoon.art/gscs<wbr>hinyeggs.shtml<br><br><span class=""quote"">&gt;Gen 2 DV Calculator</span><br>http://psypokes.com/gsc/dv.php<br><br><span class=""quote"">&gt;Gen 9 Sandwich Simulator</span><br>https://cecilbowen.github.io/pokemo<wbr>n-sandwich-simulator/",2022120315321700,.jpg,480,270,250,140,1670689707531057,1670689707,Z8QNv4QKDGI9iVjwo/oNCA==,20110,0,0,0,shw-shiny-hunt-weekend,1,302,82,297.0,82.0,"[{'no': 52597501, 'now': '12/11/22(Sun)06:59:17', 'name': 'Anonymous', 'com': '<a href=""#p52597478"" class=""quotelink"">&gt;&gt;52597478</a><br>There are no rules except Roaring moon is pain to hunt while its easy to get 3 Valiants in same sandwich.', 'time': 1670759957, 'resto': 52586112}, {'no': 52597533, 'now': '12/11/22(Sun)07:05:22', 'name': 'Anonymous', 'com': '<a href=""#p52597501"" class=""quotelink"">&gt;&gt;52597501</a><br>What about shiny Flunder mane? I see people looking down the fucking nose at it', 'time': 1670760322, 'resto': 52586112}, {'no': 52597545, 'now': '12/11/22(Sun)07:07:18', 'name': 'Anonymous', 'com': '<a href=""#p52597533"" class=""quotelink"">&gt;&gt;52597533</a><br>Thats also easy as fuck to get. To be honest they all are.', 'time': 1670760438, 'resto': 52586112}, {'no': 52597564, 'now': '12/11/22(Sun)07:11:55', 'name': 'Anonymous', 'com': 'Shiny Azurill, whats ball I should use guys?', 'time': 1670760715, 'resto': 52586112}, {'no': 52597574, 'now': '12/11/22(Sun)07:13:25', 'name': 'Anonymous', 'com': '<a href=""#p52597564"" class=""quotelink"">&gt;&gt;52597564</a><br>Level ball<br>Luxury ball', 'time': 1670760805, 'resto': 52586112}]",1670760805,
4,52593094,12/10/22(Sat)21:43:45,Anonymous,,"<span class=""quote"">&gt;You&#039;re out and about, minding your own business</span><br><span class=""quote"">&gt;Some sickos get ahold of you and turn you into robotic tranny version of yourself for their amusement</span><br>What do you do?",Fi-JoyCUAAAbrFB,.jpg,1290,1023,250,198,1670726625280387,1670726625,Dr9J1wdMX0DqqkoXhMRjTw==,253354,0,0,0,youre-out-and-about-minding-your-own-business,1,26,4,21.0,4.0,"[{'no': 52596187, 'now': '12/11/22(Sun)02:35:18', 'name': 'Anonymous', 'com': '<a href=""#p52595698"" class=""quotelink"">&gt;&gt;52595698</a><br><span class=""quote"">&gt;Gardevoir gets a cool cape</span><br><span class=""quote"">&gt;Galade gets a fucking tutu </span><br>Honestly Galade just feels like he’s trying too hard and didn’t realize how stupid he looked', 'time': 1670744118, 'resto': 52593094}, {'no': 52596279, 'now': '12/11/22(Sun)02:51:45', 'name': 'Anonymous', 'com': '<a href=""#p52596101"" class=""quotelink"">&gt;&gt;52596101</a><br>Named by scientists based on their description. Not real names, just code names they gave them tentatively. I more hate the fact all the “future” mons are all robots instead of speculative evolution. I wanted to see a Dragonair that didn’t fully evolve because it’s growth is stunted by pollution or something, volcorona that shines brighter because volcanos blotted out the sun again and it needed to be brighter for people, hydreigan that evolved to look like futuristic weaponry, ice type Garchomp because it’s time exists in a little ice age, shit like that. Instead everything is a fucking robot.', 'time': 1670745105, 'resto': 52593094}, {'no': 52596383, 'now': '12/11/22(Sun)03:09:00', 'name': 'Anonymous', 'com': '<a href=""#p52596279"" class=""quotelink"">&gt;&gt;52596279</a><br>shit, those are cool ideas<br>if it was literally just like Iron Valiant being a robot, that&#039;d have been sick as fuck<br>I fucking love robot shit, but it shouldn&#039;t have been all fucking robots.', 'time': 1670746140, 'resto': 52593094}, {'no': 52596738, 'now': '12/11/22(Sun)04:07:52', 'name': 'Anonymous', 'com': '<a href=""#p52596279"" class=""quotelink"">&gt;&gt;52596279</a><br>Sada is autistic for dinosaurs, hence all &quot;past&quot; paradox pokemon being dinosaurs in some ways (and Flintstone-esque cavemen in Sandy Shocks&#039;s case).<br>Turo is autistic for robots, hence all &quot;future&quot; paradox pokemon being robots.<br>That&#039;s my interpretation following imagination theory.', 'time': 1670749672, 'resto': 52593094}, {'no': 52597573, 'now': '12/11/22(Sun)07:13:24', 'name': 'Anonymous', 'com': '<a href=""#p52596383"" class=""quotelink"">&gt;&gt;52596383</a><br>They&#039;re not even real robots, since they still need food, interact with others, and so on. They just look like robots.<br><br>Also both Koraidon and Miraidon have codenames too: Winged King and Iron Serpent, which fits the codenames of both types of paradox mons. The others just don&#039;t have modern names yet.', 'time': 1670760804, 'resto': 52593094}]",1670760804,
5,52596007,12/11/22(Sun)02:08:00,Anonymous,,why you pedos play as 10 years olds in jrpg?,1670722825567872,.jpg,1080,1040,250,240,1670742480624242,1670742480,Z5F2SkBprmyUBwRwuNeFZQ==,136076,0,0,0,why-you-pedos-play-as-10-years-olds-in-jrpg,1,15,4,10.0,4.0,"[{'no': 52597397, 'now': '12/11/22(Sun)06:27:01', 'name': 'Anonymous', 'com': '<a href=""#p52596007"" class=""quotelink"">&gt;&gt;52596007</a><br>Why are you on a board talking about games where you play as 10 year olds?', 'time': 1670758021, 'resto': 52596007}, {'no': 52597499, 'now': '12/11/22(Sun)06:58:47', 'name': 'Anonymous', 'com': '<a href=""#p52597082"" class=""quotelink"">&gt;&gt;52597082</a><br>by anime logic she’s not black, she’s japanese with a tan like nagatoro', 'time': 1670759927, 'resto': 52596007}, {'no': 52597504, 'now': '12/11/22(Sun)06:59:58', 'name': 'Anonymous', 'com': '<a href=""#p52597239"" class=""quotelink"">&gt;&gt;52597239</a><br>But corviknight is clearly black colored', 'time': 1670759998, 'resto': 52596007}, {'no': 52597550, 'now': '12/11/22(Sun)07:08:12', 'name': 'Anonymous', 'com': '<a href=""#p52597499"" class=""quotelink"">&gt;&gt;52597499</a><br>Paldea is a lot of Brown characters which is based on Latin/Spanish culture which also has a lot of Brown People, she&#039;s not Japanese, she&#039;s a Brown Spanish Girl.', 'time': 1670760492, 'resto': 52596007}, {'no': 52597572, 'now': '12/11/22(Sun)07:13:21', 'name': 'Anonymous', 'com': '<a href=""#p52596017"" class=""quotelink"">&gt;&gt;52596017</a><br>I KNEEL', 'time': 1670760801, 'resto': 52596007}]",1670760801,
6,52597515,12/11/22(Sun)07:02:40,Anonymous,,"Route 44, Blackthorn City, and the northern half of Route 45 should&#039;ve been snowy.<br><br>Mahogany Town, Route 43, and the Lake of Rage should&#039;ve had patches of snow on the ground and in the trees like what they did in Platinum.<br><br>It would&#039;ve given Johto a bit more variety in the terrain, and given them an excuse to fix the Pokémon distribution too. Also, I just think Blackthorn City isn&#039;t as impactful as other 8th Gym cities like Sunyshore or Opelucid. They should&#039;ve put in stone roads at least.",20221211_115903,.jpg,2266,1744,250,192,1670760160729022,1670760160,lADqzrat1Q1PBDN5DGXaOA==,608483,0,0,0,route-44-blackthorn-city-and-the-northern-half-of,1,4,0,,,"[{'no': 52597535, 'now': '12/11/22(Sun)07:05:57', 'name': 'Anonymous', 'com': 'Also, I hope they diffrentiate Azalea Town and Blackthorn City&#039;s theme in the Johto remakes, like how they did Ecruteak and Cianwood in HGSS.<br><br>https://youtu.be/SOILKoB334E<br>https://youtu.be/olesQiRpL8E<br><br>But knowing GF we&#039;ll have to rely on ROM hacking as usual.', 'time': 1670760357, 'resto': 52597515}, {'no': 52597549, 'now': '12/11/22(Sun)07:08:09', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;zoomer has terrible takes about johto</span><br>checks out', 'time': 1670760489, 'resto': 52597515}, {'no': 52597555, 'now': '12/11/22(Sun)07:09:35', 'name': 'Anonymous', 'com': '<a href=""#p52597549"" class=""quotelink"">&gt;&gt;52597549</a><br>Why don&#039;t you want Johto to be better? Johto is my favourite region and Crystal my favourite game, and I think they&#039;re near-perfection, but there&#039;s always ways to improve it.', 'time': 1670760575, 'resto': 52597515}, {'no': 52597571, 'now': '12/11/22(Sun)07:13:14', 'name': 'Anonymous', 'com': '<a href=""#p52597555"" class=""quotelink"">&gt;&gt;52597555</a><br><span class=""quote"">&gt;place where dragon and ground pokemon live should be snowy, this would be an improvement because shitnoh did it guys, trust me</span>', 'time': 1670760794, 'resto': 52597515}]",1670760794,
7,52594461,12/10/22(Sat)23:50:06,Anonymous,,"ITT: you are starting your adventure and you have a choice to start with any non-legendary, first stage/baby mon as your ace. Who you got?",F890o,.png,480,355,250,184,1670734206248422,1670734206,1c66ZvrPHMdLwQmmoEA+hg==,292847,0,0,0,itt-you-are-starting-your-adventure-and-you-have,1,123,55,118.0,52.0,"[{'no': 52597426, 'now': '12/11/22(Sun)06:35:55', 'name': 'Anonymous', 'com': '<a href=""#p52594461"" class=""quotelink"">&gt;&gt;52594461</a><br>Spiritomb', 'time': 1670758555, 'resto': 52594461}, {'no': 52597466, 'now': '12/11/22(Sun)06:50:07', 'name': 'Anonymous', 'com': 'para mi, el gato', 'filename': '8333CBE5-C049-49B9-9916-39453479F9DF', 'ext': '.jpg', 'w': 850, 'h': 1201, 'tn_w': 88, 'tn_h': 124, 'tim': 1670759407137252, 'time': 1670759407, 'md5': 'a0iuCp7myNrubdisqhfTNw==', 'fsize': 202195, 'resto': 52594461}, {'no': 52597470, 'now': '12/11/22(Sun)06:51:23', 'name': 'Anonymous', 'com': 'If you asked me before Gen 9 I probably would have chosen vanillite or something, but now I&#039;d have to go with pooper.', 'filename': '1666560108956', 'ext': '.jpg', 'w': 1000, 'h': 725, 'tn_w': 125, 'tn_h': 90, 'tim': 1670759483300551, 'time': 1670759483, 'md5': 'l5t+4Br6dcoJkeGrLFnjeQ==', 'fsize': 50029, 'resto': 52594461}, {'no': 52597556, 'now': '12/11/22(Sun)07:09:55', 'name': 'Anonymous', 'com': '<a href=""#p52594461"" class=""quotelink"">&gt;&gt;52594461</a><br>Bagon. Help my little bro fulfill his dream of soaring the skies.', 'filename': 'C3A4C0FF-E306-44BC-A7B7-D754700A0488', 'ext': '.jpg', 'w': 1110, 'h': 692, 'tn_w': 125, 'tn_h': 77, 'tim': 1670760595110524, 'time': 1670760595, 'md5': 'NIYkpSE32UjQIO9uyygZag==', 'fsize': 180641, 'resto': 52594461}, {'no': 52597570, 'now': '12/11/22(Sun)07:13:10', 'name': 'Anonymous', 'com': '<a href=""#p52597556"" class=""quotelink"">&gt;&gt;52597556</a><br>I always loved this guys lore. His like the Kelly Johnson of Pokemon.', 'time': 1670760790, 'resto': 52594461}]",1670760790,
8,52590679,12/10/22(Sat)18:19:57,Anonymous,Pokémon reactions thread,,Electrode,.png,750,650,250,216,1670714397861129,1670714397,3jZ+NvrKIQuLBol/Qpmt5g==,64833,0,0,0,pokmon-reactions-thread,1,25,24,20.0,19.0,"[{'no': 52597299, 'now': '12/11/22(Sun)06:06:41', 'name': 'Anonymous', 'filename': '1670555316901165', 'ext': '.png', 'w': 1280, 'h': 1239, 'tn_w': 125, 'tn_h': 120, 'tim': 1670756801346944, 'time': 1670756801, 'md5': 'K6nm4U4BrqgyxNug8t2cRA==', 'fsize': 670568, 'resto': 52590679}, {'no': 52597376, 'now': '12/11/22(Sun)06:22:41', 'name': 'Anonymous', 'filename': '1670724738673838', 'ext': '.jpg', 'w': 1283, 'h': 1324, 'tn_w': 121, 'tn_h': 125, 'tim': 1670757761473016, 'time': 1670757761, 'md5': 'nP8jolywA6FSvHyCMmxDXQ==', 'fsize': 173146, 'resto': 52590679}, {'no': 52597378, 'now': '12/11/22(Sun)06:23:31', 'name': 'Anonymous', 'filename': 'a bit wonky', 'ext': '.png', 'w': 190, 'h': 219, 'tn_w': 108, 'tn_h': 125, 'tim': 1670757811352673, 'time': 1670757811, 'md5': 'SvWYtYrERBQeJYpG3QNdTQ==', 'fsize': 95188, 'resto': 52590679}, {'no': 52597383, 'now': '12/11/22(Sun)06:24:32', 'name': 'Anonymous', 'com': 'im not a bara fag please understand', 'filename': 'not a bara fag. i just like gators', 'ext': '.jpg', 'w': 640, 'h': 480, 'tn_w': 125, 'tn_h': 93, 'tim': 1670757872705498, 'time': 1670757872, 'md5': 'NKqMlQ+rKEsW3aNgfOx5rg==', 'fsize': 41495, 'resto': 52590679}, {'no': 52597569, 'now': '12/11/22(Sun)07:12:55', 'name': 'Anonymous', 'filename': 'slumpy', 'ext': '.png', 'w': 558, 'h': 678, 'tn_w': 102, 'tn_h': 125, 'tim': 1670760775778504, 'time': 1670760775, 'md5': 'W9oSCZsV9gLT1FAMeH7keg==', 'fsize': 532618, 'resto': 52590679}]",1670760775,
9,52583616,12/10/22(Sat)04:45:35,Anonymous,/TCC/ Trading Card Collectors,WOTC Edition<br><br>Cant wait for the first SV set to be released lads... I think im actually going to try and complete the set in a binder,1670457916076935,.jpg,387,516,187,250,1670665535607060,1670665535,+zWCnTqM16FA+JJvtOZWtg==,102479,0,0,0,tcc-trading-card-collectors,1,85,24,80.0,24.0,"[{'no': 52597384, 'now': '12/11/22(Sun)06:24:46', 'name': 'Anonymous', 'com': '<a href=""#p52597366"" class=""quotelink"">&gt;&gt;52597366</a><br>unfriendly because the players have been playing for 15 years and having boring standardized playstyle. similar to most games these days. probably why streamers are so popular with zoomers because only no life millennials played these games for a decade and that is their life. that is it', 'time': 1670757886, 'resto': 52583616}, {'no': 52597396, 'now': '12/11/22(Sun)06:26:56', 'name': 'Anonymous', 'com': '<a href=""#p52597384"" class=""quotelink"">&gt;&gt;52597384</a><br>Sounds like this is more of a you problem.', 'time': 1670758016, 'resto': 52583616}, {'no': 52597413, 'now': '12/11/22(Sun)06:32:18', 'name': 'Anonymous', 'com': '<a href=""#p52597396"" class=""quotelink"">&gt;&gt;52597396</a><br><span class=""quote"">&gt;just use these decks that make your goyscore go up on this game</span><br>nty', 'time': 1670758338, 'resto': 52583616}, {'no': 52597440, 'now': '12/11/22(Sun)06:40:50', 'name': 'Anonymous', 'com': '<a href=""#p52597366"" class=""quotelink"">&gt;&gt;52597366</a><br><span class=""quote"">&gt;they have to give you half of the format for you to even pick the game up</span><br>And you don&#039;t see the problem here?', 'time': 1670758850, 'resto': 52583616}, {'no': 52597567, 'now': '12/11/22(Sun)07:12:35', 'name': 'Anonymous', 'com': 'They should being back theme decks. I think it was a mistake to remove the format. It was more like chess, with stratagy and criticle thinking needed to play. Standard is just whoever can get their epic legendary whatchamacallit on the table first wins, its boring and games go too fast.', 'time': 1670760755, 'resto': 52583616}]",1670760755,
