,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,bumplimit,imagelimit,trip
0,6872254,1.0,1.0,03/11/17(Sat)16:09:30,The /wg/ Bros,Welcome to /wg/ - Wallpapers/General,"New to /wg/? Lets get you started.<br>~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~ ~<br>1) Look before you post<br>2) Post more than one, sharing is caring<br>3) We already have an Image Modification thread<br>~ ~ (ALL colorsplash, watermarks, photoshop requests)<br>4) We already have a Desktop thread<br>~ ~ (ALL desktops, rating, and theme/hax questions)<br>5) Share anything WP related!<br>~ ~ (NO low res/quality, illegal content;<br>~ ~ ~ anime goes in /w/, this is not /r/)<br><br>We on /wg/ love WPs and we love sharing them.<br>~ ~ ~ That&#039;s why we&#039;re here.<br>~ ~ ~ ~ ~ Now lets do it!",stickyop,.jpg,840,672,250,200,1489266570954,1489266570,n2gHJOSc1QFSRNUjlcybBw==,224079,0,welcome-to-wg-wallpapersgeneral,4,3,3.0,2.0,"[{'no': 6872260, 'now': '03/11/17(Sat)16:14:36', 'name': 'The /wg/ Bros', 'com': '~New Visitors Please Read~<br><br>This guide will tell you all you need to know to enjoy your stay on /wg/. This guide is for YOUR benefit so don&#039;t tl;dr. This is good stuff!<br><br>ENJOY YOUR STAY<br><br>~ ~ ~ ~ ~ ~ ~ ~ , The /wg/ Bros<br><br><br>~ Read inside for more helpful tips, ~<br>WallPapers, and desktop customization!', 'filename': 'newcomer guide', 'ext': '.png', 'w': 3000, 'h': 1688, 'tn_w': 125, 'tn_h': 70, 'tim': 1489266876258, 'time': 1489266876, 'md5': 'eEVSUY0qmgDrNIHA2c6agQ==', 'fsize': 1671871, 'resto': 6872254}]",1489266886,,,
1,7895038,,,05/04/22(Wed)01:28:05,Anonymous,,"New Star Wars because May the 4th<br><span class=""quote"">&gt;tfw you&#039;ll never study with Snips</span>",wallhaven-ymzlz7,.png,2560,1440,250,140,1651642085612,1651642085,0TE1cBu86R3FbpiRY5x+aQ==,2250562,0,new-star-wars-because-may-the-4th,200,150,195.0,147.0,"[{'no': 7950149, 'now': '12/05/22(Mon)04:22:29', 'name': 'Anonymous', 'filename': 'wallhaven-w8wyvr', 'ext': '.png', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670232149088702, 'time': 1670232149, 'md5': 'Q958Xn7+NChFQVBEWPE7NA==', 'fsize': 1546839, 'resto': 7895038}, {'no': 7950204, 'now': '12/05/22(Mon)11:18:16', 'name': 'Anonymous', 'filename': 'wallhaven-1p8v9w', 'ext': '.jpg', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670257096441334, 'time': 1670257096, 'md5': '9uWnFoLUr24dDbvsbS37BQ==', 'fsize': 302623, 'resto': 7895038}, {'no': 7951175, 'now': '12/10/22(Sat)12:52:19', 'name': 'Anonymous', 'com': '<a href=""#p7897575"" class=""quotelink"">&gt;&gt;7897575</a><br>love this braindead file name as if he isn&#039;t consistently the strongest force user shown in movies, shows, and comics. just in Kenobi he pulled a ship that size down and ripped the entire side off of it, then brought an inquisitor within an inch of her life with one hand', 'time': 1670694739, 'resto': 7895038}, {'no': 7951176, 'now': '12/10/22(Sat)12:58:56', 'name': 'Anonymous', 'com': '<a href=""#p7919182"" class=""quotelink"">&gt;&gt;7919182</a><br>KYS', 'time': 1670695136, 'resto': 7895038}, {'no': 7951329, 'now': '12/11/22(Sun)06:34:26', 'name': 'Anonymous', 'filename': 'd6pgpj', 'ext': '.jpg', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670758466508095, 'time': 1670758466, 'md5': 'nOvw+Gj1zK0VG28qBhFMGA==', 'fsize': 4916103, 'resto': 7895038}]",1670758466,0.0,0.0,
2,7947165,,,11/21/22(Mon)21:14:37,Anonymous,Women in Videogames #21 &lt;3,"This thread is dedicated to Women and Girls in videogames and related media.<br><br>Last Thread: <a href=""/wg/thread/7932242#p7932242"" class=""quotelink"">&gt;&gt;7932242</a><br><br>Just follow the basics and post wallpapers (desktop or phone) that:<br>1) Have a female prominently pictured<br>2) Are videogame related in some way<br><br>Keep in mind:<br>3) Fanart, redesigns, gender swapping and crossovers are most welcome. Cosplayers, streamers, developers, and pro-gamers are also fair game.<br>4) Anime/Manga/Japanese style art is ok as long as it relates somehow to the topic (Women in Videogames).<br>5) Lewd, risqué, nudes, erotic, 18+ wallpapers are accepted as long as they are tasteful and comply with the general rules of the board. Please refrain from posting openly pornographic or shock content.<br><br>Have fun people! &lt;3",wivg - 21,.jpg,2560,1440,250,140,1669083277192870,1669083277,WvhNpsuTvTb60AmT1jeylg==,5475203,0,women-in-videogames-21-3,96,90,91.0,85.0,"[{'no': 7951144, 'now': '12/10/22(Sat)10:05:28', 'name': 'Anonymous', 'filename': '1661816113672170', 'ext': '.png', 'w': 3300, 'h': 1856, 'tn_w': 125, 'tn_h': 70, 'tim': 1670684728226996, 'time': 1670684728, 'md5': '5Ief244KOv6+o1qxg0PomA==', 'fsize': 2466355, 'resto': 7947165}, {'no': 7951224, 'now': '12/10/22(Sat)17:50:31', 'name': 'Anonymous', 'filename': '__samus_aran_metroid_and_1_more_drawn_by_xuuikie_ashe__a58c2a9379c14068b5ac88702f5f2206', 'ext': '.jpg', 'w': 1155, 'h': 721, 'tn_w': 125, 'tn_h': 78, 'tim': 1670712631260867, 'time': 1670712631, 'md5': 'lpMJ66X61+WcUZZSB+MlTg==', 'fsize': 130409, 'resto': 7947165}, {'no': 7951250, 'now': '12/10/22(Sat)21:54:56', 'name': 'Anonymous', 'filename': '1670641637547620m', 'ext': '.jpg', 'w': 1024, 'h': 695, 'tn_w': 125, 'tn_h': 84, 'tim': 1670727296568797, 'time': 1670727296, 'md5': 'A/ruLwxuZXgYjp3IOEVokg==', 'fsize': 83814, 'resto': 7947165}, {'no': 7951278, 'now': '12/11/22(Sun)02:08:22', 'name': 'Anonymous', 'filename': 'yande.re 912735 azu-taro dress link no_bra pointy_ears princess_zelda skirt_lift sword the_legend_of_zelda', 'ext': '.jpg', 'w': 1140, 'h': 960, 'tn_w': 125, 'tn_h': 105, 'tim': 1670742502215983, 'time': 1670742502, 'md5': 'E76Yi1AjtBClmevViJ1f0A==', 'fsize': 1064515, 'resto': 7947165}, {'no': 7951328, 'now': '12/11/22(Sun)06:12:50', 'name': 'Anonymous', 'filename': 'l358xy', 'ext': '.jpg', 'w': 2560, 'h': 3840, 'tn_w': 83, 'tn_h': 125, 'tim': 1670757170081800, 'time': 1670757170, 'md5': '5EY+k0yVyB/YNh/d9G/otQ==', 'fsize': 5899083, 'resto': 7947165}]",1670757170,0.0,0.0,
3,7947444,,,11/23/22(Wed)10:34:11,Anonymous,IMT #763 - THIS IS THE OFFICIAL IMAGE MODIFICATION THREAD,"Welcome to the IMT! We are here to help.<br>All wallpaper, and most image, modification requests are welcome, but within reason, as this is not <a href=""//boards.4chan.org/b/catalog#s=%2C"" class=""quotelink"">&gt;&gt;&gt;/b/,</a> <a href=""//boards.4chan.org/r/"" class=""quotelink"">&gt;&gt;&gt;/r/</a> or <a href=""//boards.4channel.org/w/catalog#s=imt"" class=""quotelink"">&gt;&gt;&gt;/w/imt</a>.<br><span class=""quote"">&gt; Requestor</span><br>• ALWAYS REVERSE IMAGE SEARCH before you ask us for help. See the /wg/ sticky.<br>• EXPLAIN YOUR REQUEST IN DETAIL. Details help us get you the image that you want.<br>• STATE SPECIFIC DESIRED IMAGE SIZE, (ex., 1920 x 1080). &quot;Bigger,&quot; &quot;higher,&quot; &quot;fit my phone,&quot; and the like, are NOT sizes.<br>• KNOW YOUR SCREEN RESOLUTION before you ask for help. Google/Bing/DDG Phone model + &quot;resolution&quot;.<br>• UPLOAD AND LINK to an image hosting site, such as https://catbox.moe/, if your image is too small to post. DO NOT add white space OR stretch/shrink your picture. Imgur is known to compress images, compromising quality.<br><span class=""quote"">&gt; All</span><br>• DO NOT post images unless they need to be modified or are the answer to a request.<br>• BE POLITE. Try to use proper spelling and grammar.<br>• CORRECT word choice (ex.: transparency/cut-out/render) is not as important as DETAILS in a request.<br>• DO NOT harass people. HELP when they ask for an edit or let others deal with the request.<br><span class=""quote"">&gt; Any questions?</span><br>• Just ask, you&#039;re bound to get at least one answer.<br>• Tools we use Photoshop, GIMP, Paint.NET, PIXLR, MSpaint, and luck...<br><span class=""quote"">&gt; 4chan Image/Thread Limitations</span><br>• Images SMALLER than 480x600 pixels DO NOT post. (1000x599 or 479x1000 will NOT work)<br>• Images LARGER than 6MB will NOT post.<br>• Supported file types are: GIF, JPG, PNG, WEBM<br>• Maximum file size allowed is 6 MB<br>• Thread Post Bump Limit - 300 +OP<br>• We recommend NOT posting NSFW images. /wg/ has always been SFW (ignoring the default Yotsuba theme). Moderators have started ENFORCING this rule.<br><span class=""quote"">&gt;Archived Threads</span><br>https://archive.nyafuu.org/wg/searc<wbr>h/text/IMT/type/op/<br><br>Previous thread: <a href=""/wg/thread/7939465#p7939465"" class=""quotelink"">&gt;&gt;7939465</a>",IMT#763,.jpg,1920,1080,250,140,1669217651647274,1669217651,J8nfinUxrRdj7YT0d9RF5Q==,750249,0,imt-763-this-is-the-official-image-modification,163,104,158.0,101.0,"[{'no': 7951279, 'now': '12/11/22(Sun)02:24:53', 'name': 'Anonymous', 'com': '<a href=""#p7950826"" class=""quotelink"">&gt;&gt;7950826</a>', 'filename': 'il_1140xN.2689661061_dctz', 'ext': '.jpg', 'w': 931, 'h': 1140, 'tn_w': 102, 'tn_h': 125, 'tim': 1670743493196234, 'time': 1670743493, 'md5': 'z6fYluYNR7wHXnRo3h+P6g==', 'fsize': 284487, 'resto': 7947444}, {'no': 7951280, 'now': '12/11/22(Sun)02:25:11', 'name': 'Anonymous', 'com': 'I&#039;m trying to copy an icon from windows.<br>https://files.catbox.moe/rtyjhf.png<wbr><br>Can someone replace any white pixels with transparency?', 'time': 1670743511, 'resto': 7947444}, {'no': 7951297, 'now': '12/11/22(Sun)03:48:39', 'name': 'Anonymous', 'com': '<a href=""#p7951195"" class=""quotelink"">&gt;&gt;7951195</a>', 'filename': '1670703236756386', 'ext': '.jpg', 'w': 2500, 'h': 1500, 'tn_w': 125, 'tn_h': 75, 'tim': 1670748519887476, 'time': 1670748519, 'md5': 'PvBYrfWcrxTDQxw+7lo7dw==', 'fsize': 750824, 'resto': 7947444}, {'no': 7951322, 'now': '12/11/22(Sun)05:27:35', 'name': 'Anonymous', 'com': '<a href=""#p7951280"" class=""quotelink"">&gt;&gt;7951280</a><br>https://files.catbox.moe/x8jrg3.png<wbr>', 'time': 1670754455, 'resto': 7947444}, {'no': 7951327, 'now': '12/11/22(Sun)05:59:41', 'name': 'Anonymous', 'com': '<a href=""#p7950419"" class=""quotelink"">&gt;&gt;7950419</a>', 'filename': '1670340306030953', 'ext': '.jpg', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670756381017381, 'time': 1670756381, 'md5': 'BSdaCJZdza2VvYIH/IZWZA==', 'fsize': 733151, 'resto': 7947444}]",1670756381,0.0,0.0,
4,7944964,,,11/10/22(Thu)16:48:36,Anonymous,Nudes/lewds of non 3-D girls no futa,"Previous thread:<br><span class=""deadlink"">&gt;&gt;7930574</span>",Konachan.com - 349506 ass blue_eyes breasts brown_hair fate_(series) fate_stay_night gomashio_ponz jpeg_artifacts nipples nude third-party_edit tohsaka_rin wet,.jpg,2250,1800,250,200,1668116916283706,1668116916,RRNbmIzA0L2COWdzFYacnw==,453579,0,nudeslewds-of-non-3d-girls-no-futa,132,108,127.0,104.0,"[{'no': 7951055, 'now': '12/09/22(Fri)20:56:50', 'name': 'Anonymous', 'filename': 'q2p8dr', 'ext': '.png', 'w': 3840, 'h': 2160, 'tn_w': 125, 'tn_h': 70, 'tim': 1670637410962059, 'time': 1670637410, 'md5': '8LQQpbNnl1J3R5U94sYVKg==', 'fsize': 1681211, 'resto': 7944964}, {'no': 7951131, 'now': '12/10/22(Sat)09:00:18', 'name': 'Anonymous', 'filename': '4C311FBE-E819-4C65-9674-A82D1AB3D6F8', 'ext': '.jpg', 'w': 1365, 'h': 2048, 'tn_w': 83, 'tn_h': 125, 'tim': 1670680818104682, 'time': 1670680818, 'md5': 'Uo6NKIelSwGymKJoLuJmoQ==', 'fsize': 244528, 'resto': 7944964}, {'no': 7951248, 'now': '12/10/22(Sat)21:13:24', 'name': 'Anonymous', 'filename': 'Konachan.com - 350608 ass black_eyes black_hair bottomless breasts chainsaw_man cleavage erect_nipples eyepatch no_bra short_hair signed sketch zefrableu', 'ext': '.jpg', 'w': 2100, 'h': 1500, 'tn_w': 125, 'tn_h': 89, 'tim': 1670724804448190, 'time': 1670724804, 'md5': 'rRFwO4YYuT3qoBWwsgumgw==', 'fsize': 1442645, 'resto': 7944964}, {'no': 7951281, 'now': '12/11/22(Sun)02:52:58', 'name': 'Anonymous', 'com': '<a href=""#p7951131"" class=""quotelink"">&gt;&gt;7951131</a><br>That was an awesome trend', 'time': 1670745178, 'resto': 7944964}, {'no': 7951326, 'now': '12/11/22(Sun)05:47:39', 'name': 'Anonymous', 'filename': '1koqzg', 'ext': '.png', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670755659298209, 'time': 1670755659, 'md5': '58ayOFY7+q9gWi46Blpa7g==', 'fsize': 673522, 'resto': 7944964}]",1670755659,0.0,0.0,
5,7951093,,,12/10/22(Sat)01:32:26,Anonymous,,"Hey /wg/ today is my bday, post your 24th wallpaper",0024,.jpg,1920,1102,250,143,1670653946157280,1670653946,o8wzSKIiYSDJ25tik8yGvQ==,553293,0,hey-wg-today-is-my-bday-post-your-24th-wallpaper,7,7,2.0,2.0,"[{'no': 7951118, 'now': '12/10/22(Sat)06:27:45', 'name': 'Anonymous', 'com': '24th', 'filename': '1629169340117', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670671665665260, 'time': 1670671665, 'md5': 'S27qZfgz/rUg4FKTKdRsLw==', 'fsize': 698308, 'resto': 7951093}, {'no': 7951130, 'now': '12/10/22(Sat)08:40:41', 'name': 'Anonymous', 'com': 'Happy Birthday', 'filename': '1267898534', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670679641085123, 'time': 1670679641, 'md5': 'tEabrQlz6Ie9Maw6eqkutQ==', 'fsize': 119892, 'resto': 7951093}, {'no': 7951294, 'now': '12/11/22(Sun)03:31:48', 'name': 'Anonymous', 'com': '24th from the beginning', 'filename': 'Antarctica', 'ext': '.jpg', 'w': 3600, 'h': 2086, 'tn_w': 125, 'tn_h': 72, 'tim': 1670747508956412, 'time': 1670747508, 'md5': 'BxNTTl8/zE6QcWdx24uXPQ==', 'fsize': 965965, 'resto': 7951093}, {'no': 7951295, 'now': '12/11/22(Sun)03:33:33', 'name': 'Anonymous', 'com': '24th from the end', 'filename': 'Urban Hideout', 'ext': '.gif', 'w': 1500, 'h': 900, 'tn_w': 125, 'tn_h': 75, 'tim': 1670747613528905, 'time': 1670747613, 'md5': '0yzsL9Z5ru1B6ZKZz4iG+A==', 'fsize': 4331328, 'resto': 7951093}, {'no': 7951325, 'now': '12/11/22(Sun)05:40:54', 'name': 'Anonymous', 'filename': '855c5f33e51a24cfda02861529a84df6', 'ext': '.jpg', 'w': 1522, 'h': 1092, 'tn_w': 125, 'tn_h': 89, 'tim': 1670755254498335, 'time': 1670755254, 'md5': 'eLBv09emUX8GS/ZSdT5TCA==', 'fsize': 1077574, 'resto': 7951093}]",1670755254,0.0,0.0,
6,7951324,,,12/11/22(Sun)05:36:50,Anonymous,Self improvement wallpapers thread,,1661348447374372,.png,1920,1080,250,140,1670755010660324,1670755010,cNgWUtOVFDhNj+KlBthgWg==,1342002,0,self-improvement-wallpapers-thread,0,0,,,,1670755010,0.0,0.0,
7,7946331,,,11/17/22(Thu)15:04:52,Anonymous,,i require black women<br>feed me black women,1604624700839,.jpg,4000,3002,250,187,1668715492480193,1668715492,KVLbvURnVhD47HeqcQbvkQ==,1085866,0,i-require-black-women,137,122,132.0,121.0,"[{'no': 7951062, 'now': '12/09/22(Fri)21:40:02', 'name': 'Anonymous', 'com': '<a href=""#p7947465"" class=""quotelink"">&gt;&gt;7947465</a><br>Like a cockroach<br>Terrifying image', 'time': 1670640002, 'resto': 7946331}, {'no': 7951063, 'now': '12/09/22(Fri)21:41:43', 'name': 'Anonymous', 'com': '<a href=""#p7947499"" class=""quotelink"">&gt;&gt;7947499</a><br>Is that real, or did they Edit her skin tone?', 'time': 1670640103, 'resto': 7946331}, {'no': 7951064, 'now': '12/09/22(Fri)21:48:56', 'name': 'Anonymous', 'com': '<a href=""#p7950990"" class=""quotelink"">&gt;&gt;7950990</a><br>She looks like a girl you could drive down to see in the ghetto and she would get in your car and suck your pecker for $10 too buy crack', 'time': 1670640536, 'resto': 7946331}, {'no': 7951097, 'now': '12/10/22(Sat)02:18:07', 'name': 'Anonymous', 'com': '<a href=""#p7950880"" class=""quotelink"">&gt;&gt;7950880</a><br>Use yandex image search', 'time': 1670656687, 'resto': 7946331}, {'no': 7951321, 'now': '12/11/22(Sun)05:26:17', 'name': 'Anonymous', 'filename': '25fa83c34bfb7b1581ea246531502202', 'ext': '.png', 'w': 2896, 'h': 2500, 'tn_w': 125, 'tn_h': 107, 'tim': 1670754377041432, 'time': 1670754377, 'md5': 'qMZgxilk38O9/1+6iKa70Q==', 'fsize': 2078667, 'resto': 7946331}]",1670754377,0.0,0.0,
8,7947283,,,11/22/22(Tue)13:36:32,Anonymous,,"Tasteful, yet sexy.",1650418458567,.jpg,3088,2056,250,166,1669142192281438,1669142192,GR+EpU1fkPHXqP3pU85iYw==,499526,0,tasteful-yet-sexy,34,23,29.0,21.0,"[{'no': 7950852, 'now': '12/08/22(Thu)19:30:38', 'name': 'Anonymous', 'com': '<a href=""#p7950750"" class=""quotelink"">&gt;&gt;7950750</a><br>+1 edgy boi point', 'time': 1670545838, 'resto': 7947283}, {'no': 7950884, 'now': '12/09/22(Fri)02:26:16', 'name': 'Anonymous', 'filename': '1334630582058', 'ext': '.jpg', 'w': 1920, 'h': 1080, 'tn_w': 125, 'tn_h': 70, 'tim': 1670570776204708, 'time': 1670570776, 'md5': 'S00ghyB7GVy/vIKrxHqm4A==', 'fsize': 222943, 'resto': 7947283}, {'no': 7950904, 'now': '12/09/22(Fri)06:12:31', 'name': 'Anonymous', 'com': '<a href=""#p7947367"" class=""quotelink"">&gt;&gt;7947367</a><br><span class=""quote"">&gt;blowjob at birth</span><br>lol, fucking jews', 'time': 1670584351, 'resto': 7947283}, {'no': 7951221, 'now': '12/10/22(Sat)16:55:21', 'name': 'Anonymous', 'com': '<a href=""#p7950750"" class=""quotelink"">&gt;&gt;7950750</a><br><br>exactly. funny to find so many christians and other religious morons in a place like 4chan where porn and gore pics are posted.', 'time': 1670709321, 'resto': 7947283}, {'no': 7951320, 'now': '12/11/22(Sun)05:20:37', 'name': 'Anonymous', 'filename': '6b884e2149a1f9956fa7d32ee6c73b80', 'ext': '.png', 'w': 2560, 'h': 1440, 'tn_w': 125, 'tn_h': 70, 'tim': 1670754037684097, 'time': 1670754037, 'md5': 'AhQLbpDnJcpeD5OELGpXGQ==', 'fsize': 4681452, 'resto': 7947283}]",1670754037,0.0,0.0,
9,7937863,,,10/12/22(Wed)11:32:30,Anonymous,&quot;STABLE DIFFUSION&quot; Ai ART,what do you guys think about this?<br>dumpin,download - 2022-10-11T104650.170,.jpg,2048,2048,250,250,1665588750658390,1665588750,3+QUZ9XkiJFgmN0PU26NnA==,309795,0,stable-diffusion-ai-art,106,76,101.0,73.0,"[{'no': 7951258, 'now': '12/10/22(Sat)23:30:08', 'name': 'Anonymous', 'com': '<a href=""#p7951217"" class=""quotelink"">&gt;&gt;7951217</a><br><span class=""quote"">&gt;candid photo of leftist protest</span>', 'time': 1670733008, 'resto': 7937863}, {'no': 7951259, 'now': '12/10/22(Sat)23:31:08', 'name': 'Anonymous', 'com': '<a href=""#p7951215"" class=""quotelink"">&gt;&gt;7951215</a><br>dat fuckin filename', 'time': 1670733068, 'resto': 7937863}, {'no': 7951317, 'now': '12/11/22(Sun)05:12:58', 'name': 'Anonymous', 'com': 'this is the only shit I found half convincing so far....', 'filename': 'sd_mashup_celebrity_portraits_8_by_starscreamaut_dfgsm61', 'ext': '.png', 'w': 1536, 'h': 768, 'tn_w': 125, 'tn_h': 62, 'tim': 1670753578062632, 'time': 1670753578, 'md5': 'W/HojZgPsLI8slGbh6Z9yQ==', 'fsize': 1931661, 'resto': 7937863}, {'no': 7951318, 'now': '12/11/22(Sun)05:13:43', 'name': 'Anonymous', 'filename': 'sd_mashup_celebrity_portraits_9_by_starscreamaut_dfgsm64', 'ext': '.png', 'w': 1536, 'h': 768, 'tn_w': 125, 'tn_h': 62, 'tim': 1670753623875319, 'time': 1670753623, 'md5': 'MY1sQP1C95XrsKXIE80qtQ==', 'fsize': 1734558, 'resto': 7937863}, {'no': 7951319, 'now': '12/11/22(Sun)05:14:23', 'name': 'Anonymous', 'filename': '9d629b66142b86999281fc2c8c3808ca', 'ext': '.jpg', 'w': 2313, 'h': 900, 'tn_w': 125, 'tn_h': 48, 'tim': 1670753663950210, 'time': 1670753663, 'md5': 'frXiVLjHDpP83/zlGBurxg==', 'fsize': 1479458, 'resto': 7937863}]",1670753663,0.0,0.0,
