,no,sticky,closed,now,name,sub,com,time,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,filename,ext,w,h,tn_w,tn_h,tim,md5,fsize,bumplimit,imagelimit
0,957536,1.0,1.0,02/20/16(Sat)17:18:07,Anonymous,Welcome to /wsg/,"1. Please check the Catalog before you post. Popular topics and themes relating to TV shows, people, etc., may already have active threads.<br>
2. Please contribute 3 or more related images when starting a thread.<br>
3. If you know the source of a given image, please provide it in the post.<br>
4. Original content is encouraged, and &#039;filename threads&#039;, post your Xth gif threads are welcome.<br>
5. Remember this is a Work Safe board and Global Rule 5 applies!<br>
<br>

<a href=""http://i.imgur.com/JJnLJZx.gif"">/gif/ guide to creating animated gifs</a><br>
<br>
Other helpful links:<br>
<a href=""http://www.video-gif-converter.com/index.html"">http://www.video-gif-converter.com/<wbr>index.html</a><br>
<a href=""http://www.wikihow.com/Make-an-Animated-GIF-from-a-Video-in-Photoshop-CS5"">http://www.wikihow.com/Make-an-Anim<wbr>ated-GIF-from-a-Video-in-Photoshop-<wbr>CS5</a>",1456006687,0,mod,welcome-to-wsg,2,0,1.0,0.0,"[{'no': 2975263, 'now': '08/01/19(Thu)11:19:52', 'name': 'Anonymous', 'com': 'Current limits for WebM files on 4chan are:<br>Maximum file size is 6144KB.<br>Maximum duration is 300 seconds.<br>Maximum resolution is 2048x2048 pixels.<br><br>Click here to see a detailed guide on how to create webm files.<br><br>You can now upload webm files with sound to /wsr/. Please post all requests there.<br><br><a href=""//boards.4channel.org/wsr/"" class=""quotelink"">&gt;&gt;&gt;/wsr/</a>', 'time': 1564672792, 'resto': 957536, 'capcode': 'mod'}]",1564672800,,,,,,,,,,,
1,4866212,,,12/09/22(Fri)09:40:02,Anonymous,Gems,Posting &#039;ems,1670596802,0,,gems,18,11,13.0,7.0,"[{'no': 4866715, 'now': '12/09/22(Fri)18:15:34', 'name': 'Anonymous', 'com': '<a href=""#p4866659"" class=""quotelink"">&gt;&gt;4866659</a>', 'filename': '1664832113867670', 'ext': '.webm', 'w': 1000, 'h': 720, 'tn_w': 125, 'tn_h': 90, 'tim': 1670627734434016, 'time': 1670627734, 'md5': 'XygNoAZ9dBf46B4wSsUNCQ==', 'fsize': 2761362, 'resto': 4866212}, {'no': 4866743, 'now': '12/09/22(Fri)18:33:21', 'name': 'Anonymous', 'filename': '1670397558213960', 'ext': '.webm', 'w': 540, 'h': 540, 'tn_w': 125, 'tn_h': 125, 'tim': 1670628801010779, 'time': 1670628801, 'md5': '/bL4Nth3j8uPPgfOUCjR3Q==', 'fsize': 1015785, 'resto': 4866212}, {'no': 4866766, 'now': '12/09/22(Fri)18:51:33', 'name': 'Anonymous', 'filename': 'soyjak hardware store', 'ext': '.webm', 'w': 978, 'h': 550, 'tn_w': 125, 'tn_h': 70, 'tim': 1670629893943512, 'time': 1670629893, 'md5': 'IQC/aQP0IBnsmE0pGqIGkg==', 'fsize': 6072058, 'resto': 4866212}, {'no': 4866770, 'now': '12/09/22(Fri)18:54:39', 'name': 'Anonymous', 'com': '<a href=""#p4866212"" class=""quotelink"">&gt;&gt;4866212</a><br>New gems because i love you niggas, what do you think?', 'filename': 'LEC', 'ext': '.webm', 'w': 856, 'h': 480, 'tn_w': 125, 'tn_h': 70, 'tim': 1670630079215374, 'time': 1670630079, 'md5': 'BaHV40LRJqKCC8Snn5/yTw==', 'fsize': 5056849, 'resto': 4866212}, {'no': 4866906, 'now': '12/09/22(Fri)20:48:11', 'name': 'Anonymous', 'com': '<a href=""#p4866715"" class=""quotelink"">&gt;&gt;4866715</a><br>Thank you', 'time': 1670636891, 'resto': 4866212}]",1670636891,1669821621424499,.webm,480.0,270.0,250.0,140.0,1670596802690435.0,3eyU1RMDibFbftLg8wdZgQ==,5698679.0,0.0,0.0
2,4866687,,,12/09/22(Fri)17:59:09,Anonymous,Kino TikToks Thread,Actually good videos from the Chinese spying app,1670626749,0,,kino-tiktoks-thread,18,10,13.0,7.0,"[{'no': 4866893, 'now': '12/09/22(Fri)20:42:04', 'name': 'Anonymous', 'filename': 'feellikeamonster', 'ext': '.webm', 'w': 576, 'h': 1024, 'tn_w': 70, 'tn_h': 125, 'tim': 1670636524909948, 'time': 1670636524, 'md5': 'MT+wdk4xnZiE90gRj3NlYQ==', 'fsize': 1655633, 'resto': 4866687}, {'no': 4866894, 'now': '12/09/22(Fri)20:42:33', 'name': 'Anonymous', 'com': '<a href=""#p4866783"" class=""quotelink"">&gt;&gt;4866783</a><br>Whore in a store', 'time': 1670636553, 'resto': 4866687}, {'no': 4866897, 'now': '12/09/22(Fri)20:43:14', 'name': 'Anonymous', 'filename': '1632612711736', 'ext': '.webm', 'w': 540, 'h': 480, 'tn_w': 125, 'tn_h': 111, 'tim': 1670636594824230, 'time': 1670636594, 'md5': 'HimqeM5Nmyx+xFu7JxznXg==', 'fsize': 2636130, 'resto': 4866687}, {'no': 4866899, 'now': '12/09/22(Fri)20:44:50', 'name': 'Anonymous', 'filename': '1670495557042275', 'ext': '.webm', 'w': 360, 'h': 638, 'tn_w': 70, 'tn_h': 125, 'tim': 1670636690786293, 'time': 1670636690, 'md5': 'zNIWZwo6IafIhV1lhmfG1w==', 'fsize': 5391118, 'resto': 4866687}, {'no': 4866905, 'now': '12/09/22(Fri)20:46:52', 'name': 'Anonymous', 'com': '<a href=""#p4866894"" class=""quotelink"">&gt;&gt;4866894</a><br>No it was pairs on stairs<br><br>You pervert', 'time': 1670636812, 'resto': 4866687}]",1670636812,tiktok,.webm,576.0,1024.0,140.0,250.0,1670626749577010.0,9mr7Wrc3k7i2Qn2DuX6Y5Q==,1044879.0,0.0,0.0
3,4841602,,,11/22/22(Tue)02:23:57,Anonymous,Videogame Cutscenes,Start with something weird edition,1669101837,0,,videogame-cutscenes,71,37,66.0,35.0,"[{'no': 4862849, 'now': '12/06/22(Tue)19:32:33', 'name': 'Anonymous', 'com': '<a href=""#p4841602"" class=""quotelink"">&gt;&gt;4841602</a>', 'filename': '1662751672887688', 'ext': '.webm', 'w': 712, 'h': 400, 'tn_w': 125, 'tn_h': 70, 'tim': 1670373153701610, 'time': 1670373153, 'md5': 'rVS9SsnS5PDKl36dNJEHYQ==', 'fsize': 4117618, 'resto': 4841602}, {'no': 4863337, 'now': '12/07/22(Wed)03:52:00', 'name': 'Anonymous', 'com': 'Slavjank my beloved', 'filename': 'j6qzye', 'ext': '.webm', 'w': 1280, 'h': 720, 'tn_w': 125, 'tn_h': 70, 'tim': 1670403120413471, 'time': 1670403120, 'md5': '90EdlmrfFkTpj3l0r59ohA==', 'fsize': 3192109, 'resto': 4841602}, {'no': 4865924, 'now': '12/09/22(Fri)03:14:46', 'name': 'Anonymous', 'com': '<a href=""#p4845802"" class=""quotelink"">&gt;&gt;4845802</a><br><a href=""#p4862536"" class=""quotelink"">&gt;&gt;4862536</a><br>https://youtu.be/BNMMAFuVpV0', 'time': 1670573686, 'resto': 4841602}, {'no': 4866291, 'now': '12/09/22(Fri)11:23:17', 'name': 'Anonymous', 'com': '<a href=""#p4849771"" class=""quotelink"">&gt;&gt;4849771</a><br>what&#039;s the game?', 'time': 1670602997, 'resto': 4841602}, {'no': 4866904, 'now': '12/09/22(Fri)20:46:49', 'name': 'Anonymous', 'com': '<a href=""#p4866291"" class=""quotelink"">&gt;&gt;4866291</a><br>Wolfenstein the New Colossus. Definitely got some of that wokeshit but its honestly still fun like in an Inglorious Basterds kind of way', 'time': 1670636809, 'resto': 4841602}]",1670636809,GodDoesntLoveYou(1),.webm,540.0,540.0,250.0,250.0,1669101837010382.0,vM16iL1MZr+1basCvFLxdQ==,682067.0,0.0,0.0
4,4866891,,,12/09/22(Fri)20:41:21,Anonymous,funny niggaz&#039;s,Post em,1670636481,0,,funny-niggazs,2,2,,,"[{'no': 4866898, 'now': '12/09/22(Fri)20:44:29', 'name': 'Anonymous', 'filename': '1670636703486', 'ext': '.webm', 'w': 480, 'h': 360, 'tn_w': 125, 'tn_h': 93, 'tim': 1670636669501333, 'time': 1670636669, 'md5': 'D6KX5j23/NxQbYRbljgrtQ==', 'fsize': 3987428, 'resto': 4866891}, {'no': 4866903, 'now': '12/09/22(Fri)20:46:45', 'name': 'Anonymous', 'filename': 'wack ass funeral', 'ext': '.webm', 'w': 184, 'h': 230, 'tn_w': 100, 'tn_h': 125, 'tim': 1670636805841031, 'time': 1670636805, 'md5': 'gucXg6phOGYFPqu2ge1uRw==', 'fsize': 6243512, 'resto': 4866891}]",1670636805,1670636514751,.webm,640.0,360.0,250.0,140.0,1670636481802995.0,bSjMMwuPVun5sfVwXCAYfQ==,5336465.0,0.0,0.0
5,4843091,,,11/23/22(Wed)00:17:46,Gianni Infantino,FIFA World Cup - Qatar 2022 General,"Post about the FIFA World Cup Qatar 2022.<br>Include goals, reactions, fails, fouls, ref. calls, humiliations, fans, audience, media, and Pro-Qatari/Gulf State propaganda.<br>Previous World Cup clips are welcomed!",1669180666,0,,fifa-world-cup-qatar-2022-general,141,41,136.0,41.0,"[{'no': 4866861, 'now': '12/09/22(Fri)20:02:19', 'name': 'Anonymous', 'com': '<a href=""#p4865754"" class=""quotelink"">&gt;&gt;4865754</a><br>ironic', 'time': 1670634139, 'resto': 4843091}, {'no': 4866877, 'now': '12/09/22(Fri)20:19:39', 'name': 'Anonymous', 'com': '<a href=""#p4866701"" class=""quotelink"">&gt;&gt;4866701</a><br><span class=""quote"">&gt;manlet autistic rage </span><br>Hilarious how he and the journo thinks he looks tough.', 'time': 1670635179, 'resto': 4843091}, {'no': 4866896, 'now': '12/09/22(Fri)20:43:08', 'name': 'Anonymous', 'com': '<a href=""#p4866701"" class=""quotelink"">&gt;&gt;4866701</a><br>What is he saying?', 'time': 1670636588, 'resto': 4843091}, {'no': 4866900, 'now': '12/09/22(Fri)20:45:22', 'name': 'Anonymous', 'com': '<a href=""#p4854941"" class=""quotelink"">&gt;&gt;4854941</a><br>retard hands typed this', 'time': 1670636722, 'resto': 4843091}, {'no': 4866902, 'now': '12/09/22(Fri)20:46:04', 'name': 'Anonymous', 'com': '<a href=""#p4866896"" class=""quotelink"">&gt;&gt;4866896</a><br><span class=""quote"">&gt;what are you looking at fool? what are you looking at? fuck off dumbass, fuck off</span>', 'time': 1670636764, 'resto': 4843091}]",1670636764,1645939731958,.webm,640.0,360.0,250.0,140.0,1669180666717889.0,L2DQ5K1+caWaiY5cT7LM5w==,5962365.0,0.0,0.0
6,4864930,,,12/08/22(Thu)09:11:26,Anonymous,,post cute girls,1670508686,0,,post-cute-girls,154,56,149.0,56.0,"[{'no': 4866853, 'now': '12/09/22(Fri)19:57:38', 'name': 'Anonymous', 'com': '<a href=""#p4866759"" class=""quotelink"">&gt;&gt;4866759</a><br>for some reason tuchen has been spamming these threads lately combined with coomers posting fat bitches twerking<br><a href=""#p4865569"" class=""quotelink"">&gt;&gt;4865569</a><br>i think you just have basic taste anon', 'time': 1670633858, 'resto': 4864930}, {'no': 4866875, 'now': '12/09/22(Fri)20:16:31', 'name': 'Anonymous', 'com': '<a href=""#p4866686"" class=""quotelink"">&gt;&gt;4866686</a><br>Ask her what kind of tattoos her grampa had.', 'time': 1670634991, 'resto': 4864930}, {'no': 4866884, 'now': '12/09/22(Fri)20:35:06', 'name': 'Anonymous', 'com': '<a href=""#p4866853"" class=""quotelink"">&gt;&gt;4866853</a><br><span class=""quote"">&gt;i think you just have basic taste anon</span><br><span class=""quote"">&gt;muh taste</span><br>there&#039;s studies and things people find attractive are fairly universal', 'time': 1670636106, 'resto': 4864930}, {'no': 4866895, 'now': '12/09/22(Fri)20:42:50', 'name': 'Anonymous', 'com': '<a href=""#p4866884"" class=""quotelink"">&gt;&gt;4866884</a><br>i don&#039;t personally find the girl you posted nor the one you replied to, to be particularly attractive at all<br>some people have boring taste others don&#039;t<br><span class=""quote"">&gt;muh studies</span><br><span class=""quote"">&gt;muh science</span><br>lol', 'time': 1670636570, 'resto': 4864930}, {'no': 4866901, 'now': '12/09/22(Fri)20:45:22', 'name': 'Anonymous', 'com': '<a href=""#p4866895"" class=""quotelink"">&gt;&gt;4866895</a><br><span class=""quote"">&gt;everything I don&#039;t like doesn&#039;t real</span><br>I bet you&#039;re a coping ugly retard who pretends he doesn&#039;t like hot chicks and instead has &quot;interesting&quot; tastes in some humpty dumpty pieces of lard.', 'time': 1670636722, 'resto': 4864930}]",1670636722,1645854258775,.webm,720.0,1280.0,140.0,250.0,1670508686178686.0,pNJYDlmyw3pG3QplMFn/xg==,6172732.0,0.0,0.0
7,4858475,,,12/03/22(Sat)19:44:28,Half Life Cats,,half life cats,1670114668,0,,half-life-cats,31,18,26.0,17.0,"[{'no': 4866666, 'now': '12/09/22(Fri)17:42:27', 'name': 'Anonymous', 'com': '<a href=""#p4862026"" class=""quotelink"">&gt;&gt;4862026</a><br>half-life home appliances?', 'filename': 'source home', 'ext': '.webm', 'w': 640, 'h': 360, 'tn_w': 125, 'tn_h': 70, 'tim': 1670625747030836, 'time': 1670625747, 'md5': 'vS9kxiSr0UjYLrjnXPYjvg==', 'fsize': 3897996, 'resto': 4858475}, {'no': 4866746, 'now': '12/09/22(Fri)18:36:03', 'name': 'Anonymous', 'com': '<a href=""#p4866666"" class=""quotelink"">&gt;&gt;4866666</a><br>checked and nice caulk', 'time': 1670628963, 'resto': 4858475}, {'no': 4866866, 'now': '12/09/22(Fri)20:10:02', 'name': 'Anonymous', 'com': '<a href=""#p4866666"" class=""quotelink"">&gt;&gt;4866666</a><br>Checked', 'time': 1670634602, 'resto': 4858475}, {'no': 4866878, 'now': '12/09/22(Fri)20:25:29', 'name': 'Anonymous', 'com': '<a href=""#p4866649"" class=""quotelink"">&gt;&gt;4866649</a><br>that&#039;s wobbly cat syndrome, it has no cure.', 'time': 1670635529, 'resto': 4858475}, {'no': 4866892, 'now': '12/09/22(Fri)20:41:47', 'name': 'Anonymous', 'com': '<a href=""#p4866649"" class=""quotelink"">&gt;&gt;4866649</a><br>there is just a thing where a kitten gets deprived of oxygen too long iirc and it essentially gives them brain damage and theyll walk like that to varying degrees but otherwise healthy, just means you have to put down carpet for them so they dont slide around or some shit', 'time': 1670636507, 'resto': 4858475}]",1670636507,Kassyhl_(getmp3.pro),.webm,1280.0,720.0,250.0,140.0,1670114668043867.0,UB6t9kMJiHRIBuGHVL2bGg==,5678203.0,0.0,0.0
8,4866274,,,12/09/22(Fri)11:11:37,Anonymous,Eye Contact/ GF Practice,"3 sets, 12 reps 2x a week",1670602297,0,,eye-contact-gf-practice,55,28,50.0,26.0,"[{'no': 4866529, 'now': '12/09/22(Fri)15:33:58', 'name': 'Anonymous', 'com': '<a href=""#p4866518"" class=""quotelink"">&gt;&gt;4866518</a><br>This seems like moving further and further away from who you are as a person. If having a chance at a girlfriend means acting as another person, being another person, in order to get a chance, a chance that is so small, to meet another girl and get her to like you is demanding you to lose yourself.', 'time': 1670618038, 'resto': 4866274}, {'no': 4866546, 'now': '12/09/22(Fri)15:49:17', 'name': 'Anonymous', 'filename': 'Sarah Gadon Glance 11.22.63 ', 'ext': '.webm', 'w': 1200, 'h': 960, 'tn_w': 125, 'tn_h': 100, 'tim': 1670618957544091, 'time': 1670618957, 'md5': 'KzaYnbCSmY5ddsPrV06PwQ==', 'fsize': 2627412, 'resto': 4866274}, {'no': 4866886, 'now': '12/09/22(Fri)20:35:43', 'name': 'Anonymous', 'com': 'why is this so hard? i want to cry.', 'filename': '1610309244171', 'ext': '.webm', 'w': 640, 'h': 360, 'tn_w': 125, 'tn_h': 70, 'tim': 1670636143497376, 'time': 1670636143, 'md5': '7JB83OJGyj5AyW+jstDhnA==', 'fsize': 3834368, 'resto': 4866274}, {'no': 4866889, 'now': '12/09/22(Fri)20:39:34', 'name': 'Anonymous', 'com': '<a href=""#p4866886"" class=""quotelink"">&gt;&gt;4866886</a><br>At some point in your life as you age, she will pass away without you knowing it, feeling it or otherwise acknowledging it as it happens. Just another life, lost endlessly to the abyss of memory.', 'time': 1670636374, 'resto': 4866274}, {'no': 4866890, 'now': '12/09/22(Fri)20:39:37', 'name': 'Anonymous', 'com': 'Do people really struggle with this?', 'time': 1670636377, 'resto': 4866274}]",1670636377,1640965915188,.webm,936.0,720.0,250.0,192.0,1670602297755516.0,YSgrJ5A1bfQxxwdlQKPHwA==,1854680.0,0.0,0.0
9,4859025,,,12/04/22(Sun)05:08:25,Anonymous,&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;&quot;working&quot;&quot;&quot;&quot;&quot;&quot;&quot; at big company,"I am the OP from previous thread, I&#039;ll dump my stash again. But pls try to contribute, I don&#039;t have tiktok to fish for this content. I want to expand my archive.",1670148505,0,,working-at-big-company,182,17,177.0,16.0,"[{'no': 4866090, 'now': '12/09/22(Fri)06:55:58', 'name': 'Anonymous', 'com': '<a href=""#p4864697"" class=""quotelink"">&gt;&gt;4864697</a><br><span class=""quote"">&gt;You didn&#039;t qualify what you mean either. And no one mentioned OF</span><br>you completely missed the metaphor so I&#039;ll be explicit (selection bias)<br><span class=""quote"">&gt;They got for lunch breaks, coffee breaks, etc. a lot, not unlike the videos posted here</span><br>don&#039;t take these videos as accurate representations of CEO workdays for two VERY strong reasons<br><span class=""quote"">&gt;these videos don&#039;t actually contain high power CEOs, but instead they contain what appears to be HR and management consultants</span><br><span class=""quote"">&gt;these videos don&#039;t actually show them working because, surprise, they&#039;re videos meant to entertain and watching someone stare at a spreadsheet for 7 hours isn&#039;t entertaining, so they show the 1-2 hours of (anyone not in retail)&#039;s day where they don&#039;t work like when the have lunch or take breaks</span><br><span class=""quote"">&gt;to assume</span><br>I didn&#039;t, hence the source in the original post<br>its also not particularly uncommon amongst high powered CEOs, heres a report about Elon working 100~ hour weeks (which several employees have claimed to see)<br>https://fullfocus.co/100-hour-workw<wbr>eek/<br><span class=""quote"">&gt;You are not going to get anywhere near this with &quot;hard work&quot;</span><br>I&#039;d agree, to be frank. You simply can&#039;t work hard enough to have this kind of skillset/talent. These guys are examples of extreme talent that works hard. <br><span class=""quote"">&gt;a grain of salt</span><br>these were based on studies from <br><span class=""quote"">&gt;Jeff Sonnenfeld from the Yale School of Management. He’s spent more than 30 years scrutinizing C.E.O.s.</span><br><a href=""#p4864709"" class=""quotelink"">&gt;&gt;4864709</a><br><span class=""quote"">&gt;one man company</span><br>Hey I had 4 peoplelol<br><span class=""quote"">&gt;Nothing you&#039;ve said is really at any conflict with what I posted</span><br>explicitly, no. Most high end CEOs seem to come from wealthy/wealthyish families. There are exceptions such as Oprah Winfrey/Howard Schultz of starbucks, but they are on the rarer side from what I can tell.<br>No, what I&#039;m disagreeing with you about is your implicit statement of<br><span class=""quote"">&gt;High powered CEO&#039;s get where they get purely, or in largest part due to, being born in a wealthy family, and that therefore they don&#039;t work hard</span><br>the reality is, your typical CEO, and especially these CEOs, work HARD', 'time': 1670586958, 'resto': 4859025}, {'no': 4866197, 'now': '12/09/22(Fri)09:13:55', 'name': 'Anonymous', 'com': '<a href=""#p4866090"" class=""quotelink"">&gt;&gt;4866090</a><br><span class=""quote"">&gt;explicitly, no. Most high end CEOs seem to come from wealthy/wealthyish families. There are exceptions such as Oprah Winfrey/Howard Schultz of starbucks, but they are on the rarer side from what I can tell.</span><br><span class=""quote"">&gt;No, what I&#039;m disagreeing with you about is your implicit statement of</span><br><span class=""quote"">&gt;&gt;High powered CEO&#039;s get where they get purely, or in largest part due to, being born in a wealthy family, and that therefore they don&#039;t work hard</span><br><span class=""quote"">&gt;the reality is, your typical CEO, and especially these CEOs, work HARD</span><br>That&#039;s my whole point. Average pleb working hard won&#039;t see the same returns as a CEO/higher up who was pretty much bred into this position. I see too many delusional wageslaves who think their hard work, dedication and devotion will result in a greater return to let&#039;s say someone fucking about most of the career, but who has great social skills and other things that make them *liked*.<br><br>I recommend people to start their own companies if they hate wageslaving, but I always mention it will be *hard* work and they&#039;ll most likely fail. But the returns are much more spectacular. <br><br>I guess to boil it down, it&#039;s a matter of<br><span class=""quote"">&gt;working 70 hrs in some low to mid position with rewards that are mediocre</span><br><span class=""quote"">&gt;or working the same in a higher position with MUCH greater rewards and opportunities</span><br>The later is very, very hard to break in even in our day and age if you&#039;re not from the right background. Most self made millionaires had their own startup rather than working with a company that was already established at a high level and then carving out a share down the line. The motivation is very different when you run the company and have loads of money invested into it as opposed to being a small cog that can be discarded easily. I see so many stress over their work restricting them, making them stressed, etc., when I know if they were run over by a car tonight they&#039;d probably already have a potentially better replacement two months later.', 'time': 1670595235, 'resto': 4859025}, {'no': 4866202, 'now': '12/09/22(Fri)09:15:26', 'name': 'Anonymous', 'com': '<a href=""#p4866090"" class=""quotelink"">&gt;&gt;4866090</a><br>btw I think half of these videos are bs and doesn&#039;t apply to most workers, most consultants are overworked dogs. The same probably pull in way more hours than they show, which make these things even more pathetic, although its undeniable that many have it cozy because they know exactly what the playing field is.', 'time': 1670595326, 'resto': 4859025}, {'no': 4866609, 'now': '12/09/22(Fri)16:48:31', 'name': 'Anonymous', 'filename': '1666289244781', 'ext': '.webm', 'w': 506, 'h': 900, 'tn_w': 70, 'tn_h': 125, 'tim': 1670622511157377, 'time': 1670622511, 'md5': 'N888YyOxafwJES6tpSfKrQ==', 'fsize': 3076561, 'resto': 4859025}, {'no': 4866888, 'now': '12/09/22(Fri)20:38:35', 'name': 'Anonymous', 'com': '<a href=""#p4866609"" class=""quotelink"">&gt;&gt;4866609</a><br>every one of them needs to eat less', 'time': 1670636315, 'resto': 4859025}]",1670636315,4,.webm,576.0,1024.0,140.0,250.0,1670148505232232.0,SKsroqisA1KRI7fB4UqMVQ==,2013033.0,0.0,0.0
