,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,trip,filedeleted
0,1,1.0,1.0,12/20/15(Sun)07:21:09,Anonymous,Welcome to /wsr/ - Worksafe Requests,"This board is for:
<ul>
<li>Asking for help in finding an image or the source of an image, or more of a certain kind of image.</li>
<li>Asking for photoshop requests.</li>
<li>Asking for recommendations for a new anime or TV series to watch, or a new manga or comic series to read.</li>
<li>Asking for tech support or help with your homework.</li>
<li>Any other kind of work-safe request.</li>
</ul>
Once you have posted your request, please <a href=""https://boards.4chan.org/wsr/catalog"">check the catalog</a> for requests that you can help others with. <br>
All threads and images should pertain to &quot;work-safe&quot; material. For adult content please use <a href=""https://boards.4chan.org/r/"">/r/ - Requests</a> and for help with personal matters please use <a href=""https://boards.4chan.org/adv/"">/adv/ - Advice</a>.",wsr,.jpg,850.0,638.0,250.0,187.0,1450614069094.0,1450614069,uILud6oFylnlz6QfZpNBQA==,78567.0,0,mod,welcome-to-wsr-worksafe-requests,1,0,"[{'no': 279837, 'now': '03/13/17(Mon)10:41:19', 'name': 'Anonymous', 'com': '<p style=""color:#FF0000;font-size:150%;"">Do not post or request personal information (&quot;dox&quot;) or calls to invasion (&quot;raids&quot;).</p>\n<p><b>Personal army requests of any form are strictly forbidden.</b></p>\n<p style=""font-size:125%;"">WebM files with sound can now be uploaded!</p>', 'time': 1489416079, 'resto': 1, 'capcode': 'mod'}]",1489416085,,,,,,
1,1292502,,,12/09/22(Fri)20:04:27,Anonymous,,"I&#039;m looking for manga where the protagonist is weak/cowardly/beta (which there is no shortage of), BUT his personality does a complete 180° by the end of the series. Not just &quot;he gains a little more confidence than before,&quot; I mean he becomes an absolute chad by the end.<br><br>One example I can think of is Love Hina. Keitarou is a typical faggot harem protagonist throughout most of the series, but in the final chapter he&#039;s practically a carbon copy of Seta (who is the most alpha character in the series).",1645505976081,.jpg,395.0,600.0,164.0,250.0,1670634267938305.0,1670634267,Vcme+Fx8h41eHJ2csmXMTw==,89537.0,0,,im-looking-for-manga-where-the-protagonist-is,1,0,"[{'no': 1292511, 'now': '12/09/22(Fri)20:45:55', 'name': 'Anonymous', 'com': '<a href=""#p1292502"" class=""quotelink"">&gt;&gt;1292502</a><br>I Am Hero<br>Bokurano<br>Gantz<br>Deadman Wonderland<br>Tengen Toppa Gurren Laggan<br>Mushoku Tensei<br>Kizumonogatari and it&#039;s sequels.<br>Alien 9<br>Mirai Nikki<br>One Piece (practically every character arc)', 'time': 1670636755, 'resto': 1292502}]",1670636755,0.0,0.0,,,,
2,1291101,,,12/06/22(Tue)02:52:47,Anonymous,,"Requesting her hairstyle to be changed to the replied one, please.<br><br>If you need to upscale it to work on it, I completely understand, as it&#039;s from a rather old photoshoot.",09_jarah-mariano_33,.jpg,444.0,666.0,166.0,249.0,1670313167111006.0,1670313167,E3I9Sj6Bzkp46M6vIcERsw==,99466.0,0,,requesting-her-hairstyle-to-be-changed-to-the,15,6,"[{'no': 1291867, 'now': '12/08/22(Thu)05:31:18', 'name': 'Anonymous', 'com': 'Bump', 'time': 1670495478, 'resto': 1291101}, {'no': 1292137, 'now': '12/08/22(Thu)20:36:39', 'name': 'Anonymous', 'com': 'Bump', 'time': 1670549799, 'resto': 1291101}, {'no': 1292465, 'now': '12/09/22(Fri)18:03:53', 'name': 'Anonymous', 'com': 'Bump', 'time': 1670627033, 'resto': 1291101}, {'no': 1292508, 'now': '12/09/22(Fri)20:41:54', 'name': 'Anonymous', 'filename': 'Tm8gbW9yZQ==', 'ext': '.png', 'w': 444, 'h': 666, 'tn_w': 83, 'tn_h': 124, 'tim': 1670636514419012, 'time': 1670636514, 'md5': 'RUZ7VBSdSycrXtLnw8+Yuw==', 'fsize': 358954, 'resto': 1291101}, {'no': 1292510, 'now': '12/09/22(Fri)20:44:25', 'name': 'Anonymous', 'com': '<a href=""#p1292508"" class=""quotelink"">&gt;&gt;1292508</a><br>Amazing work, thank you.<br>Do you mind if I ask for the resolution to be increased as well, please?<br>Just to a more modern one is fine.', 'time': 1670636665, 'resto': 1291101}]",1670636665,0.0,0.0,10.0,5.0,,
3,1292479,,,12/09/22(Fri)18:40:38,Anonymous,,Looking for official translations Dark Continent onward. Good scans work too. Just trying to find something besides all this mangapanda shit.,thumb-70688-HunterXHunter_GN35_Web-3,.jpg,600.0,900.0,166.0,250.0,1670629238712145.0,1670629238,P+0cIOTi760fnYNeOOQ05g==,156825.0,0,,looking-for-official-translations-dark-continent,2,0,"[{'no': 1292481, 'now': '12/09/22(Fri)18:45:51', 'name': 'Anonymous', 'com': 'Ive been in the mood to re-read HxH, where did you find good scans? Every website I go to has the weird 2000s ones or has a dog shit UI.', 'time': 1670629551, 'resto': 1292479}, {'no': 1292509, 'now': '12/09/22(Fri)20:42:23', 'name': 'Anonymous', 'com': '<a href=""#p1292481"" class=""quotelink"">&gt;&gt;1292481</a><br>That&#039;s what I&#039;d like to know. I don&#039;t know of any good scans. They&#039;re all from those shitty watermark sites.', 'time': 1670636543, 'resto': 1292479}]",1670636543,0.0,0.0,,,,
4,1292183,,,12/09/22(Fri)00:00:53,Anonymous,,can a anon make a meme templet of this?,1670560711535483,.png,829.0,402.0,249.0,121.0,1670562053428289.0,1670562053,s1JS1wA7hUPk1tSNfyfTvA==,327882.0,0,,can-a-anon-make-a-meme-templet-of-this,1,0,"[{'no': 1292507, 'now': '12/09/22(Fri)20:39:24', 'name': 'Anonymous', 'com': 'bump', 'time': 1670636364, 'resto': 1292183}]",1670636364,0.0,0.0,,,,
5,1291794,,,12/07/22(Wed)23:10:13,Anonymous,Photoshop request,Can I get some help with some photoshop of turning the Dude from the Big Lebowski into a relaxed Santa. The other two any other holiday esk characters of note from other holidays.,4a4daa9f-d6c4-40f9-b0ad-688dca16ada5-57384_01100.jpeg,.jpg,660.0,432.0,250.0,163.0,1670472613703761.0,1670472613,83b+hDYmhxAEDcshmrkQhg==,56651.0,0,,photoshop-request,2,0,"[{'no': 1292187, 'now': '12/09/22(Fri)00:16:50', 'name': 'Anonymous', 'com': 'bump', 'time': 1670563010, 'resto': 1291794}, {'no': 1292506, 'now': '12/09/22(Fri)20:34:04', 'name': 'Anonymous', 'com': 'bump', 'time': 1670636044, 'resto': 1291794}]",1670636044,0.0,0.0,,,,
6,1292460,,,12/09/22(Fri)17:48:33,Anonymous,What is this Style of Music?,"What is this style of music called?<br><span class=""quote"">&gt; https://m.youtube.com/watch?v=L690w<wbr>1cZSZE</span><br>The instrumentation is just so SOVLFVL.",wojak-sad-in-the-rain,.gif,424.0,498.0,212.0,250.0,1670626113669258.0,1670626113,t7EL/Lh0vUfmUlHfVik9BQ==,2237142.0,0,,what-is-this-style-of-music,5,0,"[{'no': 1292483, 'now': '12/09/22(Fri)18:48:50', 'name': 'Knox', 'com': 'Google says it&#039;s &quot;stationary&quot; music. Otherwise sounds like christmas carols to me I guess...', 'time': 1670629730, 'resto': 1292460}, {'no': 1292487, 'now': '12/09/22(Fri)19:10:34', 'name': 'Anonymous', 'com': '<a href=""#p1292483"" class=""quotelink"">&gt;&gt;1292483</a><br><span class=""quote"">&gt;stationary&quot; music</span><br>Not finding anything. Did they give any examples?<br><a href=""#p1292483"" class=""quotelink"">&gt;&gt;1292483</a><br><span class=""quote"">&gt;Otherwise sounds like christmas carols to me I guess...</span><br>To be clear, I know that &quot;We Three Kings&quot; is a Christmas carol and that this is jazz rendition of it but I&#039;m not asking about that as it&#039;s pretty obvious. What I&#039;m asking about is what style this particular rendition by Ela Fitzgerald is. The slow bouncy piano and the sombre tone I mean. I know I&#039;ve heard similar songs before but I would really like to be able to name the style.', 'time': 1670631034, 'resto': 1292460}, {'no': 1292492, 'now': '12/09/22(Fri)19:24:36', 'name': 'Anonymous', 'com': '<a href=""#p1292487"" class=""quotelink"">&gt;&gt;1292487</a><br>Jazz-influenced traditional pop is what you&#039;re looking for I think. A lot of OG jazz artists went through that phase in the 50&#039;s and early 60&#039;s, including Louis Armstrong<br>https://www.youtube.com/watch?v=A3y<wbr>CcXgbKrE<br>https://www.youtube.com/watch?v=OXA<wbr>N-0fKse0', 'time': 1670631876, 'resto': 1292460}, {'no': 1292500, 'now': '12/09/22(Fri)19:52:38', 'name': 'Anonymous', 'com': '<a href=""#p1292492"" class=""quotelink"">&gt;&gt;1292492</a><br>Not really. Please listen to the piano and other instruments to get what I mean. Maybe it&#039;s the chord? I&#039;m not a musician but is it Phrygian? I don&#039;t know what the fuck I&#039;m talking about obviously but hopefully someone can point me in the right direction.<br>Also, thanks for reminding me of la vie en rose. That song is insanely good.', 'time': 1670633558, 'resto': 1292460}, {'no': 1292505, 'now': '12/09/22(Fri)20:32:33', 'name': 'Anonymous', 'com': '<a href=""#p1292487"" class=""quotelink"">&gt;&gt;1292487</a><br><a href=""#p1292500"" class=""quotelink"">&gt;&gt;1292500</a><br>the song sounds like jazz waltz? 3 beats in a measure<br>i suppose the &quot;bounciness&quot; of the piano is attributed to the way it emphasizes the second and third beat with the right hand, like<br><span class=""quote"">&gt;bum PAH pa-PAH</span><br>somber mood comes from the mode, minor in the verses, chorus in major<br>so i guess &quot;minor jazz waltz&quot; is what you&#039;re looking for? <br>similarly this one goes from minor to major: https://youtu.be/EQFh1W7JGqg', 'time': 1670635953, 'resto': 1292460}]",1670635953,0.0,0.0,,,,
7,1292504,,,12/09/22(Fri)20:32:12,Anonymous,,"I&#039;m a sucker for movies that &quot;set the stage&quot;, so to speak, with an atmospheric opening scene or even opening credits. Please recommend some films that fit this criteria. Examples for me include:<br><br>Drive<br>Akira<br>Watership Down<br>Escape from New York<br>They Live",welles,.jpg,773.0,591.0,249.0,191.0,1670635932583623.0,1670635932,BC1VsMwpjhGuGwmmf3kQEQ==,19162.0,0,,im-a-sucker-for-movies-that-set-the-stage-so-to,0,0,,1670635932,0.0,0.0,,,,
8,1291740,,,12/07/22(Wed)21:28:22,Anonymous,Requeesting Subtitles for MexZombies. - or Mexzombies with subs.,I have the 2gig file of this film and am looking desperately for a copy of subtitles for it.<br> - Or a Dl of it subbed.<br> Thanks.,mexzombies,.jpg,1280.0,720.0,250.0,140.0,1670466502128684.0,1670466502,i5fbb6SGSkDY+U3hlZLbIg==,303564.0,0,,requeesting-subtitles-for-mexzombies-or,3,0,"[{'no': 1291873, 'now': '12/08/22(Thu)06:34:38', 'name': 'Anonymous', 'com': 'bump', 'time': 1670499278, 'resto': 1291740}, {'no': 1292051, 'now': '12/08/22(Thu)15:52:17', 'name': 'Anonymous', 'com': 'Someone must have made subs - somewhere.', 'time': 1670532737, 'resto': 1291740}, {'no': 1292503, 'now': '12/09/22(Fri)20:13:45', 'name': 'Anonymous', 'com': 'bump', 'time': 1670634825, 'resto': 1291740}]",1670634825,0.0,0.0,,,,
9,1292498,,,12/09/22(Fri)19:47:09,Anonymous,photoshop request,"would someone be able to recreate this photo without lil peeps fucking face in it? i just really like the coloring/filter on it, and i can&#039;t figure out how to do it. there are some templates in the replies.",ezgif-3-2354f08d5c,.jpg,500.0,700.0,178.0,250.0,1670633229059907.0,1670633229,DmyJXrUpPGBlumI5D40GIw==,62520.0,0,,photoshop-request,2,1,"[{'no': 1292499, 'now': '12/09/22(Fri)19:47:42', 'name': 'Anonymous', 'com': 'the statue is la douleur by david d&#039;angers', 'filename': 'DOCUMENT-JOURNAL-ISSUE-3_DANGER4-769x1024', 'ext': '.jpg', 'w': 769, 'h': 1024, 'tn_w': 93, 'tn_h': 125, 'tim': 1670633262828353, 'time': 1670633262, 'md5': 'srrDwHx2h8vHpqnmGATZ/g==', 'fsize': 111775, 'resto': 1292498}, {'no': 1292501, 'now': '12/09/22(Fri)20:00:22', 'name': 'Anonymous', 'com': '<a href=""#p1292499"" class=""quotelink"">&gt;&gt;1292499</a><br>I guess they don&#039;t teach art history in school anymore.', 'time': 1670634022, 'resto': 1292498}]",1670634022,0.0,0.0,,,,
