,no,sticky,closed,now,name,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,omitted_posts,omitted_images,last_replies,last_modified,sub,bumplimit,imagelimit,trip
0,21676943,1.0,1.0,10/31/18(Wed)03:15:47,Anonymous,"Welcome to /x/ - Paranormal. This is not a board for the faint of heart. If you need something to get started with, see the below lists for some basic resources. We hope you enjoy your venture into the spooks, the creeps and the unknown.
<br>
<br>
The resources in this thread are not exhaustive and are merely meant for beginners to get their footing.
<br>
<br>
<img src=""//s.4cdn.org/image/temp/danger.gif"" alt="""">",x1,.jpg,591,453,250,191,1540970147550,1540970147,p4mZMmoQme4FXqMryrlq5A==,39940,0,mod,welcome-to-x-paranormal-this-is-not-a-board-for,2,2,1.0,1.0,"[{'no': 21676989, 'now': '10/31/18(Wed)03:28:59', 'name': 'Anonymous', 'com': 'Please note the following:<br><br>• This board desires high quality discussion. High quality posts will be praised. Low quality posts e.g. &quot;Is this paranormal?&quot; or &quot;I am [insert paranormal entity here] ask me anything,&quot; etc. will be removed.<br>• Requests belong on <a href=""/wsr/"" class=""quotelink"">&gt;&gt;&gt;/wsr/</a>.<br>• Conspiracy theories are welcome, but anything political in nature should be posted to <a href=""/pol/"" class=""quotelink"">&gt;&gt;&gt;/pol/</a>.<br>• For everything else, refer to global and board-specific rules.', 'filename': 'x3', 'ext': '.jpg', 'w': 540, 'h': 533, 'tn_w': 125, 'tn_h': 123, 'tim': 1540970939593, 'time': 1540970939, 'md5': '7167RjBOn1mYDR/uryf0wg==', 'fsize': 58152, 'resto': 21676943, 'capcode': 'mod'}]",1541003242,,,,
1,33570827,,,12/09/22(Fri)18:48:08,Alaster,"Welcome to the Nobody General. I love you. :3 &lt;3<br><br><span class=""quote"">&gt;Who is the Nobody?</span><br>Nobody is the nobody, doopid - that&#039;s the entire point! xD x3<br><br>But even if you&#039;re a literal nobody, or THE nobody (foreverwhat then shall that mean), I still love you &lt;3. Just don&#039;t be a doopid, and Be Well. :-)",1668221348427,.jpg,1080,780,250,180,1670629688568106,1670629688,bDPCAAF5lmWl9qhEOK03MA==,72141,0,,ng-nobody-general,142,40,137.0,38.0,"[{'no': 33571513, 'now': '12/09/22(Fri)20:45:05', 'name': 'Anonymous', 'com': '<a href=""#p33571495"" class=""quotelink"">&gt;&gt;33571495</a><br>Yep!', 'filename': 'Screenshot_20221128-015443', 'ext': '.png', 'w': 1080, 'h': 2160, 'tn_w': 62, 'tn_h': 125, 'tim': 1670636705333345, 'time': 1670636705, 'md5': 'lfZZdwUs1iOMMm+4TiEzTw==', 'fsize': 641956, 'resto': 33570827}, {'no': 33571516, 'now': '12/09/22(Fri)20:45:31', 'name': 'Anonymous', 'com': '<a href=""#p33571503"" class=""quotelink"">&gt;&gt;33571503</a>', 'filename': '1669776308865455m', 'ext': '.jpg', 'w': 916, 'h': 1024, 'tn_w': 111, 'tn_h': 125, 'tim': 1670636731499981, 'time': 1670636731, 'md5': 'Y6NVHtcGKtxwCf+pYKuoWQ==', 'fsize': 116708, 'resto': 33570827}, {'no': 33571517, 'now': '12/09/22(Fri)20:45:48', 'name': 'Anonymous', 'com': '<a href=""#p33571513"" class=""quotelink"">&gt;&gt;33571513</a><br>suit yourself', 'time': 1670636748, 'resto': 33570827}, {'no': 33571525, 'now': '12/09/22(Fri)20:47:22', 'name': 'Anonymous', 'com': '<a href=""#p33571517"" class=""quotelink"">&gt;&gt;33571517</a><br>I am already suited in my original skin, jackass <br><br>Come and get some in the flesh with your bare hands or cease to posture against that which you are powerless to otherwise try assail.', 'time': 1670636842, 'resto': 33570827}, {'no': 33571526, 'now': '12/09/22(Fri)20:47:25', 'name': 'Anonymous', 'com': 'Many more will die will from triple combo of sickness. <br><br>Praise grandfather nurgle that we are so lucky to be blessed with continued evolution to not be food that is eaten by the viruses.', 'time': 1670636845, 'resto': 33570827}]",1670636845,/ng/ - Nobody General,0.0,0.0,!!sKxWBCFP4a/
2,33560642,,,12/08/22(Thu)12:35:28,Takeshi Kovacs,"Welcome. The purpose of this general is to show you how to use your own wonderful human imagination to achieve your every desire. <br>The world and all within it is man’s conditioned consciousness objectified. Consciousness is the cause as well as the substance of the entire world. So it is to consciousness that we must turn if we would discover the secret of creation. Knowledge of the law of consciousness and the method of operating this law will enable you to accomplish all you desire in life. <br><br>The Main Concepts: <br><span class=""quote"">&gt;Imagination creates Reality </span><br><span class=""quote"">&gt;Assumptions harden into fact </span><br><span class=""quote"">&gt;Consciousness is the only Reality </span><br><span class=""quote"">&gt;Feeling is the Secret </span><br><span class=""quote"">&gt;Prayer, Living in the End/In the Wish Fulfilled (remaining Faithful to your Idea) </span><br><span class=""quote"">&gt;You are the Operant Power </span><br><span class=""quote"">&gt;There is no one to change but Self (Self-concept) </span><br><span class=""quote"">&gt;Thinking Fourth-Dimensionally (Time is an Illusion) </span><br><br><span class=""quote"">&gt;Can I manifest ___? </span><br>Yes! Creation is finished. <br><br><span class=""quote"">&gt;Curious? Do the Ladder Experiment </span><br>https://pastebin.com/yXqanLu6 <br><br><span class=""quote"">&gt;The Simple Technique </span><br>https://pastebin.com/0v2Pf0EE <br><br><span class=""quote"">&gt;Who is Neville Goddard? </span><br>Neville was a mystic who taught the Bible as a parable of the human psyche — a great psychological drama — and not a record of historical events. <br><br>Recommendations for beginners: <br><span class=""quote"">&gt;Manifestation Manual (Core Lessons &amp; Lectures) </span><br>https://files.catbox.moe/9pp8pu.pdf<wbr> <br><br><span class=""quote"">&gt;Neville&#039;s Feeling is the Secret </span><br>https://mega.nz/file/QoN2VQBR#MShF4<wbr>iuFV7eCNC3q8WX1fjdQTOOJWOylgEEtogBc<wbr>0_c <br>https://youtu.be/ffNWoefuwPM<br><br><span class=""quote"">&gt;The Creative Use of Imagination </span><br>https://www.globalgreyebooks.com/cr<wbr>eative-use-of-imagination-ebook.htm<wbr>l <br><br>—/ Extra resources /— <br><span class=""quote"">&gt;Master Index </span><br>https://pastebin.com/Ne1Tms8S <br><br><span class=""quote"">&gt;Library (Hemi-Sync included) </span><br>https://mega.nz/folder/Ns9mhDSC#iKK<wbr>xSnq5EoG_GxYLeylrSg <br><br><span class=""quote"">&gt;&gt;Previous Thread</span><br><a href=""/x/thread/33550892#p33550892"" class=""quotelink"">&gt;&gt;33550892</a>","without form, without limit",.gif,480,352,250,183,1670520928949316,1670520928,AOZITWen4dmn90WFk4uLSw==,860718,0,,loa-law-of-assumption-manifestation-general,259,49,254.0,49.0,"[{'no': 33571444, 'now': '12/09/22(Fri)20:34:39', 'name': 'Anonymous', 'com': '<a href=""#p33570738"" class=""quotelink"">&gt;&gt;33570738</a><br>It&#039;s best to believe this Anon, but in my case it did not work as I trusted the person in question. I worked closely with another practitioner for many years and as I got closer to ascension we grew apart- her desire for control and revenge won out over the more positive motives I had tried to encourage in her.<br><br>I lost nearly 10 years of progress in whatever she did that made me forget. It was not entirely terrible however, as in my way back up the ladder I have met amazing people along the way and encountered truths about myself that I would never have known.', 'time': 1670636079, 'resto': 33560642}, {'no': 33571471, 'now': '12/09/22(Fri)20:39:17', 'name': 'Anonymous', 'com': '<a href=""#p33571403"" class=""quotelink"">&gt;&gt;33571403</a><br>Thank you for this advice. I&#039;m excited to put it to use.<br><br>Namaste, and blessings to you too.', 'time': 1670636357, 'resto': 33560642}, {'no': 33571472, 'now': '12/09/22(Fri)20:39:25', 'name': 'Anonymous', 'com': '<a href=""#p33570882"" class=""quotelink"">&gt;&gt;33570882</a><br>Good job again Anon! This thread is a surprisingly good group of Anons and we are doing great things for each other and for ourselves.<br><br>Cheers to our success!', 'time': 1670636365, 'resto': 33560642}, {'no': 33571528, 'now': '12/09/22(Fri)20:47:39', 'name': 'Anonymous', 'com': '<a href=""#p33563683"" class=""quotelink"">&gt;&gt;33563683</a><br>You are the only person who actually exists in your own frame of reference. Everyone else is simply a projection of a different person&#039;s soul into your reality. All of this is actually just a reflection of all possibilities and you see only the timeline that is the result of your own choices within the field of possibility,', 'time': 1670636859, 'resto': 33560642}, {'no': 33571530, 'now': '12/09/22(Fri)20:47:52', 'name': 'Anonymous', 'com': '<a href=""#p33570394"" class=""quotelink"">&gt;&gt;33570394</a><br>That&#039;s neat. Thanks for the reply.', 'time': 1670636872, 'resto': 33560642}]",1670636872,/LoA/ — Law of Assumption &amp; Manifestation General,0.0,0.0,
3,33568618,,,12/09/22(Fri)13:13:35,Anonymous,"To all demons, archons, evil spirits, ghosts, ghouls, and gargoyles. To all skinwalkers, shaman, witches, and wizards.<br><br>You have no authority over my life or my will. You have no rights over my family. You may not approach me in Walmart while I gather supplies. You may not talk to me, or attempt to manipulate me. <br><br>This has been communicated formally, all demons and evil spirits must obey, as these words come from higher power than themselves. It is finished.",sp-warfare,.jpg,672,372,250,138,1670609615698819,1670609615,rTQLT/5D6/ESP4V9R3tzIg==,37975,0,,this-is-a-formal-warning,21,3,16.0,2.0,"[{'no': 33569479, 'now': '12/09/22(Fri)15:25:58', 'name': 'Anonymous', 'com': '<a href=""#p33568618"" class=""quotelink"">&gt;&gt;33568618</a><br>Then the JWs will get you instead!! ...Or maybe the Mormons! Consigned, you are!', 'time': 1670617558, 'resto': 33568618}, {'no': 33570106, 'now': '12/09/22(Fri)17:02:07', 'name': 'Anonymous', 'com': '<a href=""#p33568618"" class=""quotelink"">&gt;&gt;33568618</a><br>I don&#039;t want to anyway, you sound douchier than the trannies.', 'time': 1670623327, 'resto': 33568618}, {'no': 33570262, 'now': '12/09/22(Fri)17:20:58', 'name': 'Anonymous', 'com': '<a href=""#p33568681"" class=""quotelink"">&gt;&gt;33568681</a><br>I put a tranny spell on him that&#039;s going to force him to start taking hormones and feminize himself for my massive cock.', 'time': 1670624458, 'resto': 33568618}, {'no': 33571477, 'now': '12/09/22(Fri)20:39:51', 'name': 'Anonymous', 'com': '<a href=""#p33568618"" class=""quotelink"">&gt;&gt;33568618</a><br>your daughter likes my fat knob in her pooper', 'filename': '1670193831876352', 'ext': '.gif', 'w': 500, 'h': 375, 'tn_w': 125, 'tn_h': 93, 'tim': 1670636391212044, 'time': 1670636391, 'md5': 'OawdRZomA44gxt3qiSuI+Q==', 'fsize': 2095124, 'resto': 33568618}, {'no': 33571529, 'now': '12/09/22(Fri)20:47:49', 'name': 'Anonymous', 'com': '<a href=""#p33568654"" class=""quotelink"">&gt;&gt;33568654</a><br>The poor man prepper', 'time': 1670636869, 'resto': 33568618}]",1670636869,THIS IS A FORMAL WARNING,0.0,0.0,
4,33566756,,,12/09/22(Fri)06:22:49,Anonymous,"The Mu continent, AKA Atlantis. What do you think? Is it real?",Lemuria_mumap2,.jpg,360,272,250,188,1670584969237755,1670584969,NDqi0r71PB/Ty+wP/ElSfA==,30416,0,,the-mu-continent-aka-atlantis-what-do-you-think,22,3,17.0,3.0,"[{'no': 33570932, 'now': '12/09/22(Fri)19:11:32', 'name': 'Anonymous', 'com': '<a href=""#p33569420"" class=""quotelink"">&gt;&gt;33569420</a><br>spoon feed me more about this? any scholarly articles or have scientist found any trace of plant or animal life down there?<br><br>this actually makes sense, that mountain is right in the middle of the atlantic and would match where plato said it was.', 'time': 1670631092, 'resto': 33566756}, {'no': 33570970, 'now': '12/09/22(Fri)19:18:42', 'name': 'Anonymous', 'com': '<a href=""#p33570545"" class=""quotelink"">&gt;&gt;33570545</a><br><a href=""#p33570932"" class=""quotelink"">&gt;&gt;33570932</a><br>Just tell us what the fuck Plato said, mystery retards', 'time': 1670631522, 'resto': 33566756}, {'no': 33571011, 'now': '12/09/22(Fri)19:24:05', 'name': 'Anonymous', 'com': '<a href=""#p33570970"" class=""quotelink"">&gt;&gt;33570970</a><br><span class=""quote"">&gt;located in the Atlantic just beyond the Pillars of Hercules</span><br>they are those two points where spain and africa almost touch. the land mass anon posted is straight from that. <br>https://www.history.com/topics/folk<wbr>lore/atlantis#:~:text=Plato%20(thro<wbr>ugh%20the%20character%20Critias,mea<wbr>n%20the%20Strait%20of%20Gibraltar.', 'time': 1670631845, 'resto': 33566756}, {'no': 33571104, 'now': '12/09/22(Fri)19:37:58', 'name': 'Anonymous', 'com': '<a href=""#p33570496"" class=""quotelink"">&gt;&gt;33570496</a><br>I thought it was a space station', 'time': 1670632678, 'resto': 33566756}, {'no': 33571527, 'now': '12/09/22(Fri)20:47:36', 'name': 'Anonymous', 'com': '<a href=""#p33566990"" class=""quotelink"">&gt;&gt;33566990</a><br>The Koreans bombed it to destruction during the hyper war because the mu were Allied to the Finns. <br><br>They were aboriginal Australian race but had magical powers from the Dreamtime and a sophisticated sorcerer kingdom and had to be destroyed by the hwan Koreans', 'time': 1670636856, 'resto': 33566756}]",1670636856,,0.0,0.0,
5,33558706,,,12/08/22(Thu)05:55:48,Anonymous,,1654727991410,.png,620,862,179,250,1670496948479168,1670496948,IcGowgmz9qJBSyxesYY1VA==,634860,0,,post-cool-as-fuck-aliens,133,70,128.0,70.0,"[{'no': 33571476, 'now': '12/09/22(Fri)20:39:50', 'name': 'Anonymous', 'com': '<a href=""#p33570907"" class=""quotelink"">&gt;&gt;33570907</a><br>when you die, you can actually choose if you go into the light.<br>if you ignore it and deny it, you can then choose to go to transparency.<br>picture clear colorless glass anon, that you are clear and aware after you die and then use your will to simply walk away.<br>I recommend you to carefully study the tibetan book of the death as a starting point in order to not get fucked by those space niggers.', 'time': 1670636390, 'resto': 33558706}, {'no': 33571485, 'now': '12/09/22(Fri)20:41:48', 'name': 'Anonymous', 'com': '<a href=""#p33570995"" class=""quotelink"">&gt;&gt;33570995</a><br>I live close by and they are terrified of white people.<br>they say that they abduct children and that ever since those weird nazis went to antarctica, shit had never been the same.', 'time': 1670636508, 'resto': 33558706}, {'no': 33571519, 'now': '12/09/22(Fri)20:46:04', 'name': 'Anonymous', 'com': '<a href=""#p33567553"" class=""quotelink"">&gt;&gt;33567553</a><br>that&#039;s enough, proboscis luke', 'time': 1670636764, 'resto': 33558706}, {'no': 33571521, 'now': '12/09/22(Fri)20:46:21', 'name': 'Anonymous', 'com': '<a href=""#p33570000"" class=""quotelink"">&gt;&gt;33570000</a><br>What is their personal motivation?', 'time': 1670636781, 'resto': 33558706}, {'no': 33571524, 'now': '12/09/22(Fri)20:46:52', 'name': 'Anonymous', 'com': '<a href=""#p33571485"" class=""quotelink"">&gt;&gt;33571485</a><br>no shit<br>if I could get away with trolling random people with no consequences I&#039;d do it too, every tribal fear of white people and stuff is 100% right', 'time': 1670636812, 'resto': 33558706}]",1670636812,post cool as fuck aliens,0.0,0.0,
6,33562947,,,12/08/22(Thu)17:54:48,Anonymous,Why are they always naked? Also how do they have sex,4D596F41-8E6E-4F66-B7F7-5019704F4D56,.jpg,664,951,174,249,1670540088737401,1670540088,BPBCZtKIpsyYqxuryP3Oiw==,563615,0,,why-are-they-always-naked-also-how-do-they-have,50,9,45.0,9.0,"[{'no': 33570709, 'now': '12/09/22(Fri)18:24:41', 'name': 'Anonymous', 'com': '<a href=""#p33563031"" class=""quotelink"">&gt;&gt;33563031</a><br><a href=""#p33563048"" class=""quotelink"">&gt;&gt;33563048</a><br>God christcucks are retarded. Ironically and un-', 'time': 1670628281, 'resto': 33562947}, {'no': 33570771, 'now': '12/09/22(Fri)18:37:24', 'name': 'Anonymous', 'com': '<a href=""#p33562947"" class=""quotelink"">&gt;&gt;33562947</a><br>Greys are test-tube babies.', 'time': 1670629044, 'resto': 33562947}, {'no': 33570806, 'now': '12/09/22(Fri)18:44:12', 'name': 'Anonymous', 'com': '<a href=""#p33570709"" class=""quotelink"">&gt;&gt;33570709</a><br>except it&#039;s 100% correct', 'time': 1670629452, 'resto': 33562947}, {'no': 33571282, 'now': '12/09/22(Fri)20:05:12', 'name': 'Anonymous', 'com': 'Greys are not demons. They are an ancient race. More like a lower form of angel caretakers of creation. Greys had to kill off an evil alien race. Not sure which but they are called the old empire.', 'time': 1670634312, 'resto': 33562947}, {'no': 33571523, 'now': '12/09/22(Fri)20:46:48', 'name': 'Anonymous', 'com': '<a href=""#p33562947"" class=""quotelink"">&gt;&gt;33562947</a><br><span class=""quote"">&gt;Why are they always naked?</span><br>Less air drag<br><br><span class=""quote"">&gt;Also how do they have sex</span><br>They don&#039;t. Their reproductive organs have become vestigial through generations of intentional genetic engineering. Now they just watch other species do it.', 'time': 1670636808, 'resto': 33562947}]",1670636808,,0.0,0.0,
7,33571156,,,12/09/22(Fri)19:44:26,Space Cowboy,"The Queen of Sin Vol. I<br><br><br>previous: <a href=""/x/thread/33536680#p33536680"" class=""quotelink"">&gt;&gt;33536680</a><br><span class=""quote"">&gt;</span><br><span class=""quote"">&gt;START HERE! If you want to read only 1 thing, let it be this PDF</span><br><br><span class=""quote"">&gt;Cosmic Death Fungus: A Primer On An Ancient Enemy</span><br><br>https://www.docdroid.net/FX4DpXm/cd<wbr>f-nac-protocol-pdf<br><br><span class=""quote"">&gt;Join /cdf/ General here for regular info drops and the latest research. This is also moderated:</span><br><br>https://www.godlikeproductions.com/<wbr>forum1/message5240986/pg1<br><br>DO NOT USE SWANSON, PURITANS PRIDE OR NATURES TRUTH OREGANO OIL FOR THE NAC/CDF PROTOCOL. YOU NEED 40MG CARVACROL MINIMUM FOR EACH MORNING/NIGHT DOSE. LOOK FOR STEAM DISTILLED OR A 10:1 EXTRACT THAT SHOWS CARVACROL CONTENT.<br><br><span class=""quote"">&gt;The Parasite Pill</span><br>https://files.catbox.moe/q4agf7.pdf<wbr><br><br><span class=""quote"">&gt;basic gestalt on anti-parasitic treatments both herbal and synthetic</span><br>https://files.catbox.moe/ue69ab.pdf<wbr><br><br><span class=""quote"">&gt;Additional informational PDF</span><br>https://static1.squarespace.com/sta<wbr>tic/5ca959c23560c369880b1806/t/5d4f<wbr>86f20213620001e7a7ac/1565492985774/<wbr>Parasites.pdf<br><br><span class=""quote"">&gt;The Hidden Epidemic In North American Parasites</span><br>https://archive.is/oO9aO#selection-<wbr>819.0-830.0",Qos,.jpg,690,1179,146,250,1670633066175052,1670633066,pX8P7/twu3fSNHW1Rpjj8g==,105802,0,,cdf-cosmic-death-fungus-general,5,1,,,"[{'no': 33571165, 'now': '12/09/22(Fri)19:45:33', 'name': 'Space Cowboy', 'com': 'The NAC Protocol (Updated December, 2022)<br><br>Morning<br><br>*1200mg NAC <br>*Oregano Oil (min. 40mg Carvacrol)<br>*Black Seed Oil (1 teaspoon)<br><br>Night<br><br>*600mg NAC<br>*Oregano Oil (min. 40mg Carvacrol)<br>*Black Seed Oil (1 teaspoon)<br><br>Continue daily for a minimum of two months and count out 3 weeks with no die off symptoms prior to moving to the next step. <br><br>Maintenance Protocol<br>__________<br><br>Morning<br><br>*600mg NAC<br>*500mg Slo Niacin (nicotinic acid)<br>*100mg Pterostilbene<br>*Black Seed Oil (1 teaspoon)<br><br>Night<br><br>*500mg Slo Niacin <br>*100mg Pterostilbene<br>*Black Seed Oil (1 teaspoon)<br><br>After every 3 weeks on the maintenance protocol, take 1 week off. Continue to use black seed oil during the off cycle. <br><br>Fungal die off symptoms may include : <br><br>Tiredness, exhaustion, muscle soreness, increased chest or nasal discharge, cold or flu like symptoms, cold sores, headaches, rash, acne, irritability, change in stool frequency, volume or color; bloated stomach, cramps, increased gas.', 'time': 1670633133, 'resto': 33571156, 'trip': '!!f9JH9UwXtTr'}, {'no': 33571199, 'now': '12/09/22(Fri)19:51:16', 'name': 'Anonymous', 'com': 'Thanks to this thread I pooped my way to sainthood.', 'time': 1670633476, 'resto': 33571156}, {'no': 33571342, 'now': '12/09/22(Fri)20:15:02', 'name': 'Space Cowboy', 'com': 'Captain&#039;s Log: Gliese 412 Binary System: Stardate 2022.12.09<br><br>Peribsen made an important discovery today. When he has time he will likely expand on it here. <br><br>The last thread was really motivational for me. So many positive reports on the protocol, solid feedback and conversation from our regulars and anons alike. <br><br>Just remember what it was like before you removed your dark passenger. <br><br>https://www.youtube.com/watch?v=A5z<wbr>CmZ2tl2k<br><br>For many this protocol means Hope. An end to suffering. The world can be a really dark place, and the enemy feeds off of that energy and amplifies it. The first time you experience a breakthrough and feel real joy again, it&#039;s like being reborn. <br><br>Tears of joy. The power to assert yourself with clear spirit and mind. A vessel that works as intended. The realization that a physical protocol is also a spiritual transformation. Waking the innate abilities of body, mind and spirit. Becoming human.', 'filename': 'Hope', 'ext': '.jpg', 'w': 659, 'h': 611, 'tn_w': 125, 'tn_h': 115, 'tim': 1670634902626549, 'time': 1670634902, 'md5': 'fxTLwSfr5phJqwA3zPgb+g==', 'fsize': 284601, 'resto': 33571156, 'trip': '!!f9JH9UwXtTr'}, {'no': 33571449, 'now': '12/09/22(Fri)20:35:50', 'name': 'Anonymous', 'com': '<a href=""#p33571342"" class=""quotelink"">&gt;&gt;33571342</a><br>When I was on the end of week 1 I had this breakthrough your talking about. I was driving and suddenly felt this intense happiness. I pulled over and my eyes were watering up and my gf was like wtf is wrong with you. I just gave her a long hug and felt like I was awake for the first time in my life... <br><br>Die off sucked at times but I&#039;m at 4 months and my entire life has changed. Thank you. I mean that', 'time': 1670636150, 'resto': 33571156}, {'no': 33571522, 'now': '12/09/22(Fri)20:46:38', 'name': 'Anonymous', 'com': '<a href=""#p33571199"" class=""quotelink"">&gt;&gt;33571199</a><br>I actually say be gone demons when I drop a hot one. I imagine my body becoming purer every time I shit.', 'time': 1670636798, 'resto': 33571156}]",1670636798,/cdf/ - Cosmic Death Fungus General,0.0,0.0,!!f9JH9UwXtTr
8,33531954,,,12/04/22(Sun)17:58:50,Anonymous,"Did anyone here have any paranormal or weird/creepy experiences with vidya? Or just stuff that yo remember that actually doesn&#039;t exist<br><span class=""quote"">&gt;be me</span><br><span class=""quote"">&gt;play mario 64 ds as a kid</span><br><span class=""quote"">&gt;behind the door of the minigame room is peachs bedroom or something</span><br><span class=""quote"">&gt;Can distingtly remember that if you jump into the window you get into a kind an level with flower fields</span><br><span class=""quote"">&gt;memory of it is very clear and i also remember there being rabbits</span><br><span class=""quote"">&gt;became my favorite level</span><br><span class=""quote"">&gt;be me but older</span><br><span class=""quote"">&gt;Go to this room</span><br><span class=""quote"">&gt;jump into the window</span><br><span class=""quote"">&gt;nothing happens</span><br><span class=""quote"">&gt;think maybe you have to unlock this</span><br><span class=""quote"">&gt;search online</span><br><span class=""quote"">&gt;find nothing</span><br>Anyone else remember this?",glitchfull,.jpg,512,384,250,187,1670194730956572,1670194730,dc00xp7qbwSefSDCA3/thw==,220776,0,,vidya,245,44,240.0,44.0,"[{'no': 33569888, 'now': '12/09/22(Fri)16:30:48', 'name': 'Anonymous', 'com': '<a href=""#p33567508"" class=""quotelink"">&gt;&gt;33567508</a><br>For sure, it feels weird to call Valve a horror studio but all their games except TF2 were definitely horror stories imo. Even though L4D was just an arcade shooter, the lore implication that the Survivors were actually vectors for the disease and they&#039;re doomed to unintentionally kill everyone they come across is genuinely really scary. Half-life is downright fucking terrifying if you think about what&#039;s really going on, but it&#039;s not even scary to play. The horror themes are vague enough about that in my mind The Mist, 10 Cloverfield Lane, and Children of Men all naturally fit into the series. It&#039;s a really unique style, there should be more games and stories in general that are horror without being &quot;horror&quot;', 'time': 1670621448, 'resto': 33531954}, {'no': 33569905, 'now': '12/09/22(Fri)16:33:29', 'name': 'Anonymous', 'com': '<a href=""#p33569799"" class=""quotelink"">&gt;&gt;33569799</a><br>Oh yea Kanye Quest had all that bizarre secret cult shit in it, I wonder if Kanye himself knows about it.. Seems like it&#039;d be the type of thing to set him off kek', 'time': 1670621609, 'resto': 33531954}, {'no': 33570193, 'now': '12/09/22(Fri)17:11:59', 'name': 'Anonymous', 'com': '<a href=""#p33560648"" class=""quotelink"">&gt;&gt;33560648</a><br>Planet isnt biblical. Stupid mormons.', 'time': 1670623919, 'resto': 33531954}, {'no': 33571315, 'now': '12/09/22(Fri)20:11:00', 'name': 'Anonymous', 'com': '<a href=""#p33542403"" class=""quotelink"">&gt;&gt;33542403</a><br>I know exactly what you mean but with skyrim. First played it when i was like 8 or 9, the memories I have of it are really weird, they dont sound like the actual game, more like just the vibe of exploring in the snow, some ethereal-feeling images, listening to the music, hunting in whiterun plains. Unfortunately I lost my original save.', 'time': 1670634660, 'resto': 33531954}, {'no': 33571520, 'now': '12/09/22(Fri)20:46:13', 'name': 'Anonymous', 'com': '<a href=""#p33546330"" class=""quotelink"">&gt;&gt;33546330</a><br>this makes a lot of sense anon, thank you for the post', 'time': 1670636773, 'resto': 33531954}]",1670636773,Vidya,0.0,0.0,
9,33571483,,,12/09/22(Fri)20:41:29,Anonymous,"Demons In The Hallways Tonight Again, Manic Laughter, Bare Footsteps, Running. A Great Number Of People Have Been Standing, Knocking On A Neighbour&#039;s Door For Over Half An Hour Now. I Suspect They Are Intending To Sacrifice Him, I Peeked My Head Out To See What Was Going On Unfortunately They Are Now Aware That I Am Inside, I Fear For Myself. I Pray For Their End Soon But I Know Not What Else To Do. I Do Not Think I Have The Ability To Deal With It Myself. It Is Affecting My Mental..",20221201_211249,.jpg,1600,1600,250,250,1670636489086814,1670636489,k6b/Xd0neNLKu7c7rTRoCQ==,776964,0,,constant-psychic-warfare-on-all-fronts-once-again,1,0,,,"[{'no': 33571518, 'now': '12/09/22(Fri)20:46:00', 'name': 'Anonymous', 'com': '<a href=""#p33571483"" class=""quotelink"">&gt;&gt;33571483</a><br>Do you require assistance?', 'time': 1670636760, 'resto': 33571483}]",1670636760,Constant Psychic Warfare On All Fronts Once Again,0.0,0.0,
