,no,sticky,closed,now,name,sub,com,filename,ext,w,h,tn_w,tn_h,tim,time,md5,fsize,resto,capcode,semantic_url,replies,images,last_replies,last_modified,bumplimit,imagelimit,omitted_posts,omitted_images,filedeleted
0,2565057,1.0,1.0,10/08/18(Mon)16:47:27,Anonymous,Welcome to /y/,"PLEASE READ BEFORE POSTING<br>/y/ is for sharing 2D male homosexual NSFW content (sex full nudity etc)<br><br>This is an image board so post fullsized images. When making a new thread check the catalog <a href=""/y/catalog"" class=""quotelink"">&gt;&gt;&gt;/y/catalog</a> to make sure a thread for that series/content doesn&#039;t already exist<br>If you do make a thread post 5-6 images to get the thread going.<br><br>Gay content that doesn&#039;t belong here<br>Real life gay <a href=""/hm/"" class=""quotelink"">&gt;&gt;&gt;/hm/</a><br>SFW gay <a href=""/cm/"" class=""quotelink"">&gt;&gt;&gt;/cm/</a><br>Strange gay (cuntboys, dickgirls etc) <a href=""/d/"" class=""quotelink"">&gt;&gt;&gt;/d/</a><br>Shota (prepubescent males) <a href=""/b/"" class=""quotelink"">&gt;&gt;&gt;/b/</a><br>Furries <a href=""/b/"" class=""quotelink"">&gt;&gt;&gt;/b/</a>",1534547491466[1],.jpg,551.0,713.0,193.0,250.0,1539031647862.0,1539031647,NcNeC5LtLGmIGLZ19IPr4A==,185786.0,0,mod,welcome-to-y,1,0,"[{'no': 2565059, 'now': '10/08/18(Mon)16:51:46', 'name': 'Anonymous', 'com': 'In addition please refrain from making content-less bump posts. Such posts will be warned or even banned.', 'time': 1539031906, 'resto': 2565057, 'capcode': 'mod'}]",1539031914,,,,,
1,2987482,,,11/30/22(Wed)12:58:26,Anonymous,BL Discussion Thread #96,"Read any good BL recently? Drop your recs and read along here!<br><br>Recs:<br><span class=""quote"">&gt;https://controlc.com/329f5e89</span><br><span class=""quote"">&gt;https://pinboard.in/u:yrecs (NEEDS UPDATING - see below for details)</span><br><br>BL Licensers and How to Request from Them:<br><span class=""quote"">&gt;https://controlc.com/3858c1ea</span><br>Project JUNE Download:<br><span class=""quote"">&gt;https://projectjune.dreamwidth.org<wbr>/473.html</span><br>Tiermakers:<br><span class=""quote"">&gt;https://tiermaker.com/user/579020</span><br><br><br>Previous thread: <a href=""/y/thread/2981734#p2981734"" class=""quotelink"">&gt;&gt;2981734</a>",606751E9-5A4C-4CE4-B328-7FC04E9AC38F,.jpg,1000.0,1420.0,176.0,249.0,1669831106059476.0,1669831106,I2antZHh6HzLpPhm2LuYRA==,158099.0,0,,bl-discussion-thread-96,99,21,"[{'no': 2988681, 'now': '12/10/22(Sat)07:54:29', 'name': 'Anonymous', 'com': '<a href=""#p2988672"" class=""quotelink"">&gt;&gt;2988672</a><br>I love this art style so much this and calamitail.', 'time': 1670676869, 'resto': 2987482}, {'no': 2988763, 'now': '12/11/22(Sun)00:29:35', 'name': 'Anonymous', 'com': '<span class=""quote"">&gt;he is a nasty little vixen tricking others into relationships to get over their ex instead of just staying friends</span><br>Ah yes, that&#039;s so much worse than tricking people into relationships so you can steal their life savings. And, of course, Tatsumi will never have to think about or make right with those faceless victims, since their not spreading their boypussies for him every night.<br><br>As to Given, you are describing a person whose way more calculating and self aware than Mafuyu has ever been shown to be, when the reality is that he&#039;s an aloof dumbass like every other character in that series. <br>He&#039;s a dumb, inconsiderate puppy that doesn&#039;t know what he wants.<br>I&#039;m eagerly awaiting the obligatory dubcon that will make him realize.', 'time': 1670736575, 'resto': 2987482}, {'no': 2988790, 'now': '12/11/22(Sun)05:22:41', 'name': 'Anonymous', 'com': '<a href=""#p2988763"" class=""quotelink"">&gt;&gt;2988763</a><br>Anon stop trying to make sense of a schizo poster', 'time': 1670754161, 'resto': 2987482}, {'no': 2988791, 'now': '12/11/22(Sun)05:32:46', 'name': 'Anonymous', 'com': '<a href=""#p2988763"" class=""quotelink"">&gt;&gt;2988763</a><br>The other anon is right I don&#039;t even understand my absolute loathing for Mafuyu anymore. I thought my head canon as something I was absolutely sure of last thread unless I&#039;m being gaslit by the Given fans.', 'time': 1670754766, 'resto': 2987482}, {'no': 2988808, 'now': '12/11/22(Sun)07:11:53', 'name': 'Anonymous', 'com': '<a href=""#p2988763"" class=""quotelink"">&gt;&gt;2988763</a><br>Oh second thought scammer scamming and Mafuyu emotionally manipulating are two different things. <br>Mafuyu is like an oblivious retard who is harmful to all of his partners, while scammer is just twisted and knows he hurts people but is trying to change. <br>And even after seeing Ue do all these things for him he still doesn&#039;t recognize how unhealthy it is to be obsessed with his dead ex while in a brand new relationship. It&#039;s so ignorant that it feels evil. While scammer is did scam a bunch of women he at least understand he is human garbage and is trying to change while Mafuyu has not nothing to change other than get appeased because how unsure he makes his parnters feels.', 'time': 1670760713, 'resto': 2987482}]",1670760713,0.0,0.0,94.0,21.0,
2,2970668,,,08/07/22(Sun)22:32:45,Anonymous,Jojo #7,"Dirty Deeds Edition<br>Previous: <span class=""deadlink"">&gt;&gt;2886421</span><br><br>Something something add Pizano#6160 for access to the Discord (They probably won&#039;t let you in)",57380499_p1,.jpg,800.0,1060.0,188.0,250.0,1659925965259405.0,1659925965,INQi+u5ZHP09hkouBg5d8w==,1154507.0,0,,jojo-7,80,71,"[{'no': 2988803, 'now': '12/11/22(Sun)06:52:59', 'name': 'Anonymous', 'filename': '1454382949978', 'ext': '.jpg', 'w': 600, 'h': 532, 'tn_w': 125, 'tn_h': 110, 'tim': 1670759579318140, 'time': 1670759579, 'md5': 'GdSA0/OWKrl+6tEVNWOWDA==', 'fsize': 119026, 'resto': 2970668}, {'no': 2988804, 'now': '12/11/22(Sun)06:53:30', 'name': 'Anonymous', 'filename': '1453333500409', 'ext': '.png', 'w': 600, 'h': 851, 'tn_w': 88, 'tn_h': 125, 'tim': 1670759610658305, 'time': 1670759610, 'md5': 'JD/ffOQxcg1vrDeNKxAmXw==', 'fsize': 272811, 'resto': 2970668}, {'no': 2988805, 'now': '12/11/22(Sun)06:59:50', 'name': 'Anonymous', 'filename': '1456335465001', 'ext': '.jpg', 'w': 500, 'h': 354, 'tn_w': 125, 'tn_h': 88, 'tim': 1670759990783253, 'time': 1670759990, 'md5': 'P2HwO7dUSIkM3F2Pmcb/9Q==', 'fsize': 82550, 'resto': 2970668}, {'no': 2988806, 'now': '12/11/22(Sun)07:00:34', 'name': 'Anonymous', 'filename': '1441336399268', 'ext': '.jpg', 'w': 848, 'h': 699, 'tn_w': 125, 'tn_h': 103, 'tim': 1670760034306152, 'time': 1670760034, 'md5': 'sKBCtK2cVhIq3+oiQnpl0g==', 'fsize': 558024, 'resto': 2970668}, {'no': 2988807, 'now': '12/11/22(Sun)07:02:27', 'name': 'Anonymous', 'filename': '1437267993266', 'ext': '.jpg', 'w': 414, 'h': 1024, 'tn_w': 50, 'tn_h': 125, 'tim': 1670760147801217, 'time': 1670760147, 'md5': '10ZhZXCHZVDcYxhA4nV1AA==', 'fsize': 64468, 'resto': 2970668}]",1670760147,0.0,0.0,75.0,66.0,
3,2986920,,,11/26/22(Sat)12:38:01,Anonymous,Pokemen: Saguaro Supremacy,"Last pokemon thread <a href=""/y/thread/2955750#p2955750"" class=""quotelink"">&gt;&gt;2955750</a>",FFF3DF6F-19C5-461B-A9CE-AB6961010FA9,.jpg,850.0,1071.0,198.0,250.0,1669484281451910.0,1669484281,Cqt0R76XNvIG3j9MoXcF1w==,196893.0,0,,pokemen-saguaro-supremacy,45,41,"[{'no': 2988792, 'now': '12/11/22(Sun)06:26:52', 'name': 'Anonymous', 'com': 'love volo', 'filename': 'volo oral', 'ext': '.jpg', 'w': 1815, 'h': 2048, 'tn_w': 110, 'tn_h': 125, 'tim': 1670758012680328, 'time': 1670758012, 'md5': '5zXB8Nwxv6bbJp6eD40NRQ==', 'fsize': 356082, 'resto': 2986920}, {'no': 2988793, 'now': '12/11/22(Sun)06:27:33', 'name': 'Anonymous', 'filename': '8bde996d01d6728b6df62feb4e2fa451', 'ext': '.jpg', 'w': 1070, 'h': 920, 'tn_w': 125, 'tn_h': 107, 'tim': 1670758053268794, 'time': 1670758053, 'md5': 'i96ZbQHWcott9i/rTi+kUQ==', 'fsize': 941616, 'resto': 2986920}, {'no': 2988794, 'now': '12/11/22(Sun)06:31:17', 'name': 'Anonymous', 'filename': '83f9eb2697a4b9005dfe812a29bb9617', 'ext': '.png', 'w': 2022, 'h': 2334, 'tn_w': 108, 'tn_h': 125, 'tim': 1670758277675300, 'time': 1670758277, 'md5': 'g/nrJpekuQBd/oEqKbuWFw==', 'fsize': 1652641, 'resto': 2986920}, {'no': 2988795, 'now': '12/11/22(Sun)06:31:51', 'name': 'Anonymous', 'filename': '0831d20517989d8cc1b12a2372c9154d', 'ext': '.jpg', 'w': 1249, 'h': 2048, 'tn_w': 76, 'tn_h': 125, 'tim': 1670758311152507, 'time': 1670758311, 'md5': 'lCOCoIl8efeX8ScpIbQWHQ==', 'fsize': 247994, 'resto': 2986920}, {'no': 2988796, 'now': '12/11/22(Sun)06:33:47', 'name': 'Anonymous', 'filename': '612aeefda170a975108f6202ed232774', 'ext': '.jpg', 'w': 750, 'h': 1000, 'tn_w': 93, 'tn_h': 125, 'tim': 1670758427128827, 'time': 1670758427, 'md5': 'WCXj5n2Ow3J9YEHTDwvfxg==', 'fsize': 501646, 'resto': 2986920}]",1670758427,0.0,0.0,40.0,36.0,
4,2982018,,,10/20/22(Thu)15:58:53,Anonymous,Gay Harem,"Gay Harem affection scenes<br><br>Old <span class=""deadlink"">&gt;&gt;2973296</span>",mythic_pachinko_circle,.png,616.0,616.0,250.0,250.0,1666295933175247.0,1666295933,MWFi44vO8IGUzT9WWbQgWg==,29307.0,0,,gay-harem,220,182,"[{'no': 2988785, 'now': '12/11/22(Sun)04:53:54', 'name': 'Anonymous', 'filename': 'Santi 4', 'ext': '.jpg', 'w': 1600, 'h': 901, 'tn_w': 125, 'tn_h': 70, 'tim': 1670752434400388, 'time': 1670752434, 'md5': 'GlbVYbaEOpLOqkvk+KBbOg==', 'fsize': 214969, 'resto': 2982018}, {'no': 2988786, 'now': '12/11/22(Sun)04:54:29', 'name': 'Anonymous', 'filename': 'Santi 5', 'ext': '.jpg', 'w': 1600, 'h': 901, 'tn_w': 125, 'tn_h': 70, 'tim': 1670752469090253, 'time': 1670752469, 'md5': 'w1U0Z1fVNs3mQYwZVd2vtg==', 'fsize': 185309, 'resto': 2982018}, {'no': 2988787, 'now': '12/11/22(Sun)04:55:13', 'name': 'Anonymous', 'filename': 'Ice Power Warrior 1', 'ext': '.jpg', 'w': 1600, 'h': 901, 'tn_w': 125, 'tn_h': 70, 'tim': 1670752513451825, 'time': 1670752513, 'md5': 'f59F78DblKhMHebEAZZL0w==', 'fsize': 192267, 'resto': 2982018}, {'no': 2988788, 'now': '12/11/22(Sun)04:57:30', 'name': 'Anonymous', 'filename': 'Ice Power Warrior 2', 'ext': '.jpg', 'w': 1600, 'h': 901, 'tn_w': 125, 'tn_h': 70, 'tim': 1670752650584554, 'time': 1670752650, 'md5': 'EFiZLOz5FTq8kFjIb40p3g==', 'fsize': 158427, 'resto': 2982018}, {'no': 2988789, 'now': '12/11/22(Sun)04:58:02', 'name': 'Anonymous', 'filename': 'Ice Power Warrior 3', 'ext': '.jpg', 'w': 1600, 'h': 901, 'tn_w': 125, 'tn_h': 70, 'tim': 1670752682838208, 'time': 1670752682, 'md5': 'dmde+95yg2Qxzvf+qE9XrQ==', 'fsize': 166854, 'resto': 2982018}]",1670752682,0.0,0.0,215.0,177.0,
5,2968563,,,07/25/22(Mon)15:59:46,Anonymous,Mob Psycho 100,no shota please (obviously),IMG_20190224_113345,.jpg,900.0,821.0,250.0,228.0,1658779186341076.0,1658779186,vVzZQhCeuMWq5IPZlXhVkQ==,99399.0,0,,mob-psycho-100,159,152,"[{'no': 2988142, 'now': '12/06/22(Tue)12:02:09', 'name': 'Anonymous', 'filename': '102588413_p6', 'ext': '.png', 'w': 1334, 'h': 1180, 'tn_w': 124, 'tn_h': 110, 'tim': 1670346129246597, 'time': 1670346129, 'md5': 'IuUeoJ0Q4Xjp3Ypxm9npYg==', 'fsize': 517809, 'resto': 2968563}, {'no': 2988340, 'now': '12/07/22(Wed)17:24:49', 'name': 'Anonymous', 'filename': 'IMG_20221120_031413', 'ext': '.png', 'w': 968, 'h': 1068, 'tn_w': 113, 'tn_h': 125, 'tim': 1670451889479960, 'time': 1670451889, 'md5': 'jvPOOB3qzsLwi9C1PqRn4A==', 'fsize': 261155, 'resto': 2968563}, {'no': 2988406, 'now': '12/08/22(Thu)11:17:19', 'name': 'Anonymous', 'filename': 'IMG_20221120_031451', 'ext': '.jpg', 'w': 1124, 'h': 970, 'tn_w': 125, 'tn_h': 107, 'tim': 1670516239647706, 'time': 1670516239, 'md5': 'VCuk/85hH7LiA1djDDexog==', 'fsize': 184711, 'resto': 2968563}, {'no': 2988656, 'now': '12/10/22(Sat)00:43:23', 'name': 'Anonymous', 'filename': 'IMG_20221120_031508', 'ext': '.jpg', 'w': 1628, 'h': 1019, 'tn_w': 125, 'tn_h': 78, 'tim': 1670651003190836, 'time': 1670651003, 'md5': 'lI7ve1BvVEX1qgdLET0cPg==', 'fsize': 244889, 'resto': 2968563}, {'no': 2988781, 'now': '12/11/22(Sun)04:43:18', 'name': 'Anonymous', 'filename': 'IMG_20221120_031517', 'ext': '.jpg', 'w': 679, 'h': 689, 'tn_w': 123, 'tn_h': 125, 'tim': 1670751798694510, 'time': 1670751798, 'md5': 'tezF/nSpIvd2qDlsTZgkCg==', 'fsize': 72009, 'resto': 2968563}]",1670751798,0.0,0.0,154.0,147.0,
6,2975682,,,09/16/22(Fri)04:02:12,Anonymous,"Ladies, why do you like yaoi?",And how many of you girls love actual gay porn?,5207386 - David_King Dead_by_Daylight Dwight_Fairfield garbancobean,.png,2400.0,1860.0,250.0,193.0,1663315332607821.0,1663315332,IVGpUclMi3giCzJzat9isg==,2151118.0,0,,ladies-why-do-you-like-yaoi,257,38,"[{'no': 2988599, 'now': '12/09/22(Fri)17:04:05', 'name': 'Anonymous', 'com': '<a href=""#p2988593"" class=""quotelink"">&gt;&gt;2988593</a><br><span class=""quote"">&gt;they all thought it would be gay men</span><br>Those were some weird-ass women.', 'time': 1670623445, 'resto': 2975682}, {'no': 2988649, 'now': '12/09/22(Fri)22:34:01', 'name': 'Anonymous', 'com': '<a href=""#p2975755"" class=""quotelink"">&gt;&gt;2975755</a><br>Dunno why people are seething at you, you&#039;re right.<br>t. woman', 'time': 1670643241, 'resto': 2975682}, {'no': 2988654, 'now': '12/10/22(Sat)00:23:09', 'name': 'Anonymous', 'com': '<a href=""#p2975755"" class=""quotelink"">&gt;&gt;2975755</a><br>This but 2D/fictional men. No fatties or ugly bastards unless they&#039;re with sexy hot men', 'filename': '70018553_p0', 'ext': '.png', 'w': 1000, 'h': 1417, 'tn_w': 88, 'tn_h': 125, 'tim': 1670649789868099, 'time': 1670649789, 'md5': 'hV1UeImIFovb3wBbiGmn0Q==', 'fsize': 1199447, 'resto': 2975682}, {'no': 2988698, 'now': '12/10/22(Sat)12:10:19', 'name': 'Anonymous', 'com': '<a href=""#p2987924"" class=""quotelink"">&gt;&gt;2987924</a><br><a href=""#p2987945"" class=""quotelink"">&gt;&gt;2987945</a><br><a href=""#p2988331"" class=""quotelink"">&gt;&gt;2988331</a><br>this but unironically', 'time': 1670692219, 'resto': 2975682}, {'no': 2988780, 'now': '12/11/22(Sun)04:37:45', 'name': 'Anonymous', 'com': 'Don&#039;t hate on women. Hate on male str8oids, trannies and trap/femboyfags instead', 'filename': 'FMNXV8VaQAM0LLX', 'ext': '.jpg', 'w': 1275, 'h': 1514, 'tn_w': 105, 'tn_h': 125, 'tim': 1670751465797524, 'time': 1670751465, 'md5': 'a4z4oMifyXLxu5+wHVrkcw==', 'fsize': 352769, 'resto': 2975682}]",1670751465,0.0,0.0,252.0,36.0,
7,2985074,,,11/12/22(Sat)02:00:19,Anonymous,/ydg/ - Yaoi Diffusion General,"Any yaoi diffusion works? It is sad that only hentai thread grows much but no yaoi one.<br><br>NAI LEAK SPEEDRUN+FAQ<br>https://rentry.org/nai-speedrun | https://rentry.org/sdg_FAQ<br><br><span class=""quote"">&gt;NEWS + UPDATES</span><br>https://rentry.org/sdupdates2<br><br>FREE:<br><span class=""quote"">&gt;Local install</span><br>Nvidia GPU: https://rentry.org/voldy | https://github.com/AbdBarho/stable-<wbr>diffusion-webui-docker<br>CPU: http://rentry.org/cputard<br><span class=""quote"">&gt;AMD Guides</span><br>Native: https://rentry.org/sd-nativeisekait<wbr>oo<br>Docker: https://rentry.org/sdamd<br>Onnx: https://rentry.org/ayymd-stable-dif<wbr>fustion-v1_4-guide<br><br><span class=""quote"">&gt;SaaS</span><br>NSFW txt2img: discord.gg/unstablediffusion | https://dezgo.com | https://pornpen.ai<br><br>PAID:<br>Anime: https://novelai.net/<br><span class=""quote"">&gt;Cloud Hosted Install</span><br>Colab: https://rentry.org/sd-colab-automat<wbr>ic<br>Paperspace: https://rentry.org/865dy<br><br>MISC:<br><span class=""quote"">&gt;Models</span><br>https://rentry.org/sdmodels<br>https://cyberes.github.io/stable-di<wbr>ffusion-models/<br>https://rentry.org/NAIwildcards<br><br><span class=""quote"">&gt;Textual Inversion</span><br>https://github.com/AUTOMATIC1111/st<wbr>able-diffusion-webui/wiki/Textual-I<wbr>nversion | https://rentry.org/hypernetwork4dum<wbr>dums | https://i.imgur.com/yv3TrrC.jpeg<br><br><span class=""quote"">&gt;Resources</span><br>Artist styles: https://rentry.org/anime_and_tittie<wbr>s | https://rentry.org/artists_sd-v1-4<br>Waifu creation tags: https://chara-zokusei.jp/en/questio<wbr>n_list<br>Big index: https://pharmapsychotic.com/tools.h<wbr>tml<br>Dataset: https://rom1504.github.io/clip-retr<wbr>ieval/<br><br><span class=""quote"">&gt;SaaS Sites</span><br>txt2img: https://huggingface.co/spaces/stabi<wbr>lityai/stable-diffusion | https://beta.dreamstudio.ai<br>img2img: https://huggingface.co/spaces/huggi<wbr>ngface/diffuse-the-rest<br>inpainting: https://huggingface.co/spaces/fffil<wbr>oni/stable-diffusion-inpainting | https://inpainter.vercel.app/paint<br><br><span class=""quote"">&gt;Other Guides</span><br>Inpainting/Outpainting: https://rentry.org/drfar | https://rentry.org/inpainting-guide<wbr>-SD<br>Upscaling: https://rentry.org/sdupscale<br>Training: https://rentry.org/informal-trainin<wbr>g-guide<br>Animation: https://rentry.org/AnimAnon<br><br><span class=""quote"">&gt;In-Depth Usage</span><br>/g/ wiki: https://wiki.installgentoo.com/wiki<wbr>/Stable_Diffusion",ccb3b50c9832f7260aa2d86f8c9c8dd8,.png,512.0,640.0,200.0,250.0,1668236419758375.0,1668236419,zLO1DJgy9yYKothvjJyN2A==,590840.0,0,,ydg-yaoi-diffusion-general,48,29,"[{'no': 2988605, 'now': '12/09/22(Fri)17:11:46', 'name': 'Anonymous', 'com': '<a href=""#p2987936"" class=""quotelink"">&gt;&gt;2987936</a><br>Those shins are fucking busted,', 'time': 1670623906, 'resto': 2985074}, {'no': 2988608, 'now': '12/09/22(Fri)17:13:18', 'name': 'Anonymous', 'com': '<a href=""#p2987937"" class=""quotelink"">&gt;&gt;2987937</a><br>Like a babies arm holding an apple.', 'time': 1670623998, 'resto': 2985074}, {'no': 2988648, 'now': '12/09/22(Fri)22:21:09', 'name': 'Anonymous', 'com': '<a href=""#p2987937"" class=""quotelink"">&gt;&gt;2987937</a><br>that&#039;s some painful blueballs', 'time': 1670642469, 'resto': 2985074}, {'no': 2988651, 'now': '12/09/22(Fri)23:05:19', 'name': 'Anonymous', 'com': '<a href=""#p2988588"" class=""quotelink"">&gt;&gt;2988588</a><br>this one is awesome<br><br>i&#039;m kinda still struggling to get something lewd and decent but this was a recent attempt', 'filename': '00015-1792435871-masterpiece, high quality, hires, green skin, ((male)), muscular male, pointy ears, large penis, happy, eyes closed', 'ext': '.png', 'w': 576, 'h': 576, 'tn_w': 125, 'tn_h': 125, 'tim': 1670645119871817, 'time': 1670645119, 'md5': 'ZHs4qbURamFOWFoADGwXTw==', 'fsize': 301515, 'resto': 2985074}, {'no': 2988779, 'now': '12/11/22(Sun)04:28:43', 'name': 'Anonymous', 'filename': '04142-2571031916-masterpiece, best quality, (nsfw_1.2), 1girl, abs, chest_hair, gradient, gradient_background, grey_background, greyscale, manly,', 'ext': '.png', 'w': 768, 'h': 1152, 'tn_w': 83, 'tn_h': 125, 'tim': 1670750923378059, 'time': 1670750923, 'md5': 'AbkiS2bY75PjqF4gQxhNHQ==', 'fsize': 1118677, 'resto': 2985074}]",1670750923,0.0,0.0,43.0,27.0,
8,2987695,,,12/02/22(Fri)04:06:47,Anonymous,What is your husbando,Who?,EBF05A5E-EB50-4A3B-91FE-34FCCC1CD371,.png,300.0,168.0,250.0,140.0,1669972007627057.0,1669972007,xjwN+fw+VJLkY9guWkfAZA==,89132.0,0,,what-is-your-husbando,7,7,"[{'no': 2988036, 'now': '12/05/22(Mon)12:59:23', 'name': 'Anonymous', 'com': 'Balam Shichiro from Welcome to Demon School, Iruma-kun. The sharp teeth, fat tits, and heart of gold make me stupid.', 'filename': '20220508_082933', 'ext': '.jpg', 'w': 688, 'h': 2048, 'tn_w': 41, 'tn_h': 125, 'tim': 1670263163617617, 'time': 1670263163, 'md5': 'oTB9CR7VNSBZccRJIGlPXw==', 'fsize': 459383, 'resto': 2987695}, {'no': 2988085, 'now': '12/05/22(Mon)22:39:41', 'name': 'Anonymous', 'com': 'Phoenix Wright.<br>He&#039;s been my one and only for years and I want to fuck him so badly.', 'filename': 'illust_101391417_20221001_004359', 'ext': '.jpg', 'w': 1200, 'h': 1116, 'tn_w': 125, 'tn_h': 116, 'tim': 1670297981105901, 'time': 1670297981, 'md5': 'T2lXibeYDviUcavBz7xaIA==', 'fsize': 443031, 'resto': 2987695}, {'no': 2988103, 'now': '12/06/22(Tue)03:55:04', 'name': 'Anonymous', 'com': 'Abarai Renji.<br>Excited to see him in the new episode.', 'filename': '55226004_p29_master1200', 'ext': '.jpg', 'w': 781, 'h': 789, 'tn_w': 123, 'tn_h': 125, 'tim': 1670316904802333, 'time': 1670316904, 'md5': 'BrGxBWFvo1SCma6/+95bkQ==', 'fsize': 176134, 'resto': 2987695}, {'no': 2988397, 'now': '12/08/22(Thu)08:27:23', 'name': 'Anonymous', 'com': 'Yami Sukehiro<br>I WANT THIS HUNK SO BAD', 'filename': 'EE5BAB24-B993-4C6C-96FA-D8BD641012BD', 'ext': '.jpg', 'w': 1666, 'h': 1920, 'tn_w': 108, 'tn_h': 125, 'tim': 1670506043031681, 'time': 1670506043, 'md5': 'lB0JHeOyjRRakv6mEBVRkg==', 'fsize': 176684, 'resto': 2987695}, {'no': 2988777, 'now': '12/11/22(Sun)04:00:28', 'name': 'Anonymous', 'com': 'Been in love with daddy Ryu since I was 8 years old playing Street Fighter 2 on my SNES.', 'filename': '4400595 - Ryu Street_Fighter ne0_navi (1)', 'ext': '.jpg', 'w': 3000, 'h': 2500, 'tn_w': 125, 'tn_h': 104, 'tim': 1670749228663130, 'time': 1670749228, 'md5': 'HsMmstxcnrUs6cO3GXxAWQ==', 'fsize': 543900, 'resto': 2987695}]",1670749228,0.0,0.0,2.0,2.0,
9,2988108,,,12/06/22(Tue)04:01:12,Anonymous,/Y/DrawThread #146,"RULES (PLEASE READ THEM):<br>1) Be nice to drawfags, they&#039;re drawing for you for free after all. If you&#039;re looking to add criticism, please do so in a respectful manner.<br>2) Specifics details &amp; reference pics IN ONE POST are MANDATORY. Be Mindful before hitting post. Combine them in MSPaint &amp; compress with TinyJPG. No excuses.<br>3) Don&#039;t expect your request to be done straight away or at all, not every request is going to get done. If you&#039;re repeating a request in a new thread, try including more refs. <br>4) Stick to fictional characters. Characters from live action film/television are fine, just not the actor themselves. ie MCU Captain America requests are fine, but not Chris Evans.<br>5) DON&#039;T BE GREEDY- no begging, HOARDING BY POSTING DIFFERENT REQUESTS BY THE SAME ANON, repeating filled requests, It&#039;s ungrateful to the drawfags filling for you for free.<br>6) Usual board/global rules apply - no yiff, cuntboy or other hardcore /d/, make sure they&#039;re legal, etc. Use Imgur or catbox if you&#039;re worried a request/fill is too extreme.<br>7) NO THREAD DERAILMENT, Don&#039;t bother arguing, report filter or hide them. if (you) want to contact the jannys in the IRC:<br>https://www.4chan-x.net/4chan-irc.h<wbr>tml<br>8) When the thread reaches bump limit, please wait until the current thread reaches page8 of the catalog before making a new one.<br><span class=""quote"">&gt;Collection of Deliveries:</span><br>http://y-drawthreads.booru.org/<br>*use your extra time to archive deliveries in the booru or r34<br><span class=""quote"">&gt;Drawing books, tutorials, practice websites &amp; drawing programs:</span><br>http://pastebin.com/4CpXsY7a<br><span class=""quote"">&gt;Drawing books, tutorials, practice websites &amp; drawing programs:</span><br>http://pastebin.com/4CpXsY7a<br><span class=""quote"">&gt;Drawing tips <a href=""//boards.4chan.org/ic/thread/1579290#p1579290"" class=""quotelink"">&gt;&gt;&gt;/ic/1579290</a> # </span><br>Previous thread: <a href=""/y/thread/2984398#p2984398"" class=""quotelink"">&gt;&gt;2984398</a><br><span class=""quote"">&gt;discord link incase there&#039;s too much spam</span><br>https://discord.gg/hwcKhb5rqW",PicsArt_12-06-01.02.00,.png,1440.0,2290.0,157.0,250.0,1670317272341572.0,1670317272,U+E0nHOZZtZWx3gOUf7usw==,3414124.0,0,,ydrawthread-146,82,45,"[{'no': 2988751, 'now': '12/10/22(Sat)23:05:52', 'name': 'Anonymous', 'com': 'There could be more than one. <br>All I know is that these disruptive anons will never get a fill, same with the garbage cartoon requests.', 'time': 1670731552, 'resto': 2988108}, {'no': 2988757, 'now': '12/10/22(Sat)23:23:56', 'name': 'Anonymous', 'com': '<a href=""#p2988383"" class=""quotelink"">&gt;&gt;2988383</a><br>You did a fantastic job bringing out the worst offenders on /y/. <br>Now we know who to shame for being greedy.', 'time': 1670732636, 'resto': 2988108}, {'no': 2988773, 'now': '12/11/22(Sun)03:11:48', 'name': 'Anonymous', 'com': '<a href=""#p2988111"" class=""quotelink"">&gt;&gt;2988111</a><br>Not sure if this anon&#039;s still in these threads, but fill for past thread request <a href=""/y/thread/2984398#p2984430"" class=""quotelink"">&gt;&gt;2984430</a><br>Posting some slight edits too.', 'filename': 'arrowverse_1', 'ext': '.jpg', 'w': 2250, 'h': 2250, 'tn_w': 125, 'tn_h': 125, 'tim': 1670746308010932, 'time': 1670746308, 'md5': 'x+tvdPp0VqSMXK1PqPwnoQ==', 'fsize': 3931052, 'resto': 2988108}, {'no': 2988774, 'now': '12/11/22(Sun)03:12:54', 'name': 'Anonymous', 'com': '<a href=""#p2988773"" class=""quotelink"">&gt;&gt;2988773</a><br><a href=""/y/thread/2984398#p2984430"" class=""quotelink"">&gt;&gt;2984430</a>', 'filename': 'arrowverse_2', 'ext': '.jpg', 'w': 2250, 'h': 2250, 'tn_w': 125, 'tn_h': 125, 'tim': 1670746374803673, 'time': 1670746374, 'md5': 'CHAoQ1sJn7hwMYwFsSoUtw==', 'fsize': 3927307, 'resto': 2988108}, {'no': 2988776, 'now': '12/11/22(Sun)03:14:56', 'name': 'Anonymous', 'com': '<a href=""#p2988773"" class=""quotelink"">&gt;&gt;2988773</a><br><a href=""/y/thread/2984398#p2984430"" class=""quotelink"">&gt;&gt;2984430</a><br>Transparent background (In case you want to do your own thing)', 'filename': 'arrowverse_3', 'ext': '.png', 'w': 2700, 'h': 2700, 'tn_w': 125, 'tn_h': 125, 'tim': 1670746496815967, 'time': 1670746496, 'md5': 'fbAwpr+nY5367AFj65risQ==', 'fsize': 3508386, 'resto': 2988108}]",1670746496,0.0,0.0,77.0,42.0,
